'Time and date','II ','V ','PLETH ','RESP '
'[09:47:39.190 24/01/1995]',-0.032,0.035,-0.226,-0.019
'[09:47:39.192 24/01/1995]',-0.032,0.003,-0.243,-0.008
'[09:47:39.194 24/01/1995]',-0.032,0.003,-0.243,-0.008
'[09:47:39.196 24/01/1995]',0.003,0.003,-0.243,-0.008
'[09:47:39.198 24/01/1995]',0.003,0.003,-0.243,-0.008
'[09:47:39.200 24/01/1995]',0.003,0.003,-0.260,0.004
'[09:47:39.202 24/01/1995]',0.003,0.003,-0.260,0.004
'[09:47:39.204 24/01/1995]',0.037,-0.031,-0.260,0.004
'[09:47:39.206 24/01/1995]',0.037,-0.031,-0.260,0.004
'[09:47:39.208 24/01/1995]',0.037,-0.031,-0.266,0.015
'[09:47:39.210 24/01/1995]',0.003,-0.031,-0.266,0.015
'[09:47:39.212 24/01/1995]',0.003,-0.031,-0.266,0.015
'[09:47:39.214 24/01/1995]',0.003,-0.031,-0.266,0.015
'[09:47:39.216 24/01/1995]',0.003,-0.031,-0.272,0.028
'[09:47:39.218 24/01/1995]',0.003,-0.031,-0.272,0.028
'[09:47:39.220 24/01/1995]',0.003,-0.031,-0.272,0.028
'[09:47:39.222 24/01/1995]',0.003,-0.031,-0.272,0.028
'[09:47:39.224 24/01/1995]',0.003,-0.031,-0.272,0.040
'[09:47:39.226 24/01/1995]',0.037,-0.031,-0.272,0.040
'[09:47:39.228 24/01/1995]',0.003,-0.031,-0.272,0.040
'[09:47:39.230 24/01/1995]',0.037,-0.031,-0.272,0.040
'[09:47:39.232 24/01/1995]',0.003,-0.031,-0.277,0.051
'[09:47:39.234 24/01/1995]',0.037,-0.031,-0.277,0.051
'[09:47:39.236 24/01/1995]',0.003,-0.031,-0.277,0.051
'[09:47:39.238 24/01/1995]',0.037,0.003,-0.277,0.051
'[09:47:39.240 24/01/1995]',0.037,0.003,-0.272,0.062
'[09:47:39.242 24/01/1995]',0.003,0.003,-0.272,0.062
'[09:47:39.244 24/01/1995]',0.037,0.003,-0.272,0.062
'[09:47:39.246 24/01/1995]',0.037,0.003,-0.272,0.062
'[09:47:39.248 24/01/1995]',0.037,0.003,-0.272,0.073
'[09:47:39.250 24/01/1995]',0.037,0.003,-0.272,0.073
'[09:47:39.252 24/01/1995]',0.003,0.003,-0.272,0.073
'[09:47:39.254 24/01/1995]',0.003,-0.031,-0.272,0.073
'[09:47:39.256 24/01/1995]',0.003,-0.031,-0.266,0.084
'[09:47:39.258 24/01/1995]',0.003,-0.031,-0.266,0.084
'[09:47:39.260 24/01/1995]',0.003,-0.031,-0.266,0.084
'[09:47:39.262 24/01/1995]',0.003,-0.031,-0.266,0.084
'[09:47:39.264 24/01/1995]',0.003,0.003,-0.272,0.093
'[09:47:39.266 24/01/1995]',0.003,-0.031,-0.272,0.093
'[09:47:39.268 24/01/1995]',0.003,-0.031,-0.272,0.093
'[09:47:39.270 24/01/1995]',0.003,-0.031,-0.272,0.093
'[09:47:39.272 24/01/1995]',0.003,-0.031,-0.260,0.103
'[09:47:39.274 24/01/1995]',0.003,-0.031,-0.260,0.103
'[09:47:39.276 24/01/1995]',0.003,0.003,-0.260,0.103
'[09:47:39.278 24/01/1995]',0.003,0.003,-0.260,0.103
'[09:47:39.280 24/01/1995]',0.003,0.003,-0.266,0.114
'[09:47:39.282 24/01/1995]',0.003,0.003,-0.266,0.114
'[09:47:39.284 24/01/1995]',0.003,0.003,-0.266,0.114
'[09:47:39.286 24/01/1995]',0.037,-0.031,-0.266,0.114
'[09:47:39.288 24/01/1995]',0.037,-0.031,-0.260,0.123
'[09:47:39.290 24/01/1995]',0.037,0.003,-0.260,0.123
'[09:47:39.292 24/01/1995]',0.003,0.003,-0.260,0.123
'[09:47:39.294 24/01/1995]',0.003,0.003,-0.260,0.123
'[09:47:39.296 24/01/1995]',0.003,0.003,-0.266,0.134
'[09:47:39.298 24/01/1995]',0.003,0.003,-0.266,0.134
'[09:47:39.300 24/01/1995]',0.003,0.003,-0.266,0.134
'[09:47:39.302 24/01/1995]',0.003,0.003,-0.266,0.134
'[09:47:39.304 24/01/1995]',0.003,0.003,-0.260,0.144
'[09:47:39.306 24/01/1995]',0.003,0.003,-0.260,0.144
'[09:47:39.308 24/01/1995]',0.003,0.003,-0.260,0.144
'[09:47:39.310 24/01/1995]',0.003,0.003,-0.260,0.144
'[09:47:39.312 24/01/1995]',0.003,0.003,-0.260,0.155
'[09:47:39.314 24/01/1995]',0.003,0.003,-0.260,0.155
'[09:47:39.316 24/01/1995]',0.003,0.003,-0.260,0.155
'[09:47:39.318 24/01/1995]',0.003,0.003,-0.260,0.155
'[09:47:39.320 24/01/1995]',0.003,0.003,-0.266,0.167
'[09:47:39.322 24/01/1995]',0.003,0.003,-0.266,0.167
'[09:47:39.324 24/01/1995]',-0.032,0.003,-0.266,0.167
'[09:47:39.326 24/01/1995]',-0.032,0.003,-0.266,0.167
'[09:47:39.328 24/01/1995]',-0.032,0.003,-0.272,0.177
'[09:47:39.330 24/01/1995]',-0.032,0.003,-0.272,0.177
'[09:47:39.332 24/01/1995]',0.003,0.003,-0.272,0.177
'[09:47:39.334 24/01/1995]',0.003,0.003,-0.272,0.177
'[09:47:39.336 24/01/1995]',0.003,0.003,-0.277,0.189
'[09:47:39.338 24/01/1995]',0.003,0.003,-0.277,0.189
'[09:47:39.340 24/01/1995]',0.003,0.003,-0.277,0.189
'[09:47:39.342 24/01/1995]',0.003,0.003,-0.277,0.189
'[09:47:39.344 24/01/1995]',0.037,-0.031,-0.288,0.200
'[09:47:39.346 24/01/1995]',0.037,-0.031,-0.288,0.200
'[09:47:39.348 24/01/1995]',0.037,-0.031,-0.288,0.200
'[09:47:39.350 24/01/1995]',0.037,-0.031,-0.288,0.200
'[09:47:39.352 24/01/1995]',0.037,-0.031,-0.288,0.210
'[09:47:39.354 24/01/1995]',0.073,-0.064,-0.288,0.210
'[09:47:39.356 24/01/1995]',0.073,-0.064,-0.288,0.210
'[09:47:39.358 24/01/1995]',0.073,-0.064,-0.288,0.210
'[09:47:39.360 24/01/1995]',0.073,-0.064,-0.305,0.222
'[09:47:39.362 24/01/1995]',0.073,-0.031,-0.305,0.222
'[09:47:39.364 24/01/1995]',0.073,-0.031,-0.305,0.222
'[09:47:39.366 24/01/1995]',0.073,-0.031,-0.305,0.222
'[09:47:39.368 24/01/1995]',0.073,-0.031,-0.305,0.233
'[09:47:39.370 24/01/1995]',0.073,-0.031,-0.305,0.233
'[09:47:39.372 24/01/1995]',0.073,-0.031,-0.305,0.233
'[09:47:39.374 24/01/1995]',0.073,-0.031,-0.305,0.233
'[09:47:39.376 24/01/1995]',0.073,-0.031,-0.317,0.244
'[09:47:39.378 24/01/1995]',0.073,-0.031,-0.317,0.244
'[09:47:39.380 24/01/1995]',0.073,0.003,-0.317,0.244
'[09:47:39.382 24/01/1995]',0.073,0.003,-0.317,0.244
'[09:47:39.384 24/01/1995]',0.073,0.003,-0.322,0.256
'[09:47:39.386 24/01/1995]',0.073,0.003,-0.322,0.256
'[09:47:39.388 24/01/1995]',0.073,0.003,-0.322,0.256
'[09:47:39.390 24/01/1995]',0.073,0.003,-0.322,0.256
'[09:47:39.392 24/01/1995]',0.037,0.003,-0.334,0.266
'[09:47:39.394 24/01/1995]',0.073,0.003,-0.334,0.266
'[09:47:39.396 24/01/1995]',0.073,0.003,-0.334,0.266
'[09:47:39.398 24/01/1995]',0.073,-0.031,-0.334,0.266
'[09:47:39.400 24/01/1995]',0.073,-0.031,-0.339,0.276
'[09:47:39.402 24/01/1995]',0.108,-0.031,-0.339,0.276
'[09:47:39.404 24/01/1995]',0.073,-0.031,-0.339,0.276
'[09:47:39.406 24/01/1995]',0.073,0.003,-0.339,0.276
'[09:47:39.408 24/01/1995]',0.073,0.003,-0.339,0.285
'[09:47:39.410 24/01/1995]',0.037,0.003,-0.339,0.285
'[09:47:39.412 24/01/1995]',0.037,0.003,-0.339,0.285
'[09:47:39.414 24/01/1995]',0.037,0.003,-0.339,0.285
'[09:47:39.416 24/01/1995]',0.037,0.003,-0.345,0.294
'[09:47:39.418 24/01/1995]',0.037,0.003,-0.345,0.294
'[09:47:39.420 24/01/1995]',0.037,0.003,-0.345,0.294
'[09:47:39.422 24/01/1995]',0.037,0.003,-0.345,0.294
'[09:47:39.424 24/01/1995]',0.037,0.003,-0.350,0.303
'[09:47:39.426 24/01/1995]',0.037,0.035,-0.350,0.303
'[09:47:39.428 24/01/1995]',0.037,0.035,-0.350,0.303
'[09:47:39.430 24/01/1995]',0.073,0.069,-0.350,0.303
'[09:47:39.432 24/01/1995]',0.073,0.103,-0.356,0.312
'[09:47:39.434 24/01/1995]',0.073,0.103,-0.356,0.312
'[09:47:39.436 24/01/1995]',0.073,0.137,-0.356,0.312
'[09:47:39.438 24/01/1995]',0.108,0.137,-0.356,0.312
'[09:47:39.440 24/01/1995]',0.144,0.170,-0.350,0.321
'[09:47:39.442 24/01/1995]',0.250,0.170,-0.350,0.321
'[09:47:39.444 24/01/1995]',0.321,0.137,-0.350,0.321
'[09:47:39.446 24/01/1995]',0.428,0.069,-0.350,0.321
'[09:47:39.448 24/01/1995]',0.533,0.003,-0.362,0.329
'[09:47:39.450 24/01/1995]',0.675,-0.064,-0.362,0.329
'[09:47:39.452 24/01/1995]',0.746,-0.132,-0.362,0.329
'[09:47:39.454 24/01/1995]',0.782,-0.199,-0.362,0.329
'[09:47:39.456 24/01/1995]',0.782,-0.267,-0.367,0.337
'[09:47:39.458 24/01/1995]',0.675,-0.334,-0.367,0.337
'[09:47:39.460 24/01/1995]',0.499,-0.402,-0.367,0.337
'[09:47:39.462 24/01/1995]',0.357,-0.436,-0.367,0.337
'[09:47:39.464 24/01/1995]',0.215,-0.469,-0.362,0.344
'[09:47:39.466 24/01/1995]',0.108,-0.469,-0.362,0.344
'[09:47:39.468 24/01/1995]',0.073,-0.469,-0.362,0.344
'[09:47:39.470 24/01/1995]',0.037,-0.469,-0.362,0.344
'[09:47:39.472 24/01/1995]',0.003,-0.436,-0.367,0.352
'[09:47:39.474 24/01/1995]',-0.068,-0.402,-0.367,0.352
'[09:47:39.476 24/01/1995]',-0.103,-0.334,-0.367,0.352
'[09:47:39.478 24/01/1995]',-0.174,-0.267,-0.367,0.352
'[09:47:39.480 24/01/1995]',-0.210,-0.233,-0.367,0.360
'[09:47:39.482 24/01/1995]',-0.246,-0.199,-0.367,0.360
'[09:47:39.484 24/01/1995]',-0.281,-0.166,-0.367,0.360
'[09:47:39.486 24/01/1995]',-0.281,-0.098,-0.367,0.360
'[09:47:39.488 24/01/1995]',-0.246,-0.098,-0.367,0.368
'[09:47:39.490 24/01/1995]',-0.174,-0.064,-0.367,0.368
'[09:47:39.492 24/01/1995]',-0.139,-0.064,-0.367,0.368
'[09:47:39.494 24/01/1995]',-0.103,-0.031,-0.367,0.368
'[09:47:39.496 24/01/1995]',-0.068,-0.031,-0.367,0.375
'[09:47:39.498 24/01/1995]',-0.032,-0.031,-0.367,0.375
'[09:47:39.500 24/01/1995]',-0.032,-0.031,-0.367,0.375
'[09:47:39.502 24/01/1995]',-0.032,-0.031,-0.367,0.375
'[09:47:39.504 24/01/1995]',-0.032,-0.031,-0.362,0.382
'[09:47:39.506 24/01/1995]',-0.032,-0.031,-0.362,0.382
'[09:47:39.508 24/01/1995]',-0.032,-0.031,-0.362,0.382
'[09:47:39.510 24/01/1995]',-0.032,-0.031,-0.362,0.382
'[09:47:39.512 24/01/1995]',-0.032,0.003,-0.362,0.389
'[09:47:39.514 24/01/1995]',-0.032,0.003,-0.362,0.389
'[09:47:39.516 24/01/1995]',-0.032,0.003,-0.362,0.389
'[09:47:39.518 24/01/1995]',0.003,0.003,-0.362,0.389
'[09:47:39.520 24/01/1995]',0.003,0.003,-0.362,0.396
'[09:47:39.522 24/01/1995]',-0.032,0.003,-0.362,0.396
'[09:47:39.524 24/01/1995]',-0.032,0.003,-0.362,0.396
'[09:47:39.526 24/01/1995]',0.003,0.003,-0.362,0.396
'[09:47:39.528 24/01/1995]',0.003,0.003,-0.356,0.404
'[09:47:39.530 24/01/1995]',0.003,0.003,-0.356,0.404
'[09:47:39.532 24/01/1995]',0.003,0.003,-0.356,0.404
'[09:47:39.534 24/01/1995]',0.003,0.003,-0.356,0.404
'[09:47:39.536 24/01/1995]',0.003,0.003,-0.356,0.411
'[09:47:39.538 24/01/1995]',0.003,0.003,-0.356,0.411
'[09:47:39.540 24/01/1995]',0.003,0.003,-0.356,0.411
'[09:47:39.542 24/01/1995]',0.003,0.003,-0.356,0.411
'[09:47:39.544 24/01/1995]',0.003,0.003,-0.356,0.420
'[09:47:39.546 24/01/1995]',0.003,0.003,-0.356,0.420
'[09:47:39.548 24/01/1995]',0.003,0.003,-0.356,0.420
'[09:47:39.550 24/01/1995]',0.003,0.003,-0.356,0.420
'[09:47:39.552 24/01/1995]',0.003,0.003,-0.356,0.429
'[09:47:39.554 24/01/1995]',0.003,0.003,-0.356,0.429
'[09:47:39.556 24/01/1995]',0.003,0.003,-0.356,0.429
'[09:47:39.558 24/01/1995]',0.003,0.003,-0.356,0.429
'[09:47:39.560 24/01/1995]',0.003,0.003,-0.356,0.439
'[09:47:39.562 24/01/1995]',0.003,0.035,-0.356,0.439
'[09:47:39.564 24/01/1995]',-0.032,0.035,-0.356,0.439
'[09:47:39.566 24/01/1995]',-0.032,0.035,-0.356,0.439
'[09:47:39.568 24/01/1995]',0.003,0.035,-0.350,0.450
'[09:47:39.570 24/01/1995]',-0.032,0.035,-0.350,0.450
'[09:47:39.572 24/01/1995]',-0.032,0.035,-0.350,0.450
'[09:47:39.574 24/01/1995]',-0.032,0.035,-0.350,0.450
'[09:47:39.576 24/01/1995]',-0.032,0.035,-0.350,0.460
'[09:47:39.578 24/01/1995]',-0.032,0.035,-0.350,0.460
'[09:47:39.580 24/01/1995]',-0.032,0.035,-0.350,0.460
'[09:47:39.582 24/01/1995]',-0.032,0.035,-0.350,0.460
'[09:47:39.584 24/01/1995]',-0.032,0.035,-0.345,0.471
'[09:47:39.586 24/01/1995]',-0.032,0.035,-0.345,0.471
'[09:47:39.588 24/01/1995]',0.003,0.035,-0.345,0.471
'[09:47:39.590 24/01/1995]',0.003,0.035,-0.345,0.471
'[09:47:39.592 24/01/1995]',0.003,0.003,-0.345,0.482
'[09:47:39.594 24/01/1995]',0.003,0.035,-0.345,0.482
'[09:47:39.596 24/01/1995]',-0.032,0.103,-0.345,0.482
'[09:47:39.598 24/01/1995]',0.003,0.103,-0.345,0.482
'[09:47:39.600 24/01/1995]',0.003,0.069,-0.339,0.493
'[09:47:39.602 24/01/1995]',0.003,0.035,-0.339,0.493
'[09:47:39.604 24/01/1995]',0.003,0.003,-0.339,0.493
'[09:47:39.606 24/01/1995]',0.003,0.003,-0.339,0.493
'[09:47:39.608 24/01/1995]',0.003,0.003,-0.334,0.503
'[09:47:39.610 24/01/1995]',0.003,0.003,-0.334,0.503
'[09:47:39.612 24/01/1995]',0.003,0.003,-0.334,0.503
'[09:47:39.614 24/01/1995]',0.003,0.003,-0.334,0.503
'[09:47:39.616 24/01/1995]',0.037,0.003,-0.328,0.513
'[09:47:39.618 24/01/1995]',0.037,0.003,-0.328,0.513
'[09:47:39.620 24/01/1995]',0.073,0.003,-0.328,0.513
'[09:47:39.622 24/01/1995]',0.073,0.003,-0.328,0.513
'[09:47:39.624 24/01/1995]',0.108,0.003,-0.334,0.521
'[09:47:39.626 24/01/1995]',0.108,0.003,-0.334,0.521
'[09:47:39.628 24/01/1995]',0.144,0.003,-0.334,0.521
'[09:47:39.630 24/01/1995]',0.144,0.003,-0.334,0.521
'[09:47:39.632 24/01/1995]',0.144,0.003,-0.322,0.529
'[09:47:39.634 24/01/1995]',0.179,0.003,-0.322,0.529
'[09:47:39.636 24/01/1995]',0.179,0.003,-0.322,0.529
'[09:47:39.638 24/01/1995]',0.179,0.003,-0.322,0.529
'[09:47:39.640 24/01/1995]',0.215,0.003,-0.317,0.535
'[09:47:39.642 24/01/1995]',0.215,0.003,-0.317,0.535
'[09:47:39.644 24/01/1995]',0.215,0.003,-0.317,0.535
'[09:47:39.646 24/01/1995]',0.250,0.003,-0.317,0.535
'[09:47:39.648 24/01/1995]',0.250,0.003,-0.305,0.540
'[09:47:39.650 24/01/1995]',0.286,-0.031,-0.305,0.540
'[09:47:39.652 24/01/1995]',0.321,0.003,-0.305,0.540
'[09:47:39.654 24/01/1995]',0.321,0.003,-0.305,0.540
'[09:47:39.656 24/01/1995]',0.321,0.003,-0.282,0.544
'[09:47:39.658 24/01/1995]',0.357,0.003,-0.282,0.544
'[09:47:39.660 24/01/1995]',0.357,0.003,-0.282,0.544
'[09:47:39.662 24/01/1995]',0.321,0.003,-0.282,0.544
'[09:47:39.664 24/01/1995]',0.357,0.003,-0.260,0.546
'[09:47:39.666 24/01/1995]',0.357,0.003,-0.260,0.546
'[09:47:39.668 24/01/1995]',0.357,0.003,-0.260,0.546
'[09:47:39.670 24/01/1995]',0.357,0.003,-0.260,0.546
'[09:47:39.672 24/01/1995]',0.321,0.003,-0.214,0.547
'[09:47:39.674 24/01/1995]',0.357,0.003,-0.214,0.547
'[09:47:39.676 24/01/1995]',0.357,0.003,-0.214,0.547
'[09:47:39.678 24/01/1995]',0.357,0.003,-0.214,0.547
'[09:47:39.680 24/01/1995]',0.393,0.003,-0.158,0.547
'[09:47:39.682 24/01/1995]',0.393,0.003,-0.158,0.547
'[09:47:39.684 24/01/1995]',0.357,0.003,-0.158,0.547
'[09:47:39.686 24/01/1995]',0.357,0.003,-0.158,0.547
'[09:47:39.688 24/01/1995]',0.357,0.003,-0.090,0.545
'[09:47:39.690 24/01/1995]',0.357,0.003,-0.090,0.545
'[09:47:39.692 24/01/1995]',0.321,0.003,-0.090,0.545
'[09:47:39.694 24/01/1995]',0.321,0.003,-0.090,0.545
'[09:47:39.696 24/01/1995]',0.321,0.003,0.006,0.543
'[09:47:39.698 24/01/1995]',0.321,0.003,0.006,0.543
'[09:47:39.700 24/01/1995]',0.286,0.003,0.006,0.543
'[09:47:39.702 24/01/1995]',0.286,0.003,0.006,0.543
'[09:47:39.704 24/01/1995]',0.250,0.003,0.102,0.539
'[09:47:39.706 24/01/1995]',0.250,0.003,0.102,0.539
'[09:47:39.708 24/01/1995]',0.250,0.003,0.102,0.539
'[09:47:39.710 24/01/1995]',0.215,0.003,0.102,0.539
'[09:47:39.712 24/01/1995]',0.215,0.003,0.221,0.534
'[09:47:39.714 24/01/1995]',0.215,0.003,0.221,0.534
'[09:47:39.716 24/01/1995]',0.179,0.003,0.221,0.534
'[09:47:39.718 24/01/1995]',0.144,0.003,0.221,0.534
'[09:47:39.720 24/01/1995]',0.108,0.003,0.329,0.528
'[09:47:39.722 24/01/1995]',0.108,0.003,0.329,0.528
'[09:47:39.724 24/01/1995]',0.073,0.003,0.329,0.528
'[09:47:39.726 24/01/1995]',0.073,0.003,0.329,0.528
'[09:47:39.728 24/01/1995]',0.073,0.003,0.447,0.522
'[09:47:39.730 24/01/1995]',0.073,0.003,0.447,0.522
'[09:47:39.732 24/01/1995]',0.037,0.003,0.447,0.522
'[09:47:39.734 24/01/1995]',0.037,0.003,0.447,0.522
'[09:47:39.736 24/01/1995]',0.037,0.003,0.549,0.514
'[09:47:39.738 24/01/1995]',0.037,0.003,0.549,0.514
'[09:47:39.740 24/01/1995]',0.003,0.003,0.549,0.514
'[09:47:39.742 24/01/1995]',0.003,0.003,0.549,0.514
'[09:47:39.744 24/01/1995]',0.003,0.003,0.639,0.504
'[09:47:39.746 24/01/1995]',0.003,0.003,0.639,0.504
'[09:47:39.748 24/01/1995]',0.003,0.003,0.639,0.504
'[09:47:39.750 24/01/1995]',0.003,-0.031,0.639,0.504
'[09:47:39.752 24/01/1995]',0.003,-0.031,0.713,0.493
'[09:47:39.754 24/01/1995]',0.003,-0.031,0.713,0.493
'[09:47:39.756 24/01/1995]',0.003,-0.031,0.713,0.493
'[09:47:39.758 24/01/1995]',0.003,-0.031,0.713,0.493
'[09:47:39.760 24/01/1995]',0.003,-0.031,0.769,0.481
'[09:47:39.762 24/01/1995]',0.003,-0.031,0.769,0.481
'[09:47:39.764 24/01/1995]',0.003,-0.031,0.769,0.481
'[09:47:39.766 24/01/1995]',0.003,-0.031,0.769,0.481
'[09:47:39.768 24/01/1995]',0.003,-0.031,0.815,0.467
'[09:47:39.770 24/01/1995]',0.003,-0.031,0.815,0.467
'[09:47:39.772 24/01/1995]',0.003,-0.031,0.815,0.467
'[09:47:39.774 24/01/1995]',0.003,-0.031,0.815,0.467
'[09:47:39.776 24/01/1995]',0.003,-0.031,0.838,0.452
'[09:47:39.778 24/01/1995]',0.003,-0.031,0.838,0.452
'[09:47:39.780 24/01/1995]',-0.032,0.003,0.838,0.452
'[09:47:39.782 24/01/1995]',0.003,-0.031,0.838,0.452
