'Time and date','II','MCL1','V','ABP','PAP','PLETH','RESP'
'[14:00:59.128 24/11/1995]',0.707,-0.167,-0.097,150.000,42.275,0.067,-0.541
'[14:00:59.130 24/11/1995]',0.701,-0.165,-0.097,150.000,42.275,0.067,-0.541
'[14:00:59.132 24/11/1995]',0.694,-0.160,-0.087,150.000,42.275,0.067,-0.541
'[14:00:59.134 24/11/1995]',0.686,-0.154,-0.078,150.000,42.275,0.067,-0.541
'[14:00:59.136 24/11/1995]',0.679,-0.153,-0.078,150.525,41.800,0.070,-0.538
'[14:00:59.138 24/11/1995]',0.672,-0.151,-0.068,150.525,41.800,0.070,-0.538
'[14:00:59.140 24/11/1995]',0.666,-0.155,-0.078,150.525,41.800,0.070,-0.538
'[14:00:59.142 24/11/1995]',0.661,-0.160,-0.068,150.525,41.800,0.070,-0.538
'[14:00:59.144 24/11/1995]',0.655,-0.166,-0.068,150.900,41.275,0.073,-0.534
'[14:00:59.146 24/11/1995]',0.650,-0.173,-0.068,150.900,41.275,0.073,-0.534
'[14:00:59.148 24/11/1995]',0.643,-0.177,-0.087,150.900,41.275,0.073,-0.534
'[14:00:59.150 24/11/1995]',0.637,-0.180,-0.097,150.900,41.275,0.073,-0.534
'[14:00:59.152 24/11/1995]',0.626,-0.176,-0.107,151.050,40.750,0.071,-0.530
'[14:00:59.154 24/11/1995]',0.616,-0.172,-0.107,151.050,40.750,0.071,-0.530
'[14:00:59.156 24/11/1995]',0.602,-0.161,-0.097,151.050,40.750,0.071,-0.530
'[14:00:59.158 24/11/1995]',0.588,-0.150,-0.078,151.050,40.750,0.071,-0.530
'[14:00:59.160 24/11/1995]',0.572,-0.137,-0.058,151.050,40.250,0.073,-0.526
'[14:00:59.162 24/11/1995]',0.556,-0.125,-0.029,151.050,40.250,0.073,-0.526
'[14:00:59.164 24/11/1995]',0.541,-0.116,-0.009,151.050,40.250,0.073,-0.526
'[14:00:59.166 24/11/1995]',0.526,-0.108,0.001,151.050,40.250,0.073,-0.526
'[14:00:59.168 24/11/1995]',0.514,-0.103,0.001,150.750,39.650,0.071,-0.522
'[14:00:59.170 24/11/1995]',0.503,-0.097,-0.019,150.750,39.650,0.071,-0.522
'[14:00:59.172 24/11/1995]',0.494,-0.091,-0.048,150.750,39.650,0.071,-0.522
'[14:00:59.174 24/11/1995]',0.484,-0.085,-0.048,150.750,39.650,0.071,-0.522
'[14:00:59.176 24/11/1995]',0.474,-0.076,-0.048,150.000,39.000,0.070,-0.518
'[14:00:59.178 24/11/1995]',0.465,-0.067,-0.048,150.000,39.000,0.070,-0.518
'[14:00:59.180 24/11/1995]',0.457,-0.058,-0.019,150.000,39.000,0.070,-0.518
'[14:00:59.182 24/11/1995]',0.449,-0.048,0.001,150.000,39.000,0.070,-0.518
'[14:00:59.184 24/11/1995]',0.441,-0.044,0.010,148.950,38.250,0.067,-0.513
'[14:00:59.186 24/11/1995]',0.432,-0.040,0.020,148.950,38.250,0.067,-0.513
'[14:00:59.188 24/11/1995]',0.427,-0.044,0.020,148.950,38.250,0.067,-0.513
'[14:00:59.190 24/11/1995]',0.421,-0.048,0.020,148.950,38.250,0.067,-0.513
'[14:00:59.192 24/11/1995]',0.419,-0.056,0.010,147.450,37.475,0.067,-0.509
'[14:00:59.194 24/11/1995]',0.416,-0.063,0.001,147.450,37.475,0.067,-0.509
'[14:00:59.196 24/11/1995]',0.416,-0.068,0.001,147.450,37.475,0.067,-0.509
'[14:00:59.198 24/11/1995]',0.415,-0.073,0.001,147.450,37.475,0.067,-0.509
'[14:00:59.200 24/11/1995]',0.412,-0.074,0.001,145.425,36.725,0.065,-0.504
'[14:00:59.202 24/11/1995]',0.410,-0.076,0.001,145.425,36.725,0.065,-0.504
'[14:00:59.204 24/11/1995]',0.407,-0.074,0.001,145.425,36.725,0.065,-0.504
'[14:00:59.206 24/11/1995]',0.404,-0.071,0.010,145.425,36.725,0.065,-0.504
'[14:00:59.208 24/11/1995]',0.401,-0.068,0.010,142.800,35.900,0.064,-0.500
'[14:00:59.210 24/11/1995]',0.399,-0.065,0.001,142.800,35.900,0.064,-0.500
'[14:00:59.212 24/11/1995]',0.395,-0.063,0.001,142.800,35.900,0.064,-0.500
'[14:00:59.214 24/11/1995]',0.391,-0.061,0.001,142.800,35.900,0.064,-0.500
'[14:00:59.216 24/11/1995]',0.385,-0.059,0.001,139.575,35.200,0.062,-0.495
'[14:00:59.218 24/11/1995]',0.379,-0.057,0.001,139.575,35.200,0.062,-0.495
'[14:00:59.220 24/11/1995]',0.375,-0.054,0.001,139.575,35.200,0.062,-0.495
'[14:00:59.222 24/11/1995]',0.370,-0.050,0.010,139.575,35.200,0.062,-0.495
'[14:00:59.224 24/11/1995]',0.371,-0.044,0.001,135.750,34.550,0.062,-0.491
'[14:00:59.226 24/11/1995]',0.371,-0.038,0.001,135.750,34.550,0.062,-0.491
'[14:00:59.228 24/11/1995]',0.375,-0.034,0.010,135.750,34.550,0.062,-0.491
'[14:00:59.230 24/11/1995]',0.379,-0.029,0.020,135.750,34.550,0.062,-0.491
'[14:00:59.232 24/11/1995]',0.380,-0.030,0.030,131.550,33.975,0.060,-0.487
'[14:00:59.234 24/11/1995]',0.381,-0.030,0.050,131.550,33.975,0.060,-0.487
'[14:00:59.236 24/11/1995]',0.377,-0.034,0.050,131.550,33.975,0.060,-0.487
'[14:00:59.238 24/11/1995]',0.373,-0.037,0.040,131.550,33.975,0.060,-0.487
'[14:00:59.240 24/11/1995]',0.364,-0.041,0.030,127.125,33.450,0.062,-0.484
'[14:00:59.242 24/11/1995]',0.355,-0.045,0.010,127.125,33.450,0.062,-0.484
'[14:00:59.244 24/11/1995]',0.347,-0.045,0.001,127.125,33.450,0.062,-0.484
'[14:00:59.246 24/11/1995]',0.339,-0.045,0.001,127.125,33.450,0.062,-0.484
'[14:00:59.248 24/11/1995]',0.334,-0.041,0.001,122.850,32.975,0.060,-0.481
'[14:00:59.250 24/11/1995]',0.328,-0.037,0.010,122.850,32.975,0.060,-0.481
'[14:00:59.252 24/11/1995]',0.327,-0.027,0.010,122.850,32.975,0.060,-0.481
'[14:00:59.254 24/11/1995]',0.326,-0.018,0.020,122.850,32.975,0.060,-0.481
'[14:00:59.256 24/11/1995]',0.328,-0.006,0.020,119.100,32.575,0.062,-0.479
'[14:00:59.258 24/11/1995]',0.330,0.006,0.010,119.100,32.575,0.062,-0.479
'[14:00:59.260 24/11/1995]',0.330,0.016,0.030,119.100,32.575,0.062,-0.479
'[14:00:59.262 24/11/1995]',0.331,0.026,0.040,119.100,32.575,0.062,-0.479
'[14:00:59.264 24/11/1995]',0.333,0.030,0.050,116.100,32.275,0.062,-0.477
'[14:00:59.266 24/11/1995]',0.334,0.034,0.059,116.100,32.275,0.062,-0.477
'[14:00:59.268 24/11/1995]',0.338,0.029,0.069,116.100,32.275,0.062,-0.477
'[14:00:59.270 24/11/1995]',0.341,0.023,0.089,116.100,32.275,0.062,-0.477
'[14:00:59.272 24/11/1995]',0.344,0.012,0.079,113.850,32.100,0.060,-0.475
'[14:00:59.274 24/11/1995]',0.347,0.001,0.079,113.850,32.100,0.060,-0.475
'[14:00:59.276 24/11/1995]',0.347,-0.011,0.050,113.850,32.100,0.060,-0.475
'[14:00:59.278 24/11/1995]',0.347,-0.022,0.050,113.850,32.100,0.060,-0.475
'[14:00:59.280 24/11/1995]',0.346,-0.030,0.050,112.425,32.100,0.059,-0.473
'[14:00:59.282 24/11/1995]',0.346,-0.037,0.030,112.425,32.100,0.059,-0.473
'[14:00:59.284 24/11/1995]',0.342,-0.038,0.040,112.425,32.100,0.059,-0.473
'[14:00:59.286 24/11/1995]',0.339,-0.039,0.030,112.425,32.100,0.059,-0.473
'[14:00:59.288 24/11/1995]',0.334,-0.037,0.020,111.675,32.225,0.056,-0.472
'[14:00:59.290 24/11/1995]',0.328,-0.035,0.020,111.675,32.225,0.056,-0.472
'[14:00:59.292 24/11/1995]',0.325,-0.033,0.020,111.675,32.225,0.056,-0.472
'[14:00:59.294 24/11/1995]',0.322,-0.032,0.020,111.675,32.225,0.056,-0.472
'[14:00:59.296 24/11/1995]',0.322,-0.033,0.020,111.450,32.500,0.054,-0.471
'[14:00:59.298 24/11/1995]',0.322,-0.034,0.020,111.450,32.500,0.054,-0.471
'[14:00:59.300 24/11/1995]',0.322,-0.035,0.020,111.450,32.500,0.054,-0.471
'[14:00:59.302 24/11/1995]',0.323,-0.036,0.001,111.450,32.500,0.054,-0.471
'[14:00:59.304 24/11/1995]',0.324,-0.036,0.001,111.675,32.800,0.050,-0.470
'[14:00:59.306 24/11/1995]',0.325,-0.037,0.001,111.675,32.800,0.050,-0.470
'[14:00:59.308 24/11/1995]',0.326,-0.035,0.001,111.675,32.800,0.050,-0.470
'[14:00:59.310 24/11/1995]',0.328,-0.034,0.020,111.675,32.800,0.050,-0.470
'[14:00:59.312 24/11/1995]',0.328,-0.032,0.030,112.125,33.100,0.046,-0.469
'[14:00:59.314 24/11/1995]',0.328,-0.029,0.040,112.125,33.100,0.046,-0.469
'[14:00:59.316 24/11/1995]',0.325,-0.027,0.030,112.125,33.100,0.046,-0.469
'[14:00:59.318 24/11/1995]',0.322,-0.025,0.020,112.125,33.100,0.046,-0.469
'[14:00:59.320 24/11/1995]',0.314,-0.022,0.010,112.725,33.275,0.043,-0.468
'[14:00:59.322 24/11/1995]',0.307,-0.020,0.001,112.725,33.275,0.043,-0.468
'[14:00:59.324 24/11/1995]',0.301,-0.017,0.001,112.725,33.275,0.043,-0.468
'[14:00:59.326 24/11/1995]',0.294,-0.015,0.001,112.725,33.275,0.043,-0.468
'[14:00:59.328 24/11/1995]',0.289,-0.015,0.001,113.250,33.375,0.040,-0.467
'[14:00:59.330 24/11/1995]',0.283,-0.014,0.010,113.250,33.375,0.040,-0.467
'[14:00:59.332 24/11/1995]',0.280,-0.017,0.020,113.250,33.375,0.040,-0.467
'[14:00:59.334 24/11/1995]',0.277,-0.020,0.030,113.250,33.375,0.040,-0.467
'[14:00:59.336 24/11/1995]',0.275,-0.025,0.020,113.625,33.375,0.037,-0.465
'[14:00:59.338 24/11/1995]',0.273,-0.031,0.010,113.625,33.375,0.037,-0.465
'[14:00:59.340 24/11/1995]',0.273,-0.038,0.010,113.625,33.375,0.037,-0.465
'[14:00:59.342 24/11/1995]',0.272,-0.045,0.001,113.625,33.375,0.037,-0.465
'[14:00:59.344 24/11/1995]',0.271,-0.052,0.001,113.850,33.325,0.034,-0.462
'[14:00:59.346 24/11/1995]',0.270,-0.059,0.001,113.850,33.325,0.034,-0.462
'[14:00:59.348 24/11/1995]',0.269,-0.065,0.001,113.850,33.325,0.034,-0.462
'[14:00:59.350 24/11/1995]',0.268,-0.070,0.001,113.850,33.325,0.034,-0.462
'[14:00:59.352 24/11/1995]',0.269,-0.073,0.001,113.925,33.200,0.029,-0.460
'[14:00:59.354 24/11/1995]',0.270,-0.076,0.001,113.925,33.200,0.029,-0.460
'[14:00:59.356 24/11/1995]',0.270,-0.076,0.001,113.925,33.200,0.029,-0.460
'[14:00:59.358 24/11/1995]',0.270,-0.076,0.001,113.925,33.200,0.029,-0.460
'[14:00:59.360 24/11/1995]',0.270,-0.073,0.001,113.700,32.975,0.028,-0.458
'[14:00:59.362 24/11/1995]',0.270,-0.070,0.001,113.700,32.975,0.028,-0.458
'[14:00:59.364 24/11/1995]',0.270,-0.066,0.001,113.700,32.975,0.028,-0.458
'[14:00:59.366 24/11/1995]',0.270,-0.062,0.001,113.700,32.975,0.028,-0.458
'[14:00:59.368 24/11/1995]',0.270,-0.058,0.001,113.250,32.750,0.026,-0.456
'[14:00:59.370 24/11/1995]',0.270,-0.054,0.001,113.250,32.750,0.026,-0.456
'[14:00:59.372 24/11/1995]',0.269,-0.050,0.001,113.250,32.750,0.026,-0.456
'[14:00:59.374 24/11/1995]',0.268,-0.045,0.001,113.250,32.750,0.026,-0.456
'[14:00:59.376 24/11/1995]',0.266,-0.042,0.001,112.575,32.450,0.023,-0.455
'[14:00:59.378 24/11/1995]',0.264,-0.039,0.001,112.575,32.450,0.023,-0.455
'[14:00:59.380 24/11/1995]',0.260,-0.035,0.001,112.575,32.450,0.023,-0.455
'[14:00:59.382 24/11/1995]',0.257,-0.031,0.010,112.575,32.450,0.023,-0.455
'[14:00:59.384 24/11/1995]',0.253,-0.025,0.010,111.825,32.100,0.021,-0.453
'[14:00:59.386 24/11/1995]',0.249,-0.020,0.010,111.825,32.100,0.021,-0.453
'[14:00:59.388 24/11/1995]',0.244,-0.014,0.010,111.825,32.100,0.021,-0.453
'[14:00:59.390 24/11/1995]',0.240,-0.009,0.010,111.825,32.100,0.021,-0.453
'[14:00:59.392 24/11/1995]',0.234,-0.006,0.020,110.925,31.675,0.023,-0.451
'[14:00:59.394 24/11/1995]',0.228,-0.003,0.030,110.925,31.675,0.023,-0.451
'[14:00:59.396 24/11/1995]',0.225,-0.002,0.040,110.925,31.675,0.023,-0.451
'[14:00:59.398 24/11/1995]',0.222,-0.002,0.050,110.925,31.675,0.023,-0.451
'[14:00:59.400 24/11/1995]',0.221,-0.005,0.050,110.025,31.275,0.020,-0.449
'[14:00:59.402 24/11/1995]',0.220,-0.009,0.050,110.025,31.275,0.020,-0.449
'[14:00:59.404 24/11/1995]',0.219,-0.015,0.030,110.025,31.275,0.020,-0.449
'[14:00:59.406 24/11/1995]',0.217,-0.021,0.020,110.025,31.275,0.020,-0.449
'[14:00:59.408 24/11/1995]',0.213,-0.026,0.010,109.125,30.800,0.018,-0.447
'[14:00:59.410 24/11/1995]',0.209,-0.030,0.010,109.125,30.800,0.018,-0.447
'[14:00:59.412 24/11/1995]',0.207,-0.031,0.020,109.125,30.800,0.018,-0.447
'[14:00:59.414 24/11/1995]',0.204,-0.031,0.020,109.125,30.800,0.018,-0.447
'[14:00:59.416 24/11/1995]',0.201,-0.029,0.020,108.150,30.400,0.020,-0.444
'[14:00:59.418 24/11/1995]',0.198,-0.026,0.010,108.150,30.400,0.020,-0.444
'[14:00:59.420 24/11/1995]',0.195,-0.022,0.001,108.150,30.400,0.020,-0.444
'[14:00:59.422 24/11/1995]',0.193,-0.019,0.001,108.150,30.400,0.020,-0.444
'[14:00:59.424 24/11/1995]',0.191,-0.015,0.010,107.325,29.975,0.017,-0.443
'[14:00:59.426 24/11/1995]',0.190,-0.012,0.010,107.325,29.975,0.017,-0.443
'[14:00:59.428 24/11/1995]',0.192,-0.008,0.020,107.325,29.975,0.017,-0.443
'[14:00:59.430 24/11/1995]',0.195,-0.004,0.020,107.325,29.975,0.017,-0.443
'[14:00:59.432 24/11/1995]',0.199,0.000,0.010,106.350,29.625,0.018,-0.442
'[14:00:59.434 24/11/1995]',0.203,0.005,0.001,106.350,29.625,0.018,-0.442
'[14:00:59.436 24/11/1995]',0.208,0.011,0.001,106.350,29.625,0.018,-0.442
'[14:00:59.438 24/11/1995]',0.214,0.017,0.001,106.350,29.625,0.018,-0.442
'[14:00:59.440 24/11/1995]',0.223,0.021,0.020,105.450,29.275,0.015,-0.443
'[14:00:59.442 24/11/1995]',0.232,0.025,0.030,105.450,29.275,0.015,-0.443
'[14:00:59.444 24/11/1995]',0.241,0.026,0.050,105.450,29.275,0.015,-0.443
'[14:00:59.446 24/11/1995]',0.251,0.027,0.059,105.450,29.275,0.015,-0.443
'[14:00:59.448 24/11/1995]',0.258,0.024,0.069,104.550,29.000,0.012,-0.443
'[14:00:59.450 24/11/1995]',0.265,0.021,0.059,104.550,29.000,0.012,-0.443
'[14:00:59.452 24/11/1995]',0.269,0.012,0.050,104.550,29.000,0.012,-0.443
'[14:00:59.454 24/11/1995]',0.273,0.004,0.020,104.550,29.000,0.012,-0.443
'[14:00:59.456 24/11/1995]',0.274,-0.007,0.020,103.650,28.700,0.012,-0.443
'[14:00:59.458 24/11/1995]',0.275,-0.018,0.020,103.650,28.700,0.012,-0.443
'[14:00:59.460 24/11/1995]',0.277,-0.031,0.020,103.650,28.700,0.012,-0.443
'[14:00:59.462 24/11/1995]',0.278,-0.044,0.010,103.650,28.700,0.012,-0.443
'[14:00:59.464 24/11/1995]',0.279,-0.053,0.001,102.825,28.475,0.012,-0.442
'[14:00:59.466 24/11/1995]',0.280,-0.062,0.001,102.825,28.475,0.012,-0.442
'[14:00:59.468 24/11/1995]',0.278,-0.067,0.001,102.825,28.475,0.012,-0.442
'[14:00:59.470 24/11/1995]',0.277,-0.072,-0.009,102.825,28.475,0.012,-0.442
'[14:00:59.472 24/11/1995]',0.274,-0.074,-0.009,101.925,28.225,0.009,-0.440
'[14:00:59.474 24/11/1995]',0.272,-0.075,0.001,101.925,28.225,0.009,-0.440
'[14:00:59.476 24/11/1995]',0.269,-0.075,0.001,101.925,28.225,0.009,-0.440
'[14:00:59.478 24/11/1995]',0.267,-0.076,0.001,101.925,28.225,0.009,-0.440
'[14:00:59.480 24/11/1995]',0.264,-0.078,0.001,101.175,28.050,0.009,-0.439
'[14:00:59.482 24/11/1995]',0.260,-0.079,0.001,101.175,28.050,0.009,-0.439
'[14:00:59.484 24/11/1995]',0.260,-0.081,0.001,101.175,28.050,0.009,-0.439
'[14:00:59.486 24/11/1995]',0.260,-0.083,-0.029,101.175,28.050,0.009,-0.439
'[14:00:59.488 24/11/1995]',0.261,-0.081,-0.048,100.425,27.875,0.006,-0.437
'[14:00:59.490 24/11/1995]',0.262,-0.079,-0.058,100.425,27.875,0.006,-0.437
'[14:00:59.492 24/11/1995]',0.263,-0.074,-0.048,100.425,27.875,0.006,-0.437
'[14:00:59.494 24/11/1995]',0.264,-0.070,-0.048,100.425,27.875,0.006,-0.437
'[14:00:59.496 24/11/1995]',0.264,-0.066,-0.029,99.675,27.750,0.004,-0.436
'[14:00:59.498 24/11/1995]',0.264,-0.062,-0.019,99.675,27.750,0.004,-0.436
'[14:00:59.500 24/11/1995]',0.263,-0.062,-0.019,99.675,27.750,0.004,-0.436
'[14:00:59.502 24/11/1995]',0.262,-0.062,-0.009,99.675,27.750,0.004,-0.436
'[14:00:59.504 24/11/1995]',0.259,-0.065,-0.009,99.075,27.700,0.003,-0.435
'[14:00:59.506 24/11/1995]',0.256,-0.069,-0.019,99.075,27.700,0.003,-0.435
'[14:00:59.508 24/11/1995]',0.250,-0.074,-0.029,99.075,27.700,0.003,-0.435
'[14:00:59.510 24/11/1995]',0.244,-0.079,-0.019,99.075,27.700,0.003,-0.435
'[14:00:59.512 24/11/1995]',0.238,-0.085,-0.009,98.475,27.650,0.000,-0.435
'[14:00:59.514 24/11/1995]',0.232,-0.091,-0.009,98.475,27.650,0.000,-0.435
'[14:00:59.516 24/11/1995]',0.226,-0.094,-0.019,98.475,27.650,0.000,-0.435
'[14:00:59.518 24/11/1995]',0.220,-0.096,-0.029,98.475,27.650,0.000,-0.435
'[14:00:59.520 24/11/1995]',0.215,-0.094,-0.029,97.875,27.575,-0.004,-0.436
'[14:00:59.522 24/11/1995]',0.211,-0.092,-0.038,97.875,27.575,-0.004,-0.436
'[14:00:59.524 24/11/1995]',0.206,-0.085,-0.038,97.875,27.575,-0.004,-0.436
'[14:00:59.526 24/11/1995]',0.201,-0.079,-0.029,97.875,27.575,-0.004,-0.436
'[14:00:59.528 24/11/1995]',0.195,-0.068,-0.009,97.500,27.575,-0.005,-0.439
'[14:00:59.530 24/11/1995]',0.188,-0.058,0.001,97.500,27.575,-0.005,-0.439
'[14:00:59.532 24/11/1995]',0.176,-0.046,0.010,97.500,27.575,-0.005,-0.439
'[14:00:59.534 24/11/1995]',0.164,-0.035,0.020,97.500,27.575,-0.005,-0.439
'[14:00:59.536 24/11/1995]',0.150,-0.025,0.010,97.050,27.575,-0.009,-0.442
'[14:00:59.538 24/11/1995]',0.135,-0.016,0.001,97.050,27.575,-0.009,-0.442
'[14:00:59.540 24/11/1995]',0.121,-0.011,0.001,97.050,27.575,-0.009,-0.442
'[14:00:59.542 24/11/1995]',0.108,-0.005,0.001,97.050,27.575,-0.009,-0.442
'[14:00:59.544 24/11/1995]',0.099,-0.002,0.001,96.675,27.575,-0.014,-0.446
'[14:00:59.546 24/11/1995]',0.090,0.001,0.001,96.675,27.575,-0.014,-0.446
'[14:00:59.548 24/11/1995]',0.086,0.003,0.010,96.675,27.575,-0.014,-0.446
'[14:00:59.550 24/11/1995]',0.082,0.004,0.001,96.675,27.575,-0.014,-0.446
'[14:00:59.552 24/11/1995]',0.082,0.005,0.001,96.375,27.575,-0.018,-0.449
'[14:00:59.554 24/11/1995]',0.082,0.005,0.001,96.375,27.575,-0.018,-0.449
'[14:00:59.556 24/11/1995]',0.085,0.003,0.001,96.375,27.575,-0.018,-0.449
'[14:00:59.558 24/11/1995]',0.088,0.001,0.001,96.375,27.575,-0.018,-0.449
'[14:00:59.560 24/11/1995]',0.089,-0.003,0.001,96.075,27.400,-0.022,-0.451
'[14:00:59.562 24/11/1995]',0.090,-0.007,0.001,96.075,27.400,-0.022,-0.451
'[14:00:59.564 24/11/1995]',0.086,-0.011,0.010,96.075,27.400,-0.022,-0.451
'[14:00:59.566 24/11/1995]',0.082,-0.014,0.020,96.075,27.400,-0.022,-0.451
'[14:00:59.568 24/11/1995]',0.073,-0.013,0.010,95.775,27.225,-0.024,-0.454
'[14:00:59.570 24/11/1995]',0.064,-0.012,0.001,95.775,27.225,-0.024,-0.454
