'Time and date','III ','I ','V ','ABP ','PAP ','PLETH ','RESP '
'[08:16:12.062 26/10/1994]',-0.004,0.111,0.001,49.600,24.375,-0.289,0.817
'[08:16:12.064 26/10/1994]',-0.006,0.121,0.001,49.950,24.137,-0.335,0.821
'[08:16:12.066 26/10/1994]',-0.009,0.143,0.011,49.950,24.137,-0.335,0.821
'[08:16:12.068 26/10/1994]',-0.011,0.143,0.011,49.950,24.137,-0.335,0.821
'[08:16:12.070 26/10/1994]',-0.014,0.133,0.011,49.950,24.137,-0.335,0.821
'[08:16:12.072 26/10/1994]',-0.015,0.133,0.001,50.400,23.900,-0.377,0.825
'[08:16:12.074 26/10/1994]',-0.017,0.121,0.001,50.400,23.900,-0.377,0.825
'[08:16:12.076 26/10/1994]',-0.018,0.121,0.001,50.400,23.900,-0.377,0.825
'[08:16:12.078 26/10/1994]',-0.018,0.121,0.001,50.400,23.900,-0.377,0.825
'[08:16:12.080 26/10/1994]',-0.018,0.121,0.011,50.950,23.613,-0.416,0.828
'[08:16:12.082 26/10/1994]',-0.019,0.121,0.011,50.950,23.613,-0.416,0.828
'[08:16:12.084 26/10/1994]',-0.019,0.133,0.011,50.950,23.613,-0.416,0.828
'[08:16:12.086 26/10/1994]',-0.019,0.133,0.011,50.950,23.613,-0.416,0.828
'[08:16:12.088 26/10/1994]',-0.019,0.121,0.011,51.550,23.312,-0.453,0.830
'[08:16:12.090 26/10/1994]',-0.019,0.100,0.001,51.550,23.312,-0.453,0.830
'[08:16:12.092 26/10/1994]',-0.019,0.100,0.001,51.550,23.312,-0.453,0.830
'[08:16:12.094 26/10/1994]',-0.019,0.100,0.001,51.550,23.312,-0.453,0.830
'[08:16:12.096 26/10/1994]',-0.019,0.088,0.001,52.100,23.025,-0.485,0.832
'[08:16:12.098 26/10/1994]',-0.020,0.100,0.001,52.100,23.025,-0.485,0.832
'[08:16:12.100 26/10/1994]',-0.021,0.100,0.001,52.100,23.025,-0.485,0.832
'[08:16:12.102 26/10/1994]',-0.022,0.100,0.001,52.100,23.025,-0.485,0.832
'[08:16:12.104 26/10/1994]',-0.022,0.100,0.001,52.750,22.725,-0.512,0.834
'[08:16:12.106 26/10/1994]',-0.023,0.100,0.001,52.750,22.725,-0.512,0.834
'[08:16:12.108 26/10/1994]',-0.024,0.088,0.001,52.750,22.725,-0.512,0.834
'[08:16:12.110 26/10/1994]',-0.025,0.088,0.001,52.750,22.725,-0.512,0.834
'[08:16:12.112 26/10/1994]',-0.026,0.088,0.001,53.400,22.438,-0.534,0.836
'[08:16:12.114 26/10/1994]',-0.028,0.088,0.001,53.400,22.438,-0.534,0.836
'[08:16:12.116 26/10/1994]',-0.029,0.100,0.001,53.400,22.438,-0.534,0.836
'[08:16:12.118 26/10/1994]',-0.029,0.100,0.001,53.400,22.438,-0.534,0.836
'[08:16:12.120 26/10/1994]',-0.029,0.088,0.001,54.050,22.137,-0.551,0.837
'[08:16:12.122 26/10/1994]',-0.029,0.088,0.001,54.050,22.137,-0.551,0.837
'[08:16:12.124 26/10/1994]',-0.029,0.088,0.001,54.050,22.137,-0.551,0.837
'[08:16:12.126 26/10/1994]',-0.028,0.088,0.001,54.050,22.137,-0.551,0.837
'[08:16:12.128 26/10/1994]',-0.029,0.077,0.001,54.700,21.913,-0.562,0.838
'[08:16:12.130 26/10/1994]',-0.029,0.088,0.001,54.700,21.913,-0.562,0.838
'[08:16:12.132 26/10/1994]',-0.030,0.088,0.001,54.700,21.913,-0.562,0.838
'[08:16:12.134 26/10/1994]',-0.031,0.100,0.001,54.700,21.913,-0.562,0.838
'[08:16:12.136 26/10/1994]',-0.033,0.088,0.001,55.300,21.738,-0.567,0.839
'[08:16:12.138 26/10/1994]',-0.034,0.088,0.001,55.300,21.738,-0.567,0.839
'[08:16:12.140 26/10/1994]',-0.035,0.100,0.001,55.300,21.738,-0.567,0.839
'[08:16:12.142 26/10/1994]',-0.035,0.088,0.011,55.300,21.738,-0.567,0.839
'[08:16:12.144 26/10/1994]',-0.030,0.088,0.011,55.800,21.613,-0.565,0.841
'[08:16:12.146 26/10/1994]',-0.025,0.088,0.022,55.800,21.613,-0.565,0.841
'[08:16:12.148 26/10/1994]',-0.011,0.100,0.022,55.800,21.613,-0.565,0.841
'[08:16:12.150 26/10/1994]',0.004,0.111,0.022,55.800,21.613,-0.565,0.841
'[08:16:12.152 26/10/1994]',0.037,0.111,0.011,56.350,21.500,-0.556,0.843
'[08:16:12.154 26/10/1994]',0.070,0.111,0.001,56.350,21.500,-0.556,0.843
'[08:16:12.156 26/10/1994]',0.128,0.111,-0.021,56.350,21.500,-0.556,0.843
'[08:16:12.158 26/10/1994]',0.185,0.111,-0.076,56.350,21.500,-0.556,0.843
'[08:16:12.160 26/10/1994]',0.264,0.111,-0.131,56.750,21.438,-0.544,0.845
'[08:16:12.162 26/10/1994]',0.342,0.100,-0.174,56.750,21.438,-0.544,0.845
'[08:16:12.164 26/10/1994]',0.426,0.088,-0.240,56.750,21.438,-0.544,0.845
'[08:16:12.166 26/10/1994]',0.511,0.044,-0.306,56.750,21.438,-0.544,0.845
'[08:16:12.168 26/10/1994]',0.576,-0.010,-0.372,57.100,21.325,-0.526,0.847
'[08:16:12.170 26/10/1994]',0.641,-0.076,-0.438,57.100,21.325,-0.526,0.847
'[08:16:12.172 26/10/1994]',0.665,-0.142,-0.492,57.100,21.325,-0.526,0.847
'[08:16:12.174 26/10/1994]',0.689,-0.230,-0.547,57.100,21.325,-0.526,0.847
'[08:16:12.176 26/10/1994]',0.664,-0.274,-0.570,57.350,21.262,-0.503,0.850
'[08:16:12.178 26/10/1994]',0.640,-0.295,-0.581,57.350,21.262,-0.503,0.850
'[08:16:12.180 26/10/1994]',0.579,-0.295,-0.558,57.350,21.262,-0.503,0.850
'[08:16:12.182 26/10/1994]',0.517,-0.284,-0.525,57.350,21.262,-0.503,0.850
'[08:16:12.184 26/10/1994]',0.439,-0.252,-0.481,57.500,21.200,-0.478,0.852
'[08:16:12.186 26/10/1994]',0.361,-0.230,-0.438,57.500,21.200,-0.478,0.852
'[08:16:12.188 26/10/1994]',0.287,-0.197,-0.383,57.500,21.200,-0.478,0.852
'[08:16:12.190 26/10/1994]',0.214,-0.164,-0.317,57.500,21.200,-0.478,0.852
'[08:16:12.192 26/10/1994]',0.159,-0.131,-0.252,57.550,21.150,-0.452,0.855
'[08:16:12.194 26/10/1994]',0.103,-0.098,-0.197,57.550,21.150,-0.452,0.855
'[08:16:12.196 26/10/1994]',0.068,-0.065,-0.153,57.550,21.150,-0.452,0.855
'[08:16:12.198 26/10/1994]',0.033,-0.021,-0.109,57.550,21.150,-0.452,0.855
'[08:16:12.200 26/10/1994]',0.013,0.001,-0.076,57.500,21.087,-0.424,0.857
'[08:16:12.202 26/10/1994]',-0.007,0.011,-0.043,57.500,21.087,-0.424,0.857
'[08:16:12.204 26/10/1994]',-0.017,0.022,-0.010,57.500,21.087,-0.424,0.857
'[08:16:12.206 26/10/1994]',-0.027,0.034,0.001,57.500,21.087,-0.424,0.857
'[08:16:12.208 26/10/1994]',-0.032,0.034,0.011,57.350,21.087,-0.397,0.858
'[08:16:12.210 26/10/1994]',-0.036,0.044,0.022,57.350,21.087,-0.397,0.858
'[08:16:12.212 26/10/1994]',-0.039,0.044,0.034,57.350,21.087,-0.397,0.858
'[08:16:12.214 26/10/1994]',-0.042,0.067,0.044,57.350,21.087,-0.397,0.858
'[08:16:12.216 26/10/1994]',-0.043,0.077,0.044,57.100,21.087,-0.371,0.860
'[08:16:12.218 26/10/1994]',-0.045,0.077,0.044,57.100,21.087,-0.371,0.860
'[08:16:12.220 26/10/1994]',-0.046,0.077,0.056,57.100,21.087,-0.371,0.860
'[08:16:12.222 26/10/1994]',-0.048,0.077,0.056,57.100,21.087,-0.371,0.860
'[08:16:12.224 26/10/1994]',-0.049,0.067,0.056,56.850,21.087,-0.348,0.857
'[08:16:12.226 26/10/1994]',-0.049,0.067,0.056,56.850,21.087,-0.348,0.857
'[08:16:12.228 26/10/1994]',-0.050,0.067,0.056,56.850,21.087,-0.348,0.857
'[08:16:12.230 26/10/1994]',-0.051,0.067,0.056,56.850,21.087,-0.348,0.857
'[08:16:12.232 26/10/1994]',-0.051,0.077,0.056,56.500,21.025,-0.327,0.847
'[08:16:12.234 26/10/1994]',-0.052,0.088,0.056,56.500,21.025,-0.327,0.847
'[08:16:12.236 26/10/1994]',-0.052,0.088,0.056,56.500,21.025,-0.327,0.847
'[08:16:12.238 26/10/1994]',-0.052,0.077,0.056,56.500,21.025,-0.327,0.847
'[08:16:12.240 26/10/1994]',-0.050,0.067,0.056,56.100,20.913,-0.308,0.831
'[08:16:12.242 26/10/1994]',-0.047,0.067,0.056,56.100,20.913,-0.308,0.831
'[08:16:12.244 26/10/1994]',-0.041,0.067,0.056,56.100,20.913,-0.308,0.831
'[08:16:12.246 26/10/1994]',-0.035,0.067,0.056,56.100,20.913,-0.308,0.831
'[08:16:12.248 26/10/1994]',-0.026,0.067,0.056,55.750,20.738,-0.294,0.808
'[08:16:12.250 26/10/1994]',-0.017,0.077,0.056,55.750,20.738,-0.294,0.808
'[08:16:12.252 26/10/1994]',-0.009,0.077,0.056,55.750,20.738,-0.294,0.808
'[08:16:12.254 26/10/1994]',0.000,0.056,0.056,55.750,20.738,-0.294,0.808
'[08:16:12.256 26/10/1994]',0.004,-0.470,-0.021,55.300,20.438,-0.283,0.782
'[08:16:12.258 26/10/1994]',0.008,-0.953,-0.098,55.300,20.438,-0.283,0.782
'[08:16:12.260 26/10/1994]',0.006,-,-0.120,55.300,20.438,-0.283,0.782
'[08:16:12.262 26/10/1994]',0.005,-,-0.131,55.300,20.438,-0.283,0.782
'[08:16:12.264 26/10/1994]',-0.001,-,-0.131,54.900,20.087,-0.275,0.752
'[08:16:12.266 26/10/1994]',-0.006,-,-0.098,54.900,20.087,-0.275,0.752
'[08:16:12.268 26/10/1994]',-0.013,-0.953,-0.076,54.900,20.087,-0.275,0.752
'[08:16:12.270 26/10/1994]',-0.020,-0.866,-0.065,54.900,20.087,-0.275,0.752
'[08:16:12.272 26/10/1994]',-0.024,-0.810,-0.054,54.450,19.738,-0.269,0.721
'[08:16:12.274 26/10/1994]',-0.028,-0.778,-0.054,54.450,19.738,-0.269,0.721
'[08:16:12.276 26/10/1994]',-0.029,-0.756,-0.054,54.450,19.738,-0.269,0.721
'[08:16:12.278 26/10/1994]',-0.031,-0.701,-0.043,54.450,19.738,-0.269,0.721
'[08:16:12.280 26/10/1994]',-0.032,-0.624,-0.032,54.000,19.562,-0.267,0.686
'[08:16:12.282 26/10/1994]',-0.033,-0.536,-0.010,54.000,19.562,-0.267,0.686
'[08:16:12.284 26/10/1994]',-0.034,-0.449,0.001,54.000,19.562,-0.267,0.686
'[08:16:12.286 26/10/1994]',-0.034,-0.394,0.001,54.000,19.562,-0.267,0.686
'[08:16:12.288 26/10/1994]',-0.034,-0.372,0.001,53.600,19.738,-0.266,0.652
'[08:16:12.290 26/10/1994]',-0.033,-0.394,0.001,53.600,19.738,-0.266,0.652
'[08:16:12.292 26/10/1994]',-0.033,-0.427,0.001,53.600,19.738,-0.266,0.652
'[08:16:12.294 26/10/1994]',-0.033,-0.427,0.001,53.600,19.738,-0.266,0.652
'[08:16:12.296 26/10/1994]',-0.033,-0.394,0.001,53.100,20.150,-0.267,0.621
'[08:16:12.298 26/10/1994]',-0.032,-0.317,0.001,53.100,20.150,-0.267,0.621
'[08:16:12.300 26/10/1994]',-0.030,-0.252,0.011,53.100,20.150,-0.267,0.621
'[08:16:12.302 26/10/1994]',-0.029,-0.218,0.022,53.100,20.150,-0.267,0.621
'[08:16:12.304 26/10/1994]',-0.028,-0.218,0.022,52.650,20.562,-0.270,0.592
'[08:16:12.306 26/10/1994]',-0.026,-0.252,0.011,52.650,20.562,-0.270,0.592
'[08:16:12.308 26/10/1994]',-0.025,-0.306,0.011,52.650,20.562,-0.270,0.592
'[08:16:12.310 26/10/1994]',-0.024,-0.339,0.001,52.650,20.562,-0.270,0.592
'[08:16:12.312 26/10/1994]',-0.023,-0.339,0.001,52.250,20.913,-0.274,0.565
'[08:16:12.314 26/10/1994]',-0.022,-0.295,0.011,52.250,20.913,-0.274,0.565
'[08:16:12.316 26/10/1994]',-0.020,-0.240,0.022,52.250,20.913,-0.274,0.565
'[08:16:12.318 26/10/1994]',-0.018,-0.197,0.022,52.250,20.913,-0.274,0.565
'[08:16:12.320 26/10/1994]',-0.017,-0.185,0.034,51.850,21.200,-0.279,0.539
'[08:16:12.322 26/10/1994]',-0.015,-0.207,0.022,51.850,21.200,-0.279,0.539
'[08:16:12.324 26/10/1994]',-0.014,-0.252,0.022,51.850,21.200,-0.279,0.539
'[08:16:12.326 26/10/1994]',-0.013,-0.295,0.011,51.850,21.200,-0.279,0.539
'[08:16:12.328 26/10/1994]',-0.013,-0.295,0.011,51.400,21.500,-0.285,0.516
'[08:16:12.330 26/10/1994]',-0.012,-0.263,0.022,51.400,21.500,-0.285,0.516
'[08:16:12.332 26/10/1994]',-0.012,-0.207,0.034,51.400,21.500,-0.285,0.516
'[08:16:12.334 26/10/1994]',-0.012,-0.164,0.034,51.400,21.500,-0.285,0.516
'[08:16:12.336 26/10/1994]',-0.013,-0.153,0.044,51.050,22.025,-0.291,0.494
'[08:16:12.338 26/10/1994]',-0.014,-0.164,0.034,51.050,22.025,-0.291,0.494
'[08:16:12.340 26/10/1994]',-0.015,-0.185,0.034,51.050,22.025,-0.291,0.494
'[08:16:12.342 26/10/1994]',-0.015,-0.185,0.034,51.050,22.025,-0.291,0.494
'[08:16:12.344 26/10/1994]',-0.014,-0.120,0.044,50.700,22.850,-0.299,0.474
'[08:16:12.346 26/10/1994]',-0.013,-0.054,0.056,50.700,22.850,-0.299,0.474
'[08:16:12.348 26/10/1994]',-0.010,0.067,0.077,50.700,22.850,-0.299,0.474
'[08:16:12.350 26/10/1994]',-0.007,0.231,0.100,50.700,22.850,-0.299,0.474
'[08:16:12.352 26/10/1994]',-0.003,0.231,0.100,50.400,23.788,-0.306,0.456
'[08:16:12.354 26/10/1994]',0.001,0.198,0.088,50.400,23.788,-0.306,0.456
'[08:16:12.356 26/10/1994]',0.004,0.100,0.077,50.400,23.788,-0.306,0.456
'[08:16:12.358 26/10/1994]',0.008,0.077,0.077,50.400,23.788,-0.306,0.456
'[08:16:12.360 26/10/1994]',0.010,0.022,0.067,50.250,24.663,-0.313,0.442
'[08:16:12.362 26/10/1994]',0.012,0.011,0.067,50.250,24.663,-0.313,0.442
'[08:16:12.364 26/10/1994]',0.013,0.067,0.077,50.250,24.663,-0.313,0.442
'[08:16:12.366 26/10/1994]',0.014,0.111,0.088,50.250,24.663,-0.313,0.442
'[08:16:12.368 26/10/1994]',0.015,0.088,0.088,50.550,25.425,-0.321,0.431
'[08:16:12.370 26/10/1994]',0.015,0.077,0.088,50.550,25.425,-0.321,0.431
'[08:16:12.372 26/10/1994]',0.015,0.044,0.077,50.550,25.425,-0.321,0.431
'[08:16:12.374 26/10/1994]',0.014,0.011,0.077,50.550,25.425,-0.321,0.431
'[08:16:12.376 26/10/1994]',0.014,0.001,0.077,51.750,26.125,-0.328,0.423
'[08:16:12.378 26/10/1994]',0.014,0.034,0.077,51.750,26.125,-0.328,0.423
'[08:16:12.380 26/10/1994]',0.015,0.133,0.100,51.750,26.125,-0.328,0.423
'[08:16:12.382 26/10/1994]',0.015,0.176,0.100,51.750,26.125,-0.328,0.423
'[08:16:12.384 26/10/1994]',0.017,0.220,0.111,54.700,26.775,-0.335,0.420
'[08:16:12.386 26/10/1994]',0.018,0.308,0.133,54.700,26.775,-0.335,0.420
'[08:16:12.388 26/10/1994]',0.021,0.396,0.143,54.700,26.775,-0.335,0.420
'[08:16:12.390 26/10/1994]',0.024,0.549,0.165,54.700,26.775,-0.335,0.420
'[08:16:12.392 26/10/1994]',0.028,0.625,0.176,59.250,27.363,-0.342,0.426
'[08:16:12.394 26/10/1994]',0.032,0.669,0.176,59.250,27.363,-0.342,0.426
'[08:16:12.396 26/10/1994]',0.039,0.669,0.176,59.250,27.363,-0.342,0.426
'[08:16:12.398 26/10/1994]',0.046,0.658,0.176,59.250,27.363,-0.342,0.426
'[08:16:12.400 26/10/1994]',0.053,0.636,0.176,64.550,27.825,-0.349,0.439
'[08:16:12.402 26/10/1994]',0.061,0.604,0.165,64.550,27.825,-0.349,0.439
'[08:16:12.404 26/10/1994]',0.067,0.549,0.154,64.550,27.825,-0.349,0.439
'[08:16:12.406 26/10/1994]',0.072,0.505,0.154,64.550,27.825,-0.349,0.439
'[08:16:12.408 26/10/1994]',0.076,0.451,0.143,69.550,28.238,-0.355,0.457
'[08:16:12.410 26/10/1994]',0.081,0.417,0.133,69.550,28.238,-0.355,0.457
'[08:16:12.412 26/10/1994]',0.086,0.396,0.133,69.550,28.238,-0.355,0.457
'[08:16:12.414 26/10/1994]',0.090,0.373,0.133,69.550,28.238,-0.355,0.457
'[08:16:12.416 26/10/1994]',0.093,0.351,0.121,73.850,28.525,-0.343,0.478
'[08:16:12.418 26/10/1994]',0.096,0.330,0.121,73.850,28.525,-0.343,0.478
'[08:16:12.420 26/10/1994]',0.099,0.319,0.121,73.850,28.525,-0.343,0.478
'[08:16:12.422 26/10/1994]',0.102,0.297,0.111,73.850,28.525,-0.343,0.478
'[08:16:12.424 26/10/1994]',0.104,0.264,0.111,77.950,28.762,-0.344,0.499
'[08:16:12.426 26/10/1994]',0.107,0.264,0.111,77.950,28.762,-0.344,0.499
'[08:16:12.428 26/10/1994]',0.108,0.253,0.100,77.950,28.762,-0.344,0.499
'[08:16:12.430 26/10/1994]',0.109,0.242,0.100,77.950,28.762,-0.344,0.499
'[08:16:12.432 26/10/1994]',0.110,0.242,0.100,81.950,29.000,-0.338,0.520
'[08:16:12.434 26/10/1994]',0.111,0.231,0.100,81.950,29.000,-0.338,0.520
'[08:16:12.436 26/10/1994]',0.112,0.231,0.088,81.950,29.000,-0.338,0.520
'[08:16:12.438 26/10/1994]',0.112,0.220,0.088,81.950,29.000,-0.338,0.520
'[08:16:12.440 26/10/1994]',0.112,0.209,0.088,86.000,29.175,-0.322,0.540
'[08:16:12.442 26/10/1994]',0.112,0.187,0.088,86.000,29.175,-0.322,0.540
'[08:16:12.444 26/10/1994]',0.111,0.187,0.077,86.000,29.175,-0.322,0.540
'[08:16:12.446 26/10/1994]',0.110,0.187,0.077,86.000,29.175,-0.322,0.540
'[08:16:12.448 26/10/1994]',0.108,0.187,0.077,89.900,29.413,-0.293,0.558
'[08:16:12.450 26/10/1994]',0.107,0.187,0.077,89.900,29.413,-0.293,0.558
'[08:16:12.452 26/10/1994]',0.104,0.176,0.067,89.900,29.413,-0.293,0.558
'[08:16:12.454 26/10/1994]',0.101,0.176,0.067,89.900,29.413,-0.293,0.558
'[08:16:12.456 26/10/1994]',0.097,0.165,0.067,93.550,29.637,-0.249,0.575
'[08:16:12.458 26/10/1994]',0.093,0.154,0.056,93.550,29.637,-0.249,0.575
'[08:16:12.460 26/10/1994]',0.089,0.154,0.056,93.550,29.637,-0.249,0.575
'[08:16:12.462 26/10/1994]',0.086,0.143,0.056,93.550,29.637,-0.249,0.575
'[08:16:12.464 26/10/1994]',0.082,0.143,0.056,96.400,29.812,-0.190,0.588
'[08:16:12.466 26/10/1994]',0.077,0.154,0.056,96.400,29.812,-0.190,0.588
'[08:16:12.468 26/10/1994]',0.072,0.154,0.056,96.400,29.812,-0.190,0.588
'[08:16:12.470 26/10/1994]',0.067,0.143,0.044,96.400,29.812,-0.190,0.588
'[08:16:12.472 26/10/1994]',0.062,0.133,0.044,98.250,30.050,-0.116,0.600
'[08:16:12.474 26/10/1994]',0.057,0.133,0.044,98.250,30.050,-0.116,0.600
'[08:16:12.476 26/10/1994]',0.052,0.121,0.044,98.250,30.050,-0.116,0.600
'[08:16:12.478 26/10/1994]',0.048,0.121,0.034,98.250,30.050,-0.116,0.600
'[08:16:12.480 26/10/1994]',0.043,0.121,0.034,98.750,30.225,-0.029,0.610
'[08:16:12.482 26/10/1994]',0.037,0.133,0.034,98.750,30.225,-0.029,0.610
'[08:16:12.484 26/10/1994]',0.033,0.133,0.034,98.750,30.225,-0.029,0.610
'[08:16:12.486 26/10/1994]',0.028,0.133,0.034,98.750,30.225,-0.029,0.610
'[08:16:12.488 26/10/1994]',0.024,0.121,0.022,98.000,30.350,0.065,0.618
'[08:16:12.490 26/10/1994]',0.019,0.111,0.022,98.000,30.350,0.065,0.618
'[08:16:12.492 26/10/1994]',0.017,0.111,0.022,98.000,30.350,0.065,0.618
'[08:16:12.494 26/10/1994]',0.014,0.111,0.022,98.000,30.350,0.065,0.618
'[08:16:12.496 26/10/1994]',0.011,0.111,0.022,96.400,30.400,0.162,0.625
'[08:16:12.498 26/10/1994]',0.009,0.121,0.022,96.400,30.400,0.162,0.625
'[08:16:12.500 26/10/1994]',0.005,0.121,0.011,96.400,30.400,0.162,0.625
'[08:16:12.502 26/10/1994]',0.002,0.133,0.011,96.400,30.400,0.162,0.625
'[08:16:12.504 26/10/1994]',-0.002,0.121,0.011,94.200,30.400,0.257,0.631
'[08:16:12.506 26/10/1994]',-0.006,0.111,0.011,94.200,30.400,0.257,0.631
'[08:16:12.508 26/10/1994]',-0.009,0.111,0.011,94.200,30.400,0.257,0.631
'[08:16:12.510 26/10/1994]',-0.013,0.100,0.011,94.200,30.400,0.257,0.631
'[08:16:12.512 26/10/1994]',-0.017,0.111,0.011,91.600,30.350,0.343,0.635
'[08:16:12.514 26/10/1994]',-0.020,0.111,0.011,91.600,30.350,0.343,0.635
'[08:16:12.516 26/10/1994]',-0.024,0.121,0.011,91.600,30.350,0.343,0.635
'[08:16:12.518 26/10/1994]',-0.027,0.121,0.011,91.600,30.350,0.343,0.635
'[08:16:12.520 26/10/1994]',-0.029,0.121,0.011,88.900,30.225,0.416,0.637
'[08:16:12.522 26/10/1994]',-0.032,0.121,0.011,88.900,30.225,0.416,0.637
'[08:16:12.524 26/10/1994]',-0.034,0.111,0.011,88.900,30.225,0.416,0.637
'[08:16:12.526 26/10/1994]',-0.036,0.111,0.011,88.900,30.225,0.416,0.637
'[08:16:12.528 26/10/1994]',-0.037,0.100,0.011,86.250,30.000,0.475,0.638
'[08:16:12.530 26/10/1994]',-0.038,0.111,0.011,86.250,30.000,0.475,0.638
'[08:16:12.532 26/10/1994]',-0.039,0.121,0.011,86.250,30.000,0.475,0.638
'[08:16:12.534 26/10/1994]',-0.040,0.121,0.011,86.250,30.000,0.475,0.638
'[08:16:12.536 26/10/1994]',-0.041,0.111,0.011,83.600,29.700,0.518,0.636
'[08:16:12.538 26/10/1994]',-0.041,0.111,0.011,83.600,29.700,0.518,0.636
'[08:16:12.540 26/10/1994]',-0.041,0.111,0.011,83.600,29.700,0.518,0.636
'[08:16:12.542 26/10/1994]',-0.040,0.100,0.011,83.600,29.700,0.518,0.636
'[08:16:12.544 26/10/1994]',-0.040,0.100,0.011,81.000,29.238,0.545,0.632
'[08:16:12.546 26/10/1994]',-0.040,0.100,0.011,81.000,29.238,0.545,0.632
'[08:16:12.548 26/10/1994]',-0.040,0.111,0.011,81.000,29.238,0.545,0.632
'[08:16:12.550 26/10/1994]',-0.040,0.121,0.011,81.000,29.238,0.545,0.632
'[08:16:12.552 26/10/1994]',-0.040,0.111,0.011,78.500,28.700,0.559,0.625
'[08:16:12.554 26/10/1994]',-0.040,0.111,0.011,78.500,28.700,0.559,0.625
'[08:16:12.556 26/10/1994]',-0.041,0.111,0.011,78.500,28.700,0.559,0.625
'[08:16:12.558 26/10/1994]',-0.041,0.111,0.011,78.500,28.700,0.559,0.625
'[08:16:12.560 26/10/1994]',-0.042,0.088,0.011,75.950,28.000,0.561,0.613
'[08:16:12.562 26/10/1994]',-0.043,0.100,0.011,75.950,28.000,0.561,0.613
'[08:16:12.564 26/10/1994]',-0.043,0.100,0.011,75.950,28.000,0.561,0.613
'[08:16:12.566 26/10/1994]',-0.043,0.111,0.022,75.950,28.000,0.561,0.613
'[08:16:12.568 26/10/1994]',-0.042,0.111,0.022,73.500,27.125,0.553,0.598
'[08:16:12.570 26/10/1994]',-0.041,0.111,0.022,73.500,27.125,0.553,0.598
'[08:16:12.572 26/10/1994]',-0.041,0.100,0.022,73.500,27.125,0.553,0.598
'[08:16:12.574 26/10/1994]',-0.040,0.088,0.022,73.500,27.125,0.553,0.598
'[08:16:12.576 26/10/1994]',-0.038,0.088,0.022,71.250,26.062,0.537,0.577
'[08:16:12.578 26/10/1994]',-0.037,0.100,0.022,71.250,26.062,0.537,0.577
