'Time and date','V','aVL','V','ABP','PAP','CVP','PLETH'
'[10:01:48.074 29/12/1995]',1.170,-0.065,1.024,80.850,50.742,21.113,-0.387
'[10:01:48.076 29/12/1995]',1.170,-0.065,1.024,80.850,50.742,21.113,-0.387
'[10:01:48.078 29/12/1995]',1.170,-0.054,1.024,80.850,50.742,21.113,-0.387
'[10:01:48.080 29/12/1995]',1.170,-0.065,1.024,84.700,52.544,20.988,-0.368
'[10:01:48.082 29/12/1995]',1.170,-0.065,1.024,84.700,52.544,20.988,-0.368
'[10:01:48.084 29/12/1995]',1.170,-0.076,1.024,84.700,52.544,20.988,-0.368
'[10:01:48.086 29/12/1995]',1.170,-0.098,1.024,84.700,52.544,20.988,-0.368
'[10:01:48.088 29/12/1995]',1.170,-0.098,1.024,88.050,54.070,20.812,-0.344
'[10:01:48.090 29/12/1995]',1.170,-0.109,1.024,88.050,54.070,20.812,-0.344
'[10:01:48.092 29/12/1995]',1.170,-0.098,1.024,88.050,54.070,20.812,-0.344
'[10:01:48.094 29/12/1995]',1.114,-0.076,1.024,88.050,54.070,20.812,-0.344
'[10:01:48.096 29/12/1995]',1.114,-0.076,1.024,91.050,55.196,20.762,-0.309
'[10:01:48.098 29/12/1995]',1.114,-0.076,1.024,91.050,55.196,20.762,-0.309
'[10:01:48.100 29/12/1995]',1.058,-0.098,1.024,91.050,55.196,20.762,-0.309
'[10:01:48.102 29/12/1995]',1.058,-0.098,1.024,91.050,55.196,20.762,-0.309
'[10:01:48.104 29/12/1995]',1.058,-0.120,1.024,93.600,55.771,20.637,-0.267
'[10:01:48.106 29/12/1995]',1.003,-0.120,1.024,93.600,55.771,20.637,-0.267
'[10:01:48.108 29/12/1995]',1.003,-0.120,1.024,93.600,55.771,20.637,-0.267
'[10:01:48.110 29/12/1995]',0.947,-0.109,1.024,93.600,55.771,20.637,-0.267
'[10:01:48.112 29/12/1995]',0.947,-0.109,1.024,95.950,55.821,20.525,-0.216
'[10:01:48.114 29/12/1995]',0.891,-0.098,1.024,95.950,55.821,20.525,-0.216
'[10:01:48.116 29/12/1995]',0.891,-0.109,1.024,95.950,55.821,20.525,-0.216
'[10:01:48.118 29/12/1995]',0.835,-0.120,1.024,95.950,55.821,20.525,-0.216
'[10:01:48.120 29/12/1995]',0.782,-0.120,1.024,98.200,55.196,20.462,-0.160
'[10:01:48.122 29/12/1995]',0.782,-0.131,0.999,98.200,55.196,20.462,-0.160
'[10:01:48.124 29/12/1995]',0.727,-0.131,0.966,98.200,55.196,20.462,-0.160
'[10:01:48.126 29/12/1995]',0.727,-0.131,0.922,98.200,55.196,20.462,-0.160
'[10:01:48.128 29/12/1995]',0.671,-0.120,0.889,100.600,53.945,20.350,-0.098
'[10:01:48.130 29/12/1995]',0.615,-0.120,0.845,100.600,53.945,20.350,-0.098
'[10:01:48.132 29/12/1995]',0.615,-0.120,0.823,100.600,53.945,20.350,-0.098
'[10:01:48.134 29/12/1995]',0.559,-0.131,0.768,100.600,53.945,20.350,-0.098
'[10:01:48.136 29/12/1995]',0.559,-0.131,0.736,103.150,52.068,20.225,-0.035
'[10:01:48.138 29/12/1995]',0.504,-0.131,0.692,103.150,52.068,20.225,-0.035
'[10:01:48.140 29/12/1995]',0.504,-0.131,0.658,103.150,52.068,20.225,-0.035
'[10:01:48.142 29/12/1995]',0.448,-0.120,0.615,103.150,52.068,20.225,-0.035
'[10:01:48.144 29/12/1995]',0.448,-0.109,0.604,105.800,49.666,20.175,0.029
'[10:01:48.146 29/12/1995]',0.448,-0.098,0.571,105.800,49.666,20.175,0.029
'[10:01:48.148 29/12/1995]',0.392,-0.098,0.538,105.800,49.666,20.175,0.029
'[10:01:48.150 29/12/1995]',0.392,-0.098,0.516,105.800,49.666,20.175,0.029
'[10:01:48.152 29/12/1995]',0.337,-0.098,0.494,108.200,46.914,20.113,0.091
'[10:01:48.154 29/12/1995]',0.337,-0.098,0.462,108.200,46.914,20.113,0.091
'[10:01:48.156 29/12/1995]',0.337,-0.098,0.451,108.200,46.914,20.113,0.091
'[10:01:48.158 29/12/1995]',0.281,-0.076,0.428,108.200,46.914,20.113,0.091
'[10:01:48.160 29/12/1995]',0.281,-0.065,0.417,110.150,43.937,20.050,0.146
'[10:01:48.162 29/12/1995]',0.281,-0.054,0.396,110.150,43.937,20.050,0.146
'[10:01:48.164 29/12/1995]',0.281,-0.054,0.385,110.150,43.937,20.050,0.146
'[10:01:48.166 29/12/1995]',0.281,-0.054,0.373,110.150,43.937,20.050,0.146
'[10:01:48.168 29/12/1995]',0.281,-0.054,0.362,111.500,41.059,20.000,0.198
'[10:01:48.170 29/12/1995]',0.225,-0.054,0.341,111.500,41.059,20.000,0.198
'[10:01:48.172 29/12/1995]',0.225,-0.054,0.330,111.500,41.059,20.000,0.198
'[10:01:48.174 29/12/1995]',0.225,-0.054,0.319,111.500,41.059,20.000,0.198
'[10:01:48.176 29/12/1995]',0.225,-0.043,0.319,112.200,38.182,19.875,0.245
'[10:01:48.178 29/12/1995]',0.225,-0.032,0.308,112.200,38.182,19.875,0.245
'[10:01:48.180 29/12/1995]',0.225,-0.032,0.297,112.200,38.182,19.875,0.245
'[10:01:48.182 29/12/1995]',0.225,-0.021,0.286,112.200,38.182,19.875,0.245
'[10:01:48.184 29/12/1995]',0.225,-0.021,0.297,112.100,35.354,19.762,0.286
'[10:01:48.186 29/12/1995]',0.170,-0.021,0.275,112.100,35.354,19.762,0.286
'[10:01:48.188 29/12/1995]',0.170,-0.032,0.275,112.100,35.354,19.762,0.286
'[10:01:48.190 29/12/1995]',0.170,-0.043,0.275,112.100,35.354,19.762,0.286
'[10:01:48.192 29/12/1995]',0.170,-0.043,0.275,111.250,32.602,19.587,0.325
'[10:01:48.194 29/12/1995]',0.170,-0.032,0.275,111.250,32.602,19.587,0.325
'[10:01:48.196 29/12/1995]',0.170,-0.032,0.275,111.250,32.602,19.587,0.325
'[10:01:48.198 29/12/1995]',0.170,-0.010,0.275,111.250,32.602,19.587,0.325
'[10:01:48.200 29/12/1995]',0.170,-0.021,0.264,109.550,30.200,19.413,0.357
'[10:01:48.202 29/12/1995]',0.170,-0.021,0.264,109.550,30.200,19.413,0.357
'[10:01:48.204 29/12/1995]',0.170,-0.021,0.253,109.550,30.200,19.413,0.357
'[10:01:48.206 29/12/1995]',0.170,-0.032,0.253,109.550,30.200,19.413,0.357
'[10:01:48.208 29/12/1995]',0.170,-0.032,0.253,107.200,28.274,19.175,0.385
'[10:01:48.210 29/12/1995]',0.170,-0.032,0.264,107.200,28.274,19.175,0.385
'[10:01:48.212 29/12/1995]',0.170,-0.021,0.253,107.200,28.274,19.175,0.385
'[10:01:48.214 29/12/1995]',0.170,-0.021,0.253,107.200,28.274,19.175,0.385
'[10:01:48.216 29/12/1995]',0.170,-0.021,0.253,104.200,26.922,18.825,0.409
'[10:01:48.218 29/12/1995]',0.170,-0.032,0.242,104.200,26.922,18.825,0.409
'[10:01:48.220 29/12/1995]',0.170,-0.032,0.253,104.200,26.922,18.825,0.409
'[10:01:48.222 29/12/1995]',0.170,-0.032,0.242,104.200,26.922,18.825,0.409
'[10:01:48.224 29/12/1995]',0.170,-0.032,0.242,100.850,26.272,18.475,0.428
'[10:01:48.226 29/12/1995]',0.170,-0.032,0.242,100.850,26.272,18.475,0.428
'[10:01:48.228 29/12/1995]',0.170,-0.021,0.253,100.850,26.272,18.475,0.428
'[10:01:48.230 29/12/1995]',0.170,-0.010,0.264,100.850,26.272,18.475,0.428
'[10:01:48.232 29/12/1995]',0.170,-0.010,0.253,97.550,26.347,18.062,0.443
'[10:01:48.234 29/12/1995]',0.170,-0.021,0.253,97.550,26.347,18.062,0.443
'[10:01:48.236 29/12/1995]',0.170,-0.021,0.253,97.550,26.347,18.062,0.443
'[10:01:48.238 29/12/1995]',0.170,-0.032,0.242,97.550,26.347,18.062,0.443
'[10:01:48.240 29/12/1995]',0.170,-0.032,0.242,94.600,27.323,17.650,0.450
'[10:01:48.242 29/12/1995]',0.170,-0.032,0.242,94.600,27.323,17.650,0.450
'[10:01:48.244 29/12/1995]',0.170,-0.032,0.242,94.600,27.323,17.650,0.450
'[10:01:48.246 29/12/1995]',0.170,-0.032,0.242,94.600,27.323,17.650,0.450
'[10:01:48.248 29/12/1995]',0.170,-0.021,0.253,92.100,29.324,17.238,0.451
'[10:01:48.250 29/12/1995]',0.170,-0.032,0.242,92.100,29.324,17.238,0.451
'[10:01:48.252 29/12/1995]',0.170,-0.032,0.253,92.100,29.324,17.238,0.451
'[10:01:48.254 29/12/1995]',0.170,-0.032,0.242,92.100,29.324,17.238,0.451
'[10:01:48.256 29/12/1995]',0.170,-0.032,0.231,89.900,32.252,16.837,0.444
'[10:01:48.258 29/12/1995]',0.170,-0.032,0.220,89.900,32.252,16.837,0.444
'[10:01:48.260 29/12/1995]',0.170,-0.021,0.231,89.900,32.252,16.837,0.444
'[10:01:48.262 29/12/1995]',0.170,-0.021,0.231,89.900,32.252,16.837,0.444
'[10:01:48.264 29/12/1995]',0.727,1.024,1.010,88.000,36.305,16.475,0.428
'[10:01:48.266 29/12/1995]',0.671,1.024,0.845,88.000,36.305,16.475,0.428
'[10:01:48.268 29/12/1995]',0.448,0.593,0.582,88.000,36.305,16.475,0.428
'[10:01:48.270 29/12/1995]',0.281,0.308,0.406,88.000,36.305,16.475,0.428
'[10:01:48.272 29/12/1995]',0.225,0.111,0.308,86.300,41.585,16.125,0.408
'[10:01:48.274 29/12/1995]',0.170,0.001,0.231,86.300,41.585,16.125,0.408
'[10:01:48.276 29/12/1995]',0.114,-0.098,0.165,86.300,41.585,16.125,0.408
'[10:01:48.278 29/12/1995]',0.058,-0.164,0.133,86.300,41.585,16.125,0.408
'[10:01:48.280 29/12/1995]',0.058,-0.230,0.088,84.800,47.264,15.838,0.382
'[10:01:48.282 29/12/1995]',0.005,-0.306,0.056,84.800,47.264,15.838,0.382
'[10:01:48.284 29/12/1995]',0.005,-0.361,0.022,84.800,47.264,15.838,0.382
'[10:01:48.286 29/12/1995]',0.005,-0.416,0.001,84.800,47.264,15.838,0.382
'[10:01:48.288 29/12/1995]',0.005,-0.449,-0.010,83.450,51.843,15.662,0.350
'[10:01:48.290 29/12/1995]',0.005,-0.438,-0.010,83.450,51.843,15.662,0.350
'[10:01:48.292 29/12/1995]',0.005,-0.416,0.001,83.450,51.843,15.662,0.350
'[10:01:48.294 29/12/1995]',0.005,-0.372,0.011,83.450,51.843,15.662,0.350
'[10:01:48.296 29/12/1995]',0.005,-0.339,0.034,82.250,54.120,15.488,0.315
'[10:01:48.298 29/12/1995]',0.058,-0.306,0.067,82.250,54.120,15.488,0.315
'[10:01:48.300 29/12/1995]',0.058,-0.263,0.088,82.250,54.120,15.488,0.315
'[10:01:48.302 29/12/1995]',0.058,-0.240,0.111,82.250,54.120,15.488,0.315
'[10:01:48.304 29/12/1995]',0.058,-0.207,0.111,81.000,54.120,15.425,0.280
'[10:01:48.306 29/12/1995]',0.058,-0.174,0.121,81.000,54.120,15.425,0.280
'[10:01:48.308 29/12/1995]',0.058,-0.153,0.121,81.000,54.120,15.425,0.280
'[10:01:48.310 29/12/1995]',0.058,-0.142,0.121,81.000,54.120,15.425,0.280
'[10:01:48.312 29/12/1995]',0.058,-0.120,0.133,79.700,52.844,15.363,0.241
'[10:01:48.314 29/12/1995]',0.058,-0.098,0.143,79.700,52.844,15.363,0.241
'[10:01:48.316 29/12/1995]',0.114,-0.076,0.154,79.700,52.844,15.363,0.241
'[10:01:48.318 29/12/1995]',0.114,-0.076,0.154,79.700,52.844,15.363,0.241
'[10:01:48.320 29/12/1995]',0.114,-0.076,0.154,78.600,51.143,15.312,0.204
'[10:01:48.322 29/12/1995]',0.114,-0.065,0.154,78.600,51.143,15.312,0.204
'[10:01:48.324 29/12/1995]',0.114,-0.054,0.143,78.600,51.143,15.312,0.204
'[10:01:48.326 29/12/1995]',0.114,-0.043,0.154,78.600,51.143,15.312,0.204
'[10:01:48.328 29/12/1995]',0.114,-0.032,0.154,77.600,49.141,15.250,0.170
'[10:01:48.330 29/12/1995]',0.114,-0.032,0.154,77.600,49.141,15.250,0.170
'[10:01:48.332 29/12/1995]',0.114,-0.021,0.154,77.600,49.141,15.250,0.170
'[10:01:48.334 29/12/1995]',0.114,-0.021,0.154,77.600,49.141,15.250,0.170
'[10:01:48.336 29/12/1995]',0.114,-0.032,0.154,76.750,46.864,15.312,0.136
'[10:01:48.338 29/12/1995]',0.114,-0.032,0.143,76.750,46.864,15.312,0.136
'[10:01:48.340 29/12/1995]',0.058,-0.043,0.133,76.750,46.864,15.312,0.136
'[10:01:48.342 29/12/1995]',0.058,-0.043,0.121,76.750,46.864,15.312,0.136
'[10:01:48.344 29/12/1995]',0.058,-0.032,0.121,75.900,44.287,15.425,0.102
'[10:01:48.346 29/12/1995]',0.058,-0.032,0.111,75.900,44.287,15.425,0.102
'[10:01:48.348 29/12/1995]',0.058,-0.021,0.133,75.900,44.287,15.425,0.102
'[10:01:48.350 29/12/1995]',0.058,-0.021,0.121,75.900,44.287,15.425,0.102
'[10:01:48.352 29/12/1995]',0.058,-0.010,0.121,75.200,41.710,15.662,0.071
'[10:01:48.354 29/12/1995]',0.058,-0.010,0.111,75.200,41.710,15.662,0.071
'[10:01:48.356 29/12/1995]',0.058,-0.010,0.111,75.200,41.710,15.662,0.071
'[10:01:48.358 29/12/1995]',0.058,0.011,0.121,75.200,41.710,15.662,0.071
'[10:01:48.360 29/12/1995]',0.058,0.022,0.121,74.700,39.483,15.950,0.041
'[10:01:48.362 29/12/1995]',0.058,0.044,0.133,74.700,39.483,15.950,0.041
'[10:01:48.364 29/12/1995]',0.058,0.044,0.133,74.700,39.483,15.950,0.041
'[10:01:48.366 29/12/1995]',0.114,0.056,0.143,74.700,39.483,15.950,0.041
'[10:01:48.368 29/12/1995]',0.114,0.067,0.143,74.400,37.481,16.300,0.012
'[10:01:48.370 29/12/1995]',0.114,0.067,0.143,74.400,37.481,16.300,0.012
'[10:01:48.372 29/12/1995]',0.058,0.067,0.133,74.400,37.481,16.300,0.012
'[10:01:48.374 29/12/1995]',0.058,0.067,0.133,74.400,37.481,16.300,0.012
'[10:01:48.376 29/12/1995]',0.114,0.100,0.143,74.150,35.830,16.600,-0.016
'[10:01:48.378 29/12/1995]',0.114,0.100,0.143,74.150,35.830,16.600,-0.016
'[10:01:48.380 29/12/1995]',0.114,0.111,0.154,74.150,35.830,16.600,-0.016
'[10:01:48.382 29/12/1995]',0.114,0.111,0.165,74.150,35.830,16.600,-0.016
'[10:01:48.384 29/12/1995]',0.114,0.100,0.176,73.850,34.479,16.950,-0.044
'[10:01:48.386 29/12/1995]',0.114,0.067,0.187,73.850,34.479,16.950,-0.044
'[10:01:48.388 29/12/1995]',0.114,0.056,0.176,73.850,34.479,16.950,-0.044
'[10:01:48.390 29/12/1995]',0.114,0.067,0.187,73.850,34.479,16.950,-0.044
'[10:01:48.392 29/12/1995]',0.114,0.056,0.187,73.650,33.553,17.363,-0.070
'[10:01:48.394 29/12/1995]',0.114,0.067,0.187,73.650,33.553,17.363,-0.070
'[10:01:48.396 29/12/1995]',0.114,0.067,0.198,73.650,33.553,17.363,-0.070
'[10:01:48.398 29/12/1995]',0.114,0.056,0.198,73.650,33.553,17.363,-0.070
'[10:01:48.400 29/12/1995]',0.114,0.044,0.198,73.500,32.902,17.825,-0.096
'[10:01:48.402 29/12/1995]',0.114,0.022,0.198,73.500,32.902,17.825,-0.096
'[10:01:48.404 29/12/1995]',0.114,0.001,0.187,73.500,32.902,17.825,-0.096
'[10:01:48.406 29/12/1995]',0.114,0.001,0.176,73.500,32.902,17.825,-0.096
'[10:01:48.408 29/12/1995]',0.114,0.001,0.176,73.350,32.502,18.238,-0.118
'[10:01:48.410 29/12/1995]',0.114,0.001,0.176,73.350,32.502,18.238,-0.118
'[10:01:48.412 29/12/1995]',0.114,0.011,0.187,73.350,32.502,18.238,-0.118
'[10:01:48.414 29/12/1995]',0.114,0.011,0.176,73.350,32.502,18.238,-0.118
'[10:01:48.416 29/12/1995]',0.114,0.001,0.187,73.150,32.327,18.650,-0.139
'[10:01:48.418 29/12/1995]',0.170,-0.010,0.231,73.150,32.327,18.650,-0.139
'[10:01:48.420 29/12/1995]',0.058,-0.043,0.121,73.150,32.327,18.650,-0.139
'[10:01:48.422 29/12/1995]',0.058,-0.032,0.133,73.150,32.327,18.650,-0.139
'[10:01:48.424 29/12/1995]',0.114,-0.021,0.154,73.000,32.377,19.062,-0.158
'[10:01:48.426 29/12/1995]',0.114,-0.021,0.154,73.000,32.377,19.062,-0.158
'[10:01:48.428 29/12/1995]',0.114,-0.021,0.165,73.000,32.377,19.062,-0.158
'[10:01:48.430 29/12/1995]',0.114,-0.010,0.176,73.000,32.377,19.062,-0.158
'[10:01:48.432 29/12/1995]',0.114,-0.010,0.187,72.800,32.602,19.413,-0.174
'[10:01:48.434 29/12/1995]',0.114,-0.021,0.176,72.800,32.602,19.413,-0.174
'[10:01:48.436 29/12/1995]',0.114,-0.032,0.176,72.800,32.602,19.413,-0.174
'[10:01:48.438 29/12/1995]',0.114,-0.043,0.165,72.800,32.602,19.413,-0.174
'[10:01:48.440 29/12/1995]',0.114,-0.032,0.165,72.650,33.027,19.700,-0.191
'[10:01:48.442 29/12/1995]',0.114,-0.032,0.165,72.650,33.027,19.700,-0.191
'[10:01:48.444 29/12/1995]',0.114,-0.032,0.176,72.650,33.027,19.700,-0.191
'[10:01:48.446 29/12/1995]',0.114,-0.032,0.176,72.650,33.027,19.700,-0.191
'[10:01:48.448 29/12/1995]',0.114,-0.032,0.176,72.450,33.428,20.000,-0.203
'[10:01:48.450 29/12/1995]',0.114,-0.032,0.187,72.450,33.428,20.000,-0.203
'[10:01:48.452 29/12/1995]',0.114,-0.032,0.176,72.450,33.428,20.000,-0.203
'[10:01:48.454 29/12/1995]',0.114,-0.032,0.176,72.450,33.428,20.000,-0.203
'[10:01:48.456 29/12/1995]',0.114,-0.043,0.165,72.300,33.903,20.175,-0.214
'[10:01:48.458 29/12/1995]',0.114,-0.032,0.165,72.300,33.903,20.175,-0.214
'[10:01:48.460 29/12/1995]',0.114,-0.021,0.165,72.300,33.903,20.175,-0.214
'[10:01:48.462 29/12/1995]',0.114,-0.021,0.176,72.300,33.903,20.175,-0.214
'[10:01:48.464 29/12/1995]',0.114,-0.010,0.187,72.050,34.429,20.350,-0.224
'[10:01:48.466 29/12/1995]',0.114,-0.021,0.187,72.050,34.429,20.350,-0.224
'[10:01:48.468 29/12/1995]',0.114,-0.032,0.176,72.050,34.429,20.350,-0.224
'[10:01:48.470 29/12/1995]',0.114,-0.043,0.176,72.050,34.429,20.350,-0.224
'[10:01:48.472 29/12/1995]',0.114,-0.032,0.176,71.800,34.904,20.462,-0.231
'[10:01:48.474 29/12/1995]',0.114,-0.032,0.165,71.800,34.904,20.462,-0.231
'[10:01:48.476 29/12/1995]',0.114,-0.021,0.176,71.800,34.904,20.462,-0.231
'[10:01:48.478 29/12/1995]',0.114,-0.010,0.165,71.800,34.904,20.462,-0.231
'[10:01:48.480 29/12/1995]',0.114,-0.010,0.165,71.600,35.354,20.525,-0.239
'[10:01:48.482 29/12/1995]',0.114,-0.010,0.165,71.600,35.354,20.525,-0.239
'[10:01:48.484 29/12/1995]',0.114,-0.021,0.165,71.600,35.354,20.525,-0.239
'[10:01:48.486 29/12/1995]',0.114,-0.032,0.154,71.600,35.354,20.525,-0.239
'[10:01:48.488 29/12/1995]',0.114,-0.032,0.143,71.250,35.655,20.587,-0.245
'[10:01:48.490 29/12/1995]',0.058,-0.032,0.121,71.250,35.655,20.587,-0.245
'[10:01:48.492 29/12/1995]',0.058,-0.032,0.077,71.250,35.655,20.587,-0.245
'[10:01:48.494 29/12/1995]',0.005,-0.021,-0.010,71.250,35.655,20.587,-0.245
'[10:01:48.496 29/12/1995]',-0.051,-0.032,-0.142,70.850,35.955,20.525,-0.251
'[10:01:48.498 29/12/1995]',-0.162,-0.043,-0.274,70.850,35.955,20.525,-0.251
'[10:01:48.500 29/12/1995]',-0.273,-0.054,-0.427,70.850,35.955,20.525,-0.251
'[10:01:48.502 29/12/1995]',-0.441,-0.054,-0.603,70.850,35.955,20.525,-0.251
'[10:01:48.504 29/12/1995]',-0.552,-0.065,-0.778,70.500,36.130,20.462,-0.257
'[10:01:48.506 29/12/1995]',-0.719,-0.076,-0.997,70.500,36.130,20.462,-0.257
'[10:01:48.508 29/12/1995]',-0.884,-0.076,-,70.500,36.130,20.462,-0.257
'[10:01:48.510 29/12/1995]',-1.051,-0.076,-,70.500,36.130,20.462,-0.257
'[10:01:48.512 29/12/1995]',-1.218,-0.076,-,70.150,36.255,20.400,-0.262
'[10:01:48.514 29/12/1995]',-1.329,-0.098,-,70.150,36.255,20.400,-0.262
'[10:01:48.516 29/12/1995]',-1.441,-0.109,-,70.150,36.255,20.400,-0.262
'[10:01:48.518 29/12/1995]',-1.552,-0.109,-,70.150,36.255,20.400,-0.262
'[10:01:48.520 29/12/1995]',-1.661,-0.098,-,69.800,36.355,20.288,-0.268
'[10:01:48.522 29/12/1995]',-1.772,-0.065,-,69.800,36.355,20.288,-0.268
'[10:01:48.524 29/12/1995]',-1.828,-0.043,-,69.800,36.355,20.288,-0.268
'[10:01:48.526 29/12/1995]',-1.939,-0.010,-,69.800,36.355,20.288,-0.268
'[10:01:48.528 29/12/1995]',-1.995,0.011,-,69.450,36.430,20.175,-0.273
'[10:01:48.530 29/12/1995]',-2.051,0.034,-,69.450,36.430,20.175,-0.273
'[10:01:48.532 29/12/1995]',-2.106,0.034,-,69.450,36.430,20.175,-0.273
'[10:01:48.534 29/12/1995]',-2.162,0.044,-,69.450,36.430,20.175,-0.273
'[10:01:48.536 29/12/1995]',-2.218,0.044,-,69.050,36.605,20.000,-0.278
'[10:01:48.538 29/12/1995]',-2.218,0.034,-,69.050,36.605,20.000,-0.278
'[10:01:48.540 29/12/1995]',-2.273,0.034,-,69.050,36.605,20.000,-0.278
'[10:01:48.542 29/12/1995]',-2.273,0.022,-,69.050,36.605,20.000,-0.278
'[10:01:48.544 29/12/1995]',-2.273,0.011,-,68.700,36.881,19.762,-0.282
'[10:01:48.546 29/12/1995]',-2.218,0.001,-,68.700,36.881,19.762,-0.282
'[10:01:48.548 29/12/1995]',-2.162,-0.010,-,68.700,36.881,19.762,-0.282
'[10:01:48.550 29/12/1995]',-2.106,-0.010,-,68.700,36.881,19.762,-0.282
'[10:01:48.552 29/12/1995]',-2.051,-0.010,-,68.200,37.406,19.587,-0.289
'[10:01:48.554 29/12/1995]',-1.939,0.001,-,68.200,37.406,19.587,-0.289
'[10:01:48.556 29/12/1995]',-1.828,0.034,-,68.200,37.406,19.587,-0.289
'[10:01:48.558 29/12/1995]',-1.716,0.100,-,68.200,37.406,19.587,-0.289
'[10:01:48.560 29/12/1995]',-1.605,0.133,-,67.650,38.232,19.413,-0.293
'[10:01:48.562 29/12/1995]',-1.441,0.176,-,67.650,38.232,19.413,-0.293
'[10:01:48.564 29/12/1995]',-1.329,0.198,-,67.650,38.232,19.413,-0.293
'[10:01:48.566 29/12/1995]',-1.273,0.220,-,67.650,38.232,19.413,-0.293
'[10:01:48.568 29/12/1995]',-1.162,0.253,-,67.050,39.183,19.238,-0.300
'[10:01:48.570 29/12/1995]',-1.051,0.275,-,67.050,39.183,19.238,-0.300
'[10:01:48.572 29/12/1995]',-0.995,0.308,-,67.050,39.183,19.238,-0.300
'[10:01:48.574 29/12/1995]',-0.884,0.341,-,67.050,39.183,19.238,-0.300
'[10:01:48.576 29/12/1995]',-0.775,0.351,-,66.550,39.933,19.113,-0.307
'[10:01:48.578 29/12/1995]',-0.719,0.396,-0.920,66.550,39.933,19.113,-0.307
'[10:01:48.580 29/12/1995]',-0.608,0.417,-0.799,66.550,39.933,19.113,-0.307
'[10:01:48.582 29/12/1995]',-0.496,0.428,-0.679,66.550,39.933,19.113,-0.307
'[10:01:48.584 29/12/1995]',-0.385,0.440,-0.547,65.950,40.409,19.062,-0.316
