'Time and date','aVL','III','V','ABP','PLETH','RESP'
'[13:11:43.172 13/07/1995]',0.112,-0.061,0.087,80.977,0.000,-0.552
'[13:11:43.174 13/07/1995]',0.113,-0.063,0.087,80.977,0.000,-0.552
'[13:11:43.176 13/07/1995]',0.115,-0.065,0.087,80.000,0.000,-0.555
'[13:11:43.178 13/07/1995]',0.117,-0.066,0.087,80.000,0.000,-0.555
'[13:11:43.180 13/07/1995]',0.120,-0.066,0.087,80.000,0.000,-0.555
'[13:11:43.182 13/07/1995]',0.122,-0.066,0.087,80.000,0.000,-0.555
'[13:11:43.184 13/07/1995]',0.121,-0.066,0.087,78.947,0.000,-0.558
'[13:11:43.186 13/07/1995]',0.120,-0.066,0.087,78.947,0.000,-0.558
'[13:11:43.188 13/07/1995]',0.120,-0.066,0.087,78.947,0.000,-0.558
'[13:11:43.190 13/07/1995]',0.120,-0.066,0.087,78.947,0.000,-0.558
'[13:11:43.192 13/07/1995]',0.120,-0.066,0.087,77.895,0.000,-0.561
'[13:11:43.194 13/07/1995]',0.120,-0.066,0.087,77.895,0.000,-0.561
'[13:11:43.196 13/07/1995]',0.119,-0.066,0.087,77.895,0.000,-0.561
'[13:11:43.198 13/07/1995]',0.117,-0.066,0.087,77.895,0.000,-0.561
'[13:11:43.200 13/07/1995]',0.115,-0.066,0.087,76.767,0.000,-0.564
'[13:11:43.202 13/07/1995]',0.113,-0.066,0.087,76.767,0.000,-0.564
'[13:11:43.204 13/07/1995]',0.112,-0.066,0.087,76.767,0.000,-0.564
'[13:11:43.206 13/07/1995]',0.110,-0.066,0.087,76.767,0.000,-0.564
'[13:11:43.208 13/07/1995]',0.110,-0.066,0.087,75.564,0.000,-0.566
'[13:11:43.210 13/07/1995]',0.110,-0.066,0.087,75.564,0.000,-0.566
'[13:11:43.212 13/07/1995]',0.110,-0.066,0.085,75.564,0.000,-0.566
'[13:11:43.214 13/07/1995]',0.110,-0.066,0.083,75.564,0.000,-0.566
'[13:11:43.216 13/07/1995]',0.110,-0.066,0.080,74.511,0.000,-0.567
'[13:11:43.218 13/07/1995]',0.110,-0.066,0.076,74.511,0.000,-0.567
'[13:11:43.220 13/07/1995]',0.110,-0.066,0.075,74.511,0.000,-0.567
'[13:11:43.222 13/07/1995]',0.110,-0.066,0.073,74.511,0.000,-0.567
'[13:11:43.224 13/07/1995]',0.112,-0.066,0.069,73.308,0.000,-0.569
'[13:11:43.226 13/07/1995]',0.113,-0.066,0.066,73.308,0.000,-0.569
'[13:11:43.228 13/07/1995]',0.115,-0.066,0.061,73.308,0.000,-0.569
'[13:11:43.230 13/07/1995]',0.117,-0.066,0.055,73.308,0.000,-0.569
'[13:11:43.232 13/07/1995]',0.120,-0.066,0.054,72.256,0.000,-0.570
'[13:11:43.234 13/07/1995]',0.122,-0.066,0.052,72.256,0.000,-0.570
'[13:11:43.236 13/07/1995]',0.121,-0.066,0.050,72.256,0.000,-0.570
'[13:11:43.238 13/07/1995]',0.120,-0.066,0.049,72.256,0.000,-0.570
'[13:11:43.240 13/07/1995]',0.120,-0.066,0.049,71.203,0.000,-0.570
'[13:11:43.242 13/07/1995]',0.120,-0.066,0.049,71.203,0.000,-0.570
'[13:11:43.244 13/07/1995]',0.119,-0.066,0.049,71.203,0.000,-0.570
'[13:11:43.246 13/07/1995]',0.117,-0.066,0.049,71.203,0.000,-0.570
'[13:11:43.248 13/07/1995]',0.115,-0.066,0.049,70.226,0.000,-0.571
'[13:11:43.250 13/07/1995]',0.113,-0.066,0.049,70.226,0.000,-0.571
'[13:11:43.252 13/07/1995]',0.112,-0.066,0.049,70.226,0.000,-0.571
'[13:11:43.254 13/07/1995]',0.110,-0.066,0.049,70.226,0.000,-0.571
'[13:11:43.256 13/07/1995]',0.110,-0.066,0.049,69.248,0.000,-0.571
'[13:11:43.258 13/07/1995]',0.110,-0.066,0.049,69.248,0.000,-0.571
'[13:11:43.260 13/07/1995]',0.108,-0.063,0.049,69.248,0.000,-0.571
'[13:11:43.262 13/07/1995]',0.106,-0.059,0.049,69.248,0.000,-0.571
'[13:11:43.264 13/07/1995]',0.099,-0.047,0.049,68.346,0.000,-0.572
'[13:11:43.266 13/07/1995]',0.092,-0.035,0.049,68.346,0.000,-0.572
'[13:11:43.268 13/07/1995]',0.080,-0.012,0.050,68.346,0.000,-0.572
'[13:11:43.270 13/07/1995]',0.068,0.010,0.052,68.346,0.000,-0.572
'[13:11:43.272 13/07/1995]',0.053,0.035,0.055,67.594,0.000,-0.573
'[13:11:43.274 13/07/1995]',0.038,0.059,0.059,67.594,0.000,-0.573
'[13:11:43.276 13/07/1995]',0.020,0.086,0.068,67.594,0.000,-0.573
'[13:11:43.278 13/07/1995]',0.002,0.112,0.076,67.594,0.000,-0.573
'[13:11:43.280 13/07/1995]',-0.006,0.133,0.092,66.842,0.000,-0.574
'[13:11:43.282 13/07/1995]',-0.014,0.154,0.107,66.842,0.000,-0.574
'[13:11:43.284 13/07/1995]',-0.009,0.159,0.137,66.842,0.000,-0.574
'[13:11:43.286 13/07/1995]',-0.005,0.164,0.166,66.842,0.000,-0.574
'[13:11:43.288 13/07/1995]',0.020,0.140,0.206,66.090,0.000,-0.575
'[13:11:43.290 13/07/1995]',0.045,0.115,0.246,66.090,0.000,-0.575
'[13:11:43.292 13/07/1995]',0.096,0.052,0.296,66.090,0.000,-0.575
'[13:11:43.294 13/07/1995]',0.148,-0.010,0.347,66.090,0.000,-0.575
'[13:11:43.296 13/07/1995]',0.231,-0.126,0.414,65.338,0.000,-0.576
'[13:11:43.298 13/07/1995]',0.315,-0.241,0.482,65.338,0.000,-0.576
'[13:11:43.300 13/07/1995]',0.428,-0.410,0.574,65.338,0.000,-0.576
'[13:11:43.302 13/07/1995]',0.542,-0.579,0.666,65.338,0.000,-0.576
'[13:11:43.304 13/07/1995]',0.681,-0.792,0.773,64.737,0.000,-0.577
'[13:11:43.306 13/07/1995]',0.819,-1.005,0.880,64.737,0.000,-0.577
'[13:11:43.308 13/07/1995]',0.967,-1.234,0.981,64.737,0.000,-0.577
'[13:11:43.310 13/07/1995]',1.115,-1.462,1.081,64.737,0.000,-0.577
'[13:11:43.312 13/07/1995]',1.245,-1.667,1.142,64.135,0.000,-0.579
'[13:11:43.314 13/07/1995]',1.376,-1.871,1.203,64.135,0.000,-0.579
'[13:11:43.316 13/07/1995]',1.468,-2.021,1.213,64.135,0.000,-0.579
'[13:11:43.318 13/07/1995]',1.561,-2.171,1.224,64.135,0.000,-0.579
'[13:11:43.320 13/07/1995]',1.608,-2.243,1.194,63.609,0.000,-0.580
'[13:11:43.322 13/07/1995]',1.655,-2.314,1.165,63.609,0.000,-0.580
'[13:11:43.324 13/07/1995]',1.650,-2.316,1.128,63.609,0.000,-0.580
'[13:11:43.326 13/07/1995]',1.646,-2.318,1.092,63.609,0.000,-0.580
'[13:11:43.328 13/07/1995]',1.595,-2.262,1.083,63.158,0.000,-0.580
'[13:11:43.330 13/07/1995]',1.545,-2.206,1.075,63.158,0.000,-0.580
'[13:11:43.332 13/07/1995]',1.465,-2.108,1.106,63.158,0.000,-0.580
'[13:11:43.334 13/07/1995]',1.385,-2.010,1.137,63.158,0.000,-0.580
'[13:11:43.336 13/07/1995]',1.290,-1.890,1.208,62.707,0.000,-0.580
'[13:11:43.338 13/07/1995]',1.195,-1.770,1.279,62.707,0.000,-0.580
'[13:11:43.340 13/07/1995]',1.094,-1.640,1.371,62.707,0.000,-0.580
'[13:11:43.342 13/07/1995]',0.993,-1.511,1.463,62.707,0.000,-0.580
'[13:11:43.344 13/07/1995]',0.893,-1.377,1.534,62.180,0.000,-0.580
'[13:11:43.346 13/07/1995]',0.793,-1.243,1.605,62.180,0.000,-0.580
'[13:11:43.348 13/07/1995]',0.698,-1.110,1.617,62.180,0.000,-0.580
'[13:11:43.350 13/07/1995]',0.603,-0.977,1.629,62.180,0.000,-0.580
'[13:11:43.352 13/07/1995]',0.515,-0.853,1.555,61.880,0.000,-0.579
'[13:11:43.354 13/07/1995]',0.427,-0.729,1.480,61.880,0.000,-0.579
'[13:11:43.356 13/07/1995]',0.354,-0.623,1.322,61.880,0.000,-0.579
'[13:11:43.358 13/07/1995]',0.282,-0.517,1.165,61.880,0.000,-0.579
'[13:11:43.360 13/07/1995]',0.228,-0.433,0.960,61.504,0.000,-0.579
'[13:11:43.362 13/07/1995]',0.174,-0.349,0.756,61.504,0.000,-0.579
'[13:11:43.364 13/07/1995]',0.136,-0.283,0.560,61.504,0.000,-0.579
'[13:11:43.366 13/07/1995]',0.099,-0.216,0.364,61.504,0.000,-0.579
'[13:11:43.368 13/07/1995]',0.073,-0.168,0.217,61.128,0.000,-0.580
'[13:11:43.370 13/07/1995]',0.047,-0.119,0.069,61.128,0.000,-0.580
'[13:11:43.372 13/07/1995]',0.028,-0.080,-0.021,61.128,0.000,-0.580
'[13:11:43.374 13/07/1995]',0.009,-0.042,-0.111,61.128,0.000,-0.580
'[13:11:43.376 13/07/1995]',-0.004,-0.005,-0.154,60.827,0.000,-0.582
'[13:11:43.378 13/07/1995]',-0.016,0.031,-0.198,60.827,0.000,-0.582
'[13:11:43.380 13/07/1995]',-0.028,0.063,-0.220,60.827,0.000,-0.582
'[13:11:43.382 13/07/1995]',-0.040,0.094,-0.243,60.827,0.000,-0.582
'[13:11:43.384 13/07/1995]',-0.053,0.122,-0.258,60.526,0.000,-0.584
'[13:11:43.386 13/07/1995]',-0.066,0.150,-0.274,60.526,0.000,-0.584
'[13:11:43.388 13/07/1995]',-0.074,0.175,-0.288,60.526,0.000,-0.584
'[13:11:43.390 13/07/1995]',-0.082,0.199,-0.302,60.526,0.000,-0.584
'[13:11:43.392 13/07/1995]',-0.090,0.218,-0.319,60.301,0.000,-0.588
'[13:11:43.394 13/07/1995]',-0.099,0.237,-0.336,60.301,0.000,-0.588
'[13:11:43.396 13/07/1995]',-0.107,0.250,-0.350,60.301,0.000,-0.588
'[13:11:43.398 13/07/1995]',-0.115,0.262,-0.364,60.301,0.000,-0.588
'[13:11:43.400 13/07/1995]',-0.120,0.272,-0.376,60.000,0.000,-0.593
'[13:11:43.402 13/07/1995]',-0.124,0.283,-0.388,60.000,0.000,-0.593
'[13:11:43.404 13/07/1995]',-0.128,0.290,-0.399,60.000,0.000,-0.593
'[13:11:43.406 13/07/1995]',-0.131,0.297,-0.409,60.000,0.000,-0.593
'[13:11:43.408 13/07/1995]',-0.135,0.300,-0.414,59.699,0.000,-0.599
'[13:11:43.410 13/07/1995]',-0.138,0.304,-0.419,59.699,0.000,-0.599
'[13:11:43.412 13/07/1995]',-0.140,0.307,-0.423,59.699,0.000,-0.599
'[13:11:43.414 13/07/1995]',-0.141,0.311,-0.426,59.699,0.000,-0.599
'[13:11:43.416 13/07/1995]',-0.143,0.314,-0.430,59.474,0.000,-0.606
'[13:11:43.418 13/07/1995]',-0.146,0.318,-0.433,59.474,0.000,-0.606
'[13:11:43.420 13/07/1995]',-0.147,0.318,-0.440,59.474,0.000,-0.606
'[13:11:43.422 13/07/1995]',-0.148,0.318,-0.447,59.474,0.000,-0.606
'[13:11:43.424 13/07/1995]',-0.148,0.319,-0.454,59.248,0.000,-0.615
'[13:11:43.426 13/07/1995]',-0.148,0.321,-0.461,59.248,0.000,-0.615
'[13:11:43.428 13/07/1995]',-0.149,0.325,-0.466,59.248,0.000,-0.615
'[13:11:43.430 13/07/1995]',-0.150,0.328,-0.471,59.248,0.000,-0.615
'[13:11:43.432 13/07/1995]',-0.153,0.332,-0.478,58.947,0.000,-0.625
'[13:11:43.434 13/07/1995]',-0.155,0.335,-0.485,58.947,0.000,-0.625
'[13:11:43.436 13/07/1995]',-0.155,0.339,-0.492,58.947,0.000,-0.625
'[13:11:43.438 13/07/1995]',-0.155,0.342,-0.499,58.947,0.000,-0.625
'[13:11:43.440 13/07/1995]',-0.156,0.346,-0.504,58.722,0.000,-0.636
'[13:11:43.442 13/07/1995]',-0.157,0.349,-0.510,58.722,0.000,-0.636
'[13:11:43.444 13/07/1995]',-0.160,0.351,-0.516,58.722,0.000,-0.636
'[13:11:43.446 13/07/1995]',-0.162,0.353,-0.523,58.722,0.000,-0.636
'[13:11:43.448 13/07/1995]',-0.163,0.356,-0.532,58.496,0.000,-0.647
'[13:11:43.450 13/07/1995]',-0.164,0.360,-0.541,58.496,0.000,-0.647
'[13:11:43.452 13/07/1995]',-0.164,0.358,-0.551,58.496,0.000,-0.647
'[13:11:43.454 13/07/1995]',-0.164,0.356,-0.562,58.496,0.000,-0.647
'[13:11:43.456 13/07/1995]',-0.165,0.358,-0.570,58.421,0.000,-0.657
'[13:11:43.458 13/07/1995]',-0.167,0.360,-0.579,58.421,0.000,-0.657
'[13:11:43.460 13/07/1995]',-0.170,0.365,-0.588,58.421,0.000,-0.657
'[13:11:43.462 13/07/1995]',-0.174,0.370,-0.596,58.421,0.000,-0.657
'[13:11:43.464 13/07/1995]',-0.178,0.379,-0.607,58.496,0.000,-0.666
'[13:11:43.466 13/07/1995]',-0.183,0.387,-0.617,58.496,0.000,-0.666
'[13:11:43.468 13/07/1995]',-0.189,0.398,-0.626,58.496,0.000,-0.666
'[13:11:43.470 13/07/1995]',-0.195,0.408,-0.634,58.496,0.000,-0.666
'[13:11:43.472 13/07/1995]',-0.201,0.419,-0.645,59.323,0.000,-0.674
'[13:11:43.474 13/07/1995]',-0.207,0.429,-0.655,59.323,0.000,-0.674
'[13:11:43.476 13/07/1995]',-0.215,0.440,-0.667,59.323,0.000,-0.674
'[13:11:43.478 13/07/1995]',-0.223,0.450,-0.679,59.323,0.000,-0.674
'[13:11:43.480 13/07/1995]',-0.232,0.464,-0.692,61.579,0.000,-0.681
'[13:11:43.482 13/07/1995]',-0.242,0.478,-0.704,61.579,0.000,-0.681
'[13:11:43.484 13/07/1995]',-0.252,0.492,-0.716,61.579,0.000,-0.681
'[13:11:43.486 13/07/1995]',-0.263,0.506,-0.728,61.579,0.000,-0.681
'[13:11:43.488 13/07/1995]',-0.273,0.524,-0.742,66.466,0.000,-0.687
'[13:11:43.490 13/07/1995]',-0.284,0.541,-0.756,66.466,0.000,-0.687
'[13:11:43.492 13/07/1995]',-0.293,0.558,-0.769,66.466,0.000,-0.687
'[13:11:43.494 13/07/1995]',-0.303,0.576,-0.783,66.466,0.000,-0.687
'[13:11:43.496 13/07/1995]',-0.312,0.593,-0.801,74.511,0.000,-0.691
'[13:11:43.498 13/07/1995]',-0.322,0.611,-0.818,74.511,0.000,-0.691
'[13:11:43.500 13/07/1995]',-0.331,0.627,-0.839,74.511,0.000,-0.691
'[13:11:43.502 13/07/1995]',-0.340,0.642,-0.860,74.511,0.000,-0.691
'[13:11:43.504 13/07/1995]',-0.347,0.658,-0.879,85.038,0.000,-0.694
'[13:11:43.506 13/07/1995]',-0.354,0.674,-0.898,85.038,0.000,-0.694
'[13:11:43.508 13/07/1995]',-0.359,0.688,-0.915,85.038,0.000,-0.694
'[13:11:43.510 13/07/1995]',-0.364,0.702,-0.932,85.038,0.000,-0.694
'[13:11:43.512 13/07/1995]',-0.367,0.709,-0.953,96.692,0.000,-0.695
'[13:11:43.514 13/07/1995]',-0.371,0.716,-0.974,96.692,0.000,-0.695
'[13:11:43.516 13/07/1995]',-0.369,0.716,-0.990,96.692,0.000,-0.695
'[13:11:43.518 13/07/1995]',-0.366,0.716,-1.005,96.692,0.000,-0.695
'[13:11:43.520 13/07/1995]',-0.360,0.710,-1.010,108.195,0.000,-0.694
'[13:11:43.522 13/07/1995]',-0.354,0.705,-1.016,108.195,0.000,-0.694
'[13:11:43.524 13/07/1995]',-0.345,0.695,-1.012,108.195,0.000,-0.694
'[13:11:43.526 13/07/1995]',-0.336,0.684,-1.009,108.195,0.000,-0.694
'[13:11:43.528 13/07/1995]',-0.325,0.668,-0.997,118.797,0.000,-0.692
'[13:11:43.530 13/07/1995]',-0.315,0.653,-0.984,118.797,0.000,-0.692
'[13:11:43.532 13/07/1995]',-0.300,0.634,-0.964,118.797,0.000,-0.692
'[13:11:43.534 13/07/1995]',-0.286,0.614,-0.943,118.797,0.000,-0.692
'[13:11:43.536 13/07/1995]',-0.269,0.586,-0.915,128.421,0.000,-0.689
'[13:11:43.538 13/07/1995]',-0.251,0.558,-0.887,128.421,0.000,-0.689
'[13:11:43.540 13/07/1995]',-0.232,0.529,-0.854,128.421,0.000,-0.689
'[13:11:43.542 13/07/1995]',-0.214,0.499,-0.821,128.421,0.000,-0.689
'[13:11:43.544 13/07/1995]',-0.194,0.469,-0.783,136.391,0.000,-0.685
'[13:11:43.546 13/07/1995]',-0.174,0.440,-0.745,136.391,0.000,-0.685
'[13:11:43.548 13/07/1995]',-0.155,0.405,-0.707,136.391,0.000,-0.685
'[13:11:43.550 13/07/1995]',-0.136,0.370,-0.669,136.391,0.000,-0.685
'[13:11:43.552 13/07/1995]',-0.115,0.339,-0.627,142.180,0.000,-0.681
'[13:11:43.554 13/07/1995]',-0.094,0.307,-0.586,142.180,0.000,-0.681
'[13:11:43.556 13/07/1995]',-0.075,0.277,-0.539,142.180,0.000,-0.681
'[13:11:43.558 13/07/1995]',-0.056,0.248,-0.492,142.180,0.000,-0.681
'[13:11:43.560 13/07/1995]',-0.039,0.222,-0.444,145.489,0.000,-0.677
'[13:11:43.562 13/07/1995]',-0.021,0.195,-0.395,145.489,0.000,-0.677
'[13:11:43.564 13/07/1995]',-0.006,0.168,-0.347,145.489,0.000,-0.677
'[13:11:43.566 13/07/1995]',0.009,0.140,-0.298,145.489,0.000,-0.677
'[13:11:43.568 13/07/1995]',0.021,0.117,-0.253,146.391,0.000,-0.672
'[13:11:43.570 13/07/1995]',0.033,0.094,-0.208,146.391,0.000,-0.672
'[13:11:43.572 13/07/1995]',0.043,0.075,-0.166,146.391,0.000,-0.672
'[13:11:43.574 13/07/1995]',0.054,0.056,-0.125,146.391,0.000,-0.672
'[13:11:43.576 13/07/1995]',0.063,0.042,-0.087,145.263,0.000,-0.668
'[13:11:43.578 13/07/1995]',0.073,0.028,-0.049,145.263,0.000,-0.668
'[13:11:43.580 13/07/1995]',0.081,0.017,-0.017,145.263,0.000,-0.668
'[13:11:43.582 13/07/1995]',0.089,0.007,0.014,145.263,0.000,-0.668
'[13:11:43.584 13/07/1995]',0.096,-0.005,0.036,142.632,0.000,-0.663
'[13:11:43.586 13/07/1995]',0.103,-0.017,0.059,142.632,0.000,-0.663
'[13:11:43.588 13/07/1995]',0.108,-0.030,0.076,142.632,0.000,-0.663
'[13:11:43.590 13/07/1995]',0.113,-0.042,0.094,142.632,0.000,-0.663
'[13:11:43.592 13/07/1995]',0.117,-0.051,0.107,138.947,0.000,-0.657
'[13:11:43.594 13/07/1995]',0.122,-0.059,0.121,138.947,0.000,-0.657
'[13:11:43.596 13/07/1995]',0.126,-0.068,0.139,138.947,0.000,-0.657
'[13:11:43.598 13/07/1995]',0.129,-0.077,0.156,138.947,0.000,-0.657
'[13:11:43.600 13/07/1995]',0.129,-0.084,0.168,134.511,0.000,-0.652
'[13:11:43.602 13/07/1995]',0.129,-0.091,0.180,134.511,0.000,-0.652
'[13:11:43.604 13/07/1995]',0.130,-0.094,0.187,134.511,0.000,-0.652
'[13:11:43.606 13/07/1995]',0.131,-0.098,0.194,134.511,0.000,-0.652
'[13:11:43.608 13/07/1995]',0.134,-0.099,0.199,129.699,0.000,-0.646
'[13:11:43.610 13/07/1995]',0.136,-0.101,0.205,129.699,0.000,-0.646
'[13:11:43.612 13/07/1995]',0.136,-0.101,0.210,129.699,0.000,-0.646
'[13:11:43.614 13/07/1995]',0.136,-0.101,0.215,129.699,0.000,-0.646
'[13:11:43.616 13/07/1995]',0.133,-0.098,0.217,124.737,0.000,-0.640
'[13:11:43.618 13/07/1995]',0.129,-0.094,0.218,124.737,0.000,-0.640
'[13:11:43.620 13/07/1995]',0.127,-0.089,0.224,124.737,0.000,-0.640
'[13:11:43.622 13/07/1995]',0.124,-0.084,0.229,124.737,0.000,-0.640
'[13:11:43.624 13/07/1995]',0.123,-0.080,0.234,119.850,0.000,-0.633
