'Time and date','MCL1 ','V ','ABP ','PAP ','PLETH ','RESP '
'[10:41:44.098 08/05/1995]',0.027,0.079,70.738,25.191,-0.425,-0.631
'[10:41:44.100 08/05/1995]',0.027,0.079,70.738,25.191,-0.425,-0.631
'[10:41:44.102 08/05/1995]',0.027,0.079,70.738,25.191,-0.425,-0.631
'[10:41:44.104 08/05/1995]',0.036,0.079,72.390,26.362,-0.421,-0.631
'[10:41:44.106 08/05/1995]',0.027,0.079,72.390,26.362,-0.421,-0.631
'[10:41:44.108 08/05/1995]',0.036,0.079,72.390,26.362,-0.421,-0.631
'[10:41:44.110 08/05/1995]',0.036,0.079,72.390,26.362,-0.421,-0.631
'[10:41:44.112 08/05/1995]',0.036,0.079,74.868,27.458,-0.417,-0.631
'[10:41:44.114 08/05/1995]',0.036,0.093,74.868,27.458,-0.417,-0.631
'[10:41:44.116 08/05/1995]',0.036,0.093,74.868,27.458,-0.417,-0.631
'[10:41:44.118 08/05/1995]',0.044,0.093,74.868,27.458,-0.417,-0.631
'[10:41:44.120 08/05/1995]',0.044,0.093,78.022,28.505,-0.413,-0.631
'[10:41:44.122 08/05/1995]',0.036,0.093,78.022,28.505,-0.413,-0.631
'[10:41:44.124 08/05/1995]',0.044,0.093,78.022,28.505,-0.413,-0.631
'[10:41:44.126 08/05/1995]',0.044,0.093,78.022,28.505,-0.413,-0.631
'[10:41:44.128 08/05/1995]',0.044,0.106,81.927,29.502,-0.408,-0.631
'[10:41:44.130 08/05/1995]',0.044,0.106,81.927,29.502,-0.408,-0.631
'[10:41:44.132 08/05/1995]',0.053,0.106,81.927,29.502,-0.408,-0.631
'[10:41:44.134 08/05/1995]',0.044,0.106,81.927,29.502,-0.408,-0.631
'[10:41:44.136 08/05/1995]',0.044,0.093,86.208,30.374,-0.403,-0.631
'[10:41:44.138 08/05/1995]',0.044,0.093,86.208,30.374,-0.403,-0.631
'[10:41:44.140 08/05/1995]',0.036,0.093,86.208,30.374,-0.403,-0.631
'[10:41:44.142 08/05/1995]',0.036,0.093,86.208,30.374,-0.403,-0.631
'[10:41:44.144 08/05/1995]',0.036,0.093,90.788,31.196,-0.394,-0.632
'[10:41:44.146 08/05/1995]',0.044,0.106,90.788,31.196,-0.394,-0.632
'[10:41:44.148 08/05/1995]',0.053,0.106,90.788,31.196,-0.394,-0.632
'[10:41:44.150 08/05/1995]',0.053,0.106,90.788,31.196,-0.394,-0.632
'[10:41:44.152 08/05/1995]',0.062,0.106,95.294,31.894,-0.382,-0.632
'[10:41:44.154 08/05/1995]',0.053,0.106,95.294,31.894,-0.382,-0.632
'[10:41:44.156 08/05/1995]',0.053,0.106,95.294,31.894,-0.382,-0.632
'[10:41:44.158 08/05/1995]',0.053,0.106,95.294,31.894,-0.382,-0.632
'[10:41:44.160 08/05/1995]',0.053,0.106,99.799,32.591,-0.365,-0.633
'[10:41:44.162 08/05/1995]',0.053,0.106,99.799,32.591,-0.365,-0.633
'[10:41:44.164 08/05/1995]',0.053,0.106,99.799,32.591,-0.365,-0.633
'[10:41:44.166 08/05/1995]',0.053,0.119,99.799,32.591,-0.365,-0.633
'[10:41:44.168 08/05/1995]',0.062,0.132,104.080,33.239,-0.343,-0.634
'[10:41:44.170 08/05/1995]',0.062,0.132,104.080,33.239,-0.343,-0.634
'[10:41:44.172 08/05/1995]',0.062,0.132,104.080,33.239,-0.343,-0.634
'[10:41:44.174 08/05/1995]',0.053,0.132,104.080,33.239,-0.343,-0.634
'[10:41:44.176 08/05/1995]',0.062,0.132,107.910,33.762,-0.314,-0.635
'[10:41:44.178 08/05/1995]',0.062,0.119,107.910,33.762,-0.314,-0.635
'[10:41:44.180 08/05/1995]',0.071,0.132,107.910,33.762,-0.314,-0.635
'[10:41:44.182 08/05/1995]',0.071,0.132,107.910,33.762,-0.314,-0.635
'[10:41:44.184 08/05/1995]',0.071,0.132,111.364,34.236,-0.278,-0.636
'[10:41:44.186 08/05/1995]',0.071,0.132,111.364,34.236,-0.278,-0.636
'[10:41:44.188 08/05/1995]',0.071,0.145,111.364,34.236,-0.278,-0.636
'[10:41:44.190 08/05/1995]',0.071,0.145,111.364,34.236,-0.278,-0.636
'[10:41:44.192 08/05/1995]',0.071,0.145,114.142,34.585,-0.235,-0.637
'[10:41:44.194 08/05/1995]',0.071,0.145,114.142,34.585,-0.235,-0.637
'[10:41:44.196 08/05/1995]',0.071,0.132,114.142,34.585,-0.235,-0.637
'[10:41:44.198 08/05/1995]',0.071,0.145,114.142,34.585,-0.235,-0.637
'[10:41:44.200 08/05/1995]',0.080,0.158,116.395,34.809,-0.185,-0.637
'[10:41:44.202 08/05/1995]',0.080,0.171,116.395,34.809,-0.185,-0.637
'[10:41:44.204 08/05/1995]',0.080,0.158,116.395,34.809,-0.185,-0.637
'[10:41:44.206 08/05/1995]',0.080,0.158,116.395,34.809,-0.185,-0.637
'[10:41:44.208 08/05/1995]',0.080,0.158,118.047,34.934,-0.128,-0.637
'[10:41:44.210 08/05/1995]',0.071,0.158,118.047,34.934,-0.128,-0.637
'[10:41:44.212 08/05/1995]',0.080,0.158,118.047,34.934,-0.128,-0.637
'[10:41:44.214 08/05/1995]',0.071,0.158,118.047,34.934,-0.128,-0.637
'[10:41:44.216 08/05/1995]',0.071,0.158,119.099,34.884,-0.066,-0.637
'[10:41:44.218 08/05/1995]',0.071,0.158,119.099,34.884,-0.066,-0.637
'[10:41:44.220 08/05/1995]',0.071,0.158,119.099,34.884,-0.066,-0.637
'[10:41:44.222 08/05/1995]',0.071,0.158,119.099,34.884,-0.066,-0.637
'[10:41:44.224 08/05/1995]',0.071,0.171,119.699,34.759,0.001,-0.637
'[10:41:44.226 08/05/1995]',0.062,0.158,119.699,34.759,0.001,-0.637
'[10:41:44.228 08/05/1995]',0.062,0.171,119.699,34.759,0.001,-0.637
'[10:41:44.230 08/05/1995]',0.062,0.171,119.699,34.759,0.001,-0.637
'[10:41:44.232 08/05/1995]',0.071,0.171,119.850,34.535,0.071,-0.636
'[10:41:44.234 08/05/1995]',0.071,0.145,119.850,34.535,0.071,-0.636
'[10:41:44.236 08/05/1995]',0.071,0.145,119.850,34.535,0.071,-0.636
'[10:41:44.238 08/05/1995]',0.062,0.145,119.850,34.535,0.071,-0.636
'[10:41:44.240 08/05/1995]',0.062,0.145,119.699,34.186,0.141,-0.634
'[10:41:44.242 08/05/1995]',0.053,0.145,119.699,34.186,0.141,-0.634
'[10:41:44.244 08/05/1995]',0.053,0.145,119.699,34.186,0.141,-0.634
'[10:41:44.246 08/05/1995]',0.053,0.132,119.699,34.186,0.141,-0.634
'[10:41:44.248 08/05/1995]',0.053,0.132,119.324,33.837,0.211,-0.631
'[10:41:44.250 08/05/1995]',0.053,0.132,119.324,33.837,0.211,-0.631
'[10:41:44.252 08/05/1995]',0.062,0.119,119.324,33.837,0.211,-0.631
'[10:41:44.254 08/05/1995]',0.053,0.106,119.324,33.837,0.211,-0.631
'[10:41:44.256 08/05/1995]',0.053,0.106,118.648,33.414,0.278,-0.629
'[10:41:44.258 08/05/1995]',0.044,0.093,118.648,33.414,0.278,-0.629
'[10:41:44.260 08/05/1995]',0.044,0.093,118.648,33.414,0.278,-0.629
'[10:41:44.262 08/05/1995]',0.044,0.106,118.648,33.414,0.278,-0.629
'[10:41:44.264 08/05/1995]',0.044,0.106,117.597,32.890,0.340,-0.626
'[10:41:44.266 08/05/1995]',0.036,0.106,117.597,32.890,0.340,-0.626
'[10:41:44.268 08/05/1995]',0.027,0.093,117.597,32.890,0.340,-0.626
'[10:41:44.270 08/05/1995]',0.027,0.079,117.597,32.890,0.340,-0.626
'[10:41:44.272 08/05/1995]',0.018,0.079,116.395,32.317,0.395,-0.623
'[10:41:44.274 08/05/1995]',0.018,0.079,116.395,32.317,0.395,-0.623
'[10:41:44.276 08/05/1995]',0.018,0.066,116.395,32.317,0.395,-0.623
'[10:41:44.278 08/05/1995]',0.009,0.066,116.395,32.317,0.395,-0.623
'[10:41:44.280 08/05/1995]',0.018,0.066,114.893,31.595,0.443,-0.619
'[10:41:44.282 08/05/1995]',0.009,0.053,114.893,31.595,0.443,-0.619
'[10:41:44.284 08/05/1995]',0.009,0.053,114.893,31.595,0.443,-0.619
'[10:41:44.286 08/05/1995]',0.001,0.040,114.893,31.595,0.443,-0.619
'[10:41:44.288 08/05/1995]',0.001,0.040,113.016,30.797,0.481,-0.615
'[10:41:44.290 08/05/1995]',0.001,0.040,113.016,30.797,0.481,-0.615
'[10:41:44.292 08/05/1995]',0.001,0.040,113.016,30.797,0.481,-0.615
'[10:41:44.294 08/05/1995]',0.001,0.027,113.016,30.797,0.481,-0.615
'[10:41:44.296 08/05/1995]',0.001,0.027,110.988,29.801,0.510,-0.611
'[10:41:44.298 08/05/1995]',0.001,0.027,110.988,29.801,0.510,-0.611
'[10:41:44.300 08/05/1995]',0.001,0.014,110.988,29.801,0.510,-0.611
'[10:41:44.302 08/05/1995]',0.001,0.014,110.988,29.801,0.510,-0.611
'[10:41:44.304 08/05/1995]',0.001,0.001,108.661,28.754,0.529,-0.606
'[10:41:44.306 08/05/1995]',-0.008,0.001,108.661,28.754,0.529,-0.606
'[10:41:44.308 08/05/1995]',-0.017,0.001,108.661,28.754,0.529,-0.606
'[10:41:44.310 08/05/1995]',-0.017,0.001,108.661,28.754,0.529,-0.606
'[10:41:44.312 08/05/1995]',-0.017,0.001,106.182,27.633,0.538,-0.600
'[10:41:44.314 08/05/1995]',-0.026,0.001,106.182,27.633,0.538,-0.600
'[10:41:44.316 08/05/1995]',-0.017,0.001,106.182,27.633,0.538,-0.600
'[10:41:44.318 08/05/1995]',-0.017,0.001,106.182,27.633,0.538,-0.600
'[10:41:44.320 08/05/1995]',-0.017,0.001,103.629,26.586,0.537,-0.594
'[10:41:44.322 08/05/1995]',-0.026,0.001,103.629,26.586,0.537,-0.594
'[10:41:44.324 08/05/1995]',-0.017,0.001,103.629,26.586,0.537,-0.594
'[10:41:44.326 08/05/1995]',-0.026,-0.012,103.629,26.586,0.537,-0.594
'[10:41:44.328 08/05/1995]',-0.017,-0.012,101.076,25.714,0.527,-0.586
'[10:41:44.330 08/05/1995]',-0.008,0.001,101.076,25.714,0.527,-0.586
'[10:41:44.332 08/05/1995]',-0.008,-0.012,101.076,25.714,0.527,-0.586
'[10:41:44.334 08/05/1995]',-0.008,0.001,101.076,25.714,0.527,-0.586
'[10:41:44.336 08/05/1995]',-0.017,-0.012,98.523,25.066,0.508,-0.577
'[10:41:44.338 08/05/1995]',-0.017,-0.012,98.523,25.066,0.508,-0.577
'[10:41:44.340 08/05/1995]',-0.017,-0.012,98.523,25.066,0.508,-0.577
'[10:41:44.342 08/05/1995]',-0.017,-0.012,98.523,25.066,0.508,-0.577
'[10:41:44.344 08/05/1995]',-0.008,-0.012,96.270,24.593,0.481,-0.568
'[10:41:44.346 08/05/1995]',-0.008,-0.012,96.270,24.593,0.481,-0.568
'[10:41:44.348 08/05/1995]',0.001,-0.012,96.270,24.593,0.481,-0.568
'[10:41:44.350 08/05/1995]',0.001,-0.012,96.270,24.593,0.481,-0.568
'[10:41:44.352 08/05/1995]',0.001,-0.012,94.243,24.294,0.446,-0.557
'[10:41:44.354 08/05/1995]',-0.008,-0.012,94.243,24.294,0.446,-0.557
'[10:41:44.356 08/05/1995]',-0.008,-0.012,94.243,24.294,0.446,-0.557
'[10:41:44.358 08/05/1995]',-0.008,-0.012,94.243,24.294,0.446,-0.557
'[10:41:44.360 08/05/1995]',-0.008,-0.012,92.365,24.194,0.404,-0.546
'[10:41:44.362 08/05/1995]',-0.008,-0.012,92.365,24.194,0.404,-0.546
'[10:41:44.364 08/05/1995]',-0.008,-0.012,92.365,24.194,0.404,-0.546
'[10:41:44.366 08/05/1995]',-0.008,-0.012,92.365,24.194,0.404,-0.546
'[10:41:44.368 08/05/1995]',-0.008,-0.012,90.863,24.194,0.356,-0.535
'[10:41:44.370 08/05/1995]',-0.008,-0.012,90.863,24.194,0.356,-0.535
'[10:41:44.372 08/05/1995]',-0.017,-0.025,90.863,24.194,0.356,-0.535
'[10:41:44.374 08/05/1995]',-0.017,-0.025,90.863,24.194,0.356,-0.535
'[10:41:44.376 08/05/1995]',-0.017,-0.025,89.662,24.369,0.302,-0.523
'[10:41:44.378 08/05/1995]',-0.017,-0.025,89.662,24.369,0.302,-0.523
'[10:41:44.380 08/05/1995]',-0.008,-0.012,89.662,24.369,0.302,-0.523
'[10:41:44.382 08/05/1995]',-0.008,-0.012,89.662,24.369,0.302,-0.523
'[10:41:44.384 08/05/1995]',-0.008,-0.012,88.836,24.593,0.245,-0.512
'[10:41:44.386 08/05/1995]',0.001,-0.012,88.836,24.593,0.245,-0.512
'[10:41:44.388 08/05/1995]',-0.008,-0.025,88.836,24.593,0.245,-0.512
'[10:41:44.390 08/05/1995]',-0.017,-0.038,88.836,24.593,0.245,-0.512
'[10:41:44.392 08/05/1995]',-0.017,-0.038,88.160,24.892,0.185,-0.501
'[10:41:44.394 08/05/1995]',-0.026,-0.038,88.160,24.892,0.185,-0.501
'[10:41:44.396 08/05/1995]',-0.026,-0.038,88.160,24.892,0.185,-0.501
'[10:41:44.398 08/05/1995]',-0.026,-0.025,88.160,24.892,0.185,-0.501
'[10:41:44.400 08/05/1995]',-0.026,-0.025,87.785,25.191,0.123,-0.490
'[10:41:44.402 08/05/1995]',-0.017,-0.038,87.785,25.191,0.123,-0.490
'[10:41:44.404 08/05/1995]',-0.017,-0.038,87.785,25.191,0.123,-0.490
'[10:41:44.406 08/05/1995]',-0.026,-0.038,87.785,25.191,0.123,-0.490
'[10:41:44.408 08/05/1995]',-0.017,-0.038,87.559,25.415,0.061,-0.480
'[10:41:44.410 08/05/1995]',-0.026,-0.038,87.559,25.415,0.061,-0.480
'[10:41:44.412 08/05/1995]',-0.017,-0.038,87.559,25.415,0.061,-0.480
'[10:41:44.414 08/05/1995]',-0.017,-0.025,87.559,25.415,0.061,-0.480
'[10:41:44.416 08/05/1995]',-0.026,-0.038,87.484,25.590,0.000,-0.470
'[10:41:44.418 08/05/1995]',-0.026,-0.038,87.484,25.590,0.000,-0.470
'[10:41:44.420 08/05/1995]',-0.026,-0.038,87.484,25.590,0.000,-0.470
'[10:41:44.422 08/05/1995]',-0.034,-0.038,87.484,25.590,0.000,-0.470
'[10:41:44.424 08/05/1995]',-0.034,-0.038,87.559,25.590,-0.059,-0.461
'[10:41:44.426 08/05/1995]',-0.034,-0.038,87.559,25.590,-0.059,-0.461
'[10:41:44.428 08/05/1995]',-0.034,-0.038,87.559,25.590,-0.059,-0.461
'[10:41:44.430 08/05/1995]',-0.034,-0.038,87.559,25.590,-0.059,-0.461
'[10:41:44.432 08/05/1995]',-0.034,-0.038,87.709,25.465,-0.116,-0.451
'[10:41:44.434 08/05/1995]',-0.026,-0.038,87.709,25.465,-0.116,-0.451
'[10:41:44.436 08/05/1995]',-0.026,-0.038,87.709,25.465,-0.116,-0.451
'[10:41:44.438 08/05/1995]',-0.034,-0.038,87.709,25.465,-0.116,-0.451
'[10:41:44.440 08/05/1995]',-0.034,-0.038,87.860,25.291,-0.169,-0.442
'[10:41:44.442 08/05/1995]',-0.034,-0.051,87.860,25.291,-0.169,-0.442
'[10:41:44.444 08/05/1995]',-0.026,-0.038,87.860,25.291,-0.169,-0.442
'[10:41:44.446 08/05/1995]',-0.034,-0.038,87.860,25.291,-0.169,-0.442
'[10:41:44.448 08/05/1995]',-0.034,-0.038,88.085,25.017,-0.217,-0.432
'[10:41:44.450 08/05/1995]',-0.026,-0.038,88.085,25.017,-0.217,-0.432
'[10:41:44.452 08/05/1995]',-0.026,-0.051,88.085,25.017,-0.217,-0.432
'[10:41:44.454 08/05/1995]',-0.026,-0.038,88.085,25.017,-0.217,-0.432
'[10:41:44.456 08/05/1995]',-0.017,-0.038,88.310,24.668,-0.261,-0.423
'[10:41:44.458 08/05/1995]',-0.017,-0.038,88.310,24.668,-0.261,-0.423
'[10:41:44.460 08/05/1995]',-0.026,-0.038,88.310,24.668,-0.261,-0.423
'[10:41:44.462 08/05/1995]',-0.026,-0.038,88.310,24.668,-0.261,-0.423
'[10:41:44.464 08/05/1995]',-0.026,-0.038,88.385,24.294,-0.299,-0.413
'[10:41:44.466 08/05/1995]',-0.026,-0.038,88.385,24.294,-0.299,-0.413
'[10:41:44.468 08/05/1995]',-0.026,-0.038,88.385,24.294,-0.299,-0.413
'[10:41:44.470 08/05/1995]',-0.026,-0.038,88.385,24.294,-0.299,-0.413
'[10:41:44.472 08/05/1995]',-0.026,-0.038,88.460,23.945,-0.333,-0.403
'[10:41:44.474 08/05/1995]',-0.034,-0.038,88.460,23.945,-0.333,-0.403
'[10:41:44.476 08/05/1995]',-0.026,-0.038,88.460,23.945,-0.333,-0.403
'[10:41:44.478 08/05/1995]',-0.026,-0.038,88.460,23.945,-0.333,-0.403
'[10:41:44.480 08/05/1995]',-0.026,-0.038,88.385,23.671,-0.362,-0.393
'[10:41:44.482 08/05/1995]',-0.017,-0.038,88.385,23.671,-0.362,-0.393
'[10:41:44.484 08/05/1995]',-0.017,-0.038,88.385,23.671,-0.362,-0.393
'[10:41:44.486 08/05/1995]',-0.026,-0.038,88.385,23.671,-0.362,-0.393
'[10:41:44.488 08/05/1995]',-0.026,-0.038,88.310,23.372,-0.386,-0.384
'[10:41:44.490 08/05/1995]',-0.026,-0.038,88.310,23.372,-0.386,-0.384
'[10:41:44.492 08/05/1995]',-0.026,-0.051,88.310,23.372,-0.386,-0.384
'[10:41:44.494 08/05/1995]',-0.017,-0.038,88.310,23.372,-0.386,-0.384
'[10:41:44.496 08/05/1995]',-0.026,-0.038,88.010,23.073,-0.405,-0.376
'[10:41:44.498 08/05/1995]',-0.017,-0.038,88.010,23.073,-0.405,-0.376
'[10:41:44.500 08/05/1995]',-0.017,-0.038,88.010,23.073,-0.405,-0.376
'[10:41:44.502 08/05/1995]',-0.026,-0.038,88.010,23.073,-0.405,-0.376
'[10:41:44.504 08/05/1995]',-0.026,-0.025,87.559,22.849,-0.421,-0.368
'[10:41:44.506 08/05/1995]',-0.026,-0.038,87.559,22.849,-0.421,-0.368
'[10:41:44.508 08/05/1995]',-0.017,-0.025,87.559,22.849,-0.421,-0.368
'[10:41:44.510 08/05/1995]',-0.026,-0.038,87.559,22.849,-0.421,-0.368
'[10:41:44.512 08/05/1995]',-0.026,-0.025,87.034,22.674,-0.432,-0.360
'[10:41:44.514 08/05/1995]',-0.017,-0.025,87.034,22.674,-0.432,-0.360
'[10:41:44.516 08/05/1995]',-0.017,-0.025,87.034,22.674,-0.432,-0.360
'[10:41:44.518 08/05/1995]',-0.017,-0.025,87.034,22.674,-0.432,-0.360
'[10:41:44.520 08/05/1995]',-0.026,-0.038,86.433,22.425,-0.441,-0.352
'[10:41:44.522 08/05/1995]',-0.026,-0.038,86.433,22.425,-0.441,-0.352
'[10:41:44.524 08/05/1995]',-0.026,-0.038,86.433,22.425,-0.441,-0.352
'[10:41:44.526 08/05/1995]',-0.026,-0.038,86.433,22.425,-0.441,-0.352
'[10:41:44.528 08/05/1995]',-0.026,-0.038,85.832,22.251,-0.447,-0.344
'[10:41:44.530 08/05/1995]',-0.026,-0.038,85.832,22.251,-0.447,-0.344
'[10:41:44.532 08/05/1995]',-0.026,-0.025,85.832,22.251,-0.447,-0.344
'[10:41:44.534 08/05/1995]',-0.017,-0.038,85.832,22.251,-0.447,-0.344
'[10:41:44.536 08/05/1995]',-0.026,-0.025,85.156,22.027,-0.451,-0.335
'[10:41:44.538 08/05/1995]',-0.026,-0.038,85.156,22.027,-0.451,-0.335
'[10:41:44.540 08/05/1995]',-0.017,-0.025,85.156,22.027,-0.451,-0.335
'[10:41:44.542 08/05/1995]',-0.026,-0.038,85.156,22.027,-0.451,-0.335
'[10:41:44.544 08/05/1995]',-0.026,-0.025,84.405,21.852,-0.453,-0.326
'[10:41:44.546 08/05/1995]',-0.017,-0.025,84.405,21.852,-0.453,-0.326
'[10:41:44.548 08/05/1995]',-0.017,-0.012,84.405,21.852,-0.453,-0.326
'[10:41:44.550 08/05/1995]',-0.017,-0.025,84.405,21.852,-0.453,-0.326
'[10:41:44.552 08/05/1995]',-0.017,-0.038,83.729,21.678,-0.454,-0.316
'[10:41:44.554 08/05/1995]',-0.017,-0.038,83.729,21.678,-0.454,-0.316
'[10:41:44.556 08/05/1995]',-0.026,-0.038,83.729,21.678,-0.454,-0.316
'[10:41:44.558 08/05/1995]',-0.026,-0.038,83.729,21.678,-0.454,-0.316
'[10:41:44.560 08/05/1995]',-0.017,-0.038,82.979,21.503,-0.454,-0.306
'[10:41:44.562 08/05/1995]',-0.026,-0.038,82.979,21.503,-0.454,-0.306
'[10:41:44.564 08/05/1995]',-0.026,-0.025,82.979,21.503,-0.454,-0.306
'[10:41:44.566 08/05/1995]',-0.026,-0.012,82.979,21.503,-0.454,-0.306
'[10:41:44.568 08/05/1995]',-0.026,-0.012,82.228,21.379,-0.453,-0.297
'[10:41:44.570 08/05/1995]',-0.026,-0.025,82.228,21.379,-0.453,-0.297
'[10:41:44.572 08/05/1995]',-0.026,-0.012,82.228,21.379,-0.453,-0.297
'[10:41:44.574 08/05/1995]',-0.026,-0.025,82.228,21.379,-0.453,-0.297
'[10:41:44.576 08/05/1995]',-0.026,-0.025,81.627,21.279,-0.451,-0.287
'[10:41:44.578 08/05/1995]',-0.017,-0.025,81.627,21.279,-0.451,-0.287
'[10:41:44.580 08/05/1995]',-0.017,-0.012,81.627,21.279,-0.451,-0.287
'[10:41:44.582 08/05/1995]',-0.017,-0.025,81.627,21.279,-0.451,-0.287
'[10:41:44.584 08/05/1995]',-0.008,-0.025,80.951,21.105,-0.449,-0.278
'[10:41:44.586 08/05/1995]',-0.008,-0.025,80.951,21.105,-0.449,-0.278
'[10:41:44.588 08/05/1995]',-0.008,-0.025,80.951,21.105,-0.449,-0.278
'[10:41:44.590 08/05/1995]',-0.008,-0.025,80.951,21.105,-0.449,-0.278
'[10:41:44.592 08/05/1995]',-0.017,-0.038,80.425,20.980,-0.448,-0.269
'[10:41:44.594 08/05/1995]',-0.017,-0.025,80.425,20.980,-0.448,-0.269
'[10:41:44.596 08/05/1995]',-0.017,-0.025,80.425,20.980,-0.448,-0.269
'[10:41:44.598 08/05/1995]',-0.017,-0.025,80.425,20.980,-0.448,-0.269
'[10:41:44.600 08/05/1995]',-0.008,-0.012,79.975,20.806,-0.447,-0.259
'[10:41:44.602 08/05/1995]',-0.017,-0.025,79.975,20.806,-0.447,-0.259
'[10:41:44.604 08/05/1995]',-0.017,-0.025,79.975,20.806,-0.447,-0.259
'[10:41:44.606 08/05/1995]',-0.017,-0.038,79.975,20.806,-0.447,-0.259
'[10:41:44.608 08/05/1995]',-0.017,-0.025,79.524,20.681,-0.446,-0.249
'[10:41:44.610 08/05/1995]',-0.026,-0.038,79.524,20.681,-0.446,-0.249
'[10:41:44.612 08/05/1995]',-0.017,-0.025,79.524,20.681,-0.446,-0.249
'[10:41:44.614 08/05/1995]',-0.017,-0.025,79.524,20.681,-0.446,-0.249
'[10:41:44.616 08/05/1995]',-0.008,-0.012,79.149,20.507,-0.445,-0.240
'[10:41:44.618 08/05/1995]',-0.008,-0.012,79.149,20.507,-0.445,-0.240
