'Time and date','MCL1','II','V','ABP','PAP','PLETH','RESP'
'[07:40:49.170 26/05/1995]',-0.051,0.002,-0.017,63.450,37.286,0.000,-
'[07:40:49.172 26/05/1995]',-0.093,0.055,-0.073,63.450,37.286,0.000,-
'[07:40:49.174 26/05/1995]',-0.135,0.110,-0.128,63.450,37.286,0.000,-
'[07:40:49.176 26/05/1995]',-0.155,0.191,-0.166,63.225,37.337,0.000,-
'[07:40:49.178 26/05/1995]',-0.197,0.273,-0.240,63.225,37.337,0.000,-
'[07:40:49.180 26/05/1995]',-0.249,0.354,-0.313,63.225,37.337,0.000,-
'[07:40:49.182 26/05/1995]',-0.300,0.434,-0.388,63.225,37.337,0.000,-
'[07:40:49.184 26/05/1995]',-0.352,0.515,-0.481,62.925,37.538,0.000,-
'[07:40:49.186 26/05/1995]',-0.405,0.624,-0.554,62.925,37.538,0.000,-
'[07:40:49.188 26/05/1995]',-0.415,0.678,-0.610,62.925,37.538,0.000,-
'[07:40:49.190 26/05/1995]',-0.425,0.732,-0.647,62.925,37.538,0.000,-
'[07:40:49.192 26/05/1995]',-0.425,0.760,-0.666,62.625,37.688,0.000,-
'[07:40:49.194 26/05/1995]',-0.425,0.732,-0.666,62.625,37.688,0.000,-
'[07:40:49.196 26/05/1995]',-0.425,0.678,-0.628,62.625,37.688,0.000,-
'[07:40:49.198 26/05/1995]',-0.425,0.624,-0.591,62.625,37.688,0.000,-
'[07:40:49.200 26/05/1995]',-0.415,0.570,-0.535,62.325,37.839,0.000,-
'[07:40:49.202 26/05/1995]',-0.394,0.488,-0.499,62.325,37.839,0.000,-
'[07:40:49.204 26/05/1995]',-0.405,0.434,-0.462,62.325,37.839,0.000,-
'[07:40:49.206 26/05/1995]',-0.384,0.407,-0.425,62.325,37.839,0.000,-
'[07:40:49.208 26/05/1995]',-0.352,0.407,-0.388,62.025,37.889,0.000,-
'[07:40:49.210 26/05/1995]',-0.321,0.381,-0.351,62.025,37.889,0.000,-
'[07:40:49.212 26/05/1995]',-0.300,0.381,-0.351,62.025,37.889,0.000,-
'[07:40:49.214 26/05/1995]',-0.249,0.381,-0.313,62.025,37.889,0.000,-
'[07:40:49.216 26/05/1995]',-0.186,0.407,-0.313,61.650,37.940,0.000,-
'[07:40:49.218 26/05/1995]',-0.124,0.434,-0.295,61.650,37.940,0.000,-
'[07:40:49.220 26/05/1995]',-0.041,0.461,-0.258,61.650,37.940,0.000,-
'[07:40:49.222 26/05/1995]',0.011,0.461,-0.258,61.650,37.940,0.000,-
'[07:40:49.224 26/05/1995]',0.073,0.488,-0.240,61.275,37.889,0.000,-
'[07:40:49.226 26/05/1995]',0.126,0.515,-0.240,61.275,37.889,0.000,-
'[07:40:49.228 26/05/1995]',0.156,0.515,-0.221,61.275,37.889,0.000,-
'[07:40:49.230 26/05/1995]',0.177,0.461,-0.184,61.275,37.889,0.000,-
'[07:40:49.232 26/05/1995]',0.219,0.407,-0.166,60.900,37.889,0.000,-
'[07:40:49.234 26/05/1995]',0.271,0.354,-0.110,60.900,37.889,0.000,-
'[07:40:49.236 26/05/1995]',0.312,0.273,-0.073,60.900,37.889,0.000,-
'[07:40:49.238 26/05/1995]',0.333,0.191,-0.054,60.900,37.889,0.000,-
'[07:40:49.240 26/05/1995]',0.364,0.137,-0.017,60.525,37.889,0.000,-
'[07:40:49.242 26/05/1995]',0.396,0.137,0.002,60.525,37.889,0.000,-
'[07:40:49.244 26/05/1995]',0.416,0.110,0.002,60.525,37.889,0.000,-
'[07:40:49.246 26/05/1995]',0.416,0.055,0.019,60.525,37.889,0.000,-
'[07:40:49.248 26/05/1995]',0.396,0.055,0.019,60.150,37.990,0.000,-
'[07:40:49.250 26/05/1995]',0.364,0.028,0.038,60.150,37.990,0.000,-
'[07:40:49.252 26/05/1995]',0.333,0.028,0.038,60.150,37.990,0.000,-
'[07:40:49.254 26/05/1995]',0.312,0.028,0.038,60.150,37.990,0.000,-
'[07:40:49.256 26/05/1995]',0.271,0.028,0.038,59.775,38.191,0.000,-
'[07:40:49.258 26/05/1995]',0.229,0.002,0.057,59.775,38.191,0.000,-
'[07:40:49.260 26/05/1995]',0.188,0.002,0.057,59.775,38.191,0.000,-
'[07:40:49.262 26/05/1995]',0.156,-0.052,0.075,59.775,38.191,0.000,-
'[07:40:49.264 26/05/1995]',0.136,-0.079,0.075,59.400,38.392,0.000,-
'[07:40:49.266 26/05/1995]',0.105,-0.133,0.094,59.400,38.392,0.000,-
'[07:40:49.268 26/05/1995]',0.094,-0.133,0.094,59.400,38.392,0.000,-
'[07:40:49.270 26/05/1995]',0.084,-0.160,0.112,59.400,38.392,0.000,-
'[07:40:49.272 26/05/1995]',0.084,-0.160,0.112,59.025,38.693,0.000,-
'[07:40:49.274 26/05/1995]',0.073,-0.160,0.112,59.025,38.693,0.000,-
'[07:40:49.276 26/05/1995]',0.063,-0.187,0.112,59.025,38.693,0.000,-
'[07:40:49.278 26/05/1995]',0.073,-0.187,0.112,59.025,38.693,0.000,-
'[07:40:49.280 26/05/1995]',0.063,-0.187,0.112,58.725,38.945,0.000,-
'[07:40:49.282 26/05/1995]',0.073,-0.187,0.112,58.725,38.945,0.000,-
'[07:40:49.284 26/05/1995]',0.063,-0.187,0.112,58.725,38.945,0.000,-
'[07:40:49.286 26/05/1995]',0.063,-0.187,0.112,58.725,38.945,0.000,-
'[07:40:49.288 26/05/1995]',0.063,-0.187,0.112,58.500,39.045,0.000,-
'[07:40:49.290 26/05/1995]',0.063,-0.160,0.112,58.500,39.045,0.000,-
'[07:40:49.292 26/05/1995]',0.063,-0.187,0.112,58.500,39.045,0.000,-
'[07:40:49.294 26/05/1995]',0.063,-0.187,0.112,58.500,39.045,0.000,-
'[07:40:49.296 26/05/1995]',0.063,-0.187,0.112,58.275,39.095,0.000,-
'[07:40:49.298 26/05/1995]',0.063,-0.187,0.112,58.275,39.095,0.000,-
'[07:40:49.300 26/05/1995]',0.063,-0.187,0.112,58.275,39.095,0.000,-
'[07:40:49.302 26/05/1995]',0.053,-0.187,0.112,58.275,39.095,0.000,-
'[07:40:49.304 26/05/1995]',0.063,-0.187,0.112,57.975,39.196,0.000,-
'[07:40:49.306 26/05/1995]',0.063,-0.187,0.112,57.975,39.196,0.000,-
'[07:40:49.308 26/05/1995]',0.063,-0.187,0.112,57.975,39.196,0.000,-
'[07:40:49.310 26/05/1995]',0.063,-0.187,0.112,57.975,39.196,0.000,-
'[07:40:49.312 26/05/1995]',0.063,-0.187,0.112,57.750,39.246,0.000,-
'[07:40:49.314 26/05/1995]',0.063,-0.187,0.112,57.750,39.246,0.000,-
'[07:40:49.316 26/05/1995]',0.063,-0.215,0.112,57.750,39.246,0.000,-
'[07:40:49.318 26/05/1995]',0.063,-0.215,0.112,57.750,39.246,0.000,-
'[07:40:49.320 26/05/1995]',0.063,-0.215,0.112,57.525,39.447,0.000,-
'[07:40:49.322 26/05/1995]',0.063,-0.215,0.112,57.525,39.447,0.000,-
'[07:40:49.324 26/05/1995]',0.063,-0.215,0.112,57.525,39.447,0.000,-
'[07:40:49.326 26/05/1995]',0.063,-0.215,0.112,57.525,39.447,0.000,-
'[07:40:49.328 26/05/1995]',0.063,-0.187,0.112,57.375,40.050,0.000,-
'[07:40:49.330 26/05/1995]',0.073,-0.187,0.112,57.375,40.050,0.000,-
'[07:40:49.332 26/05/1995]',0.063,-0.187,0.112,57.375,40.050,0.000,-
'[07:40:49.334 26/05/1995]',0.073,-0.187,0.112,57.375,40.050,0.000,-
'[07:40:49.336 26/05/1995]',0.073,-0.187,0.112,57.300,40.905,0.000,-
'[07:40:49.338 26/05/1995]',0.073,-0.187,0.112,57.300,40.905,0.000,-
'[07:40:49.340 26/05/1995]',0.073,-0.187,0.112,57.300,40.905,0.000,-
'[07:40:49.342 26/05/1995]',0.063,-0.187,0.112,57.300,40.905,0.000,-
'[07:40:49.344 26/05/1995]',0.073,-0.187,0.112,57.375,41.960,0.000,-
'[07:40:49.346 26/05/1995]',0.063,-0.187,0.112,57.375,41.960,0.000,-
'[07:40:49.348 26/05/1995]',0.063,-0.187,0.112,57.375,41.960,0.000,-
'[07:40:49.350 26/05/1995]',0.073,-0.187,0.112,57.375,41.960,0.000,-
'[07:40:49.352 26/05/1995]',0.063,-0.187,0.112,57.525,43.216,0.000,-
'[07:40:49.354 26/05/1995]',0.063,-0.187,0.112,57.525,43.216,0.000,-
'[07:40:49.356 26/05/1995]',0.063,-0.187,0.112,57.525,43.216,0.000,-
'[07:40:49.358 26/05/1995]',0.063,-0.187,0.112,57.525,43.216,0.000,-
'[07:40:49.360 26/05/1995]',0.063,-0.187,0.112,58.050,44.774,0.000,-
'[07:40:49.362 26/05/1995]',0.063,-0.215,0.112,58.050,44.774,0.000,-
'[07:40:49.364 26/05/1995]',0.063,-0.187,0.112,58.050,44.774,0.000,-
'[07:40:49.366 26/05/1995]',0.063,-0.215,0.112,58.050,44.774,0.000,-
'[07:40:49.368 26/05/1995]',0.063,-0.187,0.112,59.100,46.633,0.000,-
'[07:40:49.370 26/05/1995]',0.063,-0.187,0.112,59.100,46.633,0.000,-
'[07:40:49.372 26/05/1995]',0.073,-0.187,0.112,59.100,46.633,0.000,-
'[07:40:49.374 26/05/1995]',0.063,-0.187,0.131,59.100,46.633,0.000,-
'[07:40:49.376 26/05/1995]',0.063,-0.187,0.112,60.825,48.995,0.000,-
'[07:40:49.378 26/05/1995]',0.063,-0.187,0.112,60.825,48.995,0.000,-
'[07:40:49.380 26/05/1995]',0.063,-0.187,0.112,60.825,48.995,0.000,-
'[07:40:49.382 26/05/1995]',0.063,-0.187,0.131,60.825,48.995,0.000,-
'[07:40:49.384 26/05/1995]',0.063,-0.187,0.131,63.300,51.658,0.000,-
'[07:40:49.386 26/05/1995]',0.063,-0.187,0.131,63.300,51.658,0.000,-
'[07:40:49.388 26/05/1995]',0.063,-0.187,0.131,63.300,51.658,0.000,-
'[07:40:49.390 26/05/1995]',0.063,-0.187,0.112,63.300,51.658,0.000,-
'[07:40:49.392 26/05/1995]',0.053,-0.187,0.112,66.675,54.523,0.000,-
'[07:40:49.394 26/05/1995]',0.053,-0.187,0.112,66.675,54.523,0.000,-
'[07:40:49.396 26/05/1995]',0.053,-0.187,0.112,66.675,54.523,0.000,-
'[07:40:49.398 26/05/1995]',0.053,-0.187,0.112,66.675,54.523,0.000,-
'[07:40:49.400 26/05/1995]',0.053,-0.187,0.112,70.575,57.538,0.000,-
'[07:40:49.402 26/05/1995]',0.042,-0.187,0.112,70.575,57.538,0.000,-
'[07:40:49.404 26/05/1995]',0.042,-0.187,0.112,70.575,57.538,0.000,-
'[07:40:49.406 26/05/1995]',0.042,-0.187,0.112,70.575,57.538,0.000,-
'[07:40:49.408 26/05/1995]',0.032,-0.187,0.112,74.925,60.553,0.000,-
'[07:40:49.410 26/05/1995]',0.032,-0.187,0.112,74.925,60.553,0.000,-
'[07:40:49.412 26/05/1995]',0.032,-0.187,0.112,74.925,60.553,0.000,-
'[07:40:49.414 26/05/1995]',0.032,-0.187,0.112,74.925,60.553,0.000,-
'[07:40:49.416 26/05/1995]',0.032,-0.187,0.112,79.725,63.417,0.000,-
'[07:40:49.418 26/05/1995]',0.021,-0.160,0.094,79.725,63.417,0.000,-
'[07:40:49.420 26/05/1995]',0.021,-0.160,0.094,79.725,63.417,0.000,-
'[07:40:49.422 26/05/1995]',0.021,-0.160,0.094,79.725,63.417,0.000,-
'[07:40:49.424 26/05/1995]',0.021,-0.160,0.094,84.525,66.131,0.000,-
'[07:40:49.426 26/05/1995]',0.021,-0.160,0.094,84.525,66.131,0.000,-
'[07:40:49.428 26/05/1995]',0.011,-0.160,0.094,84.525,66.131,0.000,-
'[07:40:49.430 26/05/1995]',0.001,-0.160,0.075,84.525,66.131,0.000,-
'[07:40:49.432 26/05/1995]',0.001,-0.133,0.094,89.250,68.543,0.000,-
'[07:40:49.434 26/05/1995]',0.001,-0.133,0.075,89.250,68.543,0.000,-
'[07:40:49.436 26/05/1995]',0.001,-0.133,0.075,89.250,68.543,0.000,-
'[07:40:49.438 26/05/1995]',0.001,-0.133,0.075,89.250,68.543,0.000,-
'[07:40:49.440 26/05/1995]',0.001,-0.133,0.075,93.600,70.704,0.000,-
'[07:40:49.442 26/05/1995]',0.001,-0.133,0.075,93.600,70.704,0.000,-
'[07:40:49.444 26/05/1995]',-0.009,-0.133,0.075,93.600,70.704,0.000,-
'[07:40:49.446 26/05/1995]',0.001,-0.133,0.075,93.600,70.704,0.000,-
'[07:40:49.448 26/05/1995]',-0.009,-0.106,0.075,97.425,72.513,0.000,-
'[07:40:49.450 26/05/1995]',-0.009,-0.106,0.075,97.425,72.513,0.000,-
'[07:40:49.452 26/05/1995]',-0.009,-0.106,0.057,97.425,72.513,0.000,-
'[07:40:49.454 26/05/1995]',-0.020,-0.106,0.057,97.425,72.513,0.000,-
'[07:40:49.456 26/05/1995]',-0.020,-0.106,0.057,100.650,74.121,0.000,-
'[07:40:49.458 26/05/1995]',-0.020,-0.106,0.057,100.650,74.121,0.000,-
'[07:40:49.460 26/05/1995]',-0.020,-0.106,0.057,100.650,74.121,0.000,-
'[07:40:49.462 26/05/1995]',-0.030,-0.106,0.057,100.650,74.121,0.000,-
'[07:40:49.464 26/05/1995]',-0.030,-0.079,0.057,103.125,75.327,0.000,-1.020
'[07:40:49.466 26/05/1995]',-0.030,-0.079,0.038,103.125,75.327,0.000,-1.020
'[07:40:49.468 26/05/1995]',-0.041,-0.079,0.038,103.125,75.327,0.000,-1.020
'[07:40:49.470 26/05/1995]',-0.030,-0.079,0.038,103.125,75.327,0.000,-1.020
'[07:40:49.472 26/05/1995]',-0.030,-0.079,0.038,105.075,76.332,0.000,-0.986
'[07:40:49.474 26/05/1995]',-0.041,-0.052,0.038,105.075,76.332,0.000,-0.986
'[07:40:49.476 26/05/1995]',-0.041,-0.052,0.019,105.075,76.332,0.000,-0.986
'[07:40:49.478 26/05/1995]',-0.051,-0.052,0.019,105.075,76.332,0.000,-0.986
'[07:40:49.480 26/05/1995]',-0.051,-0.052,0.019,106.425,77.035,0.000,-0.950
'[07:40:49.482 26/05/1995]',-0.051,-0.052,0.019,106.425,77.035,0.000,-0.950
'[07:40:49.484 26/05/1995]',-0.041,-0.052,0.019,106.425,77.035,0.000,-0.950
'[07:40:49.486 26/05/1995]',-0.051,-0.052,0.019,106.425,77.035,0.000,-0.950
'[07:40:49.488 26/05/1995]',-0.051,-0.052,0.019,107.175,77.487,0.000,-0.910
'[07:40:49.490 26/05/1995]',-0.051,-0.052,0.002,107.175,77.487,0.000,-0.910
'[07:40:49.492 26/05/1995]',-0.062,-0.052,0.002,107.175,77.487,0.000,-0.910
'[07:40:49.494 26/05/1995]',-0.051,-0.052,0.002,107.175,77.487,0.000,-0.910
'[07:40:49.496 26/05/1995]',-0.051,-0.052,0.019,107.550,77.688,0.000,-0.869
'[07:40:49.498 26/05/1995]',-0.041,-0.052,0.002,107.550,77.688,0.000,-0.869
'[07:40:49.500 26/05/1995]',-0.041,-0.052,0.002,107.550,77.688,0.000,-0.869
'[07:40:49.502 26/05/1995]',-0.041,-0.052,0.002,107.550,77.688,0.000,-0.869
'[07:40:49.504 26/05/1995]',-0.051,-0.025,0.002,107.550,77.638,0.000,-0.826
'[07:40:49.506 26/05/1995]',-0.041,-0.025,0.002,107.550,77.638,0.000,-0.826
'[07:40:49.508 26/05/1995]',-0.041,-0.025,0.002,107.550,77.638,0.000,-0.826
'[07:40:49.510 26/05/1995]',-0.041,-0.025,0.002,107.550,77.638,0.000,-0.826
'[07:40:49.512 26/05/1995]',-0.030,-0.025,0.002,107.250,77.387,0.000,-0.780
'[07:40:49.514 26/05/1995]',-0.041,-0.052,0.002,107.250,77.387,0.000,-0.780
'[07:40:49.516 26/05/1995]',-0.041,-0.052,0.002,107.250,77.387,0.000,-0.780
'[07:40:49.518 26/05/1995]',-0.030,-0.052,0.002,107.250,77.387,0.000,-0.780
'[07:40:49.520 26/05/1995]',-0.030,-0.025,0.002,106.650,76.884,0.000,-0.734
'[07:40:49.522 26/05/1995]',-0.030,-0.025,0.002,106.650,76.884,0.000,-0.734
'[07:40:49.524 26/05/1995]',-0.030,-0.025,0.002,106.650,76.884,0.000,-0.734
'[07:40:49.526 26/05/1995]',-0.030,-0.025,0.002,106.650,76.884,0.000,-0.734
'[07:40:49.528 26/05/1995]',-0.030,-0.025,0.002,105.900,76.080,0.000,-0.686
'[07:40:49.530 26/05/1995]',-0.030,-0.025,0.002,105.900,76.080,0.000,-0.686
'[07:40:49.532 26/05/1995]',-0.030,-0.025,0.002,105.900,76.080,0.000,-0.686
'[07:40:49.534 26/05/1995]',-0.030,-0.025,0.002,105.900,76.080,0.000,-0.686
'[07:40:49.536 26/05/1995]',-0.020,-0.025,0.002,104.925,75.075,0.000,-0.637
'[07:40:49.538 26/05/1995]',-0.020,-0.025,0.002,104.925,75.075,0.000,-0.637
'[07:40:49.540 26/05/1995]',-0.020,-0.025,0.002,104.925,75.075,0.000,-0.637
'[07:40:49.542 26/05/1995]',-0.020,-0.025,0.002,104.925,75.075,0.000,-0.637
'[07:40:49.544 26/05/1995]',-0.020,-0.025,0.002,103.875,73.869,0.000,-0.589
'[07:40:49.546 26/05/1995]',-0.009,-0.052,0.002,103.875,73.869,0.000,-0.589
'[07:40:49.548 26/05/1995]',-0.009,-0.052,0.002,103.875,73.869,0.000,-0.589
'[07:40:49.550 26/05/1995]',-0.009,-0.052,0.002,103.875,73.869,0.000,-0.589
'[07:40:49.552 26/05/1995]',-0.020,-0.052,0.002,102.675,72.412,0.000,-0.539
'[07:40:49.554 26/05/1995]',-0.020,-0.025,0.002,102.675,72.412,0.000,-0.539
'[07:40:49.556 26/05/1995]',-0.009,-0.025,0.002,102.675,72.412,0.000,-0.539
'[07:40:49.558 26/05/1995]',0.001,-0.025,0.002,102.675,72.412,0.000,-0.539
'[07:40:49.560 26/05/1995]',0.001,-0.025,0.002,101.175,70.804,0.000,-0.490
'[07:40:49.562 26/05/1995]',-0.009,-0.025,0.002,101.175,70.804,0.000,-0.490
'[07:40:49.564 26/05/1995]',0.001,-0.025,0.002,101.175,70.804,0.000,-0.490
'[07:40:49.566 26/05/1995]',0.001,-0.025,0.002,101.175,70.804,0.000,-0.490
'[07:40:49.568 26/05/1995]',0.001,-0.025,0.002,99.450,69.095,0.000,-0.441
'[07:40:49.570 26/05/1995]',0.001,-0.025,0.002,99.450,69.095,0.000,-0.441
'[07:40:49.572 26/05/1995]',0.001,-0.025,0.002,99.450,69.095,0.000,-0.441
'[07:40:49.574 26/05/1995]',0.001,-0.025,0.002,99.450,69.095,0.000,-0.441
'[07:40:49.576 26/05/1995]',0.001,-0.025,0.002,97.425,67.186,0.000,-0.392
'[07:40:49.578 26/05/1995]',0.001,-0.025,0.002,97.425,67.186,0.000,-0.392
'[07:40:49.580 26/05/1995]',0.001,-0.025,0.002,97.425,67.186,0.000,-0.392
'[07:40:49.582 26/05/1995]',0.001,-0.025,0.002,97.425,67.186,0.000,-0.392
'[07:40:49.584 26/05/1995]',0.001,-0.025,0.002,95.250,65.276,0.000,-0.343
'[07:40:49.586 26/05/1995]',0.001,-0.052,0.002,95.250,65.276,0.000,-0.343
'[07:40:49.588 26/05/1995]',0.001,-0.052,0.002,95.250,65.276,0.000,-0.343
'[07:40:49.590 26/05/1995]',0.001,-0.052,0.002,95.250,65.276,0.000,-0.343
'[07:40:49.592 26/05/1995]',0.001,-0.052,0.002,92.850,63.417,0.000,-0.295
