'Time and date','MCL1','II','V','ABP','PLETH','RESP'
'[19:40:48.048 19/11/1995]',0.017,0.019,0.004,98.975,0.887,-0.501
'[19:40:48.050 19/11/1995]',0.018,0.017,0.004,98.975,0.887,-0.501
'[19:40:48.052 19/11/1995]',0.017,0.020,0.004,98.975,0.887,-0.501
'[19:40:48.054 19/11/1995]',0.016,0.022,0.004,98.975,0.887,-0.501
'[19:40:48.056 19/11/1995]',0.013,0.024,0.004,96.202,0.874,-0.488
'[19:40:48.058 19/11/1995]',0.011,0.026,-0.040,96.202,0.874,-0.488
'[19:40:48.060 19/11/1995]',0.007,0.028,0.004,96.202,0.874,-0.488
'[19:40:48.062 19/11/1995]',0.004,0.030,0.004,96.202,0.874,-0.488
'[19:40:48.064 19/11/1995]',0.001,0.031,0.004,93.883,0.856,-0.473
'[19:40:48.066 19/11/1995]',-0.001,0.032,0.004,93.883,0.856,-0.473
'[19:40:48.068 19/11/1995]',-0.001,0.034,0.004,93.883,0.856,-0.473
'[19:40:48.070 19/11/1995]',-0.001,0.035,0.004,93.883,0.856,-0.473
'[19:40:48.072 19/11/1995]',0.000,0.035,0.004,92.118,0.833,-0.459
'[19:40:48.074 19/11/1995]',0.001,0.034,0.004,92.118,0.833,-0.459
'[19:40:48.076 19/11/1995]',0.002,0.035,0.004,92.118,0.833,-0.459
'[19:40:48.078 19/11/1995]',0.002,0.037,0.004,92.118,0.833,-0.459
'[19:40:48.080 19/11/1995]',0.001,0.041,0.004,90.756,0.807,-0.443
'[19:40:48.082 19/11/1995]',0.000,0.045,0.004,90.756,0.807,-0.443
'[19:40:48.084 19/11/1995]',-0.001,0.048,0.004,90.756,0.807,-0.443
'[19:40:48.086 19/11/1995]',-0.002,0.050,0.004,90.756,0.807,-0.443
'[19:40:48.088 19/11/1995]',-0.002,0.051,0.004,89.798,0.779,-0.426
'[19:40:48.090 19/11/1995]',-0.001,0.052,0.004,89.798,0.779,-0.426
'[19:40:48.092 19/11/1995]',0.001,0.049,0.004,89.798,0.779,-0.426
'[19:40:48.094 19/11/1995]',0.004,0.047,0.004,89.798,0.779,-0.426
'[19:40:48.096 19/11/1995]',0.007,0.044,0.004,89.294,0.746,-0.410
'[19:40:48.098 19/11/1995]',0.010,0.041,0.004,89.294,0.746,-0.410
'[19:40:48.100 19/11/1995]',0.012,0.040,0.004,89.294,0.746,-0.410
'[19:40:48.102 19/11/1995]',0.014,0.039,0.004,89.294,0.746,-0.410
'[19:40:48.104 19/11/1995]',0.016,0.039,0.004,88.992,0.711,-0.395
'[19:40:48.106 19/11/1995]',0.017,0.039,0.004,88.992,0.711,-0.395
'[19:40:48.108 19/11/1995]',0.018,0.037,0.004,88.992,0.711,-0.395
'[19:40:48.110 19/11/1995]',0.019,0.035,0.004,88.992,0.711,-0.395
'[19:40:48.112 19/11/1995]',0.020,0.033,0.004,88.941,0.676,-0.381
'[19:40:48.114 19/11/1995]',0.021,0.030,0.004,88.941,0.676,-0.381
'[19:40:48.116 19/11/1995]',0.024,0.029,0.046,88.941,0.676,-0.381
'[19:40:48.118 19/11/1995]',0.027,0.028,0.046,88.941,0.676,-0.381
'[19:40:48.120 19/11/1995]',0.027,0.027,0.004,88.941,0.640,-0.366
'[19:40:48.122 19/11/1995]',0.027,0.026,0.004,88.941,0.640,-0.366
'[19:40:48.124 19/11/1995]',0.023,0.027,0.004,88.941,0.640,-0.366
'[19:40:48.126 19/11/1995]',0.019,0.028,-0.040,88.941,0.640,-0.366
'[19:40:48.128 19/11/1995]',0.008,0.030,-0.040,89.042,0.605,-0.352
'[19:40:48.130 19/11/1995]',-0.002,0.032,-0.040,89.042,0.605,-0.352
'[19:40:48.132 19/11/1995]',-0.017,0.034,-0.040,89.042,0.605,-0.352
'[19:40:48.134 19/11/1995]',-0.031,0.035,-0.040,89.042,0.605,-0.352
'[19:40:48.136 19/11/1995]',-0.043,0.033,-0.040,89.143,0.571,-0.338
'[19:40:48.138 19/11/1995]',-0.055,0.030,-0.040,89.143,0.571,-0.338
'[19:40:48.140 19/11/1995]',-0.058,0.024,-0.040,89.143,0.571,-0.338
'[19:40:48.142 19/11/1995]',-0.061,0.019,-0.040,89.143,0.571,-0.338
'[19:40:48.144 19/11/1995]',-0.056,0.011,0.004,89.294,0.539,-0.323
'[19:40:48.146 19/11/1995]',-0.050,0.004,0.004,89.294,0.539,-0.323
'[19:40:48.148 19/11/1995]',-0.041,-0.003,0.004,89.294,0.539,-0.323
'[19:40:48.150 19/11/1995]',-0.031,-0.009,0.004,89.294,0.539,-0.323
'[19:40:48.152 19/11/1995]',-0.021,-0.010,0.004,89.345,0.508,-0.306
'[19:40:48.154 19/11/1995]',-0.011,-0.011,0.004,89.345,0.508,-0.306
'[19:40:48.156 19/11/1995]',-0.005,-0.007,0.004,89.345,0.508,-0.306
'[19:40:48.158 19/11/1995]',0.001,-0.002,0.004,89.345,0.508,-0.306
'[19:40:48.160 19/11/1995]',0.004,0.004,0.004,89.294,0.478,-0.291
'[19:40:48.162 19/11/1995]',0.006,0.009,0.004,89.294,0.478,-0.291
'[19:40:48.164 19/11/1995]',0.007,0.014,0.004,89.294,0.478,-0.291
'[19:40:48.166 19/11/1995]',0.007,0.019,0.004,89.294,0.478,-0.291
'[19:40:48.168 19/11/1995]',0.006,0.020,0.004,89.093,0.451,-0.279
'[19:40:48.170 19/11/1995]',0.005,0.021,0.004,89.093,0.451,-0.279
'[19:40:48.172 19/11/1995]',0.002,0.020,0.004,89.093,0.451,-0.279
'[19:40:48.174 19/11/1995]',0.000,0.019,-0.040,89.093,0.451,-0.279
'[19:40:48.176 19/11/1995]',-0.005,0.017,-0.040,88.941,0.424,-0.267
'[19:40:48.178 19/11/1995]',-0.011,0.015,-0.040,88.941,0.424,-0.267
'[19:40:48.180 19/11/1995]',-0.017,0.014,0.004,88.941,0.424,-0.267
'[19:40:48.182 19/11/1995]',-0.024,0.013,0.004,88.941,0.424,-0.267
'[19:40:48.184 19/11/1995]',-0.027,0.016,0.004,88.639,0.400,-0.257
'[19:40:48.186 19/11/1995]',-0.031,0.019,0.004,88.639,0.400,-0.257
'[19:40:48.188 19/11/1995]',-0.030,0.021,-0.040,88.639,0.400,-0.257
'[19:40:48.190 19/11/1995]',-0.030,0.022,-0.040,88.639,0.400,-0.257
'[19:40:48.192 19/11/1995]',-0.025,0.025,-0.040,88.235,0.376,-0.248
'[19:40:48.194 19/11/1995]',-0.020,0.028,0.004,88.235,0.376,-0.248
'[19:40:48.196 19/11/1995]',-0.014,0.030,0.004,88.235,0.376,-0.248
'[19:40:48.198 19/11/1995]',-0.007,0.032,0.004,88.235,0.376,-0.248
'[19:40:48.200 19/11/1995]',-0.004,0.031,0.004,87.731,0.354,-0.239
'[19:40:48.202 19/11/1995]',-0.001,0.030,0.004,87.731,0.354,-0.239
'[19:40:48.204 19/11/1995]',-0.004,0.027,0.004,87.731,0.354,-0.239
'[19:40:48.206 19/11/1995]',-0.007,0.024,-0.040,87.731,0.354,-0.239
'[19:40:48.208 19/11/1995]',-0.012,0.022,-0.040,87.227,0.333,-0.230
'[19:40:48.210 19/11/1995]',-0.017,0.021,-0.040,87.227,0.333,-0.230
'[19:40:48.212 19/11/1995]',-0.020,0.021,-0.040,87.227,0.333,-0.230
'[19:40:48.214 19/11/1995]',-0.024,0.021,0.004,87.227,0.333,-0.230
'[19:40:48.216 19/11/1995]',-0.026,0.022,0.004,86.622,0.312,-0.221
'[19:40:48.218 19/11/1995]',-0.027,0.024,0.004,86.622,0.312,-0.221
'[19:40:48.220 19/11/1995]',-0.027,0.023,0.004,86.622,0.312,-0.221
'[19:40:48.222 19/11/1995]',-0.026,0.022,0.004,86.622,0.312,-0.221
'[19:40:48.224 19/11/1995]',-0.026,0.020,-0.040,85.967,0.291,-0.211
'[19:40:48.226 19/11/1995]',-0.025,0.017,-0.040,85.967,0.291,-0.211
'[19:40:48.228 19/11/1995]',-0.023,0.016,-0.040,85.967,0.291,-0.211
'[19:40:48.230 19/11/1995]',-0.021,0.015,0.004,85.967,0.291,-0.211
'[19:40:48.232 19/11/1995]',-0.019,0.012,0.004,85.311,0.270,-0.202
'[19:40:48.234 19/11/1995]',-0.016,0.009,0.004,85.311,0.270,-0.202
'[19:40:48.236 19/11/1995]',-0.011,0.007,0.004,85.311,0.270,-0.202
'[19:40:48.238 19/11/1995]',-0.007,0.006,0.004,85.311,0.270,-0.202
'[19:40:48.240 19/11/1995]',-0.002,0.002,0.004,84.656,0.249,-0.193
'[19:40:48.242 19/11/1995]',0.002,-0.002,0.004,84.656,0.249,-0.193
'[19:40:48.244 19/11/1995]',0.008,-0.007,0.004,84.656,0.249,-0.193
'[19:40:48.246 19/11/1995]',0.014,-0.011,0.004,84.656,0.249,-0.193
'[19:40:48.248 19/11/1995]',0.019,-0.016,0.004,84.101,0.230,-0.183
'[19:40:48.250 19/11/1995]',0.024,-0.021,0.004,84.101,0.230,-0.183
'[19:40:48.252 19/11/1995]',0.026,-0.023,0.046,84.101,0.230,-0.183
'[19:40:48.254 19/11/1995]',0.027,-0.026,0.004,84.101,0.230,-0.183
'[19:40:48.256 19/11/1995]',0.023,-0.023,0.004,83.496,0.210,-0.174
'[19:40:48.258 19/11/1995]',0.019,-0.021,0.004,83.496,0.210,-0.174
'[19:40:48.260 19/11/1995]',0.010,-0.013,-0.040,83.496,0.210,-0.174
'[19:40:48.262 19/11/1995]',0.000,-0.006,-0.040,83.496,0.210,-0.174
'[19:40:48.264 19/11/1995]',-0.011,0.003,0.004,82.891,0.190,-0.167
'[19:40:48.266 19/11/1995]',-0.023,0.011,0.004,82.891,0.190,-0.167
'[19:40:48.268 19/11/1995]',-0.032,0.020,0.004,82.891,0.190,-0.167
'[19:40:48.270 19/11/1995]',-0.041,0.028,0.004,82.891,0.190,-0.167
'[19:40:48.272 19/11/1995]',-0.045,0.035,-0.040,82.387,0.172,-0.161
'[19:40:48.274 19/11/1995]',-0.050,0.041,-0.040,82.387,0.172,-0.161
'[19:40:48.276 19/11/1995]',-0.050,0.042,-0.040,82.387,0.172,-0.161
'[19:40:48.278 19/11/1995]',-0.049,0.043,-0.040,82.387,0.172,-0.161
'[19:40:48.280 19/11/1995]',-0.045,0.041,0.004,81.782,0.153,-0.155
'[19:40:48.282 19/11/1995]',-0.042,0.039,0.004,81.782,0.153,-0.155
'[19:40:48.284 19/11/1995]',-0.036,0.036,0.004,81.782,0.153,-0.155
'[19:40:48.286 19/11/1995]',-0.031,0.034,0.004,81.782,0.153,-0.155
'[19:40:48.288 19/11/1995]',-0.024,0.029,0.004,81.227,0.136,-0.149
'[19:40:48.290 19/11/1995]',-0.018,0.024,-0.040,81.227,0.136,-0.149
'[19:40:48.292 19/11/1995]',-0.011,0.022,-0.040,81.227,0.136,-0.149
'[19:40:48.294 19/11/1995]',-0.005,0.021,0.004,81.227,0.136,-0.149
'[19:40:48.296 19/11/1995]',-0.001,0.020,0.004,80.723,0.119,-0.144
'[19:40:48.298 19/11/1995]',0.002,0.019,0.004,80.723,0.119,-0.144
'[19:40:48.300 19/11/1995]',0.004,0.020,0.004,80.723,0.119,-0.144
'[19:40:48.302 19/11/1995]',0.006,0.021,0.004,80.723,0.119,-0.144
'[19:40:48.304 19/11/1995]',0.004,0.021,0.004,80.219,0.105,-0.138
'[19:40:48.306 19/11/1995]',0.002,0.021,-0.040,80.219,0.105,-0.138
'[19:40:48.308 19/11/1995]',-0.002,0.019,-0.040,80.219,0.105,-0.138
'[19:40:48.310 19/11/1995]',-0.006,0.017,-0.040,80.219,0.105,-0.138
'[19:40:48.312 19/11/1995]',-0.010,0.012,0.004,79.765,0.091,-0.132
'[19:40:48.314 19/11/1995]',-0.014,0.007,0.004,79.765,0.091,-0.132
'[19:40:48.316 19/11/1995]',-0.016,0.003,0.004,79.765,0.091,-0.132
'[19:40:48.318 19/11/1995]',-0.017,-0.002,0.004,79.765,0.091,-0.132
'[19:40:48.320 19/11/1995]',-0.014,-0.001,0.004,79.412,0.079,-0.124
'[19:40:48.322 19/11/1995]',-0.012,0.000,0.004,79.412,0.079,-0.124
'[19:40:48.324 19/11/1995]',-0.008,0.005,0.004,79.412,0.079,-0.124
'[19:40:48.326 19/11/1995]',-0.005,0.009,0.004,79.412,0.079,-0.124
'[19:40:48.328 19/11/1995]',-0.001,0.017,0.004,79.009,0.069,-0.115
'[19:40:48.330 19/11/1995]',0.002,0.024,0.004,79.009,0.069,-0.115
'[19:40:48.332 19/11/1995]',0.005,0.033,0.004,79.009,0.069,-0.115
'[19:40:48.334 19/11/1995]',0.008,0.041,0.004,79.009,0.069,-0.115
'[19:40:48.336 19/11/1995]',0.010,0.046,0.004,78.605,0.059,-0.104
'[19:40:48.338 19/11/1995]',0.011,0.050,-0.040,78.605,0.059,-0.104
'[19:40:48.340 19/11/1995]',0.011,0.051,-0.040,78.605,0.059,-0.104
'[19:40:48.342 19/11/1995]',0.012,0.052,-0.040,78.605,0.059,-0.104
'[19:40:48.344 19/11/1995]',0.012,0.049,-0.040,78.151,0.054,-0.093
'[19:40:48.346 19/11/1995]',0.012,0.047,0.004,78.151,0.054,-0.093
'[19:40:48.348 19/11/1995]',0.011,0.043,0.004,78.151,0.054,-0.093
'[19:40:48.350 19/11/1995]',0.010,0.039,0.004,78.151,0.054,-0.093
'[19:40:48.352 19/11/1995]',0.008,0.035,0.004,77.698,0.046,-0.081
'[19:40:48.354 19/11/1995]',0.006,0.032,0.004,77.698,0.046,-0.081
'[19:40:48.356 19/11/1995]',0.006,0.028,-0.040,77.698,0.046,-0.081
'[19:40:48.358 19/11/1995]',0.006,0.024,0.004,77.698,0.046,-0.081
'[19:40:48.360 19/11/1995]',0.007,0.021,0.004,77.345,0.044,-0.069
'[19:40:48.362 19/11/1995]',0.008,0.019,0.004,77.345,0.044,-0.069
'[19:40:48.364 19/11/1995]',0.010,0.016,0.004,77.345,0.044,-0.069
'[19:40:48.366 19/11/1995]',0.012,0.013,0.004,77.345,0.044,-0.069
'[19:40:48.368 19/11/1995]',0.011,0.013,0.004,76.992,0.040,-0.056
'[19:40:48.370 19/11/1995]',0.011,0.013,0.004,76.992,0.040,-0.056
'[19:40:48.372 19/11/1995]',0.007,0.017,-0.040,76.992,0.040,-0.056
'[19:40:48.374 19/11/1995]',0.002,0.021,-0.040,76.992,0.040,-0.056
'[19:40:48.376 19/11/1995]',-0.004,0.023,-0.040,76.689,0.039,-0.043
'[19:40:48.378 19/11/1995]',-0.010,0.026,-0.040,76.689,0.039,-0.043
'[19:40:48.380 19/11/1995]',-0.012,0.027,0.004,76.689,0.039,-0.043
'[19:40:48.382 19/11/1995]',-0.014,0.028,0.004,76.689,0.039,-0.043
'[19:40:48.384 19/11/1995]',-0.014,0.026,0.004,76.437,0.037,-0.030
'[19:40:48.386 19/11/1995]',-0.013,0.024,0.004,76.437,0.037,-0.030
'[19:40:48.388 19/11/1995]',-0.011,0.022,0.004,76.437,0.037,-0.030
'[19:40:48.390 19/11/1995]',-0.008,0.021,0.004,76.437,0.037,-0.030
'[19:40:48.392 19/11/1995]',-0.007,0.019,0.004,76.235,0.040,-0.016
'[19:40:48.394 19/11/1995]',-0.005,0.017,0.004,76.235,0.040,-0.016
'[19:40:48.396 19/11/1995]',-0.006,0.017,0.004,76.235,0.040,-0.016
'[19:40:48.398 19/11/1995]',-0.007,0.017,0.004,76.235,0.040,-0.016
'[19:40:48.400 19/11/1995]',-0.010,0.019,0.004,75.983,0.039,-0.002
'[19:40:48.402 19/11/1995]',-0.012,0.021,0.004,75.983,0.039,-0.002
'[19:40:48.404 19/11/1995]',-0.013,0.024,0.004,75.983,0.039,-0.002
'[19:40:48.406 19/11/1995]',-0.014,0.028,-0.040,75.983,0.039,-0.002
'[19:40:48.408 19/11/1995]',-0.013,0.032,-0.040,75.731,0.042,0.013
'[19:40:48.410 19/11/1995]',-0.011,0.035,-0.040,75.731,0.042,0.013
'[19:40:48.412 19/11/1995]',-0.005,0.039,0.004,75.731,0.042,0.013
'[19:40:48.414 19/11/1995]',0.000,0.043,0.004,75.731,0.042,0.013
'[19:40:48.416 19/11/1995]',0.005,0.047,0.004,75.530,0.043,0.029
'[19:40:48.418 19/11/1995]',0.010,0.050,0.004,75.530,0.043,0.029
'[19:40:48.420 19/11/1995]',0.013,0.055,0.004,75.530,0.043,0.029
'[19:40:48.422 19/11/1995]',0.016,0.060,0.004,75.530,0.043,0.029
'[19:40:48.424 19/11/1995]',0.020,0.063,0.004,75.277,0.044,0.043
'[19:40:48.426 19/11/1995]',0.025,0.067,0.004,75.277,0.044,0.043
'[19:40:48.428 19/11/1995]',0.032,0.074,0.004,75.277,0.044,0.043
'[19:40:48.430 19/11/1995]',0.038,0.080,0.004,75.277,0.044,0.043
'[19:40:48.432 19/11/1995]',0.047,0.086,0.046,75.025,0.048,0.056
'[19:40:48.434 19/11/1995]',0.055,0.092,0.046,75.025,0.048,0.056
'[19:40:48.436 19/11/1995]',0.064,0.095,0.046,75.025,0.048,0.056
'[19:40:48.438 19/11/1995]',0.073,0.099,0.004,75.025,0.048,0.056
'[19:40:48.440 19/11/1995]',0.077,0.103,0.004,74.824,0.049,0.069
'[19:40:48.442 19/11/1995]',0.081,0.106,0.004,74.824,0.049,0.069
'[19:40:48.444 19/11/1995]',0.079,0.109,0.004,74.824,0.049,0.069
'[19:40:48.446 19/11/1995]',0.076,0.112,0.004,74.824,0.049,0.069
'[19:40:48.448 19/11/1995]',0.069,0.113,0.004,74.521,0.048,0.083
'[19:40:48.450 19/11/1995]',0.061,0.114,0.004,74.521,0.048,0.083
'[19:40:48.452 19/11/1995]',0.051,0.115,0.004,74.521,0.048,0.083
'[19:40:48.454 19/11/1995]',0.042,0.116,0.004,74.521,0.048,0.083
'[19:40:48.456 19/11/1995]',0.035,0.117,0.004,74.168,0.046,0.097
'[19:40:48.458 19/11/1995]',0.027,0.118,0.004,74.168,0.046,0.097
'[19:40:48.460 19/11/1995]',0.023,0.120,0.004,74.168,0.046,0.097
'[19:40:48.462 19/11/1995]',0.019,0.123,0.004,74.168,0.046,0.097
'[19:40:48.464 19/11/1995]',0.016,0.126,0.004,73.815,0.043,0.113
'[19:40:48.466 19/11/1995]',0.013,0.129,0.004,73.815,0.043,0.113
'[19:40:48.468 19/11/1995]',0.012,0.130,0.004,73.815,0.043,0.113
'[19:40:48.470 19/11/1995]',0.011,0.131,0.004,73.815,0.043,0.113
'[19:40:48.472 19/11/1995]',0.010,0.128,0.004,73.462,0.037,0.130
'[19:40:48.474 19/11/1995]',0.008,0.125,-0.040,73.462,0.037,0.130
'[19:40:48.476 19/11/1995]',0.005,0.119,-0.040,73.462,0.037,0.130
'[19:40:48.478 19/11/1995]',0.001,0.112,-0.040,73.462,0.037,0.130
'[19:40:48.480 19/11/1995]',-0.002,0.103,-0.040,73.160,0.031,0.146
'[19:40:48.482 19/11/1995]',-0.005,0.093,0.004,73.160,0.031,0.146
'[19:40:48.484 19/11/1995]',-0.008,0.089,0.004,73.160,0.031,0.146
'[19:40:48.486 19/11/1995]',-0.011,0.084,0.004,73.160,0.031,0.146
'[19:40:48.488 19/11/1995]',-0.011,0.086,-0.040,72.807,0.021,0.162
'[19:40:48.490 19/11/1995]',-0.012,0.088,-0.040,72.807,0.021,0.162
'[19:40:48.492 19/11/1995]',-0.011,0.092,-0.040,72.807,0.021,0.162
'[19:40:48.494 19/11/1995]',-0.010,0.095,-0.040,72.807,0.021,0.162
'[19:40:48.496 19/11/1995]',-0.010,0.098,-0.040,72.454,0.013,0.177
'[19:40:48.498 19/11/1995]',-0.010,0.101,0.004,72.454,0.013,0.177
'[19:40:48.500 19/11/1995]',-0.011,0.097,0.004,72.454,0.013,0.177
'[19:40:48.502 19/11/1995]',-0.013,0.093,0.004,72.454,0.013,0.177
'[19:40:48.504 19/11/1995]',-0.016,0.085,-0.040,72.202,0.000,0.191
'[19:40:48.506 19/11/1995]',-0.018,0.077,-0.040,72.202,0.000,0.191
'[19:40:48.508 19/11/1995]',-0.021,0.066,-0.040,72.202,0.000,0.191
'[19:40:48.510 19/11/1995]',-0.024,0.056,-0.040,72.202,0.000,0.191
'[19:40:48.512 19/11/1995]',-0.026,0.047,-0.040,71.950,-0.012,0.204
'[19:40:48.514 19/11/1995]',-0.027,0.037,0.004,71.950,-0.012,0.204
'[19:40:48.516 19/11/1995]',-0.026,0.030,0.004,71.950,-0.012,0.204
'[19:40:48.518 19/11/1995]',-0.024,0.022,0.004,71.950,-0.012,0.204
'[19:40:48.520 19/11/1995]',-0.021,0.018,0.004,71.798,-0.022,0.218
'[19:40:48.522 19/11/1995]',-0.018,0.013,-0.040,71.798,-0.022,0.218
'[19:40:48.524 19/11/1995]',-0.014,0.012,-0.040,71.798,-0.022,0.218
'[19:40:48.526 19/11/1995]',-0.010,0.011,-0.040,71.798,-0.022,0.218
'[19:40:48.528 19/11/1995]',-0.005,0.013,-0.040,71.546,-0.035,0.232
'[19:40:48.530 19/11/1995]',-0.001,0.015,-0.040,71.546,-0.035,0.232
'[19:40:48.532 19/11/1995]',0.002,0.016,0.004,71.546,-0.035,0.232
'[19:40:48.534 19/11/1995]',0.006,0.017,0.004,71.546,-0.035,0.232
'[19:40:48.536 19/11/1995]',0.007,0.015,0.004,71.395,-0.046,0.245
'[19:40:48.538 19/11/1995]',0.008,0.013,0.004,71.395,-0.046,0.245
'[19:40:48.540 19/11/1995]',0.009,0.007,-0.040,71.395,-0.046,0.245
'[19:40:48.542 19/11/1995]',0.010,0.000,-0.040,71.395,-0.046,0.245
'[19:40:48.544 19/11/1995]',0.013,-0.008,0.004,71.143,-0.057,0.260
'[19:40:48.546 19/11/1995]',0.017,-0.017,0.004,71.143,-0.057,0.260
'[19:40:48.548 19/11/1995]',0.026,-0.028,0.004,71.143,-0.057,0.260
'[19:40:48.550 19/11/1995]',0.036,-0.039,0.046,71.143,-0.057,0.260
'[19:40:48.552 19/11/1995]',0.050,-0.049,0.089,70.941,-0.068,0.275
'[19:40:48.554 19/11/1995]',0.063,-0.058,0.089,70.941,-0.068,0.275
'[19:40:48.556 19/11/1995]',0.079,-0.063,0.089,70.941,-0.068,0.275
'[19:40:48.558 19/11/1995]',0.096,-0.067,0.089,70.941,-0.068,0.275
'[19:40:48.560 19/11/1995]',0.110,-0.061,0.133,70.790,-0.078,0.291
'[19:40:48.562 19/11/1995]',0.124,-0.054,0.133,70.790,-0.078,0.291
'[19:40:48.564 19/11/1995]',0.136,-0.025,0.177,70.790,-0.078,0.291
'[19:40:48.566 19/11/1995]',0.147,0.004,0.133,70.790,-0.078,0.291
'[19:40:48.568 19/11/1995]',0.150,0.063,0.133,70.689,-0.087,0.309
'[19:40:48.570 19/11/1995]',0.154,0.121,0.089,70.689,-0.087,0.309
'[19:40:48.572 19/11/1995]',0.143,0.215,0.046,70.689,-0.087,0.309
'[19:40:48.574 19/11/1995]',0.133,0.308,0.004,70.689,-0.087,0.309
'[19:40:48.576 19/11/1995]',0.098,0.433,-0.040,70.588,-0.095,0.326
'[19:40:48.578 19/11/1995]',0.063,0.558,-0.171,70.588,-0.095,0.326
'[19:40:48.580 19/11/1995]',0.004,0.702,-0.345,70.588,-0.095,0.326
'[19:40:48.582 19/11/1995]',-0.056,0.846,-0.476,70.588,-0.095,0.326
'[19:40:48.584 19/11/1995]',-0.132,0.986,-0.649,70.488,-0.101,0.342
'[19:40:48.586 19/11/1995]',-0.208,1.126,-0.780,70.488,-0.101,0.342
'[19:40:48.588 19/11/1995]',-0.280,1.223,-0.867,70.488,-0.101,0.342
'[19:40:48.590 19/11/1995]',-0.352,1.320,-0.911,70.488,-0.101,0.342
'[19:40:48.592 19/11/1995]',-0.408,1.338,-0.911,70.437,-0.108,0.357
'[19:40:48.594 19/11/1995]',-0.464,1.356,-0.911,70.437,-0.108,0.357
'[19:40:48.596 19/11/1995]',-0.500,1.277,-0.823,70.437,-0.108,0.357
'[19:40:48.598 19/11/1995]',-0.536,1.199,-0.780,70.437,-0.108,0.357
'[19:40:48.600 19/11/1995]',-0.557,1.042,-0.736,70.336,-0.115,0.371
'[19:40:48.602 19/11/1995]',-0.578,0.885,-0.692,70.336,-0.115,0.371
'[19:40:48.604 19/11/1995]',-0.589,0.698,-0.692,70.336,-0.115,0.371
'[19:40:48.606 19/11/1995]',-0.599,0.512,-0.649,70.336,-0.115,0.371
'[19:40:48.608 19/11/1995]',-0.597,0.346,-0.607,70.135,-0.119,0.385
'[19:40:48.610 19/11/1995]',-0.595,0.181,-0.520,70.135,-0.119,0.385
'[19:40:48.612 19/11/1995]',-0.571,0.069,-0.476,70.135,-0.119,0.385
'[19:40:48.614 19/11/1995]',-0.548,-0.043,-0.389,70.135,-0.119,0.385
'[19:40:48.616 19/11/1995]',-0.503,-0.096,-0.302,70.034,-0.124,0.397
'[19:40:48.618 19/11/1995]',-0.457,-0.149,-0.258,70.034,-0.124,0.397
'[19:40:48.620 19/11/1995]',-0.398,-0.160,-0.214,70.034,-0.124,0.397
'[19:40:48.622 19/11/1995]',-0.339,-0.170,-0.171,70.034,-0.124,0.397
'[19:40:48.624 19/11/1995]',-0.278,-0.160,-0.127,69.832,-0.129,0.409
'[19:40:48.626 19/11/1995]',-0.217,-0.149,-0.083,69.832,-0.129,0.409
'[19:40:48.628 19/11/1995]',-0.163,-0.137,-0.040,69.832,-0.129,0.409
'[19:40:48.630 19/11/1995]',-0.109,-0.125,0.004,69.832,-0.129,0.409
'[19:40:48.632 19/11/1995]',-0.068,-0.116,0.004,69.580,-0.133,0.420
