'Time and date','II ','I ','V ','ABP ','PLETH ','RESP '
'[13:21:42.070 30/01/1995]',0.133,0.003,0.225,65.051,0.000,-0.538
'[13:21:42.072 30/01/1995]',0.152,0.034,0.225,65.397,0.000,-0.536
'[13:21:42.074 30/01/1995]',0.171,0.034,0.225,65.397,0.000,-0.536
'[13:21:42.076 30/01/1995]',0.171,0.034,0.225,65.397,0.000,-0.536
'[13:21:42.078 30/01/1995]',0.171,0.034,0.225,65.397,0.000,-0.536
'[13:21:42.080 30/01/1995]',0.152,0.034,0.225,66.376,0.000,-0.533
'[13:21:42.082 30/01/1995]',0.152,0.034,0.225,66.376,0.000,-0.533
'[13:21:42.084 30/01/1995]',0.152,0.034,0.225,66.376,0.000,-0.533
'[13:21:42.086 30/01/1995]',0.152,0.067,0.225,66.376,0.000,-0.533
'[13:21:42.088 30/01/1995]',0.171,0.067,0.225,68.278,0.000,-0.530
'[13:21:42.090 30/01/1995]',0.190,0.099,0.225,68.278,0.000,-0.530
'[13:21:42.092 30/01/1995]',0.209,0.099,0.257,68.278,0.000,-0.530
'[13:21:42.094 30/01/1995]',0.228,0.132,0.225,68.278,0.000,-0.530
'[13:21:42.096 30/01/1995]',0.247,0.165,0.257,71.447,0.000,-0.526
'[13:21:42.098 30/01/1995]',0.247,0.197,0.257,71.447,0.000,-0.526
'[13:21:42.100 30/01/1995]',0.247,0.197,0.257,71.447,0.000,-0.526
'[13:21:42.102 30/01/1995]',0.228,0.165,0.225,71.447,0.000,-0.526
'[13:21:42.104 30/01/1995]',0.228,0.165,0.225,75.941,0.000,-0.522
'[13:21:42.106 30/01/1995]',0.209,0.165,0.225,75.941,0.000,-0.522
'[13:21:42.108 30/01/1995]',0.190,0.132,0.193,75.941,0.000,-0.522
'[13:21:42.110 30/01/1995]',0.152,0.099,0.193,75.941,0.000,-0.522
'[13:21:42.112 30/01/1995]',0.114,0.067,0.193,81.645,0.000,-0.518
'[13:21:42.114 30/01/1995]',0.077,0.034,0.161,81.645,0.000,-0.518
'[13:21:42.116 30/01/1995]',0.058,0.034,0.193,81.645,0.000,-0.518
'[13:21:42.118 30/01/1995]',0.039,0.003,0.161,81.645,0.000,-0.518
'[13:21:42.120 30/01/1995]',0.020,0.003,0.161,88.156,0.000,-0.513
'[13:21:42.122 30/01/1995]',0.020,0.003,0.161,88.156,0.000,-0.513
'[13:21:42.124 30/01/1995]',0.020,0.003,0.161,88.156,0.000,-0.513
'[13:21:42.126 30/01/1995]',0.020,0.034,0.161,88.156,0.000,-0.513
'[13:21:42.128 30/01/1995]',0.039,0.034,0.097,94.897,0.000,-0.506
'[13:21:42.130 30/01/1995]',0.039,0.067,0.097,94.897,0.000,-0.506
'[13:21:42.132 30/01/1995]',0.058,0.067,0.161,94.897,0.000,-0.506
'[13:21:42.134 30/01/1995]',0.058,0.067,0.161,94.897,0.000,-0.506
'[13:21:42.136 30/01/1995]',0.077,0.099,0.161,101.351,0.000,-0.497
'[13:21:42.138 30/01/1995]',0.077,0.099,0.097,101.351,0.000,-0.497
'[13:21:42.140 30/01/1995]',0.077,0.099,0.065,101.351,0.000,-0.497
'[13:21:42.142 30/01/1995]',0.096,0.099,0.161,101.351,0.000,-0.497
'[13:21:42.144 30/01/1995]',0.096,0.132,0.097,107.055,0.000,-0.486
'[13:21:42.146 30/01/1995]',0.096,0.132,0.097,107.055,0.000,-0.486
'[13:21:42.148 30/01/1995]',0.096,0.132,0.065,107.055,0.000,-0.486
'[13:21:42.150 30/01/1995]',0.096,0.132,0.065,107.055,0.000,-0.486
'[13:21:42.152 30/01/1995]',0.096,0.165,0.065,111.664,0.000,-0.473
'[13:21:42.154 30/01/1995]',0.096,0.165,0.065,111.664,0.000,-0.473
'[13:21:42.156 30/01/1995]',0.096,0.165,0.065,111.664,0.000,-0.473
'[13:21:42.158 30/01/1995]',0.114,0.165,0.065,111.664,0.000,-0.473
'[13:21:42.160 30/01/1995]',0.114,0.165,0.065,115.064,0.000,-0.459
'[13:21:42.162 30/01/1995]',0.114,0.165,0.033,115.064,0.000,-0.459
'[13:21:42.164 30/01/1995]',0.114,0.165,0.033,115.064,0.000,-0.459
'[13:21:42.166 30/01/1995]',0.114,0.197,0.065,115.064,0.000,-0.459
'[13:21:42.168 30/01/1995]',0.114,0.165,0.033,117.196,0.000,-0.444
'[13:21:42.170 30/01/1995]',0.114,0.197,0.033,117.196,0.000,-0.444
'[13:21:42.172 30/01/1995]',0.114,0.197,0.033,117.196,0.000,-0.444
'[13:21:42.174 30/01/1995]',0.114,0.197,0.033,117.196,0.000,-0.444
'[13:21:42.176 30/01/1995]',0.114,0.165,0.033,118.233,0.000,-0.427
'[13:21:42.178 30/01/1995]',0.114,0.165,0.003,118.233,0.000,-0.427
'[13:21:42.180 30/01/1995]',0.096,0.165,0.033,118.233,0.000,-0.427
'[13:21:42.182 30/01/1995]',0.096,0.132,0.003,118.233,0.000,-0.427
'[13:21:42.184 30/01/1995]',0.096,0.132,0.033,118.233,0.000,-0.409
'[13:21:42.186 30/01/1995]',0.096,0.132,0.003,118.233,0.000,-0.409
'[13:21:42.188 30/01/1995]',0.114,0.132,0.003,118.233,0.000,-0.409
'[13:21:42.190 30/01/1995]',0.114,0.099,0.003,118.233,0.000,-0.409
'[13:21:42.192 30/01/1995]',0.114,0.099,0.003,117.484,0.000,-0.392
'[13:21:42.194 30/01/1995]',0.096,0.067,0.003,117.484,0.000,-0.392
'[13:21:42.196 30/01/1995]',0.096,0.067,0.003,117.484,0.000,-0.392
'[13:21:42.198 30/01/1995]',0.096,0.067,0.003,117.484,0.000,-0.392
'[13:21:42.200 30/01/1995]',0.096,0.034,0.003,116.158,0.000,-0.374
'[13:21:42.202 30/01/1995]',0.096,0.034,0.003,116.158,0.000,-0.374
'[13:21:42.204 30/01/1995]',0.096,0.034,0.003,116.158,0.000,-0.374
'[13:21:42.206 30/01/1995]',0.096,0.003,0.003,116.158,0.000,-0.374
'[13:21:42.208 30/01/1995]',0.096,0.003,0.003,114.372,0.000,-0.356
'[13:21:42.210 30/01/1995]',0.077,0.003,0.003,114.372,0.000,-0.356
'[13:21:42.212 30/01/1995]',0.077,0.003,0.003,114.372,0.000,-0.356
'[13:21:42.214 30/01/1995]',0.077,0.003,0.003,114.372,0.000,-0.356
'[13:21:42.216 30/01/1995]',0.077,0.003,0.003,112.471,0.000,-0.340
'[13:21:42.218 30/01/1995]',0.058,-0.030,0.003,112.471,0.000,-0.340
'[13:21:42.220 30/01/1995]',0.058,-0.030,0.003,112.471,0.000,-0.340
'[13:21:42.222 30/01/1995]',0.077,-0.030,0.003,112.471,0.000,-0.340
'[13:21:42.224 30/01/1995]',0.077,-0.030,0.003,110.397,0.000,-0.323
'[13:21:42.226 30/01/1995]',0.077,-0.030,0.003,110.397,0.000,-0.323
'[13:21:42.228 30/01/1995]',0.058,-0.062,0.003,110.397,0.000,-0.323
'[13:21:42.230 30/01/1995]',0.058,-0.062,0.003,110.397,0.000,-0.323
'[13:21:42.232 30/01/1995]',0.039,-0.062,0.003,108.322,0.000,-0.305
'[13:21:42.234 30/01/1995]',0.039,-0.062,0.003,108.322,0.000,-0.305
'[13:21:42.236 30/01/1995]',0.039,-0.062,0.003,108.322,0.000,-0.305
'[13:21:42.238 30/01/1995]',0.039,-0.062,0.003,108.322,0.000,-0.305
'[13:21:42.240 30/01/1995]',0.058,-0.062,0.003,106.306,0.000,-0.288
'[13:21:42.242 30/01/1995]',0.058,-0.062,0.003,106.306,0.000,-0.288
'[13:21:42.244 30/01/1995]',0.058,-0.095,0.003,106.306,0.000,-0.288
'[13:21:42.246 30/01/1995]',0.039,-0.095,0.003,106.306,0.000,-0.288
'[13:21:42.248 30/01/1995]',0.020,-0.095,0.003,104.347,0.000,-0.271
'[13:21:42.250 30/01/1995]',0.020,-0.095,0.003,104.347,0.000,-0.271
'[13:21:42.252 30/01/1995]',0.039,-0.095,0.003,104.347,0.000,-0.271
'[13:21:42.254 30/01/1995]',0.039,-0.095,0.003,104.347,0.000,-0.271
'[13:21:42.256 30/01/1995]',0.039,-0.095,0.003,102.388,0.000,-0.254
'[13:21:42.258 30/01/1995]',0.039,-0.095,0.003,102.388,0.000,-0.254
'[13:21:42.260 30/01/1995]',0.039,-0.095,0.003,102.388,0.000,-0.254
'[13:21:42.262 30/01/1995]',0.039,-0.095,0.003,102.388,0.000,-0.254
'[13:21:42.264 30/01/1995]',0.039,-0.095,0.003,100.544,0.000,-0.236
'[13:21:42.266 30/01/1995]',0.020,-0.095,0.003,100.544,0.000,-0.236
'[13:21:42.268 30/01/1995]',0.020,-0.062,0.003,100.544,0.000,-0.236
'[13:21:42.270 30/01/1995]',0.020,-0.095,0.003,100.544,0.000,-0.236
'[13:21:42.272 30/01/1995]',0.039,-0.095,0.003,98.758,0.000,-0.220
'[13:21:42.274 30/01/1995]',0.020,-0.095,0.003,98.758,0.000,-0.220
'[13:21:42.276 30/01/1995]',0.020,-0.095,0.003,98.758,0.000,-0.220
'[13:21:42.278 30/01/1995]',0.020,-0.095,0.003,98.758,0.000,-0.220
'[13:21:42.280 30/01/1995]',0.020,-0.095,0.003,96.972,0.000,-0.203
'[13:21:42.282 30/01/1995]',0.020,-0.095,0.003,96.972,0.000,-0.203
'[13:21:42.284 30/01/1995]',0.020,-0.095,0.003,96.972,0.000,-0.203
'[13:21:42.286 30/01/1995]',0.020,-0.095,0.003,96.972,0.000,-0.203
'[13:21:42.288 30/01/1995]',0.020,-0.095,0.003,95.185,0.000,-0.186
'[13:21:42.290 30/01/1995]',0.039,-0.095,0.003,95.185,0.000,-0.186
'[13:21:42.292 30/01/1995]',0.039,-0.062,0.003,95.185,0.000,-0.186
'[13:21:42.294 30/01/1995]',0.039,-0.062,0.003,95.185,0.000,-0.186
'[13:21:42.296 30/01/1995]',0.039,-0.062,0.003,93.399,0.000,-0.169
'[13:21:42.298 30/01/1995]',0.039,-0.095,0.003,93.399,0.000,-0.169
'[13:21:42.300 30/01/1995]',0.020,-0.095,0.003,93.399,0.000,-0.169
'[13:21:42.302 30/01/1995]',0.020,-0.095,0.003,93.399,0.000,-0.169
'[13:21:42.304 30/01/1995]',0.039,-0.062,0.003,91.555,0.000,-0.150
'[13:21:42.306 30/01/1995]',0.039,-0.062,0.003,91.555,0.000,-0.150
'[13:21:42.308 30/01/1995]',0.039,-0.062,0.003,91.555,0.000,-0.150
'[13:21:42.310 30/01/1995]',0.039,-0.095,0.003,91.555,0.000,-0.150
'[13:21:42.312 30/01/1995]',0.039,-0.062,0.003,89.712,0.000,-0.131
'[13:21:42.314 30/01/1995]',0.039,-0.062,0.003,89.712,0.000,-0.131
'[13:21:42.316 30/01/1995]',0.039,-0.062,0.003,89.712,0.000,-0.131
'[13:21:42.318 30/01/1995]',0.039,-0.062,0.033,89.712,0.000,-0.131
'[13:21:42.320 30/01/1995]',0.039,-0.062,0.003,87.810,0.000,-0.111
'[13:21:42.322 30/01/1995]',0.039,-0.062,0.003,87.810,0.000,-0.111
'[13:21:42.324 30/01/1995]',0.039,-0.062,0.003,87.810,0.000,-0.111
'[13:21:42.326 30/01/1995]',0.039,-0.062,0.003,87.810,0.000,-0.111
'[13:21:42.328 30/01/1995]',0.039,-0.062,0.003,86.024,0.000,-0.089
'[13:21:42.330 30/01/1995]',0.039,-0.062,0.003,86.024,0.000,-0.089
'[13:21:42.332 30/01/1995]',0.039,-0.062,0.003,86.024,0.000,-0.089
'[13:21:42.334 30/01/1995]',0.039,-0.062,0.003,86.024,0.000,-0.089
'[13:21:42.336 30/01/1995]',0.039,-0.062,0.033,84.296,0.000,-0.067
'[13:21:42.338 30/01/1995]',0.039,-0.062,0.003,84.296,0.000,-0.067
'[13:21:42.340 30/01/1995]',0.039,-0.062,0.003,84.296,0.000,-0.067
'[13:21:42.342 30/01/1995]',0.039,-0.062,0.003,84.296,0.000,-0.067
'[13:21:42.344 30/01/1995]',0.039,-0.062,0.003,82.797,0.000,-0.043
'[13:21:42.346 30/01/1995]',0.039,-0.062,0.033,82.797,0.000,-0.043
'[13:21:42.348 30/01/1995]',0.039,-0.062,0.003,82.797,0.000,-0.043
'[13:21:42.350 30/01/1995]',0.058,-0.030,0.033,82.797,0.000,-0.043
'[13:21:42.352 30/01/1995]',0.058,-0.030,0.003,81.587,0.000,-0.018
'[13:21:42.354 30/01/1995]',0.077,-0.030,0.033,81.587,0.000,-0.018
'[13:21:42.356 30/01/1995]',0.077,-0.030,0.033,81.587,0.000,-0.018
'[13:21:42.358 30/01/1995]',0.096,0.003,0.033,81.587,0.000,-0.018
'[13:21:42.360 30/01/1995]',0.114,0.003,0.033,80.781,0.000,0.004
'[13:21:42.362 30/01/1995]',0.114,0.003,0.033,80.781,0.000,0.004
'[13:21:42.364 30/01/1995]',0.133,0.003,0.033,80.781,0.000,0.004
'[13:21:42.366 30/01/1995]',0.152,0.034,0.033,80.781,0.000,0.004
'[13:21:42.368 30/01/1995]',0.133,0.034,0.033,80.262,0.000,0.026
'[13:21:42.370 30/01/1995]',0.133,0.003,0.033,80.262,0.000,0.026
'[13:21:42.372 30/01/1995]',0.114,0.003,0.033,80.262,0.000,0.026
'[13:21:42.374 30/01/1995]',0.077,-0.030,0.033,80.262,0.000,0.026
'[13:21:42.376 30/01/1995]',0.039,-0.062,0.003,80.032,0.000,0.048
'[13:21:42.378 30/01/1995]',0.020,-0.062,0.003,80.032,0.000,0.048
'[13:21:42.380 30/01/1995]',0.002,-0.062,0.003,80.032,0.000,0.048
'[13:21:42.382 30/01/1995]',0.002,-0.062,0.003,80.032,0.000,0.048
'[13:21:42.384 30/01/1995]',0.020,-0.030,0.003,80.089,0.000,0.069
'[13:21:42.386 30/01/1995]',0.058,-0.030,0.033,80.089,0.000,0.069
'[13:21:42.388 30/01/1995]',0.096,0.003,0.033,80.089,0.000,0.069
'[13:21:42.390 30/01/1995]',0.114,0.003,0.033,80.089,0.000,0.069
'[13:21:42.392 30/01/1995]',0.096,0.003,0.033,80.262,0.000,0.087
'[13:21:42.394 30/01/1995]',0.077,0.003,0.003,80.262,0.000,0.087
'[13:21:42.396 30/01/1995]',0.039,-0.030,0.003,80.262,0.000,0.087
'[13:21:42.398 30/01/1995]',0.002,-0.062,0.003,80.262,0.000,0.087
'[13:21:42.400 30/01/1995]',0.002,-0.095,0.003,80.550,0.000,0.105
'[13:21:42.402 30/01/1995]',-0.017,-0.128,0.003,80.550,0.000,0.105
'[13:21:42.404 30/01/1995]',-0.036,-0.128,0.003,80.550,0.000,0.105
'[13:21:42.406 30/01/1995]',-0.036,-0.128,0.003,80.550,0.000,0.105
'[13:21:42.408 30/01/1995]',-0.017,-0.128,0.003,80.896,0.000,0.121
'[13:21:42.410 30/01/1995]',-0.017,-0.128,0.003,80.896,0.000,0.121
'[13:21:42.412 30/01/1995]',-0.017,-0.128,0.003,80.896,0.000,0.121
'[13:21:42.414 30/01/1995]',-0.017,-0.095,0.003,80.896,0.000,0.121
'[13:21:42.416 30/01/1995]',-0.017,-0.095,0.003,81.127,0.000,0.137
'[13:21:42.418 30/01/1995]',-0.017,-0.095,0.003,81.127,0.000,0.137
'[13:21:42.420 30/01/1995]',0.002,-0.095,0.003,81.127,0.000,0.137
'[13:21:42.422 30/01/1995]',0.002,-0.095,0.003,81.127,0.000,0.137
'[13:21:42.424 30/01/1995]',0.002,-0.095,0.003,81.299,0.000,0.151
'[13:21:42.426 30/01/1995]',0.002,-0.095,0.003,81.299,0.000,0.151
'[13:21:42.428 30/01/1995]',0.002,-0.062,0.003,81.299,0.000,0.151
'[13:21:42.430 30/01/1995]',0.002,-0.062,0.003,81.299,0.000,0.151
'[13:21:42.432 30/01/1995]',0.002,-0.062,0.003,81.299,0.000,0.166
'[13:21:42.434 30/01/1995]',0.002,-0.062,0.003,81.299,0.000,0.166
'[13:21:42.436 30/01/1995]',0.002,-0.062,0.003,81.299,0.000,0.166
'[13:21:42.438 30/01/1995]',0.020,-0.062,0.003,81.299,0.000,0.166
'[13:21:42.440 30/01/1995]',0.039,-0.062,0.003,81.184,0.000,0.179
'[13:21:42.442 30/01/1995]',0.039,-0.062,0.003,81.184,0.000,0.179
'[13:21:42.444 30/01/1995]',0.039,-0.062,0.003,81.184,0.000,0.179
'[13:21:42.446 30/01/1995]',0.058,-0.062,0.003,81.184,0.000,0.179
'[13:21:42.448 30/01/1995]',0.058,-0.062,0.003,80.954,0.000,0.192
'[13:21:42.450 30/01/1995]',0.058,-0.062,0.003,80.954,0.000,0.192
'[13:21:42.452 30/01/1995]',0.058,-0.062,0.003,80.954,0.000,0.192
'[13:21:42.454 30/01/1995]',0.077,-0.062,0.033,80.954,0.000,0.192
'[13:21:42.456 30/01/1995]',0.096,-0.030,0.003,80.550,0.000,0.203
'[13:21:42.458 30/01/1995]',0.114,-0.030,0.033,80.550,0.000,0.203
'[13:21:42.460 30/01/1995]',0.114,-0.030,0.003,80.550,0.000,0.203
'[13:21:42.462 30/01/1995]',0.114,-0.030,0.033,80.550,0.000,0.203
'[13:21:42.464 30/01/1995]',0.096,-0.030,0.003,80.147,0.000,0.212
'[13:21:42.466 30/01/1995]',0.096,-0.030,0.003,80.147,0.000,0.212
'[13:21:42.468 30/01/1995]',0.096,-0.030,0.003,80.147,0.000,0.212
'[13:21:42.470 30/01/1995]',0.096,-0.030,0.033,80.147,0.000,0.212
'[13:21:42.472 30/01/1995]',0.096,-0.030,0.003,79.571,0.000,0.222
'[13:21:42.474 30/01/1995]',0.114,-0.030,0.033,79.571,0.000,0.222
'[13:21:42.476 30/01/1995]',0.114,-0.030,0.003,79.571,0.000,0.222
'[13:21:42.478 30/01/1995]',0.114,-0.030,0.003,79.571,0.000,0.222
'[13:21:42.480 30/01/1995]',0.114,-0.030,0.033,78.995,0.000,0.230
'[13:21:42.482 30/01/1995]',0.114,0.003,0.033,78.995,0.000,0.230
'[13:21:42.484 30/01/1995]',0.114,0.003,0.033,78.995,0.000,0.230
'[13:21:42.486 30/01/1995]',0.114,0.003,0.003,78.995,0.000,0.230
'[13:21:42.488 30/01/1995]',0.114,0.003,0.003,78.418,0.000,0.236
'[13:21:42.490 30/01/1995]',0.114,0.003,0.003,78.418,0.000,0.236
'[13:21:42.492 30/01/1995]',0.114,0.003,0.003,78.418,0.000,0.236
'[13:21:42.494 30/01/1995]',0.114,0.003,0.003,78.418,0.000,0.236
'[13:21:42.496 30/01/1995]',0.096,0.003,0.003,77.785,0.000,0.241
'[13:21:42.498 30/01/1995]',0.077,0.003,0.003,77.785,0.000,0.241
'[13:21:42.500 30/01/1995]',0.058,0.003,0.003,77.785,0.000,0.241
'[13:21:42.502 30/01/1995]',0.039,0.003,0.003,77.785,0.000,0.241
'[13:21:42.504 30/01/1995]',0.020,0.003,0.003,77.209,0.000,0.246
'[13:21:42.506 30/01/1995]',0.002,0.003,0.003,77.209,0.000,0.246
'[13:21:42.508 30/01/1995]',0.002,0.003,-0.029,77.209,0.000,0.246
'[13:21:42.510 30/01/1995]',0.002,-0.030,0.003,77.209,0.000,0.246
'[13:21:42.512 30/01/1995]',0.002,-0.030,-0.029,76.632,0.000,0.251
'[13:21:42.514 30/01/1995]',0.002,-0.030,-0.029,76.632,0.000,0.251
'[13:21:42.516 30/01/1995]',0.002,-0.030,-0.029,76.632,0.000,0.251
'[13:21:42.518 30/01/1995]',0.002,-0.030,-0.029,76.632,0.000,0.251
'[13:21:42.520 30/01/1995]',0.002,-0.062,-0.029,76.056,0.000,0.256
'[13:21:42.522 30/01/1995]',0.002,-0.062,-0.029,76.056,0.000,0.256
'[13:21:42.524 30/01/1995]',0.002,-0.062,-0.029,76.056,0.000,0.256
'[13:21:42.526 30/01/1995]',0.002,-0.062,-0.029,76.056,0.000,0.256
'[13:21:42.528 30/01/1995]',0.002,-0.062,-0.029,75.538,0.000,0.262
'[13:21:42.530 30/01/1995]',0.002,-0.062,-0.029,75.538,0.000,0.262
'[13:21:42.532 30/01/1995]',-0.017,-0.062,-0.029,75.538,0.000,0.262
'[13:21:42.534 30/01/1995]',-0.017,-0.062,-0.029,75.538,0.000,0.262
'[13:21:42.536 30/01/1995]',-0.017,-0.062,-0.029,75.019,0.000,0.268
'[13:21:42.538 30/01/1995]',0.002,-0.062,-0.029,75.019,0.000,0.268
'[13:21:42.540 30/01/1995]',0.002,-0.062,-0.029,75.019,0.000,0.268
'[13:21:42.542 30/01/1995]',0.002,-0.062,-0.029,75.019,0.000,0.268
'[13:21:42.544 30/01/1995]',0.002,-0.062,-0.029,74.616,0.000,0.274
'[13:21:42.546 30/01/1995]',0.002,-0.062,-0.029,74.616,0.000,0.274
'[13:21:42.548 30/01/1995]',0.002,-0.030,-0.029,74.616,0.000,0.274
'[13:21:42.550 30/01/1995]',0.002,-0.030,-0.029,74.616,0.000,0.274
'[13:21:42.552 30/01/1995]',0.002,-0.030,-0.029,74.155,0.000,0.282
'[13:21:42.554 30/01/1995]',0.002,-0.030,-0.029,74.155,0.000,0.282
'[13:21:42.556 30/01/1995]',0.002,-0.030,-0.029,74.155,0.000,0.282
'[13:21:42.558 30/01/1995]',0.002,-0.030,-0.029,74.155,0.000,0.282
'[13:21:42.560 30/01/1995]',0.002,-0.030,-0.029,73.751,0.000,0.291
'[13:21:42.562 30/01/1995]',0.002,-0.030,-0.029,73.751,0.000,0.291
'[13:21:42.564 30/01/1995]',-0.017,-0.030,0.003,73.751,0.000,0.291
'[13:21:42.566 30/01/1995]',-0.017,-0.030,0.003,73.751,0.000,0.291
'[13:21:42.568 30/01/1995]',-0.017,-0.030,0.033,73.348,0.000,0.301
'[13:21:42.570 30/01/1995]',-0.017,-0.030,0.129,73.348,0.000,0.301
'[13:21:42.572 30/01/1995]',0.002,-0.030,0.161,73.348,0.000,0.301
'[13:21:42.574 30/01/1995]',0.002,-0.030,0.161,73.348,0.000,0.301
'[13:21:42.576 30/01/1995]',0.002,-0.030,0.129,72.945,0.000,0.311
'[13:21:42.578 30/01/1995]',0.002,0.003,0.065,72.945,0.000,0.311
'[13:21:42.580 30/01/1995]',0.002,0.003,0.003,72.945,0.000,0.311
'[13:21:42.582 30/01/1995]',0.002,0.003,-0.093,72.945,0.000,0.311
'[13:21:42.584 30/01/1995]',-0.017,0.034,-0.348,72.541,0.000,0.321
'[13:21:42.586 30/01/1995]',-0.093,0.067,-0.570,72.541,0.000,0.321
'[13:21:42.588 30/01/1995]',-0.150,0.132,-0.793,72.541,0.000,0.321
'[13:21:42.590 30/01/1995]',-0.188,0.197,-1.046,72.541,0.000,0.321
'[13:21:42.592 30/01/1995]',-0.281,0.263,-1.206,72.253,0.000,0.330
'[13:21:42.594 30/01/1995]',-0.376,0.328,-1.364,72.253,0.000,0.330
'[13:21:42.596 30/01/1995]',-0.509,0.393,-1.555,72.253,0.000,0.330
'[13:21:42.598 30/01/1995]',-0.602,0.426,-1.683,72.253,0.000,0.330
'[13:21:42.600 30/01/1995]',-0.735,0.426,-1.809,71.965,0.000,0.339
'[13:21:42.602 30/01/1995]',-0.829,0.458,-1.904,71.965,0.000,0.339
'[13:21:42.604 30/01/1995]',-0.886,0.458,-2.032,71.965,0.000,0.339
'[13:21:42.606 30/01/1995]',-0.942,0.490,-2.096,71.965,0.000,0.339
'[13:21:42.608 30/01/1995]',-0.961,0.555,-2.128,71.792,0.000,0.347
'[13:21:42.610 30/01/1995]',-0.942,0.588,-2.096,71.792,0.000,0.347
'[13:21:42.612 30/01/1995]',-0.886,0.620,-2.032,71.792,0.000,0.347
'[13:21:42.614 30/01/1995]',-0.829,0.620,-1.904,71.792,0.000,0.347
'[13:21:42.616 30/01/1995]',-0.716,0.588,-1.778,71.677,0.000,0.354
'[13:21:42.618 30/01/1995]',-0.602,0.522,-1.619,71.677,0.000,0.354
'[13:21:42.620 30/01/1995]',-0.509,0.426,-1.428,71.677,0.000,0.354
'[13:21:42.622 30/01/1995]',-0.414,0.328,-1.238,71.677,0.000,0.354
'[13:21:42.624 30/01/1995]',-0.338,0.230,-1.078,71.562,0.000,0.361
'[13:21:42.626 30/01/1995]',-0.281,0.197,-0.951,71.562,0.000,0.361
'[13:21:42.628 30/01/1995]',-0.207,0.165,-0.761,71.562,0.000,0.361
'[13:21:42.630 30/01/1995]',-0.169,0.132,-0.633,71.562,0.000,0.361
'[13:21:42.632 30/01/1995]',-0.112,0.099,-0.474,71.562,0.000,0.367
'[13:21:42.634 30/01/1995]',-0.074,0.067,-0.348,71.562,0.000,0.367
'[13:21:42.636 30/01/1995]',-0.036,0.067,-0.220,71.562,0.000,0.367
