'Time and date','aVL','II','ABP','PAP','PLETH','RESP'
'[08:33:11.280 11/03/1996]',0.008,0.043,38.564,25.886,-0.268,0.468
'[08:33:11.282 11/03/1996]',0.007,0.043,38.564,25.886,-0.268,0.468
'[08:33:11.284 11/03/1996]',0.008,0.043,38.564,25.886,-0.268,0.468
'[08:33:11.286 11/03/1996]',0.008,0.043,38.564,25.886,-0.268,0.468
'[08:33:11.288 11/03/1996]',0.008,0.043,38.113,26.313,-0.251,0.482
'[08:33:11.290 11/03/1996]',0.007,0.043,38.113,26.313,-0.251,0.482
'[08:33:11.292 11/03/1996]',0.006,0.043,38.113,26.313,-0.251,0.482
'[08:33:11.294 11/03/1996]',0.005,0.043,38.113,26.313,-0.251,0.482
'[08:33:11.296 11/03/1996]',0.004,0.043,37.763,27.015,-0.236,0.495
'[08:33:11.298 11/03/1996]',0.004,0.043,37.763,27.015,-0.236,0.495
'[08:33:11.300 11/03/1996]',0.004,0.043,37.763,27.015,-0.236,0.495
'[08:33:11.302 11/03/1996]',0.004,0.043,37.763,27.015,-0.236,0.495
'[08:33:11.304 11/03/1996]',0.004,0.043,37.462,27.768,-0.223,0.508
'[08:33:11.306 11/03/1996]',0.004,0.043,37.462,27.768,-0.223,0.508
'[08:33:11.308 11/03/1996]',0.004,0.043,37.462,27.768,-0.223,0.508
'[08:33:11.310 11/03/1996]',0.004,0.043,37.462,27.768,-0.223,0.508
'[08:33:11.312 11/03/1996]',0.004,0.043,37.262,28.545,-0.212,0.519
'[08:33:11.314 11/03/1996]',0.004,0.043,37.262,28.545,-0.212,0.519
'[08:33:11.316 11/03/1996]',0.004,0.043,37.262,28.545,-0.212,0.519
'[08:33:11.318 11/03/1996]',0.004,0.043,37.262,28.545,-0.212,0.519
'[08:33:11.320 11/03/1996]',0.004,0.043,37.162,29.122,-0.201,0.530
'[08:33:11.322 11/03/1996]',0.004,0.043,37.162,29.122,-0.201,0.530
'[08:33:11.324 11/03/1996]',0.004,0.043,37.162,29.122,-0.201,0.530
'[08:33:11.326 11/03/1996]',0.004,0.043,37.162,29.122,-0.201,0.530
'[08:33:11.328 11/03/1996]',0.004,0.043,37.012,29.599,-0.197,0.541
'[08:33:11.330 11/03/1996]',0.004,0.043,37.012,29.599,-0.197,0.541
'[08:33:11.332 11/03/1996]',0.004,0.043,37.012,29.599,-0.197,0.541
'[08:33:11.334 11/03/1996]',0.004,0.043,37.012,29.599,-0.197,0.541
'[08:33:11.336 11/03/1996]',0.004,0.043,36.861,29.849,-0.192,0.551
'[08:33:11.338 11/03/1996]',0.004,0.043,36.861,29.849,-0.192,0.551
'[08:33:11.340 11/03/1996]',0.004,0.043,36.861,29.849,-0.192,0.551
'[08:33:11.342 11/03/1996]',0.004,0.043,36.861,29.849,-0.192,0.551
'[08:33:11.344 11/03/1996]',0.004,0.043,36.611,30.025,-0.190,0.561
'[08:33:11.346 11/03/1996]',0.005,0.043,36.611,30.025,-0.190,0.561
'[08:33:11.348 11/03/1996]',0.006,0.043,36.611,30.025,-0.190,0.561
'[08:33:11.350 11/03/1996]',0.007,0.043,36.611,30.025,-0.190,0.561
'[08:33:11.352 11/03/1996]',0.008,0.043,36.411,29.950,-0.189,0.572
'[08:33:11.354 11/03/1996]',0.010,0.043,36.411,29.950,-0.189,0.572
'[08:33:11.356 11/03/1996]',0.010,0.043,36.411,29.950,-0.189,0.572
'[08:33:11.358 11/03/1996]',0.010,0.043,36.411,29.950,-0.189,0.572
'[08:33:11.360 11/03/1996]',0.011,0.043,36.160,29.900,-0.194,0.582
'[08:33:11.362 11/03/1996]',0.012,0.043,36.160,29.900,-0.194,0.582
'[08:33:11.364 11/03/1996]',0.013,0.043,36.160,29.900,-0.194,0.582
'[08:33:11.366 11/03/1996]',0.013,0.043,36.160,29.900,-0.194,0.582
'[08:33:11.368 11/03/1996]',0.013,0.043,35.860,29.649,-0.197,0.592
'[08:33:11.370 11/03/1996]',0.013,0.043,35.860,29.649,-0.197,0.592
'[08:33:11.372 11/03/1996]',0.013,0.043,35.860,29.649,-0.197,0.592
'[08:33:11.374 11/03/1996]',0.012,0.043,35.860,29.649,-0.197,0.592
'[08:33:11.376 11/03/1996]',0.011,0.043,35.609,29.423,-0.204,0.602
'[08:33:11.378 11/03/1996]',0.010,0.043,35.609,29.423,-0.204,0.602
'[08:33:11.380 11/03/1996]',0.008,0.043,35.609,29.423,-0.204,0.602
'[08:33:11.382 11/03/1996]',0.007,0.043,35.609,29.423,-0.204,0.602
'[08:33:11.384 11/03/1996]',0.008,0.043,35.409,29.122,-0.212,0.612
'[08:33:11.386 11/03/1996]',0.008,0.043,35.409,29.122,-0.212,0.612
'[08:33:11.388 11/03/1996]',0.008,0.043,35.409,29.122,-0.212,0.612
'[08:33:11.390 11/03/1996]',0.008,0.043,35.409,29.122,-0.212,0.612
'[08:33:11.392 11/03/1996]',0.009,0.043,35.209,28.846,-0.221,0.622
'[08:33:11.394 11/03/1996]',0.010,0.043,35.209,28.846,-0.221,0.622
'[08:33:11.396 11/03/1996]',0.011,0.043,35.209,28.846,-0.221,0.622
'[08:33:11.398 11/03/1996]',0.012,0.043,35.209,28.846,-0.221,0.622
'[08:33:11.400 11/03/1996]',0.013,0.043,35.058,28.545,-0.234,0.633
'[08:33:11.402 11/03/1996]',0.013,0.043,35.058,28.545,-0.234,0.633
'[08:33:11.404 11/03/1996]',0.013,0.043,35.058,28.545,-0.234,0.633
'[08:33:11.406 11/03/1996]',0.012,0.043,35.058,28.545,-0.234,0.633
'[08:33:11.408 11/03/1996]',0.011,0.043,34.858,28.319,-0.244,0.645
'[08:33:11.410 11/03/1996]',0.010,0.043,34.858,28.319,-0.244,0.645
'[08:33:11.412 11/03/1996]',0.007,0.043,34.858,28.319,-0.244,0.645
'[08:33:11.414 11/03/1996]',0.005,0.043,34.858,28.319,-0.244,0.645
'[08:33:11.416 11/03/1996]',0.003,0.043,34.758,28.018,-0.257,0.658
'[08:33:11.418 11/03/1996]',0.001,0.043,34.758,28.018,-0.257,0.658
'[08:33:11.420 11/03/1996]',0.000,0.045,34.758,28.018,-0.257,0.658
'[08:33:11.422 11/03/1996]',-0.001,0.046,34.758,28.018,-0.257,0.658
'[08:33:11.424 11/03/1996]',-0.001,0.051,34.608,27.768,-0.271,0.671
'[08:33:11.426 11/03/1996]',-0.001,0.055,34.608,27.768,-0.271,0.671
'[08:33:11.428 11/03/1996]',0.000,0.065,34.608,27.768,-0.271,0.671
'[08:33:11.430 11/03/1996]',0.001,0.074,34.608,27.768,-0.271,0.671
'[08:33:11.432 11/03/1996]',0.005,0.083,34.457,27.542,-0.283,0.684
'[08:33:11.434 11/03/1996]',0.008,0.092,34.457,27.542,-0.283,0.684
'[08:33:11.436 11/03/1996]',0.015,0.104,34.457,27.542,-0.283,0.684
'[08:33:11.438 11/03/1996]',0.023,0.117,34.457,27.542,-0.283,0.684
'[08:33:11.440 11/03/1996]',0.031,0.124,34.357,27.366,-0.294,0.696
'[08:33:11.442 11/03/1996]',0.039,0.132,34.357,27.366,-0.294,0.696
'[08:33:11.444 11/03/1996]',0.044,0.134,34.357,27.366,-0.294,0.696
'[08:33:11.446 11/03/1996]',0.049,0.135,34.357,27.366,-0.294,0.696
'[08:33:11.448 11/03/1996]',0.042,0.132,34.207,27.191,-0.308,0.708
'[08:33:11.450 11/03/1996]',0.036,0.129,34.207,27.191,-0.308,0.708
'[08:33:11.452 11/03/1996]',0.012,0.120,34.207,27.191,-0.308,0.708
'[08:33:11.454 11/03/1996]',-0.012,0.111,34.207,27.191,-0.308,0.708
'[08:33:11.456 11/03/1996]',-0.055,0.095,34.057,27.015,-0.320,0.720
'[08:33:11.458 11/03/1996]',-0.099,0.080,34.057,27.015,-0.320,0.720
'[08:33:11.460 11/03/1996]',-0.160,0.066,34.057,27.015,-0.320,0.720
'[08:33:11.462 11/03/1996]',-0.221,0.052,34.057,27.015,-0.320,0.720
'[08:33:11.464 11/03/1996]',-0.291,0.038,33.906,26.890,-0.330,0.733
'[08:33:11.466 11/03/1996]',-0.362,0.025,33.906,26.890,-0.330,0.733
'[08:33:11.468 11/03/1996]',-0.433,0.006,33.906,26.890,-0.330,0.733
'[08:33:11.470 11/03/1996]',-0.504,-0.012,33.906,26.890,-0.330,0.733
'[08:33:11.472 11/03/1996]',-0.565,-0.031,33.806,26.789,-0.342,0.746
'[08:33:11.474 11/03/1996]',-0.626,-0.049,33.806,26.789,-0.342,0.746
'[08:33:11.476 11/03/1996]',-0.667,-0.061,33.806,26.789,-0.342,0.746
'[08:33:11.478 11/03/1996]',-0.708,-0.074,33.806,26.789,-0.342,0.746
'[08:33:11.480 11/03/1996]',-0.728,-0.075,33.606,26.664,-0.351,0.760
'[08:33:11.482 11/03/1996]',-0.747,-0.077,33.606,26.664,-0.351,0.760
'[08:33:11.484 11/03/1996]',-0.753,-0.069,33.606,26.664,-0.351,0.760
'[08:33:11.486 11/03/1996]',-0.758,-0.061,33.606,26.664,-0.351,0.760
'[08:33:11.488 11/03/1996]',-0.756,-0.043,33.506,26.664,-0.360,0.773
'[08:33:11.490 11/03/1996]',-0.754,-0.025,33.506,26.664,-0.360,0.773
'[08:33:11.492 11/03/1996]',-0.750,0.000,33.506,26.664,-0.360,0.773
'[08:33:11.494 11/03/1996]',-0.746,0.025,33.506,26.664,-0.360,0.773
'[08:33:11.496 11/03/1996]',-0.737,0.043,33.406,26.714,-0.373,0.785
'[08:33:11.498 11/03/1996]',-0.728,0.061,33.406,26.714,-0.373,0.785
'[08:33:11.500 11/03/1996]',-0.709,0.066,33.406,26.714,-0.373,0.785
'[08:33:11.502 11/03/1996]',-0.690,0.071,33.406,26.714,-0.373,0.785
'[08:33:11.504 11/03/1996]',-0.657,0.066,33.356,27.065,-0.382,0.795
'[08:33:11.506 11/03/1996]',-0.623,0.061,33.356,27.065,-0.382,0.795
'[08:33:11.508 11/03/1996]',-0.579,0.051,33.356,27.065,-0.382,0.795
'[08:33:11.510 11/03/1996]',-0.535,0.040,33.356,27.065,-0.382,0.795
'[08:33:11.512 11/03/1996]',-0.486,0.031,33.205,27.717,-0.390,0.805
'[08:33:11.514 11/03/1996]',-0.436,0.022,33.205,27.717,-0.390,0.805
'[08:33:11.516 11/03/1996]',-0.387,0.015,33.205,27.717,-0.390,0.805
'[08:33:11.518 11/03/1996]',-0.338,0.009,33.205,27.717,-0.390,0.805
'[08:33:11.520 11/03/1996]',-0.296,0.011,33.155,28.495,-0.398,0.814
'[08:33:11.522 11/03/1996]',-0.254,0.012,33.155,28.495,-0.398,0.814
'[08:33:11.524 11/03/1996]',-0.220,0.017,33.155,28.495,-0.398,0.814
'[08:33:11.526 11/03/1996]',-0.186,0.022,33.155,28.495,-0.398,0.814
'[08:33:11.528 11/03/1996]',-0.159,0.028,33.155,29.122,-0.408,0.824
'[08:33:11.530 11/03/1996]',-0.132,0.034,33.155,29.122,-0.408,0.824
'[08:33:11.532 11/03/1996]',-0.108,0.032,33.155,29.122,-0.408,0.824
'[08:33:11.534 11/03/1996]',-0.083,0.031,33.155,29.122,-0.408,0.824
'[08:33:11.536 11/03/1996]',-0.058,0.025,33.105,29.548,-0.416,0.834
'[08:33:11.538 11/03/1996]',-0.033,0.018,33.105,29.548,-0.416,0.834
'[08:33:11.540 11/03/1996]',-0.007,0.006,33.105,29.548,-0.416,0.834
'[08:33:11.542 11/03/1996]',0.019,-0.006,33.105,29.548,-0.416,0.834
'[08:33:11.544 11/03/1996]',0.044,-0.015,33.055,29.900,-0.422,0.844
'[08:33:11.546 11/03/1996]',0.069,-0.025,33.055,29.900,-0.422,0.844
'[08:33:11.548 11/03/1996]',0.094,-0.031,33.055,29.900,-0.422,0.844
'[08:33:11.550 11/03/1996]',0.118,-0.037,33.055,29.900,-0.422,0.844
'[08:33:11.552 11/03/1996]',0.139,-0.035,33.005,30.301,-0.428,0.854
'[08:33:11.554 11/03/1996]',0.161,-0.034,33.005,30.301,-0.428,0.854
'[08:33:11.556 11/03/1996]',0.178,-0.028,33.005,30.301,-0.428,0.854
'[08:33:11.558 11/03/1996]',0.194,-0.022,33.005,30.301,-0.428,0.854
'[08:33:11.560 11/03/1996]',0.206,-0.015,32.905,30.602,-0.434,0.863
'[08:33:11.562 11/03/1996]',0.217,-0.009,32.905,30.602,-0.434,0.863
'[08:33:11.564 11/03/1996]',0.223,-0.005,32.905,30.602,-0.434,0.863
'[08:33:11.566 11/03/1996]',0.230,0.000,32.905,30.602,-0.434,0.863
'[08:33:11.568 11/03/1996]',0.234,0.005,32.855,30.727,-0.441,0.870
'[08:33:11.570 11/03/1996]',0.237,0.009,32.855,30.727,-0.441,0.870
'[08:33:11.572 11/03/1996]',0.240,0.012,32.855,30.727,-0.441,0.870
'[08:33:11.574 11/03/1996]',0.242,0.015,32.855,30.727,-0.441,0.870
'[08:33:11.576 11/03/1996]',0.242,0.018,32.805,30.552,-0.444,0.875
'[08:33:11.578 11/03/1996]',0.242,0.022,32.805,30.552,-0.444,0.875
'[08:33:11.580 11/03/1996]',0.243,0.023,32.805,30.552,-0.444,0.875
'[08:33:11.582 11/03/1996]',0.243,0.025,32.805,30.552,-0.444,0.875
'[08:33:11.584 11/03/1996]',0.244,0.029,32.805,30.376,-0.449,0.880
'[08:33:11.586 11/03/1996]',0.246,0.034,32.805,30.376,-0.449,0.880
'[08:33:11.588 11/03/1996]',0.247,0.038,32.805,30.376,-0.449,0.880
'[08:33:11.590 11/03/1996]',0.249,0.043,32.805,30.376,-0.449,0.880
'[08:33:11.592 11/03/1996]',0.251,0.045,32.805,30.376,-0.452,0.884
'[08:33:11.594 11/03/1996]',0.254,0.046,32.805,30.376,-0.452,0.884
'[08:33:11.596 11/03/1996]',0.256,0.045,32.805,30.376,-0.452,0.884
'[08:33:11.598 11/03/1996]',0.257,0.043,32.805,30.376,-0.452,0.884
'[08:33:11.600 11/03/1996]',0.260,0.043,32.805,30.828,-0.455,0.888
'[08:33:11.602 11/03/1996]',0.262,0.043,32.805,30.828,-0.455,0.888
'[08:33:11.604 11/03/1996]',0.265,0.043,32.805,30.828,-0.455,0.888
'[08:33:11.606 11/03/1996]',0.268,0.043,32.805,30.828,-0.455,0.888
'[08:33:11.608 11/03/1996]',0.273,0.043,32.805,31.731,-0.457,0.892
'[08:33:11.610 11/03/1996]',0.278,0.043,32.805,31.731,-0.457,0.892
'[08:33:11.612 11/03/1996]',0.284,0.043,32.805,31.731,-0.457,0.892
'[08:33:11.614 11/03/1996]',0.290,0.043,32.805,31.731,-0.457,0.892
'[08:33:11.616 11/03/1996]',0.296,0.043,32.755,33.010,-0.460,0.895
'[08:33:11.618 11/03/1996]',0.302,0.043,32.755,33.010,-0.460,0.895
'[08:33:11.620 11/03/1996]',0.308,0.043,32.755,33.010,-0.460,0.895
'[08:33:11.622 11/03/1996]',0.313,0.043,32.755,33.010,-0.460,0.895
'[08:33:11.624 11/03/1996]',0.319,0.043,32.755,34.716,-0.460,0.900
'[08:33:11.626 11/03/1996]',0.324,0.043,32.755,34.716,-0.460,0.900
'[08:33:11.628 11/03/1996]',0.331,0.043,32.755,34.716,-0.460,0.900
'[08:33:11.630 11/03/1996]',0.337,0.043,32.755,34.716,-0.460,0.900
'[08:33:11.632 11/03/1996]',0.342,0.043,32.805,36.823,-0.460,0.905
'[08:33:11.634 11/03/1996]',0.347,0.043,32.805,36.823,-0.460,0.905
'[08:33:11.636 11/03/1996]',0.351,0.043,32.805,36.823,-0.460,0.905
'[08:33:11.638 11/03/1996]',0.355,0.043,32.805,36.823,-0.460,0.905
