'Time and date','II','aVR','V','ABP','PAP','PLETH','RESP'
'[14:07:05.104 26/10/1995]',-0.016,0.035,0.019,73.459,31.100,0.413,-0.233
'[14:07:05.106 26/10/1995]',-0.018,0.028,0.019,73.459,31.100,0.413,-0.233
'[14:07:05.108 26/10/1995]',-0.018,0.021,0.028,73.459,31.100,0.413,-0.233
'[14:07:05.110 26/10/1995]',-0.018,0.007,0.037,73.459,31.100,0.413,-0.233
'[14:07:05.112 26/10/1995]',-0.018,0.007,0.028,72.406,31.625,0.392,-0.225
'[14:07:05.114 26/10/1995]',-0.018,0.007,0.028,72.406,31.625,0.392,-0.225
'[14:07:05.116 26/10/1995]',-0.018,0.014,0.019,72.406,31.625,0.392,-0.225
'[14:07:05.118 26/10/1995]',-0.018,0.021,0.019,72.406,31.625,0.392,-0.225
'[14:07:05.120 26/10/1995]',-0.018,0.042,0.028,71.579,32.200,0.369,-0.218
'[14:07:05.122 26/10/1995]',-0.018,0.035,0.019,71.579,32.200,0.369,-0.218
'[14:07:05.124 26/10/1995]',-0.018,0.028,0.028,71.579,32.200,0.369,-0.218
'[14:07:05.126 26/10/1995]',-0.018,0.014,0.037,71.579,32.200,0.369,-0.218
'[14:07:05.128 26/10/1995]',-0.019,0.007,0.037,70.827,32.550,0.342,-0.211
'[14:07:05.130 26/10/1995]',-0.020,0.007,0.028,70.827,32.550,0.342,-0.211
'[14:07:05.132 26/10/1995]',-0.021,0.014,0.028,70.827,32.550,0.342,-0.211
'[14:07:05.134 26/10/1995]',-0.022,0.021,0.028,70.827,32.550,0.342,-0.211
'[14:07:05.136 26/10/1995]',-0.023,0.028,0.028,70.150,32.550,0.312,-0.203
'[14:07:05.138 26/10/1995]',-0.024,0.042,0.028,70.150,32.550,0.312,-0.203
'[14:07:05.140 26/10/1995]',-0.025,0.035,0.037,70.150,32.550,0.312,-0.203
'[14:07:05.142 26/10/1995]',-0.026,0.021,0.037,70.150,32.550,0.312,-0.203
'[14:07:05.144 26/10/1995]',-0.026,0.007,0.046,69.398,32.200,0.284,-0.196
'[14:07:05.146 26/10/1995]',-0.026,0.007,0.037,69.398,32.200,0.284,-0.196
'[14:07:05.148 26/10/1995]',-0.026,0.014,0.037,69.398,32.200,0.284,-0.196
'[14:07:05.150 26/10/1995]',-0.026,0.021,0.028,69.398,32.200,0.284,-0.196
'[14:07:05.152 26/10/1995]',-0.027,0.035,0.028,68.647,31.725,0.251,-0.188
'[14:07:05.154 26/10/1995]',-0.027,0.042,0.028,68.647,31.725,0.251,-0.188
'[14:07:05.156 26/10/1995]',-0.028,0.035,0.037,68.647,31.725,0.251,-0.188
'[14:07:05.158 26/10/1995]',-0.029,0.028,0.046,68.647,31.725,0.251,-0.188
'[14:07:05.160 26/10/1995]',-0.029,0.014,0.046,68.120,31.150,0.222,-0.180
'[14:07:05.162 26/10/1995]',-0.030,0.007,0.046,68.120,31.150,0.222,-0.180
'[14:07:05.164 26/10/1995]',-0.031,0.014,0.037,68.120,31.150,0.222,-0.180
'[14:07:05.166 26/10/1995]',-0.032,0.021,0.037,68.120,31.150,0.222,-0.180
'[14:07:05.168 26/10/1995]',-0.032,0.035,0.028,67.669,30.500,0.194,-0.172
'[14:07:05.170 26/10/1995]',-0.033,0.042,0.028,67.669,30.500,0.194,-0.172
'[14:07:05.172 26/10/1995]',-0.034,0.042,0.028,67.669,30.500,0.194,-0.172
'[14:07:05.174 26/10/1995]',-0.034,0.035,0.037,67.669,30.500,0.194,-0.172
'[14:07:05.176 26/10/1995]',-0.034,0.021,0.046,67.218,29.925,0.165,-0.165
'[14:07:05.178 26/10/1995]',-0.033,0.014,0.046,67.218,29.925,0.165,-0.165
'[14:07:05.180 26/10/1995]',-0.033,0.007,0.037,67.218,29.925,0.165,-0.165
'[14:07:05.182 26/10/1995]',-0.033,0.014,0.028,67.218,29.925,0.165,-0.165
'[14:07:05.184 26/10/1995]',-0.033,0.028,0.028,66.767,29.325,0.135,-0.158
'[14:07:05.186 26/10/1995]',-0.033,0.035,0.028,66.767,29.325,0.135,-0.158
'[14:07:05.188 26/10/1995]',-0.033,0.049,0.037,66.767,29.325,0.135,-0.158
'[14:07:05.190 26/10/1995]',-0.032,0.035,0.037,66.767,29.325,0.135,-0.158
'[14:07:05.192 26/10/1995]',-0.030,0.021,0.046,66.391,28.800,0.107,-0.150
'[14:07:05.194 26/10/1995]',-0.029,0.021,0.046,66.391,28.800,0.107,-0.150
'[14:07:05.196 26/10/1995]',-0.026,0.014,0.046,66.391,28.800,0.107,-0.150
'[14:07:05.198 26/10/1995]',-0.023,0.014,0.046,66.391,28.800,0.107,-0.150
'[14:07:05.200 26/10/1995]',-0.020,0.021,0.037,65.940,28.325,0.082,-0.143
'[14:07:05.202 26/10/1995]',-0.017,0.028,0.037,65.940,28.325,0.082,-0.143
'[14:07:05.204 26/10/1995]',-0.014,0.042,0.046,65.940,28.325,0.082,-0.143
'[14:07:05.206 26/10/1995]',-0.011,0.035,0.056,65.940,28.325,0.082,-0.143
'[14:07:05.208 26/10/1995]',-0.008,0.021,0.065,65.489,27.975,0.057,-0.136
'[14:07:05.210 26/10/1995]',-0.005,0.001,0.065,65.489,27.975,0.057,-0.136
'[14:07:05.212 26/10/1995]',-0.002,0.001,0.065,65.489,27.975,0.057,-0.136
'[14:07:05.214 26/10/1995]',0.000,-0.006,0.065,65.489,27.975,0.057,-0.136
'[14:07:05.216 26/10/1995]',0.002,0.001,0.065,65.038,27.700,0.034,-0.129
'[14:07:05.218 26/10/1995]',0.004,0.014,0.065,65.038,27.700,0.034,-0.129
'[14:07:05.220 26/10/1995]',0.006,0.028,0.065,65.038,27.700,0.034,-0.129
'[14:07:05.222 26/10/1995]',0.008,0.035,0.065,65.038,27.700,0.034,-0.129
'[14:07:05.224 26/10/1995]',0.011,0.021,0.065,64.586,27.525,0.013,-0.122
'[14:07:05.226 26/10/1995]',0.015,0.001,0.074,64.586,27.525,0.013,-0.122
'[14:07:05.228 26/10/1995]',0.019,-0.006,0.065,64.586,27.525,0.013,-0.122
'[14:07:05.230 26/10/1995]',0.023,-0.013,0.065,64.586,27.525,0.013,-0.122
'[14:07:05.232 26/10/1995]',0.028,-0.006,0.046,64.135,27.350,-0.009,-0.117
'[14:07:05.234 26/10/1995]',0.033,0.001,0.056,64.135,27.350,-0.009,-0.117
'[14:07:05.236 26/10/1995]',0.036,0.001,0.037,64.135,27.350,-0.009,-0.117
'[14:07:05.238 26/10/1995]',0.040,0.001,0.037,64.135,27.350,-0.009,-0.117
'[14:07:05.240 26/10/1995]',0.041,-0.006,0.037,63.759,27.175,-0.028,-0.111
'[14:07:05.242 26/10/1995]',0.043,-0.020,0.037,63.759,27.175,-0.028,-0.111
'[14:07:05.244 26/10/1995]',0.042,-0.034,0.028,63.759,27.175,-0.028,-0.111
'[14:07:05.246 26/10/1995]',0.042,-0.041,0.019,63.759,27.175,-0.028,-0.111
'[14:07:05.248 26/10/1995]',0.038,-0.034,0.019,63.233,27.100,-0.049,-0.105
'[14:07:05.250 26/10/1995]',0.034,-0.020,0.010,63.233,27.100,-0.049,-0.105
'[14:07:05.252 26/10/1995]',0.029,-0.013,0.010,63.233,27.100,-0.049,-0.105
'[14:07:05.254 26/10/1995]',0.023,0.001,0.010,63.233,27.100,-0.049,-0.105
'[14:07:05.256 26/10/1995]',0.018,0.001,0.010,62.932,27.100,-0.066,-0.100
'[14:07:05.258 26/10/1995]',0.012,-0.006,0.010,62.932,27.100,-0.066,-0.100
'[14:07:05.260 26/10/1995]',0.006,-0.020,0.010,62.932,27.100,-0.066,-0.100
'[14:07:05.262 26/10/1995]',0.000,-0.020,0.019,62.932,27.100,-0.066,-0.100
'[14:07:05.264 26/10/1995]',-0.006,-0.013,0.010,62.481,27.225,-0.083,-0.094
'[14:07:05.266 26/10/1995]',-0.011,0.001,0.010,62.481,27.225,-0.083,-0.094
'[14:07:05.268 26/10/1995]',-0.016,0.014,0.001,62.481,27.225,-0.083,-0.094
'[14:07:05.270 26/10/1995]',-0.021,0.028,0.010,62.481,27.225,-0.083,-0.094
'[14:07:05.272 26/10/1995]',-0.026,0.035,0.010,62.105,27.350,-0.102,-0.088
'[14:07:05.274 26/10/1995]',-0.031,0.021,0.019,62.105,27.350,-0.102,-0.088
'[14:07:05.276 26/10/1995]',-0.035,0.014,0.028,62.105,27.350,-0.102,-0.088
'[14:07:05.278 26/10/1995]',-0.040,0.014,0.028,62.105,27.350,-0.102,-0.088
'[14:07:05.280 26/10/1995]',-0.043,0.014,0.028,61.654,27.450,-0.116,-0.082
'[14:07:05.282 26/10/1995]',-0.047,0.021,0.019,61.654,27.450,-0.116,-0.082
'[14:07:05.284 26/10/1995]',-0.049,0.035,0.019,61.654,27.450,-0.116,-0.082
'[14:07:05.286 26/10/1995]',-0.052,0.063,0.028,61.654,27.450,-0.116,-0.082
'[14:07:05.288 26/10/1995]',-0.054,0.070,0.028,61.353,27.450,-0.131,-0.074
'[14:07:05.290 26/10/1995]',-0.055,0.063,0.037,61.353,27.450,-0.131,-0.074
'[14:07:05.292 26/10/1995]',-0.056,0.042,0.037,61.353,27.450,-0.131,-0.074
'[14:07:05.294 26/10/1995]',-0.057,0.028,0.046,61.353,27.450,-0.131,-0.074
'[14:07:05.296 26/10/1995]',-0.058,0.028,0.037,60.977,27.450,-0.145,-0.068
'[14:07:05.298 26/10/1995]',-0.058,0.028,0.037,60.977,27.450,-0.145,-0.068
'[14:07:05.300 26/10/1995]',-0.058,0.035,0.028,60.977,27.450,-0.145,-0.068
'[14:07:05.302 26/10/1995]',-0.058,0.049,0.028,60.977,27.450,-0.145,-0.068
'[14:07:05.304 26/10/1995]',-0.059,0.070,0.028,60.752,27.350,-0.159,-0.060
'[14:07:05.306 26/10/1995]',-0.060,0.070,0.037,60.752,27.350,-0.159,-0.060
'[14:07:05.308 26/10/1995]',-0.060,0.049,0.037,60.752,27.350,-0.159,-0.060
'[14:07:05.310 26/10/1995]',-0.060,0.028,0.037,60.752,27.350,-0.159,-0.060
'[14:07:05.312 26/10/1995]',-0.060,0.028,0.037,60.526,27.175,-0.173,-0.052
'[14:07:05.314 26/10/1995]',-0.060,0.028,0.028,60.526,27.175,-0.173,-0.052
'[14:07:05.316 26/10/1995]',-0.060,0.042,0.028,60.526,27.175,-0.173,-0.052
'[14:07:05.318 26/10/1995]',-0.060,0.049,0.028,60.526,27.175,-0.173,-0.052
'[14:07:05.320 26/10/1995]',-0.060,0.063,0.019,60.301,27.050,-0.183,-0.044
'[14:07:05.322 26/10/1995]',-0.060,0.063,0.028,60.301,27.050,-0.183,-0.044
'[14:07:05.324 26/10/1995]',-0.060,0.049,0.037,60.301,27.050,-0.183,-0.044
'[14:07:05.326 26/10/1995]',-0.060,0.035,0.037,60.301,27.050,-0.183,-0.044
'[14:07:05.328 26/10/1995]',-0.061,0.028,0.037,60.000,26.925,-0.199,-0.036
'[14:07:05.330 26/10/1995]',-0.061,0.028,0.037,60.000,26.925,-0.199,-0.036
'[14:07:05.332 26/10/1995]',-0.063,0.035,0.037,60.000,26.925,-0.199,-0.036
'[14:07:05.334 26/10/1995]',-0.064,0.049,0.028,60.000,26.925,-0.199,-0.036
'[14:07:05.336 26/10/1995]',-0.068,0.063,0.028,59.699,26.875,-0.207,-0.029
'[14:07:05.338 26/10/1995]',-0.073,0.063,0.028,59.699,26.875,-0.207,-0.029
'[14:07:05.340 26/10/1995]',-0.078,0.063,0.037,59.699,26.875,-0.207,-0.029
'[14:07:05.342 26/10/1995]',-0.084,0.035,0.046,59.699,26.875,-0.207,-0.029
'[14:07:05.344 26/10/1995]',-0.086,0.028,0.056,59.248,26.825,-0.217,-0.021
'[14:07:05.346 26/10/1995]',-0.089,0.035,0.065,59.248,26.825,-0.217,-0.021
'[14:07:05.348 26/10/1995]',-0.081,0.049,0.083,59.248,26.825,-0.217,-0.021
'[14:07:05.350 26/10/1995]',-0.073,0.077,0.083,59.248,26.825,-0.217,-0.021
'[14:07:05.352 26/10/1995]',-0.044,0.090,0.083,58.947,26.825,-0.228,-0.013
'[14:07:05.354 26/10/1995]',-0.016,0.097,0.074,58.947,26.825,-0.228,-0.013
'[14:07:05.356 26/10/1995]',0.035,0.083,0.065,58.947,26.825,-0.228,-0.013
'[14:07:05.358 26/10/1995]',0.087,0.049,0.065,58.947,26.825,-0.228,-0.013
'[14:07:05.360 26/10/1995]',0.158,0.014,0.065,58.647,26.875,-0.236,-0.006
'[14:07:05.362 26/10/1995]',0.229,-0.034,0.046,58.647,26.875,-0.236,-0.006
'[14:07:05.364 26/10/1995]',0.300,-0.089,0.001,58.647,26.875,-0.236,-0.006
'[14:07:05.366 26/10/1995]',0.371,-0.138,-0.045,58.647,26.875,-0.236,-0.006
'[14:07:05.368 26/10/1995]',0.419,-0.186,-0.128,58.421,26.925,-0.247,-0.001
'[14:07:05.370 26/10/1995]',0.467,-0.214,-0.229,58.421,26.925,-0.247,-0.001
'[14:07:05.372 26/10/1995]',0.475,-0.262,-0.321,58.421,26.925,-0.247,-0.001
'[14:07:05.374 26/10/1995]',0.483,-0.296,-0.394,58.421,26.925,-0.247,-0.001
'[14:07:05.376 26/10/1995]',0.448,-0.324,-0.440,58.195,26.875,-0.254,0.004
'[14:07:05.378 26/10/1995]',0.412,-0.324,-0.477,58.195,26.875,-0.254,0.004
'[14:07:05.380 26/10/1995]',0.347,-0.290,-0.486,58.195,26.875,-0.254,0.004
'[14:07:05.382 26/10/1995]',0.282,-0.234,-0.486,58.195,26.875,-0.254,0.004
'[14:07:05.384 26/10/1995]',0.210,-0.165,-0.495,57.970,26.650,-0.260,0.009
'[14:07:05.386 26/10/1995]',0.137,-0.096,-0.504,57.970,26.650,-0.260,0.009
'[14:07:05.388 26/10/1995]',0.078,-0.041,-0.514,57.970,26.650,-0.260,0.009
'[14:07:05.390 26/10/1995]',0.019,0.007,-0.504,57.970,26.650,-0.260,0.009
'[14:07:05.392 26/10/1995]',-0.019,0.042,-0.495,57.744,26.225,-0.270,0.013
'[14:07:05.394 26/10/1995]',-0.057,0.063,-0.477,57.744,26.225,-0.270,0.013
'[14:07:05.396 26/10/1995]',-0.076,0.077,-0.477,57.744,26.225,-0.270,0.013
'[14:07:05.398 26/10/1995]',-0.094,0.090,-0.458,57.744,26.225,-0.270,0.013
'[14:07:05.400 26/10/1995]',-0.100,0.104,-0.449,57.519,25.825,-0.277,0.018
'[14:07:05.402 26/10/1995]',-0.106,0.104,-0.422,57.519,25.825,-0.277,0.018
'[14:07:05.404 26/10/1995]',-0.106,0.111,-0.385,57.519,25.825,-0.277,0.018
'[14:07:05.406 26/10/1995]',-0.105,0.111,-0.330,57.519,25.825,-0.277,0.018
'[14:07:05.408 26/10/1995]',-0.104,0.097,-0.265,57.293,25.575,-0.285,0.022
'[14:07:05.410 26/10/1995]',-0.102,0.083,-0.211,57.293,25.575,-0.285,0.022
'[14:07:05.412 26/10/1995]',-0.100,0.077,-0.155,57.293,25.575,-0.285,0.022
'[14:07:05.414 26/10/1995]',-0.098,0.070,-0.119,57.293,25.575,-0.285,0.022
'[14:07:05.416 26/10/1995]',-0.097,0.070,-0.073,57.068,25.475,-0.301,0.026
'[14:07:05.418 26/10/1995]',-0.097,0.077,-0.036,57.068,25.475,-0.301,0.026
'[14:07:05.420 26/10/1995]',-0.097,0.083,0.001,57.068,25.475,-0.301,0.026
'[14:07:05.422 26/10/1995]',-0.097,0.083,0.010,57.068,25.475,-0.301,0.026
'[14:07:05.424 26/10/1995]',-0.099,0.077,0.046,56.767,25.475,-0.310,0.031
'[14:07:05.426 26/10/1995]',-0.100,0.063,0.065,56.767,25.475,-0.310,0.031
'[14:07:05.428 26/10/1995]',-0.101,0.042,0.074,56.767,25.475,-0.310,0.031
'[14:07:05.430 26/10/1995]',-0.102,0.042,0.074,56.767,25.475,-0.310,0.031
'[14:07:05.432 26/10/1995]',-0.102,0.049,0.083,56.541,25.750,-0.315,0.036
'[14:07:05.434 26/10/1995]',-0.102,0.070,0.083,56.541,25.750,-0.315,0.036
'[14:07:05.436 26/10/1995]',-0.102,0.077,0.093,56.541,25.750,-0.315,0.036
'[14:07:05.438 26/10/1995]',-0.101,0.083,0.093,56.541,25.750,-0.315,0.036
'[14:07:05.440 26/10/1995]',-0.100,0.077,0.102,56.241,26.100,-0.322,0.041
'[14:07:05.442 26/10/1995]',-0.099,0.063,0.102,56.241,26.100,-0.322,0.041
'[14:07:05.444 26/10/1995]',-0.098,0.049,0.102,56.241,26.100,-0.322,0.041
'[14:07:05.446 26/10/1995]',-0.097,0.042,0.102,56.241,26.100,-0.322,0.041
'[14:07:05.448 26/10/1995]',-0.095,0.042,0.102,56.015,26.450,-0.329,0.045
'[14:07:05.450 26/10/1995]',-0.093,0.063,0.093,56.015,26.450,-0.329,0.045
'[14:07:05.452 26/10/1995]',-0.091,0.070,0.093,56.015,26.450,-0.329,0.045
'[14:07:05.454 26/10/1995]',-0.089,0.077,0.093,56.015,26.450,-0.329,0.045
'[14:07:05.456 26/10/1995]',-0.087,0.070,0.093,55.865,26.700,-0.333,0.049
'[14:07:05.458 26/10/1995]',-0.084,0.063,0.102,55.865,26.700,-0.333,0.049
'[14:07:05.460 26/10/1995]',-0.081,0.042,0.102,55.865,26.700,-0.333,0.049
'[14:07:05.462 26/10/1995]',-0.077,0.035,0.093,55.865,26.700,-0.333,0.049
'[14:07:05.464 26/10/1995]',-0.074,0.035,0.093,55.639,26.875,-0.338,0.052
'[14:07:05.466 26/10/1995]',-0.070,0.042,0.093,55.639,26.875,-0.338,0.052
'[14:07:05.468 26/10/1995]',-0.067,0.063,0.083,55.639,26.875,-0.338,0.052
'[14:07:05.470 26/10/1995]',-0.064,0.077,0.083,55.639,26.875,-0.338,0.052
'[14:07:05.472 26/10/1995]',-0.061,0.077,0.083,55.414,27.400,-0.344,0.054
'[14:07:05.474 26/10/1995]',-0.057,0.063,0.093,55.414,27.400,-0.344,0.054
'[14:07:05.476 26/10/1995]',-0.055,0.035,0.093,55.414,27.400,-0.344,0.054
'[14:07:05.478 26/10/1995]',-0.052,0.028,0.093,55.414,27.400,-0.344,0.054
'[14:07:05.480 26/10/1995]',-0.051,0.021,0.083,55.188,28.450,-0.349,0.057
'[14:07:05.482 26/10/1995]',-0.049,0.035,0.074,55.188,28.450,-0.349,0.057
'[14:07:05.484 26/10/1995]',-0.048,0.042,0.074,55.188,28.450,-0.349,0.057
'[14:07:05.486 26/10/1995]',-0.047,0.049,0.065,55.188,28.450,-0.349,0.057
'[14:07:05.488 26/10/1995]',-0.047,0.063,0.074,54.962,29.975,-0.351,0.059
'[14:07:05.490 26/10/1995]',-0.046,0.049,0.074,54.962,29.975,-0.351,0.059
'[14:07:05.492 26/10/1995]',-0.045,0.028,0.083,54.962,29.975,-0.351,0.059
'[14:07:05.494 26/10/1995]',-0.044,0.021,0.074,54.962,29.975,-0.351,0.059
'[14:07:05.496 26/10/1995]',-0.042,0.014,0.074,54.812,31.900,-0.358,0.060
'[14:07:05.498 26/10/1995]',-0.040,0.021,0.065,54.812,31.900,-0.358,0.060
'[14:07:05.500 26/10/1995]',-0.038,0.035,0.065,54.812,31.900,-0.358,0.060
'[14:07:05.502 26/10/1995]',-0.035,0.035,0.065,54.812,31.900,-0.358,0.060
'[14:07:05.504 26/10/1995]',-0.032,0.042,0.065,54.662,33.950,-0.360,0.062
'[14:07:05.506 26/10/1995]',-0.029,0.042,0.065,54.662,33.950,-0.360,0.062
'[14:07:05.508 26/10/1995]',-0.025,0.028,0.065,54.662,33.950,-0.360,0.062
'[14:07:05.510 26/10/1995]',-0.022,0.007,0.065,54.662,33.950,-0.360,0.062
'[14:07:05.512 26/10/1995]',-0.018,0.007,0.065,54.511,36.125,-0.363,0.064
'[14:07:05.514 26/10/1995]',-0.013,0.001,0.056,54.511,36.125,-0.363,0.064
'[14:07:05.516 26/10/1995]',-0.009,0.014,0.056,54.511,36.125,-0.363,0.064
'[14:07:05.518 26/10/1995]',-0.005,0.021,0.046,54.511,36.125,-0.363,0.064
'[14:07:05.520 26/10/1995]',-0.002,0.035,0.037,54.361,38.300,-0.367,0.066
'[14:07:05.522 26/10/1995]',0.001,0.028,0.046,54.361,38.300,-0.367,0.066
'[14:07:05.524 26/10/1995]',0.004,0.014,0.046,54.361,38.300,-0.367,0.066
'[14:07:05.526 26/10/1995]',0.007,0.001,0.046,54.361,38.300,-0.367,0.066
'[14:07:05.528 26/10/1995]',0.009,-0.006,0.046,54.361,40.400,-0.367,0.068
'[14:07:05.530 26/10/1995]',0.012,-0.013,0.037,54.361,40.400,-0.367,0.068
'[14:07:05.532 26/10/1995]',0.014,-0.006,0.028,54.361,40.400,-0.367,0.068
'[14:07:05.534 26/10/1995]',0.016,0.001,0.028,54.361,40.400,-0.367,0.068
'[14:07:05.536 26/10/1995]',0.020,0.014,0.028,54.662,42.450,-0.372,0.070
'[14:07:05.538 26/10/1995]',0.023,0.021,0.019,54.662,42.450,-0.372,0.070
'[14:07:05.540 26/10/1995]',0.027,0.007,0.028,54.662,42.450,-0.372,0.070
'[14:07:05.542 26/10/1995]',0.031,-0.013,0.028,54.662,42.450,-0.372,0.070
'[14:07:05.544 26/10/1995]',0.035,-0.020,0.028,55.414,44.500,-0.374,0.072
'[14:07:05.546 26/10/1995]',0.039,-0.027,0.010,55.414,44.500,-0.374,0.072
'[14:07:05.548 26/10/1995]',0.044,-0.027,0.010,55.414,44.500,-0.374,0.072
'[14:07:05.550 26/10/1995]',0.049,-0.020,0.001,55.414,44.500,-0.374,0.072
'[14:07:05.552 26/10/1995]',0.054,-0.013,0.001,57.068,46.625,-0.372,0.075
'[14:07:05.554 26/10/1995]',0.060,-0.006,0.001,57.068,46.625,-0.372,0.075
'[14:07:05.556 26/10/1995]',0.066,-0.013,0.001,57.068,46.625,-0.372,0.075
'[14:07:05.558 26/10/1995]',0.073,-0.034,0.001,57.068,46.625,-0.372,0.075
'[14:07:05.560 26/10/1995]',0.079,-0.041,0.001,60.000,48.900,-0.372,0.080
'[14:07:05.562 26/10/1995]',0.085,-0.048,-0.008,60.000,48.900,-0.372,0.080
'[14:07:05.564 26/10/1995]',0.091,-0.048,-0.018,60.000,48.900,-0.372,0.080
'[14:07:05.566 26/10/1995]',0.097,-0.041,-0.027,60.000,48.900,-0.372,0.080
'[14:07:05.568 26/10/1995]',0.101,-0.041,-0.027,63.985,51.075,-0.369,0.084
'[14:07:05.570 26/10/1995]',0.106,-0.034,-0.036,63.985,51.075,-0.369,0.084
'[14:07:05.572 26/10/1995]',0.110,-0.027,-0.036,63.985,51.075,-0.369,0.084
