'Time and date','MCL1','II','V','ABP','PAP','PLETH','RESP'
'[07:16:05.082 22/11/1995]',0.074,0.060,0.058,122.200,41.221,-0.400,-0.779
'[07:16:05.084 22/11/1995]',0.075,0.059,0.068,122.200,41.221,-0.400,-0.779
'[07:16:05.086 22/11/1995]',0.075,0.057,0.077,122.200,41.221,-0.400,-0.779
'[07:16:05.088 22/11/1995]',0.075,0.057,0.087,126.700,42.952,-0.361,-0.780
'[07:16:05.090 22/11/1995]',0.075,0.057,0.087,126.700,42.952,-0.361,-0.780
'[07:16:05.092 22/11/1995]',0.075,0.057,0.077,126.700,42.952,-0.361,-0.780
'[07:16:05.094 22/11/1995]',0.075,0.057,0.068,126.700,42.952,-0.361,-0.780
'[07:16:05.096 22/11/1995]',0.075,0.059,0.058,129.800,44.733,-0.316,-0.780
'[07:16:05.098 22/11/1995]',0.075,0.060,0.058,129.800,44.733,-0.316,-0.780
'[07:16:05.100 22/11/1995]',0.075,0.063,0.068,129.800,44.733,-0.316,-0.780
'[07:16:05.102 22/11/1995]',0.075,0.067,0.068,129.800,44.733,-0.316,-0.780
'[07:16:05.104 22/11/1995]',0.075,0.068,0.077,131.400,46.463,-0.262,-0.780
'[07:16:05.106 22/11/1995]',0.074,0.070,0.087,131.400,46.463,-0.262,-0.780
'[07:16:05.108 22/11/1995]',0.073,0.071,0.077,131.400,46.463,-0.262,-0.780
'[07:16:05.110 22/11/1995]',0.072,0.073,0.068,131.400,46.463,-0.262,-0.780
'[07:16:05.112 22/11/1995]',0.070,0.076,0.049,131.800,48.092,-0.199,-0.779
'[07:16:05.114 22/11/1995]',0.069,0.079,0.049,131.800,48.092,-0.199,-0.779
'[07:16:05.116 22/11/1995]',0.068,0.081,0.049,131.800,48.092,-0.199,-0.779
'[07:16:05.118 22/11/1995]',0.066,0.082,0.049,131.800,48.092,-0.199,-0.779
'[07:16:05.120 22/11/1995]',0.065,0.082,0.058,131.200,49.517,-0.127,-0.778
'[07:16:05.122 22/11/1995]',0.064,0.082,0.058,131.200,49.517,-0.127,-0.778
'[07:16:05.124 22/11/1995]',0.065,0.086,0.058,131.200,49.517,-0.127,-0.778
'[07:16:05.126 22/11/1995]',0.065,0.089,0.049,131.200,49.517,-0.127,-0.778
'[07:16:05.128 22/11/1995]',0.066,0.092,0.049,129.900,50.636,-0.050,-0.776
'[07:16:05.130 22/11/1995]',0.067,0.095,0.039,129.900,50.636,-0.050,-0.776
'[07:16:05.132 22/11/1995]',0.069,0.098,0.039,129.900,50.636,-0.050,-0.776
'[07:16:05.134 22/11/1995]',0.071,0.101,0.049,129.900,50.636,-0.050,-0.776
'[07:16:05.136 22/11/1995]',0.073,0.103,0.049,128.100,51.476,0.032,-0.774
'[07:16:05.138 22/11/1995]',0.075,0.105,0.058,128.100,51.476,0.032,-0.774
'[07:16:05.140 22/11/1995]',0.076,0.103,0.058,128.100,51.476,0.032,-0.774
'[07:16:05.142 22/11/1995]',0.078,0.101,0.058,128.100,51.476,0.032,-0.774
'[07:16:05.144 22/11/1995]',0.077,0.097,0.049,126.200,52.010,0.111,-0.772
'[07:16:05.146 22/11/1995]',0.077,0.092,0.049,126.200,52.010,0.111,-0.772
'[07:16:05.148 22/11/1995]',0.075,0.090,0.049,126.200,52.010,0.111,-0.772
'[07:16:05.150 22/11/1995]',0.074,0.089,0.049,126.200,52.010,0.111,-0.772
'[07:16:05.152 22/11/1995]',0.071,0.086,0.049,124.200,52.316,0.185,-0.770
'[07:16:05.154 22/11/1995]',0.069,0.082,0.058,124.200,52.316,0.185,-0.770
'[07:16:05.156 22/11/1995]',0.068,0.081,0.058,124.200,52.316,0.185,-0.770
'[07:16:05.158 22/11/1995]',0.066,0.079,0.058,124.200,52.316,0.185,-0.770
'[07:16:05.160 22/11/1995]',0.065,0.079,0.049,122.300,52.366,0.255,-0.767
'[07:16:05.162 22/11/1995]',0.064,0.079,0.049,122.300,52.366,0.255,-0.767
'[07:16:05.164 22/11/1995]',0.064,0.078,0.039,122.300,52.366,0.255,-0.767
'[07:16:05.166 22/11/1995]',0.063,0.076,0.039,122.300,52.366,0.255,-0.767
'[07:16:05.168 22/11/1995]',0.061,0.073,0.049,120.500,52.188,0.318,-0.763
'[07:16:05.170 22/11/1995]',0.059,0.070,0.049,120.500,52.188,0.318,-0.763
'[07:16:05.172 22/11/1995]',0.055,0.068,0.049,120.500,52.188,0.318,-0.763
'[07:16:05.174 22/11/1995]',0.052,0.067,0.049,120.500,52.188,0.318,-0.763
'[07:16:05.176 22/11/1995]',0.048,0.063,0.049,118.900,51.781,0.374,-0.759
'[07:16:05.178 22/11/1995]',0.045,0.060,0.029,118.900,51.781,0.374,-0.759
'[07:16:05.180 22/11/1995]',0.041,0.055,0.029,118.900,51.781,0.374,-0.759
'[07:16:05.182 22/11/1995]',0.038,0.051,0.010,118.900,51.781,0.374,-0.759
'[07:16:05.184 22/11/1995]',0.036,0.049,0.029,117.500,51.247,0.422,-0.755
'[07:16:05.186 22/11/1995]',0.034,0.048,0.020,117.500,51.247,0.422,-0.755
'[07:16:05.188 22/11/1995]',0.032,0.046,0.039,117.500,51.247,0.422,-0.755
'[07:16:05.190 22/11/1995]',0.030,0.044,0.049,117.500,51.247,0.422,-0.755
'[07:16:05.192 22/11/1995]',0.029,0.043,0.039,116.400,50.534,0.458,-0.750
'[07:16:05.194 22/11/1995]',0.027,0.041,0.039,116.400,50.534,0.458,-0.750
'[07:16:05.196 22/11/1995]',0.025,0.038,0.029,116.400,50.534,0.458,-0.750
'[07:16:05.198 22/11/1995]',0.023,0.035,0.020,116.400,50.534,0.458,-0.750
'[07:16:05.200 22/11/1995]',0.021,0.033,0.020,115.400,49.618,0.485,-0.743
'[07:16:05.202 22/11/1995]',0.019,0.032,0.029,115.400,49.618,0.485,-0.743
'[07:16:05.204 22/11/1995]',0.017,0.033,0.039,115.400,49.618,0.485,-0.743
'[07:16:05.206 22/11/1995]',0.015,0.035,0.039,115.400,49.618,0.485,-0.743
'[07:16:05.208 22/11/1995]',0.012,0.033,0.039,114.400,48.550,0.505,-0.736
'[07:16:05.210 22/11/1995]',0.010,0.032,0.020,114.400,48.550,0.505,-0.736
'[07:16:05.212 22/11/1995]',0.008,0.027,0.010,114.400,48.550,0.505,-0.736
'[07:16:05.214 22/11/1995]',0.006,0.022,0.001,114.400,48.550,0.505,-0.736
'[07:16:05.216 22/11/1995]',0.005,0.014,0.001,113.600,47.354,0.519,-0.728
'[07:16:05.218 22/11/1995]',0.004,0.006,0.001,113.600,47.354,0.519,-0.728
'[07:16:05.220 22/11/1995]',0.003,0.002,0.010,113.600,47.354,0.519,-0.728
'[07:16:05.222 22/11/1995]',0.001,-0.003,0.020,113.600,47.354,0.519,-0.728
'[07:16:05.224 22/11/1995]',0.000,-0.008,0.020,112.600,46.005,0.528,-0.721
'[07:16:05.226 22/11/1995]',-0.001,-0.013,0.010,112.600,46.005,0.528,-0.721
'[07:16:05.228 22/11/1995]',-0.002,-0.011,0.001,112.600,46.005,0.528,-0.721
'[07:16:05.230 22/11/1995]',-0.003,-0.010,0.001,112.600,46.005,0.528,-0.721
'[07:16:05.232 22/11/1995]',-0.003,-0.006,0.001,111.300,44.504,0.528,-0.714
'[07:16:05.234 22/11/1995]',-0.003,-0.003,0.001,111.300,44.504,0.528,-0.714
'[07:16:05.236 22/11/1995]',-0.003,-0.002,0.001,111.300,44.504,0.528,-0.714
'[07:16:05.238 22/11/1995]',-0.003,0.000,0.010,111.300,44.504,0.528,-0.714
'[07:16:05.240 22/11/1995]',-0.002,0.000,0.010,109.800,42.952,0.521,-0.709
'[07:16:05.242 22/11/1995]',-0.002,0.000,0.001,109.800,42.952,0.521,-0.709
'[07:16:05.244 22/11/1995]',-0.001,0.000,0.001,109.800,42.952,0.521,-0.709
'[07:16:05.246 22/11/1995]',-0.001,0.000,0.001,109.800,42.952,0.521,-0.709
'[07:16:05.248 22/11/1995]',-0.000,0.000,0.001,107.800,41.450,0.515,-0.704
'[07:16:05.250 22/11/1995]',0.000,0.000,0.001,107.800,41.450,0.515,-0.704
'[07:16:05.252 22/11/1995]',0.000,0.002,0.001,107.800,41.450,0.515,-0.704
'[07:16:05.254 22/11/1995]',0.000,0.003,0.010,107.800,41.450,0.515,-0.704
'[07:16:05.256 22/11/1995]',0.000,0.008,0.010,105.400,39.975,0.503,-0.700
'[07:16:05.258 22/11/1995]',0.000,0.013,0.001,105.400,39.975,0.503,-0.700
'[07:16:05.260 22/11/1995]',0.000,0.016,0.001,105.400,39.975,0.503,-0.700
'[07:16:05.262 22/11/1995]',0.000,0.019,0.001,105.400,39.975,0.503,-0.700
'[07:16:05.264 22/11/1995]',0.000,0.022,0.001,102.400,38.601,0.488,-0.696
'[07:16:05.266 22/11/1995]',0.000,0.025,0.001,102.400,38.601,0.488,-0.696
'[07:16:05.268 22/11/1995]',0.001,0.024,0.001,102.400,38.601,0.488,-0.696
'[07:16:05.270 22/11/1995]',0.001,0.022,0.001,102.400,38.601,0.488,-0.696
'[07:16:05.272 22/11/1995]',0.003,0.022,0.001,99.300,37.354,0.472,-0.691
'[07:16:05.274 22/11/1995]',0.004,0.022,0.001,99.300,37.354,0.472,-0.691
'[07:16:05.276 22/11/1995]',0.005,0.022,0.001,99.300,37.354,0.472,-0.691
'[07:16:05.278 22/11/1995]',0.006,0.022,0.001,99.300,37.354,0.472,-0.691
'[07:16:05.280 22/11/1995]',0.007,0.022,0.001,96.200,36.260,0.454,-0.685
'[07:16:05.282 22/11/1995]',0.007,0.022,0.001,96.200,36.260,0.454,-0.685
'[07:16:05.284 22/11/1995]',0.007,0.022,0.001,96.200,36.260,0.454,-0.685
'[07:16:05.286 22/11/1995]',0.008,0.022,0.001,96.200,36.260,0.454,-0.685
'[07:16:05.288 22/11/1995]',0.008,0.022,0.010,93.400,35.318,0.431,-0.681
'[07:16:05.290 22/11/1995]',0.008,0.022,0.010,93.400,35.318,0.431,-0.681
'[07:16:05.292 22/11/1995]',0.008,0.024,0.001,93.400,35.318,0.431,-0.681
'[07:16:05.294 22/11/1995]',0.008,0.025,0.001,93.400,35.318,0.431,-0.681
'[07:16:05.296 22/11/1995]',0.007,0.029,0.001,91.200,34.427,0.402,-0.677
'[07:16:05.298 22/11/1995]',0.007,0.032,0.001,91.200,34.427,0.402,-0.677
'[07:16:05.300 22/11/1995]',0.006,0.033,0.001,91.200,34.427,0.402,-0.677
'[07:16:05.302 22/11/1995]',0.005,0.035,0.001,91.200,34.427,0.402,-0.677
'[07:16:05.304 22/11/1995]',0.004,0.033,0.010,89.500,33.639,0.375,-0.674
'[07:16:05.306 22/11/1995]',0.002,0.032,0.010,89.500,33.639,0.375,-0.674
'[07:16:05.308 22/11/1995]',0.002,0.029,0.001,89.500,33.639,0.375,-0.674
'[07:16:05.310 22/11/1995]',0.003,0.025,0.001,89.500,33.639,0.375,-0.674
'[07:16:05.312 22/11/1995]',0.004,0.021,0.001,88.400,32.875,0.344,-0.671
'[07:16:05.314 22/11/1995]',0.005,0.016,-0.009,88.400,32.875,0.344,-0.671
'[07:16:05.316 22/11/1995]',0.007,0.014,0.001,88.400,32.875,0.344,-0.671
'[07:16:05.318 22/11/1995]',0.008,0.013,0.001,88.400,32.875,0.344,-0.671
'[07:16:05.320 22/11/1995]',0.009,0.011,0.001,87.700,32.214,0.302,-0.669
'[07:16:05.322 22/11/1995]',0.010,0.010,0.010,87.700,32.214,0.302,-0.669
'[07:16:05.324 22/11/1995]',0.010,0.008,0.020,87.700,32.214,0.302,-0.669
'[07:16:05.326 22/11/1995]',0.010,0.006,0.010,87.700,32.214,0.302,-0.669
'[07:16:05.328 22/11/1995]',0.008,0.005,0.001,87.700,31.730,0.265,-0.667
'[07:16:05.330 22/11/1995]',0.007,0.003,0.001,87.700,31.730,0.265,-0.667
'[07:16:05.332 22/11/1995]',0.006,0.005,0.001,87.700,31.730,0.265,-0.667
'[07:16:05.334 22/11/1995]',0.005,0.006,0.001,87.700,31.730,0.265,-0.667
'[07:16:05.336 22/11/1995]',0.005,0.008,0.001,87.900,31.730,0.222,-0.665
'[07:16:05.338 22/11/1995]',0.004,0.010,0.001,87.900,31.730,0.222,-0.665
'[07:16:05.340 22/11/1995]',0.005,0.010,0.010,87.900,31.730,0.222,-0.665
'[07:16:05.342 22/11/1995]',0.005,0.010,0.001,87.900,31.730,0.222,-0.665
'[07:16:05.344 22/11/1995]',0.005,0.008,0.010,88.500,32.163,0.174,-0.663
'[07:16:05.346 22/11/1995]',0.005,0.006,0.001,88.500,32.163,0.174,-0.663
'[07:16:05.348 22/11/1995]',0.005,0.005,0.001,88.500,32.163,0.174,-0.663
'[07:16:05.350 22/11/1995]',0.004,0.003,0.001,88.500,32.163,0.174,-0.663
'[07:16:05.352 22/11/1995]',0.003,0.005,0.001,89.200,33.003,0.131,-0.661
'[07:16:05.354 22/11/1995]',0.002,0.006,0.010,89.200,33.003,0.131,-0.661
'[07:16:05.356 22/11/1995]',0.001,0.008,0.010,89.200,33.003,0.131,-0.661
'[07:16:05.358 22/11/1995]',-0.001,0.010,0.010,89.200,33.003,0.131,-0.661
'[07:16:05.360 22/11/1995]',-0.002,0.010,0.001,89.900,33.944,0.084,-0.658
'[07:16:05.362 22/11/1995]',-0.004,0.010,0.001,89.900,33.944,0.084,-0.658
'[07:16:05.364 22/11/1995]',-0.006,0.010,0.001,89.900,33.944,0.084,-0.658
'[07:16:05.366 22/11/1995]',-0.008,0.010,0.001,89.900,33.944,0.084,-0.658
'[07:16:05.368 22/11/1995]',-0.009,0.008,0.001,90.600,34.962,0.038,-0.654
'[07:16:05.370 22/11/1995]',-0.011,0.006,0.001,90.600,34.962,0.038,-0.654
'[07:16:05.372 22/11/1995]',-0.011,0.002,0.001,90.600,34.962,0.038,-0.654
'[07:16:05.374 22/11/1995]',-0.011,-0.003,0.001,90.600,34.962,0.038,-0.654
'[07:16:05.376 22/11/1995]',-0.011,-0.008,0.001,91.200,35.802,-0.004,-0.650
'[07:16:05.378 22/11/1995]',-0.010,-0.013,0.001,91.200,35.802,-0.004,-0.650
'[07:16:05.380 22/11/1995]',-0.009,-0.013,-0.009,91.200,35.802,-0.004,-0.650
'[07:16:05.382 22/11/1995]',-0.008,-0.013,0.001,91.200,35.802,-0.004,-0.650
'[07:16:05.384 22/11/1995]',-0.008,-0.013,0.001,91.700,36.336,-0.043,-0.647
'[07:16:05.386 22/11/1995]',-0.008,-0.013,0.001,91.700,36.336,-0.043,-0.647
'[07:16:05.388 22/11/1995]',-0.008,-0.013,0.010,91.700,36.336,-0.043,-0.647
'[07:16:05.390 22/11/1995]',-0.008,-0.013,0.010,91.700,36.336,-0.043,-0.647
'[07:16:05.392 22/11/1995]',-0.009,-0.013,0.001,92.100,36.565,-0.076,-0.644
'[07:16:05.394 22/11/1995]',-0.010,-0.013,0.001,92.100,36.565,-0.076,-0.644
'[07:16:05.396 22/11/1995]',-0.009,-0.011,-0.009,92.100,36.565,-0.076,-0.644
'[07:16:05.398 22/11/1995]',-0.008,-0.010,-0.009,92.100,36.565,-0.076,-0.644
'[07:16:05.400 22/11/1995]',-0.008,-0.006,0.001,92.200,36.463,-0.111,-0.642
'[07:16:05.402 22/11/1995]',-0.007,-0.003,0.001,92.200,36.463,-0.111,-0.642
'[07:16:05.404 22/11/1995]',-0.006,0.000,0.001,92.200,36.463,-0.111,-0.642
'[07:16:05.406 22/11/1995]',-0.006,0.003,0.001,92.200,36.463,-0.111,-0.642
'[07:16:05.408 22/11/1995]',-0.006,0.006,0.001,92.200,36.081,-0.136,-0.640
'[07:16:05.410 22/11/1995]',-0.006,0.010,0.001,92.200,36.081,-0.136,-0.640
'[07:16:05.412 22/11/1995]',-0.007,0.010,0.001,92.200,36.081,-0.136,-0.640
'[07:16:05.414 22/11/1995]',-0.008,0.010,0.001,92.200,36.081,-0.136,-0.640
'[07:16:05.416 22/11/1995]',-0.009,0.008,0.001,91.900,35.496,-0.163,-0.639
'[07:16:05.418 22/11/1995]',-0.010,0.006,0.001,91.900,35.496,-0.163,-0.639
'[07:16:05.420 22/11/1995]',-0.010,0.003,0.001,91.900,35.496,-0.163,-0.639
'[07:16:05.422 22/11/1995]',-0.011,0.000,0.001,91.900,35.496,-0.163,-0.639
'[07:16:05.424 22/11/1995]',-0.009,-0.002,0.001,91.600,34.733,-0.180,-0.637
'[07:16:05.426 22/11/1995]',-0.008,-0.003,0.001,91.600,34.733,-0.180,-0.637
'[07:16:05.428 22/11/1995]',-0.006,-0.002,0.001,91.600,34.733,-0.180,-0.637
'[07:16:05.430 22/11/1995]',-0.004,0.000,0.001,91.600,34.733,-0.180,-0.637
'[07:16:05.432 22/11/1995]',-0.002,0.000,0.001,91.100,33.893,-0.201,-0.634
'[07:16:05.434 22/11/1995]',-0.001,0.000,0.001,91.100,33.893,-0.201,-0.634
'[07:16:05.436 22/11/1995]',-0.000,0.002,0.001,91.100,33.893,-0.201,-0.634
'[07:16:05.438 22/11/1995]',0.000,0.003,0.010,91.100,33.893,-0.201,-0.634
'[07:16:05.440 22/11/1995]',-0.001,0.006,0.020,90.500,33.053,-0.216,-0.631
'[07:16:05.442 22/11/1995]',-0.001,0.010,0.001,90.500,33.053,-0.216,-0.631
'[07:16:05.444 22/11/1995]',-0.003,0.010,0.001,90.500,33.053,-0.216,-0.631
'[07:16:05.446 22/11/1995]',-0.004,0.010,0.001,90.500,33.053,-0.216,-0.631
'[07:16:05.448 22/11/1995]',-0.005,0.010,-0.009,89.800,32.265,-0.228,-0.629
'[07:16:05.450 22/11/1995]',-0.006,0.010,0.001,89.800,32.265,-0.228,-0.629
'[07:16:05.452 22/11/1995]',-0.007,0.010,0.001,89.800,32.265,-0.228,-0.629
'[07:16:05.454 22/11/1995]',-0.008,0.010,0.001,89.800,32.265,-0.228,-0.629
'[07:16:05.456 22/11/1995]',-0.008,0.010,0.001,89.000,31.501,-0.239,-0.627
'[07:16:05.458 22/11/1995]',-0.008,0.010,0.001,89.000,31.501,-0.239,-0.627
'[07:16:05.460 22/11/1995]',-0.008,0.010,0.001,89.000,31.501,-0.239,-0.627
'[07:16:05.462 22/11/1995]',-0.008,0.010,0.001,89.000,31.501,-0.239,-0.627
'[07:16:05.464 22/11/1995]',-0.007,0.010,0.001,88.100,30.840,-0.251,-0.627
'[07:16:05.466 22/11/1995]',-0.007,0.010,0.001,88.100,30.840,-0.251,-0.627
'[07:16:05.468 22/11/1995]',-0.006,0.010,0.001,88.100,30.840,-0.251,-0.627
'[07:16:05.470 22/11/1995]',-0.006,0.010,0.001,88.100,30.840,-0.251,-0.627
'[07:16:05.472 22/11/1995]',-0.005,0.010,0.001,87.200,30.254,-0.258,-0.628
'[07:16:05.474 22/11/1995]',-0.005,0.010,0.001,87.200,30.254,-0.258,-0.628
'[07:16:05.476 22/11/1995]',-0.005,0.010,0.001,87.200,30.254,-0.258,-0.628
'[07:16:05.478 22/11/1995]',-0.005,0.010,0.001,87.200,30.254,-0.258,-0.628
'[07:16:05.480 22/11/1995]',-0.005,0.008,0.001,86.300,29.720,-0.269,-0.629
'[07:16:05.482 22/11/1995]',-0.006,0.006,0.001,86.300,29.720,-0.269,-0.629
'[07:16:05.484 22/11/1995]',-0.006,0.003,0.001,86.300,29.720,-0.269,-0.629
'[07:16:05.486 22/11/1995]',-0.006,0.000,0.001,86.300,29.720,-0.269,-0.629
'[07:16:05.488 22/11/1995]',-0.005,-0.002,0.001,85.400,29.288,-0.278,-0.630
'[07:16:05.490 22/11/1995]',-0.005,-0.003,0.001,85.400,29.288,-0.278,-0.630
'[07:16:05.492 22/11/1995]',-0.005,-0.002,0.001,85.400,29.288,-0.278,-0.630
'[07:16:05.494 22/11/1995]',-0.005,0.000,0.001,85.400,29.288,-0.278,-0.630
'[07:16:05.496 22/11/1995]',-0.005,0.000,0.001,84.600,29.008,-0.286,-0.630
'[07:16:05.498 22/11/1995]',-0.006,0.000,-0.009,84.600,29.008,-0.286,-0.630
'[07:16:05.500 22/11/1995]',-0.006,0.000,0.001,84.600,29.008,-0.286,-0.630
'[07:16:05.502 22/11/1995]',-0.006,0.000,0.001,84.600,29.008,-0.286,-0.630
'[07:16:05.504 22/11/1995]',-0.005,0.002,0.001,83.700,28.753,-0.295,-0.630
'[07:16:05.506 22/11/1995]',-0.004,0.003,0.001,83.700,28.753,-0.295,-0.630
'[07:16:05.508 22/11/1995]',-0.003,0.005,0.001,83.700,28.753,-0.295,-0.630
'[07:16:05.510 22/11/1995]',-0.002,0.006,0.001,83.700,28.753,-0.295,-0.630
'[07:16:05.512 22/11/1995]',-0.001,0.005,0.001,82.900,28.626,-0.304,-0.630
'[07:16:05.514 22/11/1995]',-0.001,0.003,0.001,82.900,28.626,-0.304,-0.630
'[07:16:05.516 22/11/1995]',-0.000,0.005,0.001,82.900,28.626,-0.304,-0.630
'[07:16:05.518 22/11/1995]',0.000,0.006,0.001,82.900,28.626,-0.304,-0.630
'[07:16:05.520 22/11/1995]',0.000,0.008,0.010,82.100,28.575,-0.314,-0.629
'[07:16:05.522 22/11/1995]',0.000,0.010,0.010,82.100,28.575,-0.314,-0.629
'[07:16:05.524 22/11/1995]',0.000,0.011,0.010,82.100,28.575,-0.314,-0.629
'[07:16:05.526 22/11/1995]',0.000,0.013,0.001,82.100,28.575,-0.314,-0.629
'[07:16:05.528 22/11/1995]',0.000,0.016,0.001,81.400,28.448,-0.328,-0.627
'[07:16:05.530 22/11/1995]',0.000,0.019,0.001,81.400,28.448,-0.328,-0.627
'[07:16:05.532 22/11/1995]',0.001,0.024,0.001,81.400,28.448,-0.328,-0.627
'[07:16:05.534 22/11/1995]',0.001,0.029,0.001,81.400,28.448,-0.328,-0.627
'[07:16:05.536 22/11/1995]',0.004,0.032,0.001,80.700,28.397,-0.339,-0.625
'[07:16:05.538 22/11/1995]',0.006,0.035,0.020,80.700,28.397,-0.339,-0.625
'[07:16:05.540 22/11/1995]',0.010,0.040,0.020,80.700,28.397,-0.339,-0.625
'[07:16:05.542 22/11/1995]',0.014,0.044,0.010,80.700,28.397,-0.339,-0.625
'[07:16:05.544 22/11/1995]',0.018,0.046,0.001,80.000,28.346,-0.350,-0.623
'[07:16:05.546 22/11/1995]',0.023,0.048,0.010,80.000,28.346,-0.350,-0.623
'[07:16:05.548 22/11/1995]',0.028,0.046,0.020,80.000,28.346,-0.350,-0.623
'[07:16:05.550 22/11/1995]',0.033,0.044,0.029,80.000,28.346,-0.350,-0.623
'[07:16:05.552 22/11/1995]',0.036,0.044,0.039,79.500,28.270,-0.359,-0.622
'[07:16:05.554 22/11/1995]',0.040,0.044,0.049,79.500,28.270,-0.359,-0.622
'[07:16:05.556 22/11/1995]',0.043,0.046,0.049,79.500,28.270,-0.359,-0.622
'[07:16:05.558 22/11/1995]',0.047,0.048,0.049,79.500,28.270,-0.359,-0.622
'[07:16:05.560 22/11/1995]',0.051,0.052,0.049,78.900,28.219,-0.372,-0.622
'[07:16:05.562 22/11/1995]',0.055,0.057,0.049,78.900,28.219,-0.372,-0.622
'[07:16:05.564 22/11/1995]',0.059,0.063,0.039,78.900,28.219,-0.372,-0.622
'[07:16:05.566 22/11/1995]',0.063,0.070,0.049,78.900,28.219,-0.372,-0.622
'[07:16:05.568 22/11/1995]',0.065,0.071,0.049,78.400,28.168,-0.384,-0.623
'[07:16:05.570 22/11/1995]',0.067,0.073,0.068,78.400,28.168,-0.384,-0.623
'[07:16:05.572 22/11/1995]',0.066,0.078,0.077,78.400,28.168,-0.384,-0.623
'[07:16:05.574 22/11/1995]',0.066,0.082,0.068,78.400,28.168,-0.384,-0.623
