'Time and date','MCL1','I','V','ABP','PAP','PLETH','RESP'
'[10:55:35.060 10/11/1995]',-0.038,0.035,-0.028,140.350,30.350,0.410,-0.542
'[10:55:35.062 10/11/1995]',-0.018,0.024,-0.021,140.350,30.350,0.410,-0.542
'[10:55:35.064 10/11/1995]',0.002,0.012,-0.021,135.150,28.825,0.487,-0.541
'[10:55:35.066 10/11/1995]',0.002,0.001,-0.014,135.150,28.825,0.487,-0.541
'[10:55:35.068 10/11/1995]',0.002,0.001,-0.007,135.150,28.825,0.487,-0.541
'[10:55:35.070 10/11/1995]',0.002,0.001,0.001,135.150,28.825,0.487,-0.541
'[10:55:35.072 10/11/1995]',0.002,-0.010,-0.007,129.450,27.250,0.547,-0.541
'[10:55:35.074 10/11/1995]',0.021,-0.010,0.001,129.450,27.250,0.547,-0.541
'[10:55:35.076 10/11/1995]',0.021,-0.010,0.001,129.450,27.250,0.547,-0.541
'[10:55:35.078 10/11/1995]',0.021,-0.022,0.001,129.450,27.250,0.547,-0.541
'[10:55:35.080 10/11/1995]',0.021,-0.033,0.008,123.550,26.075,0.593,-0.540
'[10:55:35.082 10/11/1995]',0.040,-0.033,0.008,123.550,26.075,0.593,-0.540
'[10:55:35.084 10/11/1995]',0.021,-0.033,0.008,123.550,26.075,0.593,-0.540
'[10:55:35.086 10/11/1995]',0.021,-0.033,0.008,123.550,26.075,0.593,-0.540
'[10:55:35.088 10/11/1995]',0.040,-0.033,0.008,117.550,25.675,0.622,-0.540
'[10:55:35.090 10/11/1995]',0.040,-0.033,0.008,117.550,25.675,0.622,-0.540
'[10:55:35.092 10/11/1995]',0.040,-0.033,0.015,117.550,25.675,0.622,-0.540
'[10:55:35.094 10/11/1995]',0.040,-0.033,0.015,117.550,25.675,0.622,-0.540
'[10:55:35.096 10/11/1995]',0.040,-0.033,0.015,111.650,26.200,0.637,-0.540
'[10:55:35.098 10/11/1995]',0.040,-0.033,0.015,111.650,26.200,0.637,-0.540
'[10:55:35.100 10/11/1995]',0.040,-0.033,0.015,111.650,26.200,0.637,-0.540
'[10:55:35.102 10/11/1995]',0.040,-0.033,0.015,111.650,26.200,0.637,-0.540
'[10:55:35.104 10/11/1995]',0.040,-0.033,0.008,105.750,27.725,0.634,-0.541
'[10:55:35.106 10/11/1995]',0.040,-0.033,0.015,105.750,27.725,0.634,-0.541
'[10:55:35.108 10/11/1995]',0.040,-0.033,0.008,105.750,27.725,0.634,-0.541
'[10:55:35.110 10/11/1995]',0.040,-0.033,0.015,105.750,27.725,0.634,-0.541
'[10:55:35.112 10/11/1995]',0.021,-0.033,0.015,99.900,29.950,0.622,-0.542
'[10:55:35.114 10/11/1995]',0.040,-0.033,0.015,99.900,29.950,0.622,-0.542
'[10:55:35.116 10/11/1995]',0.021,-0.033,0.008,99.900,29.950,0.622,-0.542
'[10:55:35.118 10/11/1995]',0.021,-0.033,0.015,99.900,29.950,0.622,-0.542
'[10:55:35.120 10/11/1995]',0.021,-0.033,0.015,94.150,32.450,0.599,-0.543
'[10:55:35.122 10/11/1995]',0.021,-0.033,0.015,94.150,32.450,0.599,-0.543
'[10:55:35.124 10/11/1995]',0.021,-0.033,0.015,94.150,32.450,0.599,-0.543
'[10:55:35.126 10/11/1995]',0.040,-0.033,0.015,94.150,32.450,0.599,-0.543
'[10:55:35.128 10/11/1995]',0.021,-0.033,0.015,88.700,34.625,0.564,-0.545
'[10:55:35.130 10/11/1995]',0.040,-0.022,0.022,88.700,34.625,0.564,-0.545
'[10:55:35.132 10/11/1995]',0.040,-0.022,0.022,88.700,34.625,0.564,-0.545
'[10:55:35.134 10/11/1995]',0.021,-0.022,0.022,88.700,34.625,0.564,-0.545
'[10:55:35.136 10/11/1995]',0.021,-0.010,0.015,83.750,36.150,0.519,-0.546
'[10:55:35.138 10/11/1995]',0.021,-0.022,0.022,83.750,36.150,0.519,-0.546
'[10:55:35.140 10/11/1995]',0.040,-0.022,0.015,83.750,36.150,0.519,-0.546
'[10:55:35.142 10/11/1995]',0.040,-0.022,0.008,83.750,36.150,0.519,-0.546
'[10:55:35.144 10/11/1995]',0.040,-0.022,0.015,79.550,36.800,0.468,-0.548
'[10:55:35.146 10/11/1995]',0.040,-0.022,0.015,79.550,36.800,0.468,-0.548
'[10:55:35.148 10/11/1995]',0.021,-0.010,0.008,79.550,36.800,0.468,-0.548
'[10:55:35.150 10/11/1995]',0.021,0.001,0.008,79.550,36.800,0.468,-0.548
'[10:55:35.152 10/11/1995]',0.021,0.001,0.001,76.100,36.575,0.413,-0.550
'[10:55:35.154 10/11/1995]',0.021,0.001,0.001,76.100,36.575,0.413,-0.550
'[10:55:35.156 10/11/1995]',0.021,0.001,-0.014,76.100,36.575,0.413,-0.550
'[10:55:35.158 10/11/1995]',0.040,-0.010,-0.014,76.100,36.575,0.413,-0.550
'[10:55:35.160 10/11/1995]',0.060,-0.033,-0.014,73.300,35.450,0.352,-0.552
'[10:55:35.162 10/11/1995]',0.040,-0.033,-0.014,73.300,35.450,0.352,-0.552
'[10:55:35.164 10/11/1995]',0.040,-0.033,-0.021,73.300,35.450,0.352,-0.552
'[10:55:35.166 10/11/1995]',0.040,-0.045,-0.035,73.300,35.450,0.352,-0.552
'[10:55:35.168 10/11/1995]',0.040,-0.068,-0.064,71.100,33.575,0.282,-0.554
'[10:55:35.170 10/11/1995]',0.021,-0.068,-0.079,71.100,33.575,0.282,-0.554
'[10:55:35.172 10/11/1995]',0.002,-0.056,-0.093,71.100,33.575,0.282,-0.554
'[10:55:35.174 10/11/1995]',-0.038,-0.022,-0.115,71.100,33.575,0.282,-0.554
'[10:55:35.176 10/11/1995]',-0.136,0.012,-0.136,69.400,31.300,0.218,-0.554
'[10:55:35.178 10/11/1995]',-0.215,0.070,-0.165,69.400,31.300,0.218,-0.554
'[10:55:35.180 10/11/1995]',-0.312,0.139,-0.201,69.400,31.300,0.218,-0.554
'[10:55:35.182 10/11/1995]',-0.450,0.242,-0.222,69.400,31.300,0.218,-0.554
'[10:55:35.184 10/11/1995]',-0.567,0.345,-0.237,68.050,29.125,0.144,-0.555
'[10:55:35.186 10/11/1995]',-0.685,0.425,-0.259,68.050,29.125,0.144,-0.555
'[10:55:35.188 10/11/1995]',-0.764,0.494,-0.266,68.050,29.125,0.144,-0.555
'[10:55:35.190 10/11/1995]',-0.823,0.540,-0.266,68.050,29.125,0.144,-0.555
'[10:55:35.192 10/11/1995]',-0.842,0.574,-0.259,67.000,27.375,0.077,-0.555
'[10:55:35.194 10/11/1995]',-0.823,0.574,-0.244,67.000,27.375,0.077,-0.555
'[10:55:35.196 10/11/1995]',-0.803,0.563,-0.237,67.000,27.375,0.077,-0.555
'[10:55:35.198 10/11/1995]',-0.744,0.528,-0.215,67.000,27.375,0.077,-0.555
'[10:55:35.200 10/11/1995]',-0.665,0.483,-0.179,66.200,26.075,0.016,-0.555
'[10:55:35.202 10/11/1995]',-0.606,0.448,-0.151,66.200,26.075,0.016,-0.555
'[10:55:35.204 10/11/1995]',-0.548,0.402,-0.129,66.200,26.075,0.016,-0.555
'[10:55:35.206 10/11/1995]',-0.470,0.356,-0.093,66.200,26.075,0.016,-0.555
'[10:55:35.208 10/11/1995]',-0.391,0.299,-0.064,65.650,25.325,-0.048,-0.555
'[10:55:35.210 10/11/1995]',-0.332,0.242,-0.035,65.650,25.325,-0.048,-0.555
'[10:55:35.212 10/11/1995]',-0.274,0.207,-0.021,65.650,25.325,-0.048,-0.555
'[10:55:35.214 10/11/1995]',-0.254,0.173,-0.014,65.650,25.325,-0.048,-0.555
'[10:55:35.216 10/11/1995]',-0.215,0.173,-0.014,65.300,24.850,-0.112,-0.556
'[10:55:35.218 10/11/1995]',-0.215,0.139,-0.021,65.300,24.850,-0.112,-0.556
'[10:55:35.220 10/11/1995]',-0.175,0.127,-0.014,65.300,24.850,-0.112,-0.556
'[10:55:35.222 10/11/1995]',-0.156,0.093,-0.007,65.300,24.850,-0.112,-0.556
'[10:55:35.224 10/11/1995]',-0.116,0.070,-0.007,65.200,24.550,-0.167,-0.556
'[10:55:35.226 10/11/1995]',-0.077,0.047,0.001,65.200,24.550,-0.167,-0.556
'[10:55:35.228 10/11/1995]',-0.038,0.012,0.008,65.200,24.550,-0.167,-0.556
'[10:55:35.230 10/11/1995]',0.002,0.001,0.015,65.200,24.550,-0.167,-0.556
'[10:55:35.232 10/11/1995]',0.021,-0.033,0.029,65.200,24.375,-0.221,-0.557
'[10:55:35.234 10/11/1995]',0.040,-0.045,0.029,65.200,24.375,-0.221,-0.557
'[10:55:35.236 10/11/1995]',0.060,-0.056,0.036,65.200,24.375,-0.221,-0.557
'[10:55:35.238 10/11/1995]',0.060,-0.068,0.044,65.200,24.375,-0.221,-0.557
'[10:55:35.240 10/11/1995]',0.060,-0.068,0.044,65.300,24.425,-0.266,-0.557
'[10:55:35.242 10/11/1995]',0.080,-0.068,0.044,65.300,24.425,-0.266,-0.557
'[10:55:35.244 10/11/1995]',0.080,-0.068,0.044,65.300,24.425,-0.266,-0.557
'[10:55:35.246 10/11/1995]',0.080,-0.068,0.044,65.300,24.425,-0.266,-0.557
'[10:55:35.248 10/11/1995]',0.080,-0.068,0.044,65.500,24.675,-0.307,-0.557
'[10:55:35.250 10/11/1995]',0.099,-0.079,0.051,65.500,24.675,-0.307,-0.557
'[10:55:35.252 10/11/1995]',0.099,-0.079,0.051,65.500,24.675,-0.307,-0.557
'[10:55:35.254 10/11/1995]',0.099,-0.079,0.051,65.500,24.675,-0.307,-0.557
'[10:55:35.256 10/11/1995]',0.099,-0.068,0.051,65.650,25.025,-0.346,-0.557
'[10:55:35.258 10/11/1995]',0.099,-0.079,0.051,65.650,25.025,-0.346,-0.557
'[10:55:35.260 10/11/1995]',0.099,-0.079,0.051,65.650,25.025,-0.346,-0.557
'[10:55:35.262 10/11/1995]',0.099,-0.079,0.065,65.650,25.025,-0.346,-0.557
'[10:55:35.264 10/11/1995]',0.099,-0.091,0.065,65.900,25.250,-0.375,-0.558
'[10:55:35.266 10/11/1995]',0.119,-0.091,0.065,65.900,25.250,-0.375,-0.558
'[10:55:35.268 10/11/1995]',0.119,-0.091,0.065,65.900,25.250,-0.375,-0.558
'[10:55:35.270 10/11/1995]',0.119,-0.103,0.065,65.900,25.250,-0.375,-0.558
'[10:55:35.272 10/11/1995]',0.139,-0.091,0.073,66.050,25.425,-0.404,-0.560
'[10:55:35.274 10/11/1995]',0.119,-0.091,0.073,66.050,25.425,-0.404,-0.560
'[10:55:35.276 10/11/1995]',0.119,-0.091,0.065,66.050,25.425,-0.404,-0.560
'[10:55:35.278 10/11/1995]',0.119,-0.103,0.065,66.050,25.425,-0.404,-0.560
'[10:55:35.280 10/11/1995]',0.119,-0.091,0.073,66.250,26.075,-0.426,-0.562
'[10:55:35.282 10/11/1995]',0.119,-0.091,0.065,66.250,26.075,-0.426,-0.562
'[10:55:35.284 10/11/1995]',0.119,-0.091,0.065,66.250,26.075,-0.426,-0.562
'[10:55:35.286 10/11/1995]',0.119,-0.103,0.073,66.250,26.075,-0.426,-0.562
'[10:55:35.288 10/11/1995]',0.119,-0.091,0.073,66.400,27.650,-0.441,-0.564
'[10:55:35.290 10/11/1995]',0.119,-0.103,0.073,66.400,27.650,-0.441,-0.564
'[10:55:35.292 10/11/1995]',0.119,-0.103,0.073,66.400,27.650,-0.441,-0.564
'[10:55:35.294 10/11/1995]',0.119,-0.091,0.073,66.400,27.650,-0.441,-0.564
'[10:55:35.296 10/11/1995]',0.119,-0.103,0.073,66.550,29.250,-0.457,-0.566
'[10:55:35.298 10/11/1995]',0.119,-0.103,0.073,66.550,29.250,-0.457,-0.566
'[10:55:35.300 10/11/1995]',0.119,-0.103,0.073,66.550,29.250,-0.457,-0.566
'[10:55:35.302 10/11/1995]',0.119,-0.103,0.073,66.550,29.250,-0.457,-0.566
'[10:55:35.304 10/11/1995]',0.119,-0.103,0.073,66.600,29.350,-0.467,-0.568
'[10:55:35.306 10/11/1995]',0.119,-0.091,0.073,66.600,29.350,-0.467,-0.568
'[10:55:35.308 10/11/1995]',0.119,-0.091,0.073,66.600,29.350,-0.467,-0.568
'[10:55:35.310 10/11/1995]',0.119,-0.079,0.073,66.600,29.350,-0.467,-0.568
'[10:55:35.312 10/11/1995]',0.099,-0.068,0.073,66.600,27.475,-0.476,-0.571
'[10:55:35.314 10/11/1995]',0.099,-0.068,0.065,66.600,27.475,-0.476,-0.571
'[10:55:35.316 10/11/1995]',0.099,-0.068,0.073,66.600,27.475,-0.476,-0.571
'[10:55:35.318 10/11/1995]',0.099,-0.068,0.065,66.600,27.475,-0.476,-0.571
'[10:55:35.320 10/11/1995]',0.080,-0.068,0.065,66.550,24.900,-0.482,-0.573
'[10:55:35.322 10/11/1995]',0.099,-0.068,0.065,66.550,24.900,-0.482,-0.573
'[10:55:35.324 10/11/1995]',0.099,-0.068,0.065,66.550,24.900,-0.482,-0.573
'[10:55:35.326 10/11/1995]',0.080,-0.068,0.065,66.550,24.900,-0.482,-0.573
'[10:55:35.328 10/11/1995]',0.080,-0.068,0.065,66.400,22.800,-0.489,-0.576
'[10:55:35.330 10/11/1995]',0.099,-0.068,0.073,66.400,22.800,-0.489,-0.576
'[10:55:35.332 10/11/1995]',0.080,-0.056,0.073,66.400,22.800,-0.489,-0.576
'[10:55:35.334 10/11/1995]',0.080,-0.068,0.065,66.400,22.800,-0.489,-0.576
'[10:55:35.336 10/11/1995]',0.099,-0.068,0.073,66.250,21.450,-0.492,-0.579
'[10:55:35.338 10/11/1995]',0.099,-0.068,0.073,66.250,21.450,-0.492,-0.579
'[10:55:35.340 10/11/1995]',0.099,-0.068,0.073,66.250,21.450,-0.492,-0.579
'[10:55:35.342 10/11/1995]',0.099,-0.068,0.065,66.250,21.450,-0.492,-0.579
'[10:55:35.344 10/11/1995]',0.099,-0.068,0.065,66.050,21.025,-0.495,-0.582
'[10:55:35.346 10/11/1995]',0.099,-0.068,0.065,66.050,21.025,-0.495,-0.582
'[10:55:35.348 10/11/1995]',0.099,-0.068,0.065,66.050,21.025,-0.495,-0.582
'[10:55:35.350 10/11/1995]',0.099,-0.045,0.065,66.050,21.025,-0.495,-0.582
'[10:55:35.352 10/11/1995]',0.099,-0.045,0.065,66.000,22.025,-0.498,-0.585
'[10:55:35.354 10/11/1995]',0.099,-0.045,0.051,66.000,22.025,-0.498,-0.585
'[10:55:35.356 10/11/1995]',0.099,-0.045,0.044,66.000,22.025,-0.498,-0.585
'[10:55:35.358 10/11/1995]',0.099,-0.045,0.051,66.000,22.025,-0.498,-0.585
'[10:55:35.360 10/11/1995]',0.099,-0.045,0.051,66.200,24.325,-0.505,-0.589
'[10:55:35.362 10/11/1995]',0.099,-0.045,0.051,66.200,24.325,-0.505,-0.589
'[10:55:35.364 10/11/1995]',0.099,-0.045,0.051,66.200,24.325,-0.505,-0.589
'[10:55:35.366 10/11/1995]',0.099,-0.045,0.051,66.200,24.325,-0.505,-0.589
'[10:55:35.368 10/11/1995]',0.099,-0.033,0.044,67.050,27.375,-0.505,-0.593
'[10:55:35.370 10/11/1995]',0.099,-0.033,0.044,67.050,27.375,-0.505,-0.593
'[10:55:35.372 10/11/1995]',0.099,-0.033,0.044,67.050,27.375,-0.505,-0.593
'[10:55:35.374 10/11/1995]',0.099,-0.033,0.044,67.050,27.375,-0.505,-0.593
'[10:55:35.376 10/11/1995]',0.099,-0.033,0.036,69.050,30.525,-0.508,-0.597
'[10:55:35.378 10/11/1995]',0.099,-0.022,0.036,69.050,30.525,-0.508,-0.597
'[10:55:35.380 10/11/1995]',0.080,-0.010,0.036,69.050,30.525,-0.508,-0.597
'[10:55:35.382 10/11/1995]',0.080,-0.010,0.029,69.050,30.525,-0.508,-0.597
'[10:55:35.384 10/11/1995]',0.080,0.001,0.029,72.800,33.225,-0.505,-0.601
'[10:55:35.386 10/11/1995]',0.060,0.001,0.022,72.800,33.225,-0.505,-0.601
'[10:55:35.388 10/11/1995]',0.060,0.001,0.022,72.800,33.225,-0.505,-0.601
'[10:55:35.390 10/11/1995]',0.080,0.001,0.022,72.800,33.225,-0.505,-0.601
'[10:55:35.392 10/11/1995]',0.080,0.001,0.029,78.200,35.100,-0.505,-0.605
'[10:55:35.394 10/11/1995]',0.099,-0.022,0.029,78.200,35.100,-0.505,-0.605
'[10:55:35.396 10/11/1995]',0.119,-0.033,0.036,78.200,35.100,-0.505,-0.605
'[10:55:35.398 10/11/1995]',0.119,-0.033,0.036,78.200,35.100,-0.505,-0.605
'[10:55:35.400 10/11/1995]',0.139,-0.045,0.036,84.950,35.975,-0.498,-0.607
'[10:55:35.402 10/11/1995]',0.139,-0.056,0.029,84.950,35.975,-0.498,-0.607
'[10:55:35.404 10/11/1995]',0.139,-0.056,0.022,84.950,35.975,-0.498,-0.607
'[10:55:35.406 10/11/1995]',0.139,-0.056,0.022,84.950,35.975,-0.498,-0.607
'[10:55:35.408 10/11/1995]',0.119,-0.056,0.015,92.300,35.975,-0.489,-0.609
'[10:55:35.410 10/11/1995]',0.119,-0.045,0.008,92.300,35.975,-0.489,-0.609
'[10:55:35.412 10/11/1995]',0.099,-0.033,0.001,92.300,35.975,-0.489,-0.609
'[10:55:35.414 10/11/1995]',0.080,-0.033,-0.007,92.300,35.975,-0.489,-0.609
'[10:55:35.416 10/11/1995]',0.080,-0.022,-0.014,99.950,35.325,-0.476,-0.611
'[10:55:35.418 10/11/1995]',0.060,-0.022,-0.014,99.950,35.325,-0.476,-0.611
'[10:55:35.420 10/11/1995]',0.060,-0.010,-0.021,99.950,35.325,-0.476,-0.611
'[10:55:35.422 10/11/1995]',0.060,-0.010,-0.021,99.950,35.325,-0.476,-0.611
'[10:55:35.424 10/11/1995]',0.060,0.001,-0.021,107.500,34.275,-0.454,-0.612
'[10:55:35.426 10/11/1995]',0.040,0.001,-0.021,107.500,34.275,-0.454,-0.612
'[10:55:35.428 10/11/1995]',0.040,0.001,-0.021,107.500,34.275,-0.454,-0.612
'[10:55:35.430 10/11/1995]',0.040,0.001,-0.021,107.500,34.275,-0.454,-0.612
'[10:55:35.432 10/11/1995]',0.021,0.001,-0.028,114.950,33.100,-0.422,-0.614
'[10:55:35.434 10/11/1995]',0.040,0.001,-0.021,114.950,33.100,-0.422,-0.614
'[10:55:35.436 10/11/1995]',0.040,0.001,-0.021,114.950,33.100,-0.422,-0.614
'[10:55:35.438 10/11/1995]',0.040,-0.010,-0.021,114.950,33.100,-0.422,-0.614
'[10:55:35.440 10/11/1995]',0.040,-0.010,-0.021,121.750,31.825,-0.384,-0.615
'[10:55:35.442 10/11/1995]',0.021,-0.010,-0.021,121.750,31.825,-0.384,-0.615
'[10:55:35.444 10/11/1995]',0.040,0.001,-0.014,121.750,31.825,-0.384,-0.615
'[10:55:35.446 10/11/1995]',0.021,0.001,-0.021,121.750,31.825,-0.384,-0.615
'[10:55:35.448 10/11/1995]',0.021,0.001,-0.021,127.400,30.525,-0.333,-0.616
'[10:55:35.450 10/11/1995]',0.002,0.001,-0.014,127.400,30.525,-0.333,-0.616
'[10:55:35.452 10/11/1995]',0.002,0.001,-0.021,127.400,30.525,-0.333,-0.616
'[10:55:35.454 10/11/1995]',0.002,0.001,-0.021,127.400,30.525,-0.333,-0.616
'[10:55:35.456 10/11/1995]',0.002,0.001,-0.014,131.450,29.300,-0.275,-0.616
'[10:55:35.458 10/11/1995]',0.002,0.001,-0.014,131.450,29.300,-0.275,-0.616
'[10:55:35.460 10/11/1995]',0.002,0.001,-0.014,131.450,29.300,-0.275,-0.616
'[10:55:35.462 10/11/1995]',0.002,0.001,-0.014,131.450,29.300,-0.275,-0.616
'[10:55:35.464 10/11/1995]',0.002,0.001,-0.014,133.650,28.175,-0.202,-0.615
'[10:55:35.466 10/11/1995]',0.002,0.001,-0.014,133.650,28.175,-0.202,-0.615
'[10:55:35.468 10/11/1995]',0.002,0.001,-0.014,133.650,28.175,-0.202,-0.615
'[10:55:35.470 10/11/1995]',0.002,0.001,-0.014,133.650,28.175,-0.202,-0.615
'[10:55:35.472 10/11/1995]',0.002,0.001,-0.007,134.050,27.200,-0.128,-0.614
'[10:55:35.474 10/11/1995]',0.002,0.001,-0.007,134.050,27.200,-0.128,-0.614
'[10:55:35.476 10/11/1995]',0.002,0.001,-0.007,134.050,27.200,-0.128,-0.614
'[10:55:35.478 10/11/1995]',0.002,0.001,-0.007,134.050,27.200,-0.128,-0.614
'[10:55:35.480 10/11/1995]',0.002,0.001,0.001,132.900,26.075,-0.051,-0.612
'[10:55:35.482 10/11/1995]',0.002,0.001,-0.007,132.900,26.075,-0.051,-0.612
'[10:55:35.484 10/11/1995]',0.002,0.001,0.001,132.900,26.075,-0.051,-0.612
'[10:55:35.486 10/11/1995]',0.002,0.001,0.001,132.900,26.075,-0.051,-0.612
'[10:55:35.488 10/11/1995]',0.002,-0.010,0.001,130.500,24.725,0.022,-0.610
'[10:55:35.490 10/11/1995]',0.002,-0.010,0.001,130.500,24.725,0.022,-0.610
'[10:55:35.492 10/11/1995]',0.002,-0.010,0.001,130.500,24.725,0.022,-0.610
'[10:55:35.494 10/11/1995]',0.002,-0.010,0.001,130.500,24.725,0.022,-0.610
'[10:55:35.496 10/11/1995]',0.002,-0.010,0.001,127.200,23.200,0.089,-0.607
'[10:55:35.498 10/11/1995]',0.002,-0.010,0.001,127.200,23.200,0.089,-0.607
'[10:55:35.500 10/11/1995]',0.002,0.001,0.001,127.200,23.200,0.089,-0.607
'[10:55:35.502 10/11/1995]',0.002,-0.010,0.001,127.200,23.200,0.089,-0.607
'[10:55:35.504 10/11/1995]',0.002,0.001,0.001,123.100,21.850,0.153,-0.604
'[10:55:35.506 10/11/1995]',0.002,-0.010,0.001,123.100,21.850,0.153,-0.604
'[10:55:35.508 10/11/1995]',0.002,0.001,0.001,123.100,21.850,0.153,-0.604
'[10:55:35.510 10/11/1995]',0.002,0.001,0.008,123.100,21.850,0.153,-0.604
'[10:55:35.512 10/11/1995]',0.002,-0.010,0.008,118.400,21.100,0.202,-0.601
'[10:55:35.514 10/11/1995]',0.021,-0.022,0.008,118.400,21.100,0.202,-0.601
'[10:55:35.516 10/11/1995]',0.021,-0.022,0.008,118.400,21.100,0.202,-0.601
'[10:55:35.518 10/11/1995]',0.021,-0.033,0.008,118.400,21.100,0.202,-0.601
'[10:55:35.520 10/11/1995]',0.021,-0.033,0.008,113.200,21.025,0.243,-0.598
'[10:55:35.522 10/11/1995]',0.021,-0.033,0.008,113.200,21.025,0.243,-0.598
'[10:55:35.524 10/11/1995]',0.021,-0.033,0.008,113.200,21.025,0.243,-0.598
'[10:55:35.526 10/11/1995]',0.021,-0.033,0.008,113.200,21.025,0.243,-0.598
'[10:55:35.528 10/11/1995]',0.021,-0.010,0.015,107.750,21.800,0.265,-0.594
'[10:55:35.530 10/11/1995]',0.021,-0.010,0.015,107.750,21.800,0.265,-0.594
'[10:55:35.532 10/11/1995]',0.021,-0.010,0.008,107.750,21.800,0.265,-0.594
'[10:55:35.534 10/11/1995]',0.021,-0.010,0.008,107.750,21.800,0.265,-0.594
'[10:55:35.536 10/11/1995]',0.021,-0.010,0.008,102.200,23.375,0.284,-0.590
'[10:55:35.538 10/11/1995]',0.021,0.001,0.008,102.200,23.375,0.284,-0.590
'[10:55:35.540 10/11/1995]',0.021,0.001,0.008,102.200,23.375,0.284,-0.590
'[10:55:35.542 10/11/1995]',0.002,0.001,0.008,102.200,23.375,0.284,-0.590
'[10:55:35.544 10/11/1995]',0.002,0.001,0.008,96.650,25.775,0.287,-0.587
'[10:55:35.546 10/11/1995]',0.002,0.012,0.001,96.650,25.775,0.287,-0.587
'[10:55:35.548 10/11/1995]',0.002,0.012,0.008,96.650,25.775,0.287,-0.587
'[10:55:35.550 10/11/1995]',0.021,0.001,0.008,96.650,25.775,0.287,-0.587
'[10:55:35.552 10/11/1995]',0.040,-0.010,0.015,91.300,28.525,0.278,-0.584
'[10:55:35.554 10/11/1995]',0.060,-0.022,0.022,91.300,28.525,0.278,-0.584
'[10:55:35.556 10/11/1995]',0.060,-0.033,0.036,91.300,28.525,0.278,-0.584
'[10:55:35.558 10/11/1995]',0.080,-0.033,0.036,91.300,28.525,0.278,-0.584
'[10:55:35.560 10/11/1995]',0.099,-0.033,0.044,86.300,30.750,0.259,-0.581
'[10:55:35.562 10/11/1995]',0.099,-0.045,0.051,86.300,30.750,0.259,-0.581
'[10:55:35.564 10/11/1995]',0.099,-0.033,0.044,86.300,30.750,0.259,-0.581
'[10:55:35.566 10/11/1995]',0.080,-0.033,0.036,86.300,30.750,0.259,-0.581
'[10:55:35.568 10/11/1995]',0.060,-0.033,0.022,81.600,31.750,0.230,-0.579
