'Time and date','MCL1','V','ABP','PLETH','RESP'
'[11:08:33.070 07/11/1995]',0.001,0.015,110.451,0.000,-0.041
'[11:08:33.072 07/11/1995]',0.001,0.015,108.045,0.000,-0.052
'[11:08:33.074 07/11/1995]',0.001,0.014,108.045,0.000,-0.052
'[11:08:33.076 07/11/1995]',0.001,0.014,108.045,0.000,-0.052
'[11:08:33.078 07/11/1995]',0.001,0.014,108.045,0.000,-0.052
'[11:08:33.080 07/11/1995]',0.001,0.014,105.338,0.000,-0.063
'[11:08:33.082 07/11/1995]',-0.010,0.014,105.338,0.000,-0.063
'[11:08:33.084 07/11/1995]',-0.010,0.014,105.338,0.000,-0.063
'[11:08:33.086 07/11/1995]',0.001,0.014,105.338,0.000,-0.063
'[11:08:33.088 07/11/1995]',0.001,0.014,102.481,0.000,-0.074
'[11:08:33.090 07/11/1995]',0.001,0.014,102.481,0.000,-0.074
'[11:08:33.092 07/11/1995]',0.001,0.015,102.481,0.000,-0.074
'[11:08:33.094 07/11/1995]',0.001,0.015,102.481,0.000,-0.074
'[11:08:33.096 07/11/1995]',0.001,0.016,99.549,0.000,-0.086
'[11:08:33.098 07/11/1995]',0.001,0.017,99.549,0.000,-0.086
'[11:08:33.100 07/11/1995]',0.001,0.019,99.549,0.000,-0.086
'[11:08:33.102 07/11/1995]',0.001,0.021,99.549,0.000,-0.086
'[11:08:33.104 07/11/1995]',0.001,0.024,96.391,0.000,-0.098
'[11:08:33.106 07/11/1995]',0.011,0.026,96.391,0.000,-0.098
'[11:08:33.108 07/11/1995]',0.011,0.033,96.391,0.000,-0.098
'[11:08:33.110 07/11/1995]',0.022,0.040,96.391,0.000,-0.098
'[11:08:33.112 07/11/1995]',0.034,0.056,93.158,0.000,-0.111
'[11:08:33.114 07/11/1995]',0.034,0.072,93.158,0.000,-0.111
'[11:08:33.116 07/11/1995]',0.044,0.102,93.158,0.000,-0.111
'[11:08:33.118 07/11/1995]',0.056,0.133,93.158,0.000,-0.111
'[11:08:33.120 07/11/1995]',0.056,0.181,89.850,0.000,-0.123
'[11:08:33.122 07/11/1995]',0.088,0.230,89.850,0.000,-0.123
'[11:08:33.124 07/11/1995]',0.133,0.293,89.850,0.000,-0.123
'[11:08:33.126 07/11/1995]',0.187,0.357,89.850,0.000,-0.123
'[11:08:33.128 07/11/1995]',0.264,0.425,86.617,0.000,-0.137
'[11:08:33.130 07/11/1995]',0.330,0.494,86.617,0.000,-0.137
'[11:08:33.132 07/11/1995]',0.385,0.551,86.617,0.000,-0.137
'[11:08:33.134 07/11/1995]',0.462,0.608,86.617,0.000,-0.137
'[11:08:33.136 07/11/1995]',0.516,0.636,83.383,0.000,-0.150
'[11:08:33.138 07/11/1995]',0.571,0.665,83.383,0.000,-0.150
'[11:08:33.140 07/11/1995]',0.604,0.658,83.383,0.000,-0.150
'[11:08:33.142 07/11/1995]',0.615,0.652,83.383,0.000,-0.150
'[11:08:33.144 07/11/1995]',0.604,0.612,80.226,0.000,-0.165
'[11:08:33.146 07/11/1995]',0.582,0.572,80.226,0.000,-0.165
'[11:08:33.148 07/11/1995]',0.516,0.513,80.226,0.000,-0.165
'[11:08:33.150 07/11/1995]',0.417,0.454,80.226,0.000,-0.165
'[11:08:33.152 07/11/1995]',0.330,0.390,77.368,0.000,-0.178
'[11:08:33.154 07/11/1995]',0.253,0.326,77.368,0.000,-0.178
'[11:08:33.156 07/11/1995]',0.187,0.270,77.368,0.000,-0.178
'[11:08:33.158 07/11/1995]',0.121,0.213,77.368,0.000,-0.178
'[11:08:33.160 07/11/1995]',0.056,0.171,74.737,0.000,-0.193
'[11:08:33.162 07/11/1995]',0.011,0.128,74.737,0.000,-0.193
'[11:08:33.164 07/11/1995]',-0.010,0.097,74.737,0.000,-0.193
'[11:08:33.166 07/11/1995]',-0.021,0.066,74.737,0.000,-0.193
'[11:08:33.168 07/11/1995]',-0.021,0.044,72.406,0.000,-0.206
'[11:08:33.170 07/11/1995]',-0.021,0.022,72.406,0.000,-0.206
'[11:08:33.172 07/11/1995]',-0.032,0.007,72.406,0.000,-0.206
'[11:08:33.174 07/11/1995]',-0.032,-0.007,72.406,0.000,-0.206
'[11:08:33.176 07/11/1995]',-0.043,-0.015,70.451,0.000,-0.221
'[11:08:33.178 07/11/1995]',-0.054,-0.023,70.451,0.000,-0.221
'[11:08:33.180 07/11/1995]',-0.065,-0.026,70.451,0.000,-0.221
'[11:08:33.182 07/11/1995]',-0.065,-0.029,70.451,0.000,-0.221
'[11:08:33.184 07/11/1995]',-0.054,-0.029,68.797,0.000,-0.234
'[11:08:33.186 07/11/1995]',-0.054,-0.030,68.797,0.000,-0.234
'[11:08:33.188 07/11/1995]',-0.043,-0.030,68.797,0.000,-0.234
'[11:08:33.190 07/11/1995]',-0.043,-0.030,68.797,0.000,-0.234
'[11:08:33.192 07/11/1995]',-0.043,-0.030,67.444,0.000,-0.248
'[11:08:33.194 07/11/1995]',-0.043,-0.031,67.444,0.000,-0.248
'[11:08:33.196 07/11/1995]',-0.043,-0.032,67.444,0.000,-0.248
'[11:08:33.198 07/11/1995]',-0.054,-0.033,67.444,0.000,-0.248
'[11:08:33.200 07/11/1995]',-0.054,-0.034,66.466,0.000,-0.261
'[11:08:33.202 07/11/1995]',-0.054,-0.034,66.466,0.000,-0.261
'[11:08:33.204 07/11/1995]',-0.054,-0.034,66.466,0.000,-0.261
'[11:08:33.206 07/11/1995]',-0.043,-0.034,66.466,0.000,-0.261
'[11:08:33.208 07/11/1995]',-0.043,-0.035,65.639,0.000,-0.273
'[11:08:33.210 07/11/1995]',-0.043,-0.036,65.639,0.000,-0.273
'[11:08:33.212 07/11/1995]',-0.043,-0.036,65.639,0.000,-0.273
'[11:08:33.214 07/11/1995]',-0.054,-0.037,65.639,0.000,-0.273
'[11:08:33.216 07/11/1995]',-0.054,-0.037,65.263,0.000,-0.284
'[11:08:33.218 07/11/1995]',-0.054,-0.037,65.263,0.000,-0.284
'[11:08:33.220 07/11/1995]',-0.054,-0.037,65.263,0.000,-0.284
'[11:08:33.222 07/11/1995]',-0.043,-0.038,65.263,0.000,-0.284
'[11:08:33.224 07/11/1995]',-0.043,-0.038,65.113,0.000,-0.294
'[11:08:33.226 07/11/1995]',-0.043,-0.039,65.113,0.000,-0.294
'[11:08:33.228 07/11/1995]',-0.043,-0.039,65.113,0.000,-0.294
'[11:08:33.230 07/11/1995]',-0.054,-0.039,65.113,0.000,-0.294
'[11:08:33.232 07/11/1995]',-0.054,-0.040,65.263,0.000,-0.303
'[11:08:33.234 07/11/1995]',-0.054,-0.040,65.263,0.000,-0.303
'[11:08:33.236 07/11/1995]',-0.054,-0.041,65.263,0.000,-0.303
'[11:08:33.238 07/11/1995]',-0.043,-0.041,65.263,0.000,-0.303
'[11:08:33.240 07/11/1995]',-0.043,-0.041,65.564,0.000,-0.310
'[11:08:33.242 07/11/1995]',-0.043,-0.041,65.564,0.000,-0.310
'[11:08:33.244 07/11/1995]',-0.054,-0.042,65.564,0.000,-0.310
'[11:08:33.246 07/11/1995]',-0.054,-0.043,65.564,0.000,-0.310
'[11:08:33.248 07/11/1995]',-0.054,-0.043,65.940,0.000,-0.317
'[11:08:33.250 07/11/1995]',-0.065,-0.044,65.940,0.000,-0.317
'[11:08:33.252 07/11/1995]',-0.054,-0.044,65.940,0.000,-0.317
'[11:08:33.254 07/11/1995]',-0.054,-0.045,65.940,0.000,-0.317
'[11:08:33.256 07/11/1995]',-0.054,-0.044,66.466,0.000,-0.323
'[11:08:33.258 07/11/1995]',-0.043,-0.044,66.466,0.000,-0.323
'[11:08:33.260 07/11/1995]',-0.043,-0.044,66.466,0.000,-0.323
'[11:08:33.262 07/11/1995]',-0.054,-0.044,66.466,0.000,-0.323
'[11:08:33.264 07/11/1995]',-0.054,-0.044,66.992,0.000,-0.329
'[11:08:33.266 07/11/1995]',-0.054,-0.045,66.992,0.000,-0.329
'[11:08:33.268 07/11/1995]',-0.054,-0.046,66.992,0.000,-0.329
'[11:08:33.270 07/11/1995]',-0.054,-0.047,66.992,0.000,-0.329
'[11:08:33.272 07/11/1995]',-0.043,-0.048,67.594,0.000,-0.334
'[11:08:33.274 07/11/1995]',-0.043,-0.048,67.594,0.000,-0.334
'[11:08:33.276 07/11/1995]',-0.043,-0.048,67.594,0.000,-0.334
'[11:08:33.278 07/11/1995]',-0.054,-0.048,67.594,0.000,-0.334
'[11:08:33.280 07/11/1995]',-0.054,-0.048,68.195,0.000,-0.340
'[11:08:33.282 07/11/1995]',-0.054,-0.048,68.195,0.000,-0.340
'[11:08:33.284 07/11/1995]',-0.054,-0.048,68.195,0.000,-0.340
'[11:08:33.286 07/11/1995]',-0.054,-0.048,68.195,0.000,-0.340
'[11:08:33.288 07/11/1995]',-0.043,-0.048,68.722,0.000,-0.345
'[11:08:33.290 07/11/1995]',-0.043,-0.048,68.722,0.000,-0.345
'[11:08:33.292 07/11/1995]',-0.043,-0.049,68.722,0.000,-0.345
'[11:08:33.294 07/11/1995]',-0.043,-0.049,68.722,0.000,-0.345
'[11:08:33.296 07/11/1995]',-0.054,-0.050,69.248,0.000,-0.349
'[11:08:33.298 07/11/1995]',-0.054,-0.051,69.248,0.000,-0.349
'[11:08:33.300 07/11/1995]',-0.054,-0.051,69.248,0.000,-0.349
'[11:08:33.302 07/11/1995]',-0.054,-0.052,69.248,0.000,-0.349
'[11:08:33.304 07/11/1995]',-0.043,-0.052,69.624,0.000,-0.353
'[11:08:33.306 07/11/1995]',-0.043,-0.052,69.624,0.000,-0.353
'[11:08:33.308 07/11/1995]',-0.032,-0.051,69.624,0.000,-0.353
'[11:08:33.310 07/11/1995]',-0.043,-0.051,69.624,0.000,-0.353
'[11:08:33.312 07/11/1995]',-0.043,-0.051,69.925,0.000,-0.356
'[11:08:33.314 07/11/1995]',-0.054,-0.051,69.925,0.000,-0.356
'[11:08:33.316 07/11/1995]',-0.054,-0.051,69.925,0.000,-0.356
'[11:08:33.318 07/11/1995]',-0.054,-0.052,69.925,0.000,-0.356
'[11:08:33.320 07/11/1995]',-0.043,-0.052,70.150,0.000,-0.359
'[11:08:33.322 07/11/1995]',-0.032,-0.052,70.150,0.000,-0.359
'[11:08:33.324 07/11/1995]',-0.032,-0.052,70.150,0.000,-0.359
'[11:08:33.326 07/11/1995]',-0.032,-0.052,70.150,0.000,-0.359
'[11:08:33.328 07/11/1995]',-0.032,-0.053,70.226,0.000,-0.361
'[11:08:33.330 07/11/1995]',-0.043,-0.054,70.226,0.000,-0.361
'[11:08:33.332 07/11/1995]',-0.043,-0.054,70.226,0.000,-0.361
'[11:08:33.334 07/11/1995]',-0.043,-0.055,70.226,0.000,-0.361
'[11:08:33.336 07/11/1995]',-0.043,-0.055,70.226,0.000,-0.364
'[11:08:33.338 07/11/1995]',-0.032,-0.055,70.226,0.000,-0.364
'[11:08:33.340 07/11/1995]',-0.032,-0.055,70.226,0.000,-0.364
'[11:08:33.342 07/11/1995]',-0.032,-0.055,70.226,0.000,-0.364
'[11:08:33.344 07/11/1995]',-0.032,-0.056,70.226,0.000,-0.366
'[11:08:33.346 07/11/1995]',-0.043,-0.056,70.226,0.000,-0.366
'[11:08:33.348 07/11/1995]',-0.043,-0.058,70.226,0.000,-0.366
'[11:08:33.350 07/11/1995]',-0.043,-0.059,70.226,0.000,-0.366
'[11:08:33.352 07/11/1995]',-0.043,-0.059,70.150,0.000,-0.369
'[11:08:33.354 07/11/1995]',-0.043,-0.060,70.150,0.000,-0.369
'[11:08:33.356 07/11/1995]',-0.032,-0.061,70.150,0.000,-0.369
'[11:08:33.358 07/11/1995]',-0.032,-0.062,70.150,0.000,-0.369
'[11:08:33.360 07/11/1995]',-0.032,-0.062,70.075,0.000,-0.371
'[11:08:33.362 07/11/1995]',-0.043,-0.063,70.075,0.000,-0.371
'[11:08:33.364 07/11/1995]',-0.043,-0.062,70.075,0.000,-0.371
'[11:08:33.366 07/11/1995]',-0.054,-0.062,70.075,0.000,-0.371
'[11:08:33.368 07/11/1995]',-0.054,-0.061,70.150,0.000,-0.374
'[11:08:33.370 07/11/1995]',-0.043,-0.060,70.150,0.000,-0.374
'[11:08:33.372 07/11/1995]',-0.032,-0.059,70.150,0.000,-0.374
'[11:08:33.374 07/11/1995]',-0.032,-0.058,70.150,0.000,-0.374
'[11:08:33.376 07/11/1995]',-0.032,-0.057,70.301,0.000,-0.378
'[11:08:33.378 07/11/1995]',-0.043,-0.055,70.301,0.000,-0.378
'[11:08:33.380 07/11/1995]',-0.043,-0.054,70.301,0.000,-0.378
'[11:08:33.382 07/11/1995]',-0.054,-0.054,70.301,0.000,-0.378
'[11:08:33.384 07/11/1995]',-0.043,-0.053,70.827,0.000,-0.381
'[11:08:33.386 07/11/1995]',-0.043,-0.052,70.827,0.000,-0.381
'[11:08:33.388 07/11/1995]',-0.043,-0.051,70.827,0.000,-0.381
'[11:08:33.390 07/11/1995]',-0.032,-0.051,70.827,0.000,-0.381
'[11:08:33.392 07/11/1995]',-0.032,-0.051,71.729,0.000,-0.384
'[11:08:33.394 07/11/1995]',-0.032,-0.050,71.729,0.000,-0.384
'[11:08:33.396 07/11/1995]',-0.043,-0.050,71.729,0.000,-0.384
'[11:08:33.398 07/11/1995]',-0.043,-0.049,71.729,0.000,-0.384
'[11:08:33.400 07/11/1995]',-0.043,-0.048,73.083,0.000,-0.388
'[11:08:33.402 07/11/1995]',-0.043,-0.046,73.083,0.000,-0.388
'[11:08:33.404 07/11/1995]',-0.032,-0.043,73.083,0.000,-0.388
'[11:08:33.406 07/11/1995]',-0.032,-0.040,73.083,0.000,-0.388
'[11:08:33.408 07/11/1995]',-0.032,-0.037,74.812,0.000,-0.393
'[11:08:33.410 07/11/1995]',-0.032,-0.035,74.812,0.000,-0.393
'[11:08:33.412 07/11/1995]',-0.032,-0.032,74.812,0.000,-0.393
'[11:08:33.414 07/11/1995]',-0.032,-0.029,74.812,0.000,-0.393
'[11:08:33.416 07/11/1995]',-0.032,-0.027,76.842,0.000,-0.397
'[11:08:33.418 07/11/1995]',-0.032,-0.025,76.842,0.000,-0.397
'[11:08:33.420 07/11/1995]',-0.021,-0.022,76.842,0.000,-0.397
'[11:08:33.422 07/11/1995]',-0.010,-0.020,76.842,0.000,-0.397
'[11:08:33.424 07/11/1995]',-0.010,-0.017,79.098,0.000,-0.402
'[11:08:33.426 07/11/1995]',-0.010,-0.014,79.098,0.000,-0.402
'[11:08:33.428 07/11/1995]',-0.010,-0.010,79.098,0.000,-0.402
'[11:08:33.430 07/11/1995]',-0.010,-0.006,79.098,0.000,-0.402
'[11:08:33.432 07/11/1995]',-0.021,-0.003,81.203,0.000,-0.406
'[11:08:33.434 07/11/1995]',-0.010,0.000,81.203,0.000,-0.406
'[11:08:33.436 07/11/1995]',-0.010,0.002,81.203,0.000,-0.406
'[11:08:33.438 07/11/1995]',-0.010,0.004,81.203,0.000,-0.406
'[11:08:33.440 07/11/1995]',0.001,0.006,83.308,0.000,-0.411
'[11:08:33.442 07/11/1995]',0.001,0.008,83.308,0.000,-0.411
'[11:08:33.444 07/11/1995]',0.001,0.009,83.308,0.000,-0.411
'[11:08:33.446 07/11/1995]',0.001,0.011,83.308,0.000,-0.411
'[11:08:33.448 07/11/1995]',0.001,0.011,85.113,0.000,-0.416
'[11:08:33.450 07/11/1995]',0.001,0.012,85.113,0.000,-0.416
'[11:08:33.452 07/11/1995]',0.001,0.013,85.113,0.000,-0.416
'[11:08:33.454 07/11/1995]',0.001,0.014,85.113,0.000,-0.416
'[11:08:33.456 07/11/1995]',0.001,0.015,86.541,0.000,-0.420
'[11:08:33.458 07/11/1995]',0.001,0.015,86.541,0.000,-0.420
'[11:08:33.460 07/11/1995]',0.001,0.015,86.541,0.000,-0.420
'[11:08:33.462 07/11/1995]',0.001,0.014,86.541,0.000,-0.420
'[11:08:33.464 07/11/1995]',0.001,0.014,87.444,0.000,-0.423
'[11:08:33.466 07/11/1995]',0.001,0.014,87.444,0.000,-0.423
'[11:08:33.468 07/11/1995]',0.001,0.014,87.444,0.000,-0.423
'[11:08:33.470 07/11/1995]',0.001,0.014,87.444,0.000,-0.423
'[11:08:33.472 07/11/1995]',0.001,0.015,87.895,0.000,-0.426
'[11:08:33.474 07/11/1995]',0.011,0.015,87.895,0.000,-0.426
'[11:08:33.476 07/11/1995]',0.011,0.016,87.895,0.000,-0.426
'[11:08:33.478 07/11/1995]',0.011,0.017,87.895,0.000,-0.426
'[11:08:33.480 07/11/1995]',0.001,0.018,87.895,0.000,-0.429
'[11:08:33.482 07/11/1995]',0.001,0.019,87.895,0.000,-0.429
'[11:08:33.484 07/11/1995]',0.001,0.018,87.895,0.000,-0.429
'[11:08:33.486 07/11/1995]',0.001,0.018,87.895,0.000,-0.429
'[11:08:33.488 07/11/1995]',0.011,0.018,87.368,0.000,-0.432
'[11:08:33.490 07/11/1995]',0.011,0.019,87.368,0.000,-0.432
'[11:08:33.492 07/11/1995]',0.011,0.020,87.368,0.000,-0.432
'[11:08:33.494 07/11/1995]',0.011,0.021,87.368,0.000,-0.432
'[11:08:33.496 07/11/1995]',0.011,0.021,86.241,0.000,-0.435
'[11:08:33.498 07/11/1995]',0.001,0.022,86.241,0.000,-0.435
'[11:08:33.500 07/11/1995]',0.001,0.022,86.241,0.000,-0.435
'[11:08:33.502 07/11/1995]',0.001,0.022,86.241,0.000,-0.435
'[11:08:33.504 07/11/1995]',0.011,0.022,84.511,0.000,-0.439
'[11:08:33.506 07/11/1995]',0.011,0.022,84.511,0.000,-0.439
'[11:08:33.508 07/11/1995]',0.011,0.022,84.511,0.000,-0.439
'[11:08:33.510 07/11/1995]',0.011,0.022,84.511,0.000,-0.439
'[11:08:33.512 07/11/1995]',0.011,0.022,82.406,0.000,-0.442
'[11:08:33.514 07/11/1995]',0.001,0.022,82.406,0.000,-0.442
'[11:08:33.516 07/11/1995]',0.001,0.022,82.406,0.000,-0.442
'[11:08:33.518 07/11/1995]',0.001,0.023,82.406,0.000,-0.442
'[11:08:33.520 07/11/1995]',0.011,0.024,79.850,0.000,-0.445
'[11:08:33.522 07/11/1995]',0.011,0.025,79.850,0.000,-0.445
'[11:08:33.524 07/11/1995]',0.011,0.025,79.850,0.000,-0.445
'[11:08:33.526 07/11/1995]',0.022,0.026,79.850,0.000,-0.445
'[11:08:33.528 07/11/1995]',0.011,0.025,77.218,0.000,-0.448
'[11:08:33.530 07/11/1995]',0.011,0.025,77.218,0.000,-0.448
'[11:08:33.532 07/11/1995]',0.001,0.025,77.218,0.000,-0.448
'[11:08:33.534 07/11/1995]',0.001,0.025,77.218,0.000,-0.448
'[11:08:33.536 07/11/1995]',0.011,0.025,74.286,0.000,-0.451
'[11:08:33.538 07/11/1995]',0.011,0.025,74.286,0.000,-0.451
'[11:08:33.540 07/11/1995]',0.011,0.025,74.286,0.000,-0.451
'[11:08:33.542 07/11/1995]',0.011,0.025,74.286,0.000,-0.451
'[11:08:33.544 07/11/1995]',0.011,0.025,71.429,0.000,-0.455
'[11:08:33.546 07/11/1995]',0.011,0.026,71.429,0.000,-0.455
'[11:08:33.548 07/11/1995]',0.011,0.026,71.429,0.000,-0.455
'[11:08:33.550 07/11/1995]',0.001,0.027,71.429,0.000,-0.455
'[11:08:33.552 07/11/1995]',0.001,0.027,68.647,0.000,-0.459
'[11:08:33.554 07/11/1995]',0.011,0.027,68.647,0.000,-0.459
'[11:08:33.556 07/11/1995]',0.011,0.027,68.647,0.000,-0.459
'[11:08:33.558 07/11/1995]',0.011,0.027,68.647,0.000,-0.459
'[11:08:33.560 07/11/1995]',0.011,0.026,66.090,0.000,-0.464
'[11:08:33.562 07/11/1995]',0.011,0.026,66.090,0.000,-0.464
'[11:08:33.564 07/11/1995]',0.011,0.025,66.090,0.000,-0.464
'[11:08:33.566 07/11/1995]',0.001,0.025,66.090,0.000,-0.464
'[11:08:33.568 07/11/1995]',0.011,0.025,63.759,0.000,-0.469
'[11:08:33.570 07/11/1995]',0.001,0.026,63.759,0.000,-0.469
'[11:08:33.572 07/11/1995]',0.011,0.027,63.759,0.000,-0.469
'[11:08:33.574 07/11/1995]',0.011,0.028,63.759,0.000,-0.469
'[11:08:33.576 07/11/1995]',0.011,0.029,61.579,0.000,-0.475
'[11:08:33.578 07/11/1995]',0.011,0.029,61.579,0.000,-0.475
'[11:08:33.580 07/11/1995]',0.011,0.029,61.579,0.000,-0.475
'[11:08:33.582 07/11/1995]',0.001,0.029,61.579,0.000,-0.475
'[11:08:33.584 07/11/1995]',0.001,0.029,59.699,0.000,-0.481
'[11:08:33.586 07/11/1995]',0.011,0.028,59.699,0.000,-0.481
'[11:08:33.588 07/11/1995]',0.011,0.027,59.699,0.000,-0.481
'[11:08:33.590 07/11/1995]',0.011,0.026,59.699,0.000,-0.481
'[11:08:33.592 07/11/1995]',0.011,0.025,58.120,0.000,-0.486
'[11:08:33.594 07/11/1995]',0.011,0.025,58.120,0.000,-0.486
'[11:08:33.596 07/11/1995]',0.011,0.025,58.120,0.000,-0.486
'[11:08:33.598 07/11/1995]',0.001,0.025,58.120,0.000,-0.486
'[11:08:33.600 07/11/1995]',0.001,0.025,56.767,0.000,-0.491
'[11:08:33.602 07/11/1995]',0.001,0.024,56.767,0.000,-0.491
'[11:08:33.604 07/11/1995]',0.011,0.023,56.767,0.000,-0.491
'[11:08:33.606 07/11/1995]',0.011,0.022,56.767,0.000,-0.491
'[11:08:33.608 07/11/1995]',0.011,0.022,55.639,0.000,-0.495
'[11:08:33.610 07/11/1995]',0.011,0.022,55.639,0.000,-0.495
'[11:08:33.612 07/11/1995]',0.011,0.022,55.639,0.000,-0.495
'[11:08:33.614 07/11/1995]',0.001,0.022,55.639,0.000,-0.495
'[11:08:33.616 07/11/1995]',0.001,0.022,54.737,0.000,-0.500
'[11:08:33.618 07/11/1995]',0.001,0.022,54.737,0.000,-0.500
'[11:08:33.620 07/11/1995]',0.001,0.022,54.737,0.000,-0.500
'[11:08:33.622 07/11/1995]',0.011,0.022,54.737,0.000,-0.500
'[11:08:33.624 07/11/1995]',0.011,0.022,54.135,0.000,-0.504
'[11:08:33.626 07/11/1995]',0.011,0.022,54.135,0.000,-0.504
'[11:08:33.628 07/11/1995]',0.011,0.022,54.135,0.000,-0.504
'[11:08:33.630 07/11/1995]',0.001,0.022,54.135,0.000,-0.504
'[11:08:33.632 07/11/1995]',0.001,0.022,53.684,0.000,-0.509
'[11:08:33.634 07/11/1995]',0.001,0.022,53.684,0.000,-0.509
'[11:08:33.636 07/11/1995]',0.001,0.022,53.684,0.000,-0.509
'[11:08:33.638 07/11/1995]',0.011,0.022,53.684,0.000,-0.509
'[11:08:33.640 07/11/1995]',0.011,0.022,53.383,0.000,-0.513
'[11:08:33.642 07/11/1995]',0.011,0.022,53.383,0.000,-0.513
'[11:08:33.644 07/11/1995]',0.011,0.021,53.383,0.000,-0.513
'[11:08:33.646 07/11/1995]',0.001,0.021,53.383,0.000,-0.513
'[11:08:33.648 07/11/1995]',0.001,0.020,53.308,0.000,-0.518
'[11:08:33.650 07/11/1995]',0.001,0.019,53.308,0.000,-0.518
'[11:08:33.652 07/11/1995]',0.001,0.018,53.308,0.000,-0.518
'[11:08:33.654 07/11/1995]',0.001,0.017,53.308,0.000,-0.518
'[11:08:33.656 07/11/1995]',0.011,0.018,53.308,0.000,-0.522
'[11:08:33.658 07/11/1995]',0.011,0.018,53.308,0.000,-0.522
'[11:08:33.660 07/11/1995]',0.011,0.018,53.308,0.000,-0.522
'[11:08:33.662 07/11/1995]',0.001,0.018,53.308,0.000,-0.522
'[11:08:33.664 07/11/1995]',0.001,0.018,53.459,0.000,-0.527
'[11:08:33.666 07/11/1995]',0.001,0.018,53.459,0.000,-0.527
'[11:08:33.668 07/11/1995]',0.001,0.018,53.459,0.000,-0.527
'[11:08:33.670 07/11/1995]',0.001,0.018,53.459,0.000,-0.527
'[11:08:33.672 07/11/1995]',0.001,0.018,53.684,0.000,-0.531
'[11:08:33.674 07/11/1995]',0.011,0.018,53.684,0.000,-0.531
'[11:08:33.676 07/11/1995]',0.011,0.018,53.684,0.000,-0.531
'[11:08:33.678 07/11/1995]',0.001,0.018,53.684,0.000,-0.531
'[11:08:33.680 07/11/1995]',0.001,0.018,54.060,0.000,-0.536
'[11:08:33.682 07/11/1995]',0.001,0.018,54.060,0.000,-0.536
'[11:08:33.684 07/11/1995]',0.001,0.018,54.060,0.000,-0.536
'[11:08:33.686 07/11/1995]',0.001,0.018,54.060,0.000,-0.536
'[11:08:33.688 07/11/1995]',0.001,0.018,54.361,0.000,-0.540
'[11:08:33.690 07/11/1995]',0.001,0.018,54.361,0.000,-0.540
'[11:08:33.692 07/11/1995]',0.001,0.018,54.361,0.000,-0.540
'[11:08:33.694 07/11/1995]',0.001,0.018,54.361,0.000,-0.540
