'Time and date','II ','V ','ABP ','PLETH ','RESP '
'[14:20:13.178 26/01/1995]',0.003,-0.155,104.110,-0.501,-0.576
'[14:20:13.180 26/01/1995]',0.003,-0.158,104.110,-0.501,-0.576
'[14:20:13.182 26/01/1995]',0.004,-0.162,104.110,-0.501,-0.576
'[14:20:13.184 26/01/1995]',0.005,-0.166,108.371,-0.474,-0.578
'[14:20:13.186 26/01/1995]',0.006,-0.170,108.371,-0.474,-0.578
'[14:20:13.188 26/01/1995]',0.007,-0.172,108.371,-0.474,-0.578
'[14:20:13.190 26/01/1995]',0.008,-0.173,108.371,-0.474,-0.578
'[14:20:13.192 26/01/1995]',0.007,-0.175,111.930,-0.443,-0.581
'[14:20:13.194 26/01/1995]',0.007,-0.177,111.930,-0.443,-0.581
'[14:20:13.196 26/01/1995]',0.007,-0.177,111.930,-0.443,-0.581
'[14:20:13.198 26/01/1995]',0.007,-0.177,111.930,-0.443,-0.581
'[14:20:13.200 26/01/1995]',0.006,-0.176,114.737,-0.403,-0.583
'[14:20:13.202 26/01/1995]',0.006,-0.175,114.737,-0.403,-0.583
'[14:20:13.204 26/01/1995]',0.005,-0.173,114.737,-0.403,-0.583
'[14:20:13.206 26/01/1995]',0.005,-0.172,114.737,-0.403,-0.583
'[14:20:13.208 26/01/1995]',0.005,-0.170,116.842,-0.355,-0.585
'[14:20:13.210 26/01/1995]',0.005,-0.168,116.842,-0.355,-0.585
'[14:20:13.212 26/01/1995]',0.004,-0.167,116.842,-0.355,-0.585
'[14:20:13.214 26/01/1995]',0.004,-0.165,116.842,-0.355,-0.585
'[14:20:13.216 26/01/1995]',0.003,-0.162,118.446,-0.299,-0.587
'[14:20:13.218 26/01/1995]',0.003,-0.158,118.446,-0.299,-0.587
'[14:20:13.220 26/01/1995]',0.003,-0.155,118.446,-0.299,-0.587
'[14:20:13.222 26/01/1995]',0.003,-0.152,118.446,-0.299,-0.587
'[14:20:13.224 26/01/1995]',0.002,-0.148,119.599,-0.241,-0.588
'[14:20:13.226 26/01/1995]',0.002,-0.145,119.599,-0.241,-0.588
'[14:20:13.228 26/01/1995]',0.000,-0.142,119.599,-0.241,-0.588
'[14:20:13.230 26/01/1995]',-0.001,-0.140,119.599,-0.241,-0.588
'[14:20:13.232 26/01/1995]',-0.003,-0.137,120.551,-0.178,-0.590
'[14:20:13.234 26/01/1995]',-0.005,-0.133,120.551,-0.178,-0.590
'[14:20:13.236 26/01/1995]',-0.006,-0.129,120.551,-0.178,-0.590
'[14:20:13.238 26/01/1995]',-0.008,-0.125,120.551,-0.178,-0.590
'[14:20:13.240 26/01/1995]',-0.010,-0.120,121.253,-0.114,-0.591
'[14:20:13.242 26/01/1995]',-0.011,-0.115,121.253,-0.114,-0.591
'[14:20:13.244 26/01/1995]',-0.013,-0.111,121.253,-0.114,-0.591
'[14:20:13.246 26/01/1995]',-0.015,-0.107,121.253,-0.114,-0.591
'[14:20:13.248 26/01/1995]',-0.017,-0.102,121.754,-0.050,-0.593
'[14:20:13.250 26/01/1995]',-0.018,-0.097,121.754,-0.050,-0.593
'[14:20:13.252 26/01/1995]',-0.020,-0.090,121.754,-0.050,-0.593
'[14:20:13.254 26/01/1995]',-0.021,-0.083,121.754,-0.050,-0.593
'[14:20:13.256 26/01/1995]',-0.022,-0.077,122.206,0.013,-0.594
'[14:20:13.258 26/01/1995]',-0.022,-0.070,122.206,0.013,-0.594
'[14:20:13.260 26/01/1995]',-0.021,-0.063,122.206,0.013,-0.594
'[14:20:13.262 26/01/1995]',-0.020,-0.057,122.206,0.013,-0.594
'[14:20:13.264 26/01/1995]',-0.019,-0.049,122.506,0.073,-0.595
'[14:20:13.266 26/01/1995]',-0.017,-0.042,122.506,0.073,-0.595
'[14:20:13.268 26/01/1995]',-0.015,-0.035,122.506,0.073,-0.595
'[14:20:13.270 26/01/1995]',-0.013,-0.028,122.506,0.073,-0.595
'[14:20:13.272 26/01/1995]',-0.011,-0.021,122.556,0.130,-0.596
'[14:20:13.274 26/01/1995]',-0.008,-0.013,122.556,0.130,-0.596
'[14:20:13.276 26/01/1995]',-0.004,-0.006,122.556,0.130,-0.596
'[14:20:13.278 26/01/1995]',0.000,0.002,122.556,0.130,-0.596
'[14:20:13.280 26/01/1995]',0.004,0.007,122.406,0.180,-0.597
'[14:20:13.282 26/01/1995]',0.009,0.013,122.406,0.180,-0.597
'[14:20:13.284 26/01/1995]',0.011,0.017,122.406,0.180,-0.597
'[14:20:13.286 26/01/1995]',0.014,0.020,122.406,0.180,-0.597
'[14:20:13.288 26/01/1995]',0.014,0.022,122.105,0.229,-0.598
'[14:20:13.290 26/01/1995]',0.014,0.023,122.105,0.229,-0.598
'[14:20:13.292 26/01/1995]',0.013,0.024,122.105,0.229,-0.598
'[14:20:13.294 26/01/1995]',0.012,0.025,122.105,0.229,-0.598
'[14:20:13.296 26/01/1995]',0.011,0.024,121.554,0.271,-0.598
'[14:20:13.298 26/01/1995]',0.009,0.023,121.554,0.271,-0.598
'[14:20:13.300 26/01/1995]',0.006,0.023,121.554,0.271,-0.598
'[14:20:13.302 26/01/1995]',0.003,0.023,121.554,0.271,-0.598
'[14:20:13.304 26/01/1995]',0.000,0.023,120.852,0.311,-0.598
'[14:20:13.306 26/01/1995]',-0.003,0.023,120.852,0.311,-0.598
'[14:20:13.308 26/01/1995]',-0.005,0.023,120.852,0.311,-0.598
'[14:20:13.310 26/01/1995]',-0.008,0.023,120.852,0.311,-0.598
'[14:20:13.312 26/01/1995]',-0.010,0.023,119.900,0.345,-0.598
'[14:20:13.314 26/01/1995]',-0.012,0.023,119.900,0.345,-0.598
'[14:20:13.316 26/01/1995]',-0.013,0.023,119.900,0.345,-0.598
'[14:20:13.318 26/01/1995]',-0.014,0.023,119.900,0.345,-0.598
'[14:20:13.320 26/01/1995]',-0.014,0.023,118.797,0.375,-0.598
'[14:20:13.322 26/01/1995]',-0.014,0.023,118.797,0.375,-0.598
'[14:20:13.324 26/01/1995]',-0.014,0.023,118.797,0.375,-0.598
'[14:20:13.326 26/01/1995]',-0.014,0.023,118.797,0.375,-0.598
'[14:20:13.328 26/01/1995]',-0.015,0.023,117.494,0.403,-0.598
'[14:20:13.330 26/01/1995]',-0.015,0.023,117.494,0.403,-0.598
'[14:20:13.332 26/01/1995]',-0.017,0.023,117.494,0.403,-0.598
'[14:20:13.334 26/01/1995]',-0.018,0.023,117.494,0.403,-0.598
'[14:20:13.336 26/01/1995]',-0.020,0.023,116.090,0.424,-0.598
'[14:20:13.338 26/01/1995]',-0.022,0.023,116.090,0.424,-0.598
'[14:20:13.340 26/01/1995]',-0.024,0.023,116.090,0.424,-0.598
'[14:20:13.342 26/01/1995]',-0.026,0.023,116.090,0.424,-0.598
'[14:20:13.344 26/01/1995]',-0.028,0.023,114.536,0.444,-0.598
'[14:20:13.346 26/01/1995]',-0.030,0.023,114.536,0.444,-0.598
'[14:20:13.348 26/01/1995]',-0.031,0.023,114.536,0.444,-0.598
'[14:20:13.350 26/01/1995]',-0.032,0.023,114.536,0.444,-0.598
'[14:20:13.352 26/01/1995]',-0.033,0.023,112.932,0.459,-0.598
'[14:20:13.354 26/01/1995]',-0.034,0.023,112.932,0.459,-0.598
'[14:20:13.356 26/01/1995]',-0.034,0.023,112.932,0.459,-0.598
'[14:20:13.358 26/01/1995]',-0.034,0.023,112.932,0.459,-0.598
'[14:20:13.360 26/01/1995]',-0.035,0.023,111.128,0.469,-0.598
'[14:20:13.362 26/01/1995]',-0.035,0.023,111.128,0.469,-0.598
'[14:20:13.364 26/01/1995]',-0.035,0.023,111.128,0.469,-0.598
'[14:20:13.366 26/01/1995]',-0.035,0.023,111.128,0.469,-0.598
'[14:20:13.368 26/01/1995]',-0.034,0.023,109.223,0.475,-0.597
'[14:20:13.370 26/01/1995]',-0.034,0.023,109.223,0.475,-0.597
'[14:20:13.372 26/01/1995]',-0.032,0.023,109.223,0.475,-0.597
'[14:20:13.374 26/01/1995]',-0.030,0.023,109.223,0.475,-0.597
'[14:20:13.376 26/01/1995]',-0.028,0.023,107.018,0.478,-0.596
'[14:20:13.378 26/01/1995]',-0.027,0.023,107.018,0.478,-0.596
'[14:20:13.380 26/01/1995]',-0.026,0.023,107.018,0.478,-0.596
'[14:20:13.382 26/01/1995]',-0.026,0.023,107.018,0.478,-0.596
'[14:20:13.384 26/01/1995]',-0.025,0.023,104.612,0.476,-0.595
'[14:20:13.386 26/01/1995]',-0.025,0.023,104.612,0.476,-0.595
'[14:20:13.388 26/01/1995]',-0.027,0.023,104.612,0.476,-0.595
'[14:20:13.390 26/01/1995]',-0.029,0.023,104.612,0.476,-0.595
'[14:20:13.392 26/01/1995]',-0.030,0.023,102.005,0.472,-0.594
'[14:20:13.394 26/01/1995]',-0.031,0.023,102.005,0.472,-0.594
'[14:20:13.396 26/01/1995]',-0.030,0.023,102.005,0.472,-0.594
'[14:20:13.398 26/01/1995]',-0.030,0.023,102.005,0.472,-0.594
'[14:20:13.400 26/01/1995]',-0.028,0.023,99.148,0.464,-0.593
'[14:20:13.402 26/01/1995]',-0.026,0.023,99.148,0.464,-0.593
'[14:20:13.404 26/01/1995]',-0.023,0.023,99.148,0.464,-0.593
'[14:20:13.406 26/01/1995]',-0.020,0.023,99.148,0.464,-0.593
'[14:20:13.408 26/01/1995]',-0.016,0.023,96.241,0.453,-0.593
'[14:20:13.410 26/01/1995]',-0.012,0.023,96.241,0.453,-0.593
'[14:20:13.412 26/01/1995]',-0.008,0.023,96.241,0.453,-0.593
'[14:20:13.414 26/01/1995]',-0.003,0.023,96.241,0.453,-0.593
'[14:20:13.416 26/01/1995]',0.000,0.023,93.333,0.437,-0.592
'[14:20:13.418 26/01/1995]',0.004,0.023,93.333,0.437,-0.592
'[14:20:13.420 26/01/1995]',0.003,0.023,93.333,0.437,-0.592
'[14:20:13.422 26/01/1995]',0.003,0.023,93.333,0.437,-0.592
'[14:20:13.424 26/01/1995]',0.000,0.023,90.727,0.419,-0.591
'[14:20:13.426 26/01/1995]',-0.002,0.023,90.727,0.419,-0.591
'[14:20:13.428 26/01/1995]',-0.006,0.023,90.727,0.419,-0.591
'[14:20:13.430 26/01/1995]',-0.010,0.023,90.727,0.419,-0.591
'[14:20:13.432 26/01/1995]',-0.014,0.023,88.371,0.397,-0.590
'[14:20:13.434 26/01/1995]',-0.018,0.023,88.371,0.397,-0.590
'[14:20:13.436 26/01/1995]',-0.020,0.023,88.371,0.397,-0.590
'[14:20:13.438 26/01/1995]',-0.022,0.023,88.371,0.397,-0.590
'[14:20:13.440 26/01/1995]',-0.022,0.023,86.366,0.372,-0.589
'[14:20:13.442 26/01/1995]',-0.021,0.023,86.366,0.372,-0.589
'[14:20:13.444 26/01/1995]',-0.019,0.023,86.366,0.372,-0.589
'[14:20:13.446 26/01/1995]',-0.017,0.023,86.366,0.372,-0.589
'[14:20:13.448 26/01/1995]',-0.015,0.023,84.762,0.344,-0.587
'[14:20:13.450 26/01/1995]',-0.012,0.023,84.762,0.344,-0.587
'[14:20:13.452 26/01/1995]',-0.010,0.023,84.762,0.344,-0.587
'[14:20:13.454 26/01/1995]',-0.007,0.023,84.762,0.344,-0.587
'[14:20:13.456 26/01/1995]',-0.005,0.023,83.409,0.312,-0.586
'[14:20:13.458 26/01/1995]',-0.003,0.023,83.409,0.312,-0.586
'[14:20:13.460 26/01/1995]',-0.002,0.023,83.409,0.312,-0.586
'[14:20:13.462 26/01/1995]',-0.001,0.023,83.409,0.312,-0.586
'[14:20:13.464 26/01/1995]',-0.000,0.023,82.406,0.280,-0.584
'[14:20:13.466 26/01/1995]',0.000,0.023,82.406,0.280,-0.584
'[14:20:13.468 26/01/1995]',0.000,0.023,82.406,0.280,-0.584
'[14:20:13.470 26/01/1995]',0.000,0.023,82.406,0.280,-0.584
'[14:20:13.472 26/01/1995]',0.000,0.023,81.604,0.242,-0.583
'[14:20:13.474 26/01/1995]',0.001,0.023,81.604,0.242,-0.583
'[14:20:13.476 26/01/1995]',0.002,0.023,81.604,0.242,-0.583
'[14:20:13.478 26/01/1995]',0.003,0.023,81.604,0.242,-0.583
'[14:20:13.480 26/01/1995]',0.003,0.023,81.003,0.205,-0.581
'[14:20:13.482 26/01/1995]',0.003,0.023,81.003,0.205,-0.581
'[14:20:13.484 26/01/1995]',0.002,0.023,81.003,0.205,-0.581
'[14:20:13.486 26/01/1995]',0.002,0.023,81.003,0.205,-0.581
'[14:20:13.488 26/01/1995]',0.001,0.023,80.501,0.167,-0.580
'[14:20:13.490 26/01/1995]',0.001,0.023,80.501,0.167,-0.580
'[14:20:13.492 26/01/1995]',0.001,0.023,80.501,0.167,-0.580
'[14:20:13.494 26/01/1995]',0.002,0.023,80.501,0.167,-0.580
'[14:20:13.496 26/01/1995]',0.003,0.023,80.150,0.129,-0.579
'[14:20:13.498 26/01/1995]',0.004,0.023,80.150,0.129,-0.579
'[14:20:13.500 26/01/1995]',0.005,0.023,80.150,0.129,-0.579
'[14:20:13.502 26/01/1995]',0.006,0.023,80.150,0.129,-0.579
'[14:20:13.504 26/01/1995]',0.007,0.023,79.850,0.089,-0.578
'[14:20:13.506 26/01/1995]',0.009,0.023,79.850,0.089,-0.578
'[14:20:13.508 26/01/1995]',0.009,0.023,79.850,0.089,-0.578
'[14:20:13.510 26/01/1995]',0.009,0.023,79.850,0.089,-0.578
'[14:20:13.512 26/01/1995]',0.009,0.023,79.549,0.052,-0.577
'[14:20:13.514 26/01/1995]',0.009,0.023,79.549,0.052,-0.577
'[14:20:13.516 26/01/1995]',0.009,0.023,79.549,0.052,-0.577
'[14:20:13.518 26/01/1995]',0.009,0.023,79.549,0.052,-0.577
'[14:20:13.520 26/01/1995]',0.009,0.023,79.198,0.017,-0.576
'[14:20:13.522 26/01/1995]',0.009,0.023,79.198,0.017,-0.576
'[14:20:13.524 26/01/1995]',0.009,0.023,79.198,0.017,-0.576
'[14:20:13.526 26/01/1995]',0.009,0.023,79.198,0.017,-0.576
'[14:20:13.528 26/01/1995]',0.009,0.023,78.847,-0.018,-0.575
'[14:20:13.530 26/01/1995]',0.009,0.023,78.847,-0.018,-0.575
'[14:20:13.532 26/01/1995]',0.009,0.023,78.847,-0.018,-0.575
'[14:20:13.534 26/01/1995]',0.010,0.023,78.847,-0.018,-0.575
'[14:20:13.536 26/01/1995]',0.010,0.023,78.496,-0.051,-0.574
'[14:20:13.538 26/01/1995]',0.011,0.023,78.496,-0.051,-0.574
'[14:20:13.540 26/01/1995]',0.010,0.023,78.496,-0.051,-0.574
'[14:20:13.542 26/01/1995]',0.010,0.023,78.496,-0.051,-0.574
'[14:20:13.544 26/01/1995]',0.009,0.023,78.145,-0.082,-0.573
'[14:20:13.546 26/01/1995]',0.008,0.023,78.145,-0.082,-0.573
'[14:20:13.548 26/01/1995]',0.006,0.023,78.145,-0.082,-0.573
'[14:20:13.550 26/01/1995]',0.005,0.023,78.145,-0.082,-0.573
'[14:20:13.552 26/01/1995]',0.005,0.024,77.794,-0.110,-0.572
'[14:20:13.554 26/01/1995]',0.006,0.025,77.794,-0.110,-0.572
'[14:20:13.556 26/01/1995]',0.009,0.027,77.794,-0.110,-0.572
'[14:20:13.558 26/01/1995]',0.011,0.028,77.794,-0.110,-0.572
'[14:20:13.560 26/01/1995]',0.019,0.031,77.293,-0.134,-0.571
'[14:20:13.562 26/01/1995]',0.026,0.033,77.293,-0.134,-0.571
'[14:20:13.564 26/01/1995]',0.037,0.036,77.293,-0.134,-0.571
'[14:20:13.566 26/01/1995]',0.049,0.038,77.293,-0.134,-0.571
'[14:20:13.568 26/01/1995]',0.061,0.044,76.842,-0.159,-0.570
'[14:20:13.570 26/01/1995]',0.074,0.050,76.842,-0.159,-0.570
'[14:20:13.572 26/01/1995]',0.086,0.056,76.842,-0.159,-0.570
'[14:20:13.574 26/01/1995]',0.099,0.062,76.842,-0.159,-0.570
'[14:20:13.576 26/01/1995]',0.109,0.065,76.291,-0.181,-0.569
'[14:20:13.578 26/01/1995]',0.119,0.068,76.291,-0.181,-0.569
'[14:20:13.580 26/01/1995]',0.125,0.071,76.291,-0.181,-0.569
'[14:20:13.582 26/01/1995]',0.131,0.073,76.291,-0.181,-0.569
'[14:20:13.584 26/01/1995]',0.135,0.076,75.739,-0.201,-0.568
'[14:20:13.586 26/01/1995]',0.138,0.078,75.739,-0.201,-0.568
'[14:20:13.588 26/01/1995]',0.139,0.079,75.739,-0.201,-0.568
'[14:20:13.590 26/01/1995]',0.141,0.080,75.739,-0.201,-0.568
'[14:20:13.592 26/01/1995]',0.143,0.078,75.088,-0.222,-0.567
'[14:20:13.594 26/01/1995]',0.145,0.077,75.088,-0.222,-0.567
'[14:20:13.596 26/01/1995]',0.146,0.073,75.088,-0.222,-0.567
'[14:20:13.598 26/01/1995]',0.148,0.070,75.088,-0.222,-0.567
'[14:20:13.600 26/01/1995]',0.149,0.064,74.486,-0.238,-0.566
'[14:20:13.602 26/01/1995]',0.150,0.058,74.486,-0.238,-0.566
'[14:20:13.604 26/01/1995]',0.149,0.052,74.486,-0.238,-0.566
'[14:20:13.606 26/01/1995]',0.148,0.045,74.486,-0.238,-0.566
'[14:20:13.608 26/01/1995]',0.146,0.040,73.985,-0.255,-0.565
'[14:20:13.610 26/01/1995]',0.143,0.035,73.985,-0.255,-0.565
'[14:20:13.612 26/01/1995]',0.139,0.032,73.985,-0.255,-0.565
'[14:20:13.614 26/01/1995]',0.135,0.028,73.985,-0.255,-0.565
'[14:20:13.616 26/01/1995]',0.131,0.026,73.434,-0.271,-0.564
'[14:20:13.618 26/01/1995]',0.126,0.023,73.434,-0.271,-0.564
'[14:20:13.620 26/01/1995]',0.121,0.023,73.434,-0.271,-0.564
'[14:20:13.622 26/01/1995]',0.116,0.023,73.434,-0.271,-0.564
'[14:20:13.624 26/01/1995]',0.109,0.023,72.882,-0.287,-0.563
'[14:20:13.626 26/01/1995]',0.102,0.023,72.882,-0.287,-0.563
'[14:20:13.628 26/01/1995]',0.094,0.023,72.882,-0.287,-0.563
'[14:20:13.630 26/01/1995]',0.086,0.023,72.882,-0.287,-0.563
'[14:20:13.632 26/01/1995]',0.078,0.023,72.381,-0.300,-0.562
'[14:20:13.634 26/01/1995]',0.070,0.023,72.381,-0.300,-0.562
'[14:20:13.636 26/01/1995]',0.060,0.023,72.381,-0.300,-0.562
'[14:20:13.638 26/01/1995]',0.051,0.023,72.381,-0.300,-0.562
'[14:20:13.640 26/01/1995]',0.040,0.023,71.830,-0.312,-0.561
'[14:20:13.642 26/01/1995]',0.030,0.023,71.830,-0.312,-0.561
'[14:20:13.644 26/01/1995]',0.020,0.023,71.830,-0.312,-0.561
'[14:20:13.646 26/01/1995]',0.011,0.023,71.830,-0.312,-0.561
'[14:20:13.648 26/01/1995]',0.003,0.023,71.328,-0.324,-0.560
'[14:20:13.650 26/01/1995]',-0.005,0.023,71.328,-0.324,-0.560
'[14:20:13.652 26/01/1995]',-0.012,0.023,71.328,-0.324,-0.560
'[14:20:13.654 26/01/1995]',-0.020,0.023,71.328,-0.324,-0.560
'[14:20:13.656 26/01/1995]',-0.027,0.023,70.777,-0.337,-0.558
'[14:20:13.658 26/01/1995]',-0.034,0.023,70.777,-0.337,-0.558
'[14:20:13.660 26/01/1995]',-0.038,0.023,70.777,-0.337,-0.558
'[14:20:13.662 26/01/1995]',-0.043,0.023,70.777,-0.337,-0.558
'[14:20:13.664 26/01/1995]',-0.048,0.023,70.276,-0.346,-0.557
'[14:20:13.666 26/01/1995]',-0.053,0.023,70.276,-0.346,-0.557
'[14:20:13.668 26/01/1995]',-0.056,0.023,70.276,-0.346,-0.557
'[14:20:13.670 26/01/1995]',-0.059,0.023,70.276,-0.346,-0.557
'[14:20:13.672 26/01/1995]',-0.062,0.023,69.774,-0.358,-0.555
'[14:20:13.674 26/01/1995]',-0.064,0.023,69.774,-0.358,-0.555
'[14:20:13.676 26/01/1995]',-0.066,0.023,69.774,-0.358,-0.555
'[14:20:13.678 26/01/1995]',-0.068,0.023,69.774,-0.358,-0.555
'[14:20:13.680 26/01/1995]',-0.069,0.023,69.323,-0.366,-0.554
'[14:20:13.682 26/01/1995]',-0.070,0.023,69.323,-0.366,-0.554
