'Time and date','II ','V ','PLETH ','RESP '
'[08:22:12.068 24/01/1995]',-0.030,0.003,0.339,1.024
'[08:22:12.070 24/01/1995]',-0.030,0.003,0.339,1.024
'[08:22:12.072 24/01/1995]',-0.062,0.003,0.294,1.024
'[08:22:12.074 24/01/1995]',-0.062,0.003,0.294,1.024
'[08:22:12.076 24/01/1995]',-0.062,0.003,0.294,1.024
'[08:22:12.078 24/01/1995]',-0.062,0.003,0.294,1.024
'[08:22:12.080 24/01/1995]',-0.062,0.003,0.256,1.024
'[08:22:12.082 24/01/1995]',-0.062,0.003,0.256,1.024
'[08:22:12.084 24/01/1995]',-0.095,0.035,0.256,1.024
'[08:22:12.086 24/01/1995]',-0.095,0.035,0.256,1.024
'[08:22:12.088 24/01/1995]',-0.095,0.035,0.211,1.024
'[08:22:12.090 24/01/1995]',-0.128,0.035,0.211,1.024
'[08:22:12.092 24/01/1995]',-0.095,0.035,0.211,1.024
'[08:22:12.094 24/01/1995]',-0.095,0.035,0.211,1.024
'[08:22:12.096 24/01/1995]',-0.062,0.003,0.167,1.024
'[08:22:12.098 24/01/1995]',-0.062,0.003,0.167,1.024
'[08:22:12.100 24/01/1995]',-0.062,0.003,0.167,1.024
'[08:22:12.102 24/01/1995]',-0.095,0.003,0.167,1.024
'[08:22:12.104 24/01/1995]',-0.062,0.003,0.135,1.024
'[08:22:12.106 24/01/1995]',-0.062,0.003,0.135,1.024
'[08:22:12.108 24/01/1995]',-0.062,0.003,0.135,1.024
'[08:22:12.110 24/01/1995]',-0.062,0.003,0.135,1.024
'[08:22:12.112 24/01/1995]',-0.062,0.003,0.102,1.024
'[08:22:12.114 24/01/1995]',-0.095,0.003,0.102,1.024
'[08:22:12.116 24/01/1995]',-0.095,0.003,0.102,1.024
'[08:22:12.118 24/01/1995]',-0.095,0.003,0.102,1.024
'[08:22:12.120 24/01/1995]',-0.062,0.003,0.064,1.024
'[08:22:12.122 24/01/1995]',-0.062,0.003,0.064,1.024
'[08:22:12.124 24/01/1995]',-0.062,0.003,0.064,1.024
'[08:22:12.126 24/01/1995]',-0.095,0.003,0.064,1.024
'[08:22:12.128 24/01/1995]',-0.095,0.003,0.038,1.024
'[08:22:12.130 24/01/1995]',-0.095,0.003,0.038,1.024
'[08:22:12.132 24/01/1995]',-0.062,0.035,0.038,1.024
'[08:22:12.134 24/01/1995]',-0.062,0.035,0.038,1.024
'[08:22:12.136 24/01/1995]',-0.030,0.035,0.013,1.024
'[08:22:12.138 24/01/1995]',-0.030,0.035,0.013,1.024
'[08:22:12.140 24/01/1995]',-0.030,0.068,0.013,1.024
'[08:22:12.142 24/01/1995]',0.003,0.102,0.013,1.024
'[08:22:12.144 24/01/1995]',0.003,0.102,-0.013,1.024
'[08:22:12.146 24/01/1995]',0.034,0.102,-0.013,1.024
'[08:22:12.148 24/01/1995]',0.099,0.102,-0.013,1.024
'[08:22:12.150 24/01/1995]',0.165,0.102,-0.013,1.024
'[08:22:12.152 24/01/1995]',0.230,0.068,-0.025,1.024
'[08:22:12.154 24/01/1995]',0.328,0.035,-0.025,1.024
'[08:22:12.156 24/01/1995]',0.426,0.003,-0.025,1.024
'[08:22:12.158 24/01/1995]',0.522,-0.064,-0.025,1.024
'[08:22:12.160 24/01/1995]',0.620,-0.131,-0.044,1.024
'[08:22:12.162 24/01/1995]',0.620,-0.164,-0.044,1.024
'[08:22:12.164 24/01/1995]',0.620,-0.198,-0.044,1.024
'[08:22:12.166 24/01/1995]',0.522,-0.231,-0.044,1.024
'[08:22:12.168 24/01/1995]',0.361,-0.231,-0.058,1.024
'[08:22:12.170 24/01/1995]',0.230,-0.231,-0.058,1.024
'[08:22:12.172 24/01/1995]',0.099,-0.231,-0.058,1.024
'[08:22:12.174 24/01/1995]',0.034,-0.231,-0.058,1.024
'[08:22:12.176 24/01/1995]',0.003,-0.231,-0.076,1.024
'[08:22:12.178 24/01/1995]',0.003,-0.231,-0.076,1.024
'[08:22:12.180 24/01/1995]',-0.030,-0.231,-0.076,1.024
'[08:22:12.182 24/01/1995]',-0.095,-0.164,-0.076,1.024
'[08:22:12.184 24/01/1995]',-0.193,-0.131,-0.089,1.024
'[08:22:12.186 24/01/1995]',-0.258,-0.064,-0.089,1.024
'[08:22:12.188 24/01/1995]',-0.323,-0.030,-0.089,1.024
'[08:22:12.190 24/01/1995]',-0.323,0.003,-0.089,1.024
'[08:22:12.192 24/01/1995]',-0.323,0.003,-0.108,1.024
'[08:22:12.194 24/01/1995]',-0.323,0.003,-0.108,1.024
'[08:22:12.196 24/01/1995]',-0.291,0.003,-0.108,1.024
'[08:22:12.198 24/01/1995]',-0.226,0.035,-0.108,1.024
'[08:22:12.200 24/01/1995]',-0.193,0.003,-0.121,1.024
'[08:22:12.202 24/01/1995]',-0.128,0.003,-0.121,1.024
'[08:22:12.204 24/01/1995]',-0.095,0.003,-0.121,1.024
'[08:22:12.206 24/01/1995]',-0.062,0.003,-0.121,1.024
'[08:22:12.208 24/01/1995]',-0.062,0.003,-0.134,1.024
'[08:22:12.210 24/01/1995]',-0.030,0.003,-0.134,1.024
'[08:22:12.212 24/01/1995]',-0.030,0.003,-0.134,1.024
'[08:22:12.214 24/01/1995]',-0.030,0.003,-0.134,1.024
'[08:22:12.216 24/01/1995]',-0.030,0.003,-0.147,1.024
'[08:22:12.218 24/01/1995]',-0.062,0.003,-0.147,1.024
'[08:22:12.220 24/01/1995]',-0.062,0.003,-0.147,1.024
'[08:22:12.222 24/01/1995]',-0.095,0.003,-0.147,1.024
'[08:22:12.224 24/01/1995]',-0.062,0.003,-0.196,1.024
'[08:22:12.226 24/01/1995]',-0.095,0.003,-0.196,1.024
'[08:22:12.228 24/01/1995]',-0.095,0.003,-0.196,1.024
'[08:22:12.230 24/01/1995]',-0.095,0.003,-0.196,1.024
'[08:22:12.232 24/01/1995]',-0.095,0.003,-0.208,1.024
'[08:22:12.234 24/01/1995]',-0.095,0.003,-0.208,1.024
'[08:22:12.236 24/01/1995]',-0.095,0.003,-0.208,1.024
'[08:22:12.238 24/01/1995]',-0.095,0.003,-0.208,1.024
'[08:22:12.240 24/01/1995]',-0.095,0.003,-0.214,1.024
'[08:22:12.242 24/01/1995]',-0.095,0.003,-0.214,1.024
'[08:22:12.244 24/01/1995]',-0.095,0.003,-0.214,1.024
'[08:22:12.246 24/01/1995]',-0.095,0.003,-0.214,1.024
'[08:22:12.248 24/01/1995]',-0.062,0.003,-0.221,1.024
'[08:22:12.250 24/01/1995]',-0.095,0.035,-0.221,1.024
'[08:22:12.252 24/01/1995]',-0.095,0.035,-0.221,1.024
'[08:22:12.254 24/01/1995]',-0.095,0.035,-0.221,1.024
'[08:22:12.256 24/01/1995]',-0.095,0.035,-0.227,1.024
'[08:22:12.258 24/01/1995]',-0.128,0.035,-0.227,1.024
'[08:22:12.260 24/01/1995]',-0.128,0.035,-0.227,1.024
'[08:22:12.262 24/01/1995]',-0.128,0.035,-0.227,1.024
'[08:22:12.264 24/01/1995]',-0.128,0.035,-0.246,1.024
'[08:22:12.266 24/01/1995]',-0.095,0.035,-0.246,1.024
'[08:22:12.268 24/01/1995]',-0.095,0.035,-0.246,1.024
'[08:22:12.270 24/01/1995]',-0.128,0.035,-0.246,1.024
'[08:22:12.272 24/01/1995]',-0.128,0.035,-0.253,1.024
'[08:22:12.274 24/01/1995]',-0.128,0.035,-0.253,1.024
'[08:22:12.276 24/01/1995]',-0.160,0.035,-0.253,1.024
'[08:22:12.278 24/01/1995]',-0.128,0.035,-0.253,1.024
'[08:22:12.280 24/01/1995]',-0.128,0.035,-0.265,1.024
'[08:22:12.282 24/01/1995]',-0.128,0.035,-0.265,1.024
'[08:22:12.284 24/01/1995]',-0.095,0.035,-0.265,1.024
'[08:22:12.286 24/01/1995]',-0.095,0.035,-0.265,1.024
'[08:22:12.288 24/01/1995]',-0.095,0.035,-0.265,1.024
'[08:22:12.290 24/01/1995]',-0.095,0.035,-0.265,1.024
'[08:22:12.292 24/01/1995]',-0.095,0.003,-0.265,1.024
'[08:22:12.294 24/01/1995]',-0.095,0.035,-0.265,1.024
'[08:22:12.296 24/01/1995]',-0.095,0.035,-0.278,1.024
'[08:22:12.298 24/01/1995]',-0.095,0.035,-0.278,1.024
'[08:22:12.300 24/01/1995]',-0.095,0.035,-0.278,1.024
'[08:22:12.302 24/01/1995]',-0.095,0.035,-0.278,1.024
'[08:22:12.304 24/01/1995]',-0.095,0.035,-0.290,1.024
'[08:22:12.306 24/01/1995]',-0.062,0.035,-0.290,1.024
'[08:22:12.308 24/01/1995]',-0.062,0.035,-0.290,1.024
'[08:22:12.310 24/01/1995]',-0.062,0.003,-0.290,1.024
'[08:22:12.312 24/01/1995]',-0.030,0.035,-0.303,1.024
'[08:22:12.314 24/01/1995]',-0.062,0.035,-0.303,1.024
'[08:22:12.316 24/01/1995]',-0.062,0.035,-0.303,1.024
'[08:22:12.318 24/01/1995]',-0.030,0.035,-0.303,1.024
'[08:22:12.320 24/01/1995]',-0.030,0.035,-0.303,1.024
'[08:22:12.322 24/01/1995]',-0.030,0.035,-0.303,1.024
'[08:22:12.324 24/01/1995]',0.003,0.035,-0.303,1.024
'[08:22:12.326 24/01/1995]',0.003,0.035,-0.303,1.024
'[08:22:12.328 24/01/1995]',0.003,0.035,-0.316,1.024
'[08:22:12.330 24/01/1995]',0.003,0.035,-0.316,1.024
'[08:22:12.332 24/01/1995]',0.003,0.003,-0.316,1.024
'[08:22:12.334 24/01/1995]',0.034,0.035,-0.316,1.024
'[08:22:12.336 24/01/1995]',0.034,0.035,-0.328,1.024
'[08:22:12.338 24/01/1995]',0.034,0.035,-0.328,1.024
'[08:22:12.340 24/01/1995]',0.067,0.003,-0.328,1.024
'[08:22:12.342 24/01/1995]',0.067,0.003,-0.328,1.024
'[08:22:12.344 24/01/1995]',0.067,0.035,-0.341,1.024
'[08:22:12.346 24/01/1995]',0.099,0.003,-0.341,1.024
'[08:22:12.348 24/01/1995]',0.099,0.003,-0.341,1.024
'[08:22:12.350 24/01/1995]',0.132,0.003,-0.341,1.024
'[08:22:12.352 24/01/1995]',0.132,0.003,-0.341,1.010
'[08:22:12.354 24/01/1995]',0.165,0.003,-0.341,1.010
'[08:22:12.356 24/01/1995]',0.165,0.003,-0.341,1.010
'[08:22:12.358 24/01/1995]',0.165,0.003,-0.341,1.010
'[08:22:12.360 24/01/1995]',0.197,0.003,-0.353,0.991
'[08:22:12.362 24/01/1995]',0.197,0.003,-0.353,0.991
'[08:22:12.364 24/01/1995]',0.197,0.003,-0.353,0.991
'[08:22:12.366 24/01/1995]',0.230,0.003,-0.353,0.991
'[08:22:12.368 24/01/1995]',0.230,0.003,-0.359,0.972
'[08:22:12.370 24/01/1995]',0.263,-0.030,-0.359,0.972
'[08:22:12.372 24/01/1995]',0.295,-0.030,-0.359,0.972
'[08:22:12.374 24/01/1995]',0.295,-0.030,-0.359,0.972
'[08:22:12.376 24/01/1995]',0.295,-0.030,-0.366,0.953
'[08:22:12.378 24/01/1995]',0.295,-0.064,-0.366,0.953
'[08:22:12.380 24/01/1995]',0.328,-0.064,-0.366,0.953
'[08:22:12.382 24/01/1995]',0.328,-0.064,-0.366,0.953
'[08:22:12.384 24/01/1995]',0.295,-0.064,-0.353,0.933
'[08:22:12.386 24/01/1995]',0.295,-0.030,-0.353,0.933
'[08:22:12.388 24/01/1995]',0.295,-0.030,-0.353,0.933
'[08:22:12.390 24/01/1995]',0.263,-0.030,-0.353,0.933
'[08:22:12.392 24/01/1995]',0.263,-0.030,-0.353,0.911
'[08:22:12.394 24/01/1995]',0.263,-0.030,-0.353,0.911
'[08:22:12.396 24/01/1995]',0.230,-0.030,-0.353,0.911
'[08:22:12.398 24/01/1995]',0.230,-0.030,-0.353,0.911
'[08:22:12.400 24/01/1995]',0.197,-0.030,-0.341,0.888
'[08:22:12.402 24/01/1995]',0.197,-0.030,-0.341,0.888
'[08:22:12.404 24/01/1995]',0.165,-0.030,-0.341,0.888
'[08:22:12.406 24/01/1995]',0.132,-0.030,-0.341,0.888
'[08:22:12.408 24/01/1995]',0.099,-0.030,-0.303,0.865
'[08:22:12.410 24/01/1995]',0.099,0.003,-0.303,0.865
'[08:22:12.412 24/01/1995]',0.099,0.003,-0.303,0.865
'[08:22:12.414 24/01/1995]',0.099,0.003,-0.303,0.865
'[08:22:12.416 24/01/1995]',0.067,0.003,-0.272,0.840
'[08:22:12.418 24/01/1995]',0.067,0.003,-0.272,0.840
'[08:22:12.420 24/01/1995]',0.034,0.003,-0.272,0.840
'[08:22:12.422 24/01/1995]',0.034,0.003,-0.272,0.840
'[08:22:12.424 24/01/1995]',0.003,0.003,-0.221,0.815
'[08:22:12.426 24/01/1995]',0.003,0.003,-0.221,0.815
'[08:22:12.428 24/01/1995]',0.003,0.003,-0.221,0.815
'[08:22:12.430 24/01/1995]',-0.030,0.003,-0.221,0.815
'[08:22:12.432 24/01/1995]',-0.030,0.003,-0.158,0.789
'[08:22:12.434 24/01/1995]',-0.030,0.003,-0.158,0.789
'[08:22:12.436 24/01/1995]',-0.030,0.003,-0.158,0.789
'[08:22:12.438 24/01/1995]',-0.030,0.003,-0.158,0.789
'[08:22:12.440 24/01/1995]',-0.062,0.003,-0.088,0.764
'[08:22:12.442 24/01/1995]',-0.062,0.003,-0.088,0.764
'[08:22:12.444 24/01/1995]',-0.095,0.003,-0.088,0.764
'[08:22:12.446 24/01/1995]',-0.095,0.003,-0.088,0.764
'[08:22:12.448 24/01/1995]',-0.095,0.003,-0.006,0.741
'[08:22:12.450 24/01/1995]',-0.095,0.003,-0.006,0.741
'[08:22:12.452 24/01/1995]',-0.128,0.003,-0.006,0.741
'[08:22:12.454 24/01/1995]',-0.128,0.003,-0.006,0.741
'[08:22:12.456 24/01/1995]',-0.128,0.003,0.076,0.719
'[08:22:12.458 24/01/1995]',-0.128,0.003,0.076,0.719
'[08:22:12.460 24/01/1995]',-0.128,0.003,0.076,0.719
'[08:22:12.462 24/01/1995]',-0.160,0.003,0.076,0.719
'[08:22:12.464 24/01/1995]',-0.128,0.003,0.151,0.698
'[08:22:12.466 24/01/1995]',-0.128,0.003,0.151,0.698
'[08:22:12.468 24/01/1995]',-0.128,0.003,0.151,0.698
'[08:22:12.470 24/01/1995]',-0.128,0.003,0.151,0.698
'[08:22:12.472 24/01/1995]',-0.128,0.003,0.234,0.678
'[08:22:12.474 24/01/1995]',-0.128,0.003,0.234,0.678
'[08:22:12.476 24/01/1995]',-0.128,0.003,0.234,0.678
'[08:22:12.478 24/01/1995]',-0.128,0.003,0.234,0.678
'[08:22:12.480 24/01/1995]',-0.128,0.003,0.303,0.660
'[08:22:12.482 24/01/1995]',-0.128,0.003,0.303,0.660
'[08:22:12.484 24/01/1995]',-0.128,0.003,0.303,0.660
'[08:22:12.486 24/01/1995]',-0.128,0.003,0.303,0.660
'[08:22:12.488 24/01/1995]',-0.128,0.003,0.366,0.643
'[08:22:12.490 24/01/1995]',-0.095,0.003,0.366,0.643
'[08:22:12.492 24/01/1995]',-0.128,0.003,0.366,0.643
'[08:22:12.494 24/01/1995]',-0.128,0.003,0.366,0.643
'[08:22:12.496 24/01/1995]',-0.128,0.003,0.417,0.628
'[08:22:12.498 24/01/1995]',-0.095,0.003,0.417,0.628
'[08:22:12.500 24/01/1995]',-0.128,0.003,0.417,0.628
'[08:22:12.502 24/01/1995]',-0.095,0.003,0.417,0.628
'[08:22:12.504 24/01/1995]',-0.095,0.003,0.455,0.613
'[08:22:12.506 24/01/1995]',-0.095,0.003,0.455,0.613
'[08:22:12.508 24/01/1995]',-0.095,0.003,0.455,0.613
'[08:22:12.510 24/01/1995]',-0.095,0.003,0.455,0.613
'[08:22:12.512 24/01/1995]',-0.095,0.003,0.492,0.599
'[08:22:12.514 24/01/1995]',-0.095,0.003,0.492,0.599
'[08:22:12.516 24/01/1995]',-0.095,0.035,0.492,0.599
'[08:22:12.518 24/01/1995]',-0.128,0.035,0.492,0.599
'[08:22:12.520 24/01/1995]',-0.128,0.035,0.511,0.586
'[08:22:12.522 24/01/1995]',-0.128,0.035,0.511,0.586
'[08:22:12.524 24/01/1995]',-0.128,0.035,0.511,0.586
'[08:22:12.526 24/01/1995]',-0.095,0.035,0.511,0.586
'[08:22:12.528 24/01/1995]',-0.095,0.035,0.524,0.573
'[08:22:12.530 24/01/1995]',-0.095,0.035,0.524,0.573
'[08:22:12.532 24/01/1995]',-0.095,0.003,0.524,0.573
'[08:22:12.534 24/01/1995]',-0.062,0.003,0.524,0.573
'[08:22:12.536 24/01/1995]',-0.062,0.003,0.530,0.559
'[08:22:12.538 24/01/1995]',-0.062,0.003,0.530,0.559
'[08:22:12.540 24/01/1995]',-0.030,0.003,0.530,0.559
'[08:22:12.542 24/01/1995]',-0.030,0.003,0.530,0.559
'[08:22:12.544 24/01/1995]',-0.030,0.003,0.524,0.547
'[08:22:12.546 24/01/1995]',-0.030,0.003,0.524,0.547
'[08:22:12.548 24/01/1995]',-0.030,0.003,0.524,0.547
'[08:22:12.550 24/01/1995]',-0.030,0.003,0.524,0.547
'[08:22:12.552 24/01/1995]',-0.062,0.003,0.518,0.534
'[08:22:12.554 24/01/1995]',-0.062,0.003,0.518,0.534
'[08:22:12.556 24/01/1995]',-0.062,0.003,0.518,0.534
'[08:22:12.558 24/01/1995]',-0.062,0.003,0.518,0.534
'[08:22:12.560 24/01/1995]',-0.062,0.003,0.505,0.522
'[08:22:12.562 24/01/1995]',-0.062,0.003,0.505,0.522
'[08:22:12.564 24/01/1995]',-0.095,0.003,0.505,0.522
'[08:22:12.566 24/01/1995]',-0.095,0.003,0.505,0.522
'[08:22:12.568 24/01/1995]',-0.062,0.003,0.480,0.509
'[08:22:12.570 24/01/1995]',-0.062,0.003,0.480,0.509
'[08:22:12.572 24/01/1995]',-0.062,0.003,0.480,0.509
'[08:22:12.574 24/01/1995]',-0.095,0.003,0.480,0.509
'[08:22:12.576 24/01/1995]',-0.095,0.035,0.461,0.496
'[08:22:12.578 24/01/1995]',-0.095,0.035,0.461,0.496
'[08:22:12.580 24/01/1995]',-0.095,0.003,0.461,0.496
'[08:22:12.582 24/01/1995]',-0.095,0.003,0.461,0.496
'[08:22:12.584 24/01/1995]',-0.095,0.003,0.435,0.483
'[08:22:12.586 24/01/1995]',-0.095,0.003,0.435,0.483
'[08:22:12.588 24/01/1995]',-0.095,0.003,0.435,0.483
'[08:22:12.590 24/01/1995]',-0.095,0.003,0.435,0.483
'[08:22:12.592 24/01/1995]',-0.095,0.003,0.404,0.469
'[08:22:12.594 24/01/1995]',-0.095,0.003,0.404,0.469
'[08:22:12.596 24/01/1995]',-0.095,0.003,0.404,0.469
'[08:22:12.598 24/01/1995]',-0.095,0.003,0.404,0.469
'[08:22:12.600 24/01/1995]',-0.095,0.003,0.372,0.453
'[08:22:12.602 24/01/1995]',-0.095,0.003,0.372,0.453
'[08:22:12.604 24/01/1995]',-0.095,0.003,0.372,0.453
'[08:22:12.606 24/01/1995]',-0.128,0.003,0.372,0.453
'[08:22:12.608 24/01/1995]',-0.128,0.003,0.335,0.438
'[08:22:12.610 24/01/1995]',-0.095,0.003,0.335,0.438
'[08:22:12.612 24/01/1995]',-0.095,0.003,0.335,0.438
'[08:22:12.614 24/01/1995]',-0.128,0.003,0.335,0.438
'[08:22:12.616 24/01/1995]',-0.128,0.035,0.290,0.424
'[08:22:12.618 24/01/1995]',-0.128,0.035,0.290,0.424
'[08:22:12.620 24/01/1995]',-0.128,0.035,0.290,0.424
'[08:22:12.622 24/01/1995]',-0.128,0.035,0.290,0.424
'[08:22:12.624 24/01/1995]',-0.128,0.035,0.253,0.411
'[08:22:12.626 24/01/1995]',-0.160,0.035,0.253,0.411
'[08:22:12.628 24/01/1995]',-0.128,0.035,0.253,0.411
'[08:22:12.630 24/01/1995]',-0.128,0.035,0.253,0.411
'[08:22:12.632 24/01/1995]',-0.128,0.035,0.208,0.399
'[08:22:12.634 24/01/1995]',-0.128,0.035,0.208,0.399
'[08:22:12.636 24/01/1995]',-0.095,0.035,0.208,0.399
'[08:22:12.638 24/01/1995]',-0.095,0.035,0.208,0.399
'[08:22:12.640 24/01/1995]',-0.095,0.035,0.165,0.388
'[08:22:12.642 24/01/1995]',-0.095,0.003,0.165,0.388
'[08:22:12.644 24/01/1995]',-0.095,0.035,0.165,0.388
'[08:22:12.646 24/01/1995]',-0.095,0.035,0.165,0.388
'[08:22:12.648 24/01/1995]',-0.128,0.035,0.127,0.376
'[08:22:12.650 24/01/1995]',-0.095,0.035,0.127,0.376
'[08:22:12.652 24/01/1995]',-0.095,0.035,0.127,0.376
'[08:22:12.654 24/01/1995]',-0.095,0.035,0.127,0.376
'[08:22:12.656 24/01/1995]',-0.095,0.035,0.082,0.363
'[08:22:12.658 24/01/1995]',-0.095,0.035,0.082,0.363
'[08:22:12.660 24/01/1995]',-0.095,0.035,0.082,0.363
'[08:22:12.662 24/01/1995]',-0.128,0.035,0.082,0.363
'[08:22:12.664 24/01/1995]',-0.128,0.035,0.044,0.350
'[08:22:12.666 24/01/1995]',-0.128,0.035,0.044,0.350
'[08:22:12.668 24/01/1995]',-0.128,0.035,0.044,0.350
'[08:22:12.670 24/01/1995]',-0.128,0.035,0.044,0.350
'[08:22:12.672 24/01/1995]',-0.128,0.035,0.000,0.336
'[08:22:12.674 24/01/1995]',-0.128,0.035,0.000,0.336
'[08:22:12.676 24/01/1995]',-0.128,0.035,0.000,0.336
'[08:22:12.678 24/01/1995]',-0.128,0.035,0.000,0.336
'[08:22:12.680 24/01/1995]',-0.128,0.035,-0.025,0.320
'[08:22:12.682 24/01/1995]',-0.128,0.035,-0.025,0.320
'[08:22:12.684 24/01/1995]',-0.095,0.035,-0.025,0.320
'[08:22:12.686 24/01/1995]',-0.128,0.035,-0.025,0.320
'[08:22:12.688 24/01/1995]',-0.128,0.035,-0.051,0.302
'[08:22:12.690 24/01/1995]',-0.095,0.035,-0.051,0.302
'[08:22:12.692 24/01/1995]',-0.095,0.035,-0.051,0.302
'[08:22:12.694 24/01/1995]',-0.095,0.035,-0.051,0.302
'[08:22:12.696 24/01/1995]',-0.062,0.035,-0.082,0.283
'[08:22:12.698 24/01/1995]',-0.062,0.035,-0.082,0.283
'[08:22:12.700 24/01/1995]',-0.062,0.003,-0.082,0.283
'[08:22:12.702 24/01/1995]',-0.062,0.003,-0.082,0.283
'[08:22:12.704 24/01/1995]',-0.062,0.003,-0.107,0.262
'[08:22:12.706 24/01/1995]',-0.062,0.003,-0.107,0.262
'[08:22:12.708 24/01/1995]',-0.062,0.003,-0.107,0.262
'[08:22:12.710 24/01/1995]',-0.062,0.003,-0.107,0.262
'[08:22:12.712 24/01/1995]',-0.062,0.003,-0.126,0.238
'[08:22:12.714 24/01/1995]',-0.062,0.003,-0.126,0.238
'[08:22:12.716 24/01/1995]',-0.062,0.003,-0.126,0.238
'[08:22:12.718 24/01/1995]',-0.062,0.003,-0.126,0.238
'[08:22:12.720 24/01/1995]',-0.062,0.003,-0.145,0.211
'[08:22:12.722 24/01/1995]',-0.062,0.003,-0.145,0.211
'[08:22:12.724 24/01/1995]',-0.062,0.003,-0.145,0.211
'[08:22:12.726 24/01/1995]',-0.062,0.003,-0.145,0.211
'[08:22:12.728 24/01/1995]',-0.062,0.003,-0.158,0.182
'[08:22:12.730 24/01/1995]',-0.062,0.003,-0.158,0.182
'[08:22:12.732 24/01/1995]',-0.062,0.003,-0.158,0.182
'[08:22:12.734 24/01/1995]',-0.062,0.003,-0.158,0.182
'[08:22:12.736 24/01/1995]',-0.062,0.003,-0.205,0.149
'[08:22:12.738 24/01/1995]',-0.062,0.003,-0.205,0.149
'[08:22:12.740 24/01/1995]',-0.062,0.003,-0.205,0.149
'[08:22:12.742 24/01/1995]',-0.062,0.003,-0.205,0.149
'[08:22:12.744 24/01/1995]',-0.062,0.003,-0.217,0.112
'[08:22:12.746 24/01/1995]',-0.062,0.003,-0.217,0.112
'[08:22:12.748 24/01/1995]',-0.062,0.003,-0.217,0.112
'[08:22:12.750 24/01/1995]',-0.062,0.003,-0.217,0.112
'[08:22:12.752 24/01/1995]',-0.095,0.003,-0.230,0.070
'[08:22:12.754 24/01/1995]',-0.095,0.003,-0.230,0.070
'[08:22:12.756 24/01/1995]',-0.095,0.003,-0.230,0.070
'[08:22:12.758 24/01/1995]',-0.062,0.003,-0.230,0.070
'[08:22:12.760 24/01/1995]',-0.062,0.003,-0.242,0.025
'[08:22:12.762 24/01/1995]',-0.095,0.003,-0.242,0.025
'[08:22:12.764 24/01/1995]',-0.095,0.003,-0.242,0.025
'[08:22:12.766 24/01/1995]',-0.062,0.003,-0.242,0.025
'[08:22:12.768 24/01/1995]',-0.095,0.003,-0.260,-0.027
'[08:22:12.770 24/01/1995]',-0.095,0.003,-0.260,-0.027
'[08:22:12.772 24/01/1995]',-0.095,0.003,-0.260,-0.027
'[08:22:12.774 24/01/1995]',-0.095,0.003,-0.260,-0.027
'[08:22:12.776 24/01/1995]',-0.095,0.003,-0.272,-0.088
'[08:22:12.778 24/01/1995]',-0.095,0.003,-0.272,-0.088
'[08:22:12.780 24/01/1995]',-0.095,0.003,-0.272,-0.088
'[08:22:12.782 24/01/1995]',-0.095,0.003,-0.272,-0.088
