'Time and date','II','V','ABP','PLETH','RESP'
'[07:46:30.100 05/06/1995]',-0.176,0.062,94.650,-,1.024
'[07:46:30.102 05/06/1995]',-0.176,0.062,94.650,-,1.024
'[07:46:30.104 05/06/1995]',-0.176,0.093,94.346,-,1.024
'[07:46:30.106 05/06/1995]',-0.140,0.093,94.346,-,1.024
'[07:46:30.108 05/06/1995]',-0.140,0.093,94.346,-,1.024
'[07:46:30.110 05/06/1995]',-0.176,0.093,94.346,-,1.024
'[07:46:30.112 05/06/1995]',-0.176,0.093,93.814,-,1.024
'[07:46:30.114 05/06/1995]',-0.176,0.093,93.814,-,1.024
'[07:46:30.116 05/06/1995]',-0.176,0.093,93.814,-,1.024
'[07:46:30.118 05/06/1995]',-0.140,0.093,93.814,-,1.024
'[07:46:30.120 05/06/1995]',-0.140,0.093,93.283,-,1.024
'[07:46:30.122 05/06/1995]',-0.140,0.093,93.283,-,1.024
'[07:46:30.124 05/06/1995]',-0.104,0.093,93.283,-,1.024
'[07:46:30.126 05/06/1995]',-0.104,0.093,93.283,-,1.024
'[07:46:30.128 05/06/1995]',-0.104,0.093,92.599,-,1.024
'[07:46:30.130 05/06/1995]',-0.104,0.093,92.599,-,1.024
'[07:46:30.132 05/06/1995]',-0.104,0.093,92.599,-,1.024
'[07:46:30.134 05/06/1995]',-0.104,0.093,92.599,-,1.024
'[07:46:30.136 05/06/1995]',-0.104,0.093,91.839,-,1.024
'[07:46:30.138 05/06/1995]',-0.104,0.123,91.839,-,1.024
'[07:46:30.140 05/06/1995]',-0.104,0.123,91.839,-,1.024
'[07:46:30.142 05/06/1995]',-0.068,0.123,91.839,-,1.024
'[07:46:30.144 05/06/1995]',-0.104,0.123,91.004,-,0.999
'[07:46:30.146 05/06/1995]',-0.104,0.123,91.004,-,0.999
'[07:46:30.148 05/06/1995]',-0.068,0.093,91.004,-,0.999
'[07:46:30.150 05/06/1995]',-0.068,0.093,91.004,-,0.999
'[07:46:30.152 05/06/1995]',0.003,0.123,90.092,-,0.969
'[07:46:30.154 05/06/1995]',0.003,0.093,90.092,-,0.969
'[07:46:30.156 05/06/1995]',0.003,0.093,90.092,-,0.969
'[07:46:30.158 05/06/1995]',0.003,0.093,90.092,-,0.969
'[07:46:30.160 05/06/1995]',0.003,0.123,89.181,-,0.934
'[07:46:30.162 05/06/1995]',0.003,0.123,89.181,-,0.934
'[07:46:30.164 05/06/1995]',0.003,0.123,89.181,-,0.934
'[07:46:30.166 05/06/1995]',0.003,0.154,89.181,-,0.934
'[07:46:30.168 05/06/1995]',0.003,0.154,88.421,-,0.895
'[07:46:30.170 05/06/1995]',0.003,0.154,88.421,-,0.895
'[07:46:30.172 05/06/1995]',0.003,0.154,88.421,-,0.895
'[07:46:30.174 05/06/1995]',0.037,0.154,88.421,-,0.895
'[07:46:30.176 05/06/1995]',0.037,0.154,87.813,-,0.851
'[07:46:30.178 05/06/1995]',0.037,0.154,87.813,-,0.851
'[07:46:30.180 05/06/1995]',0.037,0.154,87.813,-,0.851
'[07:46:30.182 05/06/1995]',0.037,0.154,87.813,-,0.851
'[07:46:30.184 05/06/1995]',0.073,0.154,87.509,-,0.801
'[07:46:30.186 05/06/1995]',0.073,0.184,87.509,-,0.801
'[07:46:30.188 05/06/1995]',0.073,0.184,87.509,-,0.801
'[07:46:30.190 05/06/1995]',0.109,0.184,87.509,-,0.801
'[07:46:30.192 05/06/1995]',0.109,0.184,87.813,-,0.747
'[07:46:30.194 05/06/1995]',0.109,0.214,87.813,-,0.747
'[07:46:30.196 05/06/1995]',0.109,0.214,87.813,-,0.747
'[07:46:30.198 05/06/1995]',0.145,0.214,87.813,-,0.747
'[07:46:30.200 05/06/1995]',0.145,0.184,89.257,-1.014,0.685
'[07:46:30.202 05/06/1995]',0.109,0.184,89.257,-1.014,0.685
'[07:46:30.204 05/06/1995]',0.109,0.184,89.257,-1.014,0.685
'[07:46:30.206 05/06/1995]',0.145,0.184,89.257,-1.014,0.685
'[07:46:30.208 05/06/1995]',0.145,0.184,92.675,-0.888,0.617
'[07:46:30.210 05/06/1995]',0.109,0.154,92.675,-0.888,0.617
'[07:46:30.212 05/06/1995]',0.145,0.184,92.675,-0.888,0.617
'[07:46:30.214 05/06/1995]',0.109,0.154,92.675,-0.888,0.617
'[07:46:30.216 05/06/1995]',0.109,0.154,98.372,-0.746,0.542
'[07:46:30.218 05/06/1995]',0.109,0.154,98.372,-0.746,0.542
'[07:46:30.220 05/06/1995]',0.109,0.154,98.372,-0.746,0.542
'[07:46:30.222 05/06/1995]',0.109,0.154,98.372,-0.746,0.542
'[07:46:30.224 05/06/1995]',0.109,0.154,106.576,-0.561,0.465
'[07:46:30.226 05/06/1995]',0.109,0.154,106.576,-0.561,0.465
'[07:46:30.228 05/06/1995]',0.109,0.154,106.576,-0.561,0.465
'[07:46:30.230 05/06/1995]',0.109,0.123,106.576,-0.561,0.465
'[07:46:30.232 05/06/1995]',0.109,0.123,116.603,-0.327,0.387
'[07:46:30.234 05/06/1995]',0.073,0.154,116.603,-0.327,0.387
'[07:46:30.236 05/06/1995]',0.073,0.154,116.603,-0.327,0.387
'[07:46:30.238 05/06/1995]',0.037,0.154,116.603,-0.327,0.387
'[07:46:30.240 05/06/1995]',0.037,0.154,127.618,-0.034,0.307
'[07:46:30.242 05/06/1995]',0.003,0.123,127.618,-0.034,0.307
'[07:46:30.244 05/06/1995]',0.003,0.123,127.618,-0.034,0.307
'[07:46:30.246 05/06/1995]',0.037,0.093,127.618,-0.034,0.307
'[07:46:30.248 05/06/1995]',0.037,0.093,138.329,0.309,0.227
'[07:46:30.250 05/06/1995]',0.003,0.093,138.329,0.309,0.227
'[07:46:30.252 05/06/1995]',0.003,0.093,138.329,0.309,0.227
'[07:46:30.254 05/06/1995]',0.037,0.093,138.329,0.309,0.227
'[07:46:30.256 05/06/1995]',0.003,0.093,147.824,0.686,0.147
'[07:46:30.258 05/06/1995]',0.003,0.093,147.824,0.686,0.147
'[07:46:30.260 05/06/1995]',0.003,0.093,147.824,0.686,0.147
'[07:46:30.262 05/06/1995]',0.003,0.093,147.824,0.686,0.147
'[07:46:30.264 05/06/1995]',-0.033,0.093,155.344,1.024,0.070
'[07:46:30.266 05/06/1995]',-0.033,0.093,155.344,1.024,0.070
'[07:46:30.268 05/06/1995]',-0.033,0.062,155.344,1.024,0.070
'[07:46:30.270 05/06/1995]',-0.033,0.062,155.344,1.024,0.070
'[07:46:30.272 05/06/1995]',-0.033,0.062,160.358,1.024,-0.004
'[07:46:30.274 05/06/1995]',-0.033,0.062,160.358,1.024,-0.004
'[07:46:30.276 05/06/1995]',-0.033,0.062,160.358,1.024,-0.004
'[07:46:30.278 05/06/1995]',-0.033,0.062,160.358,1.024,-0.004
'[07:46:30.280 05/06/1995]',-0.068,0.062,162.941,1.024,-0.075
'[07:46:30.282 05/06/1995]',-0.068,0.062,162.941,1.024,-0.075
'[07:46:30.284 05/06/1995]',-0.068,0.062,162.941,1.024,-0.075
'[07:46:30.286 05/06/1995]',-0.068,0.062,162.941,1.024,-0.075
'[07:46:30.288 05/06/1995]',-0.068,0.062,163.320,1.024,-0.144
'[07:46:30.290 05/06/1995]',-0.068,0.062,163.320,1.024,-0.144
'[07:46:30.292 05/06/1995]',-0.068,0.032,163.320,1.024,-0.144
'[07:46:30.294 05/06/1995]',-0.068,0.032,163.320,1.024,-0.144
'[07:46:30.296 05/06/1995]',-0.068,0.032,161.877,1.024,-0.208
'[07:46:30.298 05/06/1995]',-0.068,0.032,161.877,1.024,-0.208
'[07:46:30.300 05/06/1995]',-0.068,0.032,161.877,1.024,-0.208
'[07:46:30.302 05/06/1995]',-0.033,0.032,161.877,1.024,-0.208
'[07:46:30.304 05/06/1995]',-0.033,0.062,159.143,1.024,-0.270
'[07:46:30.306 05/06/1995]',-0.033,0.062,159.143,1.024,-0.270
'[07:46:30.308 05/06/1995]',-0.033,0.032,159.143,1.024,-0.270
'[07:46:30.310 05/06/1995]',-0.033,0.032,159.143,1.024,-0.270
'[07:46:30.312 05/06/1995]',-0.033,0.062,155.344,1.024,-0.328
'[07:46:30.314 05/06/1995]',-0.033,0.062,155.344,1.024,-0.328
'[07:46:30.316 05/06/1995]',-0.033,0.062,155.344,1.024,-0.328
'[07:46:30.318 05/06/1995]',-0.068,0.062,155.344,1.024,-0.328
'[07:46:30.320 05/06/1995]',-0.068,0.062,150.787,1.024,-0.383
'[07:46:30.322 05/06/1995]',-0.068,0.062,150.787,1.024,-0.383
'[07:46:30.324 05/06/1995]',-0.068,0.062,150.787,1.024,-0.383
'[07:46:30.326 05/06/1995]',-0.068,0.062,150.787,1.024,-0.383
'[07:46:30.328 05/06/1995]',-0.068,0.062,145.849,1.024,-0.432
'[07:46:30.330 05/06/1995]',-0.033,0.032,145.849,1.024,-0.432
'[07:46:30.332 05/06/1995]',-0.068,0.032,145.849,1.024,-0.432
'[07:46:30.334 05/06/1995]',-0.068,0.032,145.849,1.024,-0.432
'[07:46:30.336 05/06/1995]',-0.068,0.032,140.608,1.024,-0.479
'[07:46:30.338 05/06/1995]',-0.068,0.032,140.608,1.024,-0.479
'[07:46:30.340 05/06/1995]',-0.068,0.032,140.608,1.024,-0.479
'[07:46:30.342 05/06/1995]',-0.033,0.062,140.608,1.024,-0.479
'[07:46:30.344 05/06/1995]',-0.068,0.062,135.214,1.024,-0.522
'[07:46:30.346 05/06/1995]',-0.068,0.062,135.214,1.024,-0.522
'[07:46:30.348 05/06/1995]',-0.033,0.062,135.214,1.024,-0.522
'[07:46:30.350 05/06/1995]',-0.033,0.093,135.214,1.024,-0.522
'[07:46:30.352 05/06/1995]',0.003,0.093,129.593,1.024,-0.563
'[07:46:30.354 05/06/1995]',0.003,0.093,129.593,1.024,-0.563
'[07:46:30.356 05/06/1995]',0.003,0.093,129.593,1.024,-0.563
'[07:46:30.358 05/06/1995]',0.003,0.062,129.593,1.024,-0.563
'[07:46:30.360 05/06/1995]',0.003,0.062,123.820,1.024,-0.603
'[07:46:30.362 05/06/1995]',0.003,0.062,123.820,1.024,-0.603
'[07:46:30.364 05/06/1995]',0.003,0.062,123.820,1.024,-0.603
'[07:46:30.366 05/06/1995]',0.003,0.093,123.820,1.024,-0.603
'[07:46:30.368 05/06/1995]',0.003,0.062,117.819,1.024,-0.640
'[07:46:30.370 05/06/1995]',0.003,0.062,117.819,1.024,-0.640
'[07:46:30.372 05/06/1995]',0.003,0.062,117.819,1.024,-0.640
'[07:46:30.374 05/06/1995]',0.003,0.032,117.819,1.024,-0.640
'[07:46:30.376 05/06/1995]',0.003,0.032,111.818,1.024,-0.677
'[07:46:30.378 05/06/1995]',0.003,0.032,111.818,1.024,-0.677
'[07:46:30.380 05/06/1995]',0.003,0.032,111.818,1.024,-0.677
'[07:46:30.382 05/06/1995]',0.003,0.032,111.818,1.024,-0.677
'[07:46:30.384 05/06/1995]',0.003,0.032,105.968,1.024,-0.711
'[07:46:30.386 05/06/1995]',-0.033,0.032,105.968,1.024,-0.711
'[07:46:30.388 05/06/1995]',0.003,0.032,105.968,1.024,-0.711
'[07:46:30.390 05/06/1995]',0.003,0.003,105.968,1.024,-0.711
'[07:46:30.392 05/06/1995]',0.003,0.003,100.575,1.024,-0.741
'[07:46:30.394 05/06/1995]',-0.033,0.003,100.575,1.024,-0.741
'[07:46:30.396 05/06/1995]',-0.033,0.003,100.575,1.024,-0.741
'[07:46:30.398 05/06/1995]',-0.033,0.003,100.575,1.024,-0.741
'[07:46:30.400 05/06/1995]',-0.068,0.003,95.789,1.024,-0.767
'[07:46:30.402 05/06/1995]',-0.068,0.003,95.789,1.024,-0.767
'[07:46:30.404 05/06/1995]',-0.068,0.003,95.789,1.024,-0.767
'[07:46:30.406 05/06/1995]',-0.033,0.003,95.789,1.024,-0.767
'[07:46:30.408 05/06/1995]',-0.033,0.003,91.687,0.952,-0.791
'[07:46:30.410 05/06/1995]',-0.068,0.003,91.687,0.952,-0.791
'[07:46:30.412 05/06/1995]',-0.104,0.003,91.687,0.952,-0.791
'[07:46:30.414 05/06/1995]',-0.068,0.003,91.687,0.952,-0.791
'[07:46:30.416 05/06/1995]',-0.068,0.003,88.345,0.887,-0.811
'[07:46:30.418 05/06/1995]',-0.068,0.003,88.345,0.887,-0.811
'[07:46:30.420 05/06/1995]',-0.104,0.003,88.345,0.887,-0.811
'[07:46:30.422 05/06/1995]',-0.104,0.003,88.345,0.887,-0.811
'[07:46:30.424 05/06/1995]',-0.140,0.003,85.762,0.828,-0.828
'[07:46:30.426 05/06/1995]',-0.104,0.003,85.762,0.828,-0.828
'[07:46:30.428 05/06/1995]',-0.104,0.003,85.762,0.828,-0.828
'[07:46:30.430 05/06/1995]',-0.104,0.003,85.762,0.828,-0.828
'[07:46:30.432 05/06/1995]',-0.104,0.003,83.939,0.772,-0.841
'[07:46:30.434 05/06/1995]',-0.104,0.003,83.939,0.772,-0.841
'[07:46:30.436 05/06/1995]',-0.140,0.003,83.939,0.772,-0.841
'[07:46:30.438 05/06/1995]',-0.140,0.003,83.939,0.772,-0.841
'[07:46:30.440 05/06/1995]',-0.176,0.003,82.648,0.717,-0.850
'[07:46:30.442 05/06/1995]',-0.176,0.003,82.648,0.717,-0.850
'[07:46:30.444 05/06/1995]',-0.176,0.003,82.648,0.717,-0.850
'[07:46:30.446 05/06/1995]',-0.176,0.003,82.648,0.717,-0.850
'[07:46:30.448 05/06/1995]',-0.176,0.003,81.888,0.670,-0.857
'[07:46:30.450 05/06/1995]',-0.140,0.003,81.888,0.670,-0.857
'[07:46:30.452 05/06/1995]',-0.140,0.003,81.888,0.670,-0.857
'[07:46:30.454 05/06/1995]',-0.140,0.003,81.888,0.670,-0.857
'[07:46:30.456 05/06/1995]',-0.104,0.003,81.660,0.615,-0.860
'[07:46:30.458 05/06/1995]',-0.104,0.003,81.660,0.615,-0.860
'[07:46:30.460 05/06/1995]',-0.140,0.003,81.660,0.615,-0.860
'[07:46:30.462 05/06/1995]',-0.140,0.003,81.660,0.615,-0.860
'[07:46:30.464 05/06/1995]',-0.176,0.032,81.812,0.550,-0.860
'[07:46:30.466 05/06/1995]',-0.212,0.032,81.812,0.550,-0.860
'[07:46:30.468 05/06/1995]',-0.212,0.032,81.812,0.550,-0.860
'[07:46:30.470 05/06/1995]',-0.212,0.062,81.812,0.550,-0.860
'[07:46:30.472 05/06/1995]',-0.176,0.062,82.116,0.489,-0.857
'[07:46:30.474 05/06/1995]',-0.140,0.062,82.116,0.489,-0.857
'[07:46:30.476 05/06/1995]',-0.104,0.062,82.116,0.489,-0.857
'[07:46:30.478 05/06/1995]',0.003,0.093,82.116,0.489,-0.857
'[07:46:30.480 05/06/1995]',0.073,0.093,82.648,0.425,-0.852
'[07:46:30.482 05/06/1995]',0.217,0.093,82.648,0.425,-0.852
'[07:46:30.484 05/06/1995]',0.360,0.003,82.648,0.425,-0.852
'[07:46:30.486 05/06/1995]',0.537,-0.058,82.648,0.425,-0.852
'[07:46:30.488 05/06/1995]',0.752,-0.210,83.180,0.355,-0.845
'[07:46:30.490 05/06/1995]',0.967,-0.362,83.180,0.355,-0.845
'[07:46:30.492 05/06/1995]',1.145,-0.513,83.180,0.355,-0.845
'[07:46:30.494 05/06/1995]',1.288,-0.665,83.180,0.355,-0.845
'[07:46:30.496 05/06/1995]',1.396,-0.787,83.787,0.281,-0.835
'[07:46:30.498 05/06/1995]',1.360,-0.848,83.787,0.281,-0.835
'[07:46:30.500 05/06/1995]',1.217,-0.848,83.787,0.281,-0.835
'[07:46:30.502 05/06/1995]',1.003,-0.848,83.787,0.281,-0.835
'[07:46:30.504 05/06/1995]',0.752,-0.848,84.395,0.212,-0.824
'[07:46:30.506 05/06/1995]',0.467,-0.787,84.395,0.212,-0.824
'[07:46:30.508 05/06/1995]',0.252,-0.696,84.395,0.212,-0.824
'[07:46:30.510 05/06/1995]',0.109,-0.635,84.395,0.212,-0.824
'[07:46:30.512 05/06/1995]',0.003,-0.574,85.003,0.147,-0.810
'[07:46:30.514 05/06/1995]',-0.033,-0.544,85.003,0.147,-0.810
'[07:46:30.516 05/06/1995]',-0.068,-0.483,85.003,0.147,-0.810
'[07:46:30.518 05/06/1995]',-0.104,-0.452,85.003,0.147,-0.810
'[07:46:30.520 05/06/1995]',-0.104,-0.423,85.458,0.087,-0.795
'[07:46:30.522 05/06/1995]',-0.104,-0.362,85.458,0.087,-0.795
'[07:46:30.524 05/06/1995]',-0.140,-0.302,85.458,0.087,-0.795
'[07:46:30.526 05/06/1995]',-0.140,-0.210,85.458,0.087,-0.795
'[07:46:30.528 05/06/1995]',-0.140,-0.149,85.838,0.041,-0.779
'[07:46:30.530 05/06/1995]',-0.176,-0.089,85.838,0.041,-0.779
'[07:46:30.532 05/06/1995]',-0.176,-0.058,85.838,0.041,-0.779
'[07:46:30.534 05/06/1995]',-0.176,-0.028,85.838,0.041,-0.779
'[07:46:30.536 05/06/1995]',-0.176,0.003,86.066,-0.005,-0.761
'[07:46:30.538 05/06/1995]',-0.176,0.003,86.066,-0.005,-0.761
'[07:46:30.540 05/06/1995]',-0.176,0.032,86.066,-0.005,-0.761
'[07:46:30.542 05/06/1995]',-0.212,0.032,86.066,-0.005,-0.761
'[07:46:30.544 05/06/1995]',-0.212,0.032,86.218,-0.029,-0.744
'[07:46:30.546 05/06/1995]',-0.212,0.032,86.218,-0.029,-0.744
'[07:46:30.548 05/06/1995]',-0.212,0.032,86.218,-0.029,-0.744
'[07:46:30.550 05/06/1995]',-0.212,0.032,86.218,-0.029,-0.744
'[07:46:30.552 05/06/1995]',-0.212,0.062,86.218,-0.047,-0.728
'[07:46:30.554 05/06/1995]',-0.176,0.062,86.218,-0.047,-0.728
'[07:46:30.556 05/06/1995]',-0.176,0.062,86.218,-0.047,-0.728
'[07:46:30.558 05/06/1995]',-0.176,0.062,86.218,-0.047,-0.728
'[07:46:30.560 05/06/1995]',-0.176,0.062,86.066,-0.060,-0.713
'[07:46:30.562 05/06/1995]',-0.176,0.062,86.066,-0.060,-0.713
'[07:46:30.564 05/06/1995]',-0.176,0.062,86.066,-0.060,-0.713
'[07:46:30.566 05/06/1995]',-0.176,0.062,86.066,-0.060,-0.713
'[07:46:30.568 05/06/1995]',-0.176,0.093,85.838,-0.074,-0.699
'[07:46:30.570 05/06/1995]',-0.176,0.062,85.838,-0.074,-0.699
'[07:46:30.572 05/06/1995]',-0.176,0.093,85.838,-0.074,-0.699
'[07:46:30.574 05/06/1995]',-0.176,0.062,85.838,-0.074,-0.699
'[07:46:30.576 05/06/1995]',-0.176,0.093,85.382,-0.084,-0.686
'[07:46:30.578 05/06/1995]',-0.176,0.093,85.382,-0.084,-0.686
'[07:46:30.580 05/06/1995]',-0.176,0.093,85.382,-0.084,-0.686
'[07:46:30.582 05/06/1995]',-0.176,0.093,85.382,-0.084,-0.686
'[07:46:30.584 05/06/1995]',-0.140,0.093,84.851,-0.088,-0.678
'[07:46:30.586 05/06/1995]',-0.140,0.093,84.851,-0.088,-0.678
'[07:46:30.588 05/06/1995]',-0.140,0.093,84.851,-0.088,-0.678
'[07:46:30.590 05/06/1995]',-0.140,0.093,84.851,-0.088,-0.678
'[07:46:30.592 05/06/1995]',-0.140,0.093,84.015,-0.098,-0.672
'[07:46:30.594 05/06/1995]',-0.140,0.093,84.015,-0.098,-0.672
'[07:46:30.596 05/06/1995]',-0.140,0.093,84.015,-0.098,-0.672
'[07:46:30.598 05/06/1995]',-0.140,0.093,84.015,-0.098,-0.672
'[07:46:30.600 05/06/1995]',-0.104,0.123,83.180,-0.116,-0.668
'[07:46:30.602 05/06/1995]',-0.104,0.123,83.180,-0.116,-0.668
'[07:46:30.604 05/06/1995]',-0.104,0.123,83.180,-0.116,-0.668
'[07:46:30.606 05/06/1995]',-0.068,0.123,83.180,-0.116,-0.668
'[07:46:30.608 05/06/1995]',-0.068,0.123,82.192,-0.144,-0.666
'[07:46:30.610 05/06/1995]',-0.068,0.093,82.192,-0.144,-0.666
'[07:46:30.612 05/06/1995]',-0.068,0.123,82.192,-0.144,-0.666
'[07:46:30.614 05/06/1995]',-0.068,0.123,82.192,-0.144,-0.666
'[07:46:30.616 05/06/1995]',-0.033,0.123,81.129,-0.176,-0.663
'[07:46:30.618 05/06/1995]',-0.068,0.123,81.129,-0.176,-0.663
'[07:46:30.620 05/06/1995]',-0.068,0.123,81.129,-0.176,-0.663
'[07:46:30.622 05/06/1995]',-0.033,0.123,81.129,-0.176,-0.663
'[07:46:30.624 05/06/1995]',-0.033,0.123,80.065,-0.213,-0.661
'[07:46:30.626 05/06/1995]',0.003,0.123,80.065,-0.213,-0.661
'[07:46:30.628 05/06/1995]',0.003,0.123,80.065,-0.213,-0.661
'[07:46:30.630 05/06/1995]',0.003,0.123,80.065,-0.213,-0.661
'[07:46:30.632 05/06/1995]',0.003,0.123,79.229,-0.264,-0.658
'[07:46:30.634 05/06/1995]',0.003,0.123,79.229,-0.264,-0.658
'[07:46:30.636 05/06/1995]',0.003,0.154,79.229,-0.264,-0.658
'[07:46:30.638 05/06/1995]',0.003,0.154,79.229,-0.264,-0.658
'[07:46:30.640 05/06/1995]',0.037,0.154,78.622,-0.315,-0.657
'[07:46:30.642 05/06/1995]',0.037,0.154,78.622,-0.315,-0.657
'[07:46:30.644 05/06/1995]',0.037,0.154,78.622,-0.315,-0.657
'[07:46:30.646 05/06/1995]',0.037,0.154,78.622,-0.315,-0.657
'[07:46:30.648 05/06/1995]',0.073,0.154,78.470,-0.370,-0.658
'[07:46:30.650 05/06/1995]',0.073,0.154,78.470,-0.370,-0.658
'[07:46:30.652 05/06/1995]',0.109,0.154,78.470,-0.370,-0.658
'[07:46:30.654 05/06/1995]',0.109,0.154,78.470,-0.370,-0.658
'[07:46:30.656 05/06/1995]',0.145,0.154,79.153,-0.435,-0.661
'[07:46:30.658 05/06/1995]',0.145,0.154,79.153,-0.435,-0.661
'[07:46:30.660 05/06/1995]',0.145,0.154,79.153,-0.435,-0.661
'[07:46:30.662 05/06/1995]',0.145,0.154,79.153,-0.435,-0.661
'[07:46:30.664 05/06/1995]',0.145,0.154,81.204,-0.504,-0.666
'[07:46:30.666 05/06/1995]',0.109,0.154,81.204,-0.504,-0.666
'[07:46:30.668 05/06/1995]',0.073,0.154,81.204,-0.504,-0.666
'[07:46:30.670 05/06/1995]',0.073,0.123,81.204,-0.504,-0.666
'[07:46:30.672 05/06/1995]',0.073,0.123,85.231,-0.574,-0.672
'[07:46:30.674 05/06/1995]',0.073,0.093,85.231,-0.574,-0.672
'[07:46:30.676 05/06/1995]',0.073,0.093,85.231,-0.574,-0.672
'[07:46:30.678 05/06/1995]',0.073,0.093,85.231,-0.574,-0.672
'[07:46:30.680 05/06/1995]',0.073,0.093,91.611,-0.639,-0.679
'[07:46:30.682 05/06/1995]',0.073,0.093,91.611,-0.639,-0.679
'[07:46:30.684 05/06/1995]',0.037,0.093,91.611,-0.639,-0.679
'[07:46:30.686 05/06/1995]',0.037,0.093,91.611,-0.639,-0.679
'[07:46:30.688 05/06/1995]',0.003,0.093,100.043,-0.699,-0.686
'[07:46:30.690 05/06/1995]',0.003,0.093,100.043,-0.699,-0.686
'[07:46:30.692 05/06/1995]',0.003,0.093,100.043,-0.699,-0.686
'[07:46:30.694 05/06/1995]',0.003,0.093,100.043,-0.699,-0.686
'[07:46:30.696 05/06/1995]',0.003,0.093,109.918,-0.754,-0.695
'[07:46:30.698 05/06/1995]',0.003,0.093,109.918,-0.754,-0.695
'[07:46:30.700 05/06/1995]',0.003,0.093,109.918,-0.754,-0.695
'[07:46:30.702 05/06/1995]',0.003,0.062,109.918,-0.754,-0.695
'[07:46:30.704 05/06/1995]',0.003,0.062,120.401,-0.800,-0.704
'[07:46:30.706 05/06/1995]',0.003,0.062,120.401,-0.800,-0.704
