'Time and date','MCL1 ','III ','V ','ABP ','PAP ','PLETH ','RESP '
'[15:36:26.232 02/03/1995]',0.105,0.069,0.155,93.950,33.975,-0.415,1.024
'[15:36:26.234 02/03/1995]',0.107,0.069,0.157,93.950,33.975,-0.415,1.024
'[15:36:26.236 02/03/1995]',0.108,0.069,0.157,93.950,33.975,-0.415,1.024
'[15:36:26.238 02/03/1995]',0.109,0.069,0.157,93.950,33.975,-0.415,1.024
'[15:36:26.240 02/03/1995]',0.110,0.069,0.158,97.600,34.500,-0.396,1.024
'[15:36:26.242 02/03/1995]',0.110,0.069,0.158,97.600,34.500,-0.396,1.024
'[15:36:26.244 02/03/1995]',0.109,0.069,0.159,97.600,34.500,-0.396,1.024
'[15:36:26.246 02/03/1995]',0.108,0.069,0.159,97.600,34.500,-0.396,1.024
'[15:36:26.248 02/03/1995]',0.106,0.069,0.159,101.300,34.900,-0.369,1.024
'[15:36:26.250 02/03/1995]',0.105,0.069,0.158,101.300,34.900,-0.369,1.024
'[15:36:26.252 02/03/1995]',0.103,0.069,0.157,101.300,34.900,-0.369,1.024
'[15:36:26.254 02/03/1995]',0.102,0.069,0.155,101.300,34.900,-0.369,1.024
'[15:36:26.256 02/03/1995]',0.100,0.069,0.152,104.800,35.150,-0.335,1.024
'[15:36:26.258 02/03/1995]',0.097,0.069,0.149,104.800,35.150,-0.335,1.024
'[15:36:26.260 02/03/1995]',0.096,0.069,0.145,104.800,35.150,-0.335,1.024
'[15:36:26.262 02/03/1995]',0.094,0.068,0.141,104.800,35.150,-0.335,1.024
'[15:36:26.264 02/03/1995]',0.091,0.067,0.137,108.000,35.150,-0.288,1.024
'[15:36:26.266 02/03/1995]',0.089,0.065,0.132,108.000,35.150,-0.288,1.024
'[15:36:26.268 02/03/1995]',0.086,0.062,0.128,108.000,35.150,-0.288,1.024
'[15:36:26.270 02/03/1995]',0.083,0.060,0.123,108.000,35.150,-0.288,1.024
'[15:36:26.272 02/03/1995]',0.079,0.057,0.118,110.800,34.975,-0.236,1.024
'[15:36:26.274 02/03/1995]',0.075,0.054,0.114,110.800,34.975,-0.236,1.024
'[15:36:26.276 02/03/1995]',0.071,0.052,0.109,110.800,34.975,-0.236,1.024
'[15:36:26.278 02/03/1995]',0.067,0.051,0.104,110.800,34.975,-0.236,1.024
'[15:36:26.280 02/03/1995]',0.063,0.050,0.098,112.950,34.625,-0.167,1.024
'[15:36:26.282 02/03/1995]',0.059,0.049,0.091,112.950,34.625,-0.167,1.024
'[15:36:26.284 02/03/1995]',0.054,0.048,0.084,112.950,34.625,-0.167,1.024
'[15:36:26.286 02/03/1995]',0.050,0.047,0.077,112.950,34.625,-0.167,1.024
'[15:36:26.288 02/03/1995]',0.046,0.045,0.070,114.450,34.100,-0.092,1.024
'[15:36:26.290 02/03/1995]',0.042,0.043,0.062,114.450,34.100,-0.092,1.024
'[15:36:26.292 02/03/1995]',0.038,0.041,0.055,114.450,34.100,-0.092,1.024
'[15:36:26.294 02/03/1995]',0.034,0.039,0.048,114.450,34.100,-0.092,1.024
'[15:36:26.296 02/03/1995]',0.030,0.036,0.042,115.350,33.375,-0.011,1.024
'[15:36:26.298 02/03/1995]',0.027,0.034,0.036,115.350,33.375,-0.011,1.024
'[15:36:26.300 02/03/1995]',0.024,0.032,0.030,115.350,33.375,-0.011,1.024
'[15:36:26.302 02/03/1995]',0.020,0.029,0.025,115.350,33.375,-0.011,1.024
'[15:36:26.304 02/03/1995]',0.017,0.026,0.021,115.500,32.575,0.073,1.024
'[15:36:26.306 02/03/1995]',0.013,0.024,0.017,115.500,32.575,0.073,1.024
'[15:36:26.308 02/03/1995]',0.010,0.022,0.015,115.500,32.575,0.073,1.024
'[15:36:26.310 02/03/1995]',0.007,0.021,0.013,115.500,32.575,0.073,1.024
'[15:36:26.312 02/03/1995]',0.004,0.021,0.011,115.050,31.800,0.162,1.024
'[15:36:26.314 02/03/1995]',0.001,0.021,0.009,115.050,31.800,0.162,1.024
'[15:36:26.316 02/03/1995]',-0.002,0.020,0.006,115.050,31.800,0.162,1.024
'[15:36:26.318 02/03/1995]',-0.004,0.019,0.003,115.050,31.800,0.162,1.024
'[15:36:26.320 02/03/1995]',-0.007,0.018,0.000,113.950,30.975,0.248,1.024
'[15:36:26.322 02/03/1995]',-0.010,0.016,-0.003,113.950,30.975,0.248,1.024
'[15:36:26.324 02/03/1995]',-0.012,0.015,-0.006,113.950,30.975,0.248,1.024
'[15:36:26.326 02/03/1995]',-0.014,0.015,-0.009,113.950,30.975,0.248,1.024
'[15:36:26.328 02/03/1995]',-0.015,0.014,-0.013,112.300,30.100,0.331,1.024
'[15:36:26.330 02/03/1995]',-0.017,0.013,-0.016,112.300,30.100,0.331,1.024
'[15:36:26.332 02/03/1995]',-0.018,0.012,-0.018,112.300,30.100,0.331,1.024
'[15:36:26.334 02/03/1995]',-0.018,0.011,-0.020,112.300,30.100,0.331,1.024
'[15:36:26.336 02/03/1995]',-0.018,0.010,-0.021,110.200,29.175,0.402,1.024
'[15:36:26.338 02/03/1995]',-0.019,0.009,-0.023,110.200,29.175,0.402,1.024
'[15:36:26.340 02/03/1995]',-0.019,0.009,-0.024,110.200,29.175,0.402,1.024
'[15:36:26.342 02/03/1995]',-0.019,0.008,-0.025,110.200,29.175,0.402,1.024
'[15:36:26.344 02/03/1995]',-0.019,0.007,-0.025,107.600,28.350,0.465,1.024
'[15:36:26.346 02/03/1995]',-0.020,0.007,-0.026,107.600,28.350,0.465,1.024
'[15:36:26.348 02/03/1995]',-0.021,0.009,-0.025,107.600,28.350,0.465,1.024
'[15:36:26.350 02/03/1995]',-0.021,0.010,-0.023,107.600,28.350,0.465,1.024
'[15:36:26.352 02/03/1995]',-0.021,0.011,-0.022,104.750,27.750,0.515,1.024
'[15:36:26.354 02/03/1995]',-0.020,0.011,-0.022,104.750,27.750,0.515,1.024
'[15:36:26.356 02/03/1995]',-0.020,0.011,-0.021,104.750,27.750,0.515,1.024
'[15:36:26.358 02/03/1995]',-0.020,0.011,-0.021,104.750,27.750,0.515,1.024
'[15:36:26.360 02/03/1995]',-0.020,0.011,-0.020,101.650,27.300,0.549,1.024
'[15:36:26.362 02/03/1995]',-0.020,0.010,-0.019,101.650,27.300,0.549,1.024
'[15:36:26.364 02/03/1995]',-0.020,0.009,-0.018,101.650,27.300,0.549,1.024
'[15:36:26.366 02/03/1995]',-0.020,0.008,-0.017,101.650,27.300,0.549,1.024
'[15:36:26.368 02/03/1995]',-0.019,0.007,-0.017,98.400,26.875,0.573,1.024
'[15:36:26.370 02/03/1995]',-0.019,0.006,-0.016,98.400,26.875,0.573,1.024
'[15:36:26.372 02/03/1995]',-0.018,0.006,-0.015,98.400,26.875,0.573,1.024
'[15:36:26.374 02/03/1995]',-0.018,0.007,-0.014,98.400,26.875,0.573,1.024
'[15:36:26.376 02/03/1995]',-0.018,0.007,-0.012,95.200,26.650,0.583,1.024
'[15:36:26.378 02/03/1995]',-0.018,0.008,-0.010,95.200,26.650,0.583,1.024
'[15:36:26.380 02/03/1995]',-0.017,0.009,-0.008,95.200,26.650,0.583,1.024
'[15:36:26.382 02/03/1995]',-0.015,0.010,-0.006,95.200,26.650,0.583,1.024
'[15:36:26.384 02/03/1995]',-0.013,0.011,-0.004,92.200,27.000,0.573,1.024
'[15:36:26.386 02/03/1995]',-0.011,0.012,-0.001,92.200,27.000,0.573,1.024
'[15:36:26.388 02/03/1995]',-0.011,0.013,0.000,92.200,27.000,0.573,1.024
'[15:36:26.390 02/03/1995]',-0.010,0.014,0.001,92.200,27.000,0.573,1.024
'[15:36:26.392 02/03/1995]',-0.009,0.015,0.002,89.450,28.000,0.551,1.024
'[15:36:26.394 02/03/1995]',-0.008,0.016,0.003,89.450,28.000,0.551,1.024
'[15:36:26.396 02/03/1995]',-0.007,0.017,0.004,89.450,28.000,0.551,1.024
'[15:36:26.398 02/03/1995]',-0.006,0.018,0.004,89.450,28.000,0.551,1.024
'[15:36:26.400 02/03/1995]',-0.004,0.021,0.005,87.100,29.350,0.521,1.024
'[15:36:26.402 02/03/1995]',-0.003,0.024,0.007,87.100,29.350,0.521,1.024
'[15:36:26.404 02/03/1995]',-0.001,0.028,0.009,87.100,29.350,0.521,1.024
'[15:36:26.406 02/03/1995]',0.001,0.031,0.011,87.100,29.350,0.521,1.024
'[15:36:26.408 02/03/1995]',0.004,0.037,0.011,85.250,30.525,0.476,1.024
'[15:36:26.410 02/03/1995]',0.006,0.043,0.012,85.250,30.525,0.476,1.024
'[15:36:26.412 02/03/1995]',0.007,0.050,0.013,85.250,30.525,0.476,1.024
'[15:36:26.414 02/03/1995]',0.009,0.057,0.014,85.250,30.525,0.476,1.024
'[15:36:26.416 02/03/1995]',0.010,0.063,0.015,83.900,31.275,0.419,1.024
'[15:36:26.418 02/03/1995]',0.011,0.069,0.015,83.900,31.275,0.419,1.024
'[15:36:26.420 02/03/1995]',0.013,0.073,0.015,83.900,31.275,0.419,1.024
'[15:36:26.422 02/03/1995]',0.014,0.078,0.014,83.900,31.275,0.419,1.024
'[15:36:26.424 02/03/1995]',0.015,0.083,0.014,83.050,31.750,0.357,1.024
'[15:36:26.426 02/03/1995]',0.016,0.087,0.014,83.050,31.750,0.357,1.024
'[15:36:26.428 02/03/1995]',0.017,0.092,0.015,83.050,31.750,0.357,1.024
'[15:36:26.430 02/03/1995]',0.017,0.097,0.015,83.050,31.750,0.357,1.024
'[15:36:26.432 02/03/1995]',0.018,0.102,0.016,82.700,31.925,0.286,1.024
'[15:36:26.434 02/03/1995]',0.020,0.108,0.017,82.700,31.925,0.286,1.024
'[15:36:26.436 02/03/1995]',0.021,0.113,0.018,82.700,31.925,0.286,1.024
'[15:36:26.438 02/03/1995]',0.021,0.117,0.019,82.700,31.925,0.286,1.024
'[15:36:26.440 02/03/1995]',0.022,0.119,0.018,82.850,31.750,0.213,1.024
'[15:36:26.442 02/03/1995]',0.023,0.121,0.018,82.850,31.750,0.213,1.024
'[15:36:26.444 02/03/1995]',0.024,0.120,0.018,82.850,31.750,0.213,1.024
'[15:36:26.446 02/03/1995]',0.025,0.119,0.018,82.850,31.750,0.213,1.024
'[15:36:26.448 02/03/1995]',0.025,0.115,0.018,83.300,31.275,0.139,1.024
'[15:36:26.450 02/03/1995]',0.025,0.111,0.017,83.300,31.275,0.139,1.024
'[15:36:26.452 02/03/1995]',0.023,0.105,0.016,83.300,31.275,0.139,1.024
'[15:36:26.454 02/03/1995]',0.021,0.099,0.015,83.300,31.275,0.139,1.024
'[15:36:26.456 02/03/1995]',0.019,0.092,0.015,84.000,30.700,0.064,1.024
'[15:36:26.458 02/03/1995]',0.018,0.086,0.014,84.000,30.700,0.064,1.024
'[15:36:26.460 02/03/1995]',0.017,0.079,0.014,84.000,30.700,0.064,1.024
'[15:36:26.462 02/03/1995]',0.016,0.072,0.014,84.000,30.700,0.064,1.024
'[15:36:26.464 02/03/1995]',0.015,0.065,0.014,84.900,30.000,-0.006,1.024
'[15:36:26.466 02/03/1995]',0.014,0.057,0.014,84.900,30.000,-0.006,1.024
'[15:36:26.468 02/03/1995]',0.012,0.050,0.014,84.900,30.000,-0.006,1.024
'[15:36:26.470 02/03/1995]',0.010,0.043,0.014,84.900,30.000,-0.006,1.024
'[15:36:26.472 02/03/1995]',0.008,0.037,0.013,85.800,29.100,-0.068,1.024
'[15:36:26.474 02/03/1995]',0.006,0.031,0.013,85.800,29.100,-0.068,1.024
'[15:36:26.476 02/03/1995]',0.004,0.027,0.011,85.800,29.100,-0.068,1.024
'[15:36:26.478 02/03/1995]',0.001,0.023,0.009,85.800,29.100,-0.068,1.024
'[15:36:26.480 02/03/1995]',-0.002,0.020,0.006,86.750,28.050,-0.121,1.024
'[15:36:26.482 02/03/1995]',-0.004,0.017,0.003,86.750,28.050,-0.121,1.024
'[15:36:26.484 02/03/1995]',-0.007,0.015,0.000,86.750,28.050,-0.121,1.024
'[15:36:26.486 02/03/1995]',-0.010,0.012,-0.003,86.750,28.050,-0.121,1.024
'[15:36:26.488 02/03/1995]',-0.013,0.009,-0.005,87.650,26.825,-0.166,1.024
'[15:36:26.490 02/03/1995]',-0.015,0.006,-0.008,87.650,26.825,-0.166,1.024
'[15:36:26.492 02/03/1995]',-0.018,0.004,-0.011,87.650,26.825,-0.166,1.024
'[15:36:26.494 02/03/1995]',-0.020,0.002,-0.013,87.650,26.825,-0.166,1.024
'[15:36:26.496 02/03/1995]',-0.021,0.001,-0.015,88.350,25.700,-0.198,1.024
'[15:36:26.498 02/03/1995]',-0.023,0.000,-0.016,88.350,25.700,-0.198,1.024
'[15:36:26.500 02/03/1995]',-0.023,-0.001,-0.017,88.350,25.700,-0.198,1.024
'[15:36:26.502 02/03/1995]',-0.023,-0.002,-0.018,88.350,25.700,-0.198,1.024
'[15:36:26.504 02/03/1995]',-0.024,-0.004,-0.018,88.900,24.725,-0.219,1.024
'[15:36:26.506 02/03/1995]',-0.025,-0.005,-0.019,88.900,24.725,-0.219,1.024
'[15:36:26.508 02/03/1995]',-0.026,-0.008,-0.018,88.900,24.725,-0.219,1.024
'[15:36:26.510 02/03/1995]',-0.027,-0.011,-0.018,88.900,24.725,-0.219,1.024
'[15:36:26.512 02/03/1995]',-0.026,-0.013,-0.017,89.350,23.775,-0.229,1.024
'[15:36:26.514 02/03/1995]',-0.026,-0.016,-0.016,89.350,23.775,-0.229,1.024
'[15:36:26.516 02/03/1995]',-0.026,-0.018,-0.015,89.350,23.775,-0.229,1.024
'[15:36:26.518 02/03/1995]',-0.026,-0.020,-0.014,89.350,23.775,-0.229,1.024
'[15:36:26.520 02/03/1995]',-0.025,-0.021,-0.013,89.550,23.025,-0.233,1.024
'[15:36:26.522 02/03/1995]',-0.025,-0.022,-0.011,89.550,23.025,-0.233,1.024
'[15:36:26.524 02/03/1995]',-0.024,-0.021,-0.011,89.550,23.025,-0.233,1.024
'[15:36:26.526 02/03/1995]',-0.023,-0.021,-0.011,89.550,23.025,-0.233,1.024
'[15:36:26.528 02/03/1995]',-0.022,-0.021,-0.011,89.550,22.375,-0.225,1.024
'[15:36:26.530 02/03/1995]',-0.021,-0.020,-0.011,89.550,22.375,-0.225,1.024
'[15:36:26.532 02/03/1995]',-0.020,-0.020,-0.011,89.550,22.375,-0.225,1.024
'[15:36:26.534 02/03/1995]',-0.019,-0.020,-0.011,89.550,22.375,-0.225,1.024
'[15:36:26.536 02/03/1995]',-0.018,-0.019,-0.011,89.450,22.025,-0.217,1.024
'[15:36:26.538 02/03/1995]',-0.018,-0.019,-0.011,89.450,22.025,-0.217,1.024
'[15:36:26.540 02/03/1995]',-0.018,-0.018,-0.011,89.450,22.025,-0.217,1.024
'[15:36:26.542 02/03/1995]',-0.019,-0.018,-0.010,89.450,22.025,-0.217,1.024
'[15:36:26.544 02/03/1995]',-0.019,-0.018,-0.009,89.150,21.900,-0.202,1.014
'[15:36:26.546 02/03/1995]',-0.019,-0.019,-0.008,89.150,21.900,-0.202,1.014
'[15:36:26.548 02/03/1995]',-0.019,-0.018,-0.007,89.150,21.900,-0.202,1.014
'[15:36:26.550 02/03/1995]',-0.019,-0.018,-0.007,89.150,21.900,-0.202,1.014
'[15:36:26.552 02/03/1995]',-0.019,-0.018,-0.006,88.750,22.075,-0.191,1.002
'[15:36:26.554 02/03/1995]',-0.019,-0.017,-0.006,88.750,22.075,-0.191,1.002
'[15:36:26.556 02/03/1995]',-0.018,-0.018,-0.005,88.750,22.075,-0.191,1.002
'[15:36:26.558 02/03/1995]',-0.018,-0.018,-0.005,88.750,22.075,-0.191,1.002
'[15:36:26.560 02/03/1995]',-0.017,-0.019,-0.004,88.350,22.375,-0.177,0.989
'[15:36:26.562 02/03/1995]',-0.016,-0.020,-0.002,88.350,22.375,-0.177,0.989
'[15:36:26.564 02/03/1995]',-0.015,-0.021,0.000,88.350,22.375,-0.177,0.989
'[15:36:26.566 02/03/1995]',-0.014,-0.021,0.002,88.350,22.375,-0.177,0.989
'[15:36:26.568 02/03/1995]',-0.011,-0.019,0.004,87.850,22.850,-0.166,0.975
'[15:36:26.570 02/03/1995]',-0.008,-0.017,0.007,87.850,22.850,-0.166,0.975
'[15:36:26.572 02/03/1995]',-0.003,-0.013,0.013,87.850,22.850,-0.166,0.975
'[15:36:26.574 02/03/1995]',0.002,-0.009,0.019,87.850,22.850,-0.166,0.975
'[15:36:26.576 02/03/1995]',0.011,-0.004,0.032,87.300,23.250,-0.160,0.962
'[15:36:26.578 02/03/1995]',0.019,0.001,0.045,87.300,23.250,-0.160,0.962
