'Time and date','V','II','V','ABP','PAP','PLETH','RESP'
'[07:23:51.088 15/12/1995]',0.008,-0.024,-0.011,93.323,48.850,0.000,-0.650
'[07:23:51.090 15/12/1995]',0.007,-0.024,0.001,93.323,48.850,0.000,-0.650
'[07:23:51.092 15/12/1995]',0.007,-0.024,0.001,93.323,48.850,0.000,-0.650
'[07:23:51.094 15/12/1995]',0.007,-0.023,0.006,93.323,48.850,0.000,-0.650
'[07:23:51.096 15/12/1995]',0.008,-0.021,0.006,89.872,48.600,0.000,-0.631
'[07:23:51.098 15/12/1995]',0.008,-0.020,0.006,89.872,48.600,0.000,-0.631
'[07:23:51.100 15/12/1995]',0.008,-0.020,0.001,89.872,48.600,0.000,-0.631
'[07:23:51.102 15/12/1995]',0.009,-0.020,0.001,89.872,48.600,0.000,-0.631
'[07:23:51.104 15/12/1995]',0.009,-0.022,0.001,86.722,48.300,0.000,-0.611
'[07:23:51.106 15/12/1995]',0.010,-0.024,-0.005,86.722,48.300,0.000,-0.611
'[07:23:51.108 15/12/1995]',0.009,-0.026,0.001,86.722,48.300,0.000,-0.611
'[07:23:51.110 15/12/1995]',0.009,-0.028,0.001,86.722,48.300,0.000,-0.611
'[07:23:51.112 15/12/1995]',0.008,-0.031,0.006,84.171,47.850,0.000,-0.589
'[07:23:51.114 15/12/1995]',0.007,-0.033,0.006,84.171,47.850,0.000,-0.589
'[07:23:51.116 15/12/1995]',0.006,-0.034,0.001,84.171,47.850,0.000,-0.589
'[07:23:51.118 15/12/1995]',0.006,-0.036,-0.005,84.171,47.850,0.000,-0.589
'[07:23:51.120 15/12/1995]',0.005,-0.037,-0.005,82.071,47.250,0.000,-0.566
'[07:23:51.122 15/12/1995]',0.005,-0.038,-0.005,82.071,47.250,0.000,-0.566
'[07:23:51.124 15/12/1995]',0.006,-0.039,0.001,82.071,47.250,0.000,-0.566
'[07:23:51.126 15/12/1995]',0.006,-0.040,0.001,82.071,47.250,0.000,-0.566
'[07:23:51.128 15/12/1995]',0.006,-0.041,0.006,80.345,46.550,0.000,-0.543
'[07:23:51.130 15/12/1995]',0.007,-0.042,0.001,80.345,46.550,0.000,-0.543
'[07:23:51.132 15/12/1995]',0.007,-0.042,0.001,80.345,46.550,0.000,-0.543
'[07:23:51.134 15/12/1995]',0.007,-0.042,0.001,80.345,46.550,0.000,-0.543
'[07:23:51.136 15/12/1995]',0.006,-0.042,-0.005,78.920,45.700,0.000,-0.521
'[07:23:51.138 15/12/1995]',0.006,-0.041,-0.005,78.920,45.700,0.000,-0.521
'[07:23:51.140 15/12/1995]',0.006,-0.040,-0.005,78.920,45.700,0.000,-0.521
'[07:23:51.142 15/12/1995]',0.006,-0.038,0.001,78.920,45.700,0.000,-0.521
'[07:23:51.144 15/12/1995]',0.006,-0.036,0.001,77.419,44.600,0.000,-0.499
'[07:23:51.146 15/12/1995]',0.006,-0.034,0.001,77.419,44.600,0.000,-0.499
'[07:23:51.148 15/12/1995]',0.006,-0.031,0.001,77.419,44.600,0.000,-0.499
'[07:23:51.150 15/12/1995]',0.006,-0.029,-0.005,77.419,44.600,0.000,-0.499
'[07:23:51.152 15/12/1995]',0.007,-0.027,-0.005,75.844,43.250,0.000,-0.479
'[07:23:51.154 15/12/1995]',0.007,-0.024,-0.005,75.844,43.250,0.000,-0.479
'[07:23:51.156 15/12/1995]',0.008,-0.022,0.001,75.844,43.250,0.000,-0.479
'[07:23:51.158 15/12/1995]',0.008,-0.019,0.001,75.844,43.250,0.000,-0.479
'[07:23:51.160 15/12/1995]',0.008,-0.016,0.006,74.044,41.500,0.000,-0.461
'[07:23:51.162 15/12/1995]',0.007,-0.013,0.006,74.044,41.500,0.000,-0.461
'[07:23:51.164 15/12/1995]',0.007,-0.010,0.001,74.044,41.500,0.000,-0.461
'[07:23:51.166 15/12/1995]',0.007,-0.007,-0.005,74.044,41.500,0.000,-0.461
'[07:23:51.168 15/12/1995]',0.007,-0.005,-0.005,71.943,39.550,0.000,-0.444
'[07:23:51.170 15/12/1995]',0.007,-0.002,-0.011,71.943,39.550,0.000,-0.444
'[07:23:51.172 15/12/1995]',0.006,-0.000,-0.011,71.943,39.550,0.000,-0.444
'[07:23:51.174 15/12/1995]',0.005,0.002,-0.005,71.943,39.550,0.000,-0.444
'[07:23:51.176 15/12/1995]',0.004,0.003,0.001,69.392,37.800,0.000,-0.428
'[07:23:51.178 15/12/1995]',0.003,0.005,0.001,69.392,37.800,0.000,-0.428
'[07:23:51.180 15/12/1995]',0.002,0.006,0.001,69.392,37.800,0.000,-0.428
'[07:23:51.182 15/12/1995]',0.002,0.008,-0.011,69.392,37.800,0.000,-0.428
'[07:23:51.184 15/12/1995]',0.002,0.009,-0.011,66.542,36.400,0.000,-0.415
'[07:23:51.186 15/12/1995]',0.002,0.011,-0.011,66.542,36.400,0.000,-0.415
'[07:23:51.188 15/12/1995]',0.002,0.012,-0.011,66.542,36.400,0.000,-0.415
'[07:23:51.190 15/12/1995]',0.002,0.014,-0.011,66.542,36.400,0.000,-0.415
'[07:23:51.192 15/12/1995]',0.001,0.014,-0.005,63.241,35.400,0.000,-0.405
'[07:23:51.194 15/12/1995]',0.001,0.014,-0.005,63.241,35.400,0.000,-0.405
'[07:23:51.196 15/12/1995]',0.000,0.013,-0.005,63.241,35.400,0.000,-0.405
'[07:23:51.198 15/12/1995]',-0.001,0.012,-0.005,63.241,35.400,0.000,-0.405
'[07:23:51.200 15/12/1995]',-0.002,0.013,-0.011,59.865,34.900,0.000,-0.398
'[07:23:51.202 15/12/1995]',-0.003,0.014,-0.011,59.865,34.900,0.000,-0.398
'[07:23:51.204 15/12/1995]',-0.003,0.018,-0.023,59.865,34.900,0.000,-0.398
'[07:23:51.206 15/12/1995]',-0.004,0.021,-0.023,59.865,34.900,0.000,-0.398
'[07:23:51.208 15/12/1995]',-0.005,0.024,-0.005,56.489,34.750,0.000,-0.393
'[07:23:51.210 15/12/1995]',-0.006,0.027,-0.011,56.489,34.750,0.000,-0.393
'[07:23:51.212 15/12/1995]',-0.007,0.030,-0.011,56.489,34.750,0.000,-0.393
'[07:23:51.214 15/12/1995]',-0.008,0.034,-0.011,56.489,34.750,0.000,-0.393
'[07:23:51.216 15/12/1995]',-0.009,0.035,-0.011,53.338,35.000,0.000,-0.389
'[07:23:51.218 15/12/1995]',-0.009,0.037,-0.023,53.338,35.000,0.000,-0.389
'[07:23:51.220 15/12/1995]',-0.008,0.037,-0.023,53.338,35.000,0.000,-0.389
'[07:23:51.222 15/12/1995]',-0.008,0.037,-0.011,53.338,35.000,0.000,-0.389
'[07:23:51.224 15/12/1995]',-0.007,0.036,-0.011,50.713,35.450,0.000,-0.388
'[07:23:51.226 15/12/1995]',-0.006,0.036,-0.005,50.713,35.450,0.000,-0.388
'[07:23:51.228 15/12/1995]',-0.006,0.035,-0.005,50.713,35.450,0.000,-0.388
'[07:23:51.230 15/12/1995]',-0.006,0.035,-0.011,50.713,35.450,0.000,-0.388
'[07:23:51.232 15/12/1995]',-0.006,0.034,-0.011,48.612,36.100,0.000,-0.388
'[07:23:51.234 15/12/1995]',-0.006,0.033,-0.023,48.612,36.100,0.000,-0.388
'[07:23:51.236 15/12/1995]',-0.007,0.031,-0.023,48.612,36.100,0.000,-0.388
'[07:23:51.238 15/12/1995]',-0.008,0.030,-0.023,48.612,36.100,0.000,-0.388
'[07:23:51.240 15/12/1995]',-0.008,0.028,-0.023,47.187,36.800,0.000,-0.389
'[07:23:51.242 15/12/1995]',-0.008,0.027,-0.011,47.187,36.800,0.000,-0.389
'[07:23:51.244 15/12/1995]',-0.009,0.026,-0.011,47.187,36.800,0.000,-0.389
'[07:23:51.246 15/12/1995]',-0.009,0.025,-0.011,47.187,36.800,0.000,-0.389
'[07:23:51.248 15/12/1995]',-0.010,0.025,-0.011,46.212,37.500,0.000,-0.390
'[07:23:51.250 15/12/1995]',-0.010,0.024,-0.023,46.212,37.500,0.000,-0.390
'[07:23:51.252 15/12/1995]',-0.011,0.024,-0.023,46.212,37.500,0.000,-0.390
'[07:23:51.254 15/12/1995]',-0.012,0.024,-0.023,46.212,37.500,0.000,-0.390
'[07:23:51.256 15/12/1995]',-0.012,0.025,-0.023,45.686,38.100,0.000,-0.390
'[07:23:51.258 15/12/1995]',-0.013,0.025,-0.023,45.686,38.100,0.000,-0.390
'[07:23:51.260 15/12/1995]',-0.014,0.025,-0.023,45.686,38.100,0.000,-0.390
'[07:23:51.262 15/12/1995]',-0.015,0.024,-0.023,45.686,38.100,0.000,-0.390
'[07:23:51.264 15/12/1995]',-0.015,0.023,-0.023,45.311,38.500,0.000,-0.388
'[07:23:51.266 15/12/1995]',-0.015,0.022,-0.023,45.311,38.500,0.000,-0.388
'[07:23:51.268 15/12/1995]',-0.014,0.022,-0.028,45.311,38.500,0.000,-0.388
'[07:23:51.270 15/12/1995]',-0.013,0.022,-0.028,45.311,38.500,0.000,-0.388
'[07:23:51.272 15/12/1995]',-0.012,0.022,-0.028,45.161,38.800,0.000,-0.386
'[07:23:51.274 15/12/1995]',-0.010,0.021,-0.011,45.161,38.800,0.000,-0.386
'[07:23:51.276 15/12/1995]',-0.009,0.021,-0.005,45.161,38.800,0.000,-0.386
'[07:23:51.278 15/12/1995]',-0.008,0.020,-0.005,45.161,38.800,0.000,-0.386
'[07:23:51.280 15/12/1995]',-0.006,0.019,-0.011,45.086,38.900,0.000,-0.383
'[07:23:51.282 15/12/1995]',-0.005,0.019,-0.011,45.086,38.900,0.000,-0.383
'[07:23:51.284 15/12/1995]',-0.004,0.019,-0.023,45.086,38.900,0.000,-0.383
'[07:23:51.286 15/12/1995]',-0.004,0.020,-0.023,45.086,38.900,0.000,-0.383
'[07:23:51.288 15/12/1995]',-0.003,0.021,-0.011,45.161,38.800,0.000,-0.382
'[07:23:51.290 15/12/1995]',-0.002,0.022,-0.011,45.161,38.800,0.000,-0.382
'[07:23:51.292 15/12/1995]',-0.002,0.024,-0.005,45.161,38.800,0.000,-0.382
'[07:23:51.294 15/12/1995]',-0.003,0.026,-0.011,45.161,38.800,0.000,-0.382
'[07:23:51.296 15/12/1995]',-0.004,0.028,-0.011,45.386,38.550,0.000,-0.381
'[07:23:51.298 15/12/1995]',-0.005,0.031,-0.023,45.386,38.550,0.000,-0.381
'[07:23:51.300 15/12/1995]',-0.006,0.032,-0.028,45.386,38.550,0.000,-0.381
'[07:23:51.302 15/12/1995]',-0.008,0.034,-0.034,45.386,38.550,0.000,-0.381
'[07:23:51.304 15/12/1995]',-0.010,0.034,-0.028,45.686,38.300,0.000,-0.381
'[07:23:51.306 15/12/1995]',-0.011,0.034,-0.028,45.686,38.300,0.000,-0.381
'[07:23:51.308 15/12/1995]',-0.011,0.033,-0.023,45.686,38.300,0.000,-0.381
'[07:23:51.310 15/12/1995]',-0.011,0.033,-0.011,45.686,38.300,0.000,-0.381
'[07:23:51.312 15/12/1995]',-0.011,0.032,-0.011,45.911,37.800,0.000,-0.381
'[07:23:51.314 15/12/1995]',-0.010,0.031,-0.005,45.911,37.800,0.000,-0.381
'[07:23:51.316 15/12/1995]',-0.010,0.032,-0.011,45.911,37.800,0.000,-0.381
'[07:23:51.318 15/12/1995]',-0.009,0.032,-0.023,45.911,37.800,0.000,-0.381
'[07:23:51.320 15/12/1995]',-0.010,0.035,-0.028,46.212,37.350,0.000,-0.381
'[07:23:51.322 15/12/1995]',-0.011,0.038,-0.028,46.212,37.350,0.000,-0.381
'[07:23:51.324 15/12/1995]',-0.012,0.043,-0.023,46.212,37.350,0.000,-0.381
'[07:23:51.326 15/12/1995]',-0.013,0.049,-0.023,46.212,37.350,0.000,-0.381
'[07:23:51.328 15/12/1995]',-0.015,0.055,-0.023,46.362,36.750,0.000,-0.380
'[07:23:51.330 15/12/1995]',-0.016,0.061,-0.023,46.362,36.750,0.000,-0.380
'[07:23:51.332 15/12/1995]',-0.017,0.066,-0.028,46.362,36.750,0.000,-0.380
'[07:23:51.334 15/12/1995]',-0.018,0.072,-0.028,46.362,36.750,0.000,-0.380
'[07:23:51.336 15/12/1995]',-0.020,0.076,-0.034,46.437,36.150,0.000,-0.378
'[07:23:51.338 15/12/1995]',-0.021,0.079,-0.034,46.437,36.150,0.000,-0.378
'[07:23:51.340 15/12/1995]',-0.023,0.082,-0.034,46.437,36.150,0.000,-0.378
'[07:23:51.342 15/12/1995]',-0.024,0.084,-0.034,46.437,36.150,0.000,-0.378
'[07:23:51.344 15/12/1995]',-0.025,0.086,-0.034,46.437,35.500,0.000,-0.377
'[07:23:51.346 15/12/1995]',-0.025,0.088,-0.028,46.437,35.500,0.000,-0.377
'[07:23:51.348 15/12/1995]',-0.026,0.089,-0.028,46.437,35.500,0.000,-0.377
'[07:23:51.350 15/12/1995]',-0.026,0.091,-0.034,46.437,35.500,0.000,-0.377
'[07:23:51.352 15/12/1995]',-0.027,0.093,-0.046,46.212,34.950,0.000,-0.375
'[07:23:51.354 15/12/1995]',-0.028,0.096,-0.046,46.212,34.950,0.000,-0.375
'[07:23:51.356 15/12/1995]',-0.028,0.100,-0.046,46.212,34.950,0.000,-0.375
'[07:23:51.358 15/12/1995]',-0.029,0.105,-0.034,46.212,34.950,0.000,-0.375
'[07:23:51.360 15/12/1995]',-0.029,0.108,-0.034,46.062,34.350,0.000,-0.374
'[07:23:51.362 15/12/1995]',-0.030,0.112,-0.034,46.062,34.350,0.000,-0.374
'[07:23:51.364 15/12/1995]',-0.031,0.113,-0.034,46.062,34.350,0.000,-0.374
'[07:23:51.366 15/12/1995]',-0.032,0.114,-0.046,46.062,34.350,0.000,-0.374
'[07:23:51.368 15/12/1995]',-0.033,0.114,-0.046,45.761,33.850,0.000,-0.373
'[07:23:51.370 15/12/1995]',-0.033,0.113,-0.052,45.761,33.850,0.000,-0.373
'[07:23:51.372 15/12/1995]',-0.034,0.110,-0.046,45.761,33.850,0.000,-0.373
'[07:23:51.374 15/12/1995]',-0.035,0.107,-0.046,45.761,33.850,0.000,-0.373
'[07:23:51.376 15/12/1995]',-0.036,0.103,-0.034,45.386,33.300,0.000,-0.372
'[07:23:51.378 15/12/1995]',-0.037,0.099,-0.046,45.386,33.300,0.000,-0.372
'[07:23:51.380 15/12/1995]',-0.038,0.097,-0.046,45.386,33.300,0.000,-0.372
'[07:23:51.382 15/12/1995]',-0.040,0.095,-0.052,45.386,33.300,0.000,-0.372
'[07:23:51.384 15/12/1995]',-0.042,0.095,-0.052,45.011,32.850,0.000,-0.372
'[07:23:51.386 15/12/1995]',-0.043,0.095,-0.063,45.011,32.850,0.000,-0.372
'[07:23:51.388 15/12/1995]',-0.044,0.096,-0.063,45.011,32.850,0.000,-0.372
'[07:23:51.390 15/12/1995]',-0.045,0.098,-0.052,45.011,32.850,0.000,-0.372
'[07:23:51.392 15/12/1995]',-0.046,0.099,-0.052,44.561,32.400,0.000,-0.371
'[07:23:51.394 15/12/1995]',-0.046,0.101,-0.046,44.561,32.400,0.000,-0.371
'[07:23:51.396 15/12/1995]',-0.046,0.101,-0.046,44.561,32.400,0.000,-0.371
'[07:23:51.398 15/12/1995]',-0.045,0.102,-0.052,44.561,32.400,0.000,-0.371
'[07:23:51.400 15/12/1995]',-0.043,0.101,-0.052,44.036,32.000,0.000,-0.371
'[07:23:51.402 15/12/1995]',-0.041,0.099,-0.052,44.036,32.000,0.000,-0.371
'[07:23:51.404 15/12/1995]',-0.038,0.095,-0.046,44.036,32.000,0.000,-0.371
'[07:23:51.406 15/12/1995]',-0.035,0.090,-0.034,44.036,32.000,0.000,-0.371
'[07:23:51.408 15/12/1995]',-0.032,0.084,-0.028,43.511,31.600,0.000,-0.371
'[07:23:51.410 15/12/1995]',-0.030,0.079,-0.023,43.511,31.600,0.000,-0.371
'[07:23:51.412 15/12/1995]',-0.027,0.073,-0.023,43.511,31.600,0.000,-0.371
'[07:23:51.414 15/12/1995]',-0.024,0.067,-0.023,43.511,31.600,0.000,-0.371
'[07:23:51.416 15/12/1995]',-0.022,0.061,-0.028,43.061,31.300,0.000,-0.371
'[07:23:51.418 15/12/1995]',-0.020,0.056,-0.028,43.061,31.300,0.000,-0.371
'[07:23:51.420 15/12/1995]',-0.018,0.050,-0.028,43.061,31.300,0.000,-0.371
'[07:23:51.422 15/12/1995]',-0.017,0.044,-0.028,43.061,31.300,0.000,-0.371
'[07:23:51.424 15/12/1995]',-0.016,0.037,-0.023,42.536,31.050,0.000,-0.371
'[07:23:51.426 15/12/1995]',-0.015,0.031,-0.011,42.536,31.050,0.000,-0.371
'[07:23:51.428 15/12/1995]',-0.014,0.023,-0.011,42.536,31.050,0.000,-0.371
'[07:23:51.430 15/12/1995]',-0.013,0.016,-0.011,42.536,31.050,0.000,-0.371
'[07:23:51.432 15/12/1995]',-0.012,0.010,-0.011,42.011,30.850,0.000,-0.371
'[07:23:51.434 15/12/1995]',-0.011,0.003,-0.023,42.011,30.850,0.000,-0.371
'[07:23:51.436 15/12/1995]',-0.010,-0.003,-0.028,42.011,30.850,0.000,-0.371
'[07:23:51.438 15/12/1995]',-0.009,-0.008,-0.023,42.011,30.850,0.000,-0.371
'[07:23:51.440 15/12/1995]',-0.008,-0.012,-0.011,41.485,30.500,0.000,-0.371
'[07:23:51.442 15/12/1995]',-0.007,-0.015,-0.005,41.485,30.500,0.000,-0.371
'[07:23:51.444 15/12/1995]',-0.006,-0.018,-0.005,41.485,30.500,0.000,-0.371
'[07:23:51.446 15/12/1995]',-0.004,-0.021,-0.005,41.485,30.500,0.000,-0.371
'[07:23:51.448 15/12/1995]',-0.002,-0.024,-0.005,40.960,30.200,0.000,-0.371
'[07:23:51.450 15/12/1995]',0.000,-0.026,-0.005,40.960,30.200,0.000,-0.371
'[07:23:51.452 15/12/1995]',0.002,-0.027,-0.005,40.960,30.200,0.000,-0.371
'[07:23:51.454 15/12/1995]',0.004,-0.029,0.001,40.960,30.200,0.000,-0.371
'[07:23:51.456 15/12/1995]',0.005,-0.030,0.001,40.435,29.850,0.000,-0.371
'[07:23:51.458 15/12/1995]',0.006,-0.031,0.006,40.435,29.850,0.000,-0.371
'[07:23:51.460 15/12/1995]',0.005,-0.031,0.001,40.435,29.850,0.000,-0.371
'[07:23:51.462 15/12/1995]',0.005,-0.031,0.001,40.435,29.850,0.000,-0.371
'[07:23:51.464 15/12/1995]',0.004,-0.029,0.001,39.910,29.500,0.000,-0.371
'[07:23:51.466 15/12/1995]',0.004,-0.027,-0.005,39.910,29.500,0.000,-0.371
'[07:23:51.468 15/12/1995]',0.002,-0.024,-0.011,39.910,29.500,0.000,-0.371
'[07:23:51.470 15/12/1995]',0.001,-0.021,-0.011,39.910,29.500,0.000,-0.371
'[07:23:51.472 15/12/1995]',-0.001,-0.019,-0.023,39.460,29.250,0.000,-0.370
'[07:23:51.474 15/12/1995]',-0.002,-0.018,-0.023,39.460,29.250,0.000,-0.370
'[07:23:51.476 15/12/1995]',-0.003,-0.017,-0.011,39.460,29.250,0.000,-0.370
'[07:23:51.478 15/12/1995]',-0.004,-0.016,-0.005,39.460,29.250,0.000,-0.370
'[07:23:51.480 15/12/1995]',-0.004,-0.016,0.001,38.935,29.000,0.000,-0.366
'[07:23:51.482 15/12/1995]',-0.003,-0.017,-0.005,38.935,29.000,0.000,-0.366
'[07:23:51.484 15/12/1995]',-0.002,-0.016,-0.011,38.935,29.000,0.000,-0.366
'[07:23:51.486 15/12/1995]',0.000,-0.016,-0.011,38.935,29.000,0.000,-0.366
'[07:23:51.488 15/12/1995]',0.001,-0.014,-0.005,38.635,28.800,0.000,-0.361
'[07:23:51.490 15/12/1995]',0.002,-0.011,0.001,38.635,28.800,0.000,-0.361
'[07:23:51.492 15/12/1995]',0.001,-0.005,0.001,38.635,28.800,0.000,-0.361
'[07:23:51.494 15/12/1995]',0.000,0.002,0.001,38.635,28.800,0.000,-0.361
'[07:23:51.496 15/12/1995]',-0.005,0.014,-0.005,38.260,28.650,0.000,-0.353
'[07:23:51.498 15/12/1995]',-0.010,0.027,-0.023,38.260,28.650,0.000,-0.353
'[07:23:51.500 15/12/1995]',-0.020,0.048,-0.046,38.260,28.650,0.000,-0.353
'[07:23:51.502 15/12/1995]',-0.030,0.068,-0.069,38.260,28.650,0.000,-0.353
'[07:23:51.504 15/12/1995]',-0.047,0.095,-0.092,38.035,28.600,0.000,-0.345
'[07:23:51.506 15/12/1995]',-0.063,0.122,-0.115,38.035,28.600,0.000,-0.345
'[07:23:51.508 15/12/1995]',-0.086,0.153,-0.138,38.035,28.600,0.000,-0.345
'[07:23:51.510 15/12/1995]',-0.109,0.184,-0.161,38.035,28.600,0.000,-0.345
'[07:23:51.512 15/12/1995]',-0.135,0.217,-0.201,37.884,28.600,0.000,-0.338
'[07:23:51.514 15/12/1995]',-0.161,0.249,-0.236,37.884,28.600,0.000,-0.338
'[07:23:51.516 15/12/1995]',-0.187,0.278,-0.259,37.884,28.600,0.000,-0.338
'[07:23:51.518 15/12/1995]',-0.212,0.306,-0.282,37.884,28.600,0.000,-0.338
'[07:23:51.520 15/12/1995]',-0.232,0.325,-0.299,37.734,28.650,0.000,-0.331
'[07:23:51.522 15/12/1995]',-0.252,0.344,-0.299,37.734,28.650,0.000,-0.331
'[07:23:51.524 15/12/1995]',-0.263,0.348,-0.305,37.734,28.650,0.000,-0.331
'[07:23:51.526 15/12/1995]',-0.275,0.352,-0.288,37.734,28.650,0.000,-0.331
'[07:23:51.528 15/12/1995]',-0.276,0.338,-0.282,37.659,28.600,0.000,-0.325
'[07:23:51.530 15/12/1995]',-0.277,0.324,-0.282,37.659,28.600,0.000,-0.325
'[07:23:51.532 15/12/1995]',-0.268,0.294,-0.265,37.659,28.600,0.000,-0.325
'[07:23:51.534 15/12/1995]',-0.259,0.265,-0.242,37.659,28.600,0.000,-0.325
'[07:23:51.536 15/12/1995]',-0.242,0.226,-0.213,37.584,28.500,0.000,-0.319
'[07:23:51.538 15/12/1995]',-0.225,0.187,-0.178,37.584,28.500,0.000,-0.319
'[07:23:51.540 15/12/1995]',-0.204,0.147,-0.155,37.584,28.500,0.000,-0.319
'[07:23:51.542 15/12/1995]',-0.182,0.107,-0.126,37.584,28.500,0.000,-0.319
'[07:23:51.544 15/12/1995]',-0.159,0.071,-0.098,37.509,28.400,0.000,-0.313
'[07:23:51.546 15/12/1995]',-0.135,0.034,-0.086,37.509,28.400,0.000,-0.313
'[07:23:51.548 15/12/1995]',-0.113,0.004,-0.069,37.509,28.400,0.000,-0.313
'[07:23:51.550 15/12/1995]',-0.092,-0.026,-0.052,37.509,28.400,0.000,-0.313
'[07:23:51.552 15/12/1995]',-0.074,-0.051,-0.046,37.434,28.200,0.000,-0.308
'[07:23:51.554 15/12/1995]',-0.056,-0.076,-0.028,37.434,28.200,0.000,-0.308
'[07:23:51.556 15/12/1995]',-0.042,-0.096,-0.023,37.434,28.200,0.000,-0.308
'[07:23:51.558 15/12/1995]',-0.028,-0.116,0.001,37.434,28.200,0.000,-0.308
'[07:23:51.560 15/12/1995]',-0.018,-0.131,0.006,37.359,28.100,0.000,-0.304
'[07:23:51.562 15/12/1995]',-0.008,-0.146,0.012,37.359,28.100,0.000,-0.304
'[07:23:51.564 15/12/1995]',-0.001,-0.154,0.012,37.359,28.100,0.000,-0.304
'[07:23:51.566 15/12/1995]',0.006,-0.163,0.006,37.359,28.100,0.000,-0.304
'[07:23:51.568 15/12/1995]',0.010,-0.166,0.006,37.134,28.200,0.000,-0.302
