'Time and date','II','V','ABP','PLETH','RESP'
'[11:50:32.206 18/05/1995]',0.098,-0.062,97.349,-0.022,-0.520
'[11:50:32.208 18/05/1995]',0.098,-0.062,96.443,-0.034,-0.520
'[11:50:32.210 18/05/1995]',0.098,-0.030,96.443,-0.034,-0.520
'[11:50:32.212 18/05/1995]',0.098,-0.030,96.443,-0.034,-0.520
'[11:50:32.214 18/05/1995]',0.050,-0.030,96.443,-0.034,-0.520
'[11:50:32.216 18/05/1995]',0.050,-0.030,95.738,-0.051,-0.519
'[11:50:32.218 18/05/1995]',0.004,0.003,95.738,-0.051,-0.519
'[11:50:32.220 18/05/1995]',0.004,0.003,95.738,-0.051,-0.519
'[11:50:32.222 18/05/1995]',0.004,0.003,95.738,-0.051,-0.519
'[11:50:32.224 18/05/1995]',0.004,0.003,94.933,-0.062,-0.518
'[11:50:32.226 18/05/1995]',0.004,0.003,94.933,-0.062,-0.518
'[11:50:32.228 18/05/1995]',0.004,0.003,94.933,-0.062,-0.518
'[11:50:32.230 18/05/1995]',0.004,0.003,94.933,-0.062,-0.518
'[11:50:32.232 18/05/1995]',-0.043,0.003,94.228,-0.068,-0.516
'[11:50:32.234 18/05/1995]',-0.043,0.003,94.228,-0.068,-0.516
'[11:50:32.236 18/05/1995]',-0.043,0.003,94.228,-0.068,-0.516
'[11:50:32.238 18/05/1995]',-0.043,0.003,94.228,-0.068,-0.516
'[11:50:32.240 18/05/1995]',-0.043,0.003,93.423,-0.090,-0.515
'[11:50:32.242 18/05/1995]',-0.043,0.003,93.423,-0.090,-0.515
'[11:50:32.244 18/05/1995]',-0.043,0.003,93.423,-0.090,-0.515
'[11:50:32.246 18/05/1995]',-0.043,0.034,93.423,-0.090,-0.515
'[11:50:32.248 18/05/1995]',-0.043,0.034,92.718,-0.096,-0.514
'[11:50:32.250 18/05/1995]',-0.043,0.034,92.718,-0.096,-0.514
'[11:50:32.252 18/05/1995]',-0.043,0.034,92.718,-0.096,-0.514
'[11:50:32.254 18/05/1995]',-0.043,0.034,92.718,-0.096,-0.514
'[11:50:32.256 18/05/1995]',-0.043,0.034,92.013,-0.107,-0.512
'[11:50:32.258 18/05/1995]',-0.043,0.034,92.013,-0.107,-0.512
'[11:50:32.260 18/05/1995]',-0.043,0.034,92.013,-0.107,-0.512
'[11:50:32.262 18/05/1995]',-0.043,0.034,92.013,-0.107,-0.512
'[11:50:32.264 18/05/1995]',-0.043,0.034,91.409,-0.118,-0.508
'[11:50:32.266 18/05/1995]',-0.043,0.034,91.409,-0.118,-0.508
'[11:50:32.268 18/05/1995]',-0.043,0.034,91.409,-0.118,-0.508
'[11:50:32.270 18/05/1995]',-0.043,0.034,91.409,-0.118,-0.508
'[11:50:32.272 18/05/1995]',-0.043,0.034,90.805,-0.130,-0.503
'[11:50:32.274 18/05/1995]',-0.043,0.034,90.805,-0.130,-0.503
'[11:50:32.276 18/05/1995]',-0.043,0.034,90.805,-0.130,-0.503
'[11:50:32.278 18/05/1995]',-0.043,0.034,90.805,-0.130,-0.503
'[11:50:32.280 18/05/1995]',-0.043,0.034,90.201,-0.141,-0.497
'[11:50:32.282 18/05/1995]',-0.043,0.034,90.201,-0.141,-0.497
'[11:50:32.284 18/05/1995]',-0.043,0.034,90.201,-0.141,-0.497
'[11:50:32.286 18/05/1995]',-0.043,0.034,90.201,-0.141,-0.497
'[11:50:32.288 18/05/1995]',-0.043,0.034,89.597,-0.152,-0.490
'[11:50:32.290 18/05/1995]',-0.091,0.034,89.597,-0.152,-0.490
'[11:50:32.292 18/05/1995]',-0.091,0.034,89.597,-0.152,-0.490
'[11:50:32.294 18/05/1995]',-0.091,0.034,89.597,-0.152,-0.490
'[11:50:32.296 18/05/1995]',-0.091,0.034,89.094,-0.164,-0.483
'[11:50:32.298 18/05/1995]',-0.043,0.034,89.094,-0.164,-0.483
'[11:50:32.300 18/05/1995]',0.050,0.003,89.094,-0.164,-0.483
'[11:50:32.302 18/05/1995]',0.193,-0.030,89.094,-0.164,-0.483
'[11:50:32.304 18/05/1995]',0.433,-0.128,88.490,-0.175,-0.475
'[11:50:32.306 18/05/1995]',0.717,-0.258,88.490,-0.175,-0.475
'[11:50:32.308 18/05/1995]',1.052,-0.389,88.490,-0.175,-0.475
'[11:50:32.310 18/05/1995]',1.433,-0.550,88.490,-0.175,-0.475
'[11:50:32.312 18/05/1995]',1.863,-0.714,88.087,-0.181,-0.468
'[11:50:32.314 18/05/1995]',2.243,-0.877,88.087,-0.181,-0.468
'[11:50:32.316 18/05/1995]',2.626,-1.039,88.087,-0.181,-0.468
'[11:50:32.318 18/05/1995]',2.911,-1.169,88.087,-0.181,-0.468
'[11:50:32.320 18/05/1995]',2.959,-1.202,87.584,-0.192,-0.459
'[11:50:32.322 18/05/1995]',2.863,-1.169,87.584,-0.192,-0.459
'[11:50:32.324 18/05/1995]',2.530,-1.071,87.584,-0.192,-0.459
'[11:50:32.326 18/05/1995]',2.052,-0.909,87.584,-0.192,-0.459
'[11:50:32.328 18/05/1995]',1.480,-0.714,87.181,-0.198,-0.448
'[11:50:32.330 18/05/1995]',0.813,-0.454,87.181,-0.198,-0.448
'[11:50:32.332 18/05/1995]',0.289,-0.258,87.181,-0.198,-0.448
'[11:50:32.334 18/05/1995]',-0.043,-0.095,87.181,-0.198,-0.448
'[11:50:32.336 18/05/1995]',-0.235,0.003,86.779,-0.209,-0.434
'[11:50:32.338 18/05/1995]',-0.283,0.034,86.779,-0.209,-0.434
'[11:50:32.340 18/05/1995]',-0.330,0.067,86.779,-0.209,-0.434
'[11:50:32.342 18/05/1995]',-0.330,0.099,86.779,-0.209,-0.434
'[11:50:32.344 18/05/1995]',-0.330,0.099,86.376,-0.214,-0.420
'[11:50:32.346 18/05/1995]',-0.330,0.099,86.376,-0.214,-0.420
'[11:50:32.348 18/05/1995]',-0.330,0.132,86.376,-0.214,-0.420
'[11:50:32.350 18/05/1995]',-0.330,0.132,86.376,-0.214,-0.420
'[11:50:32.352 18/05/1995]',-0.330,0.132,86.074,-0.221,-0.406
'[11:50:32.354 18/05/1995]',-0.330,0.132,86.074,-0.221,-0.406
'[11:50:32.356 18/05/1995]',-0.330,0.132,86.074,-0.221,-0.406
'[11:50:32.358 18/05/1995]',-0.283,0.132,86.074,-0.221,-0.406
'[11:50:32.360 18/05/1995]',-0.283,0.099,85.671,-0.232,-0.393
'[11:50:32.362 18/05/1995]',-0.283,0.099,85.671,-0.232,-0.393
'[11:50:32.364 18/05/1995]',-0.235,0.099,85.671,-0.232,-0.393
'[11:50:32.366 18/05/1995]',-0.235,0.099,85.671,-0.232,-0.393
'[11:50:32.368 18/05/1995]',-0.235,0.099,85.268,-0.237,-0.381
'[11:50:32.370 18/05/1995]',-0.235,0.099,85.268,-0.237,-0.381
'[11:50:32.372 18/05/1995]',-0.235,0.099,85.268,-0.237,-0.381
'[11:50:32.374 18/05/1995]',-0.235,0.099,85.268,-0.237,-0.381
'[11:50:32.376 18/05/1995]',-0.235,0.099,84.866,-0.243,-0.369
'[11:50:32.378 18/05/1995]',-0.235,0.099,84.866,-0.243,-0.369
'[11:50:32.380 18/05/1995]',-0.235,0.099,84.866,-0.243,-0.369
'[11:50:32.382 18/05/1995]',-0.235,0.099,84.866,-0.243,-0.369
'[11:50:32.384 18/05/1995]',-0.187,0.099,84.463,-0.248,-0.361
'[11:50:32.386 18/05/1995]',-0.187,0.099,84.463,-0.248,-0.361
'[11:50:32.388 18/05/1995]',-0.187,0.099,84.463,-0.248,-0.361
'[11:50:32.390 18/05/1995]',-0.187,0.099,84.463,-0.248,-0.361
'[11:50:32.392 18/05/1995]',-0.187,0.099,84.060,-0.255,-0.359
'[11:50:32.394 18/05/1995]',-0.187,0.099,84.060,-0.255,-0.359
'[11:50:32.396 18/05/1995]',-0.187,0.099,84.060,-0.255,-0.359
'[11:50:32.398 18/05/1995]',-0.187,0.099,84.060,-0.255,-0.359
'[11:50:32.400 18/05/1995]',-0.187,0.067,83.557,-0.255,-0.361
'[11:50:32.402 18/05/1995]',-0.187,0.067,83.557,-0.255,-0.361
'[11:50:32.404 18/05/1995]',-0.187,0.067,83.557,-0.255,-0.361
'[11:50:32.406 18/05/1995]',-0.187,0.067,83.557,-0.255,-0.361
'[11:50:32.408 18/05/1995]',-0.187,0.099,83.054,-0.260,-0.368
'[11:50:32.410 18/05/1995]',-0.187,0.067,83.054,-0.260,-0.368
'[11:50:32.412 18/05/1995]',-0.187,0.067,83.054,-0.260,-0.368
'[11:50:32.414 18/05/1995]',-0.187,0.067,83.054,-0.260,-0.368
'[11:50:32.416 18/05/1995]',-0.187,0.067,82.450,-0.266,-0.380
'[11:50:32.418 18/05/1995]',-0.187,0.067,82.450,-0.266,-0.380
'[11:50:32.420 18/05/1995]',-0.187,0.067,82.450,-0.266,-0.380
'[11:50:32.422 18/05/1995]',-0.187,0.067,82.450,-0.266,-0.380
'[11:50:32.424 18/05/1995]',-0.139,0.067,81.846,-0.266,-0.398
'[11:50:32.426 18/05/1995]',-0.139,0.067,81.846,-0.266,-0.398
'[11:50:32.428 18/05/1995]',-0.139,0.067,81.846,-0.266,-0.398
'[11:50:32.430 18/05/1995]',-0.139,0.067,81.846,-0.266,-0.398
'[11:50:32.432 18/05/1995]',-0.139,0.067,81.242,-0.272,-0.421
'[11:50:32.434 18/05/1995]',-0.139,0.067,81.242,-0.272,-0.421
'[11:50:32.436 18/05/1995]',-0.139,0.067,81.242,-0.272,-0.421
'[11:50:32.438 18/05/1995]',-0.139,0.067,81.242,-0.272,-0.421
'[11:50:32.440 18/05/1995]',-0.139,0.067,80.638,-0.272,-0.450
'[11:50:32.442 18/05/1995]',-0.139,0.067,80.638,-0.272,-0.450
'[11:50:32.444 18/05/1995]',-0.139,0.067,80.638,-0.272,-0.450
'[11:50:32.446 18/05/1995]',-0.139,0.067,80.638,-0.272,-0.450
'[11:50:32.448 18/05/1995]',-0.139,0.067,80.034,-0.277,-0.479
'[11:50:32.450 18/05/1995]',-0.139,0.067,80.034,-0.277,-0.479
'[11:50:32.452 18/05/1995]',-0.139,0.067,80.034,-0.277,-0.479
'[11:50:32.454 18/05/1995]',-0.139,0.067,80.034,-0.277,-0.479
'[11:50:32.456 18/05/1995]',-0.139,0.067,79.832,-0.277,-0.507
'[11:50:32.458 18/05/1995]',-0.139,0.067,79.832,-0.277,-0.507
'[11:50:32.460 18/05/1995]',-0.139,0.067,79.832,-0.277,-0.507
'[11:50:32.462 18/05/1995]',-0.139,0.067,79.832,-0.277,-0.507
'[11:50:32.464 18/05/1995]',-0.139,0.067,79.933,-0.282,-0.535
'[11:50:32.466 18/05/1995]',-0.139,0.067,79.933,-0.282,-0.535
'[11:50:32.468 18/05/1995]',-0.139,0.067,79.933,-0.282,-0.535
'[11:50:32.470 18/05/1995]',-0.139,0.067,79.933,-0.282,-0.535
'[11:50:32.472 18/05/1995]',-0.091,0.067,81.242,-0.288,-0.562
'[11:50:32.474 18/05/1995]',-0.091,0.067,81.242,-0.288,-0.562
'[11:50:32.476 18/05/1995]',-0.091,0.067,81.242,-0.288,-0.562
'[11:50:32.478 18/05/1995]',-0.091,0.067,81.242,-0.288,-0.562
'[11:50:32.480 18/05/1995]',-0.091,0.067,84.362,-0.288,-0.588
'[11:50:32.482 18/05/1995]',-0.091,0.067,84.362,-0.288,-0.588
'[11:50:32.484 18/05/1995]',-0.091,0.067,84.362,-0.288,-0.588
'[11:50:32.486 18/05/1995]',-0.091,0.067,84.362,-0.288,-0.588
'[11:50:32.488 18/05/1995]',-0.091,0.067,89.899,-0.294,-0.612
'[11:50:32.490 18/05/1995]',-0.091,0.034,89.899,-0.294,-0.612
'[11:50:32.492 18/05/1995]',-0.091,0.034,89.899,-0.294,-0.612
'[11:50:32.494 18/05/1995]',-0.091,0.034,89.899,-0.294,-0.612
'[11:50:32.496 18/05/1995]',-0.091,0.034,97.953,-0.299,-0.633
'[11:50:32.498 18/05/1995]',-0.091,0.034,97.953,-0.299,-0.633
'[11:50:32.500 18/05/1995]',-0.091,0.034,97.953,-0.299,-0.633
'[11:50:32.502 18/05/1995]',-0.091,0.034,97.953,-0.299,-0.633
'[11:50:32.504 18/05/1995]',-0.091,0.034,108.020,-0.305,-0.654
'[11:50:32.506 18/05/1995]',-0.091,0.034,108.020,-0.305,-0.654
'[11:50:32.508 18/05/1995]',-0.091,0.034,108.020,-0.305,-0.654
'[11:50:32.510 18/05/1995]',-0.091,0.034,108.020,-0.305,-0.654
'[11:50:32.512 18/05/1995]',-0.091,0.034,119.295,-0.299,-0.674
'[11:50:32.514 18/05/1995]',-0.043,0.034,119.295,-0.299,-0.674
'[11:50:32.516 18/05/1995]',-0.091,0.034,119.295,-0.299,-0.674
'[11:50:32.518 18/05/1995]',-0.043,0.034,119.295,-0.299,-0.674
'[11:50:32.520 18/05/1995]',-0.043,0.034,130.973,-0.299,-0.694
'[11:50:32.522 18/05/1995]',-0.043,0.034,130.973,-0.299,-0.694
'[11:50:32.524 18/05/1995]',-0.043,0.034,130.973,-0.299,-0.694
'[11:50:32.526 18/05/1995]',-0.043,0.034,130.973,-0.299,-0.694
'[11:50:32.528 18/05/1995]',-0.043,0.034,142.047,-0.294,-0.714
'[11:50:32.530 18/05/1995]',-0.043,0.034,142.047,-0.294,-0.714
'[11:50:32.532 18/05/1995]',-0.043,0.003,142.047,-0.294,-0.714
'[11:50:32.534 18/05/1995]',-0.043,0.003,142.047,-0.294,-0.714
'[11:50:32.536 18/05/1995]',-0.043,0.003,152.013,-0.299,-0.733
'[11:50:32.538 18/05/1995]',-0.043,0.003,152.013,-0.299,-0.733
'[11:50:32.540 18/05/1995]',0.004,0.003,152.013,-0.299,-0.733
'[11:50:32.542 18/05/1995]',0.004,0.003,152.013,-0.299,-0.733
'[11:50:32.544 18/05/1995]',0.004,0.003,160.369,-0.294,-0.752
'[11:50:32.546 18/05/1995]',0.004,0.003,160.369,-0.294,-0.752
'[11:50:32.548 18/05/1995]',0.004,0.003,160.369,-0.294,-0.752
'[11:50:32.550 18/05/1995]',0.004,0.003,160.369,-0.294,-0.752
'[11:50:32.552 18/05/1995]',0.004,0.003,167.013,-0.277,-0.769
'[11:50:32.554 18/05/1995]',0.004,0.003,167.013,-0.277,-0.769
'[11:50:32.556 18/05/1995]',0.004,0.003,167.013,-0.277,-0.769
'[11:50:32.558 18/05/1995]',0.004,0.003,167.013,-0.277,-0.769
'[11:50:32.560 18/05/1995]',0.004,0.003,172.148,-0.260,-0.786
'[11:50:32.562 18/05/1995]',0.004,0.003,172.148,-0.260,-0.786
'[11:50:32.564 18/05/1995]',0.004,0.003,172.148,-0.260,-0.786
'[11:50:32.566 18/05/1995]',0.004,0.003,172.148,-0.260,-0.786
'[11:50:32.568 18/05/1995]',0.004,0.003,175.772,-0.243,-0.801
'[11:50:32.570 18/05/1995]',0.004,0.003,175.772,-0.243,-0.801
'[11:50:32.572 18/05/1995]',0.004,0.003,175.772,-0.243,-0.801
'[11:50:32.574 18/05/1995]',0.004,0.003,175.772,-0.243,-0.801
'[11:50:32.576 18/05/1995]',0.004,0.003,178.289,-0.226,-0.816
'[11:50:32.578 18/05/1995]',0.004,0.003,178.289,-0.226,-0.816
'[11:50:32.580 18/05/1995]',0.004,0.003,178.289,-0.226,-0.816
'[11:50:32.582 18/05/1995]',0.004,0.003,178.289,-0.226,-0.816
'[11:50:32.584 18/05/1995]',0.004,0.003,180.101,-0.197,-0.830
'[11:50:32.586 18/05/1995]',0.004,0.003,180.101,-0.197,-0.830
'[11:50:32.588 18/05/1995]',0.004,0.003,180.101,-0.197,-0.830
'[11:50:32.590 18/05/1995]',0.004,0.003,180.101,-0.197,-0.830
'[11:50:32.592 18/05/1995]',0.004,0.003,181.309,-0.173,-0.843
'[11:50:32.594 18/05/1995]',0.004,0.003,181.309,-0.173,-0.843
'[11:50:32.596 18/05/1995]',0.004,0.003,181.309,-0.173,-0.843
'[11:50:32.598 18/05/1995]',0.004,0.003,181.309,-0.173,-0.843
'[11:50:32.600 18/05/1995]',0.004,0.003,182.215,-0.139,-0.856
'[11:50:32.602 18/05/1995]',0.004,0.003,182.215,-0.139,-0.856
'[11:50:32.604 18/05/1995]',0.004,0.003,182.215,-0.139,-0.856
'[11:50:32.606 18/05/1995]',0.004,0.003,182.215,-0.139,-0.856
'[11:50:32.608 18/05/1995]',0.004,0.003,182.920,-0.104,-0.867
'[11:50:32.610 18/05/1995]',0.004,0.003,182.920,-0.104,-0.867
'[11:50:32.612 18/05/1995]',-0.043,0.003,182.920,-0.104,-0.867
'[11:50:32.614 18/05/1995]',-0.043,0.003,182.920,-0.104,-0.867
'[11:50:32.616 18/05/1995]',-0.043,0.003,183.624,-0.075,-0.877
'[11:50:32.618 18/05/1995]',-0.043,0.003,183.624,-0.075,-0.877
'[11:50:32.620 18/05/1995]',-0.043,0.003,183.624,-0.075,-0.877
'[11:50:32.622 18/05/1995]',-0.043,0.003,183.624,-0.075,-0.877
'[11:50:32.624 18/05/1995]',-0.043,0.003,184.027,-0.046,-0.887
'[11:50:32.626 18/05/1995]',-0.043,0.003,184.027,-0.046,-0.887
'[11:50:32.628 18/05/1995]',-0.043,0.003,184.027,-0.046,-0.887
'[11:50:32.630 18/05/1995]',-0.043,0.003,184.027,-0.046,-0.887
'[11:50:32.632 18/05/1995]',-0.043,0.003,184.128,-0.011,-0.895
'[11:50:32.634 18/05/1995]',-0.043,0.003,184.128,-0.011,-0.895
'[11:50:32.636 18/05/1995]',-0.043,0.034,184.128,-0.011,-0.895
'[11:50:32.638 18/05/1995]',-0.043,0.034,184.128,-0.011,-0.895
'[11:50:32.640 18/05/1995]',-0.043,0.034,183.926,0.011,-0.904
'[11:50:32.642 18/05/1995]',-0.043,0.034,183.926,0.011,-0.904
'[11:50:32.644 18/05/1995]',-0.043,0.034,183.926,0.011,-0.904
'[11:50:32.646 18/05/1995]',-0.091,0.034,183.926,0.011,-0.904
'[11:50:32.648 18/05/1995]',-0.091,0.034,183.423,0.046,-0.913
'[11:50:32.650 18/05/1995]',-0.091,0.034,183.423,0.046,-0.913
'[11:50:32.652 18/05/1995]',-0.091,0.034,183.423,0.046,-0.913
'[11:50:32.654 18/05/1995]',-0.091,0.034,183.423,0.046,-0.913
'[11:50:32.656 18/05/1995]',-0.091,0.034,182.718,0.075,-0.922
'[11:50:32.658 18/05/1995]',-0.091,0.034,182.718,0.075,-0.922
'[11:50:32.660 18/05/1995]',-0.091,0.034,182.718,0.075,-0.922
'[11:50:32.662 18/05/1995]',-0.091,0.034,182.718,0.075,-0.922
'[11:50:32.664 18/05/1995]',-0.091,0.034,181.812,0.098,-0.932
'[11:50:32.666 18/05/1995]',-0.091,0.034,181.812,0.098,-0.932
'[11:50:32.668 18/05/1995]',-0.091,0.034,181.812,0.098,-0.932
'[11:50:32.670 18/05/1995]',-0.091,0.034,181.812,0.098,-0.932
'[11:50:32.672 18/05/1995]',-0.091,0.034,180.503,0.127,-0.942
'[11:50:32.674 18/05/1995]',-0.091,0.034,180.503,0.127,-0.942
'[11:50:32.676 18/05/1995]',-0.091,0.034,180.503,0.127,-0.942
'[11:50:32.678 18/05/1995]',-0.091,0.034,180.503,0.127,-0.942
'[11:50:32.680 18/05/1995]',-0.091,0.034,178.691,0.156,-0.952
'[11:50:32.682 18/05/1995]',-0.091,0.034,178.691,0.156,-0.952
'[11:50:32.684 18/05/1995]',-0.091,0.034,178.691,0.156,-0.952
'[11:50:32.686 18/05/1995]',-0.091,0.034,178.691,0.156,-0.952
'[11:50:32.688 18/05/1995]',-0.091,0.034,176.275,0.179,-0.963
