'Time and date','II','MCL1','V','ABP','PLETH','RESP'
'[11:35:23.156 05/05/1995]',-0.042,-0.034,0.003,100.601,-0.534,-0.285
'[11:35:23.158 05/05/1995]',-0.036,-0.034,0.003,100.601,-0.534,-0.285
'[11:35:23.160 05/05/1995]',-0.030,-0.016,0.003,100.150,-0.523,-0.288
'[11:35:23.162 05/05/1995]',-0.024,-0.016,0.003,100.150,-0.523,-0.288
'[11:35:23.164 05/05/1995]',-0.019,0.002,0.003,100.150,-0.523,-0.288
'[11:35:23.166 05/05/1995]',-0.013,0.002,0.035,100.150,-0.523,-0.288
'[11:35:23.168 05/05/1995]',-0.008,0.019,0.035,99.699,-0.513,-0.292
'[11:35:23.170 05/05/1995]',-0.003,0.019,0.035,99.699,-0.513,-0.292
'[11:35:23.172 05/05/1995]',0.001,0.019,0.035,99.699,-0.513,-0.292
'[11:35:23.174 05/05/1995]',0.006,0.019,0.035,99.699,-0.513,-0.292
'[11:35:23.176 05/05/1995]',0.009,0.019,0.035,99.549,-0.507,-0.295
'[11:35:23.178 05/05/1995]',0.013,0.037,0.068,99.549,-0.507,-0.295
'[11:35:23.180 05/05/1995]',0.017,0.055,0.068,99.549,-0.507,-0.295
'[11:35:23.182 05/05/1995]',0.021,0.072,0.102,99.549,-0.507,-0.295
'[11:35:23.184 05/05/1995]',0.024,0.090,0.102,100.376,-0.501,-0.298
'[11:35:23.186 05/05/1995]',0.027,0.108,0.102,100.376,-0.501,-0.298
'[11:35:23.188 05/05/1995]',0.031,0.108,0.102,100.376,-0.501,-0.298
'[11:35:23.190 05/05/1995]',0.034,0.126,0.102,100.376,-0.501,-0.298
'[11:35:23.192 05/05/1995]',0.039,0.126,0.135,103.231,-0.498,-0.301
'[11:35:23.194 05/05/1995]',0.044,0.126,0.169,103.231,-0.498,-0.301
'[11:35:23.196 05/05/1995]',0.053,0.162,0.169,103.231,-0.498,-0.301
'[11:35:23.198 05/05/1995]',0.061,0.198,0.202,103.231,-0.498,-0.301
'[11:35:23.200 05/05/1995]',0.072,0.216,0.236,109.391,-0.497,-0.304
'[11:35:23.202 05/05/1995]',0.083,0.234,0.236,109.391,-0.497,-0.304
'[11:35:23.204 05/05/1995]',0.094,0.234,0.236,109.391,-0.497,-0.304
'[11:35:23.206 05/05/1995]',0.105,0.252,0.236,109.391,-0.497,-0.304
'[11:35:23.208 05/05/1995]',0.116,0.252,0.269,119.083,-0.499,-0.306
'[11:35:23.210 05/05/1995]',0.127,0.269,0.302,119.083,-0.499,-0.306
'[11:35:23.212 05/05/1995]',0.136,0.287,0.302,119.083,-0.499,-0.306
'[11:35:23.214 05/05/1995]',0.145,0.305,0.302,119.083,-0.499,-0.306
'[11:35:23.216 05/05/1995]',0.152,0.322,0.336,131.180,-0.500,-0.308
'[11:35:23.218 05/05/1995]',0.158,0.340,0.336,131.180,-0.500,-0.308
'[11:35:23.220 05/05/1995]',0.163,0.340,0.336,131.180,-0.500,-0.308
'[11:35:23.222 05/05/1995]',0.168,0.322,0.336,131.180,-0.500,-0.308
'[11:35:23.224 05/05/1995]',0.170,0.322,0.336,143.651,-0.499,-0.311
'[11:35:23.226 05/05/1995]',0.172,0.305,0.302,143.651,-0.499,-0.311
'[11:35:23.228 05/05/1995]',0.171,0.305,0.336,143.651,-0.499,-0.311
'[11:35:23.230 05/05/1995]',0.169,0.305,0.336,143.651,-0.499,-0.311
'[11:35:23.232 05/05/1995]',0.165,0.305,0.302,154.470,-0.495,-0.316
'[11:35:23.234 05/05/1995]',0.161,0.287,0.302,154.470,-0.495,-0.316
'[11:35:23.236 05/05/1995]',0.157,0.287,0.302,154.470,-0.495,-0.316
'[11:35:23.238 05/05/1995]',0.152,0.269,0.269,154.470,-0.495,-0.316
'[11:35:23.240 05/05/1995]',0.147,0.252,0.236,162.585,-0.484,-0.321
'[11:35:23.242 05/05/1995]',0.142,0.234,0.236,162.585,-0.484,-0.321
'[11:35:23.244 05/05/1995]',0.137,0.216,0.236,162.585,-0.484,-0.321
'[11:35:23.246 05/05/1995]',0.132,0.216,0.236,162.585,-0.484,-0.321
'[11:35:23.248 05/05/1995]',0.127,0.198,0.236,167.844,-0.465,-0.328
'[11:35:23.250 05/05/1995]',0.122,0.198,0.202,167.844,-0.465,-0.328
'[11:35:23.252 05/05/1995]',0.116,0.180,0.202,167.844,-0.465,-0.328
'[11:35:23.254 05/05/1995]',0.110,0.162,0.169,167.844,-0.465,-0.328
'[11:35:23.256 05/05/1995]',0.103,0.126,0.169,170.624,-0.433,-0.334
'[11:35:23.258 05/05/1995]',0.097,0.126,0.135,170.624,-0.433,-0.334
'[11:35:23.260 05/05/1995]',0.091,0.108,0.102,170.624,-0.433,-0.334
'[11:35:23.262 05/05/1995]',0.085,0.108,0.102,170.624,-0.433,-0.334
'[11:35:23.264 05/05/1995]',0.081,0.090,0.102,171.450,-0.389,-0.341
'[11:35:23.266 05/05/1995]',0.077,0.090,0.068,171.450,-0.389,-0.341
'[11:35:23.268 05/05/1995]',0.073,0.072,0.068,171.450,-0.389,-0.341
'[11:35:23.270 05/05/1995]',0.070,0.055,0.035,171.450,-0.389,-0.341
'[11:35:23.272 05/05/1995]',0.065,0.019,0.035,170.774,-0.334,-0.348
'[11:35:23.274 05/05/1995]',0.061,0.002,0.035,170.774,-0.334,-0.348
'[11:35:23.276 05/05/1995]',0.057,0.002,0.003,170.774,-0.334,-0.348
'[11:35:23.278 05/05/1995]',0.053,0.002,0.003,170.774,-0.334,-0.348
'[11:35:23.280 05/05/1995]',0.049,0.002,0.003,168.670,-0.266,-0.355
'[11:35:23.282 05/05/1995]',0.046,0.002,0.003,168.670,-0.266,-0.355
'[11:35:23.284 05/05/1995]',0.043,0.002,0.003,168.670,-0.266,-0.355
'[11:35:23.286 05/05/1995]',0.040,0.002,0.003,168.670,-0.266,-0.355
'[11:35:23.288 05/05/1995]',0.038,0.002,0.003,165.590,-0.191,-0.362
'[11:35:23.290 05/05/1995]',0.037,0.002,0.003,165.590,-0.191,-0.362
'[11:35:23.292 05/05/1995]',0.037,-0.016,0.003,165.590,-0.191,-0.362
'[11:35:23.294 05/05/1995]',0.037,0.002,0.003,165.590,-0.191,-0.362
'[11:35:23.296 05/05/1995]',0.038,0.002,0.003,161.683,-0.113,-0.366
'[11:35:23.298 05/05/1995]',0.040,0.002,0.003,161.683,-0.113,-0.366
'[11:35:23.300 05/05/1995]',0.041,0.002,0.003,161.683,-0.113,-0.366
'[11:35:23.302 05/05/1995]',0.043,0.002,0.003,161.683,-0.113,-0.366
'[11:35:23.304 05/05/1995]',0.043,0.002,0.003,157.400,-0.035,-0.369
'[11:35:23.306 05/05/1995]',0.044,0.002,0.003,157.400,-0.035,-0.369
'[11:35:23.308 05/05/1995]',0.043,0.002,-0.030,157.400,-0.035,-0.369
'[11:35:23.310 05/05/1995]',0.043,0.002,-0.030,157.400,-0.035,-0.369
'[11:35:23.312 05/05/1995]',0.042,0.002,0.003,152.817,0.038,-0.371
'[11:35:23.314 05/05/1995]',0.041,0.002,0.003,152.817,0.038,-0.371
'[11:35:23.316 05/05/1995]',0.042,0.002,0.003,152.817,0.038,-0.371
'[11:35:23.318 05/05/1995]',0.043,0.002,0.003,152.817,0.038,-0.371
'[11:35:23.320 05/05/1995]',0.046,0.002,0.003,148.159,0.102,-0.372
'[11:35:23.322 05/05/1995]',0.050,0.002,-0.030,148.159,0.102,-0.372
'[11:35:23.324 05/05/1995]',0.056,0.002,-0.030,148.159,0.102,-0.372
'[11:35:23.326 05/05/1995]',0.063,0.002,-0.030,148.159,0.102,-0.372
'[11:35:23.328 05/05/1995]',0.069,0.002,-0.030,143.276,0.155,-0.371
'[11:35:23.330 05/05/1995]',0.075,0.002,0.003,143.276,0.155,-0.371
'[11:35:23.332 05/05/1995]',0.080,0.002,0.003,143.276,0.155,-0.371
'[11:35:23.334 05/05/1995]',0.084,0.002,0.003,143.276,0.155,-0.371
'[11:35:23.336 05/05/1995]',0.086,0.002,0.003,138.242,0.193,-0.368
'[11:35:23.338 05/05/1995]',0.088,0.002,0.003,138.242,0.193,-0.368
'[11:35:23.340 05/05/1995]',0.088,-0.016,0.003,138.242,0.193,-0.368
'[11:35:23.342 05/05/1995]',0.087,-0.016,-0.030,138.242,0.193,-0.368
'[11:35:23.344 05/05/1995]',0.085,-0.016,0.003,132.983,0.217,-0.365
'[11:35:23.346 05/05/1995]',0.084,-0.016,0.003,132.983,0.217,-0.365
'[11:35:23.348 05/05/1995]',0.082,-0.016,0.003,132.983,0.217,-0.365
'[11:35:23.350 05/05/1995]',0.080,-0.016,0.003,132.983,0.217,-0.365
'[11:35:23.352 05/05/1995]',0.076,-0.016,-0.030,127.573,0.229,-0.361
'[11:35:23.354 05/05/1995]',0.073,-0.034,-0.030,127.573,0.229,-0.361
'[11:35:23.356 05/05/1995]',0.068,-0.052,-0.064,127.573,0.229,-0.361
'[11:35:23.358 05/05/1995]',0.064,-0.052,-0.064,127.573,0.229,-0.361
'[11:35:23.360 05/05/1995]',0.060,-0.070,-0.064,122.014,0.228,-0.356
'[11:35:23.362 05/05/1995]',0.056,-0.088,-0.064,122.014,0.228,-0.356
'[11:35:23.364 05/05/1995]',0.051,-0.070,-0.064,122.014,0.228,-0.356
'[11:35:23.366 05/05/1995]',0.046,-0.070,-0.064,122.014,0.228,-0.356
'[11:35:23.368 05/05/1995]',0.043,-0.070,-0.064,116.604,0.215,-0.351
'[11:35:23.370 05/05/1995]',0.040,-0.088,-0.064,116.604,0.215,-0.351
'[11:35:23.372 05/05/1995]',0.038,-0.106,-0.064,116.604,0.215,-0.351
'[11:35:23.374 05/05/1995]',0.036,-0.106,-0.064,116.604,0.215,-0.351
'[11:35:23.376 05/05/1995]',0.033,-0.106,-0.064,111.495,0.193,-0.345
'[11:35:23.378 05/05/1995]',0.030,-0.088,-0.030,111.495,0.193,-0.345
'[11:35:23.380 05/05/1995]',0.026,-0.088,-0.030,111.495,0.193,-0.345
'[11:35:23.382 05/05/1995]',0.023,-0.088,-0.030,111.495,0.193,-0.345
'[11:35:23.384 05/05/1995]',0.017,-0.088,-0.030,107.213,0.162,-0.340
'[11:35:23.386 05/05/1995]',0.011,-0.088,-0.064,107.213,0.162,-0.340
'[11:35:23.388 05/05/1995]',0.004,-0.106,-0.064,107.213,0.162,-0.340
'[11:35:23.390 05/05/1995]',-0.003,-0.106,-0.064,107.213,0.162,-0.340
'[11:35:23.392 05/05/1995]',-0.011,-0.124,-0.097,103.907,0.124,-0.336
'[11:35:23.394 05/05/1995]',-0.019,-0.106,-0.097,103.907,0.124,-0.336
'[11:35:23.396 05/05/1995]',-0.027,-0.106,-0.064,103.907,0.124,-0.336
'[11:35:23.398 05/05/1995]',-0.036,-0.106,-0.064,103.907,0.124,-0.336
'[11:35:23.400 05/05/1995]',-0.043,-0.106,-0.064,101.578,0.081,-0.334
'[11:35:23.402 05/05/1995]',-0.051,-0.106,-0.097,101.578,0.081,-0.334
'[11:35:23.404 05/05/1995]',-0.058,-0.124,-0.097,101.578,0.081,-0.334
'[11:35:23.406 05/05/1995]',-0.065,-0.124,-0.097,101.578,0.081,-0.334
'[11:35:23.408 05/05/1995]',-0.069,-0.124,-0.097,100.075,0.029,-0.333
'[11:35:23.410 05/05/1995]',-0.073,-0.124,-0.097,100.075,0.029,-0.333
'[11:35:23.412 05/05/1995]',-0.073,-0.124,-0.097,100.075,0.029,-0.333
'[11:35:23.414 05/05/1995]',-0.073,-0.124,-0.097,100.075,0.029,-0.333
'[11:35:23.416 05/05/1995]',-0.071,-0.124,-0.097,99.174,-0.025,-0.333
'[11:35:23.418 05/05/1995]',-0.070,-0.124,-0.097,99.174,-0.025,-0.333
'[11:35:23.420 05/05/1995]',-0.068,-0.124,-0.097,99.174,-0.025,-0.333
'[11:35:23.422 05/05/1995]',-0.067,-0.124,-0.097,99.174,-0.025,-0.333
'[11:35:23.424 05/05/1995]',-0.065,-0.124,-0.097,98.873,-0.083,-0.334
'[11:35:23.426 05/05/1995]',-0.063,-0.142,-0.097,98.873,-0.083,-0.334
'[11:35:23.428 05/05/1995]',-0.063,-0.142,-0.097,98.873,-0.083,-0.334
'[11:35:23.430 05/05/1995]',-0.063,-0.124,-0.097,98.873,-0.083,-0.334
'[11:35:23.432 05/05/1995]',-0.063,-0.124,-0.097,98.873,-0.144,-0.336
'[11:35:23.434 05/05/1995]',-0.064,-0.124,-0.097,98.873,-0.144,-0.336
'[11:35:23.436 05/05/1995]',-0.067,-0.124,-0.097,98.873,-0.144,-0.336
'[11:35:23.438 05/05/1995]',-0.070,-0.124,-0.131,98.873,-0.144,-0.336
'[11:35:23.440 05/05/1995]',-0.076,-0.124,-0.131,99.098,-0.206,-0.340
'[11:35:23.442 05/05/1995]',-0.083,-0.106,-0.131,99.098,-0.206,-0.340
'[11:35:23.444 05/05/1995]',-0.093,-0.088,-0.131,99.098,-0.206,-0.340
'[11:35:23.446 05/05/1995]',-0.104,-0.070,-0.097,99.098,-0.206,-0.340
'[11:35:23.448 05/05/1995]',-0.115,-0.052,-0.097,99.699,-0.269,-0.344
'[11:35:23.450 05/05/1995]',-0.127,-0.070,-0.097,99.699,-0.269,-0.344
'[11:35:23.452 05/05/1995]',-0.130,-0.088,-0.097,99.699,-0.269,-0.344
'[11:35:23.454 05/05/1995]',-0.132,-0.106,-0.097,99.699,-0.269,-0.344
'[11:35:23.456 05/05/1995]',-0.122,-0.088,-0.064,100.225,-0.329,-0.347
'[11:35:23.458 05/05/1995]',-0.111,-0.070,-0.030,100.225,-0.329,-0.347
'[11:35:23.460 05/05/1995]',-0.084,-0.016,0.003,100.225,-0.329,-0.347
'[11:35:23.462 05/05/1995]',-0.057,0.002,0.035,100.225,-0.329,-0.347
'[11:35:23.464 05/05/1995]',-0.013,0.037,0.068,100.902,-0.387,-0.350
'[11:35:23.466 05/05/1995]',0.031,0.055,0.135,100.902,-0.387,-0.350
'[11:35:23.468 05/05/1995]',0.085,0.072,0.169,100.902,-0.387,-0.350
'[11:35:23.470 05/05/1995]',0.138,0.072,0.169,100.902,-0.387,-0.350
'[11:35:23.472 05/05/1995]',0.186,0.090,0.202,101.578,-0.440,-0.353
'[11:35:23.474 05/05/1995]',0.233,0.108,0.236,101.578,-0.440,-0.353
'[11:35:23.476 05/05/1995]',0.269,0.126,0.269,101.578,-0.440,-0.353
'[11:35:23.478 05/05/1995]',0.305,0.126,0.302,101.578,-0.440,-0.353
'[11:35:23.480 05/05/1995]',0.323,0.126,0.302,102.104,-0.488,-0.355
'[11:35:23.482 05/05/1995]',0.342,0.090,0.269,102.104,-0.488,-0.355
'[11:35:23.484 05/05/1995]',0.338,0.055,0.269,102.104,-0.488,-0.355
'[11:35:23.486 05/05/1995]',0.335,0.019,0.202,102.104,-0.488,-0.355
'[11:35:23.488 05/05/1995]',0.315,0.002,0.135,102.630,-0.531,-0.356
'[11:35:23.490 05/05/1995]',0.296,0.002,0.035,102.630,-0.531,-0.356
'[11:35:23.492 05/05/1995]',0.266,-0.124,-0.097,102.630,-0.531,-0.356
'[11:35:23.494 05/05/1995]',0.236,-0.302,-0.298,102.630,-0.531,-0.356
'[11:35:23.496 05/05/1995]',0.201,-0.516,-0.530,103.156,-0.566,-0.357
'[11:35:23.498 05/05/1995]',0.167,-0.660,-0.698,103.156,-0.566,-0.357
'[11:35:23.500 05/05/1995]',0.132,-0.731,-0.764,103.156,-0.566,-0.357
'[11:35:23.502 05/05/1995]',0.097,-0.749,-0.731,103.156,-0.566,-0.357
'[11:35:23.504 05/05/1995]',0.068,-0.731,-0.698,103.456,-0.593,-0.357
'[11:35:23.506 05/05/1995]',0.040,-0.678,-0.631,103.456,-0.593,-0.357
'[11:35:23.508 05/05/1995]',0.021,-0.606,-0.564,103.456,-0.593,-0.357
'[11:35:23.510 05/05/1995]',0.001,-0.534,-0.497,103.456,-0.593,-0.357
'[11:35:23.512 05/05/1995]',-0.013,-0.463,-0.432,103.606,-0.615,-0.357
'[11:35:23.514 05/05/1995]',-0.027,-0.392,-0.365,103.606,-0.615,-0.357
'[11:35:23.516 05/05/1995]',-0.041,-0.338,-0.298,103.606,-0.615,-0.357
'[11:35:23.518 05/05/1995]',-0.054,-0.284,-0.264,103.606,-0.615,-0.357
'[11:35:23.520 05/05/1995]',-0.065,-0.249,-0.231,103.681,-0.626,-0.356
'[11:35:23.522 05/05/1995]',-0.077,-0.213,-0.198,103.681,-0.626,-0.356
'[11:35:23.524 05/05/1995]',-0.085,-0.195,-0.164,103.681,-0.626,-0.356
'[11:35:23.526 05/05/1995]',-0.094,-0.160,-0.131,103.681,-0.626,-0.356
'[11:35:23.528 05/05/1995]',-0.100,-0.142,-0.131,103.606,-0.633,-0.355
'[11:35:23.530 05/05/1995]',-0.105,-0.124,-0.097,103.606,-0.633,-0.355
'[11:35:23.532 05/05/1995]',-0.109,-0.124,-0.097,103.606,-0.633,-0.355
'[11:35:23.534 05/05/1995]',-0.112,-0.124,-0.097,103.606,-0.633,-0.355
'[11:35:23.536 05/05/1995]',-0.114,-0.106,-0.064,103.456,-0.633,-0.353
'[11:35:23.538 05/05/1995]',-0.115,-0.106,-0.097,103.456,-0.633,-0.353
'[11:35:23.540 05/05/1995]',-0.115,-0.106,-0.064,103.456,-0.633,-0.353
'[11:35:23.542 05/05/1995]',-0.114,-0.106,-0.064,103.456,-0.633,-0.353
'[11:35:23.544 05/05/1995]',-0.111,-0.106,-0.064,103.080,-0.627,-0.351
'[11:35:23.546 05/05/1995]',-0.108,-0.070,-0.064,103.080,-0.627,-0.351
'[11:35:23.548 05/05/1995]',-0.103,-0.070,-0.030,103.080,-0.627,-0.351
'[11:35:23.550 05/05/1995]',-0.098,-0.070,-0.030,103.080,-0.627,-0.351
'[11:35:23.552 05/05/1995]',-0.096,-0.070,-0.030,102.554,-0.619,-0.350
'[11:35:23.554 05/05/1995]',-0.094,-0.070,-0.064,102.554,-0.619,-0.350
'[11:35:23.556 05/05/1995]',-0.093,-0.070,-0.064,102.554,-0.619,-0.350
'[11:35:23.558 05/05/1995]',-0.093,-0.088,-0.064,102.554,-0.619,-0.350
'[11:35:23.560 05/05/1995]',-0.091,-0.070,-0.064,101.878,-0.604,-0.348
'[11:35:23.562 05/05/1995]',-0.090,-0.070,-0.030,101.878,-0.604,-0.348
'[11:35:23.564 05/05/1995]',-0.088,-0.052,-0.030,101.878,-0.604,-0.348
'[11:35:23.566 05/05/1995]',-0.087,-0.052,-0.030,101.878,-0.604,-0.348
'[11:35:23.568 05/05/1995]',-0.085,-0.034,-0.030,101.052,-0.589,-0.346
'[11:35:23.570 05/05/1995]',-0.084,-0.034,-0.030,101.052,-0.589,-0.346
'[11:35:23.572 05/05/1995]',-0.080,-0.052,-0.030,101.052,-0.589,-0.346
'[11:35:23.574 05/05/1995]',-0.075,-0.052,-0.030,101.052,-0.589,-0.346
'[11:35:23.576 05/05/1995]',-0.072,-0.034,-0.030,100.301,-0.535,-0.345
'[11:35:23.578 05/05/1995]',-0.068,-0.016,-0.030,100.301,-0.535,-0.345
'[11:35:23.580 05/05/1995]',-0.065,-0.016,0.003,100.301,-0.535,-0.345
'[11:35:23.582 05/05/1995]',-0.061,0.002,0.003,100.301,-0.535,-0.345
'[11:35:23.584 05/05/1995]',-0.058,0.002,0.003,99.624,-0.518,-0.345
'[11:35:23.586 05/05/1995]',-0.056,0.002,0.003,99.624,-0.518,-0.345
'[11:35:23.588 05/05/1995]',-0.053,0.002,0.003,99.624,-0.518,-0.345
'[11:35:23.590 05/05/1995]',-0.051,0.002,0.003,99.624,-0.518,-0.345
'[11:35:23.592 05/05/1995]',-0.048,0.002,0.003,98.948,-0.502,-0.346
'[11:35:23.594 05/05/1995]',-0.046,0.002,0.003,98.948,-0.502,-0.346
'[11:35:23.596 05/05/1995]',-0.041,0.002,0.003,98.948,-0.502,-0.346
'[11:35:23.598 05/05/1995]',-0.036,0.019,0.003,98.948,-0.502,-0.346
'[11:35:23.600 05/05/1995]',-0.030,0.037,0.003,98.347,-0.486,-0.347
'[11:35:23.602 05/05/1995]',-0.024,0.037,0.003,98.347,-0.486,-0.347
'[11:35:23.604 05/05/1995]',-0.019,0.037,0.003,98.347,-0.486,-0.347
'[11:35:23.606 05/05/1995]',-0.014,0.037,0.003,98.347,-0.486,-0.347
'[11:35:23.608 05/05/1995]',-0.011,0.037,0.003,97.896,-0.474,-0.348
