'Time and date','I','MCL1','V','ABP','PAP','RESP'
'[12:45:33.084 22/05/1995]',0.002,0.002,0.002,98.701,24.135,0.222
'[12:45:33.086 22/05/1995]',0.002,0.002,0.002,98.701,24.135,0.222
'[12:45:33.088 22/05/1995]',0.002,0.002,0.002,96.121,23.434,0.229
'[12:45:33.090 22/05/1995]',0.002,0.002,0.002,96.121,23.434,0.229
'[12:45:33.092 22/05/1995]',0.002,0.002,0.002,96.121,23.434,0.229
'[12:45:33.094 22/05/1995]',0.002,0.002,0.002,96.121,23.434,0.229
'[12:45:33.096 22/05/1995]',0.002,0.002,0.002,93.693,23.083,0.236
'[12:45:33.098 22/05/1995]',0.002,0.002,0.002,93.693,23.083,0.236
'[12:45:33.100 22/05/1995]',0.002,0.002,0.002,93.693,23.083,0.236
'[12:45:33.102 22/05/1995]',0.002,0.002,0.002,93.693,23.083,0.236
'[12:45:33.104 22/05/1995]',0.002,0.002,0.002,91.518,23.383,0.243
'[12:45:33.106 22/05/1995]',0.002,0.002,0.002,91.518,23.383,0.243
'[12:45:33.108 22/05/1995]',0.002,0.002,0.002,91.518,23.383,0.243
'[12:45:33.110 22/05/1995]',0.002,0.002,0.002,91.518,23.383,0.243
'[12:45:33.112 22/05/1995]',0.002,0.002,0.002,89.747,23.860,0.250
'[12:45:33.114 22/05/1995]',0.002,0.002,0.002,89.747,23.860,0.250
'[12:45:33.116 22/05/1995]',0.002,0.002,0.002,89.747,23.860,0.250
'[12:45:33.118 22/05/1995]',0.002,0.002,0.002,89.747,23.860,0.250
'[12:45:33.120 22/05/1995]',0.002,0.002,0.002,88.229,24.035,0.257
'[12:45:33.122 22/05/1995]',0.002,0.002,0.002,88.229,24.035,0.257
'[12:45:33.124 22/05/1995]',0.002,0.002,0.002,88.229,24.035,0.257
'[12:45:33.126 22/05/1995]',0.002,0.002,0.002,88.229,24.035,0.257
'[12:45:33.128 22/05/1995]',0.002,0.002,0.002,86.914,23.860,0.264
'[12:45:33.130 22/05/1995]',0.002,0.002,0.002,86.914,23.860,0.264
'[12:45:33.132 22/05/1995]',0.002,0.002,0.002,86.914,23.860,0.264
'[12:45:33.134 22/05/1995]',0.002,0.002,0.002,86.914,23.860,0.264
'[12:45:33.136 22/05/1995]',0.002,0.002,0.002,86.155,23.559,0.271
'[12:45:33.138 22/05/1995]',0.002,0.002,0.002,86.155,23.559,0.271
'[12:45:33.140 22/05/1995]',0.002,0.002,0.002,86.155,23.559,0.271
'[12:45:33.142 22/05/1995]',0.002,0.002,0.002,86.155,23.559,0.271
'[12:45:33.144 22/05/1995]',0.002,0.002,0.002,85.851,23.158,0.277
'[12:45:33.146 22/05/1995]',0.002,0.002,0.002,85.851,23.158,0.277
'[12:45:33.148 22/05/1995]',0.002,0.002,0.002,85.851,23.158,0.277
'[12:45:33.150 22/05/1995]',0.002,0.002,0.002,85.851,23.158,0.277
'[12:45:33.152 22/05/1995]',0.002,0.002,0.002,86.104,22.957,0.282
'[12:45:33.154 22/05/1995]',0.002,0.002,0.002,86.104,22.957,0.282
'[12:45:33.156 22/05/1995]',0.002,0.002,0.002,86.104,22.957,0.282
'[12:45:33.158 22/05/1995]',0.019,-0.017,0.002,86.104,22.957,0.282
'[12:45:33.160 22/05/1995]',0.002,-0.017,0.002,86.813,23.083,0.288
'[12:45:33.162 22/05/1995]',0.002,-0.017,0.002,86.813,23.083,0.288
'[12:45:33.164 22/05/1995]',0.019,-0.017,0.002,86.813,23.083,0.288
'[12:45:33.166 22/05/1995]',0.019,-0.017,0.002,86.813,23.083,0.288
'[12:45:33.168 22/05/1995]',0.019,-0.017,0.002,87.976,23.509,0.293
'[12:45:33.170 22/05/1995]',0.019,0.002,0.002,87.976,23.509,0.293
'[12:45:33.172 22/05/1995]',0.002,0.002,0.002,87.976,23.509,0.293
'[12:45:33.174 22/05/1995]',0.002,0.002,0.002,87.976,23.509,0.293
'[12:45:33.176 22/05/1995]',0.002,0.002,0.002,89.646,23.910,0.298
'[12:45:33.178 22/05/1995]',0.002,0.002,0.002,89.646,23.910,0.298
'[12:45:33.180 22/05/1995]',0.002,0.002,0.002,89.646,23.910,0.298
'[12:45:33.182 22/05/1995]',0.002,0.002,0.002,89.646,23.910,0.298
'[12:45:33.184 22/05/1995]',0.002,0.002,0.002,91.872,24.211,0.302
'[12:45:33.186 22/05/1995]',0.002,0.002,0.002,91.872,24.211,0.302
'[12:45:33.188 22/05/1995]',0.019,0.002,0.002,91.872,24.211,0.302
'[12:45:33.190 22/05/1995]',0.019,0.002,0.002,91.872,24.211,0.302
'[12:45:33.192 22/05/1995]',0.019,0.002,0.002,94.755,24.135,0.307
'[12:45:33.194 22/05/1995]',0.019,0.002,0.002,94.755,24.135,0.307
'[12:45:33.196 22/05/1995]',0.019,0.002,0.002,94.755,24.135,0.307
'[12:45:33.198 22/05/1995]',0.019,0.002,0.002,94.755,24.135,0.307
'[12:45:33.200 22/05/1995]',0.019,0.002,0.002,98.145,23.609,0.311
'[12:45:33.202 22/05/1995]',0.019,0.002,0.002,98.145,23.609,0.311
'[12:45:33.204 22/05/1995]',0.036,0.002,0.002,98.145,23.609,0.311
'[12:45:33.206 22/05/1995]',0.054,-0.017,0.002,98.145,23.609,0.311
'[12:45:33.208 22/05/1995]',0.054,-0.017,0.002,101.990,22.907,0.317
'[12:45:33.210 22/05/1995]',0.072,-0.036,-0.016,101.990,22.907,0.317
'[12:45:33.212 22/05/1995]',0.072,-0.036,-0.016,101.990,22.907,0.317
'[12:45:33.214 22/05/1995]',0.072,-0.055,-0.034,101.990,22.907,0.317
'[12:45:33.216 22/05/1995]',0.072,-0.055,-0.016,106.189,22.331,0.322
'[12:45:33.218 22/05/1995]',0.072,-0.073,-0.034,106.189,22.331,0.322
'[12:45:33.220 22/05/1995]',0.090,-0.073,-0.034,106.189,22.331,0.322
'[12:45:33.222 22/05/1995]',0.090,-0.073,-0.034,106.189,22.331,0.322
'[12:45:33.224 22/05/1995]',0.090,-0.092,-0.034,110.489,22.080,0.327
'[12:45:33.226 22/05/1995]',0.090,-0.092,-0.034,110.489,22.080,0.327
'[12:45:33.228 22/05/1995]',0.090,-0.092,-0.034,110.489,22.080,0.327
'[12:45:33.230 22/05/1995]',0.072,-0.092,-0.034,110.489,22.080,0.327
'[12:45:33.232 22/05/1995]',0.072,-0.073,-0.034,114.941,22.381,0.333
'[12:45:33.234 22/05/1995]',0.072,-0.073,-0.034,114.941,22.381,0.333
'[12:45:33.236 22/05/1995]',0.072,-0.055,-0.034,114.941,22.381,0.333
'[12:45:33.238 22/05/1995]',0.054,-0.055,-0.016,114.941,22.381,0.333
'[12:45:33.240 22/05/1995]',0.054,-0.055,-0.034,119.544,22.907,0.339
'[12:45:33.242 22/05/1995]',0.054,-0.073,-0.034,119.544,22.907,0.339
'[12:45:33.244 22/05/1995]',0.054,-0.055,-0.016,119.544,22.907,0.339
'[12:45:33.246 22/05/1995]',0.036,-0.055,-0.016,119.544,22.907,0.339
'[12:45:33.248 22/05/1995]',0.019,-0.036,-0.016,124.098,23.383,0.345
'[12:45:33.250 22/05/1995]',0.019,-0.036,0.002,124.098,23.383,0.345
'[12:45:33.252 22/05/1995]',0.019,-0.036,0.002,124.098,23.383,0.345
'[12:45:33.254 22/05/1995]',0.019,-0.036,0.002,124.098,23.383,0.345
'[12:45:33.256 22/05/1995]',0.019,-0.017,0.002,128.499,23.258,0.352
'[12:45:33.258 22/05/1995]',0.002,-0.017,0.002,128.499,23.258,0.352
'[12:45:33.260 22/05/1995]',0.002,-0.017,0.002,128.499,23.258,0.352
'[12:45:33.262 22/05/1995]',0.002,-0.017,0.002,128.499,23.258,0.352
'[12:45:33.264 22/05/1995]',0.002,-0.017,0.002,132.496,22.682,0.358
'[12:45:33.266 22/05/1995]',0.002,-0.017,0.002,132.496,22.682,0.358
'[12:45:33.268 22/05/1995]',0.002,-0.036,-0.016,132.496,22.682,0.358
'[12:45:33.270 22/05/1995]',0.019,-0.017,0.002,132.496,22.682,0.358
'[12:45:33.272 22/05/1995]',0.019,-0.017,0.002,136.087,21.805,0.365
'[12:45:33.274 22/05/1995]',0.002,-0.036,0.002,136.087,21.805,0.365
'[12:45:33.276 22/05/1995]',0.002,-0.036,-0.016,136.087,21.805,0.365
'[12:45:33.278 22/05/1995]',0.002,-0.017,0.002,136.087,21.805,0.365
'[12:45:33.280 22/05/1995]',0.002,-0.017,-0.016,139.072,20.902,0.371
'[12:45:33.282 22/05/1995]',0.002,-0.017,0.002,139.072,20.902,0.371
'[12:45:33.284 22/05/1995]',0.002,-0.017,0.002,139.072,20.902,0.371
'[12:45:33.286 22/05/1995]',0.002,-0.017,0.002,139.072,20.902,0.371
'[12:45:33.288 22/05/1995]',0.002,-0.017,0.002,141.551,20.326,0.378
'[12:45:33.290 22/05/1995]',0.002,-0.017,0.002,141.551,20.326,0.378
'[12:45:33.292 22/05/1995]',0.002,-0.017,0.002,141.551,20.326,0.378
'[12:45:33.294 22/05/1995]',0.002,-0.017,0.002,141.551,20.326,0.378
'[12:45:33.296 22/05/1995]',0.002,-0.017,0.002,143.474,20.150,0.384
'[12:45:33.298 22/05/1995]',0.002,-0.036,0.002,143.474,20.150,0.384
'[12:45:33.300 22/05/1995]',0.002,-0.017,0.002,143.474,20.150,0.384
'[12:45:33.302 22/05/1995]',0.002,-0.017,0.002,143.474,20.150,0.384
'[12:45:33.304 22/05/1995]',0.002,-0.017,0.002,144.789,20.326,0.390
'[12:45:33.306 22/05/1995]',0.002,-0.017,0.002,144.789,20.326,0.390
'[12:45:33.308 22/05/1995]',0.002,-0.017,0.002,144.789,20.326,0.390
'[12:45:33.310 22/05/1995]',0.002,0.002,0.002,144.789,20.326,0.390
'[12:45:33.312 22/05/1995]',-0.016,0.002,0.002,145.345,20.677,0.395
'[12:45:33.314 22/05/1995]',-0.034,0.038,0.018,145.345,20.677,0.395
'[12:45:33.316 22/05/1995]',-0.070,0.076,0.036,145.345,20.677,0.395
'[12:45:33.318 22/05/1995]',-0.123,0.132,0.071,145.345,20.677,0.395
'[12:45:33.320 22/05/1995]',-0.141,0.151,0.071,145.447,21.203,0.401
'[12:45:33.322 22/05/1995]',-0.141,0.151,0.071,145.447,21.203,0.401
'[12:45:33.324 22/05/1995]',-0.141,0.132,0.071,145.447,21.203,0.401
'[12:45:33.326 22/05/1995]',-0.105,0.095,0.054,145.447,21.203,0.401
'[12:45:33.328 22/05/1995]',-0.070,0.038,0.018,144.738,21.805,0.406
'[12:45:33.330 22/05/1995]',-0.034,0.002,0.002,144.738,21.805,0.406
'[12:45:33.332 22/05/1995]',0.019,-0.073,-0.016,144.738,21.805,0.406
'[12:45:33.334 22/05/1995]',0.108,-0.167,-0.086,144.738,21.805,0.406
'[12:45:33.336 22/05/1995]',0.233,-0.316,-0.139,143.271,21.855,0.412
'[12:45:33.338 22/05/1995]',0.375,-0.466,-0.210,143.271,21.855,0.412
'[12:45:33.340 22/05/1995]',0.517,-0.634,-0.262,143.271,21.855,0.412
'[12:45:33.342 22/05/1995]',0.677,-0.802,-0.332,143.271,21.855,0.412
'[12:45:33.344 22/05/1995]',0.873,-1.046,-0.420,140.944,21.153,0.419
'[12:45:33.346 22/05/1995]',1.086,-1.308,-0.542,140.944,21.153,0.419
'[12:45:33.348 22/05/1995]',1.229,-1.494,-0.630,140.944,21.153,0.419
'[12:45:33.350 22/05/1995]',1.247,-1.513,-0.648,140.944,21.153,0.419
'[12:45:33.352 22/05/1995]',1.139,-1.419,-0.630,137.605,19.749,0.425
'[12:45:33.354 22/05/1995]',0.980,-1.270,-0.578,137.605,19.749,0.425
'[12:45:33.356 22/05/1995]',0.731,-0.990,-0.507,137.605,19.749,0.425
'[12:45:33.358 22/05/1995]',0.517,-0.747,-0.455,137.605,19.749,0.425
'[12:45:33.360 22/05/1995]',0.357,-0.540,-0.385,133.254,18.396,0.431
'[12:45:33.362 22/05/1995]',0.268,-0.410,-0.350,133.254,18.396,0.431
'[12:45:33.364 22/05/1995]',0.197,-0.354,-0.314,133.254,18.396,0.431
'[12:45:33.366 22/05/1995]',0.161,-0.335,-0.279,133.254,18.396,0.431
'[12:45:33.368 22/05/1995]',0.144,-0.298,-0.262,128.044,18.095,0.438
'[12:45:33.370 22/05/1995]',0.126,-0.279,-0.227,128.044,18.095,0.438
'[12:45:33.372 22/05/1995]',0.108,-0.261,-0.192,128.044,18.095,0.438
'[12:45:33.374 22/05/1995]',0.072,-0.205,-0.157,128.044,18.095,0.438
'[12:45:33.376 22/05/1995]',0.036,-0.148,-0.104,122.023,19.273,0.443
'[12:45:33.378 22/05/1995]',0.019,-0.111,-0.086,122.023,19.273,0.443
'[12:45:33.380 22/05/1995]',0.002,-0.073,-0.051,122.023,19.273,0.443
'[12:45:33.382 22/05/1995]',0.002,-0.036,-0.016,122.023,19.273,0.443
'[12:45:33.384 22/05/1995]',-0.016,0.002,0.002,115.497,21.328,0.449
'[12:45:33.386 22/05/1995]',-0.034,0.020,0.002,115.497,21.328,0.449
'[12:45:33.388 22/05/1995]',-0.052,0.038,0.018,115.497,21.328,0.449
'[12:45:33.390 22/05/1995]',-0.052,0.057,0.018,115.497,21.328,0.449
'[12:45:33.392 22/05/1995]',-0.070,0.076,0.036,108.718,22.682,0.454
'[12:45:33.394 22/05/1995]',-0.088,0.076,0.036,108.718,22.682,0.454
'[12:45:33.396 22/05/1995]',-0.088,0.095,0.054,108.718,22.682,0.454
'[12:45:33.398 22/05/1995]',-0.088,0.095,0.054,108.718,22.682,0.454
'[12:45:33.400 22/05/1995]',-0.105,0.113,0.054,101.990,22.155,0.459
'[12:45:33.402 22/05/1995]',-0.105,0.113,0.054,101.990,22.155,0.459
'[12:45:33.404 22/05/1995]',-0.105,0.113,0.054,101.990,22.155,0.459
'[12:45:33.406 22/05/1995]',-0.105,0.113,0.054,101.990,22.155,0.459
'[12:45:33.408 22/05/1995]',-0.105,0.132,0.071,95.261,20.376,0.464
'[12:45:33.410 22/05/1995]',-0.105,0.132,0.071,95.261,20.376,0.464
'[12:45:33.412 22/05/1995]',-0.105,0.132,0.071,95.261,20.376,0.464
'[12:45:33.414 22/05/1995]',-0.105,0.132,0.071,95.261,20.376,0.464
'[12:45:33.416 22/05/1995]',-0.123,0.132,0.071,88.937,18.972,0.469
'[12:45:33.418 22/05/1995]',-0.105,0.132,0.071,88.937,18.972,0.469
'[12:45:33.420 22/05/1995]',-0.105,0.132,0.071,88.937,18.972,0.469
'[12:45:33.422 22/05/1995]',-0.105,0.132,0.071,88.937,18.972,0.469
'[12:45:33.424 22/05/1995]',-0.105,0.132,0.071,82.968,18.622,0.472
'[12:45:33.426 22/05/1995]',-0.105,0.132,0.071,82.968,18.622,0.472
'[12:45:33.428 22/05/1995]',-0.105,0.132,0.071,82.968,18.622,0.472
'[12:45:33.430 22/05/1995]',-0.105,0.132,0.071,82.968,18.622,0.472
'[12:45:33.432 22/05/1995]',-0.105,0.132,0.071,77.453,19.273,0.476
'[12:45:33.434 22/05/1995]',-0.105,0.132,0.071,77.453,19.273,0.476
'[12:45:33.436 22/05/1995]',-0.105,0.132,0.071,77.453,19.273,0.476
'[12:45:33.438 22/05/1995]',-0.105,0.132,0.071,77.453,19.273,0.476
'[12:45:33.440 22/05/1995]',-0.105,0.132,0.071,72.344,20.852,0.479
'[12:45:33.442 22/05/1995]',-0.105,0.132,0.071,72.344,20.852,0.479
'[12:45:33.444 22/05/1995]',-0.105,0.132,0.071,72.344,20.852,0.479
'[12:45:33.446 22/05/1995]',-0.105,0.132,0.071,72.344,20.852,0.479
'[12:45:33.448 22/05/1995]',-0.105,0.132,0.071,67.690,22.782,0.481
'[12:45:33.450 22/05/1995]',-0.105,0.132,0.071,67.690,22.782,0.481
'[12:45:33.452 22/05/1995]',-0.105,0.132,0.071,67.690,22.782,0.481
'[12:45:33.454 22/05/1995]',-0.088,0.132,0.071,67.690,22.782,0.481
'[12:45:33.456 22/05/1995]',-0.105,0.132,0.071,63.541,23.960,0.483
'[12:45:33.458 22/05/1995]',-0.105,0.132,0.071,63.541,23.960,0.483
'[12:45:33.460 22/05/1995]',-0.105,0.132,0.089,63.541,23.960,0.483
'[12:45:33.462 22/05/1995]',-0.105,0.132,0.071,63.541,23.960,0.483
'[12:45:33.464 22/05/1995]',-0.105,0.132,0.071,59.798,23.383,0.484
'[12:45:33.466 22/05/1995]',-0.105,0.132,0.071,59.798,23.383,0.484
'[12:45:33.468 22/05/1995]',-0.105,0.132,0.071,59.798,23.383,0.484
'[12:45:33.470 22/05/1995]',-0.105,0.132,0.071,59.798,23.383,0.484
'[12:45:33.472 22/05/1995]',-0.105,0.132,0.071,56.610,22.030,0.485
'[12:45:33.474 22/05/1995]',-0.088,0.132,0.071,56.610,22.030,0.485
'[12:45:33.476 22/05/1995]',-0.105,0.132,0.071,56.610,22.030,0.485
'[12:45:33.478 22/05/1995]',-0.088,0.132,0.071,56.610,22.030,0.485
'[12:45:33.480 22/05/1995]',-0.105,0.132,0.071,54.182,22.030,0.485
'[12:45:33.482 22/05/1995]',-0.105,0.132,0.071,54.182,22.030,0.485
'[12:45:33.484 22/05/1995]',-0.105,0.132,0.071,54.182,22.030,0.485
'[12:45:33.486 22/05/1995]',-0.105,0.132,0.071,54.182,22.030,0.485
'[12:45:33.488 22/05/1995]',-0.105,0.132,0.071,52.614,24.311,0.484
'[12:45:33.490 22/05/1995]',-0.105,0.132,0.071,52.614,24.311,0.484
'[12:45:33.492 22/05/1995]',-0.105,0.132,0.071,52.614,24.311,0.484
'[12:45:33.494 22/05/1995]',-0.105,0.132,0.071,52.614,24.311,0.484
'[12:45:33.496 22/05/1995]',-0.105,0.132,0.071,51.956,27.444,0.484
'[12:45:33.498 22/05/1995]',-0.105,0.132,0.071,51.956,27.444,0.484
'[12:45:33.500 22/05/1995]',-0.105,0.132,0.071,51.956,27.444,0.484
'[12:45:33.502 22/05/1995]',-0.105,0.132,0.071,51.956,27.444,0.484
'[12:45:33.504 22/05/1995]',-0.105,0.132,0.071,52.462,29.774,0.483
'[12:45:33.506 22/05/1995]',-0.105,0.132,0.071,52.462,29.774,0.483
'[12:45:33.508 22/05/1995]',-0.105,0.132,0.071,52.462,29.774,0.483
'[12:45:33.510 22/05/1995]',-0.105,0.132,0.071,52.462,29.774,0.483
'[12:45:33.512 22/05/1995]',-0.105,0.132,0.071,54.435,31.128,0.482
'[12:45:33.514 22/05/1995]',-0.105,0.132,0.071,54.435,31.128,0.482
'[12:45:33.516 22/05/1995]',-0.105,0.132,0.089,54.435,31.128,0.482
'[12:45:33.518 22/05/1995]',-0.105,0.151,0.089,54.435,31.128,0.482
'[12:45:33.520 22/05/1995]',-0.105,0.132,0.089,57.369,31.729,0.481
'[12:45:33.522 22/05/1995]',-0.105,0.132,0.089,57.369,31.729,0.481
'[12:45:33.524 22/05/1995]',-0.105,0.132,0.089,57.369,31.729,0.481
'[12:45:33.526 22/05/1995]',-0.123,0.151,0.089,57.369,31.729,0.481
'[12:45:33.528 22/05/1995]',-0.123,0.151,0.089,60.759,31.955,0.480
'[12:45:33.530 22/05/1995]',-0.123,0.151,0.089,60.759,31.955,0.480
'[12:45:33.532 22/05/1995]',-0.123,0.151,0.089,60.759,31.955,0.480
'[12:45:33.534 22/05/1995]',-0.123,0.151,0.089,60.759,31.955,0.480
'[12:45:33.536 22/05/1995]',-0.123,0.151,0.089,64.452,32.356,0.479
'[12:45:33.538 22/05/1995]',-0.123,0.151,0.089,64.452,32.356,0.479
'[12:45:33.540 22/05/1995]',-0.123,0.151,0.089,64.452,32.356,0.479
'[12:45:33.542 22/05/1995]',-0.123,0.151,0.089,64.452,32.356,0.479
'[12:45:33.544 22/05/1995]',-0.123,0.151,0.089,68.499,33.008,0.478
'[12:45:33.546 22/05/1995]',-0.123,0.170,0.089,68.499,33.008,0.478
'[12:45:33.548 22/05/1995]',-0.123,0.170,0.089,68.499,33.008,0.478
'[12:45:33.550 22/05/1995]',-0.141,0.170,0.089,68.499,33.008,0.478
'[12:45:33.552 22/05/1995]',-0.141,0.170,0.106,72.698,33.308,0.477
'[12:45:33.554 22/05/1995]',-0.141,0.170,0.089,72.698,33.308,0.477
'[12:45:33.556 22/05/1995]',-0.141,0.170,0.106,72.698,33.308,0.477
'[12:45:33.558 22/05/1995]',-0.141,0.170,0.106,72.698,33.308,0.477
'[12:45:33.560 22/05/1995]',-0.141,0.170,0.106,76.998,33.008,0.476
'[12:45:33.562 22/05/1995]',-0.141,0.170,0.106,76.998,33.008,0.476
'[12:45:33.564 22/05/1995]',-0.141,0.170,0.106,76.998,33.008,0.476
'[12:45:33.566 22/05/1995]',-0.159,0.170,0.089,76.998,33.008,0.476
'[12:45:33.568 22/05/1995]',-0.141,0.170,0.106,81.349,32.481,0.475
'[12:45:33.570 22/05/1995]',-0.141,0.170,0.089,81.349,32.481,0.475
'[12:45:33.572 22/05/1995]',-0.141,0.170,0.106,81.349,32.481,0.475
'[12:45:33.574 22/05/1995]',-0.141,0.151,0.089,81.349,32.481,0.475
'[12:45:33.576 22/05/1995]',-0.141,0.151,0.089,85.599,32.356,0.474
'[12:45:33.578 22/05/1995]',-0.141,0.151,0.089,85.599,32.356,0.474
'[12:45:33.580 22/05/1995]',-0.141,0.151,0.089,85.599,32.356,0.474
'[12:45:33.582 22/05/1995]',-0.141,0.151,0.089,85.599,32.356,0.474
'[12:45:33.584 22/05/1995]',-0.123,0.132,0.071,89.747,32.782,0.473
'[12:45:33.586 22/05/1995]',-0.123,0.132,0.089,89.747,32.782,0.473
'[12:45:33.588 22/05/1995]',-0.123,0.132,0.071,89.747,32.782,0.473
'[12:45:33.590 22/05/1995]',-0.123,0.132,0.071,89.747,32.782,0.473
'[12:45:33.592 22/05/1995]',-0.123,0.113,0.071,93.693,33.609,0.472
'[12:45:33.594 22/05/1995]',-0.123,0.113,0.071,93.693,33.609,0.472
'[12:45:33.596 22/05/1995]',-0.123,0.113,0.054,93.693,33.609,0.472
'[12:45:33.598 22/05/1995]',-0.105,0.095,0.054,93.693,33.609,0.472
'[12:45:33.600 22/05/1995]',-0.105,0.095,0.054,97.386,34.361,0.471
'[12:45:33.602 22/05/1995]',-0.105,0.076,0.054,97.386,34.361,0.471
'[12:45:33.604 22/05/1995]',-0.088,0.076,0.054,97.386,34.361,0.471
'[12:45:33.606 22/05/1995]',-0.088,0.057,0.054,97.386,34.361,0.471
'[12:45:33.608 22/05/1995]',-0.088,0.057,0.036,100.826,34.612,0.470
'[12:45:33.610 22/05/1995]',-0.070,0.038,0.036,100.826,34.612,0.470
'[12:45:33.612 22/05/1995]',-0.070,0.038,0.036,100.826,34.612,0.470
'[12:45:33.614 22/05/1995]',-0.052,0.020,0.018,100.826,34.612,0.470
'[12:45:33.616 22/05/1995]',-0.052,0.020,0.018,103.862,34.436,0.470
'[12:45:33.618 22/05/1995]',-0.052,0.002,0.018,103.862,34.436,0.470
'[12:45:33.620 22/05/1995]',-0.034,0.002,0.018,103.862,34.436,0.470
'[12:45:33.622 22/05/1995]',-0.034,0.002,0.018,103.862,34.436,0.470
'[12:45:33.624 22/05/1995]',-0.034,0.002,0.018,106.442,34.185,0.471
'[12:45:33.626 22/05/1995]',-0.016,0.002,0.002,106.442,34.185,0.471
'[12:45:33.628 22/05/1995]',-0.016,0.002,0.002,106.442,34.185,0.471
'[12:45:33.630 22/05/1995]',-0.016,0.002,0.002,106.442,34.185,0.471
'[12:45:33.632 22/05/1995]',-0.016,0.002,0.002,108.566,34.060,0.473
'[12:45:33.634 22/05/1995]',-0.016,0.002,0.002,108.566,34.060,0.473
'[12:45:33.636 22/05/1995]',0.002,0.002,0.002,108.566,34.060,0.473
'[12:45:33.638 22/05/1995]',0.002,0.002,0.002,108.566,34.060,0.473
'[12:45:33.640 22/05/1995]',0.002,0.002,0.002,110.084,33.709,0.475
'[12:45:33.642 22/05/1995]',0.002,-0.017,0.002,110.084,33.709,0.475
'[12:45:33.644 22/05/1995]',0.002,-0.017,0.002,110.084,33.709,0.475
