'Time and date','MCL1 ','II ','V ','ABP ','PAP ','PLETH ','RESP '
'[14:00:04.048 04/04/1995]',-0.056,0.009,0.001,49.250,21.960,0.000,-0.546
'[14:00:04.050 04/04/1995]',-0.043,0.009,0.001,49.250,21.960,0.000,-0.546
'[14:00:04.052 04/04/1995]',-0.043,0.009,0.001,49.250,21.960,0.000,-0.546
'[14:00:04.054 04/04/1995]',-0.043,0.018,0.001,49.250,21.960,0.000,-0.546
'[14:00:04.056 04/04/1995]',-0.043,0.018,0.001,52.200,21.432,0.000,-0.546
'[14:00:04.058 04/04/1995]',-0.056,0.018,-0.006,52.200,21.432,0.000,-0.546
'[14:00:04.060 04/04/1995]',-0.056,0.027,0.001,52.200,21.432,0.000,-0.546
'[14:00:04.062 04/04/1995]',-0.056,0.027,-0.006,52.200,21.432,0.000,-0.546
'[14:00:04.064 04/04/1995]',-0.056,0.027,-0.006,56.650,21.131,0.000,-0.545
'[14:00:04.066 04/04/1995]',-0.056,0.018,-0.006,56.650,21.131,0.000,-0.545
'[14:00:04.068 04/04/1995]',-0.056,0.027,0.001,56.650,21.131,0.000,-0.545
'[14:00:04.070 04/04/1995]',-0.056,0.027,-0.006,56.650,21.131,0.000,-0.545
'[14:00:04.072 04/04/1995]',-0.056,0.027,-0.006,62.450,20.955,0.000,-0.545
'[14:00:04.074 04/04/1995]',-0.056,0.027,0.001,62.450,20.955,0.000,-0.545
'[14:00:04.076 04/04/1995]',-0.056,0.027,-0.006,62.450,20.955,0.000,-0.545
'[14:00:04.078 04/04/1995]',-0.056,0.036,-0.006,62.450,20.955,0.000,-0.545
'[14:00:04.080 04/04/1995]',-0.056,0.036,-0.012,69.250,20.829,0.000,-0.544
'[14:00:04.082 04/04/1995]',-0.056,0.036,-0.006,69.250,20.829,0.000,-0.544
'[14:00:04.084 04/04/1995]',-0.056,0.045,-0.006,69.250,20.829,0.000,-0.544
'[14:00:04.086 04/04/1995]',-0.062,0.036,-0.006,69.250,20.829,0.000,-0.544
'[14:00:04.088 04/04/1995]',-0.056,0.036,-0.006,76.200,21.030,0.000,-0.544
'[14:00:04.090 04/04/1995]',-0.056,0.036,-0.006,76.200,21.030,0.000,-0.544
'[14:00:04.092 04/04/1995]',-0.062,0.036,-0.006,76.200,21.030,0.000,-0.544
'[14:00:04.094 04/04/1995]',-0.062,0.036,-0.006,76.200,21.030,0.000,-0.544
'[14:00:04.096 04/04/1995]',-0.062,0.045,-0.006,82.350,21.382,0.000,-0.543
'[14:00:04.098 04/04/1995]',-0.062,0.045,-0.006,82.350,21.382,0.000,-0.543
'[14:00:04.100 04/04/1995]',-0.062,0.036,-0.006,82.350,21.382,0.000,-0.543
'[14:00:04.102 04/04/1995]',-0.062,0.036,-0.006,82.350,21.382,0.000,-0.543
'[14:00:04.104 04/04/1995]',-0.062,0.036,-0.006,87.200,21.784,0.000,-0.543
'[14:00:04.106 04/04/1995]',-0.062,0.045,-0.006,87.200,21.784,0.000,-0.543
'[14:00:04.108 04/04/1995]',-0.062,0.045,-0.006,87.200,21.784,0.000,-0.543
'[14:00:04.110 04/04/1995]',-0.062,0.045,-0.006,87.200,21.784,0.000,-0.543
'[14:00:04.112 04/04/1995]',-0.062,0.045,-0.006,90.550,22.186,0.000,-0.543
'[14:00:04.114 04/04/1995]',-0.068,0.045,-0.006,90.550,22.186,0.000,-0.543
'[14:00:04.116 04/04/1995]',-0.062,0.045,-0.012,90.550,22.186,0.000,-0.543
'[14:00:04.118 04/04/1995]',-0.062,0.045,-0.006,90.550,22.186,0.000,-0.543
'[14:00:04.120 04/04/1995]',-0.062,0.036,-0.006,92.550,22.663,0.000,-0.543
'[14:00:04.122 04/04/1995]',-0.068,0.036,-0.006,92.550,22.663,0.000,-0.543
'[14:00:04.124 04/04/1995]',-0.062,0.036,-0.006,92.550,22.663,0.000,-0.543
'[14:00:04.126 04/04/1995]',-0.062,0.036,-0.006,92.550,22.663,0.000,-0.543
'[14:00:04.128 04/04/1995]',-0.062,0.045,-0.006,93.500,23.191,0.000,-0.543
'[14:00:04.130 04/04/1995]',-0.062,0.045,-0.006,93.500,23.191,0.000,-0.543
'[14:00:04.132 04/04/1995]',-0.062,0.036,-0.006,93.500,23.191,0.000,-0.543
'[14:00:04.134 04/04/1995]',-0.062,0.036,-0.006,93.500,23.191,0.000,-0.543
'[14:00:04.136 04/04/1995]',-0.062,0.036,-0.006,93.800,23.618,0.000,-0.544
'[14:00:04.138 04/04/1995]',-0.062,0.036,-0.006,93.800,23.618,0.000,-0.544
'[14:00:04.140 04/04/1995]',-0.062,0.027,-0.006,93.800,23.618,0.000,-0.544
'[14:00:04.142 04/04/1995]',-0.062,0.027,-0.006,93.800,23.618,0.000,-0.544
'[14:00:04.144 04/04/1995]',-0.062,0.036,-0.006,93.700,23.844,0.000,-0.544
'[14:00:04.146 04/04/1995]',-0.062,0.036,-0.006,93.700,23.844,0.000,-0.544
'[14:00:04.148 04/04/1995]',-0.062,0.027,-0.006,93.700,23.844,0.000,-0.544
'[14:00:04.150 04/04/1995]',-0.062,0.027,0.001,93.700,23.844,0.000,-0.544
'[14:00:04.152 04/04/1995]',-0.068,0.027,0.001,93.300,23.844,0.000,-0.545
'[14:00:04.154 04/04/1995]',-0.062,0.027,-0.006,93.300,23.844,0.000,-0.545
'[14:00:04.156 04/04/1995]',-0.056,0.018,-0.006,93.300,23.844,0.000,-0.545
'[14:00:04.158 04/04/1995]',-0.062,0.018,-0.006,93.300,23.844,0.000,-0.545
'[14:00:04.160 04/04/1995]',-0.062,0.018,-0.006,92.650,23.719,0.000,-0.545
'[14:00:04.162 04/04/1995]',-0.062,0.027,-0.006,92.650,23.719,0.000,-0.545
'[14:00:04.164 04/04/1995]',-0.062,0.018,0.001,92.650,23.719,0.000,-0.545
'[14:00:04.166 04/04/1995]',-0.056,0.018,-0.006,92.650,23.719,0.000,-0.545
'[14:00:04.168 04/04/1995]',-0.056,0.018,0.001,91.700,23.492,0.000,-0.545
'[14:00:04.170 04/04/1995]',-0.056,0.018,0.001,91.700,23.492,0.000,-0.545
'[14:00:04.172 04/04/1995]',-0.056,0.018,-0.006,91.700,23.492,0.000,-0.545
'[14:00:04.174 04/04/1995]',-0.056,0.018,0.001,91.700,23.492,0.000,-0.545
'[14:00:04.176 04/04/1995]',-0.056,0.018,0.001,90.550,23.090,0.000,-0.545
'[14:00:04.178 04/04/1995]',-0.056,0.018,0.001,90.550,23.090,0.000,-0.545
'[14:00:04.180 04/04/1995]',-0.056,0.018,-0.006,90.550,23.090,0.000,-0.545
'[14:00:04.182 04/04/1995]',-0.056,0.018,-0.006,90.550,23.090,0.000,-0.545
'[14:00:04.184 04/04/1995]',-0.043,0.018,0.001,89.000,22.538,0.000,-0.544
'[14:00:04.186 04/04/1995]',-0.056,0.009,-0.006,89.000,22.538,0.000,-0.544
'[14:00:04.188 04/04/1995]',-0.043,0.009,0.001,89.000,22.538,0.000,-0.544
'[14:00:04.190 04/04/1995]',-0.056,0.009,0.001,89.000,22.538,0.000,-0.544
'[14:00:04.192 04/04/1995]',-0.056,0.009,0.001,87.200,22.136,0.000,-0.542
'[14:00:04.194 04/04/1995]',-0.043,0.009,0.001,87.200,22.136,0.000,-0.542
'[14:00:04.196 04/04/1995]',-0.056,0.009,-0.006,87.200,22.136,0.000,-0.542
'[14:00:04.198 04/04/1995]',-0.056,0.009,-0.006,87.200,22.136,0.000,-0.542
'[14:00:04.200 04/04/1995]',-0.056,0.009,0.001,85.150,21.784,0.000,-0.541
'[14:00:04.202 04/04/1995]',-0.043,0.018,0.001,85.150,21.784,0.000,-0.541
'[14:00:04.204 04/04/1995]',-0.043,0.009,0.001,85.150,21.784,0.000,-0.541
'[14:00:04.206 04/04/1995]',-0.043,0.009,0.001,85.150,21.784,0.000,-0.541
'[14:00:04.208 04/04/1995]',-0.043,0.009,0.001,82.800,21.558,0.000,-0.540
'[14:00:04.210 04/04/1995]',-0.043,0.009,0.001,82.800,21.558,0.000,-0.540
'[14:00:04.212 04/04/1995]',-0.056,0.009,-0.006,82.800,21.558,0.000,-0.540
'[14:00:04.214 04/04/1995]',-0.056,0.009,-0.006,82.800,21.558,0.000,-0.540
'[14:00:04.216 04/04/1995]',-0.043,0.009,0.001,80.300,21.382,0.000,-0.539
'[14:00:04.218 04/04/1995]',-0.056,0.001,-0.006,80.300,21.382,0.000,-0.539
'[14:00:04.220 04/04/1995]',-0.043,0.009,0.001,80.300,21.382,0.000,-0.539
'[14:00:04.222 04/04/1995]',-0.043,0.009,0.001,80.300,21.382,0.000,-0.539
'[14:00:04.224 04/04/1995]',-0.043,0.009,0.001,77.600,21.307,0.000,-0.538
'[14:00:04.226 04/04/1995]',-0.043,0.001,0.001,77.600,21.307,0.000,-0.538
'[14:00:04.228 04/04/1995]',-0.056,0.009,0.001,77.600,21.307,0.000,-0.538
'[14:00:04.230 04/04/1995]',-0.043,0.009,0.001,77.600,21.307,0.000,-0.538
'[14:00:04.232 04/04/1995]',-0.043,0.001,0.001,74.700,21.382,0.000,-0.537
'[14:00:04.234 04/04/1995]',-0.043,0.001,0.001,74.700,21.382,0.000,-0.537
'[14:00:04.236 04/04/1995]',-0.043,0.001,0.001,74.700,21.382,0.000,-0.537
'[14:00:04.238 04/04/1995]',-0.043,0.001,0.001,74.700,21.382,0.000,-0.537
'[14:00:04.240 04/04/1995]',-0.043,0.001,0.001,71.750,21.558,0.000,-0.536
'[14:00:04.242 04/04/1995]',-0.043,0.001,0.001,71.750,21.558,0.000,-0.536
'[14:00:04.244 04/04/1995]',-0.056,0.001,0.001,71.750,21.558,0.000,-0.536
'[14:00:04.246 04/04/1995]',-0.043,0.001,0.001,71.750,21.558,0.000,-0.536
'[14:00:04.248 04/04/1995]',-0.056,0.001,0.001,68.750,21.734,0.000,-0.535
'[14:00:04.250 04/04/1995]',-0.043,0.001,0.001,68.750,21.734,0.000,-0.535
'[14:00:04.252 04/04/1995]',-0.043,0.001,0.001,68.750,21.734,0.000,-0.535
'[14:00:04.254 04/04/1995]',-0.043,0.001,0.001,68.750,21.734,0.000,-0.535
'[14:00:04.256 04/04/1995]',-0.043,0.001,0.001,65.800,21.734,0.000,-0.534
'[14:00:04.258 04/04/1995]',-0.043,0.001,0.001,65.800,21.734,0.000,-0.534
'[14:00:04.260 04/04/1995]',-0.043,0.001,0.001,65.800,21.734,0.000,-0.534
'[14:00:04.262 04/04/1995]',-0.043,0.001,0.006,65.800,21.734,0.000,-0.534
'[14:00:04.264 04/04/1995]',-0.043,0.001,0.001,63.150,21.558,0.000,-0.533
'[14:00:04.266 04/04/1995]',-0.043,0.001,0.001,63.150,21.558,0.000,-0.533
'[14:00:04.268 04/04/1995]',-0.043,0.001,0.001,63.150,21.558,0.000,-0.533
'[14:00:04.270 04/04/1995]',-0.043,0.001,0.001,63.150,21.558,0.000,-0.533
'[14:00:04.272 04/04/1995]',-0.043,0.001,0.001,60.950,21.382,0.000,-0.532
'[14:00:04.274 04/04/1995]',-0.043,0.001,0.001,60.950,21.382,0.000,-0.532
'[14:00:04.276 04/04/1995]',-0.043,0.001,0.006,60.950,21.382,0.000,-0.532
'[14:00:04.278 04/04/1995]',-0.043,0.001,0.001,60.950,21.382,0.000,-0.532
'[14:00:04.280 04/04/1995]',-0.043,0.001,0.006,59.300,21.131,0.000,-0.531
'[14:00:04.282 04/04/1995]',-0.043,0.001,0.001,59.300,21.131,0.000,-0.531
'[14:00:04.284 04/04/1995]',-0.043,0.001,0.001,59.300,21.131,0.000,-0.531
'[14:00:04.286 04/04/1995]',-0.037,0.001,0.006,59.300,21.131,0.000,-0.531
'[14:00:04.288 04/04/1995]',-0.037,0.001,0.006,58.200,20.955,0.000,-0.530
'[14:00:04.290 04/04/1995]',-0.043,0.001,0.006,58.200,20.955,0.000,-0.530
'[14:00:04.292 04/04/1995]',-0.043,0.001,0.006,58.200,20.955,0.000,-0.530
'[14:00:04.294 04/04/1995]',-0.043,0.001,0.006,58.200,20.955,0.000,-0.530
'[14:00:04.296 04/04/1995]',-0.043,0.001,0.006,57.500,20.729,0.000,-0.528
'[14:00:04.298 04/04/1995]',-0.043,0.001,0.001,57.500,20.729,0.000,-0.528
'[14:00:04.300 04/04/1995]',-0.043,0.001,0.006,57.500,20.729,0.000,-0.528
'[14:00:04.302 04/04/1995]',-0.037,0.001,0.006,57.500,20.729,0.000,-0.528
'[14:00:04.304 04/04/1995]',-0.037,0.001,0.006,57.150,20.603,0.000,-0.526
'[14:00:04.306 04/04/1995]',-0.037,0.001,0.006,57.150,20.603,0.000,-0.526
'[14:00:04.308 04/04/1995]',-0.037,0.001,0.001,57.150,20.603,0.000,-0.526
'[14:00:04.310 04/04/1995]',-0.037,0.001,0.001,57.150,20.603,0.000,-0.526
'[14:00:04.312 04/04/1995]',-0.037,0.001,0.001,56.950,20.477,0.000,-0.524
'[14:00:04.314 04/04/1995]',-0.037,0.001,0.006,56.950,20.477,0.000,-0.524
'[14:00:04.316 04/04/1995]',-0.037,0.001,0.001,56.950,20.477,0.000,-0.524
'[14:00:04.318 04/04/1995]',-0.037,0.001,0.001,56.950,20.477,0.000,-0.524
'[14:00:04.320 04/04/1995]',-0.037,0.001,0.006,56.850,20.201,0.000,-0.522
'[14:00:04.322 04/04/1995]',-0.037,0.001,0.006,56.850,20.201,0.000,-0.522
'[14:00:04.324 04/04/1995]',-0.031,0.001,0.006,56.850,20.201,0.000,-0.522
'[14:00:04.326 04/04/1995]',-0.037,0.001,0.006,56.850,20.201,0.000,-0.522
'[14:00:04.328 04/04/1995]',-0.037,0.001,0.006,56.850,19.246,0.000,-0.520
'[14:00:04.330 04/04/1995]',-0.037,0.001,0.001,56.850,19.246,0.000,-0.520
'[14:00:04.332 04/04/1995]',-0.037,0.001,0.001,56.850,19.246,0.000,-0.520
'[14:00:04.334 04/04/1995]',-0.037,0.001,0.001,56.850,19.246,0.000,-0.520
'[14:00:04.336 04/04/1995]',-0.037,0.001,0.001,56.850,17.663,0.000,-0.518
'[14:00:04.338 04/04/1995]',-0.037,0.001,0.001,56.850,17.663,0.000,-0.518
'[14:00:04.340 04/04/1995]',-0.037,0.001,0.001,56.850,17.663,0.000,-0.518
'[14:00:04.342 04/04/1995]',-0.037,0.001,0.001,56.850,17.663,0.000,-0.518
'[14:00:04.344 04/04/1995]',-0.037,0.001,0.001,56.950,15.653,0.000,-0.516
'[14:00:04.346 04/04/1995]',-0.043,0.001,-0.006,56.950,15.653,0.000,-0.516
'[14:00:04.348 04/04/1995]',-0.043,0.009,-0.006,56.950,15.653,0.000,-0.516
'[14:00:04.350 04/04/1995]',-0.043,0.009,-0.006,56.950,15.653,0.000,-0.516
'[14:00:04.352 04/04/1995]',-0.043,0.018,-0.006,57.000,13.593,0.000,-0.514
'[14:00:04.354 04/04/1995]',-0.037,0.018,-0.006,57.000,13.593,0.000,-0.514
'[14:00:04.356 04/04/1995]',-0.037,0.018,0.001,57.000,13.593,0.000,-0.514
'[14:00:04.358 04/04/1995]',-0.037,0.018,0.001,57.000,13.593,0.000,-0.514
'[14:00:04.360 04/04/1995]',-0.043,0.018,0.001,57.000,11.709,0.000,-0.512
'[14:00:04.362 04/04/1995]',-0.043,0.018,0.001,57.000,11.709,0.000,-0.512
'[14:00:04.364 04/04/1995]',-0.037,0.018,0.001,57.000,11.709,0.000,-0.512
'[14:00:04.366 04/04/1995]',-0.043,0.018,0.001,57.000,11.709,0.000,-0.512
'[14:00:04.368 04/04/1995]',-0.037,0.018,0.001,57.000,10.000,0.000,-0.510
'[14:00:04.370 04/04/1995]',-0.037,0.018,0.001,57.000,10.000,0.000,-0.510
'[14:00:04.372 04/04/1995]',-0.037,0.018,-0.006,57.000,10.000,0.000,-0.510
'[14:00:04.374 04/04/1995]',-0.037,0.018,-0.006,57.000,10.000,0.000,-0.510
'[14:00:04.376 04/04/1995]',-0.037,0.018,0.001,56.950,8.543,0.000,-0.508
'[14:00:04.378 04/04/1995]',-0.037,0.018,-0.012,56.950,8.543,0.000,-0.508
'[14:00:04.380 04/04/1995]',-0.037,0.018,-0.006,56.950,8.543,0.000,-0.508
'[14:00:04.382 04/04/1995]',-0.037,0.018,-0.012,56.950,8.543,0.000,-0.508
'[14:00:04.384 04/04/1995]',-0.031,0.009,-0.012,56.800,7.362,0.000,-0.506
'[14:00:04.386 04/04/1995]',-0.031,0.009,-0.012,56.800,7.362,0.000,-0.506
'[14:00:04.388 04/04/1995]',-0.031,0.001,-0.012,56.800,7.362,0.000,-0.506
'[14:00:04.390 04/04/1995]',-0.018,0.001,-0.012,56.800,7.362,0.000,-0.506
'[14:00:04.392 04/04/1995]',-0.018,0.001,-0.012,56.600,6.533,0.000,-0.503
'[14:00:04.394 04/04/1995]',-0.018,0.001,-0.006,56.600,6.533,0.000,-0.503
'[14:00:04.396 04/04/1995]',-0.018,0.001,-0.012,56.600,6.533,0.000,-0.503
'[14:00:04.398 04/04/1995]',-0.018,0.001,-0.012,56.600,6.533,0.000,-0.503
'[14:00:04.400 04/04/1995]',-0.012,0.001,-0.006,56.350,6.131,0.000,-0.501
'[14:00:04.402 04/04/1995]',-0.012,0.001,-0.012,56.350,6.131,0.000,-0.501
'[14:00:04.404 04/04/1995]',-0.012,0.001,-0.012,56.350,6.131,0.000,-0.501
'[14:00:04.406 04/04/1995]',-0.012,0.001,-0.012,56.350,6.131,0.000,-0.501
'[14:00:04.408 04/04/1995]',-0.012,0.001,-0.006,56.100,5.879,0.000,-0.498
'[14:00:04.410 04/04/1995]',-0.018,0.001,-0.012,56.100,5.879,0.000,-0.498
'[14:00:04.412 04/04/1995]',-0.012,0.001,-0.006,56.100,5.879,0.000,-0.498
'[14:00:04.414 04/04/1995]',-0.012,0.001,-0.012,56.100,5.879,0.000,-0.498
'[14:00:04.416 04/04/1995]',-0.012,0.001,-0.006,55.800,5.879,0.000,-0.495
'[14:00:04.418 04/04/1995]',-0.012,0.001,-0.012,55.800,5.879,0.000,-0.495
'[14:00:04.420 04/04/1995]',-0.018,0.001,-0.006,55.800,5.879,0.000,-0.495
'[14:00:04.422 04/04/1995]',-0.012,0.001,-0.006,55.800,5.879,0.000,-0.495
'[14:00:04.424 04/04/1995]',-0.012,0.009,-0.006,55.500,6.055,0.000,-0.493
'[14:00:04.426 04/04/1995]',-0.018,0.009,-0.006,55.500,6.055,0.000,-0.493
'[14:00:04.428 04/04/1995]',-0.018,0.018,-0.012,55.500,6.055,0.000,-0.493
'[14:00:04.430 04/04/1995]',-0.018,0.018,-0.012,55.500,6.055,0.000,-0.493
'[14:00:04.432 04/04/1995]',-0.018,0.009,-0.012,55.200,6.357,0.000,-0.491
'[14:00:04.434 04/04/1995]',-0.012,0.009,-0.012,55.200,6.357,0.000,-0.491
'[14:00:04.436 04/04/1995]',-0.012,0.001,-0.012,55.200,6.357,0.000,-0.491
'[14:00:04.438 04/04/1995]',-0.012,0.001,-0.012,55.200,6.357,0.000,-0.491
'[14:00:04.440 04/04/1995]',-0.012,0.001,-0.012,54.950,6.759,0.000,-0.489
'[14:00:04.442 04/04/1995]',-0.012,0.001,-0.012,54.950,6.759,0.000,-0.489
'[14:00:04.444 04/04/1995]',-0.012,0.001,-0.012,54.950,6.759,0.000,-0.489
'[14:00:04.446 04/04/1995]',-0.012,0.009,-0.012,54.950,6.759,0.000,-0.489
'[14:00:04.448 04/04/1995]',-0.006,0.001,-0.012,54.650,7.111,0.000,-0.487
'[14:00:04.450 04/04/1995]',-0.012,0.009,-0.006,54.650,7.111,0.000,-0.487
'[14:00:04.452 04/04/1995]',-0.012,0.001,-0.006,54.650,7.111,0.000,-0.487
'[14:00:04.454 04/04/1995]',-0.006,0.001,-0.006,54.650,7.111,0.000,-0.487
'[14:00:04.456 04/04/1995]',-0.006,0.001,-0.006,54.300,7.462,0.000,-0.486
'[14:00:04.458 04/04/1995]',-0.012,0.001,-0.006,54.300,7.462,0.000,-0.486
'[14:00:04.460 04/04/1995]',-0.012,0.001,0.001,54.300,7.462,0.000,-0.486
'[14:00:04.462 04/04/1995]',-0.012,0.009,-0.006,54.300,7.462,0.000,-0.486
'[14:00:04.464 04/04/1995]',-0.012,0.009,0.001,54.050,7.764,0.000,-0.484
'[14:00:04.466 04/04/1995]',-0.018,0.009,0.001,54.050,7.764,0.000,-0.484
'[14:00:04.468 04/04/1995]',-0.012,0.009,-0.006,54.050,7.764,0.000,-0.484
'[14:00:04.470 04/04/1995]',-0.012,0.001,0.001,54.050,7.764,0.000,-0.484
'[14:00:04.472 04/04/1995]',-0.012,0.001,0.001,53.700,8.065,0.000,-0.482
'[14:00:04.474 04/04/1995]',-0.012,0.001,0.001,53.700,8.065,0.000,-0.482
'[14:00:04.476 04/04/1995]',-0.006,0.001,0.001,53.700,8.065,0.000,-0.482
'[14:00:04.478 04/04/1995]',-0.012,0.001,0.001,53.700,8.065,0.000,-0.482
'[14:00:04.480 04/04/1995]',-0.012,0.001,0.001,53.350,8.367,0.000,-0.481
'[14:00:04.482 04/04/1995]',-0.006,0.001,0.001,53.350,8.367,0.000,-0.481
'[14:00:04.484 04/04/1995]',-0.012,0.001,0.001,53.350,8.367,0.000,-0.481
'[14:00:04.486 04/04/1995]',-0.006,0.001,0.001,53.350,8.367,0.000,-0.481
'[14:00:04.488 04/04/1995]',-0.006,0.001,0.006,53.050,8.643,0.000,-0.480
'[14:00:04.490 04/04/1995]',-0.012,0.001,0.001,53.050,8.643,0.000,-0.480
'[14:00:04.492 04/04/1995]',-0.012,0.001,0.001,53.050,8.643,0.000,-0.480
'[14:00:04.494 04/04/1995]',-0.012,0.001,0.001,53.050,8.643,0.000,-0.480
'[14:00:04.496 04/04/1995]',-0.012,0.001,0.001,52.700,8.894,0.000,-0.479
'[14:00:04.498 04/04/1995]',-0.012,0.001,0.001,52.700,8.894,0.000,-0.479
'[14:00:04.500 04/04/1995]',-0.012,0.001,0.001,52.700,8.894,0.000,-0.479
'[14:00:04.502 04/04/1995]',-0.012,0.001,0.001,52.700,8.894,0.000,-0.479
'[14:00:04.504 04/04/1995]',-0.006,0.001,0.001,52.350,9.070,0.000,-0.479
'[14:00:04.506 04/04/1995]',-0.012,0.001,0.001,52.350,9.070,0.000,-0.479
'[14:00:04.508 04/04/1995]',-0.006,0.001,0.001,52.350,9.070,0.000,-0.479
'[14:00:04.510 04/04/1995]',-0.012,0.001,-0.006,52.350,9.070,0.000,-0.479
'[14:00:04.512 04/04/1995]',-0.012,0.001,0.001,52.000,9.171,0.000,-0.478
'[14:00:04.514 04/04/1995]',-0.012,0.001,0.001,52.000,9.171,0.000,-0.478
'[14:00:04.516 04/04/1995]',-0.012,0.001,0.001,52.000,9.171,0.000,-0.478
'[14:00:04.518 04/04/1995]',-0.012,0.001,0.001,52.000,9.171,0.000,-0.478
'[14:00:04.520 04/04/1995]',-0.006,0.001,0.001,51.650,9.347,0.000,-0.478
'[14:00:04.522 04/04/1995]',-0.006,0.001,0.001,51.650,9.347,0.000,-0.478
'[14:00:04.524 04/04/1995]',-0.006,0.001,0.001,51.650,9.347,0.000,-0.478
'[14:00:04.526 04/04/1995]',-0.006,0.001,0.006,51.650,9.347,0.000,-0.478
'[14:00:04.528 04/04/1995]',-0.006,0.001,0.001,51.300,9.523,0.000,-0.477
'[14:00:04.530 04/04/1995]',-0.006,0.001,0.001,51.300,9.523,0.000,-0.477
'[14:00:04.532 04/04/1995]',-0.006,0.001,0.001,51.300,9.523,0.000,-0.477
'[14:00:04.534 04/04/1995]',-0.006,0.001,0.001,51.300,9.523,0.000,-0.477
'[14:00:04.536 04/04/1995]',-0.006,0.001,0.001,51.000,9.774,0.000,-0.475
'[14:00:04.538 04/04/1995]',-0.012,0.001,0.001,51.000,9.774,0.000,-0.475
'[14:00:04.540 04/04/1995]',-0.006,0.001,0.001,51.000,9.774,0.000,-0.475
'[14:00:04.542 04/04/1995]',-0.006,0.001,0.001,51.000,9.774,0.000,-0.475
'[14:00:04.544 04/04/1995]',-0.012,0.001,0.001,50.650,10.126,0.000,-0.474
'[14:00:04.546 04/04/1995]',-0.012,0.001,-0.006,50.650,10.126,0.000,-0.474
'[14:00:04.548 04/04/1995]',-0.006,0.001,0.001,50.650,10.126,0.000,-0.474
'[14:00:04.550 04/04/1995]',-0.006,0.001,0.001,50.650,10.126,0.000,-0.474
'[14:00:04.552 04/04/1995]',-0.006,0.001,0.006,50.350,10.603,0.000,-0.472
'[14:00:04.554 04/04/1995]',-0.006,0.001,0.006,50.350,10.603,0.000,-0.472
'[14:00:04.556 04/04/1995]',-0.012,0.001,0.006,50.350,10.603,0.000,-0.472
'[14:00:04.558 04/04/1995]',-0.012,-0.008,0.006,50.350,10.603,0.000,-0.472
'[14:00:04.560 04/04/1995]',-0.012,-0.008,0.013,50.050,11.055,0.000,-0.471
'[14:00:04.562 04/04/1995]',-0.018,0.001,0.013,50.050,11.055,0.000,-0.471
'[14:00:04.564 04/04/1995]',-0.031,-0.008,0.013,50.050,11.055,0.000,-0.471
'[14:00:04.566 04/04/1995]',-0.043,-0.008,0.013,50.050,11.055,0.000,-0.471
'[14:00:04.568 04/04/1995]',-0.056,0.001,0.013,49.750,11.407,0.000,-0.470
'[14:00:04.570 04/04/1995]',-0.056,0.001,0.013,49.750,11.407,0.000,-0.470
