'Time and date','II','aVL','V','ABP','PAP','CVP','PLETH'
'[15:13:44.054 01/01/1996]',0.492,-,0.956,72.060,38.357,30.725,-0.118
'[15:13:44.056 01/01/1996]',0.482,-0.716,0.940,70.804,37.406,30.375,-0.113
'[15:13:44.058 01/01/1996]',0.472,-0.709,0.924,70.804,37.406,30.375,-0.113
'[15:13:44.060 01/01/1996]',0.462,-0.685,0.908,70.804,37.406,30.375,-0.113
'[15:13:44.062 01/01/1996]',0.452,-0.662,0.876,70.804,37.406,30.375,-0.113
'[15:13:44.064 01/01/1996]',0.440,-0.647,0.860,69.347,36.605,29.900,-0.087
'[15:13:44.066 01/01/1996]',0.428,-0.624,0.843,69.347,36.605,29.900,-0.087
'[15:13:44.068 01/01/1996]',0.416,-0.608,0.827,69.347,36.605,29.900,-0.087
'[15:13:44.070 01/01/1996]',0.403,-0.593,0.811,69.347,36.605,29.900,-0.087
'[15:13:44.072 01/01/1996]',0.390,-0.578,0.795,67.538,35.955,29.425,-0.082
'[15:13:44.074 01/01/1996]',0.377,-0.562,0.778,67.538,35.955,29.425,-0.082
'[15:13:44.076 01/01/1996]',0.364,-0.547,0.762,67.538,35.955,29.425,-0.082
'[15:13:44.078 01/01/1996]',0.352,-0.524,0.730,67.538,35.955,29.425,-0.082
'[15:13:44.080 01/01/1996]',0.339,-0.501,0.713,65.678,35.354,28.800,-0.074
'[15:13:44.082 01/01/1996]',0.326,-0.485,0.697,65.678,35.354,28.800,-0.074
'[15:13:44.084 01/01/1996]',0.314,-0.477,0.665,65.678,35.354,28.800,-0.074
'[15:13:44.086 01/01/1996]',0.302,-0.454,0.649,65.678,35.354,28.800,-0.074
'[15:13:44.088 01/01/1996]',0.290,-0.439,0.649,63.719,34.729,28.100,-0.069
'[15:13:44.090 01/01/1996]',0.279,-0.424,0.617,63.719,34.729,28.100,-0.069
'[15:13:44.092 01/01/1996]',0.268,-0.400,0.600,63.719,34.729,28.100,-0.069
'[15:13:44.094 01/01/1996]',0.257,-0.385,0.584,63.719,34.729,28.100,-0.069
'[15:13:44.096 01/01/1996]',0.246,-0.369,0.552,61.809,33.903,27.200,-0.061
'[15:13:44.098 01/01/1996]',0.236,-0.354,0.519,61.809,33.903,27.200,-0.061
'[15:13:44.100 01/01/1996]',0.225,-0.331,0.503,61.809,33.903,27.200,-0.061
'[15:13:44.102 01/01/1996]',0.215,-0.323,0.487,61.809,33.903,27.200,-0.061
'[15:13:44.104 01/01/1996]',0.206,-0.300,0.487,59.950,33.303,26.225,-0.057
'[15:13:44.106 01/01/1996]',0.196,-0.292,0.487,59.950,33.303,26.225,-0.057
'[15:13:44.108 01/01/1996]',0.186,-0.277,0.470,59.950,33.303,26.225,-0.057
'[15:13:44.110 01/01/1996]',0.176,-0.254,0.455,59.950,33.303,26.225,-0.057
'[15:13:44.112 01/01/1996]',0.167,-0.246,0.422,58.492,33.027,24.975,-0.052
'[15:13:44.114 01/01/1996]',0.157,-0.231,0.374,58.492,33.027,24.975,-0.052
'[15:13:44.116 01/01/1996]',0.148,-0.215,0.357,58.492,33.027,24.975,-0.052
'[15:13:44.118 01/01/1996]',0.139,-0.208,0.325,58.492,33.027,24.975,-0.052
'[15:13:44.120 01/01/1996]',0.131,-0.185,0.325,57.739,32.852,23.625,-0.048
'[15:13:44.122 01/01/1996]',0.122,-0.185,0.292,57.739,32.852,23.625,-0.048
'[15:13:44.124 01/01/1996]',0.114,-0.169,0.292,57.739,32.852,23.625,-0.048
'[15:13:44.126 01/01/1996]',0.105,-0.154,0.260,57.739,32.852,23.625,-0.048
'[15:13:44.128 01/01/1996]',0.098,-0.138,0.244,57.739,32.727,22.100,-0.045
'[15:13:44.130 01/01/1996]',0.091,-0.123,0.212,57.739,32.727,22.100,-0.045
'[15:13:44.132 01/01/1996]',0.084,-0.115,0.196,57.739,32.727,22.100,-0.045
'[15:13:44.134 01/01/1996]',0.078,-0.108,0.179,57.739,32.727,22.100,-0.045
'[15:13:44.136 01/01/1996]',0.072,-0.100,0.147,58.492,32.502,20.600,-0.044
'[15:13:44.138 01/01/1996]',0.066,-0.084,0.147,58.492,32.502,20.600,-0.044
'[15:13:44.140 01/01/1996]',0.060,-0.077,0.131,58.492,32.502,20.600,-0.044
'[15:13:44.142 01/01/1996]',0.053,-0.069,0.114,58.492,32.502,20.600,-0.044
'[15:13:44.144 01/01/1996]',0.047,-0.053,0.098,59.598,32.077,19.000,-0.043
'[15:13:44.146 01/01/1996]',0.040,-0.046,0.098,59.598,32.077,19.000,-0.043
'[15:13:44.148 01/01/1996]',0.034,-0.038,0.098,59.598,32.077,19.000,-0.043
'[15:13:44.150 01/01/1996]',0.029,-0.030,0.098,59.598,32.077,19.000,-0.043
'[15:13:44.152 01/01/1996]',0.024,-0.022,0.098,60.754,31.201,17.475,-0.043
'[15:13:44.154 01/01/1996]',0.020,-0.015,0.098,60.754,31.201,17.475,-0.043
'[15:13:44.156 01/01/1996]',0.015,-0.007,0.098,60.754,31.201,17.475,-0.043
'[15:13:44.158 01/01/1996]',0.011,0.001,0.098,60.754,31.201,17.475,-0.043
'[15:13:44.160 01/01/1996]',0.007,0.016,0.082,61.558,29.975,16.075,-0.044
'[15:13:44.162 01/01/1996]',0.004,0.024,0.066,61.558,29.975,16.075,-0.044
'[15:13:44.164 01/01/1996]',0.001,0.024,0.066,61.558,29.975,16.075,-0.044
'[15:13:44.166 01/01/1996]',-0.002,0.039,0.049,61.558,29.975,16.075,-0.044
'[15:13:44.168 01/01/1996]',-0.005,0.047,0.049,62.060,28.799,14.725,-0.044
'[15:13:44.170 01/01/1996]',-0.009,0.047,0.049,62.060,28.799,14.725,-0.044
'[15:13:44.172 01/01/1996]',-0.012,0.054,0.066,62.060,28.799,14.725,-0.044
'[15:13:44.174 01/01/1996]',-0.015,0.054,0.066,62.060,28.799,14.725,-0.044
'[15:13:44.176 01/01/1996]',-0.018,0.062,0.066,62.261,28.324,13.625,-0.046
'[15:13:44.178 01/01/1996]',-0.021,0.070,0.066,62.261,28.324,13.625,-0.046
'[15:13:44.180 01/01/1996]',-0.024,0.070,0.066,62.261,28.324,13.625,-0.046
'[15:13:44.182 01/01/1996]',-0.027,0.078,0.049,62.261,28.324,13.625,-0.046
'[15:13:44.184 01/01/1996]',-0.030,0.085,0.066,62.161,28.849,12.625,-0.046
'[15:13:44.186 01/01/1996]',-0.032,0.078,0.049,62.161,28.849,12.625,-0.046
'[15:13:44.188 01/01/1996]',-0.035,0.078,0.066,62.161,28.849,12.625,-0.046
'[15:13:44.190 01/01/1996]',-0.037,0.085,0.066,62.161,28.849,12.625,-0.046
'[15:13:44.192 01/01/1996]',-0.040,0.085,0.066,61.859,29.975,11.850,-0.048
'[15:13:44.194 01/01/1996]',-0.042,0.085,0.082,61.859,29.975,11.850,-0.048
'[15:13:44.196 01/01/1996]',-0.044,0.101,0.098,61.859,29.975,11.850,-0.048
'[15:13:44.198 01/01/1996]',-0.047,0.101,0.114,61.859,29.975,11.850,-0.048
'[15:13:44.200 01/01/1996]',-0.049,0.109,0.131,61.457,31.251,11.325,-0.048
'[15:13:44.202 01/01/1996]',-0.051,0.109,0.147,61.457,31.251,11.325,-0.048
'[15:13:44.204 01/01/1996]',-0.053,0.109,0.163,61.457,31.251,11.325,-0.048
'[15:13:44.206 01/01/1996]',-0.054,0.109,0.179,61.457,31.251,11.325,-0.048
'[15:13:44.208 01/01/1996]',-0.056,0.109,0.196,60.905,32.502,11.025,-0.046
'[15:13:44.210 01/01/1996]',-0.057,0.116,0.212,60.905,32.502,11.025,-0.046
'[15:13:44.212 01/01/1996]',-0.059,0.116,0.228,60.905,32.502,11.025,-0.046
'[15:13:44.214 01/01/1996]',-0.060,0.116,0.228,60.905,32.502,11.025,-0.046
'[15:13:44.216 01/01/1996]',-0.061,0.116,0.228,60.302,33.478,10.925,-0.046
'[15:13:44.218 01/01/1996]',-0.061,0.124,0.228,60.302,33.478,10.925,-0.046
'[15:13:44.220 01/01/1996]',-0.062,0.124,0.244,60.302,33.478,10.925,-0.046
'[15:13:44.222 01/01/1996]',-0.063,0.116,0.276,60.302,33.478,10.925,-0.046
'[15:13:44.224 01/01/1996]',-0.064,0.116,0.292,59.648,34.203,10.925,-0.044
'[15:13:44.226 01/01/1996]',-0.064,0.124,0.292,59.648,34.203,10.925,-0.044
'[15:13:44.228 01/01/1996]',-0.066,0.124,0.309,59.648,34.203,10.925,-0.044
'[15:13:44.230 01/01/1996]',-0.068,0.131,0.309,59.648,34.203,10.925,-0.044
'[15:13:44.232 01/01/1996]',-0.069,0.131,0.325,58.945,34.654,11.025,-0.044
'[15:13:44.234 01/01/1996]',-0.070,0.131,0.357,58.945,34.654,11.025,-0.044
'[15:13:44.236 01/01/1996]',-0.070,0.131,0.374,58.945,34.654,11.025,-0.044
'[15:13:44.238 01/01/1996]',-0.071,0.124,0.406,58.945,34.654,11.025,-0.044
'[15:13:44.240 01/01/1996]',-0.072,0.124,0.422,58.392,34.829,11.150,-0.043
'[15:13:44.242 01/01/1996]',-0.072,0.131,0.455,58.392,34.829,11.150,-0.043
'[15:13:44.244 01/01/1996]',-0.072,0.124,0.455,58.392,34.829,11.150,-0.043
'[15:13:44.246 01/01/1996]',-0.072,0.131,0.470,58.392,34.829,11.150,-0.043
'[15:13:44.248 01/01/1996]',-0.072,0.139,0.487,57.889,34.479,11.400,-0.043
'[15:13:44.250 01/01/1996]',-0.072,0.131,0.487,57.889,34.479,11.400,-0.043
'[15:13:44.252 01/01/1996]',-0.073,0.139,0.487,57.889,34.479,11.400,-0.043
'[15:13:44.254 01/01/1996]',-0.073,0.139,0.503,57.889,34.479,11.400,-0.043
'[15:13:44.256 01/01/1996]',-0.074,0.131,0.519,57.538,33.478,11.575,-0.040
'[15:13:44.258 01/01/1996]',-0.075,0.131,0.519,57.538,33.478,11.575,-0.040
'[15:13:44.260 01/01/1996]',-0.075,0.139,0.519,57.538,33.478,11.575,-0.040
'[15:13:44.262 01/01/1996]',-0.076,0.139,0.535,57.538,33.478,11.575,-0.040
'[15:13:44.264 01/01/1996]',-0.077,0.139,0.519,57.186,31.852,11.800,-0.038
'[15:13:44.266 01/01/1996]',-0.078,0.139,0.519,57.186,31.852,11.800,-0.038
'[15:13:44.268 01/01/1996]',-0.078,0.139,0.519,57.186,31.852,11.800,-0.038
'[15:13:44.270 01/01/1996]',-0.078,0.139,0.535,57.186,31.852,11.800,-0.038
'[15:13:44.272 01/01/1996]',-0.079,0.131,0.535,56.884,30.025,12.025,-0.038
'[15:13:44.274 01/01/1996]',-0.080,0.131,0.552,56.884,30.025,12.025,-0.038
'[15:13:44.276 01/01/1996]',-0.080,0.131,0.535,56.884,30.025,12.025,-0.038
'[15:13:44.278 01/01/1996]',-0.081,0.131,0.552,56.884,30.025,12.025,-0.038
'[15:13:44.280 01/01/1996]',-0.081,0.139,0.535,56.683,28.148,12.200,-0.038
'[15:13:44.282 01/01/1996]',-0.080,0.139,0.519,56.683,28.148,12.200,-0.038
'[15:13:44.284 01/01/1996]',-0.080,0.139,0.519,56.683,28.148,12.200,-0.038
'[15:13:44.286 01/01/1996]',-0.080,0.131,0.519,56.683,28.148,12.200,-0.038
'[15:13:44.288 01/01/1996]',-0.080,0.131,0.519,56.633,26.497,12.500,-0.037
'[15:13:44.290 01/01/1996]',-0.080,0.131,0.519,56.633,26.497,12.500,-0.037
'[15:13:44.292 01/01/1996]',-0.081,0.131,0.519,56.633,26.497,12.500,-0.037
'[15:13:44.294 01/01/1996]',-0.081,0.131,0.519,56.633,26.497,12.500,-0.037
'[15:13:44.296 01/01/1996]',-0.082,0.139,0.503,56.683,25.221,12.800,-0.037
'[15:13:44.298 01/01/1996]',-0.083,0.139,0.503,56.683,25.221,12.800,-0.037
'[15:13:44.300 01/01/1996]',-0.083,0.131,0.503,56.683,25.221,12.800,-0.037
'[15:13:44.302 01/01/1996]',-0.083,0.131,0.519,56.683,25.221,12.800,-0.037
'[15:13:44.304 01/01/1996]',-0.083,0.131,0.519,56.734,24.395,13.200,-0.037
'[15:13:44.306 01/01/1996]',-0.083,0.124,0.535,56.734,24.395,13.200,-0.037
'[15:13:44.308 01/01/1996]',-0.083,0.124,0.535,56.734,24.395,13.200,-0.037
'[15:13:44.310 01/01/1996]',-0.083,0.124,0.535,56.734,24.395,13.200,-0.037
'[15:13:44.312 01/01/1996]',-0.082,0.131,0.535,56.683,24.220,13.675,-0.037
'[15:13:44.314 01/01/1996]',-0.081,0.131,0.519,56.683,24.220,13.675,-0.037
'[15:13:44.316 01/01/1996]',-0.080,0.131,0.519,56.683,24.220,13.675,-0.037
'[15:13:44.318 01/01/1996]',-0.080,0.131,0.519,56.683,24.220,13.675,-0.037
'[15:13:44.320 01/01/1996]',-0.080,0.124,0.519,56.533,24.821,14.150,-0.037
'[15:13:44.322 01/01/1996]',-0.080,0.124,0.519,56.533,24.821,14.150,-0.037
'[15:13:44.324 01/01/1996]',-0.081,0.116,0.519,56.533,24.821,14.150,-0.037
'[15:13:44.326 01/01/1996]',-0.081,0.124,0.519,56.533,24.821,14.150,-0.037
'[15:13:44.328 01/01/1996]',-0.082,0.124,0.519,56.432,25.796,14.725,-0.037
'[15:13:44.330 01/01/1996]',-0.083,0.131,0.519,56.432,25.796,14.725,-0.037
'[15:13:44.332 01/01/1996]',-0.083,0.131,0.519,56.432,25.796,14.725,-0.037
'[15:13:44.334 01/01/1996]',-0.083,0.131,0.519,56.432,25.796,14.725,-0.037
'[15:13:44.336 01/01/1996]',-0.083,0.124,0.535,56.382,27.048,15.325,-0.038
'[15:13:44.338 01/01/1996]',-0.083,0.116,0.535,56.382,27.048,15.325,-0.038
'[15:13:44.340 01/01/1996]',-0.082,0.116,0.535,56.382,27.048,15.325,-0.038
'[15:13:44.342 01/01/1996]',-0.080,0.116,0.535,56.382,27.048,15.325,-0.038
'[15:13:44.344 01/01/1996]',-0.079,0.124,0.552,56.332,28.148,15.850,-0.038
'[15:13:44.346 01/01/1996]',-0.077,0.116,0.535,56.332,28.148,15.850,-0.038
'[15:13:44.348 01/01/1996]',-0.076,0.124,0.535,56.332,28.148,15.850,-0.038
'[15:13:44.350 01/01/1996]',-0.075,0.124,0.535,56.332,28.148,15.850,-0.038
'[15:13:44.352 01/01/1996]',-0.074,0.124,0.535,56.181,29.099,16.300,-0.037
'[15:13:44.354 01/01/1996]',-0.072,0.124,0.535,56.181,29.099,16.300,-0.037
'[15:13:44.356 01/01/1996]',-0.072,0.116,0.552,56.181,29.099,16.300,-0.037
'[15:13:44.358 01/01/1996]',-0.072,0.109,0.552,56.181,29.099,16.300,-0.037
'[15:13:44.360 01/01/1996]',-0.073,0.116,0.552,56.030,29.800,16.600,-0.037
'[15:13:44.362 01/01/1996]',-0.073,0.116,0.552,56.030,29.800,16.600,-0.037
'[15:13:44.364 01/01/1996]',-0.074,0.116,0.552,56.030,29.800,16.600,-0.037
'[15:13:44.366 01/01/1996]',-0.074,0.116,0.552,56.030,29.800,16.600,-0.037
'[15:13:44.368 01/01/1996]',-0.074,0.116,0.552,55.729,30.150,16.850,-0.036
'[15:13:44.370 01/01/1996]',-0.073,0.116,0.568,55.729,30.150,16.850,-0.036
'[15:13:44.372 01/01/1996]',-0.073,0.109,0.568,55.729,30.150,16.850,-0.036
'[15:13:44.374 01/01/1996]',-0.072,0.101,0.568,55.729,30.150,16.850,-0.036
'[15:13:44.376 01/01/1996]',-0.072,0.109,0.568,55.377,30.200,16.950,-0.037
'[15:13:44.378 01/01/1996]',-0.072,0.109,0.568,55.377,30.200,16.950,-0.037
'[15:13:44.380 01/01/1996]',-0.071,0.116,0.568,55.377,30.200,16.950,-0.037
'[15:13:44.382 01/01/1996]',-0.070,0.116,0.568,55.377,30.200,16.950,-0.037
'[15:13:44.384 01/01/1996]',-0.070,0.116,0.568,55.075,30.025,17.025,-0.037
'[15:13:44.386 01/01/1996]',-0.069,0.109,0.568,55.075,30.025,17.025,-0.037
'[15:13:44.388 01/01/1996]',-0.068,0.109,0.584,55.075,30.025,17.025,-0.037
'[15:13:44.390 01/01/1996]',-0.067,0.101,0.584,55.075,30.025,17.025,-0.037
'[15:13:44.392 01/01/1996]',-0.067,0.101,0.584,54.724,29.625,17.025,-0.036
'[15:13:44.394 01/01/1996]',-0.067,0.109,0.584,54.724,29.625,17.025,-0.036
'[15:13:44.396 01/01/1996]',-0.068,0.109,0.568,54.724,29.625,17.025,-0.036
'[15:13:44.398 01/01/1996]',-0.068,0.109,0.568,54.724,29.625,17.025,-0.036
'[15:13:44.400 01/01/1996]',-0.069,0.109,0.568,54.472,28.924,16.950,-0.036
'[15:13:44.402 01/01/1996]',-0.070,0.109,0.568,54.472,28.924,16.950,-0.036
'[15:13:44.404 01/01/1996]',-0.070,0.101,0.568,54.472,28.924,16.950,-0.036
'[15:13:44.406 01/01/1996]',-0.070,0.093,0.584,54.472,28.924,16.950,-0.036
'[15:13:44.408 01/01/1996]',-0.070,0.093,0.584,54.271,28.098,16.900,-0.037
'[15:13:44.410 01/01/1996]',-0.070,0.093,0.584,54.271,28.098,16.900,-0.037
'[15:13:44.412 01/01/1996]',-0.068,0.101,0.584,54.271,28.098,16.900,-0.037
'[15:13:44.414 01/01/1996]',-0.067,0.101,0.584,54.271,28.098,16.900,-0.037
'[15:13:44.416 01/01/1996]',-0.065,0.101,0.568,54.020,27.398,16.900,-0.038
'[15:13:44.418 01/01/1996]',-0.064,0.101,0.568,54.020,27.398,16.900,-0.038
'[15:13:44.420 01/01/1996]',-0.063,0.109,0.568,54.020,27.398,16.900,-0.038
'[15:13:44.422 01/01/1996]',-0.061,0.101,0.568,54.020,27.398,16.900,-0.038
'[15:13:44.424 01/01/1996]',-0.060,0.101,0.584,53.769,26.797,16.900,-0.038
'[15:13:44.426 01/01/1996]',-0.058,0.101,0.568,53.769,26.797,16.900,-0.038
'[15:13:44.428 01/01/1996]',-0.056,0.109,0.568,53.769,26.797,16.900,-0.038
'[15:13:44.430 01/01/1996]',-0.053,0.109,0.552,53.769,26.797,16.900,-0.038
'[15:13:44.432 01/01/1996]',-0.051,0.109,0.552,53.568,26.397,16.950,-0.038
'[15:13:44.434 01/01/1996]',-0.049,0.109,0.552,53.568,26.397,16.950,-0.038
'[15:13:44.436 01/01/1996]',-0.046,0.093,0.552,53.568,26.397,16.950,-0.038
'[15:13:44.438 01/01/1996]',-0.043,0.085,0.552,53.568,26.397,16.950,-0.038
'[15:13:44.440 01/01/1996]',-0.041,0.093,0.568,53.417,26.097,17.075,-0.040
'[15:13:44.442 01/01/1996]',-0.039,0.085,0.568,53.417,26.097,17.075,-0.040
'[15:13:44.444 01/01/1996]',-0.037,0.085,0.568,53.417,26.097,17.075,-0.040
'[15:13:44.446 01/01/1996]',-0.035,0.085,0.552,53.417,26.097,17.075,-0.040
'[15:13:44.448 01/01/1996]',-0.033,0.085,0.552,53.317,26.047,17.125,-0.041
'[15:13:44.450 01/01/1996]',-0.031,0.085,0.552,53.317,26.047,17.125,-0.041
'[15:13:44.452 01/01/1996]',-0.029,0.085,0.568,53.317,26.047,17.125,-0.041
'[15:13:44.454 01/01/1996]',-0.027,0.078,0.568,53.317,26.047,17.125,-0.041
'[15:13:44.456 01/01/1996]',-0.026,0.078,0.568,53.317,26.097,17.250,-0.043
'[15:13:44.458 01/01/1996]',-0.026,0.070,0.568,53.317,26.097,17.250,-0.043
'[15:13:44.460 01/01/1996]',-0.025,0.070,0.568,53.317,26.097,17.250,-0.043
'[15:13:44.462 01/01/1996]',-0.025,0.070,0.568,53.317,26.097,17.250,-0.043
'[15:13:44.464 01/01/1996]',-0.024,0.070,0.568,53.317,26.222,17.375,-0.043
'[15:13:44.466 01/01/1996]',-0.023,0.062,0.552,53.317,26.222,17.375,-0.043
'[15:13:44.468 01/01/1996]',-0.020,0.047,0.552,53.317,26.222,17.375,-0.043
'[15:13:44.470 01/01/1996]',-0.018,0.039,0.552,53.317,26.222,17.375,-0.043
'[15:13:44.472 01/01/1996]',-0.015,0.039,0.568,53.266,26.322,17.475,-0.046
'[15:13:44.474 01/01/1996]',-0.012,0.031,0.568,53.266,26.322,17.475,-0.046
'[15:13:44.476 01/01/1996]',-0.010,0.031,0.568,53.266,26.322,17.475,-0.046
'[15:13:44.478 01/01/1996]',-0.007,0.031,0.568,53.266,26.322,17.475,-0.046
'[15:13:44.480 01/01/1996]',-0.004,0.039,0.568,53.266,26.447,17.600,-0.048
'[15:13:44.482 01/01/1996]',-0.001,0.031,0.552,53.266,26.447,17.600,-0.048
'[15:13:44.484 01/01/1996]',0.000,0.031,0.552,53.266,26.447,17.600,-0.048
'[15:13:44.486 01/01/1996]',0.002,0.031,0.552,53.266,26.447,17.600,-0.048
'[15:13:44.488 01/01/1996]',0.003,0.031,0.568,53.216,26.572,17.725,-0.048
'[15:13:44.490 01/01/1996]',0.003,0.031,0.568,53.216,26.572,17.725,-0.048
'[15:13:44.492 01/01/1996]',0.003,0.024,0.568,53.216,26.572,17.725,-0.048
'[15:13:44.494 01/01/1996]',0.002,0.024,0.568,53.216,26.572,17.725,-0.048
'[15:13:44.496 01/01/1996]',0.003,0.024,0.552,53.065,26.697,17.825,-0.051
'[15:13:44.498 01/01/1996]',0.004,0.024,0.552,53.065,26.697,17.825,-0.051
'[15:13:44.500 01/01/1996]',0.006,0.016,0.535,53.065,26.697,17.825,-0.051
'[15:13:44.502 01/01/1996]',0.008,0.016,0.535,53.065,26.697,17.825,-0.051
'[15:13:44.504 01/01/1996]',0.010,0.024,0.552,52.864,26.747,17.900,-0.051
'[15:13:44.506 01/01/1996]',0.012,0.024,0.552,52.864,26.747,17.900,-0.051
'[15:13:44.508 01/01/1996]',0.014,0.024,0.552,52.864,26.747,17.900,-0.051
'[15:13:44.510 01/01/1996]',0.015,0.031,0.552,52.864,26.747,17.900,-0.051
'[15:13:44.512 01/01/1996]',0.015,0.039,0.535,52.613,26.797,18.000,-0.051
'[15:13:44.514 01/01/1996]',0.015,0.047,0.535,52.613,26.797,18.000,-0.051
'[15:13:44.516 01/01/1996]',0.012,0.047,0.535,52.613,26.797,18.000,-0.051
'[15:13:44.518 01/01/1996]',0.008,0.047,0.535,52.613,26.797,18.000,-0.051
'[15:13:44.520 01/01/1996]',0.001,0.047,0.519,52.362,26.747,18.125,-0.053
'[15:13:44.522 01/01/1996]',-0.005,0.047,0.535,52.362,26.747,18.125,-0.053
'[15:13:44.524 01/01/1996]',-0.012,0.047,0.535,52.362,26.747,18.125,-0.053
'[15:13:44.526 01/01/1996]',-0.019,0.062,0.519,52.362,26.747,18.125,-0.053
'[15:13:44.528 01/01/1996]',-0.025,0.070,0.503,52.111,26.622,18.250,-0.054
'[15:13:44.530 01/01/1996]',-0.031,0.070,0.487,52.111,26.622,18.250,-0.054
'[15:13:44.532 01/01/1996]',-0.035,0.078,0.487,52.111,26.622,18.250,-0.054
'[15:13:44.534 01/01/1996]',-0.039,0.070,0.470,52.111,26.622,18.250,-0.054
'[15:13:44.536 01/01/1996]',-0.040,0.085,0.470,51.910,26.497,18.350,-0.055
'[15:13:44.538 01/01/1996]',-0.042,0.070,0.470,51.910,26.497,18.350,-0.055
'[15:13:44.540 01/01/1996]',-0.043,0.078,0.470,51.910,26.497,18.350,-0.055
'[15:13:44.542 01/01/1996]',-0.044,0.070,0.470,51.910,26.497,18.350,-0.055
'[15:13:44.544 01/01/1996]',-0.045,0.078,0.470,51.658,26.397,18.525,-0.056
'[15:13:44.546 01/01/1996]',-0.047,0.078,0.455,51.658,26.397,18.525,-0.056
'[15:13:44.548 01/01/1996]',-0.050,0.078,0.439,51.658,26.397,18.525,-0.056
'[15:13:44.550 01/01/1996]',-0.053,0.078,0.422,51.658,26.397,18.525,-0.056
'[15:13:44.552 01/01/1996]',-0.057,0.078,0.406,51.407,26.222,18.775,-0.059
'[15:13:44.554 01/01/1996]',-0.061,0.070,0.390,51.407,26.222,18.775,-0.059
'[15:13:44.556 01/01/1996]',-0.064,0.070,0.390,51.407,26.222,18.775,-0.059
'[15:13:44.558 01/01/1996]',-0.067,0.070,0.374,51.407,26.222,18.775,-0.059
'[15:13:44.560 01/01/1996]',-0.069,0.078,0.357,51.256,26.097,18.950,-0.060
'[15:13:44.562 01/01/1996]',-0.071,0.085,0.357,51.256,26.097,18.950,-0.060
'[15:13:44.564 01/01/1996]',-0.072,0.085,0.341,51.256,26.097,18.950,-0.060
'[15:13:44.566 01/01/1996]',-0.073,0.078,0.325,51.256,26.097,18.950,-0.060
'[15:13:44.568 01/01/1996]',-0.074,0.085,0.325,51.156,26.047,19.175,-0.061
'[15:13:44.570 01/01/1996]',-0.075,0.085,0.309,51.156,26.047,19.175,-0.061
'[15:13:44.572 01/01/1996]',-0.075,0.078,0.309,51.156,26.047,19.175,-0.061
'[15:13:44.574 01/01/1996]',-0.075,0.078,0.309,51.156,26.047,19.175,-0.061
'[15:13:44.576 01/01/1996]',-0.074,0.078,0.292,51.005,25.922,19.425,-0.063
'[15:13:44.578 01/01/1996]',-0.072,0.085,0.276,51.005,25.922,19.425,-0.063
'[15:13:44.580 01/01/1996]',-0.071,0.078,0.276,51.005,25.922,19.425,-0.063
