'Time and date','II ','V ','ABP ','PLETH ','RESP '
'[12:41:45.098 25/01/1995]',-0.008,0.001,62.646,-0.070,-0.509
'[12:41:45.100 25/01/1995]',-0.009,0.001,62.646,-0.070,-0.509
'[12:41:45.102 25/01/1995]',-0.009,0.001,62.646,-0.070,-0.509
'[12:41:45.104 25/01/1995]',-0.009,0.001,63.050,-0.093,-0.508
'[12:41:45.106 25/01/1995]',-0.008,0.001,63.050,-0.093,-0.508
'[12:41:45.108 25/01/1995]',-0.006,0.001,63.050,-0.093,-0.508
'[12:41:45.110 25/01/1995]',-0.005,0.001,63.050,-0.093,-0.508
'[12:41:45.112 25/01/1995]',-0.003,0.001,63.506,-0.140,-0.507
'[12:41:45.114 25/01/1995]',-0.002,0.001,63.506,-0.140,-0.507
'[12:41:45.116 25/01/1995]',-0.001,0.001,63.506,-0.140,-0.507
'[12:41:45.118 25/01/1995]',0.000,0.001,63.506,-0.140,-0.507
'[12:41:45.120 25/01/1995]',0.000,0.001,64.062,-0.140,-0.506
'[12:41:45.122 25/01/1995]',0.000,-0.014,64.062,-0.140,-0.506
'[12:41:45.124 25/01/1995]',-0.001,-0.014,64.062,-0.140,-0.506
'[12:41:45.126 25/01/1995]',-0.002,-0.014,64.062,-0.140,-0.506
'[12:41:45.128 25/01/1995]',-0.002,-0.014,64.517,-0.186,-0.504
'[12:41:45.130 25/01/1995]',-0.003,0.001,64.517,-0.186,-0.504
'[12:41:45.132 25/01/1995]',-0.002,0.001,64.517,-0.186,-0.504
'[12:41:45.134 25/01/1995]',0.000,0.001,64.517,-0.186,-0.504
'[12:41:45.136 25/01/1995]',0.003,0.001,64.921,-0.186,-0.503
'[12:41:45.138 25/01/1995]',0.006,0.001,64.921,-0.186,-0.503
'[12:41:45.140 25/01/1995]',0.009,0.001,64.921,-0.186,-0.503
'[12:41:45.142 25/01/1995]',0.013,0.001,64.921,-0.186,-0.503
'[12:41:45.144 25/01/1995]',0.015,-0.014,65.275,-0.209,-0.501
'[12:41:45.146 25/01/1995]',0.017,-0.014,65.275,-0.209,-0.501
'[12:41:45.148 25/01/1995]',0.016,-0.014,65.275,-0.209,-0.501
'[12:41:45.150 25/01/1995]',0.016,-0.014,65.275,-0.209,-0.501
'[12:41:45.152 25/01/1995]',0.014,0.001,65.579,-0.256,-0.499
'[12:41:45.154 25/01/1995]',0.013,0.001,65.579,-0.256,-0.499
'[12:41:45.156 25/01/1995]',0.011,0.001,65.579,-0.256,-0.499
'[12:41:45.158 25/01/1995]',0.009,0.001,65.579,-0.256,-0.499
'[12:41:45.160 25/01/1995]',0.010,0.001,65.730,-0.233,-0.497
'[12:41:45.162 25/01/1995]',0.011,0.001,65.730,-0.233,-0.497
'[12:41:45.164 25/01/1995]',0.012,-0.014,65.730,-0.233,-0.497
'[12:41:45.166 25/01/1995]',0.013,0.001,65.730,-0.233,-0.497
'[12:41:45.168 25/01/1995]',0.016,-0.014,65.730,-0.279,-0.496
'[12:41:45.170 25/01/1995]',0.019,0.001,65.730,-0.279,-0.496
'[12:41:45.172 25/01/1995]',0.024,0.001,65.730,-0.279,-0.496
'[12:41:45.174 25/01/1995]',0.030,0.001,65.730,-0.279,-0.496
'[12:41:45.176 25/01/1995]',0.038,0.001,65.579,-0.256,-0.495
'[12:41:45.178 25/01/1995]',0.045,0.001,65.579,-0.256,-0.495
'[12:41:45.180 25/01/1995]',0.056,0.001,65.579,-0.256,-0.495
'[12:41:45.182 25/01/1995]',0.066,0.001,65.579,-0.256,-0.495
'[12:41:45.184 25/01/1995]',0.073,0.001,65.275,-0.279,-0.494
'[12:41:45.186 25/01/1995]',0.081,0.001,65.275,-0.279,-0.494
'[12:41:45.188 25/01/1995]',0.084,0.001,65.275,-0.279,-0.494
'[12:41:45.190 25/01/1995]',0.088,0.001,65.275,-0.279,-0.494
'[12:41:45.192 25/01/1995]',0.090,0.001,64.921,-0.302,-0.493
'[12:41:45.194 25/01/1995]',0.092,0.001,64.921,-0.302,-0.493
'[12:41:45.196 25/01/1995]',0.096,0.016,64.921,-0.302,-0.493
'[12:41:45.198 25/01/1995]',0.100,0.016,64.921,-0.302,-0.493
'[12:41:45.200 25/01/1995]',0.104,0.016,64.517,-0.302,-0.492
'[12:41:45.202 25/01/1995]',0.108,0.016,64.517,-0.302,-0.492
'[12:41:45.204 25/01/1995]',0.112,0.001,64.517,-0.302,-0.492
'[12:41:45.206 25/01/1995]',0.116,0.001,64.517,-0.302,-0.492
'[12:41:45.208 25/01/1995]',0.118,0.001,64.011,-0.326,-0.491
'[12:41:45.210 25/01/1995]',0.120,0.001,64.011,-0.326,-0.491
'[12:41:45.212 25/01/1995]',0.122,-0.014,64.011,-0.326,-0.491
'[12:41:45.214 25/01/1995]',0.124,-0.014,64.011,-0.326,-0.491
'[12:41:45.216 25/01/1995]',0.121,-0.014,63.455,-0.326,-0.491
'[12:41:45.218 25/01/1995]',0.119,-0.029,63.455,-0.326,-0.491
'[12:41:45.220 25/01/1995]',0.115,-0.014,63.455,-0.326,-0.491
'[12:41:45.222 25/01/1995]',0.111,-0.029,63.455,-0.326,-0.491
'[12:41:45.224 25/01/1995]',0.106,-0.029,62.848,-0.326,-0.490
'[12:41:45.226 25/01/1995]',0.100,-0.014,62.848,-0.326,-0.490
'[12:41:45.228 25/01/1995]',0.095,-0.014,62.848,-0.326,-0.490
'[12:41:45.230 25/01/1995]',0.089,-0.014,62.848,-0.326,-0.490
'[12:41:45.232 25/01/1995]',0.084,-0.014,62.292,-0.349,-0.490
'[12:41:45.234 25/01/1995]',0.078,-0.014,62.292,-0.349,-0.490
'[12:41:45.236 25/01/1995]',0.071,-0.014,62.292,-0.349,-0.490
'[12:41:45.238 25/01/1995]',0.064,-0.014,62.292,-0.349,-0.490
'[12:41:45.240 25/01/1995]',0.056,-0.014,61.635,-0.326,-0.489
'[12:41:45.242 25/01/1995]',0.048,-0.014,61.635,-0.326,-0.489
'[12:41:45.244 25/01/1995]',0.042,-0.014,61.635,-0.326,-0.489
'[12:41:45.246 25/01/1995]',0.036,-0.014,61.635,-0.326,-0.489
'[12:41:45.248 25/01/1995]',0.031,-0.014,61.028,-0.326,-0.488
'[12:41:45.250 25/01/1995]',0.027,-0.014,61.028,-0.326,-0.488
'[12:41:45.252 25/01/1995]',0.023,-0.014,61.028,-0.326,-0.488
'[12:41:45.254 25/01/1995]',0.020,-0.014,61.028,-0.326,-0.488
'[12:41:45.256 25/01/1995]',0.017,-0.014,60.371,-0.326,-0.486
'[12:41:45.258 25/01/1995]',0.014,-0.014,60.371,-0.326,-0.486
'[12:41:45.260 25/01/1995]',0.008,-0.014,60.371,-0.326,-0.486
'[12:41:45.262 25/01/1995]',0.002,-0.014,60.371,-0.326,-0.486
'[12:41:45.264 25/01/1995]',-0.006,-0.014,59.764,-0.349,-0.484
'[12:41:45.266 25/01/1995]',-0.014,-0.014,59.764,-0.349,-0.484
'[12:41:45.268 25/01/1995]',-0.020,0.001,59.764,-0.349,-0.484
'[12:41:45.270 25/01/1995]',-0.027,0.001,59.764,-0.349,-0.484
'[12:41:45.272 25/01/1995]',-0.031,0.001,59.208,-0.326,-0.481
'[12:41:45.274 25/01/1995]',-0.036,0.001,59.208,-0.326,-0.481
'[12:41:45.276 25/01/1995]',-0.039,-0.014,59.208,-0.326,-0.481
'[12:41:45.278 25/01/1995]',-0.042,-0.014,59.208,-0.326,-0.481
'[12:41:45.280 25/01/1995]',-0.045,-0.014,58.652,-0.349,-0.477
'[12:41:45.282 25/01/1995]',-0.047,-0.014,58.652,-0.349,-0.477
'[12:41:45.284 25/01/1995]',-0.046,-0.014,58.652,-0.349,-0.477
'[12:41:45.286 25/01/1995]',-0.045,-0.014,58.652,-0.349,-0.477
'[12:41:45.288 25/01/1995]',-0.043,0.001,58.146,-0.372,-0.473
'[12:41:45.290 25/01/1995]',-0.041,0.001,58.146,-0.372,-0.473
'[12:41:45.292 25/01/1995]',-0.037,-0.014,58.146,-0.372,-0.473
'[12:41:45.294 25/01/1995]',-0.033,-0.014,58.146,-0.372,-0.473
'[12:41:45.296 25/01/1995]',-0.031,0.001,57.640,-0.349,-0.469
'[12:41:45.298 25/01/1995]',-0.030,-0.014,57.640,-0.349,-0.469
'[12:41:45.300 25/01/1995]',-0.029,-0.014,57.640,-0.349,-0.469
'[12:41:45.302 25/01/1995]',-0.028,0.001,57.640,-0.349,-0.469
'[12:41:45.304 25/01/1995]',-0.029,0.001,57.185,-0.372,-0.465
'[12:41:45.306 25/01/1995]',-0.030,0.001,57.185,-0.372,-0.465
'[12:41:45.308 25/01/1995]',-0.029,0.001,57.185,-0.372,-0.465
'[12:41:45.310 25/01/1995]',-0.028,0.001,57.185,-0.372,-0.465
'[12:41:45.312 25/01/1995]',-0.023,0.001,56.680,-0.372,-0.461
'[12:41:45.314 25/01/1995]',-0.017,-0.014,56.680,-0.372,-0.461
'[12:41:45.316 25/01/1995]',-0.002,0.001,56.680,-0.372,-0.461
'[12:41:45.318 25/01/1995]',0.013,0.001,56.680,-0.372,-0.461
'[12:41:45.320 25/01/1995]',0.035,0.001,56.275,-0.396,-0.456
'[12:41:45.322 25/01/1995]',0.058,0.016,56.275,-0.396,-0.456
'[12:41:45.324 25/01/1995]',0.088,0.031,56.275,-0.396,-0.456
'[12:41:45.326 25/01/1995]',0.117,0.061,56.275,-0.396,-0.456
'[12:41:45.328 25/01/1995]',0.150,0.091,55.871,-0.372,-0.452
'[12:41:45.330 25/01/1995]',0.183,0.121,55.871,-0.372,-0.452
'[12:41:45.332 25/01/1995]',0.216,0.151,55.871,-0.372,-0.452
'[12:41:45.334 25/01/1995]',0.249,0.166,55.871,-0.372,-0.452
'[12:41:45.336 25/01/1995]',0.281,0.181,55.466,-0.396,-0.447
'[12:41:45.338 25/01/1995]',0.313,0.211,55.466,-0.396,-0.447
'[12:41:45.340 25/01/1995]',0.347,0.225,55.466,-0.396,-0.447
'[12:41:45.342 25/01/1995]',0.382,0.225,55.466,-0.396,-0.447
'[12:41:45.344 25/01/1995]',0.415,0.211,55.112,-0.418,-0.443
'[12:41:45.346 25/01/1995]',0.449,0.181,55.112,-0.418,-0.443
'[12:41:45.348 25/01/1995]',0.470,0.166,55.112,-0.418,-0.443
'[12:41:45.350 25/01/1995]',0.491,0.136,55.112,-0.418,-0.443
'[12:41:45.352 25/01/1995]',0.489,0.106,54.758,-0.381,-0.439
'[12:41:45.354 25/01/1995]',0.488,0.046,54.758,-0.381,-0.439
'[12:41:45.356 25/01/1995]',0.458,0.001,54.758,-0.381,-0.439
'[12:41:45.358 25/01/1995]',0.428,-0.029,54.758,-0.381,-0.439
'[12:41:45.360 25/01/1995]',0.378,-0.089,54.455,-0.405,-0.435
'[12:41:45.362 25/01/1995]',0.327,-0.104,54.455,-0.405,-0.435
'[12:41:45.364 25/01/1995]',0.271,-0.149,54.455,-0.405,-0.435
'[12:41:45.366 25/01/1995]',0.216,-0.179,54.455,-0.405,-0.435
'[12:41:45.368 25/01/1995]',0.173,-0.223,54.152,-0.381,-0.432
'[12:41:45.370 25/01/1995]',0.130,-0.223,54.152,-0.381,-0.432
'[12:41:45.372 25/01/1995]',0.111,-0.223,54.152,-0.381,-0.432
'[12:41:45.374 25/01/1995]',0.092,-0.209,54.152,-0.381,-0.432
'[12:41:45.376 25/01/1995]',0.096,-0.164,53.848,-0.381,-0.429
'[12:41:45.378 25/01/1995]',0.100,-0.134,53.848,-0.381,-0.429
'[12:41:45.380 25/01/1995]',0.117,-0.089,53.848,-0.381,-0.429
'[12:41:45.382 25/01/1995]',0.134,-0.014,53.848,-0.381,-0.429
'[12:41:45.384 25/01/1995]',0.152,0.061,53.545,-0.405,-0.427
'[12:41:45.386 25/01/1995]',0.170,0.166,53.545,-0.405,-0.427
'[12:41:45.388 25/01/1995]',0.180,0.255,53.545,-0.405,-0.427
'[12:41:45.390 25/01/1995]',0.189,0.346,53.545,-0.405,-0.427
'[12:41:45.392 25/01/1995]',0.186,0.421,53.292,-0.405,-0.424
'[12:41:45.394 25/01/1995]',0.183,0.480,53.292,-0.405,-0.424
'[12:41:45.396 25/01/1995]',0.167,0.540,53.292,-0.405,-0.424
'[12:41:45.398 25/01/1995]',0.152,0.570,53.292,-0.405,-0.424
'[12:41:45.400 25/01/1995]',0.127,0.585,53.039,-0.381,-0.422
'[12:41:45.402 25/01/1995]',0.102,0.615,53.039,-0.381,-0.422
'[12:41:45.404 25/01/1995]',0.074,0.630,53.039,-0.381,-0.422
'[12:41:45.406 25/01/1995]',0.047,0.645,53.039,-0.381,-0.422
'[12:41:45.408 25/01/1995]',0.024,0.660,52.786,-0.405,-0.420
'[12:41:45.410 25/01/1995]',0.002,0.690,52.786,-0.405,-0.420
'[12:41:45.412 25/01/1995]',-0.013,0.750,52.786,-0.405,-0.420
'[12:41:45.414 25/01/1995]',-0.028,0.780,52.786,-0.405,-0.420
'[12:41:45.416 25/01/1995]',-0.037,0.810,52.635,-0.428,-0.418
'[12:41:45.418 25/01/1995]',-0.045,0.810,52.635,-0.428,-0.418
'[12:41:45.420 25/01/1995]',-0.048,0.765,52.635,-0.428,-0.418
'[12:41:45.422 25/01/1995]',-0.052,0.705,52.635,-0.428,-0.418
'[12:41:45.424 25/01/1995]',-0.053,0.630,52.433,-0.405,-0.416
'[12:41:45.426 25/01/1995]',-0.055,0.510,52.433,-0.405,-0.416
'[12:41:45.428 25/01/1995]',-0.057,0.391,52.433,-0.405,-0.416
'[12:41:45.430 25/01/1995]',-0.059,0.270,52.433,-0.405,-0.416
'[12:41:45.432 25/01/1995]',-0.064,0.166,52.180,-0.428,-0.414
'[12:41:45.434 25/01/1995]',-0.069,0.091,52.180,-0.428,-0.414
'[12:41:45.436 25/01/1995]',-0.072,0.016,52.180,-0.428,-0.414
'[12:41:45.438 25/01/1995]',-0.075,-0.014,52.180,-0.428,-0.414
'[12:41:45.440 25/01/1995]',-0.074,-0.044,52.028,-0.428,-0.412
'[12:41:45.442 25/01/1995]',-0.073,-0.044,52.028,-0.428,-0.412
'[12:41:45.444 25/01/1995]',-0.070,-0.044,52.028,-0.428,-0.412
'[12:41:45.446 25/01/1995]',-0.067,-0.059,52.028,-0.428,-0.412
'[12:41:45.448 25/01/1995]',-0.065,-0.074,51.826,-0.453,-0.410
'[12:41:45.450 25/01/1995]',-0.063,-0.074,51.826,-0.453,-0.410
'[12:41:45.452 25/01/1995]',-0.061,-0.074,51.826,-0.453,-0.410
'[12:41:45.454 25/01/1995]',-0.059,-0.074,51.826,-0.453,-0.410
'[12:41:45.456 25/01/1995]',-0.060,-0.074,51.674,-0.453,-0.410
'[12:41:45.458 25/01/1995]',-0.061,-0.089,51.674,-0.453,-0.410
'[12:41:45.460 25/01/1995]',-0.063,-0.089,51.674,-0.453,-0.410
'[12:41:45.462 25/01/1995]',-0.064,-0.089,51.674,-0.453,-0.410
'[12:41:45.464 25/01/1995]',-0.064,-0.089,51.472,-0.476,-0.410
'[12:41:45.466 25/01/1995]',-0.064,-0.089,51.472,-0.476,-0.410
'[12:41:45.468 25/01/1995]',-0.063,-0.089,51.472,-0.476,-0.410
'[12:41:45.470 25/01/1995]',-0.063,-0.089,51.472,-0.476,-0.410
'[12:41:45.472 25/01/1995]',-0.062,-0.089,51.320,-0.453,-0.411
'[12:41:45.474 25/01/1995]',-0.061,-0.089,51.320,-0.453,-0.411
'[12:41:45.476 25/01/1995]',-0.059,-0.089,51.320,-0.453,-0.411
'[12:41:45.478 25/01/1995]',-0.058,-0.089,51.320,-0.453,-0.411
'[12:41:45.480 25/01/1995]',-0.057,-0.089,51.168,-0.476,-0.413
'[12:41:45.482 25/01/1995]',-0.056,-0.089,51.168,-0.476,-0.413
'[12:41:45.484 25/01/1995]',-0.055,-0.104,51.168,-0.476,-0.413
'[12:41:45.486 25/01/1995]',-0.053,-0.104,51.168,-0.476,-0.413
'[12:41:45.488 25/01/1995]',-0.052,-0.104,51.017,-0.500,-0.414
'[12:41:45.490 25/01/1995]',-0.050,-0.104,51.017,-0.500,-0.414
'[12:41:45.492 25/01/1995]',-0.048,-0.089,51.017,-0.500,-0.414
'[12:41:45.494 25/01/1995]',-0.047,-0.089,51.017,-0.500,-0.414
'[12:41:45.496 25/01/1995]',-0.045,-0.104,50.815,-0.476,-0.415
'[12:41:45.498 25/01/1995]',-0.044,-0.104,50.815,-0.476,-0.415
'[12:41:45.500 25/01/1995]',-0.043,-0.089,50.815,-0.476,-0.415
'[12:41:45.502 25/01/1995]',-0.042,-0.089,50.815,-0.476,-0.415
'[12:41:45.504 25/01/1995]',-0.040,-0.089,50.713,-0.476,-0.416
'[12:41:45.506 25/01/1995]',-0.038,-0.089,50.713,-0.476,-0.416
'[12:41:45.508 25/01/1995]',-0.037,-0.089,50.713,-0.476,-0.416
'[12:41:45.510 25/01/1995]',-0.036,-0.089,50.713,-0.476,-0.416
'[12:41:45.512 25/01/1995]',-0.034,-0.089,50.612,-0.500,-0.417
'[12:41:45.514 25/01/1995]',-0.033,-0.074,50.612,-0.500,-0.417
'[12:41:45.516 25/01/1995]',-0.030,-0.089,50.612,-0.500,-0.417
'[12:41:45.518 25/01/1995]',-0.028,-0.089,50.612,-0.500,-0.417
'[12:41:45.520 25/01/1995]',-0.025,-0.089,50.461,-0.476,-0.417
'[12:41:45.522 25/01/1995]',-0.022,-0.089,50.461,-0.476,-0.417
'[12:41:45.524 25/01/1995]',-0.020,-0.089,50.461,-0.476,-0.417
'[12:41:45.526 25/01/1995]',-0.017,-0.089,50.461,-0.476,-0.417
'[12:41:45.528 25/01/1995]',-0.017,-0.089,50.359,-0.476,-0.417
'[12:41:45.530 25/01/1995]',-0.017,-0.089,50.359,-0.476,-0.417
'[12:41:45.532 25/01/1995]',-0.017,-0.089,50.359,-0.476,-0.417
'[12:41:45.534 25/01/1995]',-0.017,-0.089,50.359,-0.476,-0.417
'[12:41:45.536 25/01/1995]',-0.017,-0.089,50.258,-0.500,-0.417
'[12:41:45.538 25/01/1995]',-0.017,-0.089,50.258,-0.500,-0.417
'[12:41:45.540 25/01/1995]',-0.017,-0.089,50.258,-0.500,-0.417
'[12:41:45.542 25/01/1995]',-0.017,-0.089,50.258,-0.500,-0.417
'[12:41:45.544 25/01/1995]',-0.017,-0.089,50.208,-0.476,-0.417
'[12:41:45.546 25/01/1995]',-0.017,-0.089,50.208,-0.476,-0.417
'[12:41:45.548 25/01/1995]',-0.016,-0.089,50.208,-0.476,-0.417
'[12:41:45.550 25/01/1995]',-0.016,-0.089,50.208,-0.476,-0.417
'[12:41:45.552 25/01/1995]',-0.014,-0.089,50.359,-0.500,-0.416
'[12:41:45.554 25/01/1995]',-0.013,-0.104,50.359,-0.500,-0.416
'[12:41:45.556 25/01/1995]',-0.012,-0.089,50.359,-0.500,-0.416
'[12:41:45.558 25/01/1995]',-0.011,-0.089,50.359,-0.500,-0.416
'[12:41:45.560 25/01/1995]',-0.010,-0.089,50.966,-0.476,-0.416
'[12:41:45.562 25/01/1995]',-0.009,-0.104,50.966,-0.476,-0.416
'[12:41:45.564 25/01/1995]',-0.009,-0.104,50.966,-0.476,-0.416
'[12:41:45.566 25/01/1995]',-0.008,-0.104,50.966,-0.476,-0.416
'[12:41:45.568 25/01/1995]',-0.007,-0.104,52.382,-0.476,-0.415
'[12:41:45.570 25/01/1995]',-0.006,-0.104,52.382,-0.476,-0.415
'[12:41:45.572 25/01/1995]',-0.005,-0.104,52.382,-0.476,-0.415
'[12:41:45.574 25/01/1995]',-0.005,-0.089,52.382,-0.476,-0.415
'[12:41:45.576 25/01/1995]',-0.003,-0.089,55.112,-0.476,-0.414
'[12:41:45.578 25/01/1995]',-0.002,-0.104,55.112,-0.476,-0.414
'[12:41:45.580 25/01/1995]',0.000,-0.104,55.112,-0.476,-0.414
'[12:41:45.582 25/01/1995]',0.002,-0.104,55.112,-0.476,-0.414
'[12:41:45.584 25/01/1995]',0.004,-0.104,59.410,-0.476,-0.412
'[12:41:45.586 25/01/1995]',0.006,-0.104,59.410,-0.476,-0.412
'[12:41:45.588 25/01/1995]',0.008,-0.104,59.410,-0.476,-0.412
'[12:41:45.590 25/01/1995]',0.009,-0.104,59.410,-0.476,-0.412
'[12:41:45.592 25/01/1995]',0.011,-0.104,65.427,-0.476,-0.409
'[12:41:45.594 25/01/1995]',0.013,-0.104,65.427,-0.476,-0.409
'[12:41:45.596 25/01/1995]',0.012,-0.104,65.427,-0.476,-0.409
'[12:41:45.598 25/01/1995]',0.011,-0.089,65.427,-0.476,-0.409
'[12:41:45.600 25/01/1995]',0.010,-0.104,72.758,-0.428,-0.406
'[12:41:45.602 25/01/1995]',0.009,-0.104,72.758,-0.428,-0.406
'[12:41:45.604 25/01/1995]',0.008,-0.089,72.758,-0.428,-0.406
'[12:41:45.606 25/01/1995]',0.006,-0.104,72.758,-0.428,-0.406
'[12:41:45.608 25/01/1995]',0.005,-0.104,81.101,-0.428,-0.402
'[12:41:45.610 25/01/1995]',0.003,-0.104,81.101,-0.428,-0.402
'[12:41:45.612 25/01/1995]',0.002,-0.104,81.101,-0.428,-0.402
'[12:41:45.614 25/01/1995]',0.002,-0.104,81.101,-0.428,-0.402
'[12:41:45.616 25/01/1995]',0.002,-0.104,89.747,-0.405,-0.397
'[12:41:45.618 25/01/1995]',0.003,-0.104,89.747,-0.405,-0.397
'[12:41:45.620 25/01/1995]',0.004,-0.104,89.747,-0.405,-0.397
'[12:41:45.622 25/01/1995]',0.005,-0.104,89.747,-0.405,-0.397
'[12:41:45.624 25/01/1995]',0.005,-0.104,97.938,-0.405,-0.392
'[12:41:45.626 25/01/1995]',0.005,-0.104,97.938,-0.405,-0.392
'[12:41:45.628 25/01/1995]',0.005,-0.104,97.938,-0.405,-0.392
'[12:41:45.630 25/01/1995]',0.005,-0.104,97.938,-0.405,-0.392
'[12:41:45.632 25/01/1995]',0.005,-0.104,104.865,-0.381,-0.386
'[12:41:45.634 25/01/1995]',0.005,-0.104,104.865,-0.381,-0.386
'[12:41:45.636 25/01/1995]',0.005,-0.104,104.865,-0.381,-0.386
'[12:41:45.638 25/01/1995]',0.005,-0.104,104.865,-0.381,-0.386
'[12:41:45.640 25/01/1995]',0.005,-0.104,110.073,-0.357,-0.380
'[12:41:45.642 25/01/1995]',0.005,-0.104,110.073,-0.357,-0.380
'[12:41:45.644 25/01/1995]',0.005,-0.089,110.073,-0.357,-0.380
'[12:41:45.646 25/01/1995]',0.005,-0.104,110.073,-0.357,-0.380
'[12:41:45.648 25/01/1995]',0.005,-0.104,113.562,-0.309,-0.374
'[12:41:45.650 25/01/1995]',0.005,-0.104,113.562,-0.309,-0.374
'[12:41:45.652 25/01/1995]',0.005,-0.089,113.562,-0.309,-0.374
'[12:41:45.654 25/01/1995]',0.005,-0.089,113.562,-0.309,-0.374
'[12:41:45.656 25/01/1995]',0.004,-0.089,115.534,-0.262,-0.369
'[12:41:45.658 25/01/1995]',0.003,-0.089,115.534,-0.262,-0.369
'[12:41:45.660 25/01/1995]',0.002,-0.089,115.534,-0.262,-0.369
'[12:41:45.662 25/01/1995]',0.000,-0.089,115.534,-0.262,-0.369
'[12:41:45.664 25/01/1995]',0.000,-0.089,116.191,-0.214,-0.364
'[12:41:45.666 25/01/1995]',0.000,-0.089,116.191,-0.214,-0.364
'[12:41:45.668 25/01/1995]',0.003,-0.074,116.191,-0.214,-0.364
'[12:41:45.670 25/01/1995]',0.006,-0.074,116.191,-0.214,-0.364
'[12:41:45.672 25/01/1995]',0.009,-0.074,115.938,-0.143,-0.360
'[12:41:45.674 25/01/1995]',0.013,-0.059,115.938,-0.143,-0.360
'[12:41:45.676 25/01/1995]',0.015,-0.059,115.938,-0.143,-0.360
