'Time and date','I','I','V','ABP','PLETH','RESP'
'[05:19:49.056 03/05/1995]',-0.055,-0.046,-0.022,86.100,-0.411,0.512
'[05:19:49.058 03/05/1995]',-0.062,-0.058,-0.022,86.100,-0.411,0.512
'[05:19:49.060 03/05/1995]',-0.068,-0.058,-0.022,86.100,-0.411,0.512
'[05:19:49.062 03/05/1995]',-0.074,-0.058,-0.022,86.100,-0.411,0.512
'[05:19:49.064 03/05/1995]',-0.075,-0.081,-0.011,85.875,-0.397,0.512
'[05:19:49.066 03/05/1995]',-0.076,-0.081,0.001,85.875,-0.397,0.512
'[05:19:49.068 03/05/1995]',-0.071,-0.093,0.001,85.875,-0.397,0.512
'[05:19:49.070 03/05/1995]',-0.066,-0.105,0.024,85.875,-0.397,0.512
'[05:19:49.072 03/05/1995]',-0.051,-0.093,0.047,85.575,-0.383,0.512
'[05:19:49.074 03/05/1995]',-0.036,-0.093,0.071,85.575,-0.383,0.512
'[05:19:49.076 03/05/1995]',-0.010,-0.081,0.094,85.575,-0.383,0.512
'[05:19:49.078 03/05/1995]',0.017,-0.058,0.129,85.575,-0.383,0.512
'[05:19:49.080 03/05/1995]',0.051,-0.034,0.176,85.200,-0.363,0.512
'[05:19:49.082 03/05/1995]',0.085,0.001,0.199,85.200,-0.363,0.512
'[05:19:49.084 03/05/1995]',0.126,0.012,0.222,85.200,-0.363,0.512
'[05:19:49.086 03/05/1995]',0.167,0.059,0.246,85.200,-0.363,0.512
'[05:19:49.088 03/05/1995]',0.211,0.095,0.257,84.825,-0.351,0.512
'[05:19:49.090 03/05/1995]',0.256,0.142,0.269,84.825,-0.351,0.512
'[05:19:49.092 03/05/1995]',0.301,0.177,0.281,84.825,-0.351,0.512
'[05:19:49.094 03/05/1995]',0.346,0.224,0.269,84.825,-0.351,0.512
'[05:19:49.096 03/05/1995]',0.383,0.271,0.269,84.525,-0.340,0.512
'[05:19:49.098 03/05/1995]',0.421,0.306,0.257,84.525,-0.340,0.512
'[05:19:49.100 03/05/1995]',0.440,0.353,0.222,84.525,-0.340,0.512
'[05:19:49.102 03/05/1995]',0.459,0.400,0.187,84.525,-0.340,0.512
'[05:19:49.104 03/05/1995]',0.452,0.435,0.141,84.150,-0.328,0.512
'[05:19:49.106 03/05/1995]',0.444,0.447,0.082,84.150,-0.328,0.512
'[05:19:49.108 03/05/1995]',0.410,0.470,0.024,84.150,-0.328,0.512
'[05:19:49.110 03/05/1995]',0.376,0.459,-0.011,84.150,-0.328,0.512
'[05:19:49.112 03/05/1995]',0.324,0.411,-0.081,83.700,-0.321,0.512
'[05:19:49.114 03/05/1995]',0.272,0.353,-0.128,83.700,-0.321,0.512
'[05:19:49.116 03/05/1995]',0.217,0.294,-0.186,83.700,-0.321,0.512
'[05:19:49.118 03/05/1995]',0.162,0.235,-0.256,83.700,-0.321,0.512
'[05:19:49.120 03/05/1995]',0.117,0.165,-0.326,83.325,-0.314,0.512
'[05:19:49.122 03/05/1995]',0.071,0.083,-0.407,83.325,-0.314,0.512
'[05:19:49.124 03/05/1995]',0.045,0.024,-0.466,83.325,-0.314,0.512
'[05:19:49.126 03/05/1995]',0.018,0.001,-0.489,83.325,-0.314,0.512
'[05:19:49.128 03/05/1995]',0.006,-0.022,-0.466,82.950,-0.308,0.512
'[05:19:49.130 03/05/1995]',-0.006,-0.022,-0.443,82.950,-0.308,0.512
'[05:19:49.132 03/05/1995]',-0.010,-0.022,-0.384,82.950,-0.308,0.512
'[05:19:49.134 03/05/1995]',-0.013,-0.022,-0.337,82.950,-0.308,0.512
'[05:19:49.136 03/05/1995]',-0.014,-0.022,-0.291,82.575,-0.303,0.512
'[05:19:49.138 03/05/1995]',-0.015,-0.022,-0.256,82.575,-0.303,0.512
'[05:19:49.140 03/05/1995]',-0.017,-0.022,-0.221,82.575,-0.303,0.512
'[05:19:49.142 03/05/1995]',-0.020,-0.022,-0.186,82.575,-0.303,0.512
'[05:19:49.144 03/05/1995]',-0.023,-0.022,-0.163,82.275,-0.303,0.512
'[05:19:49.146 03/05/1995]',-0.027,-0.022,-0.128,82.275,-0.303,0.512
'[05:19:49.148 03/05/1995]',-0.030,-0.046,-0.104,82.275,-0.303,0.512
'[05:19:49.150 03/05/1995]',-0.033,-0.046,-0.081,82.275,-0.303,0.512
'[05:19:49.152 03/05/1995]',-0.036,-0.058,-0.057,81.975,-0.306,0.512
'[05:19:49.154 03/05/1995]',-0.038,-0.058,-0.057,81.975,-0.306,0.512
'[05:19:49.156 03/05/1995]',-0.040,-0.046,-0.046,81.975,-0.306,0.512
'[05:19:49.158 03/05/1995]',-0.042,-0.046,-0.046,81.975,-0.306,0.512
'[05:19:49.160 03/05/1995]',-0.045,-0.046,-0.034,81.600,-0.311,0.512
'[05:19:49.162 03/05/1995]',-0.047,-0.046,-0.022,81.600,-0.311,0.512
'[05:19:49.164 03/05/1995]',-0.048,-0.058,-0.022,81.600,-0.311,0.512
'[05:19:49.166 03/05/1995]',-0.050,-0.058,-0.022,81.600,-0.311,0.512
'[05:19:49.168 03/05/1995]',-0.050,-0.058,-0.022,81.150,-0.314,0.512
'[05:19:49.170 03/05/1995]',-0.050,-0.058,-0.011,81.150,-0.314,0.512
'[05:19:49.172 03/05/1995]',-0.050,-0.058,-0.022,81.150,-0.314,0.512
'[05:19:49.174 03/05/1995]',-0.050,-0.058,-0.022,81.150,-0.314,0.512
'[05:19:49.176 03/05/1995]',-0.050,-0.058,-0.011,80.625,-0.316,0.512
'[05:19:49.178 03/05/1995]',-0.050,-0.046,-0.011,80.625,-0.316,0.512
'[05:19:49.180 03/05/1995]',-0.050,-0.058,0.001,80.625,-0.316,0.512
'[05:19:49.182 03/05/1995]',-0.050,-0.058,0.001,80.625,-0.316,0.512
'[05:19:49.184 03/05/1995]',-0.050,-0.058,0.001,80.175,-0.321,0.512
'[05:19:49.186 03/05/1995]',-0.050,-0.058,0.001,80.175,-0.321,0.512
'[05:19:49.188 03/05/1995]',-0.049,-0.058,0.001,80.175,-0.321,0.512
'[05:19:49.190 03/05/1995]',-0.049,-0.058,0.001,80.175,-0.321,0.512
'[05:19:49.192 03/05/1995]',-0.047,-0.058,0.001,79.725,-0.325,0.512
'[05:19:49.194 03/05/1995]',-0.045,-0.058,0.001,79.725,-0.325,0.512
'[05:19:49.196 03/05/1995]',-0.044,-0.046,0.001,79.725,-0.325,0.512
'[05:19:49.198 03/05/1995]',-0.042,-0.046,0.001,79.725,-0.325,0.512
'[05:19:49.200 03/05/1995]',-0.041,-0.058,0.001,79.275,-0.333,0.512
'[05:19:49.202 03/05/1995]',-0.040,-0.058,0.001,79.275,-0.333,0.512
'[05:19:49.204 03/05/1995]',-0.039,-0.046,0.001,79.275,-0.333,0.512
'[05:19:49.206 03/05/1995]',-0.038,-0.046,0.001,79.275,-0.333,0.512
'[05:19:49.208 03/05/1995]',-0.038,-0.046,0.001,78.900,-0.342,0.512
'[05:19:49.210 03/05/1995]',-0.037,-0.046,0.001,78.900,-0.342,0.512
'[05:19:49.212 03/05/1995]',-0.036,-0.058,0.001,78.900,-0.342,0.512
'[05:19:49.214 03/05/1995]',-0.034,-0.046,0.001,78.900,-0.342,0.512
'[05:19:49.216 03/05/1995]',-0.033,-0.046,0.012,78.525,-0.347,0.512
'[05:19:49.218 03/05/1995]',-0.031,-0.046,0.001,78.525,-0.347,0.512
'[05:19:49.220 03/05/1995]',-0.031,-0.046,0.001,78.525,-0.347,0.512
'[05:19:49.222 03/05/1995]',-0.030,-0.046,0.001,78.525,-0.347,0.512
'[05:19:49.224 03/05/1995]',-0.031,-0.046,0.001,78.225,-0.358,0.512
'[05:19:49.226 03/05/1995]',-0.031,-0.034,0.001,78.225,-0.358,0.512
'[05:19:49.228 03/05/1995]',-0.031,-0.034,0.001,78.225,-0.358,0.512
'[05:19:49.230 03/05/1995]',-0.031,-0.034,0.012,78.225,-0.358,0.512
'[05:19:49.232 03/05/1995]',-0.031,-0.034,0.012,78.075,-0.366,0.512
'[05:19:49.234 03/05/1995]',-0.030,-0.034,0.012,78.075,-0.366,0.512
'[05:19:49.236 03/05/1995]',-0.029,-0.034,0.012,78.075,-0.366,0.512
'[05:19:49.238 03/05/1995]',-0.028,-0.034,0.012,78.075,-0.366,0.512
'[05:19:49.240 03/05/1995]',-0.026,-0.034,0.012,77.925,-0.373,0.512
'[05:19:49.242 03/05/1995]',-0.025,-0.034,0.012,77.925,-0.373,0.512
'[05:19:49.244 03/05/1995]',-0.024,-0.022,0.012,77.925,-0.373,0.512
'[05:19:49.246 03/05/1995]',-0.023,-0.034,0.012,77.925,-0.373,0.512
'[05:19:49.248 03/05/1995]',-0.021,-0.022,0.012,78.075,-0.383,0.512
'[05:19:49.250 03/05/1995]',-0.019,-0.022,0.024,78.075,-0.383,0.512
'[05:19:49.252 03/05/1995]',-0.017,-0.022,0.024,78.075,-0.383,0.512
'[05:19:49.254 03/05/1995]',-0.016,-0.022,0.024,78.075,-0.383,0.512
'[05:19:49.256 03/05/1995]',-0.014,-0.022,0.024,78.750,-0.390,0.512
'[05:19:49.258 03/05/1995]',-0.012,-0.022,0.024,78.750,-0.390,0.512
'[05:19:49.260 03/05/1995]',-0.010,-0.022,0.024,78.750,-0.390,0.512
'[05:19:49.262 03/05/1995]',-0.008,-0.022,0.024,78.750,-0.390,0.512
'[05:19:49.264 03/05/1995]',-0.005,-0.022,0.024,80.175,-0.400,0.512
'[05:19:49.266 03/05/1995]',-0.002,-0.022,0.024,80.175,-0.400,0.512
'[05:19:49.268 03/05/1995]',0.001,-0.022,0.024,80.175,-0.400,0.512
'[05:19:49.270 03/05/1995]',0.004,-0.022,0.024,80.175,-0.400,0.512
'[05:19:49.272 03/05/1995]',0.006,-0.011,0.024,82.275,-0.406,0.512
'[05:19:49.274 03/05/1995]',0.008,-0.011,0.024,82.275,-0.406,0.512
'[05:19:49.276 03/05/1995]',0.010,-0.011,0.024,82.275,-0.406,0.512
'[05:19:49.278 03/05/1995]',0.012,0.001,0.024,82.275,-0.406,0.512
'[05:19:49.280 03/05/1995]',0.013,0.001,0.036,84.825,-0.411,0.512
'[05:19:49.282 03/05/1995]',0.015,0.001,0.047,84.825,-0.411,0.512
'[05:19:49.284 03/05/1995]',0.016,0.001,0.047,84.825,-0.411,0.512
'[05:19:49.286 03/05/1995]',0.017,0.001,0.047,84.825,-0.411,0.512
'[05:19:49.288 03/05/1995]',0.017,0.001,0.047,87.375,-0.409,0.512
'[05:19:49.290 03/05/1995]',0.018,0.001,0.047,87.375,-0.409,0.512
'[05:19:49.292 03/05/1995]',0.019,0.001,0.047,87.375,-0.409,0.512
'[05:19:49.294 03/05/1995]',0.021,0.001,0.047,87.375,-0.409,0.512
'[05:19:49.296 03/05/1995]',0.022,0.001,0.059,89.775,-0.404,0.512
'[05:19:49.298 03/05/1995]',0.024,0.001,0.059,89.775,-0.404,0.512
'[05:19:49.300 03/05/1995]',0.028,0.001,0.071,89.775,-0.404,0.512
'[05:19:49.302 03/05/1995]',0.032,0.012,0.071,89.775,-0.404,0.512
'[05:19:49.304 03/05/1995]',0.037,0.012,0.071,92.175,-0.390,0.512
'[05:19:49.306 03/05/1995]',0.042,0.024,0.059,92.175,-0.390,0.512
'[05:19:49.308 03/05/1995]',0.047,0.024,0.071,92.175,-0.390,0.512
'[05:19:49.310 03/05/1995]',0.052,0.024,0.071,92.175,-0.390,0.512
'[05:19:49.312 03/05/1995]',0.055,0.024,0.082,94.725,-0.366,0.512
'[05:19:49.314 03/05/1995]',0.058,0.024,0.082,94.725,-0.366,0.512
'[05:19:49.316 03/05/1995]',0.062,0.036,0.082,94.725,-0.366,0.512
'[05:19:49.318 03/05/1995]',0.065,0.048,0.094,94.725,-0.366,0.512
'[05:19:49.320 03/05/1995]',0.070,0.048,0.094,97.350,-0.333,0.509
'[05:19:49.322 03/05/1995]',0.075,0.048,0.106,97.350,-0.333,0.509
'[05:19:49.324 03/05/1995]',0.080,0.059,0.106,97.350,-0.333,0.509
'[05:19:49.326 03/05/1995]',0.085,0.059,0.094,97.350,-0.333,0.509
'[05:19:49.328 03/05/1995]',0.090,0.059,0.118,99.975,-0.284,0.475
'[05:19:49.330 03/05/1995]',0.095,0.071,0.118,99.975,-0.284,0.475
'[05:19:49.332 03/05/1995]',0.098,0.071,0.118,99.975,-0.284,0.475
'[05:19:49.334 03/05/1995]',0.100,0.083,0.118,99.975,-0.284,0.475
'[05:19:49.336 03/05/1995]',0.104,0.083,0.118,102.375,-0.227,0.441
'[05:19:49.338 03/05/1995]',0.107,0.083,0.118,102.375,-0.227,0.441
'[05:19:49.340 03/05/1995]',0.109,0.083,0.118,102.375,-0.227,0.441
'[05:19:49.342 03/05/1995]',0.111,0.083,0.118,102.375,-0.227,0.441
'[05:19:49.344 03/05/1995]',0.112,0.083,0.118,104.475,-0.161,0.406
'[05:19:49.346 03/05/1995]',0.113,0.083,0.118,104.475,-0.161,0.406
'[05:19:49.348 03/05/1995]',0.113,0.095,0.118,104.475,-0.161,0.406
'[05:19:49.350 03/05/1995]',0.114,0.083,0.118,104.475,-0.161,0.406
'[05:19:49.352 03/05/1995]',0.113,0.095,0.118,105.975,-0.080,0.372
'[05:19:49.354 03/05/1995]',0.113,0.095,0.118,105.975,-0.080,0.372
'[05:19:49.356 03/05/1995]',0.112,0.095,0.118,105.975,-0.080,0.372
'[05:19:49.358 03/05/1995]',0.112,0.095,0.094,105.975,-0.080,0.372
'[05:19:49.360 03/05/1995]',0.110,0.095,0.106,106.725,0.005,0.341
'[05:19:49.362 03/05/1995]',0.109,0.083,0.094,106.725,0.005,0.341
'[05:19:49.364 03/05/1995]',0.107,0.095,0.106,106.725,0.005,0.341
'[05:19:49.366 03/05/1995]',0.106,0.095,0.094,106.725,0.005,0.341
'[05:19:49.368 03/05/1995]',0.103,0.083,0.082,106.875,0.094,0.310
'[05:19:49.370 03/05/1995]',0.099,0.083,0.082,106.875,0.094,0.310
'[05:19:49.372 03/05/1995]',0.096,0.083,0.071,106.875,0.094,0.310
'[05:19:49.374 03/05/1995]',0.093,0.083,0.071,106.875,0.094,0.310
'[05:19:49.376 03/05/1995]',0.089,0.083,0.059,106.425,0.176,0.281
'[05:19:49.378 03/05/1995]',0.085,0.059,0.059,106.425,0.176,0.281
'[05:19:49.380 03/05/1995]',0.079,0.059,0.059,106.425,0.176,0.281
'[05:19:49.382 03/05/1995]',0.073,0.059,0.059,106.425,0.176,0.281
'[05:19:49.384 03/05/1995]',0.066,0.059,0.047,105.750,0.259,0.255
'[05:19:49.386 03/05/1995]',0.059,0.036,0.036,105.750,0.259,0.255
'[05:19:49.388 03/05/1995]',0.053,0.036,0.024,105.750,0.259,0.255
'[05:19:49.390 03/05/1995]',0.048,0.024,0.024,105.750,0.259,0.255
'[05:19:49.392 03/05/1995]',0.042,0.036,0.024,104.925,0.329,0.231
'[05:19:49.394 03/05/1995]',0.036,0.024,0.012,104.925,0.329,0.231
'[05:19:49.396 03/05/1995]',0.032,0.012,0.012,104.925,0.329,0.231
'[05:19:49.398 03/05/1995]',0.027,0.001,0.001,104.925,0.329,0.231
'[05:19:49.400 03/05/1995]',0.022,0.001,0.001,104.025,0.389,0.209
'[05:19:49.402 03/05/1995]',0.018,0.001,0.001,104.025,0.389,0.209
'[05:19:49.404 03/05/1995]',0.013,0.001,0.001,104.025,0.389,0.209
'[05:19:49.406 03/05/1995]',0.009,0.001,0.001,104.025,0.389,0.209
'[05:19:49.408 03/05/1995]',0.005,-0.011,-0.011,103.125,0.434,0.189
'[05:19:49.410 03/05/1995]',0.001,-0.011,-0.022,103.125,0.434,0.189
'[05:19:49.412 03/05/1995]',-0.003,-0.011,-0.011,103.125,0.434,0.189
'[05:19:49.414 03/05/1995]',-0.007,-0.022,-0.022,103.125,0.434,0.189
'[05:19:49.416 03/05/1995]',-0.012,-0.022,-0.011,102.225,0.473,0.172
'[05:19:49.418 03/05/1995]',-0.017,-0.022,-0.022,102.225,0.473,0.172
'[05:19:49.420 03/05/1995]',-0.021,-0.022,-0.022,102.225,0.473,0.172
'[05:19:49.422 03/05/1995]',-0.025,-0.034,-0.022,102.225,0.473,0.172
'[05:19:49.424 03/05/1995]',-0.026,-0.034,-0.022,101.175,0.492,0.157
'[05:19:49.426 03/05/1995]',-0.028,-0.034,-0.022,101.175,0.492,0.157
'[05:19:49.428 03/05/1995]',-0.029,-0.034,-0.022,101.175,0.492,0.157
'[05:19:49.430 03/05/1995]',-0.030,-0.034,-0.022,101.175,0.492,0.157
'[05:19:49.432 03/05/1995]',-0.031,-0.046,-0.022,100.275,0.500,0.143
'[05:19:49.434 03/05/1995]',-0.031,-0.034,-0.022,100.275,0.500,0.143
'[05:19:49.436 03/05/1995]',-0.031,-0.034,-0.022,100.275,0.500,0.143
'[05:19:49.438 03/05/1995]',-0.031,-0.034,-0.022,100.275,0.500,0.143
'[05:19:49.440 03/05/1995]',-0.031,-0.034,-0.022,99.525,0.497,0.132
'[05:19:49.442 03/05/1995]',-0.031,-0.046,-0.034,99.525,0.497,0.132
'[05:19:49.444 03/05/1995]',-0.031,-0.034,-0.034,99.525,0.497,0.132
'[05:19:49.446 03/05/1995]',-0.031,-0.046,-0.034,99.525,0.497,0.132
'[05:19:49.448 03/05/1995]',-0.032,-0.046,-0.022,98.625,0.485,0.123
'[05:19:49.450 03/05/1995]',-0.032,-0.046,-0.022,98.625,0.485,0.123
'[05:19:49.452 03/05/1995]',-0.033,-0.046,-0.022,98.625,0.485,0.123
'[05:19:49.454 03/05/1995]',-0.034,-0.046,-0.022,98.625,0.485,0.123
'[05:19:49.456 03/05/1995]',-0.035,-0.046,-0.022,97.800,0.461,0.115
'[05:19:49.458 03/05/1995]',-0.035,-0.046,-0.022,97.800,0.461,0.115
'[05:19:49.460 03/05/1995]',-0.034,-0.046,-0.022,97.800,0.461,0.115
'[05:19:49.462 03/05/1995]',-0.033,-0.046,-0.022,97.800,0.461,0.115
'[05:19:49.464 03/05/1995]',-0.032,-0.046,-0.022,96.750,0.427,0.108
'[05:19:49.466 03/05/1995]',-0.031,-0.046,-0.022,96.750,0.427,0.108
'[05:19:49.468 03/05/1995]',-0.031,-0.046,-0.022,96.750,0.427,0.108
'[05:19:49.470 03/05/1995]',-0.030,-0.046,-0.022,96.750,0.427,0.108
'[05:19:49.472 03/05/1995]',-0.031,-0.034,-0.022,95.475,0.387,0.102
'[05:19:49.474 03/05/1995]',-0.031,-0.046,-0.022,95.475,0.387,0.102
'[05:19:49.476 03/05/1995]',-0.031,-0.034,-0.022,95.475,0.387,0.102
'[05:19:49.478 03/05/1995]',-0.031,-0.034,-0.022,95.475,0.387,0.102
'[05:19:49.480 03/05/1995]',-0.031,-0.034,-0.011,93.975,0.343,0.097
'[05:19:49.482 03/05/1995]',-0.031,-0.034,-0.011,93.975,0.343,0.097
'[05:19:49.484 03/05/1995]',-0.031,-0.034,-0.011,93.975,0.343,0.097
'[05:19:49.486 03/05/1995]',-0.031,-0.034,-0.011,93.975,0.343,0.097
'[05:19:49.488 03/05/1995]',-0.031,-0.034,-0.011,92.325,0.292,0.091
'[05:19:49.490 03/05/1995]',-0.031,-0.034,-0.022,92.325,0.292,0.091
'[05:19:49.492 03/05/1995]',-0.031,-0.034,-0.022,92.325,0.292,0.091
'[05:19:49.494 03/05/1995]',-0.031,-0.034,-0.011,92.325,0.292,0.091
'[05:19:49.496 03/05/1995]',-0.031,-0.034,-0.011,90.675,0.239,0.085
'[05:19:49.498 03/05/1995]',-0.030,-0.034,0.001,90.675,0.239,0.085
'[05:19:49.500 03/05/1995]',-0.029,-0.034,0.001,90.675,0.239,0.085
'[05:19:49.502 03/05/1995]',-0.028,-0.046,-0.011,90.675,0.239,0.085
'[05:19:49.504 03/05/1995]',-0.027,-0.022,-0.011,89.025,0.181,0.078
'[05:19:49.506 03/05/1995]',-0.026,-0.034,-0.011,89.025,0.181,0.078
'[05:19:49.508 03/05/1995]',-0.026,-0.034,-0.011,89.025,0.181,0.078
'[05:19:49.510 03/05/1995]',-0.026,-0.034,-0.011,89.025,0.181,0.078
'[05:19:49.512 03/05/1995]',-0.025,-0.034,-0.011,87.525,0.121,0.072
'[05:19:49.514 03/05/1995]',-0.024,-0.022,0.001,87.525,0.121,0.072
'[05:19:49.516 03/05/1995]',-0.023,-0.022,0.001,87.525,0.121,0.072
'[05:19:49.518 03/05/1995]',-0.022,-0.022,0.001,87.525,0.121,0.072
'[05:19:49.520 03/05/1995]',-0.021,-0.022,0.001,86.325,0.060,0.065
'[05:19:49.522 03/05/1995]',-0.021,-0.022,0.001,86.325,0.060,0.065
'[05:19:49.524 03/05/1995]',-0.021,-0.022,-0.011,86.325,0.060,0.065
'[05:19:49.526 03/05/1995]',-0.021,-0.022,0.001,86.325,0.060,0.065
'[05:19:49.528 03/05/1995]',-0.021,-0.022,-0.011,85.425,0.000,0.058
'[05:19:49.530 03/05/1995]',-0.021,-0.022,0.001,85.425,0.000,0.058
'[05:19:49.532 03/05/1995]',-0.021,-0.034,0.001,85.425,0.000,0.058
'[05:19:49.534 03/05/1995]',-0.021,-0.022,0.001,85.425,0.000,0.058
'[05:19:49.536 03/05/1995]',-0.020,-0.022,0.001,84.675,-0.060,0.051
'[05:19:49.538 03/05/1995]',-0.020,-0.022,0.001,84.675,-0.060,0.051
'[05:19:49.540 03/05/1995]',-0.019,-0.022,-0.011,84.675,-0.060,0.051
'[05:19:49.542 03/05/1995]',-0.019,-0.022,-0.011,84.675,-0.060,0.051
'[05:19:49.544 03/05/1995]',-0.019,-0.022,-0.011,84.375,-0.120,0.044
'[05:19:49.546 03/05/1995]',-0.020,-0.022,-0.011,84.375,-0.120,0.044
'[05:19:49.548 03/05/1995]',-0.020,-0.034,-0.011,84.375,-0.120,0.044
'[05:19:49.550 03/05/1995]',-0.020,-0.022,-0.011,84.375,-0.120,0.044
'[05:19:49.552 03/05/1995]',-0.020,-0.022,-0.011,84.150,-0.181,0.038
'[05:19:49.554 03/05/1995]',-0.020,-0.022,0.001,84.150,-0.181,0.038
'[05:19:49.556 03/05/1995]',-0.020,-0.022,-0.011,84.150,-0.181,0.038
'[05:19:49.558 03/05/1995]',-0.021,-0.022,-0.011,84.150,-0.181,0.038
'[05:19:49.560 03/05/1995]',-0.021,-0.022,-0.011,84.225,-0.234,0.034
'[05:19:49.562 03/05/1995]',-0.022,-0.022,-0.011,84.225,-0.234,0.034
'[05:19:49.564 03/05/1995]',-0.021,-0.022,-0.011,84.225,-0.234,0.034
'[05:19:49.566 03/05/1995]',-0.020,-0.022,0.001,84.225,-0.234,0.034
'[05:19:49.568 03/05/1995]',-0.020,-0.022,-0.011,84.375,-0.289,0.030
'[05:19:49.570 03/05/1995]',-0.020,-0.022,-0.011,84.375,-0.289,0.030
'[05:19:49.572 03/05/1995]',-0.021,-0.022,-0.011,84.375,-0.289,0.030
'[05:19:49.574 03/05/1995]',-0.023,-0.022,-0.011,84.375,-0.289,0.030
'[05:19:49.576 03/05/1995]',-0.024,-0.022,-0.011,84.525,-0.338,0.027
'[05:19:49.578 03/05/1995]',-0.025,-0.022,-0.011,84.525,-0.338,0.027
'[05:19:49.580 03/05/1995]',-0.026,-0.022,-0.011,84.525,-0.338,0.027
'[05:19:49.582 03/05/1995]',-0.027,-0.034,-0.011,84.525,-0.338,0.027
'[05:19:49.584 03/05/1995]',-0.027,-0.034,-0.011,84.675,-0.384,0.025
'[05:19:49.586 03/05/1995]',-0.027,-0.034,0.001,84.675,-0.384,0.025
'[05:19:49.588 03/05/1995]',-0.026,-0.034,0.001,84.675,-0.384,0.025
'[05:19:49.590 03/05/1995]',-0.026,-0.022,-0.011,84.675,-0.384,0.025
'[05:19:49.592 03/05/1995]',-0.024,-0.022,-0.011,84.900,-0.427,0.023
'[05:19:49.594 03/05/1995]',-0.023,-0.022,-0.011,84.900,-0.427,0.023
'[05:19:49.596 03/05/1995]',-0.021,-0.022,-0.011,84.900,-0.427,0.023
'[05:19:49.598 03/05/1995]',-0.019,-0.022,-0.011,84.900,-0.427,0.023
'[05:19:49.600 03/05/1995]',-0.017,-0.022,0.001,84.975,-0.464,0.021
'[05:19:49.602 03/05/1995]',-0.016,-0.022,0.001,84.975,-0.464,0.021
'[05:19:49.604 03/05/1995]',-0.016,-0.022,-0.011,84.975,-0.464,0.021
'[05:19:49.606 03/05/1995]',-0.016,-0.022,-0.011,84.975,-0.464,0.021
'[05:19:49.608 03/05/1995]',-0.018,-0.022,-0.022,85.125,-0.492,0.020
'[05:19:49.610 03/05/1995]',-0.020,-0.022,-0.011,85.125,-0.492,0.020
'[05:19:49.612 03/05/1995]',-0.022,-0.022,-0.011,85.125,-0.492,0.020
'[05:19:49.614 03/05/1995]',-0.024,-0.022,-0.022,85.125,-0.492,0.020
'[05:19:49.616 03/05/1995]',-0.025,-0.022,-0.022,85.275,-0.519,0.018
'[05:19:49.618 03/05/1995]',-0.027,-0.022,-0.022,85.275,-0.519,0.018
'[05:19:49.620 03/05/1995]',-0.027,-0.034,-0.022,85.275,-0.519,0.018
