'Time and date','MCL1 ','ABP ','RESP '
'[11:27:45.106 14/08/1994]',0.001,82.399,-0.393
'[11:27:45.108 14/08/1994]',-0.007,82.399,-0.393
'[11:27:45.110 14/08/1994]',-0.014,82.399,-0.393
'[11:27:45.112 14/08/1994]',-0.014,80.919,-0.407
'[11:27:45.114 14/08/1994]',-0.022,80.919,-0.407
'[11:27:45.116 14/08/1994]',-0.022,80.919,-0.407
'[11:27:45.118 14/08/1994]',-0.029,80.919,-0.407
'[11:27:45.120 14/08/1994]',-0.029,79.050,-0.421
'[11:27:45.122 14/08/1994]',-0.029,79.050,-0.421
'[11:27:45.124 14/08/1994]',-0.029,79.050,-0.421
'[11:27:45.126 14/08/1994]',-0.036,79.050,-0.421
'[11:27:45.128 14/08/1994]',-0.036,77.103,-0.436
'[11:27:45.130 14/08/1994]',-0.036,77.103,-0.436
'[11:27:45.132 14/08/1994]',-0.044,77.103,-0.436
'[11:27:45.134 14/08/1994]',-0.044,77.103,-0.436
'[11:27:45.136 14/08/1994]',-0.051,75.000,-0.452
'[11:27:45.138 14/08/1994]',-0.051,75.000,-0.452
'[11:27:45.140 14/08/1994]',-0.066,75.000,-0.452
'[11:27:45.142 14/08/1994]',-0.066,75.000,-0.452
'[11:27:45.144 14/08/1994]',-0.066,72.741,-0.469
'[11:27:45.146 14/08/1994]',-0.066,72.741,-0.469
'[11:27:45.148 14/08/1994]',-0.074,72.741,-0.469
'[11:27:45.150 14/08/1994]',-0.074,72.741,-0.469
'[11:27:45.152 14/08/1994]',-0.066,70.483,-0.486
'[11:27:45.154 14/08/1994]',-0.074,70.483,-0.486
'[11:27:45.156 14/08/1994]',-0.074,70.483,-0.486
'[11:27:45.158 14/08/1994]',-0.066,70.483,-0.486
'[11:27:45.160 14/08/1994]',-0.066,68.224,-0.504
'[11:27:45.162 14/08/1994]',-0.051,68.224,-0.504
'[11:27:45.164 14/08/1994]',-0.066,68.224,-0.504
'[11:27:45.166 14/08/1994]',-0.051,68.224,-0.504
'[11:27:45.168 14/08/1994]',-0.051,66.044,-0.521
'[11:27:45.170 14/08/1994]',-0.051,66.044,-0.521
'[11:27:45.172 14/08/1994]',-0.051,66.044,-0.521
'[11:27:45.174 14/08/1994]',-0.051,66.044,-0.521
'[11:27:45.176 14/08/1994]',-0.051,64.019,-0.537
'[11:27:45.178 14/08/1994]',-0.051,64.019,-0.537
'[11:27:45.180 14/08/1994]',-0.051,64.019,-0.537
'[11:27:45.182 14/08/1994]',-0.066,64.019,-0.537
'[11:27:45.184 14/08/1994]',-0.051,62.383,-0.553
'[11:27:45.186 14/08/1994]',-0.066,62.383,-0.553
'[11:27:45.188 14/08/1994]',-0.051,62.383,-0.553
'[11:27:45.190 14/08/1994]',-0.051,62.383,-0.553
'[11:27:45.192 14/08/1994]',-0.051,61.215,-0.568
'[11:27:45.194 14/08/1994]',-0.051,61.215,-0.568
'[11:27:45.196 14/08/1994]',-0.051,61.215,-0.568
'[11:27:45.198 14/08/1994]',-0.051,61.215,-0.568
'[11:27:45.200 14/08/1994]',-0.051,60.514,-0.581
'[11:27:45.202 14/08/1994]',-0.051,60.514,-0.581
'[11:27:45.204 14/08/1994]',-0.044,60.514,-0.581
'[11:27:45.206 14/08/1994]',-0.044,60.514,-0.581
'[11:27:45.208 14/08/1994]',-0.044,60.358,-0.591
'[11:27:45.210 14/08/1994]',-0.044,60.358,-0.591
'[11:27:45.212 14/08/1994]',-0.044,60.358,-0.591
'[11:27:45.214 14/08/1994]',-0.044,60.358,-0.591
'[11:27:45.216 14/08/1994]',-0.036,60.358,-0.600
'[11:27:45.218 14/08/1994]',-0.044,60.358,-0.600
'[11:27:45.220 14/08/1994]',-0.044,60.358,-0.600
'[11:27:45.222 14/08/1994]',-0.036,60.358,-0.600
'[11:27:45.224 14/08/1994]',-0.036,60.514,-0.608
'[11:27:45.226 14/08/1994]',-0.036,60.514,-0.608
'[11:27:45.228 14/08/1994]',-0.036,60.514,-0.608
'[11:27:45.230 14/08/1994]',-0.036,60.514,-0.608
'[11:27:45.232 14/08/1994]',-0.036,60.592,-0.616
'[11:27:45.234 14/08/1994]',-0.044,60.592,-0.616
'[11:27:45.236 14/08/1994]',-0.036,60.592,-0.616
'[11:27:45.238 14/08/1994]',-0.036,60.592,-0.616
'[11:27:45.240 14/08/1994]',-0.029,60.592,-0.624
'[11:27:45.242 14/08/1994]',-0.036,60.592,-0.624
'[11:27:45.244 14/08/1994]',-0.036,60.592,-0.624
'[11:27:45.246 14/08/1994]',-0.036,60.592,-0.624
'[11:27:45.248 14/08/1994]',-0.036,60.436,-0.632
'[11:27:45.250 14/08/1994]',-0.036,60.436,-0.632
'[11:27:45.252 14/08/1994]',-0.036,60.436,-0.632
'[11:27:45.254 14/08/1994]',-0.029,60.436,-0.632
'[11:27:45.256 14/08/1994]',-0.029,60.358,-0.639
'[11:27:45.258 14/08/1994]',-0.029,60.358,-0.639
'[11:27:45.260 14/08/1994]',-0.022,60.358,-0.639
'[11:27:45.262 14/08/1994]',-0.029,60.358,-0.639
'[11:27:45.264 14/08/1994]',-0.029,60.280,-0.647
'[11:27:45.266 14/08/1994]',-0.029,60.280,-0.647
'[11:27:45.268 14/08/1994]',-0.029,60.280,-0.647
'[11:27:45.270 14/08/1994]',-0.066,60.280,-0.647
'[11:27:45.272 14/08/1994]',-0.096,60.125,-0.654
'[11:27:45.274 14/08/1994]',-0.140,60.125,-0.654
'[11:27:45.276 14/08/1994]',-0.207,60.125,-0.654
'[11:27:45.278 14/08/1994]',-0.273,60.125,-0.654
'[11:27:45.280 14/08/1994]',-0.355,60.047,-0.662
'[11:27:45.282 14/08/1994]',-0.451,60.047,-0.662
'[11:27:45.284 14/08/1994]',-0.532,60.047,-0.662
'[11:27:45.286 14/08/1994]',-0.606,60.047,-0.662
'[11:27:45.288 14/08/1994]',-,59.891,-0.669
'[11:27:45.290 14/08/1994]',-,59.891,-0.669
'[11:27:45.292 14/08/1994]',-,59.891,-0.669
'[11:27:45.294 14/08/1994]',-,59.891,-0.669
'[11:27:45.296 14/08/1994]',-,59.735,-0.677
'[11:27:45.298 14/08/1994]',-,59.735,-0.677
'[11:27:45.300 14/08/1994]',-,59.735,-0.677
'[11:27:45.302 14/08/1994]',-,59.735,-0.677
'[11:27:45.304 14/08/1994]',-,59.579,-0.686
'[11:27:45.306 14/08/1994]',-,59.579,-0.686
'[11:27:45.308 14/08/1994]',-,59.579,-0.686
'[11:27:45.310 14/08/1994]',-,59.579,-0.686
'[11:27:45.312 14/08/1994]',-,59.346,-0.695
'[11:27:45.314 14/08/1994]',-,59.346,-0.695
'[11:27:45.316 14/08/1994]',-,59.346,-0.695
'[11:27:45.318 14/08/1994]',-0.621,59.346,-0.695
'[11:27:45.320 14/08/1994]',-0.532,59.112,-0.703
'[11:27:45.322 14/08/1994]',-0.466,59.112,-0.703
'[11:27:45.324 14/08/1994]',-0.399,59.112,-0.703
'[11:27:45.326 14/08/1994]',-0.318,59.112,-0.703
'[11:27:45.328 14/08/1994]',-0.266,58.801,-0.711
'[11:27:45.330 14/08/1994]',-0.221,58.801,-0.711
'[11:27:45.332 14/08/1994]',-0.199,58.801,-0.711
'[11:27:45.334 14/08/1994]',-0.162,58.801,-0.711
'[11:27:45.336 14/08/1994]',-0.140,58.489,-0.717
'[11:27:45.338 14/08/1994]',-0.103,58.489,-0.717
'[11:27:45.340 14/08/1994]',-0.088,58.489,-0.717
'[11:27:45.342 14/08/1994]',-0.066,58.489,-0.717
'[11:27:45.344 14/08/1994]',-0.036,58.178,-0.723
'[11:27:45.346 14/08/1994]',-0.022,58.178,-0.723
'[11:27:45.348 14/08/1994]',0.001,58.178,-0.723
'[11:27:45.350 14/08/1994]',0.008,58.178,-0.723
'[11:27:45.352 14/08/1994]',0.030,57.944,-0.728
'[11:27:45.354 14/08/1994]',0.037,57.944,-0.728
'[11:27:45.356 14/08/1994]',0.052,57.944,-0.728
'[11:27:45.358 14/08/1994]',0.067,57.944,-0.728
'[11:27:45.360 14/08/1994]',0.082,57.632,-0.733
'[11:27:45.362 14/08/1994]',0.089,57.632,-0.733
'[11:27:45.364 14/08/1994]',0.097,57.632,-0.733
'[11:27:45.366 14/08/1994]',0.097,57.632,-0.733
'[11:27:45.368 14/08/1994]',0.104,57.243,-0.737
'[11:27:45.370 14/08/1994]',0.111,57.243,-0.737
'[11:27:45.372 14/08/1994]',0.119,57.243,-0.737
'[11:27:45.374 14/08/1994]',0.119,57.243,-0.737
'[11:27:45.376 14/08/1994]',0.134,56.854,-0.741
'[11:27:45.378 14/08/1994]',0.119,56.854,-0.741
'[11:27:45.380 14/08/1994]',0.134,56.854,-0.741
'[11:27:45.382 14/08/1994]',0.134,56.854,-0.741
'[11:27:45.384 14/08/1994]',0.134,56.464,-0.744
'[11:27:45.386 14/08/1994]',0.141,56.464,-0.744
'[11:27:45.388 14/08/1994]',0.141,56.464,-0.744
'[11:27:45.390 14/08/1994]',0.148,56.464,-0.744
'[11:27:45.392 14/08/1994]',0.148,55.997,-0.746
'[11:27:45.394 14/08/1994]',0.156,55.997,-0.746
'[11:27:45.396 14/08/1994]',0.141,55.997,-0.746
'[11:27:45.398 14/08/1994]',0.141,55.997,-0.746
'[11:27:45.400 14/08/1994]',0.148,55.607,-0.747
'[11:27:45.402 14/08/1994]',0.148,55.607,-0.747
'[11:27:45.404 14/08/1994]',0.156,55.607,-0.747
'[11:27:45.406 14/08/1994]',0.148,55.607,-0.747
'[11:27:45.408 14/08/1994]',0.148,55.140,-0.748
'[11:27:45.410 14/08/1994]',0.148,55.140,-0.748
'[11:27:45.412 14/08/1994]',0.148,55.140,-0.748
'[11:27:45.414 14/08/1994]',0.148,55.140,-0.748
'[11:27:45.416 14/08/1994]',0.148,54.673,-0.749
'[11:27:45.418 14/08/1994]',0.148,54.673,-0.749
'[11:27:45.420 14/08/1994]',0.148,54.673,-0.749
'[11:27:45.422 14/08/1994]',0.156,54.673,-0.749
'[11:27:45.424 14/08/1994]',0.156,54.283,-0.749
'[11:27:45.426 14/08/1994]',0.156,54.283,-0.749
'[11:27:45.428 14/08/1994]',0.156,54.283,-0.749
'[11:27:45.430 14/08/1994]',0.148,54.283,-0.749
'[11:27:45.432 14/08/1994]',0.148,53.816,-0.750
'[11:27:45.434 14/08/1994]',0.148,53.816,-0.750
'[11:27:45.436 14/08/1994]',0.148,53.816,-0.750
'[11:27:45.438 14/08/1994]',0.156,53.816,-0.750
'[11:27:45.440 14/08/1994]',0.156,53.505,-0.750
'[11:27:45.442 14/08/1994]',0.156,53.505,-0.750
'[11:27:45.444 14/08/1994]',0.156,53.505,-0.750
'[11:27:45.446 14/08/1994]',0.156,53.505,-0.750
'[11:27:45.448 14/08/1994]',0.156,53.193,-0.750
'[11:27:45.450 14/08/1994]',0.163,53.193,-0.750
'[11:27:45.452 14/08/1994]',0.163,53.193,-0.750
'[11:27:45.454 14/08/1994]',0.163,53.193,-0.750
'[11:27:45.456 14/08/1994]',0.171,53.349,-0.749
'[11:27:45.458 14/08/1994]',0.171,53.349,-0.749
'[11:27:45.460 14/08/1994]',0.178,53.349,-0.749
'[11:27:45.462 14/08/1994]',0.178,53.349,-0.749
'[11:27:45.464 14/08/1994]',0.186,54.128,-0.747
'[11:27:45.466 14/08/1994]',0.186,54.128,-0.747
'[11:27:45.468 14/08/1994]',0.186,54.128,-0.747
'[11:27:45.470 14/08/1994]',0.200,54.128,-0.747
'[11:27:45.472 14/08/1994]',0.200,56.386,-0.745
'[11:27:45.474 14/08/1994]',0.208,56.386,-0.745
'[11:27:45.476 14/08/1994]',0.215,56.386,-0.745
'[11:27:45.478 14/08/1994]',0.215,56.386,-0.745
'[11:27:45.480 14/08/1994]',0.222,60.670,-0.742
'[11:27:45.482 14/08/1994]',0.222,60.670,-0.742
'[11:27:45.484 14/08/1994]',0.230,60.670,-0.742
'[11:27:45.486 14/08/1994]',0.237,60.670,-0.742
'[11:27:45.488 14/08/1994]',0.245,66.822,-0.739
'[11:27:45.490 14/08/1994]',0.252,66.822,-0.739
'[11:27:45.492 14/08/1994]',0.252,66.822,-0.739
'[11:27:45.494 14/08/1994]',0.267,66.822,-0.739
'[11:27:45.496 14/08/1994]',0.274,73.520,-0.737
'[11:27:45.498 14/08/1994]',0.274,73.520,-0.737
'[11:27:45.500 14/08/1994]',0.282,73.520,-0.737
'[11:27:45.502 14/08/1994]',0.289,73.520,-0.737
'[11:27:45.504 14/08/1994]',0.297,79.128,-0.736
'[11:27:45.506 14/08/1994]',0.297,79.128,-0.736
'[11:27:45.508 14/08/1994]',0.304,79.128,-0.736
'[11:27:45.510 14/08/1994]',0.304,79.128,-0.736
'[11:27:45.512 14/08/1994]',0.304,82.944,-0.734
'[11:27:45.514 14/08/1994]',0.297,82.944,-0.734
'[11:27:45.516 14/08/1994]',0.297,82.944,-0.734
'[11:27:45.518 14/08/1994]',0.297,82.944,-0.734
'[11:27:45.520 14/08/1994]',0.304,85.202,-0.732
'[11:27:45.522 14/08/1994]',0.304,85.202,-0.732
'[11:27:45.524 14/08/1994]',0.304,85.202,-0.732
'[11:27:45.526 14/08/1994]',0.311,85.202,-0.732
'[11:27:45.528 14/08/1994]',0.311,86.449,-0.729
'[11:27:45.530 14/08/1994]',0.311,86.449,-0.729
'[11:27:45.532 14/08/1994]',0.304,86.449,-0.729
'[11:27:45.534 14/08/1994]',0.304,86.449,-0.729
'[11:27:45.536 14/08/1994]',0.304,86.994,-0.725
'[11:27:45.538 14/08/1994]',0.297,86.994,-0.725
'[11:27:45.540 14/08/1994]',0.297,86.994,-0.725
'[11:27:45.542 14/08/1994]',0.289,86.994,-0.725
'[11:27:45.544 14/08/1994]',0.282,87.227,-0.720
'[11:27:45.546 14/08/1994]',0.282,87.227,-0.720
'[11:27:45.548 14/08/1994]',0.274,87.227,-0.720
'[11:27:45.550 14/08/1994]',0.252,87.227,-0.720
'[11:27:45.552 14/08/1994]',0.237,87.305,-0.715
'[11:27:45.554 14/08/1994]',0.230,87.305,-0.715
'[11:27:45.556 14/08/1994]',0.215,87.305,-0.715
'[11:27:45.558 14/08/1994]',0.200,87.305,-0.715
'[11:27:45.560 14/08/1994]',0.171,87.150,-0.708
'[11:27:45.562 14/08/1994]',0.163,87.150,-0.708
'[11:27:45.564 14/08/1994]',0.141,87.150,-0.708
'[11:27:45.566 14/08/1994]',0.119,87.150,-0.708
'[11:27:45.568 14/08/1994]',0.104,86.838,-0.701
'[11:27:45.570 14/08/1994]',0.089,86.838,-0.701
'[11:27:45.572 14/08/1994]',0.082,86.838,-0.701
'[11:27:45.574 14/08/1994]',0.067,86.838,-0.701
'[11:27:45.576 14/08/1994]',0.052,86.215,-0.694
'[11:27:45.578 14/08/1994]',0.037,86.215,-0.694
'[11:27:45.580 14/08/1994]',0.030,86.215,-0.694
'[11:27:45.582 14/08/1994]',0.015,86.215,-0.694
'[11:27:45.584 14/08/1994]',0.015,85.358,-0.688
'[11:27:45.586 14/08/1994]',0.008,85.358,-0.688
'[11:27:45.588 14/08/1994]',0.001,85.358,-0.688
'[11:27:45.590 14/08/1994]',-0.007,85.358,-0.688
'[11:27:45.592 14/08/1994]',-0.014,84.112,-0.681
'[11:27:45.594 14/08/1994]',-0.022,84.112,-0.681
'[11:27:45.596 14/08/1994]',-0.029,84.112,-0.681
'[11:27:45.598 14/08/1994]',-0.036,84.112,-0.681
'[11:27:45.600 14/08/1994]',-0.044,82.555,-0.676
'[11:27:45.602 14/08/1994]',-0.051,82.555,-0.676
'[11:27:45.604 14/08/1994]',-0.051,82.555,-0.676
'[11:27:45.606 14/08/1994]',-0.066,82.555,-0.676
'[11:27:45.608 14/08/1994]',-0.051,80.685,-0.671
'[11:27:45.610 14/08/1994]',-0.066,80.685,-0.671
'[11:27:45.612 14/08/1994]',-0.066,80.685,-0.671
'[11:27:45.614 14/08/1994]',-0.066,80.685,-0.671
'[11:27:45.616 14/08/1994]',-0.066,78.583,-0.667
'[11:27:45.618 14/08/1994]',-0.074,78.583,-0.667
'[11:27:45.620 14/08/1994]',-0.074,78.583,-0.667
'[11:27:45.622 14/08/1994]',-0.074,78.583,-0.667
'[11:27:45.624 14/08/1994]',-0.081,76.402,-0.664
'[11:27:45.626 14/08/1994]',-0.081,76.402,-0.664
'[11:27:45.628 14/08/1994]',-0.096,76.402,-0.664
'[11:27:45.630 14/08/1994]',-0.096,76.402,-0.664
'[11:27:45.632 14/08/1994]',-0.096,74.065,-0.662
'[11:27:45.634 14/08/1994]',-0.096,74.065,-0.662
'[11:27:45.636 14/08/1994]',-0.096,74.065,-0.662
'[11:27:45.638 14/08/1994]',-0.096,74.065,-0.662
'[11:27:45.640 14/08/1994]',-0.088,71.807,-0.660
'[11:27:45.642 14/08/1994]',-0.088,71.807,-0.660
'[11:27:45.644 14/08/1994]',-0.088,71.807,-0.660
'[11:27:45.646 14/08/1994]',-0.088,71.807,-0.660
'[11:27:45.648 14/08/1994]',-0.088,69.315,-0.658
'[11:27:45.650 14/08/1994]',-0.081,69.315,-0.658
'[11:27:45.652 14/08/1994]',-0.081,69.315,-0.658
'[11:27:45.654 14/08/1994]',-0.081,69.315,-0.658
'[11:27:45.656 14/08/1994]',-0.081,66.978,-0.656
'[11:27:45.658 14/08/1994]',-0.081,66.978,-0.656
'[11:27:45.660 14/08/1994]',-0.096,66.978,-0.656
'[11:27:45.662 14/08/1994]',-0.096,66.978,-0.656
'[11:27:45.664 14/08/1994]',-0.096,64.642,-0.654
'[11:27:45.666 14/08/1994]',-0.096,64.642,-0.654
'[11:27:45.668 14/08/1994]',-0.096,64.642,-0.654
'[11:27:45.670 14/08/1994]',-0.096,64.642,-0.654
'[11:27:45.672 14/08/1994]',-0.096,62.461,-0.651
'[11:27:45.674 14/08/1994]',-0.096,62.461,-0.651
'[11:27:45.676 14/08/1994]',-0.096,62.461,-0.651
'[11:27:45.678 14/08/1994]',-0.096,62.461,-0.651
'[11:27:45.680 14/08/1994]',-0.096,60.670,-0.646
'[11:27:45.682 14/08/1994]',-0.096,60.670,-0.646
'[11:27:45.684 14/08/1994]',-0.103,60.670,-0.646
'[11:27:45.686 14/08/1994]',-0.103,60.670,-0.646
'[11:27:45.688 14/08/1994]',-0.096,59.346,-0.640
'[11:27:45.690 14/08/1994]',-0.103,59.346,-0.640
'[11:27:45.692 14/08/1994]',-0.103,59.346,-0.640
'[11:27:45.694 14/08/1994]',-0.110,59.346,-0.640
'[11:27:45.696 14/08/1994]',-0.110,58.489,-0.633
'[11:27:45.698 14/08/1994]',-0.118,58.489,-0.633
'[11:27:45.700 14/08/1994]',-0.110,58.489,-0.633
'[11:27:45.702 14/08/1994]',-0.118,58.489,-0.633
'[11:27:45.704 14/08/1994]',-0.118,58.178,-0.625
'[11:27:45.706 14/08/1994]',-0.118,58.178,-0.625
'[11:27:45.708 14/08/1994]',-0.118,58.178,-0.625
'[11:27:45.710 14/08/1994]',-0.118,58.178,-0.625
'[11:27:45.712 14/08/1994]',-0.133,58.178,-0.619
'[11:27:45.714 14/08/1994]',-0.118,58.178,-0.619
'[11:27:45.716 14/08/1994]',-0.118,58.178,-0.619
'[11:27:45.718 14/08/1994]',-0.110,58.178,-0.619
'[11:27:45.720 14/08/1994]',-0.110,58.100,-0.613
'[11:27:45.722 14/08/1994]',-0.110,58.100,-0.613
'[11:27:45.724 14/08/1994]',-0.103,58.100,-0.613
'[11:27:45.726 14/08/1994]',-0.110,58.100,-0.613
'[11:27:45.728 14/08/1994]',-0.110,58.100,-0.608
'[11:27:45.730 14/08/1994]',-0.110,58.100,-0.608
'[11:27:45.732 14/08/1994]',-0.110,58.100,-0.608
'[11:27:45.734 14/08/1994]',-0.110,58.100,-0.608
'[11:27:45.736 14/08/1994]',-0.110,58.022,-0.602
'[11:27:45.738 14/08/1994]',-0.103,58.022,-0.602
'[11:27:45.740 14/08/1994]',-0.103,58.022,-0.602
'[11:27:45.742 14/08/1994]',-0.110,58.022,-0.602
'[11:27:45.744 14/08/1994]',-0.110,57.944,-0.595
'[11:27:45.746 14/08/1994]',-0.110,57.944,-0.595
'[11:27:45.748 14/08/1994]',-0.103,57.944,-0.595
'[11:27:45.750 14/08/1994]',-0.103,57.944,-0.595
'[11:27:45.752 14/08/1994]',-0.096,57.944,-0.587
'[11:27:45.754 14/08/1994]',-0.096,57.944,-0.587
'[11:27:45.756 14/08/1994]',-0.096,57.944,-0.587
'[11:27:45.758 14/08/1994]',-0.088,57.944,-0.587
'[11:27:45.760 14/08/1994]',-0.096,57.866,-0.578
'[11:27:45.762 14/08/1994]',-0.103,57.866,-0.578
'[11:27:45.764 14/08/1994]',-0.133,57.866,-0.578
'[11:27:45.766 14/08/1994]',-0.155,57.866,-0.578
'[11:27:45.768 14/08/1994]',-0.199,57.788,-0.569
'[11:27:45.770 14/08/1994]',-0.244,57.788,-0.569
'[11:27:45.772 14/08/1994]',-0.310,57.788,-0.569
'[11:27:45.774 14/08/1994]',-0.384,57.788,-0.569
'[11:27:45.776 14/08/1994]',-0.466,57.710,-0.559
'[11:27:45.778 14/08/1994]',-0.540,57.710,-0.559
'[11:27:45.780 14/08/1994]',-0.614,57.710,-0.559
'[11:27:45.782 14/08/1994]',-0.688,57.710,-0.559
'[11:27:45.784 14/08/1994]',-,57.632,-0.550
'[11:27:45.786 14/08/1994]',-,57.632,-0.550
'[11:27:45.788 14/08/1994]',-,57.632,-0.550
'[11:27:45.790 14/08/1994]',-,57.632,-0.550
'[11:27:45.792 14/08/1994]',-,57.399,-0.540
'[11:27:45.794 14/08/1994]',-,57.399,-0.540
'[11:27:45.796 14/08/1994]',-,57.399,-0.540
'[11:27:45.798 14/08/1994]',-,57.399,-0.540
'[11:27:45.800 14/08/1994]',-,57.165,-0.530
'[11:27:45.802 14/08/1994]',-,57.165,-0.530
'[11:27:45.804 14/08/1994]',-,57.165,-0.530
'[11:27:45.806 14/08/1994]',-,57.165,-0.530
'[11:27:45.808 14/08/1994]',-,56.854,-0.517
'[11:27:45.810 14/08/1994]',-,56.854,-0.517
'[11:27:45.812 14/08/1994]',-0.599,56.854,-0.517
'[11:27:45.814 14/08/1994]',-0.510,56.854,-0.517
'[11:27:45.816 14/08/1994]',-0.443,56.386,-0.503
'[11:27:45.818 14/08/1994]',-0.369,56.386,-0.503
'[11:27:45.820 14/08/1994]',-0.310,56.386,-0.503
'[11:27:45.822 14/08/1994]',-0.266,56.386,-0.503
'[11:27:45.824 14/08/1994]',-0.214,55.997,-0.488
'[11:27:45.826 14/08/1994]',-0.199,55.997,-0.488
'[11:27:45.828 14/08/1994]',-0.170,55.997,-0.488
'[11:27:45.830 14/08/1994]',-0.147,55.997,-0.488
'[11:27:45.832 14/08/1994]',-0.118,55.685,-0.472
'[11:27:45.834 14/08/1994]',-0.103,55.685,-0.472
'[11:27:45.836 14/08/1994]',-0.088,55.685,-0.472
'[11:27:45.838 14/08/1994]',-0.074,55.685,-0.472
'[11:27:45.840 14/08/1994]',-0.044,55.374,-0.457
'[11:27:45.842 14/08/1994]',-0.022,55.374,-0.457
'[11:27:45.844 14/08/1994]',0.001,55.374,-0.457
'[11:27:45.846 14/08/1994]',0.015,55.374,-0.457
'[11:27:45.848 14/08/1994]',0.030,55.062,-0.441
'[11:27:45.850 14/08/1994]',0.045,55.062,-0.441
'[11:27:45.852 14/08/1994]',0.052,55.062,-0.441
'[11:27:45.854 14/08/1994]',0.075,55.062,-0.441
'[11:27:45.856 14/08/1994]',0.082,54.751,-0.425
'[11:27:45.858 14/08/1994]',0.097,54.751,-0.425
'[11:27:45.860 14/08/1994]',0.104,54.751,-0.425
'[11:27:45.862 14/08/1994]',0.111,54.751,-0.425
'[11:27:45.864 14/08/1994]',0.119,54.361,-0.410
'[11:27:45.866 14/08/1994]',0.134,54.361,-0.410
'[11:27:45.868 14/08/1994]',0.134,54.361,-0.410
'[11:27:45.870 14/08/1994]',0.141,54.361,-0.410
'[11:27:45.872 14/08/1994]',0.148,54.050,-0.396
'[11:27:45.874 14/08/1994]',0.156,54.050,-0.396
'[11:27:45.876 14/08/1994]',0.163,54.050,-0.396
'[11:27:45.878 14/08/1994]',0.163,54.050,-0.396
'[11:27:45.880 14/08/1994]',0.171,53.583,-0.382
'[11:27:45.882 14/08/1994]',0.171,53.583,-0.382
'[11:27:45.884 14/08/1994]',0.171,53.583,-0.382
