'Time and date','V','II','ABP','RESP'
'[10:40:45.498 04/04/1996]',0.070,-0.133,70.514,0.482
'[10:40:45.500 04/04/1996]',0.058,-0.133,70.514,0.482
'[10:40:45.502 04/04/1996]',0.070,-0.133,70.514,0.482
'[10:40:45.504 04/04/1996]',0.058,-0.106,70.716,0.501
'[10:40:45.506 04/04/1996]',0.058,-0.106,70.716,0.501
'[10:40:45.508 04/04/1996]',0.058,-0.106,70.716,0.501
'[10:40:45.510 04/04/1996]',0.058,-0.079,70.716,0.501
'[10:40:45.512 04/04/1996]',0.058,-0.079,70.766,0.518
'[10:40:45.514 04/04/1996]',0.058,-0.079,70.766,0.518
'[10:40:45.516 04/04/1996]',0.058,-0.079,70.766,0.518
'[10:40:45.518 04/04/1996]',0.047,-0.052,70.766,0.518
'[10:40:45.520 04/04/1996]',0.058,-0.052,70.665,0.535
'[10:40:45.522 04/04/1996]',0.047,-0.052,70.665,0.535
'[10:40:45.524 04/04/1996]',0.047,-0.025,70.665,0.535
'[10:40:45.526 04/04/1996]',0.047,-0.025,70.665,0.535
'[10:40:45.528 04/04/1996]',0.047,-0.025,70.413,0.550
'[10:40:45.530 04/04/1996]',0.035,0.002,70.413,0.550
'[10:40:45.532 04/04/1996]',0.035,0.002,70.413,0.550
'[10:40:45.534 04/04/1996]',0.024,0.002,70.413,0.550
'[10:40:45.536 04/04/1996]',0.024,0.002,70.060,0.565
'[10:40:45.538 04/04/1996]',0.024,0.002,70.060,0.565
'[10:40:45.540 04/04/1996]',0.024,0.002,70.060,0.565
'[10:40:45.542 04/04/1996]',0.024,0.002,70.060,0.565
'[10:40:45.544 04/04/1996]',0.035,0.028,69.657,0.579
'[10:40:45.546 04/04/1996]',0.024,0.028,69.657,0.579
'[10:40:45.548 04/04/1996]',0.024,0.055,69.657,0.579
'[10:40:45.550 04/04/1996]',0.024,0.055,69.657,0.579
'[10:40:45.552 04/04/1996]',0.024,0.055,69.103,0.592
'[10:40:45.554 04/04/1996]',0.024,0.055,69.103,0.592
'[10:40:45.556 04/04/1996]',0.012,0.083,69.103,0.592
'[10:40:45.558 04/04/1996]',0.012,0.083,69.103,0.592
'[10:40:45.560 04/04/1996]',0.012,0.083,68.649,0.604
'[10:40:45.562 04/04/1996]',0.012,0.083,68.649,0.604
'[10:40:45.564 04/04/1996]',0.012,0.083,68.649,0.604
'[10:40:45.566 04/04/1996]',0.012,0.083,68.649,0.604
'[10:40:45.568 04/04/1996]',0.012,0.083,68.196,0.617
'[10:40:45.570 04/04/1996]',0.012,0.083,68.196,0.617
'[10:40:45.572 04/04/1996]',0.012,0.083,68.196,0.617
'[10:40:45.574 04/04/1996]',0.012,0.083,68.196,0.617
'[10:40:45.576 04/04/1996]',0.012,0.083,68.044,0.629
'[10:40:45.578 04/04/1996]',0.012,0.083,68.044,0.629
'[10:40:45.580 04/04/1996]',0.024,0.083,68.044,0.629
'[10:40:45.582 04/04/1996]',0.024,0.083,68.044,0.629
'[10:40:45.584 04/04/1996]',0.012,0.083,68.548,0.643
'[10:40:45.586 04/04/1996]',0.024,0.055,68.548,0.643
'[10:40:45.588 04/04/1996]',0.024,0.055,68.548,0.643
'[10:40:45.590 04/04/1996]',0.024,0.055,68.548,0.643
'[10:40:45.592 04/04/1996]',0.024,0.055,69.960,0.659
'[10:40:45.594 04/04/1996]',0.024,0.028,69.960,0.659
'[10:40:45.596 04/04/1996]',0.024,0.028,69.960,0.659
'[10:40:45.598 04/04/1996]',0.024,0.002,69.960,0.659
'[10:40:45.600 04/04/1996]',0.024,0.002,72.480,0.675
'[10:40:45.602 04/04/1996]',0.024,0.002,72.480,0.675
'[10:40:45.604 04/04/1996]',0.024,0.002,72.480,0.675
'[10:40:45.606 04/04/1996]',0.035,0.002,72.480,0.675
'[10:40:45.608 04/04/1996]',0.035,0.002,76.159,0.693
'[10:40:45.610 04/04/1996]',0.035,0.002,76.159,0.693
'[10:40:45.612 04/04/1996]',0.035,0.002,76.159,0.693
'[10:40:45.614 04/04/1996]',0.035,-0.025,76.159,0.693
'[10:40:45.616 04/04/1996]',0.035,-0.025,80.696,0.711
'[10:40:45.618 04/04/1996]',0.035,-0.025,80.696,0.711
'[10:40:45.620 04/04/1996]',0.035,-0.025,80.696,0.711
'[10:40:45.622 04/04/1996]',0.035,-0.052,80.696,0.711
'[10:40:45.624 04/04/1996]',0.035,-0.052,85.837,0.730
'[10:40:45.626 04/04/1996]',0.035,-0.052,85.837,0.730
'[10:40:45.628 04/04/1996]',0.024,-0.052,85.837,0.730
'[10:40:45.630 04/04/1996]',0.024,-0.079,85.837,0.730
'[10:40:45.632 04/04/1996]',0.024,-0.079,91.129,0.748
'[10:40:45.634 04/04/1996]',0.024,-0.079,91.129,0.748
'[10:40:45.636 04/04/1996]',0.035,-0.079,91.129,0.748
'[10:40:45.638 04/04/1996]',0.035,-0.079,91.129,0.748
'[10:40:45.640 04/04/1996]',0.035,-0.106,96.169,0.767
'[10:40:45.642 04/04/1996]',0.035,-0.079,96.169,0.767
'[10:40:45.644 04/04/1996]',0.035,-0.106,96.169,0.767
'[10:40:45.646 04/04/1996]',0.024,-0.106,96.169,0.767
'[10:40:45.648 04/04/1996]',0.035,-0.106,100.655,0.786
'[10:40:45.650 04/04/1996]',0.035,-0.106,100.655,0.786
'[10:40:45.652 04/04/1996]',0.035,-0.133,100.655,0.786
'[10:40:45.654 04/04/1996]',0.035,-0.106,100.655,0.786
'[10:40:45.656 04/04/1996]',0.035,-0.106,104.284,0.805
'[10:40:45.658 04/04/1996]',0.035,-0.133,104.284,0.805
'[10:40:45.660 04/04/1996]',0.035,-0.133,104.284,0.805
'[10:40:45.662 04/04/1996]',0.035,-0.133,104.284,0.805
'[10:40:45.664 04/04/1996]',0.024,-0.133,106.754,0.824
'[10:40:45.666 04/04/1996]',0.024,-0.133,106.754,0.824
'[10:40:45.668 04/04/1996]',0.035,-0.133,106.754,0.824
'[10:40:45.670 04/04/1996]',0.035,-0.133,106.754,0.824
'[10:40:45.672 04/04/1996]',0.035,-0.133,107.913,0.843
'[10:40:45.674 04/04/1996]',0.035,-0.133,107.913,0.843
'[10:40:45.676 04/04/1996]',0.035,-0.133,107.913,0.843
'[10:40:45.678 04/04/1996]',0.024,-0.133,107.913,0.843
'[10:40:45.680 04/04/1996]',0.047,-0.133,107.812,0.860
'[10:40:45.682 04/04/1996]',0.035,-0.133,107.812,0.860
'[10:40:45.684 04/04/1996]',0.035,-0.133,107.812,0.860
'[10:40:45.686 04/04/1996]',0.035,-0.133,107.812,0.860
'[10:40:45.688 04/04/1996]',0.035,-0.133,106.603,0.876
'[10:40:45.690 04/04/1996]',0.035,-0.106,106.603,0.876
'[10:40:45.692 04/04/1996]',0.024,-0.106,106.603,0.876
'[10:40:45.694 04/04/1996]',0.035,-0.106,106.603,0.876
'[10:40:45.696 04/04/1996]',0.035,-0.106,104.688,0.892
'[10:40:45.698 04/04/1996]',0.024,-0.106,104.688,0.892
'[10:40:45.700 04/04/1996]',0.035,-0.106,104.688,0.892
'[10:40:45.702 04/04/1996]',0.024,-0.106,104.688,0.892
'[10:40:45.704 04/04/1996]',0.035,-0.106,102.218,0.906
'[10:40:45.706 04/04/1996]',0.024,-0.106,102.218,0.906
'[10:40:45.708 04/04/1996]',0.035,-0.106,102.218,0.906
'[10:40:45.710 04/04/1996]',0.035,-0.106,102.218,0.906
'[10:40:45.712 04/04/1996]',0.035,-0.106,99.345,0.920
'[10:40:45.714 04/04/1996]',0.024,-0.079,99.345,0.920
'[10:40:45.716 04/04/1996]',0.024,-0.079,99.345,0.920
'[10:40:45.718 04/04/1996]',0.024,-0.079,99.345,0.920
'[10:40:45.720 04/04/1996]',0.024,-0.106,96.472,0.934
'[10:40:45.722 04/04/1996]',0.024,-0.079,96.472,0.934
'[10:40:45.724 04/04/1996]',0.024,-0.079,96.472,0.934
'[10:40:45.726 04/04/1996]',0.035,-0.079,96.472,0.934
'[10:40:45.728 04/04/1996]',0.035,-0.079,93.548,0.947
'[10:40:45.730 04/04/1996]',0.024,-0.079,93.548,0.947
'[10:40:45.732 04/04/1996]',0.024,-0.052,93.548,0.947
'[10:40:45.734 04/04/1996]',0.024,-0.052,93.548,0.947
'[10:40:45.736 04/04/1996]',0.024,-0.052,90.675,0.960
'[10:40:45.738 04/04/1996]',0.024,-0.052,90.675,0.960
'[10:40:45.740 04/04/1996]',0.024,-0.052,90.675,0.960
'[10:40:45.742 04/04/1996]',0.024,-0.052,90.675,0.960
'[10:40:45.744 04/04/1996]',0.024,-0.052,87.802,0.973
'[10:40:45.746 04/04/1996]',0.024,-0.052,87.802,0.973
'[10:40:45.748 04/04/1996]',0.012,-0.052,87.802,0.973
'[10:40:45.750 04/04/1996]',0.012,-0.025,87.802,0.973
'[10:40:45.752 04/04/1996]',0.012,-0.025,84.879,0.987
'[10:40:45.754 04/04/1996]',0.012,-0.025,84.879,0.987
'[10:40:45.756 04/04/1996]',0.012,-0.025,84.879,0.987
'[10:40:45.758 04/04/1996]',0.012,-0.025,84.879,0.987
'[10:40:45.760 04/04/1996]',0.012,-0.025,82.006,1.000
'[10:40:45.762 04/04/1996]',0.001,-0.025,82.006,1.000
'[10:40:45.764 04/04/1996]',0.001,-0.025,82.006,1.000
'[10:40:45.766 04/04/1996]',0.001,-0.025,82.006,1.000
'[10:40:45.768 04/04/1996]',0.001,-0.025,79.234,1.014
'[10:40:45.770 04/04/1996]',0.001,-0.025,79.234,1.014
'[10:40:45.772 04/04/1996]',0.001,-0.052,79.234,1.014
'[10:40:45.774 04/04/1996]',0.001,-0.052,79.234,1.014
'[10:40:45.776 04/04/1996]',0.001,-0.052,76.613,1.024
'[10:40:45.778 04/04/1996]',0.024,-0.079,76.613,1.024
'[10:40:45.780 04/04/1996]',0.012,-0.079,76.613,1.024
'[10:40:45.782 04/04/1996]',0.024,-0.106,76.613,1.024
'[10:40:45.784 04/04/1996]',0.024,-0.106,74.294,1.024
'[10:40:45.786 04/04/1996]',0.024,-0.133,74.294,1.024
'[10:40:45.788 04/04/1996]',0.024,-0.133,74.294,1.024
'[10:40:45.790 04/04/1996]',0.047,-0.133,74.294,1.024
