'Time and date','II','MCL1','V','ABP','PAP'
'[09:38:50.184 20/12/1995]',-0.121,-0.149,-0.119,104.265,43.350
'[09:38:50.186 20/12/1995]',-0.142,-0.124,-0.100,104.265,43.350
'[09:38:50.188 20/12/1995]',-0.101,-0.124,-0.082,104.265,43.350
'[09:38:50.190 20/12/1995]',-0.060,-0.099,-0.073,104.265,43.350
'[09:38:50.192 20/12/1995]',-0.080,-0.061,-0.054,106.019,42.750
'[09:38:50.194 20/12/1995]',-0.162,-0.036,-0.064,106.019,42.750
'[09:38:50.196 20/12/1995]',-0.183,-0.036,-0.064,106.019,42.750
'[09:38:50.198 20/12/1995]',-0.142,-0.061,-0.064,106.019,42.750
'[09:38:50.200 20/12/1995]',-0.142,-0.099,-0.064,107.156,42.350
'[09:38:50.202 20/12/1995]',-0.101,-0.136,-0.082,107.156,42.350
'[09:38:50.204 20/12/1995]',-0.060,-0.198,-0.091,107.156,42.350
'[09:38:50.206 20/12/1995]',-0.019,-0.261,-0.109,107.156,42.350
'[09:38:50.208 20/12/1995]',-0.060,-0.261,-0.128,107.867,42.475
'[09:38:50.210 20/12/1995]',-0.142,-0.223,-0.137,107.867,42.475
'[09:38:50.212 20/12/1995]',-0.203,-0.186,-0.137,107.867,42.475
'[09:38:50.214 20/12/1995]',-0.244,-0.149,-0.109,107.867,42.475
'[09:38:50.216 20/12/1995]',-0.265,-0.074,-0.082,108.152,43.050
'[09:38:50.218 20/12/1995]',-0.265,0.001,-0.054,108.152,43.050
'[09:38:50.220 20/12/1995]',-0.224,0.038,-0.018,108.152,43.050
'[09:38:50.222 20/12/1995]',-0.142,0.038,0.001,108.152,43.050
'[09:38:50.224 20/12/1995]',0.103,-0.024,0.019,108.104,43.825
'[09:38:50.226 20/12/1995]',0.349,-0.149,0.019,108.104,43.825
'[09:38:50.228 20/12/1995]',0.328,-0.236,-0.027,108.104,43.825
'[09:38:50.230 20/12/1995]',0.062,-0.236,-0.091,108.104,43.825
'[09:38:50.232 20/12/1995]',-0.183,-0.211,-0.146,107.773,44.400
'[09:38:50.234 20/12/1995]',-0.305,-0.186,-0.146,107.773,44.400
'[09:38:50.236 20/12/1995]',-0.325,-0.161,-0.128,107.773,44.400
'[09:38:50.238 20/12/1995]',-0.285,-0.149,-0.119,107.773,44.400
'[09:38:50.240 20/12/1995]',-0.265,-0.136,-0.100,107.156,44.575
'[09:38:50.242 20/12/1995]',-0.224,-0.099,-0.082,107.156,44.575
'[09:38:50.244 20/12/1995]',-0.101,-0.086,-0.045,107.156,44.575
'[09:38:50.246 20/12/1995]',-0.019,-0.074,-0.018,107.156,44.575
'[09:38:50.248 20/12/1995]',-0.060,-0.036,-0.027,106.445,44.450
'[09:38:50.250 20/12/1995]',-0.121,0.001,-0.027,106.445,44.450
'[09:38:50.252 20/12/1995]',-0.142,0.026,-0.008,106.445,44.450
'[09:38:50.254 20/12/1995]',-0.101,0.051,0.001,106.445,44.450
'[09:38:50.256 20/12/1995]',-0.060,0.038,0.001,105.498,44.000
'[09:38:50.258 20/12/1995]',-0.039,0.013,0.001,105.498,44.000
'[09:38:50.260 20/12/1995]',-0.101,0.026,-0.018,105.498,44.000
'[09:38:50.262 20/12/1995]',-0.203,0.001,-0.045,105.498,44.000
'[09:38:50.264 20/12/1995]',-0.305,0.013,-0.073,104.455,43.400
'[09:38:50.266 20/12/1995]',-0.387,0.026,-0.064,104.455,43.400
'[09:38:50.268 20/12/1995]',-0.387,0.038,-0.036,104.455,43.400
'[09:38:50.270 20/12/1995]',-0.305,0.026,-0.027,104.455,43.400
'[09:38:50.272 20/12/1995]',-0.265,0.001,-0.018,103.270,42.525
'[09:38:50.274 20/12/1995]',-0.183,0.001,-0.018,103.270,42.525
'[09:38:50.276 20/12/1995]',0.002,-0.036,-0.008,103.270,42.525
'[09:38:50.278 20/12/1995]',0.165,-0.061,0.001,103.270,42.525
'[09:38:50.280 20/12/1995]',0.185,-0.024,0.010,101.991,41.525
'[09:38:50.282 20/12/1995]',0.021,0.051,0.001,101.991,41.525
'[09:38:50.284 20/12/1995]',-0.121,0.101,-0.008,101.991,41.525
'[09:38:50.286 20/12/1995]',-0.244,0.163,-0.018,101.991,41.525
'[09:38:50.288 20/12/1995]',-0.203,0.176,0.001,100.664,40.350
'[09:38:50.290 20/12/1995]',-0.121,0.163,0.028,100.664,40.350
'[09:38:50.292 20/12/1995]',-0.060,0.138,0.037,100.664,40.350
'[09:38:50.294 20/12/1995]',-0.080,0.138,0.037,100.664,40.350
'[09:38:50.296 20/12/1995]',-0.080,0.101,0.019,99.289,39.250
'[09:38:50.298 20/12/1995]',-0.101,0.076,0.010,99.289,39.250
'[09:38:50.300 20/12/1995]',-0.203,0.051,0.001,99.289,39.250
'[09:38:50.302 20/12/1995]',-0.305,0.026,-0.045,99.289,39.250
'[09:38:50.304 20/12/1995]',-0.346,-0.024,-0.082,97.915,38.250
'[09:38:50.306 20/12/1995]',-0.224,-0.074,-0.073,97.915,38.250
'[09:38:50.308 20/12/1995]',-0.039,-0.099,-0.036,97.915,38.250
'[09:38:50.310 20/12/1995]',0.062,-0.136,-0.027,97.915,38.250
'[09:38:50.312 20/12/1995]',0.062,-0.161,-0.045,96.493,37.375
'[09:38:50.314 20/12/1995]',0.103,-0.161,-0.054,96.493,37.375
'[09:38:50.316 20/12/1995]',0.103,-0.111,-0.036,96.493,37.375
'[09:38:50.318 20/12/1995]',0.042,-0.061,-0.027,96.493,37.375
'[09:38:50.320 20/12/1995]',-0.080,0.001,-0.027,95.166,36.500
'[09:38:50.322 20/12/1995]',-0.183,0.051,-0.018,95.166,36.500
'[09:38:50.324 20/12/1995]',-0.224,0.076,-0.018,95.166,36.500
'[09:38:50.326 20/12/1995]',-0.285,0.076,-0.018,95.166,36.500
'[09:38:50.328 20/12/1995]',-0.325,0.088,-0.008,93.886,35.575
'[09:38:50.330 20/12/1995]',-0.305,0.063,-0.018,93.886,35.575
'[09:38:50.332 20/12/1995]',-0.224,0.051,0.001,93.886,35.575
'[09:38:50.334 20/12/1995]',-0.121,0.026,0.001,93.886,35.575
'[09:38:50.336 20/12/1995]',-0.060,0.001,0.001,92.796,34.800
'[09:38:50.338 20/12/1995]',-0.019,0.013,0.001,92.796,34.800
'[09:38:50.340 20/12/1995]',0.002,0.026,0.001,92.796,34.800
'[09:38:50.342 20/12/1995]',0.021,0.063,0.028,92.796,34.800
'[09:38:50.344 20/12/1995]',-0.019,0.138,0.046,91.896,34.625
'[09:38:50.346 20/12/1995]',-0.142,0.163,0.019,91.896,34.625
'[09:38:50.348 20/12/1995]',-0.224,0.163,0.001,91.896,34.625
'[09:38:50.350 20/12/1995]',-0.285,0.101,-0.008,91.896,34.625
'[09:38:50.352 20/12/1995]',-0.203,0.051,-0.018,91.232,34.975
'[09:38:50.354 20/12/1995]',-0.080,0.001,0.001,91.232,34.975
'[09:38:50.356 20/12/1995]',0.002,-0.024,0.001,91.232,34.975
'[09:38:50.358 20/12/1995]',-0.019,0.001,0.001,91.232,34.975
'[09:38:50.360 20/12/1995]',-0.060,0.001,0.001,90.806,35.625
'[09:38:50.362 20/12/1995]',0.062,-0.011,0.001,90.806,35.625
'[09:38:50.364 20/12/1995]',0.124,0.013,0.019,90.806,35.625
'[09:38:50.366 20/12/1995]',0.021,0.088,0.019,90.806,35.625
'[09:38:50.368 20/12/1995]',-0.183,0.188,0.001,90.616,36.025
'[09:38:50.370 20/12/1995]',-0.366,0.213,0.001,90.616,36.025
'[09:38:50.372 20/12/1995]',-0.346,0.163,0.001,90.616,36.025
'[09:38:50.374 20/12/1995]',-0.080,0.038,0.001,90.616,36.025
'[09:38:50.376 20/12/1995]',0.206,-0.074,0.019,90.711,36.100
'[09:38:50.378 20/12/1995]',0.308,-0.136,0.019,90.711,36.100
'[09:38:50.380 20/12/1995]',0.185,-0.136,0.001,90.711,36.100
'[09:38:50.382 20/12/1995]',-0.019,-0.086,-0.064,90.711,36.100
'[09:38:50.384 20/12/1995]',-0.203,-0.024,-0.073,91.043,36.025
'[09:38:50.386 20/12/1995]',-0.346,0.051,-0.054,91.043,36.025
'[09:38:50.388 20/12/1995]',-0.428,0.113,-0.018,91.043,36.025
'[09:38:50.390 20/12/1995]',-0.469,0.138,-0.008,91.043,36.025
'[09:38:50.392 20/12/1995]',-0.448,0.138,0.001,91.611,36.025
'[09:38:50.394 20/12/1995]',-0.407,0.138,0.001,91.611,36.025
'[09:38:50.396 20/12/1995]',-0.285,0.101,0.001,91.611,36.025
'[09:38:50.398 20/12/1995]',-0.162,0.063,0.010,91.611,36.025
'[09:38:50.400 20/12/1995]',0.002,0.013,0.028,92.417,36.200
'[09:38:50.402 20/12/1995]',0.124,-0.024,0.037,92.417,36.200
'[09:38:50.404 20/12/1995]',0.124,-0.049,0.010,92.417,36.200
'[09:38:50.406 20/12/1995]',0.002,-0.061,-0.027,92.417,36.200
'[09:38:50.408 20/12/1995]',-0.162,-0.024,-0.064,93.318,36.325
'[09:38:50.410 20/12/1995]',-0.265,-0.011,-0.064,93.318,36.325
'[09:38:50.412 20/12/1995]',-0.203,0.001,-0.036,93.318,36.325
'[09:38:50.414 20/12/1995]',-0.101,0.001,0.001,93.318,36.325
'[09:38:50.416 20/12/1995]',-0.039,0.001,0.001,94.360,36.200
'[09:38:50.418 20/12/1995]',-0.101,0.013,0.001,94.360,36.200
'[09:38:50.420 20/12/1995]',-0.203,0.026,-0.018,94.360,36.200
'[09:38:50.422 20/12/1995]',-0.265,0.076,-0.008,94.360,36.200
'[09:38:50.424 20/12/1995]',-0.285,0.101,0.001,95.450,35.975
'[09:38:50.426 20/12/1995]',-0.285,0.101,0.001,95.450,35.975
'[09:38:50.428 20/12/1995]',-0.285,0.101,0.001,95.450,35.975
'[09:38:50.430 20/12/1995]',-0.285,0.101,0.001,95.450,35.975
'[09:38:50.432 20/12/1995]',-0.285,0.113,0.001,96.540,35.750
'[09:38:50.434 20/12/1995]',-0.244,0.113,0.010,96.540,35.750
'[09:38:50.436 20/12/1995]',-0.080,0.076,0.037,96.540,35.750
'[09:38:50.438 20/12/1995]',0.144,0.026,0.056,96.540,35.750
'[09:38:50.440 20/12/1995]',0.349,-0.024,0.074,97.678,35.500
'[09:38:50.442 20/12/1995]',0.288,-0.011,0.046,97.678,35.500
'[09:38:50.444 20/12/1995]',0.021,0.038,0.010,97.678,35.500
'[09:38:50.446 20/12/1995]',-0.224,0.101,0.001,97.678,35.500
'[09:38:50.448 20/12/1995]',-0.407,0.163,0.001,98.720,35.325
'[09:38:50.450 20/12/1995]',-0.489,0.225,0.001,98.720,35.325
'[09:38:50.452 20/12/1995]',-0.428,0.238,0.019,98.720,35.325
'[09:38:50.454 20/12/1995]',-0.346,0.238,0.037,98.720,35.325
'[09:38:50.456 20/12/1995]',-0.285,0.200,0.046,99.763,35.275
'[09:38:50.458 20/12/1995]',-0.203,0.138,0.037,99.763,35.275
'[09:38:50.460 20/12/1995]',-0.142,0.101,0.019,99.763,35.275
'[09:38:50.462 20/12/1995]',-0.162,0.051,0.001,99.763,35.275
'[09:38:50.464 20/12/1995]',-0.162,0.001,-0.018,100.853,35.400
'[09:38:50.466 20/12/1995]',-0.142,-0.036,-0.036,100.853,35.400
'[09:38:50.468 20/12/1995]',-0.080,-0.061,-0.027,100.853,35.400
'[09:38:50.470 20/12/1995]',-0.101,-0.074,-0.027,100.853,35.400
'[09:38:50.472 20/12/1995]',-0.142,-0.074,-0.045,101.943,35.625
'[09:38:50.474 20/12/1995]',-0.203,-0.061,-0.054,101.943,35.625
'[09:38:50.476 20/12/1995]',-0.224,-0.049,-0.064,101.943,35.625
'[09:38:50.478 20/12/1995]',-0.224,-0.011,-0.036,101.943,35.625
'[09:38:50.480 20/12/1995]',-0.142,0.001,0.001,103.081,35.750
'[09:38:50.482 20/12/1995]',-0.080,0.001,0.001,103.081,35.750
'[09:38:50.484 20/12/1995]',-0.060,0.001,0.010,103.081,35.750
'[09:38:50.486 20/12/1995]',-0.080,0.013,0.001,103.081,35.750
'[09:38:50.488 20/12/1995]',-0.080,0.038,0.001,104.123,35.750
'[09:38:50.490 20/12/1995]',-0.142,0.051,-0.008,104.123,35.750
'[09:38:50.492 20/12/1995]',-0.183,0.051,-0.018,104.123,35.750
'[09:38:50.494 20/12/1995]',-0.162,0.051,-0.018,104.123,35.750
'[09:38:50.496 20/12/1995]',-0.142,0.038,-0.018,105.071,35.500
'[09:38:50.498 20/12/1995]',-0.142,0.051,-0.018,105.071,35.500
'[09:38:50.500 20/12/1995]',-0.080,0.013,-0.008,105.071,35.500
'[09:38:50.502 20/12/1995]',0.062,-0.024,0.001,105.071,35.500
'[09:38:50.504 20/12/1995]',0.124,-0.049,0.001,105.877,35.050
'[09:38:50.506 20/12/1995]',0.062,-0.049,-0.008,105.877,35.050
'[09:38:50.508 20/12/1995]',-0.060,-0.024,-0.036,105.877,35.050
'[09:38:50.510 20/12/1995]',-0.121,-0.011,-0.027,105.877,35.050
'[09:38:50.512 20/12/1995]',-0.121,0.038,0.001,106.540,34.450
'[09:38:50.514 20/12/1995]',-0.019,0.051,0.001,106.540,34.450
'[09:38:50.516 20/12/1995]',0.002,0.076,0.001,106.540,34.450
'[09:38:50.518 20/12/1995]',-0.060,0.113,0.001,106.540,34.450
'[09:38:50.520 20/12/1995]',-0.162,0.163,0.001,107.156,33.925
'[09:38:50.522 20/12/1995]',-0.285,0.188,0.001,107.156,33.925
'[09:38:50.524 20/12/1995]',-0.387,0.188,0.001,107.156,33.925
'[09:38:50.526 20/12/1995]',-0.387,0.138,-0.008,107.156,33.925
'[09:38:50.528 20/12/1995]',-0.387,0.101,-0.018,107.630,33.350
'[09:38:50.530 20/12/1995]',-0.346,0.088,-0.018,107.630,33.350
'[09:38:50.532 20/12/1995]',-0.325,0.088,-0.008,107.630,33.350
'[09:38:50.534 20/12/1995]',-0.305,0.101,0.001,107.630,33.350
'[09:38:50.536 20/12/1995]',-0.224,0.088,0.001,107.962,32.875
'[09:38:50.538 20/12/1995]',-0.101,0.038,0.010,107.962,32.875
'[09:38:50.540 20/12/1995]',0.021,-0.024,0.019,107.962,32.875
'[09:38:50.542 20/12/1995]',0.062,-0.049,0.001,107.962,32.875
'[09:38:50.544 20/12/1995]',0.002,-0.061,-0.018,108.104,32.400
'[09:38:50.546 20/12/1995]',-0.142,-0.049,-0.045,108.104,32.400
'[09:38:50.548 20/12/1995]',-0.224,-0.024,-0.054,108.104,32.400
'[09:38:50.550 20/12/1995]',-0.265,0.001,-0.045,108.104,32.400
'[09:38:50.552 20/12/1995]',-0.244,0.001,-0.027,108.009,32.175
'[09:38:50.554 20/12/1995]',-0.244,0.013,-0.018,108.009,32.175
'[09:38:50.556 20/12/1995]',-0.224,0.026,-0.008,108.009,32.175
'[09:38:50.558 20/12/1995]',-0.224,0.026,-0.008,108.009,32.175
'[09:38:50.560 20/12/1995]',-0.203,0.026,-0.008,107.678,32.000
'[09:38:50.562 20/12/1995]',-0.203,0.038,0.001,107.678,32.000
'[09:38:50.564 20/12/1995]',-0.183,0.038,0.001,107.678,32.000
'[09:38:50.566 20/12/1995]',-0.183,0.038,0.001,107.678,32.000
'[09:38:50.568 20/12/1995]',-0.183,0.051,0.001,107.062,32.000
'[09:38:50.570 20/12/1995]',-0.183,0.038,0.001,107.062,32.000
'[09:38:50.572 20/12/1995]',-0.183,0.051,0.001,107.062,32.000
'[09:38:50.574 20/12/1995]',-0.183,0.051,0.001,107.062,32.000
'[09:38:50.576 20/12/1995]',-0.183,0.051,0.001,106.161,32.175
'[09:38:50.578 20/12/1995]',-0.183,0.051,0.001,106.161,32.175
'[09:38:50.580 20/12/1995]',-0.203,0.038,0.001,106.161,32.175
'[09:38:50.582 20/12/1995]',-0.183,0.051,0.001,106.161,32.175
'[09:38:50.584 20/12/1995]',-0.203,0.051,0.001,105.118,32.575
'[09:38:50.586 20/12/1995]',-0.203,0.051,0.010,105.118,32.575
'[09:38:50.588 20/12/1995]',-0.183,0.063,0.010,105.118,32.575
'[09:38:50.590 20/12/1995]',-0.162,0.051,0.028,105.118,32.575
'[09:38:50.592 20/12/1995]',-0.142,0.051,0.019,103.934,33.050
'[09:38:50.594 20/12/1995]',-0.162,0.063,0.019,103.934,33.050
'[09:38:50.596 20/12/1995]',-0.203,0.088,0.019,103.934,33.050
'[09:38:50.598 20/12/1995]',-0.183,0.101,0.028,103.934,33.050
'[09:38:50.600 20/12/1995]',-0.162,0.101,0.037,102.701,33.400
'[09:38:50.602 20/12/1995]',-0.142,0.101,0.028,102.701,33.400
'[09:38:50.604 20/12/1995]',-0.142,0.088,0.028,102.701,33.400
'[09:38:50.606 20/12/1995]',-0.121,0.076,0.028,102.701,33.400
'[09:38:50.608 20/12/1995]',-0.142,0.051,0.001,101.517,33.575
'[09:38:50.610 20/12/1995]',-0.183,0.051,-0.008,101.517,33.575
'[09:38:50.612 20/12/1995]',-0.244,0.026,-0.036,101.517,33.575
'[09:38:50.614 20/12/1995]',-0.265,0.026,-0.036,101.517,33.575
'[09:38:50.616 20/12/1995]',-0.285,0.038,-0.036,100.284,33.525
'[09:38:50.618 20/12/1995]',-0.285,0.051,-0.027,100.284,33.525
'[09:38:50.620 20/12/1995]',-0.285,0.063,-0.027,100.284,33.525
'[09:38:50.622 20/12/1995]',-0.265,0.076,-0.027,100.284,33.525
'[09:38:50.624 20/12/1995]',-0.244,0.076,-0.018,99.052,33.350
'[09:38:50.626 20/12/1995]',-0.224,0.051,-0.027,99.052,33.350
'[09:38:50.628 20/12/1995]',-0.224,0.001,-0.036,99.052,33.350
'[09:38:50.630 20/12/1995]',-0.224,-0.024,-0.064,99.052,33.350
'[09:38:50.632 20/12/1995]',-0.203,-0.061,-0.064,97.820,33.000
'[09:38:50.634 20/12/1995]',-0.162,-0.099,-0.064,97.820,33.000
'[09:38:50.636 20/12/1995]',-0.019,-0.136,-0.036,97.820,33.000
'[09:38:50.638 20/12/1995]',0.083,-0.136,-0.018,97.820,33.000
'[09:38:50.640 20/12/1995]',0.021,-0.099,-0.027,96.635,32.575
'[09:38:50.642 20/12/1995]',-0.121,-0.036,-0.036,96.635,32.575
'[09:38:50.644 20/12/1995]',-0.244,-0.024,-0.054,96.635,32.575
'[09:38:50.646 20/12/1995]',-0.285,-0.024,-0.064,96.635,32.575
'[09:38:50.648 20/12/1995]',-0.285,-0.011,-0.064,95.403,32.100
'[09:38:50.650 20/12/1995]',-0.285,-0.011,-0.054,95.403,32.100
'[09:38:50.652 20/12/1995]',-0.224,0.001,-0.045,95.403,32.100
'[09:38:50.654 20/12/1995]',-0.183,0.001,-0.018,95.403,32.100
'[09:38:50.656 20/12/1995]',-0.142,0.013,0.001,94.171,31.700
'[09:38:50.658 20/12/1995]',-0.080,0.013,0.001,94.171,31.700
'[09:38:50.660 20/12/1995]',-0.039,0.001,0.001,94.171,31.700
'[09:38:50.662 20/12/1995]',0.021,0.001,0.001,94.171,31.700
'[09:38:50.664 20/12/1995]',0.002,0.001,0.001,92.938,31.300
'[09:38:50.666 20/12/1995]',-0.101,0.026,0.001,92.938,31.300
'[09:38:50.668 20/12/1995]',-0.203,0.076,0.001,92.938,31.300
'[09:38:50.670 20/12/1995]',-0.265,0.088,-0.008,92.938,31.300
'[09:38:50.672 20/12/1995]',-0.325,0.101,-0.027,91.848,30.950
'[09:38:50.674 20/12/1995]',-0.346,0.101,-0.018,91.848,30.950
'[09:38:50.676 20/12/1995]',-0.325,0.101,-0.008,91.848,30.950
'[09:38:50.678 20/12/1995]',-0.325,0.101,0.001,91.848,30.950
'[09:38:50.680 20/12/1995]',-0.285,0.101,0.001,90.806,30.650
'[09:38:50.682 20/12/1995]',-0.265,0.101,0.001,90.806,30.650
'[09:38:50.684 20/12/1995]',-0.244,0.088,0.001,90.806,30.650
'[09:38:50.686 20/12/1995]',-0.224,0.088,0.010,90.806,30.650
'[09:38:50.688 20/12/1995]',-0.203,0.076,0.010,89.716,30.525
'[09:38:50.690 20/12/1995]',-0.203,0.076,0.001,89.716,30.525
'[09:38:50.692 20/12/1995]',-0.183,0.076,0.001,89.716,30.525
'[09:38:50.694 20/12/1995]',-0.183,0.076,0.001,89.716,30.525
'[09:38:50.696 20/12/1995]',-0.183,0.076,0.001,88.863,30.400
