'Time and date','MCL1','III','ABP','PLETH','RESP'
'[12:32:07.496 08/02/1996]',0.029,-0.046,67.669,-0.075,-0.604
'[12:32:07.498 08/02/1996]',0.030,-0.058,67.669,-0.075,-0.604
'[12:32:07.500 08/02/1996]',0.031,-0.046,67.669,-0.075,-0.604
'[12:32:07.502 08/02/1996]',0.031,-0.046,67.669,-0.075,-0.604
'[12:32:07.504 08/02/1996]',0.032,-0.034,67.368,-0.106,-0.617
'[12:32:07.506 08/02/1996]',0.032,-0.034,67.368,-0.106,-0.617
'[12:32:07.508 08/02/1996]',0.032,-0.046,67.368,-0.106,-0.617
'[12:32:07.510 08/02/1996]',0.031,-0.058,67.368,-0.106,-0.617
'[12:32:07.512 08/02/1996]',0.030,-0.058,67.068,-0.136,-0.629
'[12:32:07.514 08/02/1996]',0.029,-0.058,67.068,-0.136,-0.629
'[12:32:07.516 08/02/1996]',0.028,-0.046,67.068,-0.136,-0.629
'[12:32:07.518 08/02/1996]',0.028,-0.046,67.068,-0.136,-0.629
'[12:32:07.520 08/02/1996]',0.027,-0.046,66.767,-0.161,-0.638
'[12:32:07.522 08/02/1996]',0.026,-0.046,66.767,-0.161,-0.638
'[12:32:07.524 08/02/1996]',0.025,-0.046,66.767,-0.161,-0.638
'[12:32:07.526 08/02/1996]',0.025,-0.058,66.767,-0.161,-0.638
'[12:32:07.528 08/02/1996]',0.024,-0.070,66.391,-0.185,-0.643
'[12:32:07.530 08/02/1996]',0.024,-0.070,66.391,-0.185,-0.643
'[12:32:07.532 08/02/1996]',0.023,-0.058,66.391,-0.185,-0.643
'[12:32:07.534 08/02/1996]',0.023,-0.046,66.391,-0.185,-0.643
'[12:32:07.536 08/02/1996]',0.023,-0.046,66.015,-0.206,-0.645
'[12:32:07.538 08/02/1996]',0.024,-0.046,66.015,-0.206,-0.645
'[12:32:07.540 08/02/1996]',0.023,-0.034,66.015,-0.206,-0.645
'[12:32:07.542 08/02/1996]',0.023,-0.034,66.015,-0.206,-0.645
'[12:32:07.544 08/02/1996]',0.022,-0.034,65.564,-0.226,-0.644
'[12:32:07.546 08/02/1996]',0.021,-0.034,65.564,-0.226,-0.644
'[12:32:07.548 08/02/1996]',0.019,-0.034,65.564,-0.226,-0.644
'[12:32:07.550 08/02/1996]',0.018,-0.022,65.564,-0.226,-0.644
'[12:32:07.552 08/02/1996]',0.015,-0.022,65.188,-0.244,-0.639
'[12:32:07.554 08/02/1996]',0.013,-0.022,65.188,-0.244,-0.639
'[12:32:07.556 08/02/1996]',0.011,-0.022,65.188,-0.244,-0.639
'[12:32:07.558 08/02/1996]',0.010,-0.034,65.188,-0.244,-0.639
'[12:32:07.560 08/02/1996]',0.008,-0.022,64.662,-0.260,-0.632
'[12:32:07.562 08/02/1996]',0.007,-0.022,64.662,-0.260,-0.632
'[12:32:07.564 08/02/1996]',0.007,-0.022,64.662,-0.260,-0.632
'[12:32:07.566 08/02/1996]',0.007,-0.011,64.662,-0.260,-0.632
'[12:32:07.568 08/02/1996]',0.009,-0.022,64.286,-0.276,-0.623
'[12:32:07.570 08/02/1996]',0.011,-0.011,64.286,-0.276,-0.623
'[12:32:07.572 08/02/1996]',0.012,-0.011,64.286,-0.276,-0.623
'[12:32:07.574 08/02/1996]',0.014,-0.022,64.286,-0.276,-0.623
'[12:32:07.576 08/02/1996]',0.014,-0.022,63.835,-0.288,-0.614
'[12:32:07.578 08/02/1996]',0.015,-0.034,63.835,-0.288,-0.614
'[12:32:07.580 08/02/1996]',0.014,-0.011,63.835,-0.288,-0.614
'[12:32:07.582 08/02/1996]',0.014,-0.011,63.835,-0.288,-0.614
'[12:32:07.584 08/02/1996]',0.013,-0.011,63.383,-0.302,-0.607
'[12:32:07.586 08/02/1996]',0.013,-0.011,63.383,-0.302,-0.607
'[12:32:07.588 08/02/1996]',0.011,-0.022,63.383,-0.302,-0.607
'[12:32:07.590 08/02/1996]',0.009,-0.034,63.383,-0.302,-0.607
'[12:32:07.592 08/02/1996]',0.006,-0.034,62.932,-0.314,-0.602
'[12:32:07.594 08/02/1996]',0.003,-0.034,62.932,-0.314,-0.602
'[12:32:07.596 08/02/1996]',0.001,-0.046,62.932,-0.314,-0.602
'[12:32:07.598 08/02/1996]',-0.001,-0.034,62.932,-0.314,-0.602
'[12:32:07.600 08/02/1996]',0.000,-0.022,62.481,-0.325,-0.599
'[12:32:07.602 08/02/1996]',0.001,-0.022,62.481,-0.325,-0.599
'[12:32:07.604 08/02/1996]',0.005,-0.022,62.481,-0.325,-0.599
'[12:32:07.606 08/02/1996]',0.009,-0.022,62.481,-0.325,-0.599
'[12:32:07.608 08/02/1996]',0.014,-0.022,62.105,-0.336,-0.599
'[12:32:07.610 08/02/1996]',0.019,-0.022,62.105,-0.336,-0.599
'[12:32:07.612 08/02/1996]',0.022,-0.022,62.105,-0.336,-0.599
'[12:32:07.614 08/02/1996]',0.026,-0.011,62.105,-0.336,-0.599
'[12:32:07.616 08/02/1996]',0.027,-0.011,61.654,-0.346,-0.602
'[12:32:07.618 08/02/1996]',0.029,-0.011,61.654,-0.346,-0.602
'[12:32:07.620 08/02/1996]',0.029,-0.011,61.654,-0.346,-0.602
'[12:32:07.622 08/02/1996]',0.029,-0.034,61.654,-0.346,-0.602
'[12:32:07.624 08/02/1996]',0.028,-0.034,61.203,-0.358,-0.608
'[12:32:07.626 08/02/1996]',0.028,-0.034,61.203,-0.358,-0.608
'[12:32:07.628 08/02/1996]',0.027,-0.034,61.203,-0.358,-0.608
'[12:32:07.630 08/02/1996]',0.026,-0.046,61.203,-0.358,-0.608
'[12:32:07.632 08/02/1996]',0.025,-0.046,60.902,-0.368,-0.617
'[12:32:07.634 08/02/1996]',0.025,-0.046,60.902,-0.368,-0.617
'[12:32:07.636 08/02/1996]',0.025,-0.034,60.902,-0.368,-0.617
'[12:32:07.638 08/02/1996]',0.026,-0.034,60.902,-0.368,-0.617
'[12:32:07.640 08/02/1996]',0.027,-0.046,60.451,-0.378,-0.625
'[12:32:07.642 08/02/1996]',0.029,-0.046,60.451,-0.378,-0.625
'[12:32:07.644 08/02/1996]',0.030,-0.046,60.451,-0.378,-0.625
'[12:32:07.646 08/02/1996]',0.031,-0.034,60.451,-0.378,-0.625
'[12:32:07.648 08/02/1996]',0.031,-0.034,60.075,-0.387,-0.634
'[12:32:07.650 08/02/1996]',0.031,-0.034,60.075,-0.387,-0.634
'[12:32:07.652 08/02/1996]',0.030,-0.034,60.075,-0.387,-0.634
'[12:32:07.654 08/02/1996]',0.029,-0.034,60.075,-0.387,-0.634
'[12:32:07.656 08/02/1996]',0.027,-0.034,59.699,-0.395,-0.641
'[12:32:07.658 08/02/1996]',0.025,-0.046,59.699,-0.395,-0.641
'[12:32:07.660 08/02/1996]',0.023,-0.058,59.699,-0.395,-0.641
'[12:32:07.662 08/02/1996]',0.022,-0.058,59.699,-0.395,-0.641
'[12:32:07.664 08/02/1996]',0.021,-0.046,59.323,-0.403,-0.648
'[12:32:07.666 08/02/1996]',0.021,-0.046,59.323,-0.403,-0.648
'[12:32:07.668 08/02/1996]',0.021,-0.046,59.323,-0.403,-0.648
'[12:32:07.670 08/02/1996]',0.022,-0.034,59.323,-0.403,-0.648
'[12:32:07.672 08/02/1996]',0.022,-0.046,59.023,-0.411,-0.654
'[12:32:07.674 08/02/1996]',0.023,-0.046,59.023,-0.411,-0.654
'[12:32:07.676 08/02/1996]',0.024,-0.058,59.023,-0.411,-0.654
'[12:32:07.678 08/02/1996]',0.025,-0.058,59.023,-0.411,-0.654
'[12:32:07.680 08/02/1996]',0.025,-0.046,58.722,-0.418,-0.658
'[12:32:07.682 08/02/1996]',0.026,-0.034,58.722,-0.418,-0.658
'[12:32:07.684 08/02/1996]',0.025,-0.034,58.722,-0.418,-0.658
'[12:32:07.686 08/02/1996]',0.024,-0.034,58.722,-0.418,-0.658
