'Time and date','III ','ABP ','PLETH ','RESP '
'[01:29:37.150 22/10/1994]',-0.089,79.000,-0.429,-0.433
'[01:29:37.152 22/10/1994]',-0.091,78.550,-0.420,-0.428
'[01:29:37.154 22/10/1994]',-0.094,78.550,-0.420,-0.428
'[01:29:37.156 22/10/1994]',-0.095,78.550,-0.420,-0.428
'[01:29:37.158 22/10/1994]',-0.095,78.550,-0.420,-0.428
'[01:29:37.160 22/10/1994]',-0.096,78.000,-0.400,-0.422
'[01:29:37.162 22/10/1994]',-0.097,78.000,-0.400,-0.422
'[01:29:37.164 22/10/1994]',-0.099,78.000,-0.400,-0.422
'[01:29:37.166 22/10/1994]',-0.100,78.000,-0.400,-0.422
'[01:29:37.168 22/10/1994]',-0.102,77.400,-0.375,-0.417
'[01:29:37.170 22/10/1994]',-0.103,77.400,-0.375,-0.417
'[01:29:37.172 22/10/1994]',-0.105,77.400,-0.375,-0.417
'[01:29:37.174 22/10/1994]',-0.107,77.400,-0.375,-0.417
'[01:29:37.176 22/10/1994]',-0.108,76.750,-0.346,-0.412
'[01:29:37.178 22/10/1994]',-0.110,76.750,-0.346,-0.412
'[01:29:37.180 22/10/1994]',-0.110,76.750,-0.346,-0.412
'[01:29:37.182 22/10/1994]',-0.110,76.750,-0.346,-0.412
'[01:29:37.184 22/10/1994]',-0.107,76.000,-0.322,-0.407
'[01:29:37.186 22/10/1994]',-0.105,76.000,-0.322,-0.407
'[01:29:37.188 22/10/1994]',-0.102,76.000,-0.322,-0.407
'[01:29:37.190 22/10/1994]',-0.098,76.000,-0.322,-0.407
'[01:29:37.192 22/10/1994]',-0.095,75.150,-0.292,-0.403
'[01:29:37.194 22/10/1994]',-0.091,75.150,-0.292,-0.403
'[01:29:37.196 22/10/1994]',-0.089,75.150,-0.292,-0.403
'[01:29:37.198 22/10/1994]',-0.087,75.150,-0.292,-0.403
'[01:29:37.200 22/10/1994]',-0.086,74.350,-0.268,-0.399
'[01:29:37.202 22/10/1994]',-0.084,74.350,-0.268,-0.399
'[01:29:37.204 22/10/1994]',-0.082,74.350,-0.268,-0.399
'[01:29:37.206 22/10/1994]',-0.080,74.350,-0.268,-0.399
'[01:29:37.208 22/10/1994]',-0.078,73.600,-0.243,-0.395
'[01:29:37.210 22/10/1994]',-0.076,73.600,-0.243,-0.395
'[01:29:37.212 22/10/1994]',-0.074,73.600,-0.243,-0.395
'[01:29:37.214 22/10/1994]',-0.072,73.600,-0.243,-0.395
'[01:29:37.216 22/10/1994]',-0.070,72.850,-0.231,-0.391
'[01:29:37.218 22/10/1994]',-0.069,72.850,-0.231,-0.391
'[01:29:37.220 22/10/1994]',-0.067,72.850,-0.231,-0.391
'[01:29:37.222 22/10/1994]',-0.065,72.850,-0.231,-0.391
'[01:29:37.224 22/10/1994]',-0.064,72.000,-0.218,-0.388
'[01:29:37.226 22/10/1994]',-0.063,72.000,-0.218,-0.388
'[01:29:37.228 22/10/1994]',-0.062,72.000,-0.218,-0.388
'[01:29:37.230 22/10/1994]',-0.062,72.000,-0.218,-0.388
'[01:29:37.232 22/10/1994]',-0.062,71.350,-0.218,-0.386
'[01:29:37.234 22/10/1994]',-0.063,71.350,-0.218,-0.386
'[01:29:37.236 22/10/1994]',-0.063,71.350,-0.218,-0.386
'[01:29:37.238 22/10/1994]',-0.063,71.350,-0.218,-0.386
'[01:29:37.240 22/10/1994]',-0.062,70.900,-0.218,-0.383
'[01:29:37.242 22/10/1994]',-0.062,70.900,-0.218,-0.383
'[01:29:37.244 22/10/1994]',-0.060,70.900,-0.218,-0.383
'[01:29:37.246 22/10/1994]',-0.059,70.900,-0.218,-0.383
'[01:29:37.248 22/10/1994]',-0.057,70.650,-0.223,-0.381
'[01:29:37.250 22/10/1994]',-0.054,70.650,-0.223,-0.381
'[01:29:37.252 22/10/1994]',-0.052,70.650,-0.223,-0.381
'[01:29:37.254 22/10/1994]',-0.051,70.650,-0.223,-0.381
'[01:29:37.256 22/10/1994]',-0.049,70.900,-0.239,-0.380
'[01:29:37.258 22/10/1994]',-0.046,70.900,-0.239,-0.380
'[01:29:37.260 22/10/1994]',-0.043,70.900,-0.239,-0.380
'[01:29:37.262 22/10/1994]',-0.039,70.900,-0.239,-0.380
'[01:29:37.264 22/10/1994]',-0.035,71.950,-0.252,-0.379
'[01:29:37.266 22/10/1994]',-0.031,71.950,-0.252,-0.379
'[01:29:37.268 22/10/1994]',-0.025,71.950,-0.252,-0.379
'[01:29:37.270 22/10/1994]',-0.020,71.950,-0.252,-0.379
'[01:29:37.272 22/10/1994]',-0.013,74.400,-0.268,-0.378
'[01:29:37.274 22/10/1994]',-0.007,74.400,-0.268,-0.378
'[01:29:37.276 22/10/1994]',0.001,74.400,-0.268,-0.378
'[01:29:37.278 22/10/1994]',0.008,74.400,-0.268,-0.378
'[01:29:37.280 22/10/1994]',0.013,79.000,-0.292,-0.378
'[01:29:37.282 22/10/1994]',0.019,79.000,-0.292,-0.378
'[01:29:37.284 22/10/1994]',0.025,79.000,-0.292,-0.378
'[01:29:37.286 22/10/1994]',0.031,79.000,-0.292,-0.378
'[01:29:37.288 22/10/1994]',0.037,85.850,-0.309,-0.378
'[01:29:37.290 22/10/1994]',0.044,85.850,-0.309,-0.378
'[01:29:37.292 22/10/1994]',0.051,85.850,-0.309,-0.378
'[01:29:37.294 22/10/1994]',0.059,85.850,-0.309,-0.378
'[01:29:37.296 22/10/1994]',0.068,94.500,-0.330,-0.378
'[01:29:37.298 22/10/1994]',0.076,94.500,-0.330,-0.378
'[01:29:37.300 22/10/1994]',0.084,94.500,-0.330,-0.378
'[01:29:37.302 22/10/1994]',0.092,94.500,-0.330,-0.378
'[01:29:37.304 22/10/1994]',0.100,103.350,-0.342,-0.379
'[01:29:37.306 22/10/1994]',0.108,103.350,-0.342,-0.379
'[01:29:37.308 22/10/1994]',0.114,103.350,-0.342,-0.379
'[01:29:37.310 22/10/1994]',0.120,103.350,-0.342,-0.379
'[01:29:37.312 22/10/1994]',0.124,111.050,-0.346,-0.379
'[01:29:37.314 22/10/1994]',0.128,111.050,-0.346,-0.379
'[01:29:37.316 22/10/1994]',0.131,111.050,-0.346,-0.379
'[01:29:37.318 22/10/1994]',0.133,111.050,-0.346,-0.379
'[01:29:37.320 22/10/1994]',0.134,116.450,-0.342,-0.380
'[01:29:37.322 22/10/1994]',0.135,116.450,-0.342,-0.380
'[01:29:37.324 22/10/1994]',0.135,116.450,-0.342,-0.380
'[01:29:37.326 22/10/1994]',0.135,116.450,-0.342,-0.380
'[01:29:37.328 22/10/1994]',0.135,119.400,-0.326,-0.380
'[01:29:37.330 22/10/1994]',0.134,119.400,-0.326,-0.380
'[01:29:37.332 22/10/1994]',0.132,119.400,-0.326,-0.380
'[01:29:37.334 22/10/1994]',0.130,119.400,-0.326,-0.380
'[01:29:37.336 22/10/1994]',0.127,120.300,-0.288,-0.381
'[01:29:37.338 22/10/1994]',0.123,120.300,-0.288,-0.381
'[01:29:37.340 22/10/1994]',0.118,120.300,-0.288,-0.381
'[01:29:37.342 22/10/1994]',0.114,120.300,-0.288,-0.381
'[01:29:37.344 22/10/1994]',0.109,119.700,-0.239,-0.382
'[01:29:37.346 22/10/1994]',0.104,119.700,-0.239,-0.382
'[01:29:37.348 22/10/1994]',0.099,119.700,-0.239,-0.382
'[01:29:37.350 22/10/1994]',0.093,119.700,-0.239,-0.382
'[01:29:37.352 22/10/1994]',0.089,118.050,-0.165,-0.383
'[01:29:37.354 22/10/1994]',0.085,118.050,-0.165,-0.383
'[01:29:37.356 22/10/1994]',0.080,118.050,-0.165,-0.383
'[01:29:37.358 22/10/1994]',0.074,118.050,-0.165,-0.383
'[01:29:37.360 22/10/1994]',0.068,115.550,-0.078,-0.384
'[01:29:37.362 22/10/1994]',0.062,115.550,-0.078,-0.384
'[01:29:37.364 22/10/1994]',0.056,115.550,-0.078,-0.384
'[01:29:37.366 22/10/1994]',0.049,115.550,-0.078,-0.384
'[01:29:37.368 22/10/1994]',0.043,112.700,0.021,-0.385
'[01:29:37.370 22/10/1994]',0.036,112.700,0.021,-0.385
'[01:29:37.372 22/10/1994]',0.030,112.700,0.021,-0.385
'[01:29:37.374 22/10/1994]',0.024,112.700,0.021,-0.385
'[01:29:37.376 22/10/1994]',0.020,109.700,0.128,-0.385
'[01:29:37.378 22/10/1994]',0.016,109.700,0.128,-0.385
'[01:29:37.380 22/10/1994]',0.013,109.700,0.128,-0.385
'[01:29:37.382 22/10/1994]',0.009,109.700,0.128,-0.385
'[01:29:37.384 22/10/1994]',0.005,106.700,0.239,-0.385
'[01:29:37.386 22/10/1994]',0.002,106.700,0.239,-0.385
'[01:29:37.388 22/10/1994]',-0.003,106.700,0.239,-0.385
'[01:29:37.390 22/10/1994]',-0.007,106.700,0.239,-0.385
'[01:29:37.392 22/10/1994]',-0.011,103.850,0.343,-0.386
'[01:29:37.394 22/10/1994]',-0.016,103.850,0.343,-0.386
'[01:29:37.396 22/10/1994]',-0.021,103.850,0.343,-0.386
'[01:29:37.398 22/10/1994]',-0.025,103.850,0.343,-0.386
'[01:29:37.400 22/10/1994]',-0.028,101.150,0.433,-0.387
'[01:29:37.402 22/10/1994]',-0.031,101.150,0.433,-0.387
'[01:29:37.404 22/10/1994]',-0.034,101.150,0.433,-0.387
'[01:29:37.406 22/10/1994]',-0.037,101.150,0.433,-0.387
'[01:29:37.408 22/10/1994]',-0.040,98.550,0.511,-0.388
'[01:29:37.410 22/10/1994]',-0.042,98.550,0.511,-0.388
'[01:29:37.412 22/10/1994]',-0.043,98.550,0.511,-0.388
'[01:29:37.414 22/10/1994]',-0.043,98.550,0.511,-0.388
'[01:29:37.416 22/10/1994]',-0.042,96.150,0.578,-0.389
'[01:29:37.418 22/10/1994]',-0.041,96.150,0.578,-0.389
'[01:29:37.420 22/10/1994]',-0.041,96.150,0.578,-0.389
'[01:29:37.422 22/10/1994]',-0.040,96.150,0.578,-0.389
'[01:29:37.424 22/10/1994]',-0.040,93.750,0.615,-0.390
'[01:29:37.426 22/10/1994]',-0.040,93.750,0.615,-0.390
'[01:29:37.428 22/10/1994]',-0.040,93.750,0.615,-0.390
'[01:29:37.430 22/10/1994]',-0.040,93.750,0.615,-0.390
'[01:29:37.432 22/10/1994]',-0.040,91.500,0.631,-0.392
'[01:29:37.434 22/10/1994]',-0.040,91.500,0.631,-0.392
'[01:29:37.436 22/10/1994]',-0.040,91.500,0.631,-0.392
'[01:29:37.438 22/10/1994]',-0.040,91.500,0.631,-0.392
'[01:29:37.440 22/10/1994]',-0.040,89.150,0.623,-0.393
'[01:29:37.442 22/10/1994]',-0.040,89.150,0.623,-0.393
'[01:29:37.444 22/10/1994]',-0.040,89.150,0.623,-0.393
'[01:29:37.446 22/10/1994]',-0.039,89.150,0.623,-0.393
'[01:29:37.448 22/10/1994]',-0.037,86.750,0.607,-0.396
'[01:29:37.450 22/10/1994]',-0.036,86.750,0.607,-0.396
'[01:29:37.452 22/10/1994]',-0.035,86.750,0.607,-0.396
'[01:29:37.454 22/10/1994]',-0.033,86.750,0.607,-0.396
'[01:29:37.456 22/10/1994]',-0.031,84.150,0.574,-0.399
'[01:29:37.458 22/10/1994]',-0.029,84.150,0.574,-0.399
'[01:29:37.460 22/10/1994]',-0.028,84.150,0.574,-0.399
'[01:29:37.462 22/10/1994]',-0.026,84.150,0.574,-0.399
'[01:29:37.464 22/10/1994]',-0.025,81.350,0.524,-0.403
'[01:29:37.466 22/10/1994]',-0.025,81.350,0.524,-0.403
'[01:29:37.468 22/10/1994]',-0.026,81.350,0.524,-0.403
'[01:29:37.470 22/10/1994]',-0.027,81.350,0.524,-0.403
'[01:29:37.472 22/10/1994]',-0.029,78.600,0.470,-0.408
'[01:29:37.474 22/10/1994]',-0.030,78.600,0.470,-0.408
'[01:29:37.476 22/10/1994]',-0.032,78.600,0.470,-0.408
'[01:29:37.478 22/10/1994]',-0.033,78.600,0.470,-0.408
'[01:29:37.480 22/10/1994]',-0.034,76.050,0.408,-0.413
'[01:29:37.482 22/10/1994]',-0.034,76.050,0.408,-0.413
'[01:29:37.484 22/10/1994]',-0.034,76.050,0.408,-0.413
'[01:29:37.486 22/10/1994]',-0.034,76.050,0.408,-0.413
'[01:29:37.488 22/10/1994]',-0.035,73.950,0.343,-0.417
'[01:29:37.490 22/10/1994]',-0.036,73.950,0.343,-0.417
'[01:29:37.492 22/10/1994]',-0.036,73.950,0.343,-0.417
'[01:29:37.494 22/10/1994]',-0.037,73.950,0.343,-0.417
'[01:29:37.496 22/10/1994]',-0.037,72.300,0.273,-0.421
'[01:29:37.498 22/10/1994]',-0.037,72.300,0.273,-0.421
'[01:29:37.500 22/10/1994]',-0.037,72.300,0.273,-0.421
'[01:29:37.502 22/10/1994]',-0.037,72.300,0.273,-0.421
'[01:29:37.504 22/10/1994]',-0.037,71.200,0.203,-0.425
'[01:29:37.506 22/10/1994]',-0.037,71.200,0.203,-0.425
'[01:29:37.508 22/10/1994]',-0.038,71.200,0.203,-0.425
'[01:29:37.510 22/10/1994]',-0.039,71.200,0.203,-0.425
'[01:29:37.512 22/10/1994]',-0.042,70.500,0.128,-0.427
'[01:29:37.514 22/10/1994]',-0.045,70.500,0.128,-0.427
'[01:29:37.516 22/10/1994]',-0.049,70.500,0.128,-0.427
'[01:29:37.518 22/10/1994]',-0.053,70.500,0.128,-0.427
'[01:29:37.520 22/10/1994]',-0.056,70.350,0.062,-0.429
'[01:29:37.522 22/10/1994]',-0.059,70.350,0.062,-0.429
'[01:29:37.524 22/10/1994]',-0.059,70.350,0.062,-0.429
'[01:29:37.526 22/10/1994]',-0.060,70.350,0.062,-0.429
'[01:29:37.528 22/10/1994]',-0.059,70.650,-0.017,-0.430
'[01:29:37.530 22/10/1994]',-0.059,70.650,-0.017,-0.430
'[01:29:37.532 22/10/1994]',-0.058,70.650,-0.017,-0.430
'[01:29:37.534 22/10/1994]',-0.056,70.650,-0.017,-0.430
'[01:29:37.536 22/10/1994]',-0.053,71.250,-0.083,-0.430
'[01:29:37.538 22/10/1994]',-0.051,71.250,-0.083,-0.430
'[01:29:37.540 22/10/1994]',-0.046,71.250,-0.083,-0.430
'[01:29:37.542 22/10/1994]',-0.041,71.250,-0.083,-0.430
'[01:29:37.544 22/10/1994]',-0.035,72.300,-0.209,-0.429
'[01:29:37.546 22/10/1994]',-0.030,72.300,-0.209,-0.429
'[01:29:37.548 22/10/1994]',-0.021,72.300,-0.209,-0.429
'[01:29:37.550 22/10/1994]',-0.013,72.300,-0.209,-0.429
'[01:29:37.552 22/10/1994]',-0.001,73.450,-0.269,-0.427
'[01:29:37.554 22/10/1994]',0.012,73.450,-0.269,-0.427
'[01:29:37.556 22/10/1994]',0.029,73.450,-0.269,-0.427
'[01:29:37.558 22/10/1994]',0.047,73.450,-0.269,-0.427
'[01:29:37.560 22/10/1994]',0.074,74.700,-0.330,-0.425
'[01:29:37.562 22/10/1994]',0.102,74.700,-0.330,-0.425
'[01:29:37.564 22/10/1994]',0.146,74.700,-0.330,-0.425
'[01:29:37.566 22/10/1994]',0.191,74.700,-0.330,-0.425
'[01:29:37.568 22/10/1994]',0.256,76.050,-0.369,-0.423
'[01:29:37.570 22/10/1994]',0.320,76.050,-0.369,-0.423
'[01:29:37.572 22/10/1994]',0.395,76.050,-0.369,-0.423
'[01:29:37.574 22/10/1994]',0.469,76.050,-0.369,-0.423
'[01:29:37.576 22/10/1994]',0.531,77.200,-0.418,-0.420
'[01:29:37.578 22/10/1994]',0.593,77.200,-0.418,-0.420
'[01:29:37.580 22/10/1994]',0.620,77.200,-0.418,-0.420
'[01:29:37.582 22/10/1994]',0.646,77.200,-0.418,-0.420
'[01:29:37.584 22/10/1994]',0.627,78.150,-0.446,-0.418
'[01:29:37.586 22/10/1994]',0.608,78.150,-0.446,-0.418
'[01:29:37.588 22/10/1994]',0.551,78.150,-0.446,-0.418
'[01:29:37.590 22/10/1994]',0.495,78.150,-0.446,-0.418
'[01:29:37.592 22/10/1994]',0.422,78.750,-0.470,-0.415
'[01:29:37.594 22/10/1994]',0.350,78.750,-0.470,-0.415
'[01:29:37.596 22/10/1994]',0.282,78.750,-0.470,-0.415
'[01:29:37.598 22/10/1994]',0.215,78.750,-0.470,-0.415
'[01:29:37.600 22/10/1994]',0.162,79.150,-0.482,-0.412
'[01:29:37.602 22/10/1994]',0.109,79.150,-0.482,-0.412
'[01:29:37.604 22/10/1994]',0.071,79.150,-0.482,-0.412
'[01:29:37.606 22/10/1994]',0.033,79.150,-0.482,-0.412
'[01:29:37.608 22/10/1994]',0.007,79.200,-0.486,-0.409
'[01:29:37.610 22/10/1994]',-0.018,79.200,-0.486,-0.409
'[01:29:37.612 22/10/1994]',-0.035,79.200,-0.486,-0.409
'[01:29:37.614 22/10/1994]',-0.051,79.200,-0.486,-0.409
'[01:29:37.616 22/10/1994]',-0.061,79.000,-0.486,-0.406
'[01:29:37.618 22/10/1994]',-0.072,79.000,-0.486,-0.406
'[01:29:37.620 22/10/1994]',-0.079,79.000,-0.486,-0.406
'[01:29:37.622 22/10/1994]',-0.086,79.000,-0.486,-0.406
'[01:29:37.624 22/10/1994]',-0.090,78.750,-0.470,-0.404
'[01:29:37.626 22/10/1994]',-0.094,78.750,-0.470,-0.404
'[01:29:37.628 22/10/1994]',-0.097,78.750,-0.470,-0.404
'[01:29:37.630 22/10/1994]',-0.100,78.750,-0.470,-0.404
'[01:29:37.632 22/10/1994]',-0.102,78.300,-0.450,-0.402
'[01:29:37.634 22/10/1994]',-0.104,78.300,-0.450,-0.402
'[01:29:37.636 22/10/1994]',-0.105,78.300,-0.450,-0.402
'[01:29:37.638 22/10/1994]',-0.106,78.300,-0.450,-0.402
'[01:29:37.640 22/10/1994]',-0.106,77.800,-0.422,-0.399
'[01:29:37.642 22/10/1994]',-0.106,77.800,-0.422,-0.399
'[01:29:37.644 22/10/1994]',-0.106,77.800,-0.422,-0.399
'[01:29:37.646 22/10/1994]',-0.106,77.800,-0.422,-0.399
'[01:29:37.648 22/10/1994]',-0.106,77.100,-0.402,-0.397
'[01:29:37.650 22/10/1994]',-0.106,77.100,-0.402,-0.397
'[01:29:37.652 22/10/1994]',-0.106,77.100,-0.402,-0.397
'[01:29:37.654 22/10/1994]',-0.106,77.100,-0.402,-0.397
'[01:29:37.656 22/10/1994]',-0.105,76.350,-0.369,-0.394
'[01:29:37.658 22/10/1994]',-0.105,76.350,-0.369,-0.394
'[01:29:37.660 22/10/1994]',-0.103,76.350,-0.369,-0.394
'[01:29:37.662 22/10/1994]',-0.101,76.350,-0.369,-0.394
'[01:29:37.664 22/10/1994]',-0.098,75.550,-0.342,-0.392
'[01:29:37.666 22/10/1994]',-0.095,75.550,-0.342,-0.392
'[01:29:37.668 22/10/1994]',-0.092,75.550,-0.342,-0.392
'[01:29:37.670 22/10/1994]',-0.090,75.550,-0.342,-0.392
'[01:29:37.672 22/10/1994]',-0.088,74.650,-0.318,-0.389
'[01:29:37.674 22/10/1994]',-0.087,74.650,-0.318,-0.389
'[01:29:37.676 22/10/1994]',-0.086,74.650,-0.318,-0.389
'[01:29:37.678 22/10/1994]',-0.085,74.650,-0.318,-0.389
'[01:29:37.680 22/10/1994]',-0.084,73.800,-0.301,-0.386
'[01:29:37.682 22/10/1994]',-0.083,73.800,-0.301,-0.386
'[01:29:37.684 22/10/1994]',-0.082,73.800,-0.301,-0.386
'[01:29:37.686 22/10/1994]',-0.080,73.800,-0.301,-0.386
'[01:29:37.688 22/10/1994]',-0.079,73.000,-0.289,-0.383
'[01:29:37.690 22/10/1994]',-0.077,73.000,-0.289,-0.383
'[01:29:37.692 22/10/1994]',-0.074,73.000,-0.289,-0.383
'[01:29:37.694 22/10/1994]',-0.072,73.000,-0.289,-0.383
'[01:29:37.696 22/10/1994]',-0.070,72.150,-0.278,-0.380
'[01:29:37.698 22/10/1994]',-0.069,72.150,-0.278,-0.380
'[01:29:37.700 22/10/1994]',-0.067,72.150,-0.278,-0.380
'[01:29:37.702 22/10/1994]',-0.065,72.150,-0.278,-0.380
'[01:29:37.704 22/10/1994]',-0.064,71.500,-0.269,-0.377
'[01:29:37.706 22/10/1994]',-0.063,71.500,-0.269,-0.377
'[01:29:37.708 22/10/1994]',-0.062,71.500,-0.269,-0.377
'[01:29:37.710 22/10/1994]',-0.062,71.500,-0.269,-0.377
'[01:29:37.712 22/10/1994]',-0.062,70.950,-0.273,-0.375
'[01:29:37.714 22/10/1994]',-0.063,70.950,-0.273,-0.375
'[01:29:37.716 22/10/1994]',-0.062,70.950,-0.273,-0.375
'[01:29:37.718 22/10/1994]',-0.062,70.950,-0.273,-0.375
'[01:29:37.720 22/10/1994]',-0.060,70.750,-0.285,-0.373
'[01:29:37.722 22/10/1994]',-0.059,70.750,-0.285,-0.373
'[01:29:37.724 22/10/1994]',-0.056,70.750,-0.285,-0.373
'[01:29:37.726 22/10/1994]',-0.053,70.750,-0.285,-0.373
'[01:29:37.728 22/10/1994]',-0.050,71.350,-0.301,-0.372
'[01:29:37.730 22/10/1994]',-0.047,71.350,-0.301,-0.372
'[01:29:37.732 22/10/1994]',-0.043,71.350,-0.301,-0.372
'[01:29:37.734 22/10/1994]',-0.039,71.350,-0.301,-0.372
'[01:29:37.736 22/10/1994]',-0.035,73.150,-0.314,-0.372
'[01:29:37.738 22/10/1994]',-0.032,73.150,-0.314,-0.372
'[01:29:37.740 22/10/1994]',-0.028,73.150,-0.314,-0.372
'[01:29:37.742 22/10/1994]',-0.024,73.150,-0.314,-0.372
'[01:29:37.744 22/10/1994]',-0.018,77.050,-0.334,-0.371
'[01:29:37.746 22/10/1994]',-0.013,77.050,-0.334,-0.371
'[01:29:37.748 22/10/1994]',-0.006,77.050,-0.334,-0.371
'[01:29:37.750 22/10/1994]',0.000,77.050,-0.334,-0.371
'[01:29:37.752 22/10/1994]',0.006,83.300,-0.353,-0.371
'[01:29:37.754 22/10/1994]',0.013,83.300,-0.353,-0.371
'[01:29:37.756 22/10/1994]',0.019,83.300,-0.353,-0.371
'[01:29:37.758 22/10/1994]',0.026,83.300,-0.353,-0.371
'[01:29:37.760 22/10/1994]',0.032,91.850,-0.369,-0.371
'[01:29:37.762 22/10/1994]',0.038,91.850,-0.369,-0.371
