'Time and date','V ','ABP ','PAP ','ART ','ART1 '
'[12:13:11.156 02/02/1995]',-0.240,62.150,36.438,57.850,53.950
'[12:13:11.158 02/02/1995]',-0.459,62.150,36.438,57.850,53.950
'[12:13:11.160 02/02/1995]',-0.656,61.850,35.913,57.850,53.650
'[12:13:11.162 02/02/1995]',-0.832,61.850,35.913,57.850,53.650
'[12:13:11.164 02/02/1995]',-0.985,61.850,35.913,57.850,53.650
'[12:13:11.166 02/02/1995]',-1.139,61.850,35.913,57.850,53.650
'[12:13:11.168 02/02/1995]',-1.205,61.600,35.625,57.800,53.350
'[12:13:11.170 02/02/1995]',-1.270,61.600,35.625,57.800,53.350
'[12:13:11.172 02/02/1995]',-1.205,61.600,35.625,57.800,53.350
'[12:13:11.174 02/02/1995]',-1.161,61.600,35.625,57.800,53.350
'[12:13:11.176 02/02/1995]',-1.051,61.300,35.625,57.750,53.050
'[12:13:11.178 02/02/1995]',-0.898,61.300,35.625,57.750,53.050
'[12:13:11.180 02/02/1995]',-0.744,61.300,35.625,57.750,53.050
'[12:13:11.182 02/02/1995]',-0.613,61.300,35.625,57.750,53.050
'[12:13:11.184 02/02/1995]',-0.525,60.950,35.800,57.650,52.700
'[12:13:11.186 02/02/1995]',-0.459,60.950,35.800,57.650,52.700
'[12:13:11.188 02/02/1995]',-0.371,60.950,35.800,57.650,52.700
'[12:13:11.190 02/02/1995]',-0.327,60.950,35.800,57.650,52.700
'[12:13:11.192 02/02/1995]',-0.240,60.750,36.025,57.500,52.400
'[12:13:11.194 02/02/1995]',-0.218,60.750,36.025,57.500,52.400
'[12:13:11.196 02/02/1995]',-0.196,60.750,36.025,57.500,52.400
'[12:13:11.198 02/02/1995]',-0.152,60.750,36.025,57.500,52.400
'[12:13:11.200 02/02/1995]',-0.108,60.500,36.325,57.400,52.100
'[12:13:11.202 02/02/1995]',-0.086,60.500,36.325,57.400,52.100
'[12:13:11.204 02/02/1995]',-0.064,60.500,36.325,57.400,52.100
'[12:13:11.206 02/02/1995]',-0.042,60.500,36.325,57.400,52.100
'[12:13:11.208 02/02/1995]',-0.020,60.250,36.675,57.300,51.900
'[12:13:11.210 02/02/1995]',0.002,60.250,36.675,57.300,51.900
'[12:13:11.212 02/02/1995]',0.002,60.250,36.675,57.300,51.900
'[12:13:11.214 02/02/1995]',0.023,60.250,36.675,57.300,51.900
'[12:13:11.216 02/02/1995]',0.023,60.050,36.913,57.100,51.700
'[12:13:11.218 02/02/1995]',0.045,60.050,36.913,57.100,51.700
'[12:13:11.220 02/02/1995]',0.045,60.050,36.913,57.100,51.700
'[12:13:11.222 02/02/1995]',0.045,60.050,36.913,57.100,51.700
'[12:13:11.224 02/02/1995]',0.045,59.850,36.962,57.000,51.500
'[12:13:11.226 02/02/1995]',0.045,59.850,36.962,57.000,51.500
'[12:13:11.228 02/02/1995]',0.045,59.850,36.962,57.000,51.500
'[12:13:11.230 02/02/1995]',0.045,59.850,36.962,57.000,51.500
'[12:13:11.232 02/02/1995]',0.045,59.600,36.850,56.850,51.300
'[12:13:11.234 02/02/1995]',0.045,59.600,36.850,56.850,51.300
'[12:13:11.236 02/02/1995]',0.067,59.600,36.850,56.850,51.300
'[12:13:11.238 02/02/1995]',0.067,59.600,36.850,56.850,51.300
'[12:13:11.240 02/02/1995]',0.045,59.450,36.612,56.700,51.050
'[12:13:11.242 02/02/1995]',0.045,59.450,36.612,56.700,51.050
'[12:13:11.244 02/02/1995]',0.067,59.450,36.612,56.700,51.050
'[12:13:11.246 02/02/1995]',0.067,59.450,36.612,56.700,51.050
'[12:13:11.248 02/02/1995]',0.067,59.200,36.200,56.500,50.850
'[12:13:11.250 02/02/1995]',0.067,59.200,36.200,56.500,50.850
'[12:13:11.252 02/02/1995]',0.067,59.200,36.200,56.500,50.850
'[12:13:11.254 02/02/1995]',0.067,59.200,36.200,56.500,50.850
'[12:13:11.256 02/02/1995]',0.067,58.900,35.913,56.400,50.600
'[12:13:11.258 02/02/1995]',0.067,58.900,35.913,56.400,50.600
'[12:13:11.260 02/02/1995]',0.045,58.900,35.913,56.400,50.600
'[12:13:11.262 02/02/1995]',0.045,58.900,35.913,56.400,50.600
'[12:13:11.264 02/02/1995]',0.067,58.650,35.975,56.300,50.400
'[12:13:11.266 02/02/1995]',0.045,58.650,35.975,56.300,50.400
'[12:13:11.268 02/02/1995]',0.045,58.650,35.975,56.300,50.400
'[12:13:11.270 02/02/1995]',0.067,58.650,35.975,56.300,50.400
'[12:13:11.272 02/02/1995]',0.045,58.350,36.438,56.300,50.250
'[12:13:11.274 02/02/1995]',0.067,58.350,36.438,56.300,50.250
'[12:13:11.276 02/02/1995]',0.067,58.350,36.438,56.300,50.250
'[12:13:11.278 02/02/1995]',0.067,58.350,36.438,56.300,50.250
'[12:13:11.280 02/02/1995]',0.067,58.150,37.025,56.300,50.000
'[12:13:11.282 02/02/1995]',0.067,58.150,37.025,56.300,50.000
'[12:13:11.284 02/02/1995]',0.067,58.150,37.025,56.300,50.000
'[12:13:11.286 02/02/1995]',0.045,58.150,37.025,56.300,50.000
'[12:13:11.288 02/02/1995]',0.045,58.050,37.263,56.250,49.850
'[12:13:11.290 02/02/1995]',0.045,58.050,37.263,56.250,49.850
'[12:13:11.292 02/02/1995]',0.045,58.050,37.263,56.250,49.850
'[12:13:11.294 02/02/1995]',0.045,58.050,37.263,56.250,49.850
'[12:13:11.296 02/02/1995]',0.045,58.000,37.025,56.150,49.850
'[12:13:11.298 02/02/1995]',0.045,58.000,37.025,56.150,49.850
'[12:13:11.300 02/02/1995]',0.045,58.000,37.025,56.150,49.850
'[12:13:11.302 02/02/1995]',0.045,58.000,37.025,56.150,49.850
'[12:13:11.304 02/02/1995]',0.045,58.000,36.850,56.050,50.050
'[12:13:11.306 02/02/1995]',0.045,58.000,36.850,56.050,50.050
'[12:13:11.308 02/02/1995]',0.045,58.000,36.850,56.050,50.050
'[12:13:11.310 02/02/1995]',0.067,58.000,36.850,56.050,50.050
'[12:13:11.312 02/02/1995]',0.045,57.900,37.025,55.850,50.700
'[12:13:11.314 02/02/1995]',0.045,57.900,37.025,55.850,50.700
'[12:13:11.316 02/02/1995]',0.045,57.900,37.025,55.850,50.700
'[12:13:11.318 02/02/1995]',0.045,57.900,37.025,55.850,50.700
'[12:13:11.320 02/02/1995]',0.045,57.800,37.375,55.700,52.000
'[12:13:11.322 02/02/1995]',0.045,57.800,37.375,55.700,52.000
'[12:13:11.324 02/02/1995]',0.045,57.800,37.375,55.700,52.000
'[12:13:11.326 02/02/1995]',0.045,57.800,37.375,55.700,52.000
'[12:13:11.328 02/02/1995]',0.045,57.650,37.725,55.650,53.800
'[12:13:11.330 02/02/1995]',0.045,57.650,37.725,55.650,53.800
'[12:13:11.332 02/02/1995]',0.045,57.650,37.725,55.650,53.800
'[12:13:11.334 02/02/1995]',0.045,57.650,37.725,55.650,53.800
'[12:13:11.336 02/02/1995]',0.045,57.450,37.900,55.800,56.050
'[12:13:11.338 02/02/1995]',0.045,57.450,37.900,55.800,56.050
'[12:13:11.340 02/02/1995]',0.045,57.450,37.900,55.800,56.050
'[12:13:11.342 02/02/1995]',0.045,57.450,37.900,55.800,56.050
'[12:13:11.344 02/02/1995]',0.045,57.400,38.025,56.650,58.500
'[12:13:11.346 02/02/1995]',0.045,57.400,38.025,56.650,58.500
'[12:13:11.348 02/02/1995]',0.045,57.400,38.025,56.650,58.500
'[12:13:11.350 02/02/1995]',0.045,57.400,38.025,56.650,58.500
'[12:13:11.352 02/02/1995]',0.045,57.550,37.962,58.500,60.800
'[12:13:11.354 02/02/1995]',0.045,57.550,37.962,58.500,60.800
'[12:13:11.356 02/02/1995]',0.045,57.550,37.962,58.500,60.800
'[12:13:11.358 02/02/1995]',0.045,57.550,37.962,58.500,60.800
'[12:13:11.360 02/02/1995]',0.067,58.100,37.850,61.550,62.800
'[12:13:11.362 02/02/1995]',0.067,58.100,37.850,61.550,62.800
'[12:13:11.364 02/02/1995]',0.067,58.100,37.850,61.550,62.800
'[12:13:11.366 02/02/1995]',0.067,58.100,37.850,61.550,62.800
'[12:13:11.368 02/02/1995]',0.067,59.150,37.725,65.500,64.200
'[12:13:11.370 02/02/1995]',0.067,59.150,37.725,65.500,64.200
'[12:13:11.372 02/02/1995]',0.089,59.150,37.725,65.500,64.200
'[12:13:11.374 02/02/1995]',0.067,59.150,37.725,65.500,64.200
'[12:13:11.376 02/02/1995]',0.067,60.900,37.675,69.450,65.150
'[12:13:11.378 02/02/1995]',0.067,60.900,37.675,69.450,65.150
'[12:13:11.380 02/02/1995]',0.067,60.900,37.675,69.450,65.150
'[12:13:11.382 02/02/1995]',0.067,60.900,37.675,69.450,65.150
'[12:13:11.384 02/02/1995]',0.067,63.300,37.675,72.550,65.650
'[12:13:11.386 02/02/1995]',0.067,63.300,37.675,72.550,65.650
'[12:13:11.388 02/02/1995]',0.067,63.300,37.675,72.550,65.650
'[12:13:11.390 02/02/1995]',0.067,63.300,37.675,72.550,65.650
'[12:13:11.392 02/02/1995]',0.067,66.200,37.788,74.350,65.850
'[12:13:11.394 02/02/1995]',0.067,66.200,37.788,74.350,65.850
'[12:13:11.396 02/02/1995]',0.089,66.200,37.788,74.350,65.850
'[12:13:11.398 02/02/1995]',0.089,66.200,37.788,74.350,65.850
'[12:13:11.400 02/02/1995]',0.089,69.300,37.900,74.900,65.850
'[12:13:11.402 02/02/1995]',0.089,69.300,37.900,74.900,65.850
'[12:13:11.404 02/02/1995]',0.067,69.300,37.900,74.900,65.850
'[12:13:11.406 02/02/1995]',0.067,69.300,37.900,74.900,65.850
'[12:13:11.408 02/02/1995]',0.067,72.150,37.962,74.700,65.600
'[12:13:11.410 02/02/1995]',0.067,72.150,37.962,74.700,65.600
'[12:13:11.412 02/02/1995]',0.067,72.150,37.962,74.700,65.600
'[12:13:11.414 02/02/1995]',0.067,72.150,37.962,74.700,65.600
'[12:13:11.416 02/02/1995]',0.067,74.500,37.900,74.200,65.300
'[12:13:11.418 02/02/1995]',0.067,74.500,37.900,74.200,65.300
'[12:13:11.420 02/02/1995]',0.067,74.500,37.900,74.200,65.300
'[12:13:11.422 02/02/1995]',0.045,74.500,37.900,74.200,65.300
'[12:13:11.424 02/02/1995]',0.067,75.950,37.675,73.750,64.900
'[12:13:11.426 02/02/1995]',0.045,75.950,37.675,73.750,64.900
'[12:13:11.428 02/02/1995]',0.067,75.950,37.675,73.750,64.900
'[12:13:11.430 02/02/1995]',0.067,75.950,37.675,73.750,64.900
'[12:13:11.432 02/02/1995]',0.045,76.500,37.263,73.550,64.450
'[12:13:11.434 02/02/1995]',0.045,76.500,37.263,73.550,64.450
'[12:13:11.436 02/02/1995]',0.045,76.500,37.263,73.550,64.450
'[12:13:11.438 02/02/1995]',0.023,76.500,37.263,73.550,64.450
'[12:13:11.440 02/02/1995]',0.002,76.300,36.737,73.550,64.000
'[12:13:11.442 02/02/1995]',0.023,76.300,36.737,73.550,64.000
'[12:13:11.444 02/02/1995]',0.002,76.300,36.737,73.550,64.000
'[12:13:11.446 02/02/1995]',-0.020,76.300,36.737,73.550,64.000
'[12:13:11.448 02/02/1995]',-0.020,75.800,36.087,73.700,63.550
'[12:13:11.450 02/02/1995]',-0.020,75.800,36.087,73.700,63.550
'[12:13:11.452 02/02/1995]',-0.020,75.800,36.087,73.700,63.550
'[12:13:11.454 02/02/1995]',-0.020,75.800,36.087,73.700,63.550
'[12:13:11.456 02/02/1995]',-0.042,75.200,35.263,73.700,63.150
'[12:13:11.458 02/02/1995]',-0.042,75.200,35.263,73.700,63.150
'[12:13:11.460 02/02/1995]',-0.042,75.200,35.263,73.700,63.150
'[12:13:11.462 02/02/1995]',-0.042,75.200,35.263,73.700,63.150
'[12:13:11.464 02/02/1995]',-0.042,74.750,34.450,73.650,62.650
'[12:13:11.466 02/02/1995]',-0.042,74.750,34.450,73.650,62.650
'[12:13:11.468 02/02/1995]',-0.064,74.750,34.450,73.650,62.650
'[12:13:11.470 02/02/1995]',-0.064,74.750,34.450,73.650,62.650
'[12:13:11.472 02/02/1995]',-0.086,74.400,33.562,73.650,62.200
'[12:13:11.474 02/02/1995]',-0.086,74.400,33.562,73.650,62.200
'[12:13:11.476 02/02/1995]',-0.086,74.400,33.562,73.650,62.200
'[12:13:11.478 02/02/1995]',-0.108,74.400,33.562,73.650,62.200
'[12:13:11.480 02/02/1995]',-0.108,74.150,32.688,73.800,61.600
'[12:13:11.482 02/02/1995]',-0.108,74.150,32.688,73.800,61.600
'[12:13:11.484 02/02/1995]',-0.108,74.150,32.688,73.800,61.600
'[12:13:11.486 02/02/1995]',-0.108,74.150,32.688,73.800,61.600
'[12:13:11.488 02/02/1995]',-0.086,74.000,31.812,74.200,61.050
'[12:13:11.490 02/02/1995]',-0.108,74.000,31.812,74.200,61.050
'[12:13:11.492 02/02/1995]',-0.086,74.000,31.812,74.200,61.050
'[12:13:11.494 02/02/1995]',-0.086,74.000,31.812,74.200,61.050
'[12:13:11.496 02/02/1995]',-0.086,73.800,31.163,74.750,60.400
'[12:13:11.498 02/02/1995]',-0.086,73.800,31.163,74.750,60.400
'[12:13:11.500 02/02/1995]',-0.086,73.800,31.163,74.750,60.400
'[12:13:11.502 02/02/1995]',-0.086,73.800,31.163,74.750,60.400
'[12:13:11.504 02/02/1995]',-0.086,73.550,30.700,75.050,59.600
'[12:13:11.506 02/02/1995]',-0.086,73.550,30.700,75.050,59.600
'[12:13:11.508 02/02/1995]',-0.086,73.550,30.700,75.050,59.600
'[12:13:11.510 02/02/1995]',-0.086,73.550,30.700,75.050,59.600
'[12:13:11.512 02/02/1995]',-0.086,73.200,30.225,75.050,58.900
'[12:13:11.514 02/02/1995]',-0.064,73.200,30.225,75.050,58.900
'[12:13:11.516 02/02/1995]',-0.086,73.200,30.225,75.050,58.900
'[12:13:11.518 02/02/1995]',-0.064,73.200,30.225,75.050,58.900
'[12:13:11.520 02/02/1995]',-0.042,72.700,29.938,74.600,58.150
'[12:13:11.522 02/02/1995]',-0.042,72.700,29.938,74.600,58.150
'[12:13:11.524 02/02/1995]',-0.020,72.700,29.938,74.600,58.150
'[12:13:11.526 02/02/1995]',-0.020,72.700,29.938,74.600,58.150
'[12:13:11.528 02/02/1995]',0.023,72.100,29.812,74.000,57.450
'[12:13:11.530 02/02/1995]',0.023,72.100,29.812,74.000,57.450
'[12:13:11.532 02/02/1995]',0.045,72.100,29.812,74.000,57.450
'[12:13:11.534 02/02/1995]',0.023,72.100,29.812,74.000,57.450
'[12:13:11.536 02/02/1995]',0.045,71.400,29.938,73.350,56.750
'[12:13:11.538 02/02/1995]',0.045,71.400,29.938,73.350,56.750
'[12:13:11.540 02/02/1995]',0.045,71.400,29.938,73.350,56.750
'[12:13:11.542 02/02/1995]',0.067,71.400,29.938,73.350,56.750
'[12:13:11.544 02/02/1995]',0.067,70.700,30.113,72.750,56.100
'[12:13:11.546 02/02/1995]',0.067,70.700,30.113,72.750,56.100
'[12:13:11.548 02/02/1995]',0.067,70.700,30.113,72.750,56.100
'[12:13:11.550 02/02/1995]',0.089,70.700,30.113,72.750,56.100
'[12:13:11.552 02/02/1995]',0.089,69.950,30.175,72.100,55.650
'[12:13:11.554 02/02/1995]',0.067,69.950,30.175,72.100,55.650
'[12:13:11.556 02/02/1995]',0.067,69.950,30.175,72.100,55.650
'[12:13:11.558 02/02/1995]',0.089,69.950,30.175,72.100,55.650
'[12:13:11.560 02/02/1995]',0.089,69.000,29.875,71.300,55.350
'[12:13:11.562 02/02/1995]',0.089,69.000,29.875,71.300,55.350
'[12:13:11.564 02/02/1995]',0.089,69.000,29.875,71.300,55.350
'[12:13:11.566 02/02/1995]',0.089,69.000,29.875,71.300,55.350
'[12:13:11.568 02/02/1995]',0.089,67.900,29.413,70.000,55.250
'[12:13:11.570 02/02/1995]',0.089,67.900,29.413,70.000,55.250
'[12:13:11.572 02/02/1995]',0.089,67.900,29.413,70.000,55.250
'[12:13:11.574 02/02/1995]',0.089,67.900,29.413,70.000,55.250
'[12:13:11.576 02/02/1995]',0.089,66.500,28.700,68.200,55.350
'[12:13:11.578 02/02/1995]',0.089,66.500,28.700,68.200,55.350
'[12:13:11.580 02/02/1995]',0.111,66.500,28.700,68.200,55.350
'[12:13:11.582 02/02/1995]',0.089,66.500,28.700,68.200,55.350
'[12:13:11.584 02/02/1995]',0.111,65.050,28.000,65.800,55.700
'[12:13:11.586 02/02/1995]',0.111,65.050,28.000,65.800,55.700
'[12:13:11.588 02/02/1995]',0.111,65.050,28.000,65.800,55.700
'[12:13:11.590 02/02/1995]',0.111,65.050,28.000,65.800,55.700
'[12:13:11.592 02/02/1995]',0.089,64.000,27.300,62.950,56.250
'[12:13:11.594 02/02/1995]',0.111,64.000,27.300,62.950,56.250
'[12:13:11.596 02/02/1995]',0.111,64.000,27.300,62.950,56.250
'[12:13:11.598 02/02/1995]',0.111,64.000,27.300,62.950,56.250
'[12:13:11.600 02/02/1995]',0.111,63.550,26.775,60.050,57.000
'[12:13:11.602 02/02/1995]',0.111,63.550,26.775,60.050,57.000
'[12:13:11.604 02/02/1995]',0.111,63.550,26.775,60.050,57.000
'[12:13:11.606 02/02/1995]',0.111,63.550,26.775,60.050,57.000
'[12:13:11.608 02/02/1995]',0.111,63.800,26.425,57.100,57.750
'[12:13:11.610 02/02/1995]',0.111,63.800,26.425,57.100,57.750
'[12:13:11.612 02/02/1995]',0.111,63.800,26.425,57.100,57.750
'[12:13:11.614 02/02/1995]',0.111,63.800,26.425,57.100,57.750
'[12:13:11.616 02/02/1995]',0.111,64.450,26.363,54.300,58.400
'[12:13:11.618 02/02/1995]',0.111,64.450,26.363,54.300,58.400
'[12:13:11.620 02/02/1995]',0.111,64.450,26.363,54.300,58.400
'[12:13:11.622 02/02/1995]',0.155,64.450,26.363,54.300,58.400
'[12:13:11.624 02/02/1995]',0.111,65.300,26.475,51.500,58.800
'[12:13:11.626 02/02/1995]',0.111,65.300,26.475,51.500,58.800
'[12:13:11.628 02/02/1995]',0.111,65.300,26.475,51.500,58.800
'[12:13:11.630 02/02/1995]',0.089,65.300,26.475,51.500,58.800
'[12:13:11.632 02/02/1995]',0.111,66.400,26.600,48.550,58.850
'[12:13:11.634 02/02/1995]',0.111,66.400,26.600,48.550,58.850
'[12:13:11.636 02/02/1995]',0.111,66.400,26.600,48.550,58.850
'[12:13:11.638 02/02/1995]',0.111,66.400,26.600,48.550,58.850
'[12:13:11.640 02/02/1995]',0.111,67.600,26.600,45.700,58.550
'[12:13:11.642 02/02/1995]',0.111,67.600,26.600,45.700,58.550
'[12:13:11.644 02/02/1995]',0.111,67.600,26.600,45.700,58.550
'[12:13:11.646 02/02/1995]',0.111,67.600,26.600,45.700,58.550
'[12:13:11.648 02/02/1995]',0.111,68.400,26.300,42.850,58.050
'[12:13:11.650 02/02/1995]',0.111,68.400,26.300,42.850,58.050
'[12:13:11.652 02/02/1995]',0.111,68.400,26.300,42.850,58.050
'[12:13:11.654 02/02/1995]',0.111,68.400,26.300,42.850,58.050
'[12:13:11.656 02/02/1995]',0.155,68.550,25.775,40.100,57.300
'[12:13:11.658 02/02/1995]',0.111,68.550,25.775,40.100,57.300
'[12:13:11.660 02/02/1995]',0.111,68.550,25.775,40.100,57.300
'[12:13:11.662 02/02/1995]',0.111,68.550,25.775,40.100,57.300
'[12:13:11.664 02/02/1995]',0.089,67.850,24.837,37.350,56.350
'[12:13:11.666 02/02/1995]',0.089,67.850,24.837,37.350,56.350
'[12:13:11.668 02/02/1995]',0.111,67.850,24.837,37.350,56.350
'[12:13:11.670 02/02/1995]',0.089,67.850,24.837,37.350,56.350
'[12:13:11.672 02/02/1995]',0.111,66.400,23.613,34.850,55.300
'[12:13:11.674 02/02/1995]',0.111,66.400,23.613,34.850,55.300
'[12:13:11.676 02/02/1995]',0.111,66.400,23.613,34.850,55.300
'[12:13:11.678 02/02/1995]',0.111,66.400,23.613,34.850,55.300
'[12:13:11.680 02/02/1995]',0.111,64.500,22.200,33.650,54.150
'[12:13:11.682 02/02/1995]',0.111,64.500,22.200,33.650,54.150
'[12:13:11.684 02/02/1995]',0.111,64.500,22.200,33.650,54.150
'[12:13:11.686 02/02/1995]',0.089,64.500,22.200,33.650,54.150
'[12:13:11.688 02/02/1995]',0.089,62.250,20.800,35.700,52.950
'[12:13:11.690 02/02/1995]',0.111,62.250,20.800,35.700,52.950
'[12:13:11.692 02/02/1995]',0.111,62.250,20.800,35.700,52.950
'[12:13:11.694 02/02/1995]',0.111,62.250,20.800,35.700,52.950
'[12:13:11.696 02/02/1995]',0.111,59.850,19.325,41.800,51.650
'[12:13:11.698 02/02/1995]',0.111,59.850,19.325,41.800,51.650
'[12:13:11.700 02/02/1995]',0.111,59.850,19.325,41.800,51.650
'[12:13:11.702 02/02/1995]',0.155,59.850,19.325,41.800,51.650
'[12:13:11.704 02/02/1995]',0.177,57.500,18.038,50.000,50.350
'[12:13:11.706 02/02/1995]',0.221,57.500,18.038,50.000,50.350
'[12:13:11.708 02/02/1995]',0.221,57.500,18.038,50.000,50.350
'[12:13:11.710 02/02/1995]',0.199,57.500,18.038,50.000,50.350
'[12:13:11.712 02/02/1995]',0.111,55.650,17.050,56.450,49.000
'[12:13:11.714 02/02/1995]',0.067,55.650,17.050,56.450,49.000
'[12:13:11.716 02/02/1995]',-0.042,55.650,17.050,56.450,49.000
'[12:13:11.718 02/02/1995]',-0.218,55.650,17.050,56.450,49.000
'[12:13:11.720 02/02/1995]',-0.459,54.550,16.288,58.550,47.750
'[12:13:11.722 02/02/1995]',-0.634,54.550,16.288,58.550,47.750
'[12:13:11.724 02/02/1995]',-0.832,54.550,16.288,58.550,47.750
