'Time and date','II ','II ','V ','PAP ','PLETH ','RESP '
'[12:49:04.044 25/01/1995]',-0.072,-0.068,-0.030,22.965,-0.417,-0.462
'[12:49:04.046 25/01/1995]',-0.072,-0.068,-0.030,22.965,-0.417,-0.462
'[12:49:04.048 25/01/1995]',-0.072,-0.068,-0.030,25.151,-0.421,-0.466
'[12:49:04.050 25/01/1995]',-0.057,-0.068,-0.030,25.151,-0.421,-0.466
'[12:49:04.052 25/01/1995]',-0.057,-0.068,-0.030,25.151,-0.421,-0.466
'[12:49:04.054 25/01/1995]',-0.057,-0.068,-0.030,25.151,-0.421,-0.466
'[12:49:04.056 25/01/1995]',-0.057,-0.068,-0.030,26.508,-0.426,-0.470
'[12:49:04.058 25/01/1995]',-0.043,-0.033,-0.030,26.508,-0.426,-0.470
'[12:49:04.060 25/01/1995]',-0.028,-0.033,0.003,26.508,-0.426,-0.470
'[12:49:04.062 25/01/1995]',-0.013,0.003,0.003,26.508,-0.426,-0.470
'[12:49:04.064 25/01/1995]',0.001,0.003,0.003,26.683,-0.431,-0.475
'[12:49:04.066 25/01/1995]',0.001,0.003,0.003,26.683,-0.431,-0.475
'[12:49:04.068 25/01/1995]',0.001,0.003,0.003,26.683,-0.431,-0.475
'[12:49:04.070 25/01/1995]',0.001,0.003,0.003,26.683,-0.431,-0.475
'[12:49:04.072 25/01/1995]',0.015,0.003,0.003,26.080,-0.435,-0.478
'[12:49:04.074 25/01/1995]',0.015,0.003,0.003,26.080,-0.435,-0.478
'[12:49:04.076 25/01/1995]',0.030,0.037,0.003,26.080,-0.435,-0.478
'[12:49:04.078 25/01/1995]',0.045,0.037,0.003,26.080,-0.435,-0.478
'[12:49:04.080 25/01/1995]',0.059,0.037,0.003,25.503,-0.440,-0.480
'[12:49:04.082 25/01/1995]',0.059,0.073,0.003,25.503,-0.440,-0.480
'[12:49:04.084 25/01/1995]',0.074,0.073,0.003,25.503,-0.440,-0.480
'[12:49:04.086 25/01/1995]',0.074,0.073,0.003,25.503,-0.440,-0.480
'[12:49:04.088 25/01/1995]',0.089,0.073,0.003,25.377,-0.444,-0.481
'[12:49:04.090 25/01/1995]',0.104,0.073,0.003,25.377,-0.444,-0.481
'[12:49:04.092 25/01/1995]',0.104,0.109,0.003,25.377,-0.444,-0.481
'[12:49:04.094 25/01/1995]',0.118,0.109,0.003,25.377,-0.444,-0.481
'[12:49:04.096 25/01/1995]',0.148,0.145,0.003,25.678,-0.448,-0.481
'[12:49:04.098 25/01/1995]',0.148,0.145,0.003,25.678,-0.448,-0.481
'[12:49:04.100 25/01/1995]',0.162,0.145,0.003,25.678,-0.448,-0.481
'[12:49:04.102 25/01/1995]',0.177,0.181,0.003,25.678,-0.448,-0.481
'[12:49:04.104 25/01/1995]',0.162,0.181,0.003,26.332,-0.453,-0.479
'[12:49:04.106 25/01/1995]',0.177,0.181,0.003,26.332,-0.453,-0.479
'[12:49:04.108 25/01/1995]',0.192,0.181,0.003,26.332,-0.453,-0.479
'[12:49:04.110 25/01/1995]',0.192,0.217,0.035,26.332,-0.453,-0.479
'[12:49:04.112 25/01/1995]',0.207,0.217,0.035,27.211,-0.458,-0.477
'[12:49:04.114 25/01/1995]',0.207,0.217,0.035,27.211,-0.458,-0.477
'[12:49:04.116 25/01/1995]',0.207,0.217,0.035,27.211,-0.458,-0.477
'[12:49:04.118 25/01/1995]',0.207,0.217,0.035,27.211,-0.458,-0.477
'[12:49:04.120 25/01/1995]',0.221,0.217,0.068,28.518,-0.463,-0.473
'[12:49:04.122 25/01/1995]',0.235,0.252,0.068,28.518,-0.463,-0.473
'[12:49:04.124 25/01/1995]',0.250,0.252,0.102,28.518,-0.463,-0.473
'[12:49:04.126 25/01/1995]',0.250,0.252,0.102,28.518,-0.463,-0.473
'[12:49:04.128 25/01/1995]',0.265,0.288,0.102,30.402,-0.463,-0.469
'[12:49:04.130 25/01/1995]',0.279,0.288,0.135,30.402,-0.463,-0.469
'[12:49:04.132 25/01/1995]',0.279,0.288,0.135,30.402,-0.463,-0.469
'[12:49:04.134 25/01/1995]',0.279,0.288,0.135,30.402,-0.463,-0.469
'[12:49:04.136 25/01/1995]',0.279,0.288,0.135,32.739,-0.468,-0.466
'[12:49:04.138 25/01/1995]',0.279,0.288,0.135,32.739,-0.468,-0.466
'[12:49:04.140 25/01/1995]',0.279,0.288,0.135,32.739,-0.468,-0.466
'[12:49:04.142 25/01/1995]',0.265,0.288,0.102,32.739,-0.468,-0.466
'[12:49:04.144 25/01/1995]',0.250,0.252,0.102,35.402,-0.470,-0.462
'[12:49:04.146 25/01/1995]',0.250,0.252,0.102,35.402,-0.470,-0.462
'[12:49:04.148 25/01/1995]',0.235,0.252,0.068,35.402,-0.470,-0.462
'[12:49:04.150 25/01/1995]',0.221,0.217,0.068,35.402,-0.470,-0.462
'[12:49:04.152 25/01/1995]',0.207,0.217,0.068,38.040,-0.470,-0.458
'[12:49:04.154 25/01/1995]',0.192,0.217,0.068,38.040,-0.470,-0.458
'[12:49:04.156 25/01/1995]',0.192,0.181,0.035,38.040,-0.470,-0.458
'[12:49:04.158 25/01/1995]',0.162,0.181,0.035,38.040,-0.470,-0.458
'[12:49:04.160 25/01/1995]',0.148,0.145,0.035,40.528,-0.468,-0.454
'[12:49:04.162 25/01/1995]',0.133,0.145,0.035,40.528,-0.468,-0.454
'[12:49:04.164 25/01/1995]',0.118,0.109,0.035,40.528,-0.468,-0.454
'[12:49:04.166 25/01/1995]',0.104,0.109,0.003,40.528,-0.468,-0.454
'[12:49:04.168 25/01/1995]',0.089,0.073,0.003,42.814,-0.459,-0.450
'[12:49:04.170 25/01/1995]',0.074,0.073,0.003,42.814,-0.459,-0.450
'[12:49:04.172 25/01/1995]',0.059,0.073,0.003,42.814,-0.459,-0.450
'[12:49:04.174 25/01/1995]',0.045,0.037,0.003,42.814,-0.459,-0.450
'[12:49:04.176 25/01/1995]',0.030,0.037,0.003,44.874,-0.442,-0.445
'[12:49:04.178 25/01/1995]',0.015,0.037,0.003,44.874,-0.442,-0.445
'[12:49:04.180 25/01/1995]',0.015,0.003,0.003,44.874,-0.442,-0.445
'[12:49:04.182 25/01/1995]',0.015,0.003,0.003,44.874,-0.442,-0.445
'[12:49:04.184 25/01/1995]',0.015,0.003,0.003,46.709,-0.414,-0.441
'[12:49:04.186 25/01/1995]',0.001,0.003,0.003,46.709,-0.414,-0.441
'[12:49:04.188 25/01/1995]',-0.013,0.003,0.003,46.709,-0.414,-0.441
'[12:49:04.190 25/01/1995]',-0.028,-0.033,-0.030,46.709,-0.414,-0.441
'[12:49:04.192 25/01/1995]',-0.043,-0.033,-0.030,48.342,-0.373,-0.436
'[12:49:04.194 25/01/1995]',-0.043,-0.033,-0.030,48.342,-0.373,-0.436
'[12:49:04.196 25/01/1995]',-0.057,-0.033,-0.030,48.342,-0.373,-0.436
'[12:49:04.198 25/01/1995]',-0.072,-0.068,-0.030,48.342,-0.373,-0.436
'[12:49:04.200 25/01/1995]',-0.087,-0.068,-0.030,49.824,-0.321,-0.432
'[12:49:04.202 25/01/1995]',-0.087,-0.068,-0.030,49.824,-0.321,-0.432
'[12:49:04.204 25/01/1995]',-0.102,-0.068,-0.030,49.824,-0.321,-0.432
'[12:49:04.206 25/01/1995]',-0.102,-0.104,-0.030,49.824,-0.321,-0.432
'[12:49:04.208 25/01/1995]',-0.102,-0.104,-0.030,50.955,-0.255,-0.429
'[12:49:04.210 25/01/1995]',-0.102,-0.104,-0.030,50.955,-0.255,-0.429
'[12:49:04.212 25/01/1995]',-0.102,-0.068,-0.030,50.955,-0.255,-0.429
'[12:49:04.214 25/01/1995]',-0.102,-0.068,0.003,50.955,-0.255,-0.429
'[12:49:04.216 25/01/1995]',-0.087,-0.068,0.003,51.709,-0.178,-0.426
'[12:49:04.218 25/01/1995]',-0.087,-0.068,0.003,51.709,-0.178,-0.426
'[12:49:04.220 25/01/1995]',-0.072,-0.068,0.003,51.709,-0.178,-0.426
'[12:49:04.222 25/01/1995]',-0.072,-0.068,0.003,51.709,-0.178,-0.426
'[12:49:04.224 25/01/1995]',-0.072,-0.068,0.003,52.010,-0.095,-0.423
'[12:49:04.226 25/01/1995]',-0.072,-0.068,0.003,52.010,-0.095,-0.423
'[12:49:04.228 25/01/1995]',-0.072,-0.068,0.003,52.010,-0.095,-0.423
'[12:49:04.230 25/01/1995]',-0.072,-0.068,0.003,52.010,-0.095,-0.423
'[12:49:04.232 25/01/1995]',-0.072,-0.068,0.003,52.010,-0.007,-0.421
'[12:49:04.234 25/01/1995]',-0.072,-0.068,0.003,52.010,-0.007,-0.421
'[12:49:04.236 25/01/1995]',-0.057,-0.033,0.003,52.010,-0.007,-0.421
'[12:49:04.238 25/01/1995]',-0.057,-0.033,0.003,52.010,-0.007,-0.421
'[12:49:04.240 25/01/1995]',-0.057,-0.033,0.003,51.759,0.081,-0.418
'[12:49:04.242 25/01/1995]',-0.057,-0.033,0.003,51.759,0.081,-0.418
'[12:49:04.244 25/01/1995]',-0.057,-0.033,0.003,51.759,0.081,-0.418
'[12:49:04.246 25/01/1995]',-0.057,-0.033,0.003,51.759,0.081,-0.418
'[12:49:04.248 25/01/1995]',-0.057,-0.033,0.003,51.357,0.164,-0.415
'[12:49:04.250 25/01/1995]',-0.057,-0.033,0.003,51.357,0.164,-0.415
'[12:49:04.252 25/01/1995]',-0.043,-0.033,0.003,51.357,0.164,-0.415
'[12:49:04.254 25/01/1995]',-0.028,-0.033,0.003,51.357,0.164,-0.415
'[12:49:04.256 25/01/1995]',-0.028,-0.033,0.003,50.704,0.240,-0.412
'[12:49:04.258 25/01/1995]',-0.028,-0.033,0.003,50.704,0.240,-0.412
'[12:49:04.260 25/01/1995]',-0.028,-0.033,0.003,50.704,0.240,-0.412
'[12:49:04.262 25/01/1995]',-0.028,-0.033,0.003,50.704,0.240,-0.412
'[12:49:04.264 25/01/1995]',-0.028,0.003,0.003,49.874,0.305,-0.412
'[12:49:04.266 25/01/1995]',-0.028,0.003,0.003,49.874,0.305,-0.412
'[12:49:04.268 25/01/1995]',-0.028,0.003,0.003,49.874,0.305,-0.412
'[12:49:04.270 25/01/1995]',-0.013,0.003,0.003,49.874,0.305,-0.412
'[12:49:04.272 25/01/1995]',-0.013,0.003,0.003,48.869,0.359,-0.412
'[12:49:04.274 25/01/1995]',0.001,0.003,0.035,48.869,0.359,-0.412
'[12:49:04.276 25/01/1995]',0.015,0.003,0.035,48.869,0.359,-0.412
'[12:49:04.278 25/01/1995]',0.030,0.037,0.068,48.869,0.359,-0.412
'[12:49:04.280 25/01/1995]',0.045,0.037,0.068,47.764,0.402,-0.414
'[12:49:04.282 25/01/1995]',0.059,0.037,0.102,47.764,0.402,-0.414
'[12:49:04.284 25/01/1995]',0.045,0.037,0.102,47.764,0.402,-0.414
'[12:49:04.286 25/01/1995]',0.045,0.037,0.102,47.764,0.402,-0.414
'[12:49:04.288 25/01/1995]',0.030,0.037,0.102,46.407,0.432,-0.417
'[12:49:04.290 25/01/1995]',0.030,0.037,0.102,46.407,0.432,-0.417
'[12:49:04.292 25/01/1995]',0.015,0.003,0.102,46.407,0.432,-0.417
'[12:49:04.294 25/01/1995]',0.015,0.003,0.102,46.407,0.432,-0.417
'[12:49:04.296 25/01/1995]',0.015,0.003,0.068,44.698,0.452,-0.421
'[12:49:04.298 25/01/1995]',0.015,0.003,0.068,44.698,0.452,-0.421
'[12:49:04.300 25/01/1995]',0.001,0.003,0.068,44.698,0.452,-0.421
'[12:49:04.302 25/01/1995]',0.001,0.003,0.068,44.698,0.452,-0.421
'[12:49:04.304 25/01/1995]',0.001,0.003,0.035,42.688,0.463,-0.425
'[12:49:04.306 25/01/1995]',0.001,0.003,0.035,42.688,0.463,-0.425
'[12:49:04.308 25/01/1995]',0.001,0.003,0.035,42.688,0.463,-0.425
'[12:49:04.310 25/01/1995]',0.001,0.003,0.035,42.688,0.463,-0.425
'[12:49:04.312 25/01/1995]',-0.013,0.003,0.035,40.628,0.466,-0.429
'[12:49:04.314 25/01/1995]',-0.013,0.003,0.003,40.628,0.466,-0.429
'[12:49:04.316 25/01/1995]',-0.013,0.003,0.003,40.628,0.466,-0.429
'[12:49:04.318 25/01/1995]',-0.028,0.003,0.003,40.628,0.466,-0.429
'[12:49:04.320 25/01/1995]',-0.028,-0.033,0.003,38.819,0.460,-0.434
'[12:49:04.322 25/01/1995]',-0.028,-0.033,0.003,38.819,0.460,-0.434
'[12:49:04.324 25/01/1995]',-0.043,-0.033,0.003,38.819,0.460,-0.434
'[12:49:04.326 25/01/1995]',-0.057,-0.033,0.003,38.819,0.460,-0.434
'[12:49:04.328 25/01/1995]',-0.057,-0.033,0.003,37.337,0.448,-0.439
'[12:49:04.330 25/01/1995]',-0.057,-0.033,0.003,37.337,0.448,-0.439
'[12:49:04.332 25/01/1995]',-0.057,-0.068,0.003,37.337,0.448,-0.439
'[12:49:04.334 25/01/1995]',-0.057,-0.068,-0.030,37.337,0.448,-0.439
'[12:49:04.336 25/01/1995]',-0.072,-0.068,0.003,35.930,0.429,-0.444
'[12:49:04.338 25/01/1995]',-0.057,-0.068,-0.030,35.930,0.429,-0.444
'[12:49:04.340 25/01/1995]',-0.072,-0.068,-0.030,35.930,0.429,-0.444
'[12:49:04.342 25/01/1995]',-0.072,-0.068,-0.030,35.930,0.429,-0.444
'[12:49:04.344 25/01/1995]',-0.072,-0.068,0.003,34.347,0.405,-0.448
'[12:49:04.346 25/01/1995]',-0.072,-0.068,-0.030,34.347,0.405,-0.448
'[12:49:04.348 25/01/1995]',-0.072,-0.068,-0.030,34.347,0.405,-0.448
'[12:49:04.350 25/01/1995]',-0.072,-0.068,0.003,34.347,0.405,-0.448
'[12:49:04.352 25/01/1995]',-0.072,-0.068,0.003,32.563,0.375,-0.453
'[12:49:04.354 25/01/1995]',-0.072,-0.068,-0.030,32.563,0.375,-0.453
'[12:49:04.356 25/01/1995]',-0.072,-0.068,-0.030,32.563,0.375,-0.453
'[12:49:04.358 25/01/1995]',-0.072,-0.068,-0.030,32.563,0.375,-0.453
'[12:49:04.360 25/01/1995]',-0.087,-0.068,-0.030,31.030,0.342,-0.457
'[12:49:04.362 25/01/1995]',-0.087,-0.068,-0.030,31.030,0.342,-0.457
'[12:49:04.364 25/01/1995]',-0.087,-0.068,-0.030,31.030,0.342,-0.457
'[12:49:04.366 25/01/1995]',-0.102,-0.068,0.003,31.030,0.342,-0.457
'[12:49:04.368 25/01/1995]',-0.087,-0.068,0.003,30.151,0.302,-0.460
'[12:49:04.370 25/01/1995]',-0.072,-0.068,0.003,30.151,0.302,-0.460
'[12:49:04.372 25/01/1995]',-0.072,-0.068,0.003,30.151,0.302,-0.460
'[12:49:04.374 25/01/1995]',-0.072,-0.068,0.003,30.151,0.302,-0.460
'[12:49:04.376 25/01/1995]',-0.057,-0.068,0.003,29.925,0.260,-0.463
'[12:49:04.378 25/01/1995]',-0.057,-0.068,0.003,29.925,0.260,-0.463
'[12:49:04.380 25/01/1995]',-0.057,-0.033,0.003,29.925,0.260,-0.463
'[12:49:04.382 25/01/1995]',-0.072,-0.068,0.003,29.925,0.260,-0.463
'[12:49:04.384 25/01/1995]',-0.072,-0.068,0.003,30.025,0.215,-0.466
'[12:49:04.386 25/01/1995]',-0.072,-0.068,0.003,30.025,0.215,-0.466
'[12:49:04.388 25/01/1995]',-0.072,-0.068,0.003,30.025,0.215,-0.466
'[12:49:04.390 25/01/1995]',-0.072,-0.068,0.003,30.025,0.215,-0.466
'[12:49:04.392 25/01/1995]',-0.072,-0.068,0.003,30.101,0.169,-0.468
'[12:49:04.394 25/01/1995]',-0.057,-0.068,0.003,30.101,0.169,-0.468
'[12:49:04.396 25/01/1995]',-0.057,-0.033,0.003,30.101,0.169,-0.468
'[12:49:04.398 25/01/1995]',-0.057,-0.033,0.003,30.101,0.169,-0.468
'[12:49:04.400 25/01/1995]',-0.057,-0.033,0.003,29.925,0.122,-0.469
'[12:49:04.402 25/01/1995]',-0.057,-0.033,0.003,29.925,0.122,-0.469
'[12:49:04.404 25/01/1995]',-0.057,-0.033,0.003,29.925,0.122,-0.469
'[12:49:04.406 25/01/1995]',-0.043,-0.033,0.003,29.925,0.122,-0.469
'[12:49:04.408 25/01/1995]',-0.043,-0.033,0.003,29.623,0.073,-0.470
'[12:49:04.410 25/01/1995]',-0.057,-0.033,0.003,29.623,0.073,-0.470
'[12:49:04.412 25/01/1995]',-0.057,-0.033,0.003,29.623,0.073,-0.470
'[12:49:04.414 25/01/1995]',-0.057,-0.033,0.003,29.623,0.073,-0.470
'[12:49:04.416 25/01/1995]',-0.057,-0.068,0.003,29.397,0.028,-0.471
'[12:49:04.418 25/01/1995]',-0.057,-0.068,0.003,29.397,0.028,-0.471
'[12:49:04.420 25/01/1995]',-0.057,-0.068,0.003,29.397,0.028,-0.471
'[12:49:04.422 25/01/1995]',-0.072,-0.068,0.003,29.397,0.028,-0.471
'[12:49:04.424 25/01/1995]',-0.057,-0.033,0.003,29.397,-0.018,-0.472
'[12:49:04.426 25/01/1995]',-0.057,-0.033,0.003,29.397,-0.018,-0.472
'[12:49:04.428 25/01/1995]',-0.057,-0.033,0.003,29.397,-0.018,-0.472
'[12:49:04.430 25/01/1995]',-0.028,-0.033,0.035,29.397,-0.018,-0.472
'[12:49:04.432 25/01/1995]',-0.013,0.003,0.035,29.573,-0.059,-0.474
'[12:49:04.434 25/01/1995]',-0.013,0.003,0.035,29.573,-0.059,-0.474
'[12:49:04.436 25/01/1995]',-0.013,0.003,0.035,29.573,-0.059,-0.474
'[12:49:04.438 25/01/1995]',-0.013,0.003,0.068,29.573,-0.059,-0.474
'[12:49:04.440 25/01/1995]',0.001,0.003,0.068,29.673,-0.100,-0.476
'[12:49:04.442 25/01/1995]',0.001,0.003,0.068,29.673,-0.100,-0.476
'[12:49:04.444 25/01/1995]',0.001,0.003,0.068,29.673,-0.100,-0.476
'[12:49:04.446 25/01/1995]',-0.013,0.003,0.068,29.673,-0.100,-0.476
'[12:49:04.448 25/01/1995]',0.001,0.003,0.068,29.749,-0.137,-0.478
'[12:49:04.450 25/01/1995]',0.001,0.003,0.068,29.749,-0.137,-0.478
'[12:49:04.452 25/01/1995]',0.001,0.003,0.035,29.749,-0.137,-0.478
'[12:49:04.454 25/01/1995]',0.001,0.003,0.035,29.749,-0.137,-0.478
'[12:49:04.456 25/01/1995]',-0.013,0.003,0.035,29.673,-0.170,-0.481
'[12:49:04.458 25/01/1995]',-0.013,0.003,0.035,29.673,-0.170,-0.481
'[12:49:04.460 25/01/1995]',-0.013,0.003,0.035,29.673,-0.170,-0.481
'[12:49:04.462 25/01/1995]',-0.028,0.003,0.035,29.673,-0.170,-0.481
'[12:49:04.464 25/01/1995]',-0.028,-0.033,0.003,29.673,-0.200,-0.483
'[12:49:04.466 25/01/1995]',-0.043,-0.033,0.003,29.673,-0.200,-0.483
'[12:49:04.468 25/01/1995]',-0.057,-0.033,0.003,29.673,-0.200,-0.483
'[12:49:04.470 25/01/1995]',-0.043,-0.033,0.003,29.673,-0.200,-0.483
'[12:49:04.472 25/01/1995]',-0.043,-0.033,0.003,29.749,-0.225,-0.486
'[12:49:04.474 25/01/1995]',-0.057,-0.033,0.003,29.749,-0.225,-0.486
'[12:49:04.476 25/01/1995]',-0.057,-0.068,0.003,29.749,-0.225,-0.486
'[12:49:04.478 25/01/1995]',-0.057,-0.068,0.003,29.749,-0.225,-0.486
'[12:49:04.480 25/01/1995]',-0.057,-0.068,0.003,29.849,-0.247,-0.490
'[12:49:04.482 25/01/1995]',-0.057,-0.068,0.003,29.849,-0.247,-0.490
'[12:49:04.484 25/01/1995]',-0.057,-0.068,0.035,29.849,-0.247,-0.490
'[12:49:04.486 25/01/1995]',-0.057,-0.033,0.035,29.849,-0.247,-0.490
'[12:49:04.488 25/01/1995]',-0.043,-0.033,0.068,29.849,-0.267,-0.494
'[12:49:04.490 25/01/1995]',-0.028,-0.033,0.068,29.849,-0.267,-0.494
'[12:49:04.492 25/01/1995]',-0.013,-0.033,0.068,29.849,-0.267,-0.494
'[12:49:04.494 25/01/1995]',-0.013,0.003,0.035,29.849,-0.267,-0.494
'[12:49:04.496 25/01/1995]',0.001,0.003,0.035,29.749,-0.282,-0.498
'[12:49:04.498 25/01/1995]',0.001,0.003,0.003,29.749,-0.282,-0.498
'[12:49:04.500 25/01/1995]',0.030,0.037,0.003,29.749,-0.282,-0.498
'[12:49:04.502 25/01/1995]',0.074,0.073,0.003,29.749,-0.282,-0.498
'[12:49:04.504 25/01/1995]',0.162,0.145,0.003,29.397,-0.297,-0.503
'[12:49:04.506 25/01/1995]',0.221,0.252,0.003,29.397,-0.297,-0.503
'[12:49:04.508 25/01/1995]',0.309,0.360,0.003,29.397,-0.297,-0.503
'[12:49:04.510 25/01/1995]',0.426,0.467,0.003,29.397,-0.297,-0.503
'[12:49:04.512 25/01/1995]',0.470,0.503,0.003,28.970,-0.308,-0.508
'[12:49:04.514 25/01/1995]',0.455,0.503,-0.030,28.970,-0.308,-0.508
'[12:49:04.516 25/01/1995]',0.412,0.432,-0.064,28.970,-0.308,-0.508
'[12:49:04.518 25/01/1995]',0.324,0.324,-0.064,28.970,-0.308,-0.508
'[12:49:04.520 25/01/1995]',0.162,0.181,-0.097,28.568,-0.319,-0.512
'[12:49:04.522 25/01/1995]',0.030,0.037,-0.131,28.568,-0.319,-0.512
'[12:49:04.524 25/01/1995]',-0.072,-0.068,-0.164,28.568,-0.319,-0.512
'[12:49:04.526 25/01/1995]',-0.205,-0.212,-0.164,28.568,-0.319,-0.512
'[12:49:04.528 25/01/1995]',-0.292,-0.319,-0.198,28.216,-0.328,-0.515
'[12:49:04.530 25/01/1995]',-0.366,-0.391,-0.198,28.216,-0.328,-0.515
'[12:49:04.532 25/01/1995]',-0.439,-0.463,-0.198,28.216,-0.328,-0.515
'[12:49:04.534 25/01/1995]',-0.497,-0.533,-0.198,28.216,-0.328,-0.515
'[12:49:04.536 25/01/1995]',-0.512,-0.533,-0.231,27.864,-0.335,-0.518
'[12:49:04.538 25/01/1995]',-0.512,-0.533,-0.231,27.864,-0.335,-0.518
'[12:49:04.540 25/01/1995]',-0.512,-0.533,-0.231,27.864,-0.335,-0.518
'[12:49:04.542 25/01/1995]',-0.497,-0.533,-0.231,27.864,-0.335,-0.518
'[12:49:04.544 25/01/1995]',-0.453,-0.463,-0.231,27.563,-0.340,-0.521
'[12:49:04.546 25/01/1995]',-0.395,-0.391,-0.198,27.563,-0.340,-0.521
'[12:49:04.548 25/01/1995]',-0.336,-0.355,-0.164,27.563,-0.340,-0.521
'[12:49:04.550 25/01/1995]',-0.277,-0.283,-0.131,27.563,-0.340,-0.521
'[12:49:04.552 25/01/1995]',-0.219,-0.212,-0.097,27.161,-0.346,-0.523
'[12:49:04.554 25/01/1995]',-0.160,-0.176,-0.064,27.161,-0.346,-0.523
'[12:49:04.556 25/01/1995]',-0.146,-0.140,-0.030,27.161,-0.346,-0.523
'[12:49:04.558 25/01/1995]',-0.116,-0.104,-0.030,27.161,-0.346,-0.523
'[12:49:04.560 25/01/1995]',-0.102,-0.104,0.003,26.683,-0.349,-0.526
'[12:49:04.562 25/01/1995]',-0.102,-0.104,0.003,26.683,-0.349,-0.526
'[12:49:04.564 25/01/1995]',-0.102,-0.104,0.003,26.683,-0.349,-0.526
'[12:49:04.566 25/01/1995]',-0.102,-0.104,0.003,26.683,-0.349,-0.526
'[12:49:04.568 25/01/1995]',-0.087,-0.068,0.003,26.256,-0.353,-0.528
'[12:49:04.570 25/01/1995]',-0.087,-0.104,0.003,26.256,-0.353,-0.528
'[12:49:04.572 25/01/1995]',-0.087,-0.068,0.003,26.256,-0.353,-0.528
'[12:49:04.574 25/01/1995]',-0.072,-0.068,0.003,26.256,-0.353,-0.528
'[12:49:04.576 25/01/1995]',-0.072,-0.068,0.003,25.905,-0.357,-0.530
'[12:49:04.578 25/01/1995]',-0.072,-0.068,0.003,25.905,-0.357,-0.530
'[12:49:04.580 25/01/1995]',-0.072,-0.068,0.003,25.905,-0.357,-0.530
'[12:49:04.582 25/01/1995]',-0.072,-0.068,0.003,25.905,-0.357,-0.530
'[12:49:04.584 25/01/1995]',-0.072,-0.068,0.003,25.678,-0.361,-0.531
'[12:49:04.586 25/01/1995]',-0.072,-0.068,0.003,25.678,-0.361,-0.531
'[12:49:04.588 25/01/1995]',-0.057,-0.068,0.003,25.678,-0.361,-0.531
'[12:49:04.590 25/01/1995]',-0.057,-0.068,0.003,25.678,-0.361,-0.531
'[12:49:04.592 25/01/1995]',-0.057,-0.068,0.003,25.553,-0.364,-0.532
'[12:49:04.594 25/01/1995]',-0.057,-0.068,0.003,25.553,-0.364,-0.532
'[12:49:04.596 25/01/1995]',-0.057,-0.068,0.003,25.553,-0.364,-0.532
'[12:49:04.598 25/01/1995]',-0.057,-0.033,0.035,25.553,-0.364,-0.532
'[12:49:04.600 25/01/1995]',-0.028,-0.033,0.035,25.503,-0.367,-0.533
'[12:49:04.602 25/01/1995]',-0.028,-0.033,0.035,25.503,-0.367,-0.533
'[12:49:04.604 25/01/1995]',-0.013,0.003,0.068,25.503,-0.367,-0.533
'[12:49:04.606 25/01/1995]',0.001,0.003,0.068,25.503,-0.367,-0.533
'[12:49:04.608 25/01/1995]',0.015,0.003,0.068,25.452,-0.372,-0.533
'[12:49:04.610 25/01/1995]',0.030,0.003,0.102,25.452,-0.372,-0.533
'[12:49:04.612 25/01/1995]',0.030,0.003,0.102,25.452,-0.372,-0.533
