'Time and date','II','V','ABP','PAP','PLETH','RESP'
'[09:44:11.184 23/06/1995]',-0.065,0.143,59.799,27.623,0.000,-0.592
'[09:44:11.186 23/06/1995]',-0.073,0.143,59.799,27.623,0.000,-0.592
'[09:44:11.188 23/06/1995]',-0.065,0.143,59.799,27.623,0.000,-0.592
'[09:44:11.190 23/06/1995]',-0.056,0.143,59.799,27.623,0.000,-0.592
'[09:44:11.192 23/06/1995]',-0.065,0.143,59.446,28.274,0.000,-0.595
'[09:44:11.194 23/06/1995]',-0.056,0.143,59.446,28.274,0.000,-0.595
'[09:44:11.196 23/06/1995]',-0.065,0.143,59.446,28.274,0.000,-0.595
'[09:44:11.198 23/06/1995]',-0.056,0.143,59.446,28.274,0.000,-0.595
'[09:44:11.200 23/06/1995]',-0.056,0.143,59.094,28.849,0.000,-0.599
'[09:44:11.202 23/06/1995]',-0.048,0.143,59.094,28.849,0.000,-0.599
'[09:44:11.204 23/06/1995]',-0.056,0.143,59.094,28.849,0.000,-0.599
'[09:44:11.206 23/06/1995]',-0.065,0.143,59.094,28.849,0.000,-0.599
'[09:44:11.208 23/06/1995]',-0.056,0.143,58.742,29.324,0.000,-0.604
'[09:44:11.210 23/06/1995]',-0.056,0.143,58.742,29.324,0.000,-0.604
'[09:44:11.212 23/06/1995]',-0.065,0.143,58.742,29.324,0.000,-0.604
'[09:44:11.214 23/06/1995]',-0.065,0.143,58.742,29.324,0.000,-0.604
'[09:44:11.216 23/06/1995]',-0.065,0.143,58.389,29.625,0.000,-0.609
'[09:44:11.218 23/06/1995]',-0.065,0.143,58.389,29.625,0.000,-0.609
'[09:44:11.220 23/06/1995]',-0.065,0.143,58.389,29.625,0.000,-0.609
'[09:44:11.222 23/06/1995]',-0.065,0.143,58.389,29.625,0.000,-0.609
'[09:44:11.224 23/06/1995]',-0.065,0.143,58.087,29.725,0.000,-0.614
'[09:44:11.226 23/06/1995]',-0.065,0.143,58.087,29.725,0.000,-0.614
'[09:44:11.228 23/06/1995]',-0.065,0.143,58.087,29.725,0.000,-0.614
'[09:44:11.230 23/06/1995]',-0.073,0.143,58.087,29.725,0.000,-0.614
'[09:44:11.232 23/06/1995]',-0.073,0.143,57.835,29.725,0.000,-0.618
'[09:44:11.234 23/06/1995]',-0.073,0.143,57.835,29.725,0.000,-0.618
'[09:44:11.236 23/06/1995]',-0.065,0.143,57.835,29.725,0.000,-0.618
'[09:44:11.238 23/06/1995]',-0.065,0.143,57.835,29.725,0.000,-0.618
'[09:44:11.240 23/06/1995]',-0.073,0.143,57.986,29.625,0.000,-0.622
'[09:44:11.242 23/06/1995]',-0.073,0.143,57.986,29.625,0.000,-0.622
'[09:44:11.244 23/06/1995]',-0.073,0.143,57.986,29.625,0.000,-0.622
'[09:44:11.246 23/06/1995]',-0.073,0.143,57.986,29.625,0.000,-0.622
'[09:44:11.248 23/06/1995]',-0.073,0.143,58.691,29.450,0.000,-0.626
'[09:44:11.250 23/06/1995]',-0.073,0.143,58.691,29.450,0.000,-0.626
'[09:44:11.252 23/06/1995]',-0.073,0.143,58.691,29.450,0.000,-0.626
'[09:44:11.254 23/06/1995]',-0.081,0.119,58.691,29.450,0.000,-0.626
'[09:44:11.256 23/06/1995]',-0.081,0.143,60.302,29.500,0.000,-0.629
'[09:44:11.258 23/06/1995]',-0.081,0.143,60.302,29.500,0.000,-0.629
'[09:44:11.260 23/06/1995]',-0.081,0.119,60.302,29.500,0.000,-0.629
'[09:44:11.262 23/06/1995]',-0.081,0.119,60.302,29.500,0.000,-0.629
'[09:44:11.264 23/06/1995]',-0.081,0.119,63.221,29.850,0.000,-0.632
'[09:44:11.266 23/06/1995]',-0.081,0.119,63.221,29.850,0.000,-0.632
'[09:44:11.268 23/06/1995]',-0.081,0.119,63.221,29.850,0.000,-0.632
'[09:44:11.270 23/06/1995]',-0.073,0.119,63.221,29.850,0.000,-0.632
'[09:44:11.272 23/06/1995]',-0.081,0.095,67.148,30.676,0.000,-0.635
'[09:44:11.274 23/06/1995]',-0.065,0.095,67.148,30.676,0.000,-0.635
'[09:44:11.276 23/06/1995]',-0.073,0.072,67.148,30.676,0.000,-0.635
'[09:44:11.278 23/06/1995]',-0.065,0.095,67.148,30.676,0.000,-0.635
'[09:44:11.280 23/06/1995]',-0.065,0.095,71.929,31.852,0.000,-0.638
'[09:44:11.282 23/06/1995]',-0.073,0.095,71.929,31.852,0.000,-0.638
'[09:44:11.284 23/06/1995]',-0.065,0.095,71.929,31.852,0.000,-0.638
'[09:44:11.286 23/06/1995]',-0.073,0.095,71.929,31.852,0.000,-0.638
'[09:44:11.288 23/06/1995]',-0.065,0.095,77.265,33.303,0.000,-0.641
'[09:44:11.290 23/06/1995]',-0.065,0.072,77.265,33.303,0.000,-0.641
'[09:44:11.292 23/06/1995]',-0.073,0.072,77.265,33.303,0.000,-0.641
'[09:44:11.294 23/06/1995]',-0.073,0.072,77.265,33.303,0.000,-0.641
'[09:44:11.296 23/06/1995]',-0.081,0.072,82.903,35.129,0.000,-0.643
'[09:44:11.298 23/06/1995]',-0.073,0.072,82.903,35.129,0.000,-0.643
'[09:44:11.300 23/06/1995]',-0.073,0.072,82.903,35.129,0.000,-0.643
'[09:44:11.302 23/06/1995]',-0.065,0.072,82.903,35.129,0.000,-0.643
'[09:44:11.304 23/06/1995]',-0.056,0.048,88.741,37.181,0.000,-0.644
'[09:44:11.306 23/06/1995]',-0.056,0.048,88.741,37.181,0.000,-0.644
'[09:44:11.308 23/06/1995]',-0.056,0.048,88.741,37.181,0.000,-0.644
'[09:44:11.310 23/06/1995]',-0.056,0.048,88.741,37.181,0.000,-0.644
'[09:44:11.312 23/06/1995]',-0.056,0.048,94.580,39.458,0.000,-0.645
'[09:44:11.314 23/06/1995]',-0.056,0.048,94.580,39.458,0.000,-0.645
'[09:44:11.316 23/06/1995]',-0.056,0.048,94.580,39.458,0.000,-0.645
'[09:44:11.318 23/06/1995]',-0.056,0.048,94.580,39.458,0.000,-0.645
'[09:44:11.320 23/06/1995]',-0.048,0.072,100.319,41.810,0.000,-0.645
'[09:44:11.322 23/06/1995]',-0.048,0.048,100.319,41.810,0.000,-0.645
'[09:44:11.324 23/06/1995]',-0.048,0.048,100.319,41.810,0.000,-0.645
'[09:44:11.326 23/06/1995]',-0.048,0.048,100.319,41.810,0.000,-0.645
'[09:44:11.328 23/06/1995]',-0.048,0.048,105.705,44.162,0.000,-0.644
'[09:44:11.330 23/06/1995]',-0.048,0.048,105.705,44.162,0.000,-0.644
'[09:44:11.332 23/06/1995]',-0.048,0.048,105.705,44.162,0.000,-0.644
'[09:44:11.334 23/06/1995]',-0.040,0.048,105.705,44.162,0.000,-0.644
'[09:44:11.336 23/06/1995]',-0.040,0.048,110.537,46.264,0.000,-0.641
'[09:44:11.338 23/06/1995]',-0.032,0.048,110.537,46.264,0.000,-0.641
'[09:44:11.340 23/06/1995]',-0.032,0.048,110.537,46.264,0.000,-0.641
'[09:44:11.342 23/06/1995]',-0.032,0.025,110.537,46.264,0.000,-0.641
'[09:44:11.344 23/06/1995]',-0.032,0.025,114.715,47.915,0.000,-0.638
'[09:44:11.346 23/06/1995]',-0.032,0.025,114.715,47.915,0.000,-0.638
'[09:44:11.348 23/06/1995]',-0.024,0.025,114.715,47.915,0.000,-0.638
'[09:44:11.350 23/06/1995]',-0.024,0.025,114.715,47.915,0.000,-0.638
'[09:44:11.352 23/06/1995]',-0.016,0.025,118.188,49.016,0.000,-0.633
'[09:44:11.354 23/06/1995]',-0.007,0.025,118.188,49.016,0.000,-0.633
'[09:44:11.356 23/06/1995]',-0.007,0.025,118.188,49.016,0.000,-0.633
'[09:44:11.358 23/06/1995]',-0.007,0.002,118.188,49.016,0.000,-0.633
'[09:44:11.360 23/06/1995]',-0.007,0.002,120.956,49.566,0.000,-0.628
'[09:44:11.362 23/06/1995]',-0.016,0.002,120.956,49.566,0.000,-0.628
'[09:44:11.364 23/06/1995]',-0.007,0.002,120.956,49.566,0.000,-0.628
'[09:44:11.366 23/06/1995]',-0.007,0.002,120.956,49.566,0.000,-0.628
'[09:44:11.368 23/06/1995]',0.001,0.002,122.970,49.616,0.000,-0.622
'[09:44:11.370 23/06/1995]',0.009,0.002,122.970,49.616,0.000,-0.622
'[09:44:11.372 23/06/1995]',0.009,0.002,122.970,49.616,0.000,-0.622
'[09:44:11.374 23/06/1995]',0.009,0.002,122.970,49.616,0.000,-0.622
'[09:44:11.376 23/06/1995]',0.009,0.002,124.278,49.216,0.000,-0.615
'[09:44:11.378 23/06/1995]',0.017,0.002,124.278,49.216,0.000,-0.615
'[09:44:11.380 23/06/1995]',0.017,0.002,124.278,49.216,0.000,-0.615
'[09:44:11.382 23/06/1995]',0.009,0.002,124.278,49.216,0.000,-0.615
'[09:44:11.384 23/06/1995]',0.009,0.002,124.882,48.490,0.000,-0.607
'[09:44:11.386 23/06/1995]',0.009,0.002,124.882,48.490,0.000,-0.607
'[09:44:11.388 23/06/1995]',0.017,0.002,124.882,48.490,0.000,-0.607
'[09:44:11.390 23/06/1995]',0.001,0.002,124.882,48.490,0.000,-0.607
'[09:44:11.392 23/06/1995]',0.009,0.002,124.933,47.565,0.000,-0.599
'[09:44:11.394 23/06/1995]',0.017,0.002,124.933,47.565,0.000,-0.599
'[09:44:11.396 23/06/1995]',0.017,0.002,124.933,47.565,0.000,-0.599
'[09:44:11.398 23/06/1995]',0.025,0.002,124.933,47.565,0.000,-0.599
'[09:44:11.400 23/06/1995]',0.025,0.002,124.379,46.514,0.000,-0.591
'[09:44:11.402 23/06/1995]',0.025,0.002,124.379,46.514,0.000,-0.591
'[09:44:11.404 23/06/1995]',0.025,0.002,124.379,46.514,0.000,-0.591
'[09:44:11.406 23/06/1995]',0.025,0.002,124.379,46.514,0.000,-0.591
'[09:44:11.408 23/06/1995]',0.025,0.002,123.423,45.263,0.000,-0.582
'[09:44:11.410 23/06/1995]',0.017,0.002,123.423,45.263,0.000,-0.582
'[09:44:11.412 23/06/1995]',0.017,0.002,123.423,45.263,0.000,-0.582
'[09:44:11.414 23/06/1995]',0.009,0.002,123.423,45.263,0.000,-0.582
'[09:44:11.416 23/06/1995]',0.025,0.002,122.064,43.811,0.000,-0.573
'[09:44:11.418 23/06/1995]',0.025,0.002,122.064,43.811,0.000,-0.573
'[09:44:11.420 23/06/1995]',0.033,0.002,122.064,43.811,0.000,-0.573
'[09:44:11.422 23/06/1995]',0.033,0.002,122.064,43.811,0.000,-0.573
'[09:44:11.424 23/06/1995]',0.025,0.002,120.352,42.235,0.000,-0.564
'[09:44:11.426 23/06/1995]',0.025,0.002,120.352,42.235,0.000,-0.564
'[09:44:11.428 23/06/1995]',0.017,0.002,120.352,42.235,0.000,-0.564
'[09:44:11.430 23/06/1995]',0.009,0.002,120.352,42.235,0.000,-0.564
'[09:44:11.432 23/06/1995]',0.009,0.002,118.389,40.534,0.000,-0.553
'[09:44:11.434 23/06/1995]',0.001,0.002,118.389,40.534,0.000,-0.553
'[09:44:11.436 23/06/1995]',0.009,0.002,118.389,40.534,0.000,-0.553
'[09:44:11.438 23/06/1995]',0.009,0.002,118.389,40.534,0.000,-0.553
'[09:44:11.440 23/06/1995]',0.017,0.002,116.124,38.832,0.000,-0.543
'[09:44:11.442 23/06/1995]',0.017,0.002,116.124,38.832,0.000,-0.543
'[09:44:11.444 23/06/1995]',0.017,0.002,116.124,38.832,0.000,-0.543
'[09:44:11.446 23/06/1995]',0.017,0.002,116.124,38.832,0.000,-0.543
'[09:44:11.448 23/06/1995]',0.017,0.002,113.658,37.231,0.000,-0.532
'[09:44:11.450 23/06/1995]',0.017,0.002,113.658,37.231,0.000,-0.532
'[09:44:11.452 23/06/1995]',0.017,0.002,113.658,37.231,0.000,-0.532
'[09:44:11.454 23/06/1995]',0.017,0.002,113.658,37.231,0.000,-0.532
'[09:44:11.456 23/06/1995]',0.009,0.002,110.889,35.780,0.000,-0.522
'[09:44:11.458 23/06/1995]',0.009,0.002,110.889,35.780,0.000,-0.522
'[09:44:11.460 23/06/1995]',0.001,0.002,110.889,35.780,0.000,-0.522
'[09:44:11.462 23/06/1995]',0.001,0.002,110.889,35.780,0.000,-0.522
'[09:44:11.464 23/06/1995]',0.001,0.025,107.919,34.429,0.000,-0.511
'[09:44:11.466 23/06/1995]',0.001,0.025,107.919,34.429,0.000,-0.511
'[09:44:11.468 23/06/1995]',0.001,0.025,107.919,34.429,0.000,-0.511
'[09:44:11.470 23/06/1995]',0.001,0.025,107.919,34.429,0.000,-0.511
'[09:44:11.472 23/06/1995]',0.009,0.002,104.748,33.128,0.000,-0.501
'[09:44:11.474 23/06/1995]',0.009,0.002,104.748,33.128,0.000,-0.501
'[09:44:11.476 23/06/1995]',0.009,0.002,104.748,33.128,0.000,-0.501
'[09:44:11.478 23/06/1995]',0.009,0.002,104.748,33.128,0.000,-0.501
'[09:44:11.480 23/06/1995]',0.009,0.025,101.325,31.776,0.000,-0.490
'[09:44:11.482 23/06/1995]',0.017,0.002,101.325,31.776,0.000,-0.490
'[09:44:11.484 23/06/1995]',0.017,0.002,101.325,31.776,0.000,-0.490
'[09:44:11.486 23/06/1995]',0.017,0.002,101.325,31.776,0.000,-0.490
'[09:44:11.488 23/06/1995]',0.017,0.002,97.701,30.500,0.000,-0.479
'[09:44:11.490 23/06/1995]',0.009,0.025,97.701,30.500,0.000,-0.479
'[09:44:11.492 23/06/1995]',0.009,0.025,97.701,30.500,0.000,-0.479
'[09:44:11.494 23/06/1995]',0.009,0.025,97.701,30.500,0.000,-0.479
'[09:44:11.496 23/06/1995]',0.001,0.025,94.027,29.324,0.000,-0.469
'[09:44:11.498 23/06/1995]',0.009,0.025,94.027,29.324,0.000,-0.469
'[09:44:11.500 23/06/1995]',0.009,0.025,94.027,29.324,0.000,-0.469
'[09:44:11.502 23/06/1995]',0.009,0.002,94.027,29.324,0.000,-0.469
'[09:44:11.504 23/06/1995]',0.017,0.002,90.403,28.374,0.000,-0.457
'[09:44:11.506 23/06/1995]',0.017,0.002,90.403,28.374,0.000,-0.457
'[09:44:11.508 23/06/1995]',0.017,0.002,90.403,28.374,0.000,-0.457
'[09:44:11.510 23/06/1995]',0.017,0.002,90.403,28.374,0.000,-0.457
'[09:44:11.512 23/06/1995]',0.017,0.002,86.929,27.623,0.000,-0.445
'[09:44:11.514 23/06/1995]',0.017,0.002,86.929,27.623,0.000,-0.445
'[09:44:11.516 23/06/1995]',0.017,0.002,86.929,27.623,0.000,-0.445
'[09:44:11.518 23/06/1995]',0.017,0.002,86.929,27.623,0.000,-0.445
'[09:44:11.520 23/06/1995]',0.009,0.002,83.758,27.048,0.000,-0.432
'[09:44:11.522 23/06/1995]',0.017,0.002,83.758,27.048,0.000,-0.432
'[09:44:11.524 23/06/1995]',0.009,0.002,83.758,27.048,0.000,-0.432
'[09:44:11.526 23/06/1995]',0.009,0.002,83.758,27.048,0.000,-0.432
'[09:44:11.528 23/06/1995]',0.009,0.002,80.889,26.622,0.000,-0.419
'[09:44:11.530 23/06/1995]',0.009,0.002,80.889,26.622,0.000,-0.419
'[09:44:11.532 23/06/1995]',0.017,0.002,80.889,26.622,0.000,-0.419
'[09:44:11.534 23/06/1995]',0.017,0.002,80.889,26.622,0.000,-0.419
'[09:44:11.536 23/06/1995]',0.025,0.002,78.423,26.497,0.000,-0.406
'[09:44:11.538 23/06/1995]',0.025,0.002,78.423,26.497,0.000,-0.406
'[09:44:11.540 23/06/1995]',0.033,0.002,78.423,26.497,0.000,-0.406
'[09:44:11.542 23/06/1995]',0.025,0.002,78.423,26.497,0.000,-0.406
'[09:44:11.544 23/06/1995]',0.025,0.002,76.359,26.797,0.000,-0.393
'[09:44:11.546 23/06/1995]',0.017,0.002,76.359,26.797,0.000,-0.393
'[09:44:11.548 23/06/1995]',0.009,0.002,76.359,26.797,0.000,-0.393
'[09:44:11.550 23/06/1995]',0.009,0.002,76.359,26.797,0.000,-0.393
'[09:44:11.552 23/06/1995]',0.009,0.002,74.648,27.448,0.000,-0.379
'[09:44:11.554 23/06/1995]',0.017,0.002,74.648,27.448,0.000,-0.379
'[09:44:11.556 23/06/1995]',0.017,0.002,74.648,27.448,0.000,-0.379
'[09:44:11.558 23/06/1995]',0.025,0.002,74.648,27.448,0.000,-0.379
'[09:44:11.560 23/06/1995]',0.025,0.002,73.188,28.499,0.000,-0.365
'[09:44:11.562 23/06/1995]',0.041,0.002,73.188,28.499,0.000,-0.365
'[09:44:11.564 23/06/1995]',0.041,0.002,73.188,28.499,0.000,-0.365
'[09:44:11.566 23/06/1995]',0.049,0.025,73.188,28.499,0.000,-0.365
'[09:44:11.568 23/06/1995]',0.066,0.025,72.080,29.800,0.000,-0.352
'[09:44:11.570 23/06/1995]',0.057,0.002,72.080,29.800,0.000,-0.352
'[09:44:11.572 23/06/1995]',0.066,0.025,72.080,29.800,0.000,-0.352
'[09:44:11.574 23/06/1995]',0.066,0.002,72.080,29.800,0.000,-0.352
'[09:44:11.576 23/06/1995]',0.074,0.002,71.124,31.076,0.000,-0.339
'[09:44:11.578 23/06/1995]',0.074,0.025,71.124,31.076,0.000,-0.339
'[09:44:11.580 23/06/1995]',0.082,0.025,71.124,31.076,0.000,-0.339
'[09:44:11.582 23/06/1995]',0.082,0.002,71.124,31.076,0.000,-0.339
'[09:44:11.584 23/06/1995]',0.082,0.002,70.369,32.252,0.000,-0.325
'[09:44:11.586 23/06/1995]',0.090,0.002,70.369,32.252,0.000,-0.325
'[09:44:11.588 23/06/1995]',0.090,0.002,70.369,32.252,0.000,-0.325
'[09:44:11.590 23/06/1995]',0.106,-0.021,70.369,32.252,0.000,-0.325
'[09:44:11.592 23/06/1995]',0.106,-0.021,69.715,33.128,0.000,-0.311
'[09:44:11.594 23/06/1995]',0.106,-0.021,69.715,33.128,0.000,-0.311
'[09:44:11.596 23/06/1995]',0.122,-0.045,69.715,33.128,0.000,-0.311
'[09:44:11.598 23/06/1995]',0.115,-0.045,69.715,33.128,0.000,-0.311
'[09:44:11.600 23/06/1995]',0.115,-0.045,69.211,33.553,0.000,-0.298
'[09:44:11.602 23/06/1995]',0.115,-0.069,69.211,33.553,0.000,-0.298
'[09:44:11.604 23/06/1995]',0.115,-0.069,69.211,33.553,0.000,-0.298
'[09:44:11.606 23/06/1995]',0.115,-0.069,69.211,33.553,0.000,-0.298
'[09:44:11.608 23/06/1995]',0.115,-0.045,68.809,33.553,0.000,-0.284
'[09:44:11.610 23/06/1995]',0.115,-0.069,68.809,33.553,0.000,-0.284
'[09:44:11.612 23/06/1995]',0.115,-0.069,68.809,33.553,0.000,-0.284
'[09:44:11.614 23/06/1995]',0.122,-0.069,68.809,33.553,0.000,-0.284
'[09:44:11.616 23/06/1995]',0.122,-0.069,68.456,33.128,0.000,-0.271
'[09:44:11.618 23/06/1995]',0.115,-0.069,68.456,33.128,0.000,-0.271
'[09:44:11.620 23/06/1995]',0.106,-0.069,68.456,33.128,0.000,-0.271
'[09:44:11.622 23/06/1995]',0.098,-0.045,68.456,33.128,0.000,-0.271
'[09:44:11.624 23/06/1995]',0.082,-0.045,68.154,32.377,0.000,-0.257
'[09:44:11.626 23/06/1995]',0.074,-0.021,68.154,32.377,0.000,-0.257
'[09:44:11.628 23/06/1995]',0.049,-0.021,68.154,32.377,0.000,-0.257
'[09:44:11.630 23/06/1995]',0.041,-0.021,68.154,32.377,0.000,-0.257
'[09:44:11.632 23/06/1995]',0.033,0.002,67.953,31.376,0.000,-0.242
'[09:44:11.634 23/06/1995]',0.025,0.002,67.953,31.376,0.000,-0.242
