'Time and date','II','V','ABP','PAP','UAP','PLETH','RESP'
'[09:05:54.144 05/12/1995]',0.094,0.030,46.576,35.900,79.650,-0.447,-0.527
'[09:05:54.146 05/12/1995]',0.114,0.053,46.576,35.900,79.650,-0.447,-0.527
'[09:05:54.148 05/12/1995]',0.135,0.089,46.576,35.900,79.650,-0.447,-0.527
'[09:05:54.150 05/12/1995]',0.135,0.112,46.576,35.900,79.650,-0.447,-0.527
'[09:05:54.152 05/12/1995]',0.176,0.142,46.426,36.550,79.850,-0.450,-0.528
'[09:05:54.154 05/12/1995]',0.217,0.159,46.426,36.550,79.850,-0.450,-0.528
'[09:05:54.156 05/12/1995]',0.279,0.165,46.426,36.550,79.850,-0.450,-0.528
'[09:05:54.158 05/12/1995]',0.331,0.177,46.426,36.550,79.850,-0.450,-0.528
'[09:05:54.160 05/12/1995]',0.382,0.195,46.351,36.375,80.050,-0.454,-0.529
'[09:05:54.162 05/12/1995]',0.413,0.200,46.351,36.375,80.050,-0.454,-0.529
'[09:05:54.164 05/12/1995]',0.413,0.206,46.351,36.375,80.050,-0.454,-0.529
'[09:05:54.166 05/12/1995]',0.434,0.200,46.351,36.375,80.050,-0.454,-0.529
'[09:05:54.168 05/12/1995]',0.444,0.200,46.276,35.550,80.300,-0.456,-0.530
'[09:05:54.170 05/12/1995]',0.475,0.183,46.276,35.550,80.300,-0.456,-0.530
'[09:05:54.172 05/12/1995]',0.496,0.165,46.276,35.550,80.300,-0.456,-0.530
'[09:05:54.174 05/12/1995]',0.516,0.142,46.276,35.550,80.300,-0.456,-0.530
'[09:05:54.176 05/12/1995]',0.516,0.130,46.126,34.625,80.550,-0.457,-0.531
'[09:05:54.178 05/12/1995]',0.506,0.112,46.126,34.625,80.550,-0.457,-0.531
'[09:05:54.180 05/12/1995]',0.485,0.100,46.126,34.625,80.550,-0.457,-0.531
'[09:05:54.182 05/12/1995]',0.454,0.094,46.126,34.625,80.550,-0.457,-0.531
'[09:05:54.184 05/12/1995]',0.424,0.077,46.051,33.975,80.900,-0.460,-0.532
'[09:05:54.186 05/12/1995]',0.403,0.053,46.051,33.975,80.900,-0.460,-0.532
'[09:05:54.188 05/12/1995]',0.403,0.030,46.051,33.975,80.900,-0.460,-0.532
'[09:05:54.190 05/12/1995]',0.403,0.006,46.051,33.975,80.900,-0.460,-0.532
'[09:05:54.192 05/12/1995]',0.403,0.001,45.976,33.925,81.150,-0.461,-0.533
'[09:05:54.194 05/12/1995]',0.424,0.001,45.976,33.925,81.150,-0.461,-0.533
'[09:05:54.196 05/12/1995]',0.403,0.001,45.976,33.925,81.150,-0.461,-0.533
'[09:05:54.198 05/12/1995]',0.382,0.001,45.976,33.925,81.150,-0.461,-0.533
'[09:05:54.200 05/12/1995]',0.351,0.001,45.826,34.550,81.300,-0.461,-0.535
'[09:05:54.202 05/12/1995]',0.341,-0.005,45.826,34.550,81.300,-0.461,-0.535
'[09:05:54.204 05/12/1995]',0.341,-0.005,45.826,34.550,81.300,-0.461,-0.535
'[09:05:54.206 05/12/1995]',0.351,-0.011,45.826,34.550,81.300,-0.461,-0.535
'[09:05:54.208 05/12/1995]',0.351,-0.011,45.751,35.725,81.400,-0.461,-0.536
'[09:05:54.210 05/12/1995]',0.331,-0.011,45.751,35.725,81.400,-0.461,-0.536
'[09:05:54.212 05/12/1995]',0.310,-0.005,45.751,35.725,81.400,-0.461,-0.536
'[09:05:54.214 05/12/1995]',0.269,0.001,45.751,35.725,81.400,-0.461,-0.536
'[09:05:54.216 05/12/1995]',0.217,0.006,45.676,37.200,81.500,-0.462,-0.538
'[09:05:54.218 05/12/1995]',0.186,0.006,45.676,37.200,81.500,-0.462,-0.538
'[09:05:54.220 05/12/1995]',0.165,0.006,45.676,37.200,81.500,-0.462,-0.538
'[09:05:54.222 05/12/1995]',0.135,0.006,45.676,37.200,81.500,-0.462,-0.538
'[09:05:54.224 05/12/1995]',0.094,0.001,45.526,38.425,81.550,-0.463,-0.539
'[09:05:54.226 05/12/1995]',0.073,0.001,45.526,38.425,81.550,-0.463,-0.539
'[09:05:54.228 05/12/1995]',0.031,0.001,45.526,38.425,81.550,-0.463,-0.539
'[09:05:54.230 05/12/1995]',0.001,0.006,45.526,38.425,81.550,-0.463,-0.539
'[09:05:54.232 05/12/1995]',-0.030,0.012,45.451,38.950,81.650,-0.462,-0.541
'[09:05:54.234 05/12/1995]',-0.051,0.006,45.451,38.950,81.650,-0.462,-0.541
'[09:05:54.236 05/12/1995]',-0.071,0.006,45.451,38.950,81.650,-0.462,-0.541
'[09:05:54.238 05/12/1995]',-0.071,0.001,45.451,38.950,81.650,-0.462,-0.541
'[09:05:54.240 05/12/1995]',-0.061,0.001,45.301,39.075,81.850,-0.462,-0.543
'[09:05:54.242 05/12/1995]',-0.061,-0.005,45.301,39.075,81.850,-0.462,-0.543
'[09:05:54.244 05/12/1995]',-0.061,-0.005,45.301,39.075,81.850,-0.462,-0.543
'[09:05:54.246 05/12/1995]',-0.082,0.001,45.301,39.075,81.850,-0.462,-0.543
'[09:05:54.248 05/12/1995]',-0.092,0.001,45.151,39.250,82.050,-0.462,-0.545
'[09:05:54.250 05/12/1995]',-0.102,0.001,45.151,39.250,82.050,-0.462,-0.545
'[09:05:54.252 05/12/1995]',-0.102,-0.005,45.151,39.250,82.050,-0.462,-0.545
'[09:05:54.254 05/12/1995]',-0.092,-0.005,45.151,39.250,82.050,-0.462,-0.545
'[09:05:54.256 05/12/1995]',-0.082,-0.011,45.001,39.950,82.200,-0.462,-0.547
'[09:05:54.258 05/12/1995]',-0.071,-0.011,45.001,39.950,82.200,-0.462,-0.547
'[09:05:54.260 05/12/1995]',-0.071,-0.023,45.001,39.950,82.200,-0.462,-0.547
'[09:05:54.262 05/12/1995]',-0.082,-0.011,45.001,39.950,82.200,-0.462,-0.547
'[09:05:54.264 05/12/1995]',-0.082,-0.005,44.776,41.350,82.300,-0.461,-0.550
'[09:05:54.266 05/12/1995]',-0.102,0.001,44.776,41.350,82.300,-0.461,-0.550
'[09:05:54.268 05/12/1995]',-0.113,0.001,44.776,41.350,82.300,-0.461,-0.550
'[09:05:54.270 05/12/1995]',-0.092,0.001,44.776,41.350,82.300,-0.461,-0.550
'[09:05:54.272 05/12/1995]',-0.082,-0.005,44.626,42.875,82.400,-0.461,-0.553
'[09:05:54.274 05/12/1995]',-0.071,-0.011,44.626,42.875,82.400,-0.461,-0.553
'[09:05:54.276 05/12/1995]',-0.061,-0.011,44.626,42.875,82.400,-0.461,-0.553
'[09:05:54.278 05/12/1995]',-0.071,-0.011,44.626,42.875,82.400,-0.461,-0.553
'[09:05:54.280 05/12/1995]',-0.082,-0.005,44.401,43.050,82.550,-0.459,-0.556
'[09:05:54.282 05/12/1995]',-0.102,0.001,44.401,43.050,82.550,-0.459,-0.556
'[09:05:54.284 05/12/1995]',-0.113,0.001,44.401,43.050,82.550,-0.459,-0.556
'[09:05:54.286 05/12/1995]',-0.102,0.001,44.401,43.050,82.550,-0.459,-0.556
'[09:05:54.288 05/12/1995]',-0.092,-0.005,44.251,40.300,82.700,-0.457,-0.558
'[09:05:54.290 05/12/1995]',-0.082,-0.005,44.251,40.300,82.700,-0.457,-0.558
'[09:05:54.292 05/12/1995]',-0.082,-0.011,44.251,40.300,82.700,-0.457,-0.558
'[09:05:54.294 05/12/1995]',-0.071,-0.011,44.251,40.300,82.700,-0.457,-0.558
'[09:05:54.296 05/12/1995]',-0.082,-0.011,44.026,35.625,82.850,-0.456,-0.559
'[09:05:54.298 05/12/1995]',-0.082,-0.011,44.026,35.625,82.850,-0.456,-0.559
'[09:05:54.300 05/12/1995]',-0.082,0.001,44.026,35.625,82.850,-0.456,-0.559
'[09:05:54.302 05/12/1995]',-0.082,-0.011,44.026,35.625,82.850,-0.456,-0.559
'[09:05:54.304 05/12/1995]',-0.082,-0.005,43.876,32.975,83.000,-0.453,-0.561
'[09:05:54.306 05/12/1995]',-0.061,-0.011,43.876,32.975,83.000,-0.453,-0.561
'[09:05:54.308 05/12/1995]',-0.061,-0.011,43.876,32.975,83.000,-0.453,-0.561
'[09:05:54.310 05/12/1995]',-0.061,-0.011,43.876,32.975,83.000,-0.453,-0.561
'[09:05:54.312 05/12/1995]',-0.071,-0.011,43.951,35.975,83.100,-0.451,-0.562
'[09:05:54.314 05/12/1995]',-0.082,-0.005,43.951,35.975,83.100,-0.451,-0.562
'[09:05:54.316 05/12/1995]',-0.092,-0.005,43.951,35.975,83.100,-0.451,-0.562
'[09:05:54.318 05/12/1995]',-0.092,-0.005,43.951,35.975,83.100,-0.451,-0.562
'[09:05:54.320 05/12/1995]',-0.082,-0.005,44.401,44.225,83.250,-0.448,-0.562
'[09:05:54.322 05/12/1995]',-0.071,-0.011,44.401,44.225,83.250,-0.448,-0.562
'[09:05:54.324 05/12/1995]',-0.061,-0.023,44.401,44.225,83.250,-0.448,-0.562
'[09:05:54.326 05/12/1995]',-0.061,-0.023,44.401,44.225,83.250,-0.448,-0.562
'[09:05:54.328 05/12/1995]',-0.061,-0.023,45.676,54.250,83.400,-0.444,-0.563
'[09:05:54.330 05/12/1995]',-0.071,-0.011,45.676,54.250,83.400,-0.444,-0.563
'[09:05:54.332 05/12/1995]',-0.082,-0.011,45.676,54.250,83.400,-0.444,-0.563
'[09:05:54.334 05/12/1995]',-0.082,-0.005,45.676,54.250,83.400,-0.444,-0.563
'[09:05:54.336 05/12/1995]',-0.082,-0.011,48.151,62.275,83.550,-0.438,-0.563
'[09:05:54.338 05/12/1995]',-0.071,-0.005,48.151,62.275,83.550,-0.438,-0.563
'[09:05:54.340 05/12/1995]',-0.061,-0.011,48.151,62.275,83.550,-0.438,-0.563
'[09:05:54.342 05/12/1995]',-0.051,-0.011,48.151,62.275,83.550,-0.438,-0.563
'[09:05:54.344 05/12/1995]',-0.061,-0.011,52.051,65.900,83.650,-0.431,-0.562
'[09:05:54.346 05/12/1995]',-0.071,-0.011,52.051,65.900,83.650,-0.431,-0.562
'[09:05:54.348 05/12/1995]',-0.082,-0.011,52.051,65.900,83.650,-0.431,-0.562
'[09:05:54.350 05/12/1995]',-0.082,-0.005,52.051,65.900,83.650,-0.431,-0.562
'[09:05:54.352 05/12/1995]',-0.082,-0.011,57.001,64.800,83.750,-0.422,-0.560
'[09:05:54.354 05/12/1995]',-0.061,-0.023,57.001,64.800,83.750,-0.422,-0.560
'[09:05:54.356 05/12/1995]',-0.040,-0.029,57.001,64.800,83.750,-0.422,-0.560
'[09:05:54.358 05/12/1995]',-0.030,-0.035,57.001,64.800,83.750,-0.422,-0.560
'[09:05:54.360 05/12/1995]',-0.020,-0.035,62.627,60.225,83.900,-0.411,-0.557
'[09:05:54.362 05/12/1995]',-0.040,-0.035,62.627,60.225,83.900,-0.411,-0.557
'[09:05:54.364 05/12/1995]',-0.040,-0.029,62.627,60.225,83.900,-0.411,-0.557
'[09:05:54.366 05/12/1995]',-0.061,-0.029,62.627,60.225,83.900,-0.411,-0.557
'[09:05:54.368 05/12/1995]',-0.071,-0.029,68.252,54.125,84.050,-0.395,-0.553
'[09:05:54.370 05/12/1995]',-0.061,-0.029,68.252,54.125,84.050,-0.395,-0.553
'[09:05:54.372 05/12/1995]',-0.040,-0.035,68.252,54.125,84.050,-0.395,-0.553
'[09:05:54.374 05/12/1995]',-0.030,-0.047,68.252,54.125,84.050,-0.395,-0.553
'[09:05:54.376 05/12/1995]',-0.020,-0.047,73.877,48.550,84.300,-0.373,-0.550
'[09:05:54.378 05/12/1995]',-0.030,-0.047,73.877,48.550,84.300,-0.373,-0.550
'[09:05:54.380 05/12/1995]',-0.030,-0.047,73.877,48.550,84.300,-0.373,-0.550
'[09:05:54.382 05/12/1995]',-0.040,-0.047,73.877,48.550,84.300,-0.373,-0.550
'[09:05:54.384 05/12/1995]',-0.051,-0.035,79.052,44.625,84.550,-0.345,-0.546
'[09:05:54.386 05/12/1995]',-0.040,-0.047,79.052,44.625,84.550,-0.345,-0.546
'[09:05:54.388 05/12/1995]',-0.040,-0.047,79.052,44.625,84.550,-0.345,-0.546
'[09:05:54.390 05/12/1995]',-0.009,-0.053,79.052,44.625,84.550,-0.345,-0.546
'[09:05:54.392 05/12/1995]',-0.009,-0.047,83.927,42.125,84.600,-0.313,-0.543
'[09:05:54.394 05/12/1995]',-0.009,-0.047,83.927,42.125,84.600,-0.313,-0.543
'[09:05:54.396 05/12/1995]',-0.020,-0.035,83.927,42.125,84.600,-0.313,-0.543
'[09:05:54.398 05/12/1995]',-0.040,-0.035,83.927,42.125,84.600,-0.313,-0.543
'[09:05:54.400 05/12/1995]',-0.051,-0.029,88.352,40.300,84.600,-0.275,-0.539
'[09:05:54.402 05/12/1995]',-0.061,-0.029,88.352,40.300,84.600,-0.275,-0.539
'[09:05:54.404 05/12/1995]',-0.040,-0.035,88.352,40.300,84.600,-0.275,-0.539
'[09:05:54.406 05/12/1995]',-0.020,-0.053,88.352,40.300,84.600,-0.275,-0.539
'[09:05:54.408 05/12/1995]',0.001,-0.053,92.402,38.825,84.550,-0.231,-0.535
'[09:05:54.410 05/12/1995]',0.001,-0.064,92.402,38.825,84.550,-0.231,-0.535
'[09:05:54.412 05/12/1995]',0.001,-0.064,92.402,38.825,84.550,-0.231,-0.535
'[09:05:54.414 05/12/1995]',-0.020,-0.053,92.402,38.825,84.550,-0.231,-0.535
'[09:05:54.416 05/12/1995]',-0.040,-0.053,95.777,38.075,84.400,-0.182,-0.531
'[09:05:54.418 05/12/1995]',-0.040,-0.047,95.777,38.075,84.400,-0.182,-0.531
'[09:05:54.420 05/12/1995]',-0.040,-0.053,95.777,38.075,84.400,-0.182,-0.531
'[09:05:54.422 05/12/1995]',-0.020,-0.053,95.777,38.075,84.400,-0.182,-0.531
'[09:05:54.424 05/12/1995]',-0.009,-0.064,98.552,38.475,84.400,-0.130,-0.527
'[09:05:54.426 05/12/1995]',-0.009,-0.070,98.552,38.475,84.400,-0.130,-0.527
'[09:05:54.428 05/12/1995]',-0.009,-0.064,98.552,38.475,84.400,-0.130,-0.527
'[09:05:54.430 05/12/1995]',-0.030,-0.053,98.552,38.475,84.400,-0.130,-0.527
'[09:05:54.432 05/12/1995]',-0.040,-0.047,100.578,40.250,84.450,-0.076,-0.522
'[09:05:54.434 05/12/1995]',-0.040,-0.047,100.578,40.250,84.450,-0.076,-0.522
'[09:05:54.436 05/12/1995]',-0.040,-0.053,100.578,40.250,84.450,-0.076,-0.522
'[09:05:54.438 05/12/1995]',-0.020,-0.064,100.578,40.250,84.450,-0.076,-0.522
'[09:05:54.440 05/12/1995]',0.001,-0.064,101.928,42.750,84.550,-0.021,-0.518
'[09:05:54.442 05/12/1995]',0.001,-0.070,101.928,42.750,84.550,-0.021,-0.518
'[09:05:54.444 05/12/1995]',0.011,-0.064,101.928,42.750,84.550,-0.021,-0.518
'[09:05:54.446 05/12/1995]',0.001,-0.064,101.928,42.750,84.550,-0.021,-0.518
'[09:05:54.448 05/12/1995]',-0.020,-0.047,102.528,45.000,84.600,0.032,-0.513
'[09:05:54.450 05/12/1995]',-0.030,-0.047,102.528,45.000,84.600,0.032,-0.513
'[09:05:54.452 05/12/1995]',-0.040,-0.047,102.528,45.000,84.600,0.032,-0.513
'[09:05:54.454 05/12/1995]',-0.030,-0.047,102.528,45.000,84.600,0.032,-0.513
'[09:05:54.456 05/12/1995]',-0.009,-0.053,102.753,45.875,84.650,0.082,-0.509
'[09:05:54.458 05/12/1995]',0.001,-0.053,102.753,45.875,84.650,0.082,-0.509
'[09:05:54.460 05/12/1995]',0.001,-0.053,102.753,45.875,84.650,0.082,-0.509
'[09:05:54.462 05/12/1995]',-0.009,-0.047,102.753,45.875,84.650,0.082,-0.509
'[09:05:54.464 05/12/1995]',-0.020,-0.035,102.528,45.000,84.700,0.130,-0.504
'[09:05:54.466 05/12/1995]',-0.030,-0.029,102.528,45.000,84.700,0.130,-0.504
'[09:05:54.468 05/12/1995]',-0.030,-0.035,102.528,45.000,84.700,0.130,-0.504
'[09:05:54.470 05/12/1995]',-0.009,-0.035,102.528,45.000,84.700,0.130,-0.504
'[09:05:54.472 05/12/1995]',0.001,-0.035,101.928,42.750,84.700,0.174,-0.497
'[09:05:54.474 05/12/1995]',0.001,-0.047,101.928,42.750,84.700,0.174,-0.497
'[09:05:54.476 05/12/1995]',0.011,-0.047,101.928,42.750,84.700,0.174,-0.497
'[09:05:54.478 05/12/1995]',0.001,-0.035,101.928,42.750,84.700,0.174,-0.497
'[09:05:54.480 05/12/1995]',0.001,-0.029,100.953,39.825,84.700,0.213,-0.490
'[09:05:54.482 05/12/1995]',-0.020,-0.023,100.953,39.825,84.700,0.213,-0.490
'[09:05:54.484 05/12/1995]',-0.040,-0.023,100.953,39.825,84.700,0.213,-0.490
'[09:05:54.486 05/12/1995]',-0.030,-0.023,100.953,39.825,84.700,0.213,-0.490
'[09:05:54.488 05/12/1995]',-0.020,-0.029,99.677,36.775,84.750,0.248,-0.481
'[09:05:54.490 05/12/1995]',0.001,-0.029,99.677,36.775,84.750,0.248,-0.481
'[09:05:54.492 05/12/1995]',0.001,-0.029,99.677,36.775,84.750,0.248,-0.481
'[09:05:54.494 05/12/1995]',0.001,-0.023,99.677,36.775,84.750,0.248,-0.481
'[09:05:54.496 05/12/1995]',-0.009,-0.023,98.177,33.750,84.750,0.276,-0.471
'[09:05:54.498 05/12/1995]',-0.040,-0.023,98.177,33.750,84.750,0.276,-0.471
'[09:05:54.500 05/12/1995]',-0.040,-0.011,98.177,33.750,84.750,0.276,-0.471
'[09:05:54.502 05/12/1995]',-0.030,-0.011,98.177,33.750,84.750,0.276,-0.471
'[09:05:54.504 05/12/1995]',-0.009,-0.023,96.377,30.875,84.750,0.300,-0.460
'[09:05:54.506 05/12/1995]',0.001,-0.023,96.377,30.875,84.750,0.300,-0.460
'[09:05:54.508 05/12/1995]',0.001,-0.023,96.377,30.875,84.750,0.300,-0.460
'[09:05:54.510 05/12/1995]',0.001,-0.011,96.377,30.875,84.750,0.300,-0.460
'[09:05:54.512 05/12/1995]',-0.020,-0.011,94.427,28.175,84.750,0.320,-0.447
'[09:05:54.514 05/12/1995]',-0.040,-0.011,94.427,28.175,84.750,0.320,-0.447
'[09:05:54.516 05/12/1995]',-0.051,-0.005,94.427,28.175,84.750,0.320,-0.447
'[09:05:54.518 05/12/1995]',-0.051,-0.005,94.427,28.175,84.750,0.320,-0.447
'[09:05:54.520 05/12/1995]',-0.040,-0.005,92.327,25.775,84.750,0.334,-0.433
'[09:05:54.522 05/12/1995]',-0.030,-0.011,92.327,25.775,84.750,0.334,-0.433
'[09:05:54.524 05/12/1995]',-0.009,-0.011,92.327,25.775,84.750,0.334,-0.433
'[09:05:54.526 05/12/1995]',-0.009,-0.023,92.327,25.775,84.750,0.334,-0.433
'[09:05:54.528 05/12/1995]',-0.009,-0.005,90.002,23.600,84.750,0.343,-0.418
'[09:05:54.530 05/12/1995]',-0.030,-0.011,90.002,23.600,84.750,0.343,-0.418
'[09:05:54.532 05/12/1995]',-0.040,-0.005,90.002,23.600,84.750,0.343,-0.418
'[09:05:54.534 05/12/1995]',-0.040,0.001,90.002,23.600,84.750,0.343,-0.418
'[09:05:54.536 05/12/1995]',-0.040,0.001,87.452,21.550,84.800,0.348,-0.402
'[09:05:54.538 05/12/1995]',-0.030,-0.005,87.452,21.550,84.800,0.348,-0.402
'[09:05:54.540 05/12/1995]',-0.020,-0.005,87.452,21.550,84.800,0.348,-0.402
'[09:05:54.542 05/12/1995]',-0.020,-0.011,87.452,21.550,84.800,0.348,-0.402
'[09:05:54.544 05/12/1995]',-0.020,-0.011,84.752,19.800,84.800,0.348,-0.384
'[09:05:54.546 05/12/1995]',-0.040,-0.005,84.752,19.800,84.800,0.348,-0.384
'[09:05:54.548 05/12/1995]',-0.040,0.001,84.752,19.800,84.800,0.348,-0.384
'[09:05:54.550 05/12/1995]',-0.051,0.001,84.752,19.800,84.800,0.348,-0.384
'[09:05:54.552 05/12/1995]',-0.051,0.001,81.902,18.800,84.800,0.345,-0.365
'[09:05:54.554 05/12/1995]',-0.040,-0.005,81.902,18.800,84.800,0.345,-0.365
'[09:05:54.556 05/12/1995]',-0.030,-0.005,81.902,18.800,84.800,0.345,-0.365
'[09:05:54.558 05/12/1995]',-0.020,-0.011,81.902,18.800,84.800,0.345,-0.365
'[09:05:54.560 05/12/1995]',-0.009,-0.011,78.977,18.925,84.800,0.339,-0.345
'[09:05:54.562 05/12/1995]',-0.009,-0.011,78.977,18.925,84.800,0.339,-0.345
'[09:05:54.564 05/12/1995]',-0.030,-0.005,78.977,18.925,84.800,0.339,-0.345
