'Time and date','II','aVF','V','ABP','PAP','CVP','PLETH'
'[14:48:54.158 29/04/1996]',-0.076,-0.066,-0.031,113.450,37.725,14.113,-0.741
'[14:48:54.160 29/04/1996]',-0.069,-0.066,-0.031,126.250,40.475,13.700,-0.699
'[14:48:54.162 29/04/1996]',-0.069,-0.066,-0.031,126.250,40.475,13.700,-0.699
'[14:48:54.164 29/04/1996]',-0.061,-0.066,-0.031,126.250,40.475,13.700,-0.699
'[14:48:54.166 29/04/1996]',-0.061,-0.066,-0.047,126.250,40.475,13.700,-0.699
'[14:48:54.168 29/04/1996]',-0.061,-0.049,-0.047,136.650,42.825,13.287,-0.657
'[14:48:54.170 29/04/1996]',-0.061,-0.066,-0.047,136.650,42.825,13.287,-0.657
'[14:48:54.172 29/04/1996]',-0.053,-0.049,-0.031,136.650,42.825,13.287,-0.657
'[14:48:54.174 29/04/1996]',-0.053,-0.049,-0.031,136.650,42.825,13.287,-0.657
'[14:48:54.176 29/04/1996]',-0.053,-0.049,-0.031,144.000,44.575,12.938,-0.585
'[14:48:54.178 29/04/1996]',-0.053,-0.049,-0.031,144.000,44.575,12.938,-0.585
'[14:48:54.180 29/04/1996]',-0.053,-0.049,-0.031,144.000,44.575,12.938,-0.585
'[14:48:54.182 29/04/1996]',-0.053,-0.049,-0.047,144.000,44.575,12.938,-0.585
'[14:48:54.184 29/04/1996]',-0.053,-0.049,-0.031,149.100,45.525,12.525,-0.480
'[14:48:54.186 29/04/1996]',-0.053,-0.049,-0.031,149.100,45.525,12.525,-0.480
'[14:48:54.188 29/04/1996]',-0.053,-0.049,-0.031,149.100,45.525,12.525,-0.480
'[14:48:54.190 29/04/1996]',-0.053,-0.032,-0.031,149.100,45.525,12.525,-0.480
'[14:48:54.192 29/04/1996]',-0.038,-0.032,-0.031,153.250,45.475,12.113,-0.365
'[14:48:54.194 29/04/1996]',-0.038,-0.032,-0.031,153.250,45.475,12.113,-0.365
'[14:48:54.196 29/04/1996]',-0.030,-0.015,-0.031,153.250,45.475,12.113,-0.365
'[14:48:54.198 29/04/1996]',-0.030,-0.015,-0.031,153.250,45.475,12.113,-0.365
'[14:48:54.200 29/04/1996]',-0.030,-0.032,-0.031,156.950,44.525,11.700,-0.251
'[14:48:54.202 29/04/1996]',-0.038,-0.032,-0.031,156.950,44.525,11.700,-0.251
'[14:48:54.204 29/04/1996]',-0.030,-0.032,-0.031,156.950,44.525,11.700,-0.251
'[14:48:54.206 29/04/1996]',-0.030,-0.032,-0.031,156.950,44.525,11.700,-0.251
'[14:48:54.208 29/04/1996]',-0.030,-0.015,-0.031,159.900,43.000,11.300,-0.136
'[14:48:54.210 29/04/1996]',-0.030,-0.015,-0.031,159.900,43.000,11.300,-0.136
'[14:48:54.212 29/04/1996]',-0.030,-0.015,-0.031,159.900,43.000,11.300,-0.136
'[14:48:54.214 29/04/1996]',-0.030,-0.015,-0.031,159.900,43.000,11.300,-0.136
'[14:48:54.216 29/04/1996]',-0.022,-0.015,-0.015,161.300,41.125,11.000,-0.010
'[14:48:54.218 29/04/1996]',-0.030,-0.015,-0.031,161.300,41.125,11.000,-0.010
'[14:48:54.220 29/04/1996]',-0.022,-0.015,-0.015,161.300,41.125,11.000,-0.010
'[14:48:54.222 29/04/1996]',-0.022,0.002,-0.015,161.300,41.125,11.000,-0.010
'[14:48:54.224 29/04/1996]',-0.022,0.002,-0.015,160.850,39.025,10.713,0.115
'[14:48:54.226 29/04/1996]',-0.022,0.002,-0.015,160.850,39.025,10.713,0.115
'[14:48:54.228 29/04/1996]',-0.015,0.002,-0.015,160.850,39.025,10.713,0.115
'[14:48:54.230 29/04/1996]',-0.015,0.002,-0.015,160.850,39.025,10.713,0.115
'[14:48:54.232 29/04/1996]',-0.007,0.002,-0.015,158.900,36.850,10.475,0.230
'[14:48:54.234 29/04/1996]',-0.015,0.002,-0.015,158.900,36.850,10.475,0.230
'[14:48:54.236 29/04/1996]',-0.007,0.002,-0.015,158.900,36.850,10.475,0.230
'[14:48:54.238 29/04/1996]',-0.007,0.002,-0.015,158.900,36.850,10.475,0.230
'[14:48:54.240 29/04/1996]',0.001,0.002,0.001,155.900,34.750,10.300,0.334
'[14:48:54.242 29/04/1996]',0.001,0.002,0.001,155.900,34.750,10.300,0.334
'[14:48:54.244 29/04/1996]',-0.015,0.002,0.001,155.900,34.750,10.300,0.334
'[14:48:54.246 29/04/1996]',-0.007,0.002,0.001,155.900,34.750,10.300,0.334
'[14:48:54.248 29/04/1996]',-0.007,0.018,0.001,152.450,32.750,10.125,0.407
'[14:48:54.250 29/04/1996]',-0.007,0.002,0.001,152.450,32.750,10.125,0.407
'[14:48:54.252 29/04/1996]',-0.007,0.002,0.001,152.450,32.750,10.125,0.407
'[14:48:54.254 29/04/1996]',-0.015,0.002,0.001,152.450,32.750,10.125,0.407
'[14:48:54.256 29/04/1996]',-0.007,0.002,0.001,148.900,30.825,10.000,0.480
'[14:48:54.258 29/04/1996]',-0.007,0.002,0.001,148.900,30.825,10.000,0.480
'[14:48:54.260 29/04/1996]',-0.007,0.018,0.001,148.900,30.825,10.000,0.480
'[14:48:54.262 29/04/1996]',-0.007,0.018,0.001,148.900,30.825,10.000,0.480
'[14:48:54.264 29/04/1996]',-0.007,0.018,0.001,145.400,29.000,9.887,0.522
'[14:48:54.266 29/04/1996]',-0.007,0.018,0.001,145.400,29.000,9.887,0.522
'[14:48:54.268 29/04/1996]',-0.007,0.018,-0.015,145.400,29.000,9.887,0.522
'[14:48:54.270 29/04/1996]',-0.015,0.018,-0.015,145.400,29.000,9.887,0.522
'[14:48:54.272 29/04/1996]',-0.007,0.002,-0.015,141.750,27.300,9.825,0.553
'[14:48:54.274 29/04/1996]',-0.007,0.018,-0.015,141.750,27.300,9.825,0.553
'[14:48:54.276 29/04/1996]',-0.015,0.002,-0.015,141.750,27.300,9.825,0.553
'[14:48:54.278 29/04/1996]',-0.007,0.018,-0.015,141.750,27.300,9.825,0.553
'[14:48:54.280 29/04/1996]',-0.007,0.018,-0.015,137.850,25.725,9.825,0.553
'[14:48:54.282 29/04/1996]',0.001,0.018,-0.015,137.850,25.725,9.825,0.553
'[14:48:54.284 29/04/1996]',0.001,0.018,-0.015,137.850,25.725,9.825,0.553
'[14:48:54.286 29/04/1996]',0.001,0.018,-0.015,137.850,25.725,9.825,0.553
'[14:48:54.288 29/04/1996]',0.001,0.018,-0.015,133.700,24.500,9.950,0.553
'[14:48:54.290 29/04/1996]',0.001,0.018,-0.015,133.700,24.500,9.950,0.553
'[14:48:54.292 29/04/1996]',0.001,0.018,-0.015,133.700,24.500,9.950,0.553
'[14:48:54.294 29/04/1996]',0.001,0.018,-0.015,133.700,24.500,9.950,0.553
'[14:48:54.296 29/04/1996]',0.001,0.018,-0.015,129.100,23.425,10.238,0.543
'[14:48:54.298 29/04/1996]',0.001,0.018,-0.015,129.100,23.425,10.238,0.543
'[14:48:54.300 29/04/1996]',-0.007,0.002,-0.015,129.100,23.425,10.238,0.543
'[14:48:54.302 29/04/1996]',-0.007,0.018,-0.015,129.100,23.425,10.238,0.543
'[14:48:54.304 29/04/1996]',-0.007,0.002,-0.015,124.250,22.725,10.650,0.501
'[14:48:54.306 29/04/1996]',-0.007,0.018,0.001,124.250,22.725,10.650,0.501
'[14:48:54.308 29/04/1996]',-0.007,0.018,0.001,124.250,22.725,10.650,0.501
'[14:48:54.310 29/04/1996]',0.001,0.018,0.001,124.250,22.725,10.650,0.501
'[14:48:54.312 29/04/1996]',0.001,0.035,0.001,119.100,22.250,11.238,0.470
'[14:48:54.314 29/04/1996]',0.008,0.018,0.001,119.100,22.250,11.238,0.470
'[14:48:54.316 29/04/1996]',0.016,0.035,0.001,119.100,22.250,11.238,0.470
'[14:48:54.318 29/04/1996]',0.016,0.035,0.001,119.100,22.250,11.238,0.470
'[14:48:54.320 29/04/1996]',0.024,0.035,0.001,113.900,22.150,12.000,0.417
'[14:48:54.322 29/04/1996]',0.031,0.052,0.001,113.900,22.150,12.000,0.417
'[14:48:54.324 29/04/1996]',0.031,0.052,0.001,113.900,22.150,12.000,0.417
'[14:48:54.326 29/04/1996]',0.054,0.052,0.017,113.900,22.150,12.000,0.417
'[14:48:54.328 29/04/1996]',0.039,0.052,0.017,109.150,22.250,12.812,0.376
'[14:48:54.330 29/04/1996]',0.039,0.069,0.017,109.150,22.250,12.812,0.376
'[14:48:54.332 29/04/1996]',0.054,0.069,0.017,109.150,22.250,12.812,0.376
'[14:48:54.334 29/04/1996]',0.054,0.069,0.017,109.150,22.250,12.812,0.376
'[14:48:54.336 29/04/1996]',0.054,0.069,0.017,105.500,22.675,13.637,0.303
'[14:48:54.338 29/04/1996]',0.062,0.069,0.033,105.500,22.675,13.637,0.303
'[14:48:54.340 29/04/1996]',0.062,0.085,0.033,105.500,22.675,13.637,0.303
'[14:48:54.342 29/04/1996]',0.078,0.085,0.033,105.500,22.675,13.637,0.303
'[14:48:54.344 29/04/1996]',0.085,0.102,0.049,103.150,23.325,14.463,0.240
'[14:48:54.346 29/04/1996]',0.085,0.102,0.033,103.150,23.325,14.463,0.240
'[14:48:54.348 29/04/1996]',0.101,0.102,0.049,103.150,23.325,14.463,0.240
'[14:48:54.350 29/04/1996]',0.101,0.102,0.049,103.150,23.325,14.463,0.240
'[14:48:54.352 29/04/1996]',0.101,0.102,0.033,102.000,24.250,15.225,0.167
'[14:48:54.354 29/04/1996]',0.101,0.085,0.033,102.000,24.250,15.225,0.167
'[14:48:54.356 29/04/1996]',0.101,0.085,0.033,102.000,24.250,15.225,0.167
'[14:48:54.358 29/04/1996]',0.108,0.085,0.033,102.000,24.250,15.225,0.167
'[14:48:54.360 29/04/1996]',0.108,0.102,0.033,101.450,25.300,15.925,0.094
'[14:48:54.362 29/04/1996]',0.108,0.102,0.049,101.450,25.300,15.925,0.094
'[14:48:54.364 29/04/1996]',0.108,0.102,0.049,101.450,25.300,15.925,0.094
'[14:48:54.366 29/04/1996]',0.108,0.102,0.049,101.450,25.300,15.925,0.094
'[14:48:54.368 29/04/1996]',0.108,0.102,0.049,101.100,26.475,16.562,0.032
'[14:48:54.370 29/04/1996]',0.116,0.102,0.065,101.100,26.475,16.562,0.032
'[14:48:54.372 29/04/1996]',0.116,0.119,0.065,101.100,26.475,16.562,0.032
'[14:48:54.374 29/04/1996]',0.124,0.119,0.065,101.100,26.475,16.562,0.032
'[14:48:54.376 29/04/1996]',0.131,0.153,0.081,100.650,27.600,17.038,-0.042
'[14:48:54.378 29/04/1996]',0.124,0.136,0.065,100.650,27.600,17.038,-0.042
'[14:48:54.380 29/04/1996]',0.124,0.136,0.065,100.650,27.600,17.038,-0.042
'[14:48:54.382 29/04/1996]',0.108,0.119,0.065,100.650,27.600,17.038,-0.042
'[14:48:54.384 29/04/1996]',0.101,0.102,0.049,100.000,28.525,17.387,-0.104
'[14:48:54.386 29/04/1996]',0.070,0.085,0.033,100.000,28.525,17.387,-0.104
'[14:48:54.388 29/04/1996]',0.039,0.069,0.017,100.000,28.525,17.387,-0.104
'[14:48:54.390 29/04/1996]',0.031,0.052,0.017,100.000,28.525,17.387,-0.104
'[14:48:54.392 29/04/1996]',0.016,0.035,0.001,99.300,29.000,17.562,-0.157
'[14:48:54.394 29/04/1996]',0.001,0.035,0.001,99.300,29.000,17.562,-0.157
'[14:48:54.396 29/04/1996]',-0.007,0.018,-0.015,99.300,29.000,17.562,-0.157
'[14:48:54.398 29/04/1996]',-0.022,0.002,-0.015,99.300,29.000,17.562,-0.157
'[14:48:54.400 29/04/1996]',-0.022,0.002,-0.031,98.650,28.875,17.675,-0.208
'[14:48:54.402 29/04/1996]',-0.038,0.002,-0.015,98.650,28.875,17.675,-0.208
'[14:48:54.404 29/04/1996]',-0.053,-0.015,-0.031,98.650,28.875,17.675,-0.208
'[14:48:54.406 29/04/1996]',-0.053,-0.015,-0.031,98.650,28.875,17.675,-0.208
'[14:48:54.408 29/04/1996]',-0.053,-0.015,-0.031,97.950,28.300,17.625,-0.261
'[14:48:54.410 29/04/1996]',-0.053,-0.015,-0.047,97.950,28.300,17.625,-0.261
'[14:48:54.412 29/04/1996]',-0.053,-0.015,-0.031,97.950,28.300,17.625,-0.261
'[14:48:54.414 29/04/1996]',-0.053,-0.015,-0.031,97.950,28.300,17.625,-0.261
'[14:48:54.416 29/04/1996]',-0.053,-0.015,-0.047,97.300,27.350,17.500,-0.302
'[14:48:54.418 29/04/1996]',-0.053,-0.015,-0.047,97.300,27.350,17.500,-0.302
'[14:48:54.420 29/04/1996]',-0.053,-0.032,-0.047,97.300,27.350,17.500,-0.302
'[14:48:54.422 29/04/1996]',-0.061,-0.032,-0.047,97.300,27.350,17.500,-0.302
'[14:48:54.424 29/04/1996]',-0.061,-0.032,-0.047,96.600,26.200,17.275,-0.344
'[14:48:54.426 29/04/1996]',-0.061,-0.032,-0.031,96.600,26.200,17.275,-0.344
'[14:48:54.428 29/04/1996]',-0.061,-0.032,-0.047,96.600,26.200,17.275,-0.344
'[14:48:54.430 29/04/1996]',-0.069,-0.032,-0.031,96.600,26.200,17.275,-0.344
'[14:48:54.432 29/04/1996]',-0.069,-0.032,-0.031,95.900,24.850,16.975,-0.365
'[14:48:54.434 29/04/1996]',-0.069,-0.032,-0.031,95.900,24.850,16.975,-0.365
'[14:48:54.436 29/04/1996]',-0.069,-0.032,-0.047,95.900,24.850,16.975,-0.365
'[14:48:54.438 29/04/1996]',-0.069,-0.032,-0.047,95.900,24.850,16.975,-0.365
'[14:48:54.440 29/04/1996]',-0.053,-0.032,-0.031,95.200,23.550,16.625,-0.386
'[14:48:54.442 29/04/1996]',-0.053,-0.032,-0.047,95.200,23.550,16.625,-0.386
'[14:48:54.444 29/04/1996]',-0.053,-0.032,-0.031,95.200,23.550,16.625,-0.386
'[14:48:54.446 29/04/1996]',-0.053,-0.015,-0.031,95.200,23.550,16.625,-0.386
'[14:48:54.448 29/04/1996]',-0.053,-0.015,-0.031,94.450,22.250,16.212,-0.407
'[14:48:54.450 29/04/1996]',-0.053,-0.032,-0.031,94.450,22.250,16.212,-0.407
'[14:48:54.452 29/04/1996]',-0.061,-0.032,-0.031,94.450,22.250,16.212,-0.407
'[14:48:54.454 29/04/1996]',-0.061,-0.032,-0.031,94.450,22.250,16.212,-0.407
'[14:48:54.456 29/04/1996]',-0.061,-0.032,-0.031,93.750,21.200,15.863,-0.427
'[14:48:54.458 29/04/1996]',-0.061,-0.032,-0.015,93.750,21.200,15.863,-0.427
'[14:48:54.460 29/04/1996]',-0.053,-0.032,-0.031,93.750,21.200,15.863,-0.427
'[14:48:54.462 29/04/1996]',-0.053,-0.015,-0.031,93.750,21.200,15.863,-0.427
'[14:48:54.464 29/04/1996]',-0.053,-0.015,-0.015,93.100,20.450,15.450,-0.449
'[14:48:54.466 29/04/1996]',-0.053,-0.015,-0.015,93.100,20.450,15.450,-0.449
'[14:48:54.468 29/04/1996]',-0.053,-0.032,-0.031,93.100,20.450,15.450,-0.449
'[14:48:54.470 29/04/1996]',-0.053,-0.032,-0.031,93.100,20.450,15.450,-0.449
'[14:48:54.472 29/04/1996]',-0.053,-0.032,-0.031,92.500,20.025,15.100,-0.469
'[14:48:54.474 29/04/1996]',-0.053,-0.032,-0.031,92.500,20.025,15.100,-0.469
'[14:48:54.476 29/04/1996]',-0.053,-0.032,-0.015,92.500,20.025,15.100,-0.469
'[14:48:54.478 29/04/1996]',-0.053,-0.032,-0.031,92.500,20.025,15.100,-0.469
'[14:48:54.480 29/04/1996]',-0.053,-0.032,-0.031,91.850,19.925,14.863,-0.480
'[14:48:54.482 29/04/1996]',-0.053,-0.032,-0.031,91.850,19.925,14.863,-0.480
'[14:48:54.484 29/04/1996]',-0.061,-0.032,-0.031,91.850,19.925,14.863,-0.480
'[14:48:54.486 29/04/1996]',-0.061,-0.032,-0.031,91.850,19.925,14.863,-0.480
'[14:48:54.488 29/04/1996]',-0.061,-0.049,-0.031,91.150,20.100,14.688,-0.490
'[14:48:54.490 29/04/1996]',-0.069,-0.066,-0.047,91.150,20.100,14.688,-0.490
'[14:48:54.492 29/04/1996]',-0.084,-0.083,-0.047,91.150,20.100,14.688,-0.490
'[14:48:54.494 29/04/1996]',-0.107,-0.100,-0.063,91.150,20.100,14.688,-0.490
'[14:48:54.496 29/04/1996]',-0.115,-0.117,-0.063,90.450,20.450,14.637,-0.501
'[14:48:54.498 29/04/1996]',-0.107,-0.117,-0.063,90.450,20.450,14.637,-0.501
'[14:48:54.500 29/04/1996]',-0.107,-0.117,-0.063,90.450,20.450,14.637,-0.501
'[14:48:54.502 29/04/1996]',-0.084,-0.100,-0.047,90.450,20.450,14.637,-0.501
'[14:48:54.504 29/04/1996]',-0.053,-0.083,-0.015,89.600,20.975,14.637,-0.501
'[14:48:54.506 29/04/1996]',-0.007,-0.049,0.017,89.600,20.975,14.637,-0.501
'[14:48:54.508 29/04/1996]',0.039,0.002,0.049,89.600,20.975,14.637,-0.501
'[14:48:54.510 29/04/1996]',0.108,0.035,0.097,89.600,20.975,14.637,-0.501
'[14:48:54.512 29/04/1996]',0.170,0.069,0.161,88.800,21.550,14.637,-0.511
'[14:48:54.514 29/04/1996]',0.224,0.102,0.193,88.800,21.550,14.637,-0.511
'[14:48:54.516 29/04/1996]',0.262,0.119,0.209,88.800,21.550,14.637,-0.511
'[14:48:54.518 29/04/1996]',0.270,0.119,0.225,88.800,21.550,14.637,-0.511
'[14:48:54.520 29/04/1996]',0.301,0.153,0.225,87.850,22.200,14.750,-0.501
'[14:48:54.522 29/04/1996]',0.324,0.170,0.240,87.850,22.200,14.750,-0.501
'[14:48:54.524 29/04/1996]',0.347,0.187,0.256,87.850,22.200,14.750,-0.501
'[14:48:54.526 29/04/1996]',0.354,0.221,0.272,87.850,22.200,14.750,-0.501
'[14:48:54.528 29/04/1996]',0.370,0.254,0.272,86.850,22.800,14.863,-0.469
'[14:48:54.530 29/04/1996]',0.354,0.271,0.272,86.850,22.800,14.863,-0.469
'[14:48:54.532 29/04/1996]',0.324,0.271,0.240,86.850,22.800,14.863,-0.469
'[14:48:54.534 29/04/1996]',0.316,0.288,0.225,86.850,22.800,14.863,-0.469
'[14:48:54.536 29/04/1996]',0.324,0.305,0.225,85.800,23.325,14.988,-0.449
'[14:48:54.538 29/04/1996]',0.316,0.305,0.209,85.800,23.325,14.988,-0.449
'[14:48:54.540 29/04/1996]',0.316,0.305,0.193,85.800,23.325,14.988,-0.449
'[14:48:54.542 29/04/1996]',0.324,0.322,0.209,85.800,23.325,14.988,-0.449
'[14:48:54.544 29/04/1996]',0.354,0.339,0.225,84.800,23.775,15.100,-0.417
'[14:48:54.546 29/04/1996]',0.354,0.356,0.225,84.800,23.775,15.100,-0.417
'[14:48:54.548 29/04/1996]',0.354,0.356,0.209,84.800,23.775,15.100,-0.417
'[14:48:54.550 29/04/1996]',0.324,0.322,0.193,84.800,23.775,15.100,-0.417
'[14:48:54.552 29/04/1996]',0.293,0.271,0.177,83.950,24.125,15.225,-0.365
'[14:48:54.554 29/04/1996]',0.254,0.221,0.145,83.950,24.125,15.225,-0.365
'[14:48:54.556 29/04/1996]',0.201,0.170,0.113,83.950,24.125,15.225,-0.365
'[14:48:54.558 29/04/1996]',0.147,0.102,0.081,83.950,24.125,15.225,-0.365
'[14:48:54.560 29/04/1996]',0.085,0.069,0.049,83.200,24.425,15.275,-0.324
'[14:48:54.562 29/04/1996]',0.070,0.052,0.033,83.200,24.425,15.275,-0.324
'[14:48:54.564 29/04/1996]',0.039,0.018,0.017,83.200,24.425,15.275,-0.324
'[14:48:54.566 29/04/1996]',0.024,0.018,0.017,83.200,24.425,15.275,-0.324
'[14:48:54.568 29/04/1996]',0.016,0.002,0.001,82.550,24.775,15.338,-0.271
'[14:48:54.570 29/04/1996]',0.001,0.002,0.001,82.550,24.775,15.338,-0.271
