'Time and date','III','II','V','ABP','PLETH','RESP'
'[14:49:19.072 01/03/1996]',-0.321,-0.364,1.208,91.654,-0.505,-0.564
'[14:49:19.074 01/03/1996]',-0.327,-0.364,1.245,91.654,-0.505,-0.564
'[14:49:19.076 01/03/1996]',-0.332,-0.364,1.245,91.654,-0.505,-0.564
'[14:49:19.078 01/03/1996]',-0.337,-0.364,1.282,91.654,-0.505,-0.564
'[14:49:19.080 01/03/1996]',-0.340,-0.364,1.282,98.496,-0.501,-0.564
'[14:49:19.082 01/03/1996]',-0.343,-0.364,1.282,98.496,-0.501,-0.564
'[14:49:19.084 01/03/1996]',-0.346,-0.383,1.318,98.496,-0.501,-0.564
'[14:49:19.086 01/03/1996]',-0.348,-0.401,1.318,98.496,-0.501,-0.564
'[14:49:19.088 01/03/1996]',-0.347,-0.401,1.318,106.015,-0.492,-0.564
'[14:49:19.090 01/03/1996]',-0.347,-0.401,1.318,106.015,-0.492,-0.564
'[14:49:19.092 01/03/1996]',-0.343,-0.401,1.318,106.015,-0.492,-0.564
'[14:49:19.094 01/03/1996]',-0.340,-0.383,1.282,106.015,-0.492,-0.564
'[14:49:19.096 01/03/1996]',-0.333,-0.364,1.282,113.835,-0.472,-0.563
'[14:49:19.098 01/03/1996]',-0.327,-0.364,1.245,113.835,-0.472,-0.563
'[14:49:19.100 01/03/1996]',-0.319,-0.364,1.245,113.835,-0.472,-0.563
'[14:49:19.102 01/03/1996]',-0.312,-0.364,1.208,113.835,-0.472,-0.563
'[14:49:19.104 01/03/1996]',-0.300,-0.364,1.172,121.654,-0.443,-0.562
'[14:49:19.106 01/03/1996]',-0.288,-0.346,1.135,121.654,-0.443,-0.562
'[14:49:19.108 01/03/1996]',-0.275,-0.328,1.098,121.654,-0.443,-0.562
'[14:49:19.110 01/03/1996]',-0.262,-0.309,1.062,121.654,-0.443,-0.562
'[14:49:19.112 01/03/1996]',-0.247,-0.273,1.027,129.098,-0.399,-0.562
'[14:49:19.114 01/03/1996]',-0.232,-0.255,0.953,129.098,-0.399,-0.562
'[14:49:19.116 01/03/1996]',-0.216,-0.237,0.917,129.098,-0.399,-0.562
'[14:49:19.118 01/03/1996]',-0.200,-0.237,0.880,129.098,-0.399,-0.562
'[14:49:19.120 01/03/1996]',-0.185,-0.218,0.843,136.165,-0.342,-0.561
'[14:49:19.122 01/03/1996]',-0.170,-0.200,0.770,136.165,-0.342,-0.561
'[14:49:19.124 01/03/1996]',-0.155,-0.182,0.697,136.165,-0.342,-0.561
'[14:49:19.126 01/03/1996]',-0.140,-0.163,0.660,136.165,-0.342,-0.561
'[14:49:19.128 01/03/1996]',-0.125,-0.127,0.623,142.632,-0.270,-0.561
'[14:49:19.130 01/03/1996]',-0.110,-0.108,0.550,142.632,-0.270,-0.561
'[14:49:19.132 01/03/1996]',-0.095,-0.108,0.515,142.632,-0.270,-0.561
'[14:49:19.134 01/03/1996]',-0.080,-0.090,0.442,142.632,-0.270,-0.561
'[14:49:19.136 01/03/1996]',-0.068,-0.090,0.405,148.496,-0.185,-0.560
'[14:49:19.138 01/03/1996]',-0.055,-0.090,0.368,148.496,-0.185,-0.560
'[14:49:19.140 01/03/1996]',-0.044,-0.053,0.332,148.496,-0.185,-0.560
'[14:49:19.142 01/03/1996]',-0.033,-0.035,0.295,148.496,-0.185,-0.560
'[14:49:19.144 01/03/1996]',-0.024,-0.035,0.258,153.759,-0.093,-0.560
'[14:49:19.146 01/03/1996]',-0.015,-0.017,0.222,153.759,-0.093,-0.560
'[14:49:19.148 01/03/1996]',-0.009,-0.017,0.185,153.759,-0.093,-0.560
'[14:49:19.150 01/03/1996]',-0.003,-0.017,0.148,153.759,-0.093,-0.560
'[14:49:19.152 01/03/1996]',0.002,-0.017,0.112,158.346,0.004,-0.559
'[14:49:19.154 01/03/1996]',0.007,-0.017,0.112,158.346,0.004,-0.559
'[14:49:19.156 01/03/1996]',0.009,-0.017,0.075,158.346,0.004,-0.559
'[14:49:19.158 01/03/1996]',0.012,0.002,0.075,158.346,0.004,-0.559
'[14:49:19.160 01/03/1996]',0.013,0.002,0.075,162.180,0.101,-0.559
'[14:49:19.162 01/03/1996]',0.013,0.019,0.038,162.180,0.101,-0.559
'[14:49:19.164 01/03/1996]',0.013,0.002,0.038,162.180,0.101,-0.559
'[14:49:19.166 01/03/1996]',0.013,0.002,0.038,162.180,0.101,-0.559
'[14:49:19.168 01/03/1996]',0.015,0.002,0.003,165.338,0.193,-0.558
'[14:49:19.170 01/03/1996]',0.017,-0.017,0.003,165.338,0.193,-0.558
'[14:49:19.172 01/03/1996]',0.018,-0.017,0.003,165.338,0.193,-0.558
'[14:49:19.174 01/03/1996]',0.018,-0.017,0.003,165.338,0.193,-0.558
'[14:49:19.176 01/03/1996]',0.018,-0.017,0.003,167.669,0.276,-0.557
'[14:49:19.178 01/03/1996]',0.017,0.002,0.003,167.669,0.276,-0.557
'[14:49:19.180 01/03/1996]',0.015,0.002,0.003,167.669,0.276,-0.557
'[14:49:19.182 01/03/1996]',0.013,0.002,0.003,167.669,0.276,-0.557
'[14:49:19.184 01/03/1996]',0.012,-0.017,0.003,169.173,0.348,-0.555
'[14:49:19.186 01/03/1996]',0.010,-0.035,0.003,169.173,0.348,-0.555
'[14:49:19.188 01/03/1996]',0.012,-0.017,0.003,169.173,0.348,-0.555
'[14:49:19.190 01/03/1996]',0.013,-0.017,0.003,169.173,0.348,-0.555
'[14:49:19.192 01/03/1996]',0.015,-0.017,0.003,169.925,0.407,-0.554
'[14:49:19.194 01/03/1996]',0.017,-0.017,0.003,169.925,0.407,-0.554
'[14:49:19.196 01/03/1996]',0.018,-0.017,0.003,169.925,0.407,-0.554
'[14:49:19.198 01/03/1996]',0.018,-0.017,0.003,169.925,0.407,-0.554
'[14:49:19.200 01/03/1996]',0.018,-0.017,0.003,169.699,0.457,-0.553
'[14:49:19.202 01/03/1996]',0.018,-0.035,0.003,169.699,0.457,-0.553
'[14:49:19.204 01/03/1996]',0.018,-0.035,0.003,169.699,0.457,-0.553
'[14:49:19.206 01/03/1996]',0.018,-0.035,0.003,169.699,0.457,-0.553
'[14:49:19.208 01/03/1996]',0.018,-0.035,0.003,168.647,0.492,-0.552
'[14:49:19.210 01/03/1996]',0.017,-0.017,0.003,168.647,0.492,-0.552
'[14:49:19.212 01/03/1996]',0.015,-0.017,0.003,168.647,0.492,-0.552
'[14:49:19.214 01/03/1996]',0.013,-0.017,0.003,168.647,0.492,-0.552
'[14:49:19.216 01/03/1996]',0.011,-0.017,0.003,166.692,0.518,-0.552
'[14:49:19.218 01/03/1996]',0.008,-0.035,0.003,166.692,0.518,-0.552
'[14:49:19.220 01/03/1996]',0.007,-0.035,0.003,166.692,0.518,-0.552
'[14:49:19.222 01/03/1996]',0.007,-0.035,0.003,166.692,0.518,-0.552
'[14:49:19.224 01/03/1996]',0.006,-0.053,0.003,164.060,0.532,-0.552
'[14:49:19.226 01/03/1996]',0.005,-0.035,0.003,164.060,0.532,-0.552
'[14:49:19.228 01/03/1996]',0.005,-0.017,0.003,164.060,0.532,-0.552
'[14:49:19.230 01/03/1996]',0.005,-0.017,0.003,164.060,0.532,-0.552
'[14:49:19.232 01/03/1996]',0.005,-0.017,0.003,160.677,0.539,-0.551
'[14:49:19.234 01/03/1996]',0.005,-0.035,0.003,160.677,0.539,-0.551
'[14:49:19.236 01/03/1996]',0.005,-0.035,0.003,160.677,0.539,-0.551
'[14:49:19.238 01/03/1996]',0.005,-0.053,0.003,160.677,0.539,-0.551
'[14:49:19.240 01/03/1996]',0.005,-0.035,0.003,156.692,0.539,-0.551
'[14:49:19.242 01/03/1996]',0.005,-0.035,0.003,156.692,0.539,-0.551
'[14:49:19.244 01/03/1996]',0.004,-0.035,0.003,156.692,0.539,-0.551
'[14:49:19.246 01/03/1996]',0.003,-0.035,0.003,156.692,0.539,-0.551
'[14:49:19.248 01/03/1996]',0.003,-0.017,0.003,152.180,0.530,-0.550
'[14:49:19.250 01/03/1996]',0.002,-0.035,0.003,152.180,0.530,-0.550
'[14:49:19.252 01/03/1996]',0.003,-0.035,0.003,152.180,0.530,-0.550
'[14:49:19.254 01/03/1996]',0.003,-0.053,0.003,152.180,0.530,-0.550
'[14:49:19.256 01/03/1996]',0.004,-0.053,0.003,147.368,0.516,-0.550
'[14:49:19.258 01/03/1996]',0.005,-0.035,0.003,147.368,0.516,-0.550
'[14:49:19.260 01/03/1996]',0.004,-0.035,0.003,147.368,0.516,-0.550
'[14:49:19.262 01/03/1996]',0.003,-0.017,0.003,147.368,0.516,-0.550
'[14:49:19.264 01/03/1996]',0.002,-0.017,0.003,142.331,0.494,-0.550
'[14:49:19.266 01/03/1996]',0.000,-0.035,0.003,142.331,0.494,-0.550
'[14:49:19.268 01/03/1996]',-0.002,-0.035,0.003,142.331,0.494,-0.550
'[14:49:19.270 01/03/1996]',-0.003,-0.053,0.003,142.331,0.494,-0.550
'[14:49:19.272 01/03/1996]',-0.003,-0.053,0.003,137.218,0.469,-0.550
'[14:49:19.274 01/03/1996]',-0.003,-0.053,0.003,137.218,0.469,-0.550
'[14:49:19.276 01/03/1996]',-0.003,-0.035,0.003,137.218,0.469,-0.550
'[14:49:19.278 01/03/1996]',-0.002,-0.035,0.003,137.218,0.469,-0.550
'[14:49:19.280 01/03/1996]',-0.001,-0.035,0.003,132.105,0.438,-0.550
'[14:49:19.282 01/03/1996]',0.000,-0.035,0.003,132.105,0.438,-0.550
'[14:49:19.284 01/03/1996]',0.000,-0.035,0.003,132.105,0.438,-0.550
'[14:49:19.286 01/03/1996]',0.000,-0.035,0.003,132.105,0.438,-0.550
'[14:49:19.288 01/03/1996]',0.000,-0.035,0.003,127.293,0.403,-0.550
'[14:49:19.290 01/03/1996]',0.000,-0.053,0.003,127.293,0.403,-0.550
'[14:49:19.292 01/03/1996]',0.000,-0.035,0.003,127.293,0.403,-0.550
'[14:49:19.294 01/03/1996]',0.000,-0.035,0.003,127.293,0.403,-0.550
'[14:49:19.296 01/03/1996]',0.000,-0.035,0.003,122.932,0.361,-0.550
'[14:49:19.298 01/03/1996]',0.000,-0.035,0.003,122.932,0.361,-0.550
'[14:49:19.300 01/03/1996]',0.000,-0.035,0.003,122.932,0.361,-0.550
'[14:49:19.302 01/03/1996]',0.000,-0.035,0.003,122.932,0.361,-0.550
'[14:49:19.304 01/03/1996]',0.000,-0.053,0.003,119.023,0.319,-0.550
'[14:49:19.306 01/03/1996]',0.000,-0.035,0.003,119.023,0.319,-0.550
'[14:49:19.308 01/03/1996]',0.000,-0.035,0.003,119.023,0.319,-0.550
'[14:49:19.310 01/03/1996]',0.000,-0.017,0.003,119.023,0.319,-0.550
'[14:49:19.312 01/03/1996]',0.001,-0.017,0.003,115.639,0.274,-0.549
'[14:49:19.314 01/03/1996]',0.002,-0.017,0.003,115.639,0.274,-0.549
'[14:49:19.316 01/03/1996]',0.003,-0.017,0.003,115.639,0.274,-0.549
'[14:49:19.318 01/03/1996]',0.005,-0.017,0.003,115.639,0.274,-0.549
'[14:49:19.320 01/03/1996]',0.006,-0.035,0.003,112.782,0.225,-0.548
'[14:49:19.322 01/03/1996]',0.007,-0.035,0.003,112.782,0.225,-0.548
'[14:49:19.324 01/03/1996]',0.009,-0.035,0.003,112.782,0.225,-0.548
'[14:49:19.326 01/03/1996]',0.012,-0.017,0.003,112.782,0.225,-0.548
'[14:49:19.328 01/03/1996]',0.017,0.002,0.003,110.376,0.174,-0.548
'[14:49:19.330 01/03/1996]',0.022,0.002,0.003,110.376,0.174,-0.548
'[14:49:19.332 01/03/1996]',0.027,0.002,0.003,110.376,0.174,-0.548
'[14:49:19.334 01/03/1996]',0.032,0.002,0.038,110.376,0.174,-0.548
'[14:49:19.336 01/03/1996]',0.034,0.002,0.003,108.421,0.124,-0.548
'[14:49:19.338 01/03/1996]',0.037,0.002,0.038,108.421,0.124,-0.548
'[14:49:19.340 01/03/1996]',0.038,0.019,0.038,108.421,0.124,-0.548
'[14:49:19.342 01/03/1996]',0.040,0.019,0.038,108.421,0.124,-0.548
'[14:49:19.344 01/03/1996]',0.043,0.037,0.038,106.692,0.074,-0.548
'[14:49:19.346 01/03/1996]',0.047,0.056,0.038,106.692,0.074,-0.548
'[14:49:19.348 01/03/1996]',0.050,0.056,0.003,106.692,0.074,-0.548
'[14:49:19.350 01/03/1996]',0.053,0.037,0.003,106.692,0.074,-0.548
'[14:49:19.352 01/03/1996]',0.056,0.037,0.003,105.188,0.021,-0.548
'[14:49:19.354 01/03/1996]',0.058,0.037,0.003,105.188,0.021,-0.548
'[14:49:19.356 01/03/1996]',0.060,0.037,0.003,105.188,0.021,-0.548
'[14:49:19.358 01/03/1996]',0.062,0.056,0.003,105.188,0.021,-0.548
'[14:49:19.360 01/03/1996]',0.061,0.056,0.003,103.835,-0.025,-0.548
'[14:49:19.362 01/03/1996]',0.060,0.074,0.003,103.835,-0.025,-0.548
'[14:49:19.364 01/03/1996]',0.058,0.074,0.003,103.835,-0.025,-0.548
'[14:49:19.366 01/03/1996]',0.055,0.074,0.003,103.835,-0.025,-0.548
'[14:49:19.368 01/03/1996]',0.053,0.074,0.003,102.556,-0.068,-0.548
'[14:49:19.370 01/03/1996]',0.052,0.056,-0.033,102.556,-0.068,-0.548
'[14:49:19.372 01/03/1996]',0.050,0.056,-0.033,102.556,-0.068,-0.548
'[14:49:19.374 01/03/1996]',0.048,0.056,-0.033,102.556,-0.068,-0.548
'[14:49:19.376 01/03/1996]',0.048,0.056,-0.033,101.429,-0.108,-0.549
'[14:49:19.378 01/03/1996]',0.047,0.056,-0.033,101.429,-0.108,-0.549
'[14:49:19.380 01/03/1996]',0.044,0.056,-0.033,101.429,-0.108,-0.549
'[14:49:19.382 01/03/1996]',0.042,0.056,-0.033,101.429,-0.108,-0.549
'[14:49:19.384 01/03/1996]',0.038,0.037,-0.033,100.376,-0.145,-0.549
'[14:49:19.386 01/03/1996]',0.035,0.037,-0.033,100.376,-0.145,-0.549
'[14:49:19.388 01/03/1996]',0.032,0.037,-0.033,100.376,-0.145,-0.549
'[14:49:19.390 01/03/1996]',0.028,0.019,0.003,100.376,-0.145,-0.549
'[14:49:19.392 01/03/1996]',0.026,0.019,0.003,99.474,-0.178,-0.550
'[14:49:19.394 01/03/1996]',0.023,0.019,0.003,99.474,-0.178,-0.550
'[14:49:19.396 01/03/1996]',0.022,0.019,0.003,99.474,-0.178,-0.550
'[14:49:19.398 01/03/1996]',0.022,0.002,0.003,99.474,-0.178,-0.550
'[14:49:19.400 01/03/1996]',0.020,0.002,0.003,98.571,-0.207,-0.550
'[14:49:19.402 01/03/1996]',0.018,-0.017,0.003,98.571,-0.207,-0.550
'[14:49:19.404 01/03/1996]',0.018,-0.035,0.003,98.571,-0.207,-0.550
'[14:49:19.406 01/03/1996]',0.017,-0.035,0.003,98.571,-0.207,-0.550
'[14:49:19.408 01/03/1996]',0.018,-0.035,-0.033,97.669,-0.234,-0.550
'[14:49:19.410 01/03/1996]',0.018,-0.017,-0.033,97.669,-0.234,-0.550
'[14:49:19.412 01/03/1996]',0.018,-0.017,-0.033,97.669,-0.234,-0.550
'[14:49:19.414 01/03/1996]',0.018,-0.017,-0.033,97.669,-0.234,-0.550
'[14:49:19.416 01/03/1996]',0.018,-0.017,-0.033,96.842,-0.256,-0.550
'[14:49:19.418 01/03/1996]',0.018,-0.035,0.003,96.842,-0.256,-0.550
'[14:49:19.420 01/03/1996]',0.018,-0.035,0.003,96.842,-0.256,-0.550
'[14:49:19.422 01/03/1996]',0.017,-0.035,0.003,96.842,-0.256,-0.550
'[14:49:19.424 01/03/1996]',0.015,-0.035,0.003,96.015,-0.277,-0.549
'[14:49:19.426 01/03/1996]',0.013,-0.035,0.003,96.015,-0.277,-0.549
'[14:49:19.428 01/03/1996]',0.011,-0.017,0.003,96.015,-0.277,-0.549
'[14:49:19.430 01/03/1996]',0.008,-0.017,0.003,96.015,-0.277,-0.549
'[14:49:19.432 01/03/1996]',0.007,-0.035,0.003,95.188,-0.295,-0.548
'[14:49:19.434 01/03/1996]',0.007,-0.035,0.003,95.188,-0.295,-0.548
'[14:49:19.436 01/03/1996]',0.006,-0.035,0.003,95.188,-0.295,-0.548
'[14:49:19.438 01/03/1996]',0.005,-0.053,0.003,95.188,-0.295,-0.548
'[14:49:19.440 01/03/1996]',0.007,-0.035,0.003,94.361,-0.310,-0.547
'[14:49:19.442 01/03/1996]',0.008,-0.035,0.003,94.361,-0.310,-0.547
'[14:49:19.444 01/03/1996]',0.016,-0.035,0.003,94.361,-0.310,-0.547
'[14:49:19.446 01/03/1996]',0.023,-0.017,0.003,94.361,-0.310,-0.547
'[14:49:19.448 01/03/1996]',0.038,0.002,0.003,93.534,-0.326,-0.545
'[14:49:19.450 01/03/1996]',0.053,0.002,0.038,93.534,-0.326,-0.545
'[14:49:19.452 01/03/1996]',0.078,0.002,0.075,93.534,-0.326,-0.545
'[14:49:19.454 01/03/1996]',0.103,0.002,0.003,93.534,-0.326,-0.545
'[14:49:19.456 01/03/1996]',0.141,0.037,-0.143,92.707,-0.339,-0.544
'[14:49:19.458 01/03/1996]',0.178,0.092,-0.400,92.707,-0.339,-0.544
'[14:49:19.460 01/03/1996]',0.224,0.147,-0.655,92.707,-0.339,-0.544
'[14:49:19.462 01/03/1996]',0.270,0.203,-0.912,92.707,-0.339,-0.544
'[14:49:19.464 01/03/1996]',0.318,0.258,-1.203,91.880,-0.351,-0.542
'[14:49:19.466 01/03/1996]',0.367,0.293,-1.423,91.880,-0.351,-0.542
'[14:49:19.468 01/03/1996]',0.413,0.330,-1.642,91.880,-0.351,-0.542
'[14:49:19.470 01/03/1996]',0.460,0.367,-1.862,91.880,-0.351,-0.542
'[14:49:19.472 01/03/1996]',0.504,0.403,-2.117,91.053,-0.362,-0.541
'[14:49:19.474 01/03/1996]',0.548,0.477,-2.337,91.053,-0.362,-0.541
'[14:49:19.476 01/03/1996]',0.586,0.531,-2.520,91.053,-0.362,-0.541
'[14:49:19.478 01/03/1996]',0.623,0.568,-2.702,91.053,-0.362,-0.541
'[14:49:19.480 01/03/1996]',0.652,0.623,-2.848,90.226,-0.373,-0.540
'[14:49:19.482 01/03/1996]',0.682,0.659,-2.885,90.226,-0.373,-0.540
'[14:49:19.484 01/03/1996]',0.704,0.696,-2.922,90.226,-0.373,-0.540
'[14:49:19.486 01/03/1996]',0.727,0.714,-2.922,90.226,-0.373,-0.540
'[14:49:19.488 01/03/1996]',0.741,0.751,-2.922,89.398,-0.383,-0.539
'[14:49:19.490 01/03/1996]',0.755,0.787,-2.885,89.398,-0.383,-0.539
'[14:49:19.492 01/03/1996]',0.762,0.805,-2.848,89.398,-0.383,-0.539
'[14:49:19.494 01/03/1996]',0.770,0.842,-2.775,89.398,-0.383,-0.539
'[14:49:19.496 01/03/1996]',0.772,0.860,-2.702,88.571,-0.393,-0.538
'[14:49:19.498 01/03/1996]',0.773,0.860,-2.628,88.571,-0.393,-0.538
'[14:49:19.500 01/03/1996]',0.769,0.860,-2.557,88.571,-0.393,-0.538
'[14:49:19.502 01/03/1996]',0.765,0.860,-2.410,88.571,-0.393,-0.538
'[14:49:19.504 01/03/1996]',0.757,0.860,-2.300,87.820,-0.402,-0.537
'[14:49:19.506 01/03/1996]',0.748,0.842,-2.190,87.820,-0.402,-0.537
'[14:49:19.508 01/03/1996]',0.733,0.860,-2.117,87.820,-0.402,-0.537
'[14:49:19.510 01/03/1996]',0.718,0.860,-2.008,87.820,-0.402,-0.537
'[14:49:19.512 01/03/1996]',0.698,0.860,-1.935,86.992,-0.411,-0.536
'[14:49:19.514 01/03/1996]',0.677,0.823,-1.825,86.992,-0.411,-0.536
'[14:49:19.516 01/03/1996]',0.652,0.787,-1.715,86.992,-0.411,-0.536
'[14:49:19.518 01/03/1996]',0.627,0.751,-1.605,86.992,-0.411,-0.536
'[14:49:19.520 01/03/1996]',0.597,0.733,-1.497,86.165,-0.420,-0.536
'[14:49:19.522 01/03/1996]',0.567,0.696,-1.350,86.165,-0.420,-0.536
'[14:49:19.524 01/03/1996]',0.532,0.677,-1.240,86.165,-0.420,-0.536
'[14:49:19.526 01/03/1996]',0.498,0.659,-1.130,86.165,-0.420,-0.536
'[14:49:19.528 01/03/1996]',0.459,0.641,-1.022,85.489,-0.428,-0.536
'[14:49:19.530 01/03/1996]',0.420,0.623,-0.912,85.489,-0.428,-0.536
'[14:49:19.532 01/03/1996]',0.377,0.586,-0.802,85.489,-0.428,-0.536
'[14:49:19.534 01/03/1996]',0.333,0.549,-0.692,85.489,-0.428,-0.536
'[14:49:19.536 01/03/1996]',0.286,0.495,-0.545,84.737,-0.435,-0.536
'[14:49:19.538 01/03/1996]',0.238,0.422,-0.437,84.737,-0.435,-0.536
'[14:49:19.540 01/03/1996]',0.190,0.385,-0.327,84.737,-0.435,-0.536
'[14:49:19.542 01/03/1996]',0.142,0.330,-0.217,84.737,-0.435,-0.536
'[14:49:19.544 01/03/1996]',0.098,0.258,-0.107,83.985,-0.443,-0.536
'[14:49:19.546 01/03/1996]',0.055,0.203,-0.033,83.985,-0.443,-0.536
'[14:49:19.548 01/03/1996]',0.019,0.129,0.038,83.985,-0.443,-0.536
'[14:49:19.550 01/03/1996]',-0.017,0.056,0.112,83.985,-0.443,-0.536
'[14:49:19.552 01/03/1996]',-0.043,0.002,0.185,83.383,-0.450,-0.537
'[14:49:19.554 01/03/1996]',-0.070,-0.072,0.295,83.383,-0.450,-0.537
'[14:49:19.556 01/03/1996]',-0.087,-0.108,0.332,83.383,-0.450,-0.537
'[14:49:19.558 01/03/1996]',-0.105,-0.127,0.405,83.383,-0.450,-0.537
'[14:49:19.560 01/03/1996]',-0.117,-0.127,0.442,82.707,-0.456,-0.539
'[14:49:19.562 01/03/1996]',-0.128,-0.145,0.478,82.707,-0.456,-0.539
'[14:49:19.564 01/03/1996]',-0.137,-0.163,0.515,82.707,-0.456,-0.539
'[14:49:19.566 01/03/1996]',-0.145,-0.182,0.550,82.707,-0.456,-0.539
'[14:49:19.568 01/03/1996]',-0.150,-0.200,0.550,82.105,-0.462,-0.541
'[14:49:19.570 01/03/1996]',-0.155,-0.218,0.587,82.105,-0.462,-0.541
'[14:49:19.572 01/03/1996]',-0.158,-0.218,0.587,82.105,-0.462,-0.541
'[14:49:19.574 01/03/1996]',-0.162,-0.237,0.587,82.105,-0.462,-0.541
'[14:49:19.576 01/03/1996]',-0.163,-0.218,0.587,81.504,-0.468,-0.543
'[14:49:19.578 01/03/1996]',-0.163,-0.218,0.587,81.504,-0.468,-0.543
'[14:49:19.580 01/03/1996]',-0.163,-0.218,0.623,81.504,-0.468,-0.543
'[14:49:19.582 01/03/1996]',-0.162,-0.218,0.623,81.504,-0.468,-0.543
'[14:49:19.584 01/03/1996]',-0.162,-0.218,0.623,80.902,-0.474,-0.545
'[14:49:19.586 01/03/1996]',-0.162,-0.218,0.623,80.902,-0.474,-0.545
'[14:49:19.588 01/03/1996]',-0.162,-0.218,0.623,80.902,-0.474,-0.545
'[14:49:19.590 01/03/1996]',-0.162,-0.218,0.623,80.902,-0.474,-0.545
'[14:49:19.592 01/03/1996]',-0.163,-0.218,0.623,80.226,-0.478,-0.547
'[14:49:19.594 01/03/1996]',-0.163,-0.200,0.623,80.226,-0.478,-0.547
'[14:49:19.596 01/03/1996]',-0.164,-0.200,0.623,80.226,-0.478,-0.547
'[14:49:19.598 01/03/1996]',-0.165,-0.218,0.623,80.226,-0.478,-0.547
'[14:49:19.600 01/03/1996]',-0.166,-0.218,0.623,79.624,-0.482,-0.549
'[14:49:19.602 01/03/1996]',-0.167,-0.218,0.623,79.624,-0.482,-0.549
'[14:49:19.604 01/03/1996]',-0.168,-0.237,0.623,79.624,-0.482,-0.549
'[14:49:19.606 01/03/1996]',-0.170,-0.237,0.660,79.624,-0.482,-0.549
'[14:49:19.608 01/03/1996]',-0.171,-0.237,0.660,78.947,-0.485,-0.551
'[14:49:19.610 01/03/1996]',-0.172,-0.218,0.660,78.947,-0.485,-0.551
'[14:49:19.612 01/03/1996]',-0.172,-0.218,0.660,78.947,-0.485,-0.551
'[14:49:19.614 01/03/1996]',-0.172,-0.200,0.660,78.947,-0.485,-0.551
'[14:49:19.616 01/03/1996]',-0.172,-0.218,0.660,78.346,-0.488,-0.553
