'Time and date','V','ABP','PLETH','RESP'
'[08:26:12.090 17/05/1995]',0.125,67.423,0.000,-0.439
'[08:26:12.092 17/05/1995]',0.118,67.423,0.000,-0.439
'[08:26:12.094 17/05/1995]',0.112,67.423,0.000,-0.439
'[08:26:12.096 17/05/1995]',0.084,67.113,0.000,-0.429
'[08:26:12.098 17/05/1995]',0.057,67.113,0.000,-0.429
'[08:26:12.100 17/05/1995]',-0.005,67.113,0.000,-0.429
'[08:26:12.102 17/05/1995]',-0.066,67.113,0.000,-0.429
'[08:26:12.104 17/05/1995]',-0.165,66.701,0.000,-0.420
'[08:26:12.106 17/05/1995]',-0.264,66.701,0.000,-0.420
'[08:26:12.108 17/05/1995]',-0.396,66.701,0.000,-0.420
'[08:26:12.110 17/05/1995]',-0.527,66.701,0.000,-0.420
'[08:26:12.112 17/05/1995]',-0.669,66.289,0.000,-0.410
'[08:26:12.114 17/05/1995]',-0.810,66.289,0.000,-0.410
'[08:26:12.116 17/05/1995]',-0.931,66.289,0.000,-0.410
'[08:26:12.118 17/05/1995]',-1.052,66.289,0.000,-0.410
'[08:26:12.120 17/05/1995]',-1.119,65.670,0.000,-0.401
'[08:26:12.122 17/05/1995]',-1.186,65.670,0.000,-0.401
'[08:26:12.124 17/05/1995]',-1.182,65.670,0.000,-0.401
'[08:26:12.126 17/05/1995]',-1.177,65.670,0.000,-0.401
'[08:26:12.128 17/05/1995]',-1.104,65.155,0.000,-0.392
'[08:26:12.130 17/05/1995]',-1.030,65.155,0.000,-0.392
'[08:26:12.132 17/05/1995]',-0.912,65.155,0.000,-0.392
'[08:26:12.134 17/05/1995]',-0.793,65.155,0.000,-0.392
'[08:26:12.136 17/05/1995]',-0.668,64.639,0.000,-0.384
'[08:26:12.138 17/05/1995]',-0.542,64.639,0.000,-0.384
'[08:26:12.140 17/05/1995]',-0.432,64.639,0.000,-0.384
'[08:26:12.142 17/05/1995]',-0.321,64.639,0.000,-0.384
'[08:26:12.144 17/05/1995]',-0.237,64.227,0.000,-0.376
'[08:26:12.146 17/05/1995]',-0.152,64.227,0.000,-0.376
'[08:26:12.148 17/05/1995]',-0.092,64.227,0.000,-0.376
'[08:26:12.150 17/05/1995]',-0.031,64.227,0.000,-0.376
'[08:26:12.152 17/05/1995]',0.010,63.814,0.000,-0.368
'[08:26:12.154 17/05/1995]',0.051,63.814,0.000,-0.368
'[08:26:12.156 17/05/1995]',0.082,63.814,0.000,-0.368
'[08:26:12.158 17/05/1995]',0.112,63.814,0.000,-0.368
'[08:26:12.160 17/05/1995]',0.133,63.402,0.000,-0.362
'[08:26:12.162 17/05/1995]',0.154,63.402,0.000,-0.362
'[08:26:12.164 17/05/1995]',0.165,63.402,0.000,-0.362
'[08:26:12.166 17/05/1995]',0.176,63.402,0.000,-0.362
'[08:26:12.168 17/05/1995]',0.182,62.784,0.000,-0.358
'[08:26:12.170 17/05/1995]',0.187,62.784,0.000,-0.358
'[08:26:12.172 17/05/1995]',0.191,62.784,0.000,-0.358
'[08:26:12.174 17/05/1995]',0.195,62.784,0.000,-0.358
'[08:26:12.176 17/05/1995]',0.197,62.371,0.000,-0.357
'[08:26:12.178 17/05/1995]',0.200,62.371,0.000,-0.357
'[08:26:12.180 17/05/1995]',0.202,62.371,0.000,-0.357
'[08:26:12.182 17/05/1995]',0.204,62.371,0.000,-0.357
'[08:26:12.184 17/05/1995]',0.205,61.753,0.000,-0.358
'[08:26:12.186 17/05/1995]',0.206,61.753,0.000,-0.358
'[08:26:12.188 17/05/1995]',0.207,61.753,0.000,-0.358
'[08:26:12.190 17/05/1995]',0.208,61.753,0.000,-0.358
'[08:26:12.192 17/05/1995]',0.208,61.340,0.000,-0.362
'[08:26:12.194 17/05/1995]',0.209,61.340,0.000,-0.362
'[08:26:12.196 17/05/1995]',0.208,61.340,0.000,-0.362
'[08:26:12.198 17/05/1995]',0.206,61.340,0.000,-0.362
'[08:26:12.200 17/05/1995]',0.204,60.722,0.000,-0.367
'[08:26:12.202 17/05/1995]',0.202,60.722,0.000,-0.367
'[08:26:12.204 17/05/1995]',0.200,60.722,0.000,-0.367
'[08:26:12.206 17/05/1995]',0.198,60.722,0.000,-0.367
'[08:26:12.208 17/05/1995]',0.197,60.206,0.000,-0.375
'[08:26:12.210 17/05/1995]',0.195,60.206,0.000,-0.375
'[08:26:12.212 17/05/1995]',0.194,60.206,0.000,-0.375
'[08:26:12.214 17/05/1995]',0.193,60.206,0.000,-0.375
'[08:26:12.216 17/05/1995]',0.191,59.588,0.000,-0.384
'[08:26:12.218 17/05/1995]',0.189,59.588,0.000,-0.384
'[08:26:12.220 17/05/1995]',0.187,59.588,0.000,-0.384
'[08:26:12.222 17/05/1995]',0.185,59.588,0.000,-0.384
'[08:26:12.224 17/05/1995]',0.185,58.969,0.000,-0.395
'[08:26:12.226 17/05/1995]',0.185,58.969,0.000,-0.395
'[08:26:12.228 17/05/1995]',0.183,58.969,0.000,-0.395
'[08:26:12.230 17/05/1995]',0.180,58.969,0.000,-0.395
'[08:26:12.232 17/05/1995]',0.177,58.454,0.000,-0.408
'[08:26:12.234 17/05/1995]',0.174,58.454,0.000,-0.408
'[08:26:12.236 17/05/1995]',0.173,58.454,0.000,-0.408
'[08:26:12.238 17/05/1995]',0.171,58.454,0.000,-0.408
'[08:26:12.240 17/05/1995]',0.170,57.938,0.000,-0.424
'[08:26:12.242 17/05/1995]',0.169,57.938,0.000,-0.424
'[08:26:12.244 17/05/1995]',0.168,57.938,0.000,-0.424
'[08:26:12.246 17/05/1995]',0.167,57.938,0.000,-0.424
'[08:26:12.248 17/05/1995]',0.167,57.526,0.000,-0.442
'[08:26:12.250 17/05/1995]',0.167,57.526,0.000,-0.442
'[08:26:12.252 17/05/1995]',0.167,57.526,0.000,-0.442
'[08:26:12.254 17/05/1995]',0.167,57.526,0.000,-0.442
'[08:26:12.256 17/05/1995]',0.167,57.320,0.000,-0.460
'[08:26:12.258 17/05/1995]',0.167,57.320,0.000,-0.460
'[08:26:12.260 17/05/1995]',0.166,57.320,0.000,-0.460
'[08:26:12.262 17/05/1995]',0.165,57.320,0.000,-0.460
'[08:26:12.264 17/05/1995]',0.163,57.938,0.000,-0.477
'[08:26:12.266 17/05/1995]',0.160,57.938,0.000,-0.477
'[08:26:12.268 17/05/1995]',0.156,57.938,0.000,-0.477
'[08:26:12.270 17/05/1995]',0.152,57.938,0.000,-0.477
'[08:26:12.272 17/05/1995]',0.149,59.794,0.000,-0.494
'[08:26:12.274 17/05/1995]',0.145,59.794,0.000,-0.494
'[08:26:12.276 17/05/1995]',0.143,59.794,0.000,-0.494
'[08:26:12.278 17/05/1995]',0.141,59.794,0.000,-0.494
'[08:26:12.280 17/05/1995]',0.140,63.505,0.000,-0.510
'[08:26:12.282 17/05/1995]',0.138,63.505,0.000,-0.510
'[08:26:12.284 17/05/1995]',0.135,63.505,0.000,-0.510
'[08:26:12.286 17/05/1995]',0.132,63.505,0.000,-0.510
'[08:26:12.288 17/05/1995]',0.129,69.072,0.000,-0.526
'[08:26:12.290 17/05/1995]',0.125,69.072,0.000,-0.526
'[08:26:12.292 17/05/1995]',0.122,69.072,0.000,-0.526
'[08:26:12.294 17/05/1995]',0.119,69.072,0.000,-0.526
'[08:26:12.296 17/05/1995]',0.116,76.392,0.000,-0.539
'[08:26:12.298 17/05/1995]',0.112,76.392,0.000,-0.539
'[08:26:12.300 17/05/1995]',0.108,76.392,0.000,-0.539
'[08:26:12.302 17/05/1995]',0.105,76.392,0.000,-0.539
'[08:26:12.304 17/05/1995]',0.102,84.948,0.000,-0.552
'[08:26:12.306 17/05/1995]',0.099,84.948,0.000,-0.552
'[08:26:12.308 17/05/1995]',0.096,84.948,0.000,-0.552
'[08:26:12.310 17/05/1995]',0.092,84.948,0.000,-0.552
'[08:26:12.312 17/05/1995]',0.088,93.918,0.000,-0.563
'[08:26:12.314 17/05/1995]',0.084,93.918,0.000,-0.563
'[08:26:12.316 17/05/1995]',0.082,93.918,0.000,-0.563
'[08:26:12.318 17/05/1995]',0.079,93.918,0.000,-0.563
'[08:26:12.320 17/05/1995]',0.075,102.784,0.000,-0.573
'[08:26:12.322 17/05/1995]',0.072,102.784,0.000,-0.573
'[08:26:12.324 17/05/1995]',0.068,102.784,0.000,-0.573
'[08:26:12.326 17/05/1995]',0.064,102.784,0.000,-0.573
'[08:26:12.328 17/05/1995]',0.062,111.031,0.000,-0.582
'[08:26:12.330 17/05/1995]',0.059,111.031,0.000,-0.582
'[08:26:12.332 17/05/1995]',0.055,111.031,0.000,-0.582
'[08:26:12.334 17/05/1995]',0.051,111.031,0.000,-0.582
'[08:26:12.336 17/05/1995]',0.050,118.557,0.000,-0.589
'[08:26:12.338 17/05/1995]',0.048,118.557,0.000,-0.589
'[08:26:12.340 17/05/1995]',0.046,118.557,0.000,-0.589
'[08:26:12.342 17/05/1995]',0.044,118.557,0.000,-0.589
'[08:26:12.344 17/05/1995]',0.041,125.155,0.000,-0.595
'[08:26:12.346 17/05/1995]',0.039,125.155,0.000,-0.595
'[08:26:12.348 17/05/1995]',0.037,125.155,0.000,-0.595
'[08:26:12.350 17/05/1995]',0.035,125.155,0.000,-0.595
'[08:26:12.352 17/05/1995]',0.033,130.928,0.000,-0.600
'[08:26:12.354 17/05/1995]',0.031,130.928,0.000,-0.600
'[08:26:12.356 17/05/1995]',0.032,130.928,0.000,-0.600
'[08:26:12.358 17/05/1995]',0.033,130.928,0.000,-0.600
'[08:26:12.360 17/05/1995]',0.033,135.670,0.000,-0.604
'[08:26:12.362 17/05/1995]',0.033,135.670,0.000,-0.604
'[08:26:12.364 17/05/1995]',0.033,135.670,0.000,-0.604
'[08:26:12.366 17/05/1995]',0.033,135.670,0.000,-0.604
'[08:26:12.368 17/05/1995]',0.033,139.381,0.000,-0.607
'[08:26:12.370 17/05/1995]',0.033,139.381,0.000,-0.607
'[08:26:12.372 17/05/1995]',0.033,139.381,0.000,-0.607
'[08:26:12.374 17/05/1995]',0.033,139.381,0.000,-0.607
'[08:26:12.376 17/05/1995]',0.034,142.268,0.000,-0.610
'[08:26:12.378 17/05/1995]',0.035,142.268,0.000,-0.610
'[08:26:12.380 17/05/1995]',0.037,142.268,0.000,-0.610
'[08:26:12.382 17/05/1995]',0.039,142.268,0.000,-0.610
'[08:26:12.384 17/05/1995]',0.039,144.330,0.000,-0.612
'[08:26:12.386 17/05/1995]',0.040,144.330,0.000,-0.612
'[08:26:12.388 17/05/1995]',0.040,144.330,0.000,-0.612
'[08:26:12.390 17/05/1995]',0.040,144.330,0.000,-0.612
'[08:26:12.392 17/05/1995]',0.040,145.567,0.000,-0.613
'[08:26:12.394 17/05/1995]',0.040,145.567,0.000,-0.613
'[08:26:12.396 17/05/1995]',0.040,145.567,0.000,-0.613
'[08:26:12.398 17/05/1995]',0.040,145.567,0.000,-0.613
'[08:26:12.400 17/05/1995]',0.040,146.082,0.000,-0.614
'[08:26:12.402 17/05/1995]',0.040,146.082,0.000,-0.614
'[08:26:12.404 17/05/1995]',0.040,146.082,0.000,-0.614
'[08:26:12.406 17/05/1995]',0.040,146.082,0.000,-0.614
'[08:26:12.408 17/05/1995]',0.039,146.082,0.000,-0.615
'[08:26:12.410 17/05/1995]',0.039,146.082,0.000,-0.615
'[08:26:12.412 17/05/1995]',0.037,146.082,0.000,-0.615
'[08:26:12.414 17/05/1995]',0.035,146.082,0.000,-0.615
'[08:26:12.416 17/05/1995]',0.033,145.361,0.000,-0.615
'[08:26:12.418 17/05/1995]',0.031,145.361,0.000,-0.615
'[08:26:12.420 17/05/1995]',0.032,145.361,0.000,-0.615
'[08:26:12.422 17/05/1995]',0.033,145.361,0.000,-0.615
'[08:26:12.424 17/05/1995]',0.032,144.124,0.000,-0.612
'[08:26:12.426 17/05/1995]',0.031,144.124,0.000,-0.612
'[08:26:12.428 17/05/1995]',0.029,144.124,0.000,-0.612
'[08:26:12.430 17/05/1995]',0.028,144.124,0.000,-0.612
'[08:26:12.432 17/05/1995]',0.027,142.474,0.000,-0.608
'[08:26:12.434 17/05/1995]',0.026,142.474,0.000,-0.608
'[08:26:12.436 17/05/1995]',0.026,142.474,0.000,-0.608
'[08:26:12.438 17/05/1995]',0.026,142.474,0.000,-0.608
'[08:26:12.440 17/05/1995]',0.027,140.206,0.000,-0.603
'[08:26:12.442 17/05/1995]',0.028,140.206,0.000,-0.603
'[08:26:12.444 17/05/1995]',0.029,140.206,0.000,-0.603
'[08:26:12.446 17/05/1995]',0.031,140.206,0.000,-0.603
'[08:26:12.448 17/05/1995]',0.034,137.629,0.000,-0.596
'[08:26:12.450 17/05/1995]',0.037,137.629,0.000,-0.596
'[08:26:12.452 17/05/1995]',0.038,137.629,0.000,-0.596
'[08:26:12.454 17/05/1995]',0.039,137.629,0.000,-0.596
'[08:26:12.456 17/05/1995]',0.040,134.536,0.000,-0.589
'[08:26:12.458 17/05/1995]',0.042,134.536,0.000,-0.589
'[08:26:12.460 17/05/1995]',0.044,134.536,0.000,-0.589
'[08:26:12.462 17/05/1995]',0.046,134.536,0.000,-0.589
'[08:26:12.464 17/05/1995]',0.047,131.031,0.000,-0.582
'[08:26:12.466 17/05/1995]',0.048,131.031,0.000,-0.582
'[08:26:12.468 17/05/1995]',0.047,131.031,0.000,-0.582
'[08:26:12.470 17/05/1995]',0.046,131.031,0.000,-0.582
'[08:26:12.472 17/05/1995]',0.046,127.113,0.000,-0.574
'[08:26:12.474 17/05/1995]',0.046,127.113,0.000,-0.574
'[08:26:12.476 17/05/1995]',0.046,127.113,0.000,-0.574
'[08:26:12.478 17/05/1995]',0.046,127.113,0.000,-0.574
'[08:26:12.480 17/05/1995]',0.046,122.784,0.000,-0.566
'[08:26:12.482 17/05/1995]',0.046,122.784,0.000,-0.566
'[08:26:12.484 17/05/1995]',0.046,122.784,0.000,-0.566
'[08:26:12.486 17/05/1995]',0.046,122.784,0.000,-0.566
'[08:26:12.488 17/05/1995]',0.046,117.938,0.000,-0.558
'[08:26:12.490 17/05/1995]',0.046,117.938,0.000,-0.558
'[08:26:12.492 17/05/1995]',0.046,117.938,0.000,-0.558
'[08:26:12.494 17/05/1995]',0.046,117.938,0.000,-0.558
'[08:26:12.496 17/05/1995]',0.047,112.784,0.000,-0.551
'[08:26:12.498 17/05/1995]',0.048,112.784,0.000,-0.551
'[08:26:12.500 17/05/1995]',0.050,112.784,0.000,-0.551
'[08:26:12.502 17/05/1995]',0.051,112.784,0.000,-0.551
'[08:26:12.504 17/05/1995]',0.052,107.732,0.000,-0.545
'[08:26:12.506 17/05/1995]',0.053,107.732,0.000,-0.545
'[08:26:12.508 17/05/1995]',0.053,107.732,0.000,-0.545
'[08:26:12.510 17/05/1995]',0.053,107.732,0.000,-0.545
'[08:26:12.512 17/05/1995]',0.052,102.680,0.000,-0.539
'[08:26:12.514 17/05/1995]',0.051,102.680,0.000,-0.539
'[08:26:12.516 17/05/1995]',0.050,102.680,0.000,-0.539
'[08:26:12.518 17/05/1995]',0.048,102.680,0.000,-0.539
'[08:26:12.520 17/05/1995]',0.047,97.938,0.000,-0.533
'[08:26:12.522 17/05/1995]',0.046,97.938,0.000,-0.533
'[08:26:12.524 17/05/1995]',0.046,97.938,0.000,-0.533
'[08:26:12.526 17/05/1995]',0.046,97.938,0.000,-0.533
'[08:26:12.528 17/05/1995]',0.046,93.711,0.000,-0.529
'[08:26:12.530 17/05/1995]',0.046,93.711,0.000,-0.529
'[08:26:12.532 17/05/1995]',0.046,93.711,0.000,-0.529
'[08:26:12.534 17/05/1995]',0.046,93.711,0.000,-0.529
'[08:26:12.536 17/05/1995]',0.046,89.897,0.000,-0.525
'[08:26:12.538 17/05/1995]',0.046,89.897,0.000,-0.525
'[08:26:12.540 17/05/1995]',0.045,89.897,0.000,-0.525
'[08:26:12.542 17/05/1995]',0.044,89.897,0.000,-0.525
'[08:26:12.544 17/05/1995]',0.043,86.701,0.000,-0.521
'[08:26:12.546 17/05/1995]',0.042,86.701,0.000,-0.521
'[08:26:12.548 17/05/1995]',0.044,86.701,0.000,-0.521
'[08:26:12.550 17/05/1995]',0.046,86.701,0.000,-0.521
'[08:26:12.552 17/05/1995]',0.047,83.918,0.000,-0.516
'[08:26:12.554 17/05/1995]',0.048,83.918,0.000,-0.516
'[08:26:12.556 17/05/1995]',0.046,83.918,0.000,-0.516
'[08:26:12.558 17/05/1995]',0.044,83.918,0.000,-0.516
'[08:26:12.560 17/05/1995]',0.041,81.546,0.000,-0.510
'[08:26:12.562 17/05/1995]',0.039,81.546,0.000,-0.510
'[08:26:12.564 17/05/1995]',0.037,81.546,0.000,-0.510
'[08:26:12.566 17/05/1995]',0.035,81.546,0.000,-0.510
'[08:26:12.568 17/05/1995]',0.032,79.588,0.000,-0.504
'[08:26:12.570 17/05/1995]',0.029,79.588,0.000,-0.504
'[08:26:12.572 17/05/1995]',0.028,79.588,0.000,-0.504
'[08:26:12.574 17/05/1995]',0.028,79.588,0.000,-0.504
'[08:26:12.576 17/05/1995]',0.027,77.938,0.000,-0.498
'[08:26:12.578 17/05/1995]',0.026,77.938,0.000,-0.498
'[08:26:12.580 17/05/1995]',0.026,77.938,0.000,-0.498
'[08:26:12.582 17/05/1995]',0.026,77.938,0.000,-0.498
'[08:26:12.584 17/05/1995]',0.026,76.598,0.000,-0.493
'[08:26:12.586 17/05/1995]',0.026,76.598,0.000,-0.493
'[08:26:12.588 17/05/1995]',0.026,76.598,0.000,-0.493
'[08:26:12.590 17/05/1995]',0.026,76.598,0.000,-0.493
'[08:26:12.592 17/05/1995]',0.024,75.464,0.000,-0.488
'[08:26:12.594 17/05/1995]',0.022,75.464,0.000,-0.488
'[08:26:12.596 17/05/1995]',0.017,75.464,0.000,-0.488
'[08:26:12.598 17/05/1995]',0.011,75.464,0.000,-0.488
'[08:26:12.600 17/05/1995]',0.003,74.433,0.000,-0.484
'[08:26:12.602 17/05/1995]',-0.006,74.433,0.000,-0.484
'[08:26:12.604 17/05/1995]',-0.014,74.433,0.000,-0.484
'[08:26:12.606 17/05/1995]',-0.022,74.433,0.000,-0.484
'[08:26:12.608 17/05/1995]',-0.030,73.608,0.000,-0.481
'[08:26:12.610 17/05/1995]',-0.039,73.608,0.000,-0.481
'[08:26:12.612 17/05/1995]',-0.043,73.608,0.000,-0.481
'[08:26:12.614 17/05/1995]',-0.048,73.608,0.000,-0.481
'[08:26:12.616 17/05/1995]',-0.050,72.990,0.000,-0.478
'[08:26:12.618 17/05/1995]',-0.051,72.990,0.000,-0.478
'[08:26:12.620 17/05/1995]',-0.051,72.990,0.000,-0.478
'[08:26:12.622 17/05/1995]',-0.051,72.990,0.000,-0.478
'[08:26:12.624 17/05/1995]',-0.051,72.371,0.000,-0.475
'[08:26:12.626 17/05/1995]',-0.050,72.371,0.000,-0.475
'[08:26:12.628 17/05/1995]',-0.046,72.371,0.000,-0.475
'[08:26:12.630 17/05/1995]',-0.042,72.371,0.000,-0.475
'[08:26:12.632 17/05/1995]',-0.038,71.856,0.000,-0.473
'[08:26:12.634 17/05/1995]',-0.033,71.856,0.000,-0.473
'[08:26:12.636 17/05/1995]',-0.025,71.856,0.000,-0.473
'[08:26:12.638 17/05/1995]',-0.017,71.856,0.000,-0.473
'[08:26:12.640 17/05/1995]',-0.007,71.443,0.000,-0.471
'[08:26:12.642 17/05/1995]',0.002,71.443,0.000,-0.471
'[08:26:12.644 17/05/1995]',0.009,71.443,0.000,-0.471
'[08:26:12.646 17/05/1995]',0.017,71.443,0.000,-0.471
'[08:26:12.648 17/05/1995]',0.022,71.031,0.000,-0.469
'[08:26:12.650 17/05/1995]',0.028,71.031,0.000,-0.469
'[08:26:12.652 17/05/1995]',0.031,71.031,0.000,-0.469
'[08:26:12.654 17/05/1995]',0.035,71.031,0.000,-0.469
'[08:26:12.656 17/05/1995]',0.039,70.619,0.000,-0.466
'[08:26:12.658 17/05/1995]',0.042,70.619,0.000,-0.466
'[08:26:12.660 17/05/1995]',0.045,70.619,0.000,-0.466
'[08:26:12.662 17/05/1995]',0.048,70.619,0.000,-0.466
'[08:26:12.664 17/05/1995]',0.051,70.206,0.000,-0.463
'[08:26:12.666 17/05/1995]',0.055,70.206,0.000,-0.463
'[08:26:12.668 17/05/1995]',0.058,70.206,0.000,-0.463
'[08:26:12.670 17/05/1995]',0.061,70.206,0.000,-0.463
'[08:26:12.672 17/05/1995]',0.064,69.794,0.000,-0.459
'[08:26:12.674 17/05/1995]',0.068,69.794,0.000,-0.459
'[08:26:12.676 17/05/1995]',0.071,69.794,0.000,-0.459
'[08:26:12.678 17/05/1995]',0.073,69.794,0.000,-0.459
'[08:26:12.680 17/05/1995]',0.073,69.381,0.000,-0.454
'[08:26:12.682 17/05/1995]',0.073,69.381,0.000,-0.454
'[08:26:12.684 17/05/1995]',0.073,69.381,0.000,-0.454
'[08:26:12.686 17/05/1995]',0.073,69.381,0.000,-0.454
'[08:26:12.688 17/05/1995]',0.073,69.072,0.000,-0.447
'[08:26:12.690 17/05/1995]',0.073,69.072,0.000,-0.447
'[08:26:12.692 17/05/1995]',0.073,69.072,0.000,-0.447
'[08:26:12.694 17/05/1995]',0.073,69.072,0.000,-0.447
'[08:26:12.696 17/05/1995]',0.073,68.763,0.000,-0.440
'[08:26:12.698 17/05/1995]',0.073,68.763,0.000,-0.440
'[08:26:12.700 17/05/1995]',0.073,68.763,0.000,-0.440
'[08:26:12.702 17/05/1995]',0.073,68.763,0.000,-0.440
'[08:26:12.704 17/05/1995]',0.074,68.351,0.000,-0.430
'[08:26:12.706 17/05/1995]',0.075,68.351,0.000,-0.430
'[08:26:12.708 17/05/1995]',0.079,68.351,0.000,-0.430
'[08:26:12.710 17/05/1995]',0.083,68.351,0.000,-0.430
'[08:26:12.712 17/05/1995]',0.090,67.938,0.000,-0.419
'[08:26:12.714 17/05/1995]',0.097,67.938,0.000,-0.419
'[08:26:12.716 17/05/1995]',0.107,67.938,0.000,-0.419
'[08:26:12.718 17/05/1995]',0.116,67.938,0.000,-0.419
'[08:26:12.720 17/05/1995]',0.120,67.423,0.000,-0.406
'[08:26:12.722 17/05/1995]',0.125,67.423,0.000,-0.406
'[08:26:12.724 17/05/1995]',0.115,67.423,0.000,-0.406
'[08:26:12.726 17/05/1995]',0.105,67.423,0.000,-0.406
'[08:26:12.728 17/05/1995]',0.068,66.804,0.000,-0.392
'[08:26:12.730 17/05/1995]',0.031,66.804,0.000,-0.392
'[08:26:12.732 17/05/1995]',-0.040,66.804,0.000,-0.392
'[08:26:12.734 17/05/1995]',-0.112,66.804,0.000,-0.392
'[08:26:12.736 17/05/1995]',-0.222,66.289,0.000,-0.377
'[08:26:12.738 17/05/1995]',-0.332,66.289,0.000,-0.377
'[08:26:12.740 17/05/1995]',-0.471,66.289,0.000,-0.377
'[08:26:12.742 17/05/1995]',-0.610,66.289,0.000,-0.377
'[08:26:12.744 17/05/1995]',-0.751,65.773,0.000,-0.360
'[08:26:12.746 17/05/1995]',-0.893,65.773,0.000,-0.360
'[08:26:12.748 17/05/1995]',-1.004,65.773,0.000,-0.360
'[08:26:12.750 17/05/1995]',-1.115,65.773,0.000,-0.360
'[08:26:12.752 17/05/1995]',-1.166,65.361,0.000,-0.344
'[08:26:12.754 17/05/1995]',-1.218,65.361,0.000,-0.344
'[08:26:12.756 17/05/1995]',-1.195,65.361,0.000,-0.344
'[08:26:12.758 17/05/1995]',-1.172,65.361,0.000,-0.344
'[08:26:12.760 17/05/1995]',-1.084,64.948,0.000,-0.327
'[08:26:12.762 17/05/1995]',-0.995,64.948,0.000,-0.327
'[08:26:12.764 17/05/1995]',-0.873,64.948,0.000,-0.327
'[08:26:12.766 17/05/1995]',-0.751,64.948,0.000,-0.327
'[08:26:12.768 17/05/1995]',-0.626,64.536,0.000,-0.311
'[08:26:12.770 17/05/1995]',-0.501,64.536,0.000,-0.311
'[08:26:12.772 17/05/1995]',-0.396,64.536,0.000,-0.311
'[08:26:12.774 17/05/1995]',-0.290,64.536,0.000,-0.311
'[08:26:12.776 17/05/1995]',-0.211,64.124,0.000,-0.296
'[08:26:12.778 17/05/1995]',-0.132,64.124,0.000,-0.296
'[08:26:12.780 17/05/1995]',-0.075,64.124,0.000,-0.296
'[08:26:12.782 17/05/1995]',-0.018,64.124,0.000,-0.296
'[08:26:12.784 17/05/1995]',0.023,63.608,0.000,-0.283
'[08:26:12.786 17/05/1995]',0.064,63.608,0.000,-0.283
'[08:26:12.788 17/05/1995]',0.091,63.608,0.000,-0.283
