'Time and date','III','MCL1'
'[09:32:34.110 04/12/1995]',-0.049,0.003
'[09:32:34.112 04/12/1995]',-0.048,0.003
'[09:32:34.114 04/12/1995]',-0.047,0.035
'[09:32:34.116 04/12/1995]',-0.047,0.035
'[09:32:34.118 04/12/1995]',-0.046,0.003
'[09:32:34.120 04/12/1995]',-0.046,0.003
'[09:32:34.122 04/12/1995]',-0.046,0.003
'[09:32:34.124 04/12/1995]',-0.048,0.003
'[09:32:34.126 04/12/1995]',-0.050,0.003
'[09:32:34.128 04/12/1995]',-0.051,0.035
'[09:32:34.130 04/12/1995]',-0.053,0.035
'[09:32:34.132 04/12/1995]',-0.054,0.035
'[09:32:34.134 04/12/1995]',-0.055,0.003
'[09:32:34.136 04/12/1995]',-0.056,0.003
'[09:32:34.138 04/12/1995]',-0.057,0.003
'[09:32:34.140 04/12/1995]',-0.058,0.003
'[09:32:34.142 04/12/1995]',-0.060,0.003
'[09:32:34.144 04/12/1995]',-0.060,0.003
'[09:32:34.146 04/12/1995]',-0.060,0.003
'[09:32:34.148 04/12/1995]',-0.060,0.003
'[09:32:34.150 04/12/1995]',-0.060,0.003
'[09:32:34.152 04/12/1995]',-0.059,0.003
'[09:32:34.154 04/12/1995]',-0.059,0.003
'[09:32:34.156 04/12/1995]',-0.058,0.003
'[09:32:34.158 04/12/1995]',-0.057,0.003
'[09:32:34.160 04/12/1995]',-0.056,0.003
'[09:32:34.162 04/12/1995]',-0.054,0.003
'[09:32:34.164 04/12/1995]',-0.052,0.003
'[09:32:34.166 04/12/1995]',-0.050,0.003
'[09:32:34.168 04/12/1995]',-0.050,0.003
'[09:32:34.170 04/12/1995]',-0.050,0.003
'[09:32:34.172 04/12/1995]',-0.051,0.003
'[09:32:34.174 04/12/1995]',-0.051,0.003
'[09:32:34.176 04/12/1995]',-0.053,0.003
'[09:32:34.178 04/12/1995]',-0.055,0.003
'[09:32:34.180 04/12/1995]',-0.056,0.003
'[09:32:34.182 04/12/1995]',-0.058,0.003
'[09:32:34.184 04/12/1995]',-0.058,0.003
'[09:32:34.186 04/12/1995]',-0.057,0.003
'[09:32:34.188 04/12/1995]',-0.056,0.003
'[09:32:34.190 04/12/1995]',-0.054,0.003
'[09:32:34.192 04/12/1995]',-0.053,0.003
'[09:32:34.194 04/12/1995]',-0.051,0.003
'[09:32:34.196 04/12/1995]',-0.051,0.003
'[09:32:34.198 04/12/1995]',-0.050,0.003
'[09:32:34.200 04/12/1995]',-0.051,0.003
'[09:32:34.202 04/12/1995]',-0.052,0.003
'[09:32:34.204 04/12/1995]',-0.053,0.003
'[09:32:34.206 04/12/1995]',-0.055,0.003
'[09:32:34.208 04/12/1995]',-0.055,0.003
'[09:32:34.210 04/12/1995]',-0.056,0.003
'[09:32:34.212 04/12/1995]',-0.054,0.003
'[09:32:34.214 04/12/1995]',-0.053,0.003
'[09:32:34.216 04/12/1995]',-0.050,0.003
'[09:32:34.218 04/12/1995]',-0.047,0.003
'[09:32:34.220 04/12/1995]',-0.044,-0.030
'[09:32:34.222 04/12/1995]',-0.041,-0.030
'[09:32:34.224 04/12/1995]',-0.041,0.003
'[09:32:34.226 04/12/1995]',-0.041,0.003
'[09:32:34.228 04/12/1995]',-0.043,0.003
'[09:32:34.230 04/12/1995]',-0.044,0.003
'[09:32:34.232 04/12/1995]',-0.046,0.003
'[09:32:34.234 04/12/1995]',-0.048,0.003
'[09:32:34.236 04/12/1995]',-0.048,0.003
'[09:32:34.238 04/12/1995]',-0.048,0.003
'[09:32:34.240 04/12/1995]',-0.045,0.003
'[09:32:34.242 04/12/1995]',-0.043,0.003
'[09:32:34.244 04/12/1995]',-0.038,0.003
'[09:32:34.246 04/12/1995]',-0.033,0.035
'[09:32:34.248 04/12/1995]',-0.029,0.035
'[09:32:34.250 04/12/1995]',-0.025,0.035
'[09:32:34.252 04/12/1995]',-0.023,0.035
'[09:32:34.254 04/12/1995]',-0.021,0.003
'[09:32:34.256 04/12/1995]',-0.021,0.035
'[09:32:34.258 04/12/1995]',-0.021,0.003
'[09:32:34.260 04/12/1995]',-0.022,0.003
'[09:32:34.262 04/12/1995]',-0.022,0.003
'[09:32:34.264 04/12/1995]',-0.023,0.003
'[09:32:34.266 04/12/1995]',-0.024,0.003
'[09:32:34.268 04/12/1995]',-0.023,0.003
'[09:32:34.270 04/12/1995]',-0.023,-0.030
'[09:32:34.272 04/12/1995]',-0.022,-0.030
'[09:32:34.274 04/12/1995]',-0.020,-0.030
'[09:32:34.276 04/12/1995]',-0.019,-0.030
'[09:32:34.278 04/12/1995]',-0.018,-0.030
'[09:32:34.280 04/12/1995]',-0.018,-0.030
'[09:32:34.282 04/12/1995]',-0.017,-0.030
'[09:32:34.284 04/12/1995]',-0.019,-0.030
'[09:32:34.286 04/12/1995]',-0.020,0.003
'[09:32:34.288 04/12/1995]',-0.022,-0.030
'[09:32:34.290 04/12/1995]',-0.024,-0.030
'[09:32:34.292 04/12/1995]',-0.026,0.003
'[09:32:34.294 04/12/1995]',-0.027,0.003
'[09:32:34.296 04/12/1995]',-0.028,0.003
'[09:32:34.298 04/12/1995]',-0.029,0.003
'[09:32:34.300 04/12/1995]',-0.030,0.003
'[09:32:34.302 04/12/1995]',-0.031,0.003
'[09:32:34.304 04/12/1995]',-0.034,0.003
'[09:32:34.306 04/12/1995]',-0.036,0.003
'[09:32:34.308 04/12/1995]',-0.040,0.003
'[09:32:34.310 04/12/1995]',-0.044,0.003
'[09:32:34.312 04/12/1995]',-0.048,0.003
'[09:32:34.314 04/12/1995]',-0.052,0.003
'[09:32:34.316 04/12/1995]',-0.055,0.003
'[09:32:34.318 04/12/1995]',-0.057,0.003
'[09:32:34.320 04/12/1995]',-0.057,0.003
'[09:32:34.322 04/12/1995]',-0.057,0.003
'[09:32:34.324 04/12/1995]',-0.054,0.003
'[09:32:34.326 04/12/1995]',-0.052,0.003
'[09:32:34.328 04/12/1995]',-0.049,0.003
'[09:32:34.330 04/12/1995]',-0.047,0.003
'[09:32:34.332 04/12/1995]',-0.045,0.003
'[09:32:34.334 04/12/1995]',-0.043,0.003
'[09:32:34.336 04/12/1995]',-0.044,0.003
'[09:32:34.338 04/12/1995]',-0.045,0.003
'[09:32:34.340 04/12/1995]',-0.047,0.003
'[09:32:34.342 04/12/1995]',-0.050,0.003
'[09:32:34.344 04/12/1995]',-0.051,0.003
'[09:32:34.346 04/12/1995]',-0.053,0.003
'[09:32:34.348 04/12/1995]',-0.053,0.003
'[09:32:34.350 04/12/1995]',-0.053,0.003
'[09:32:34.352 04/12/1995]',-0.052,0.003
'[09:32:34.354 04/12/1995]',-0.051,0.003
'[09:32:34.356 04/12/1995]',-0.052,0.003
'[09:32:34.358 04/12/1995]',-0.052,0.003
'[09:32:34.360 04/12/1995]',-0.053,0.003
'[09:32:34.362 04/12/1995]',-0.055,0.003
'[09:32:34.364 04/12/1995]',-0.056,0.003
'[09:32:34.366 04/12/1995]',-0.057,0.003
'[09:32:34.368 04/12/1995]',-0.057,0.003
'[09:32:34.370 04/12/1995]',-0.058,0.003
'[09:32:34.372 04/12/1995]',-0.057,0.003
'[09:32:34.374 04/12/1995]',-0.056,0.003
'[09:32:34.376 04/12/1995]',-0.055,0.003
'[09:32:34.378 04/12/1995]',-0.053,0.003
'[09:32:34.380 04/12/1995]',-0.052,0.003
'[09:32:34.382 04/12/1995]',-0.051,0.003
'[09:32:34.384 04/12/1995]',-0.051,0.003
'[09:32:34.386 04/12/1995]',-0.051,0.003
'[09:32:34.388 04/12/1995]',-0.051,-0.030
'[09:32:34.390 04/12/1995]',-0.051,-0.030
'[09:32:34.392 04/12/1995]',-0.048,-0.030
'[09:32:34.394 04/12/1995]',-0.045,-0.030
'[09:32:34.396 04/12/1995]',-0.038,0.003
'[09:32:34.398 04/12/1995]',-0.031,-0.030
'[09:32:34.400 04/12/1995]',-0.017,-0.030
'[09:32:34.402 04/12/1995]',-0.002,-0.030
'[09:32:34.404 04/12/1995]',0.022,-0.064
'[09:32:34.406 04/12/1995]',0.045,-0.064
'[09:32:34.408 04/12/1995]',0.075,-0.064
'[09:32:34.410 04/12/1995]',0.105,-0.097
'[09:32:34.412 04/12/1995]',0.136,-0.131
'[09:32:34.414 04/12/1995]',0.168,-0.164
'[09:32:34.416 04/12/1995]',0.198,-0.231
'[09:32:34.418 04/12/1995]',0.228,-0.298
'[09:32:34.420 04/12/1995]',0.251,-0.399
'[09:32:34.422 04/12/1995]',0.274,-0.498
'[09:32:34.424 04/12/1995]',0.287,-0.632
'[09:32:34.426 04/12/1995]',0.299,-0.766
'[09:32:34.428 04/12/1995]',0.300,-0.900
'[09:32:34.430 04/12/1995]',0.301,-1.032
'[09:32:34.432 04/12/1995]',0.292,-1.166
'[09:32:34.434 04/12/1995]',0.284,-1.266
'[09:32:34.436 04/12/1995]',0.271,-1.367
'[09:32:34.438 04/12/1995]',0.258,-1.432
'[09:32:34.440 04/12/1995]',0.246,-1.466
'[09:32:34.442 04/12/1995]',0.235,-1.466
'[09:32:34.444 04/12/1995]',0.228,-1.432
'[09:32:34.446 04/12/1995]',0.222,-1.400
'[09:32:34.448 04/12/1995]',0.224,-1.367
'[09:32:34.450 04/12/1995]',0.226,-1.333
'[09:32:34.452 04/12/1995]',0.237,-1.300
'[09:32:34.454 04/12/1995]',0.248,-1.233
'[09:32:34.456 04/12/1995]',0.265,-1.166
'[09:32:34.458 04/12/1995]',0.282,-1.065
'[09:32:34.460 04/12/1995]',0.301,-0.965
'[09:32:34.462 04/12/1995]',0.320,-0.866
'[09:32:34.464 04/12/1995]',0.333,-0.732
'[09:32:34.466 04/12/1995]',0.345,-0.632
'[09:32:34.468 04/12/1995]',0.343,-0.498
'[09:32:34.470 04/12/1995]',0.342,-0.399
'[09:32:34.472 04/12/1995]',0.323,-0.332
'[09:32:34.474 04/12/1995]',0.305,-0.265
'[09:32:34.476 04/12/1995]',0.273,-0.198
'[09:32:34.478 04/12/1995]',0.241,-0.131
'[09:32:34.480 04/12/1995]',0.205,-0.064
'[09:32:34.482 04/12/1995]',0.169,-0.030
'[09:32:34.484 04/12/1995]',0.135,0.003
'[09:32:34.486 04/12/1995]',0.102,0.035
'[09:32:34.488 04/12/1995]',0.075,0.068
'[09:32:34.490 04/12/1995]',0.048,0.102
'[09:32:34.492 04/12/1995]',0.030,0.102
'[09:32:34.494 04/12/1995]',0.011,0.135
'[09:32:34.496 04/12/1995]',-0.001,0.169
'[09:32:34.498 04/12/1995]',-0.014,0.202
'[09:32:34.500 04/12/1995]',-0.022,0.202
'[09:32:34.502 04/12/1995]',-0.030,0.236
'[09:32:34.504 04/12/1995]',-0.035,0.236
'[09:32:34.506 04/12/1995]',-0.041,0.236
'[09:32:34.508 04/12/1995]',-0.044,0.236
'[09:32:34.510 04/12/1995]',-0.047,0.236
'[09:32:34.512 04/12/1995]',-0.047,0.269
'[09:32:34.514 04/12/1995]',-0.048,0.269
'[09:32:34.516 04/12/1995]',-0.047,0.269
'[09:32:34.518 04/12/1995]',-0.047,0.269
'[09:32:34.520 04/12/1995]',-0.044,0.269
'[09:32:34.522 04/12/1995]',-0.042,0.269
'[09:32:34.524 04/12/1995]',-0.039,0.269
'[09:32:34.526 04/12/1995]',-0.037,0.303
'[09:32:34.528 04/12/1995]',-0.034,0.303
'[09:32:34.530 04/12/1995]',-0.031,0.303
'[09:32:34.532 04/12/1995]',-0.028,0.303
'[09:32:34.534 04/12/1995]',-0.025,0.303
'[09:32:34.536 04/12/1995]',-0.023,0.303
'[09:32:34.538 04/12/1995]',-0.021,0.269
'[09:32:34.540 04/12/1995]',-0.018,0.303
'[09:32:34.542 04/12/1995]',-0.016,0.303
'[09:32:34.544 04/12/1995]',-0.013,0.303
'[09:32:34.546 04/12/1995]',-0.011,0.303
'[09:32:34.548 04/12/1995]',-0.008,0.303
'[09:32:34.550 04/12/1995]',-0.006,0.303
'[09:32:34.552 04/12/1995]',-0.004,0.303
'[09:32:34.554 04/12/1995]',-0.003,0.303
'[09:32:34.556 04/12/1995]',-0.001,0.303
'[09:32:34.558 04/12/1995]',0.001,0.303
'[09:32:34.560 04/12/1995]',0.003,0.303
'[09:32:34.562 04/12/1995]',0.005,0.303
'[09:32:34.564 04/12/1995]',0.007,0.303
'[09:32:34.566 04/12/1995]',0.009,0.336
'[09:32:34.568 04/12/1995]',0.012,0.336
'[09:32:34.570 04/12/1995]',0.014,0.303
'[09:32:34.572 04/12/1995]',0.016,0.303
'[09:32:34.574 04/12/1995]',0.018,0.303
'[09:32:34.576 04/12/1995]',0.019,0.336
'[09:32:34.578 04/12/1995]',0.021,0.336
'[09:32:34.580 04/12/1995]',0.022,0.336
'[09:32:34.582 04/12/1995]',0.024,0.336
'[09:32:34.584 04/12/1995]',0.025,0.336
'[09:32:34.586 04/12/1995]',0.027,0.336
'[09:32:34.588 04/12/1995]',0.029,0.336
'[09:32:34.590 04/12/1995]',0.031,0.336
'[09:32:34.592 04/12/1995]',0.032,0.370
'[09:32:34.594 04/12/1995]',0.034,0.370
'[09:32:34.596 04/12/1995]',0.035,0.370
'[09:32:34.598 04/12/1995]',0.037,0.370
'[09:32:34.600 04/12/1995]',0.039,0.370
'[09:32:34.602 04/12/1995]',0.041,0.370
'[09:32:34.604 04/12/1995]',0.043,0.370
'[09:32:34.606 04/12/1995]',0.045,0.370
'[09:32:34.608 04/12/1995]',0.045,0.370
'[09:32:34.610 04/12/1995]',0.045,0.370
'[09:32:34.612 04/12/1995]',0.045,0.403
'[09:32:34.614 04/12/1995]',0.045,0.403
'[09:32:34.616 04/12/1995]',0.044,0.403
'[09:32:34.618 04/12/1995]',0.043,0.370
'[09:32:34.620 04/12/1995]',0.043,0.370
'[09:32:34.622 04/12/1995]',0.043,0.370
'[09:32:34.624 04/12/1995]',0.042,0.370
'[09:32:34.626 04/12/1995]',0.041,0.370
'[09:32:34.628 04/12/1995]',0.040,0.370
'[09:32:34.630 04/12/1995]',0.040,0.370
'[09:32:34.632 04/12/1995]',0.039,0.370
'[09:32:34.634 04/12/1995]',0.038,0.370
'[09:32:34.636 04/12/1995]',0.038,0.370
'[09:32:34.638 04/12/1995]',0.037,0.336
'[09:32:34.640 04/12/1995]',0.036,0.336
'[09:32:34.642 04/12/1995]',0.036,0.336
'[09:32:34.644 04/12/1995]',0.036,0.336
'[09:32:34.646 04/12/1995]',0.036,0.336
'[09:32:34.648 04/12/1995]',0.035,0.336
'[09:32:34.650 04/12/1995]',0.034,0.336
'[09:32:34.652 04/12/1995]',0.033,0.303
'[09:32:34.654 04/12/1995]',0.032,0.303
'[09:32:34.656 04/12/1995]',0.030,0.269
'[09:32:34.658 04/12/1995]',0.029,0.269
'[09:32:34.660 04/12/1995]',0.027,0.269
'[09:32:34.662 04/12/1995]',0.025,0.236
'[09:32:34.664 04/12/1995]',0.024,0.236
'[09:32:34.666 04/12/1995]',0.022,0.236
'[09:32:34.668 04/12/1995]',0.022,0.236
'[09:32:34.670 04/12/1995]',0.021,0.202
'[09:32:34.672 04/12/1995]',0.019,0.202
'[09:32:34.674 04/12/1995]',0.018,0.169
'[09:32:34.676 04/12/1995]',0.017,0.169
'[09:32:34.678 04/12/1995]',0.015,0.169
'[09:32:34.680 04/12/1995]',0.015,0.169
'[09:32:34.682 04/12/1995]',0.014,0.135
'[09:32:34.684 04/12/1995]',0.013,0.135
'[09:32:34.686 04/12/1995]',0.012,0.135
'[09:32:34.688 04/12/1995]',0.012,0.102
'[09:32:34.690 04/12/1995]',0.011,0.102
'[09:32:34.692 04/12/1995]',0.009,0.068
'[09:32:34.694 04/12/1995]',0.008,0.068
'[09:32:34.696 04/12/1995]',0.007,0.068
'[09:32:34.698 04/12/1995]',0.006,0.068
'[09:32:34.700 04/12/1995]',0.005,0.068
'[09:32:34.702 04/12/1995]',0.004,0.068
'[09:32:34.704 04/12/1995]',0.003,0.035
'[09:32:34.706 04/12/1995]',0.002,0.035
'[09:32:34.708 04/12/1995]',0.001,0.035
'[09:32:34.710 04/12/1995]',0.001,0.035
'[09:32:34.712 04/12/1995]',-0.001,0.035
'[09:32:34.714 04/12/1995]',-0.002,0.035
'[09:32:34.716 04/12/1995]',-0.004,0.035
'[09:32:34.718 04/12/1995]',-0.005,0.003
'[09:32:34.720 04/12/1995]',-0.006,0.003
'[09:32:34.722 04/12/1995]',-0.006,0.003
'[09:32:34.724 04/12/1995]',-0.006,0.003
'[09:32:34.726 04/12/1995]',-0.006,0.003
'[09:32:34.728 04/12/1995]',-0.006,0.003
'[09:32:34.730 04/12/1995]',-0.006,0.003
'[09:32:34.732 04/12/1995]',-0.006,0.003
'[09:32:34.734 04/12/1995]',-0.006,0.003
'[09:32:34.736 04/12/1995]',-0.007,0.003
'[09:32:34.738 04/12/1995]',-0.007,0.003
'[09:32:34.740 04/12/1995]',-0.008,0.003
'[09:32:34.742 04/12/1995]',-0.009,0.003
'[09:32:34.744 04/12/1995]',-0.009,0.003
'[09:32:34.746 04/12/1995]',-0.009,0.003
'[09:32:34.748 04/12/1995]',-0.010,0.003
'[09:32:34.750 04/12/1995]',-0.011,0.003
'[09:32:34.752 04/12/1995]',-0.011,0.003
'[09:32:34.754 04/12/1995]',-0.011,0.003
'[09:32:34.756 04/12/1995]',-0.010,0.003
'[09:32:34.758 04/12/1995]',-0.009,0.003
'[09:32:34.760 04/12/1995]',-0.007,0.003
'[09:32:34.762 04/12/1995]',-0.005,0.003
'[09:32:34.764 04/12/1995]',-0.004,0.003
'[09:32:34.766 04/12/1995]',-0.004,0.003
'[09:32:34.768 04/12/1995]',-0.004,0.003
'[09:32:34.770 04/12/1995]',-0.004,0.003
'[09:32:34.772 04/12/1995]',-0.006,0.003
'[09:32:34.774 04/12/1995]',-0.008,0.003
'[09:32:34.776 04/12/1995]',-0.009,0.003
'[09:32:34.778 04/12/1995]',-0.011,0.003
'[09:32:34.780 04/12/1995]',-0.011,0.003
'[09:32:34.782 04/12/1995]',-0.011,0.003
'[09:32:34.784 04/12/1995]',-0.011,0.003
'[09:32:34.786 04/12/1995]',-0.011,0.003
'[09:32:34.788 04/12/1995]',-0.011,0.003
'[09:32:34.790 04/12/1995]',-0.011,0.003
'[09:32:34.792 04/12/1995]',-0.012,0.035
'[09:32:34.794 04/12/1995]',-0.012,0.035
'[09:32:34.796 04/12/1995]',-0.012,0.035
'[09:32:34.798 04/12/1995]',-0.012,0.035
'[09:32:34.800 04/12/1995]',-0.012,0.035
'[09:32:34.802 04/12/1995]',-0.012,0.035
'[09:32:34.804 04/12/1995]',-0.012,0.035
'[09:32:34.806 04/12/1995]',-0.012,0.035
'[09:32:34.808 04/12/1995]',-0.012,0.035
'[09:32:34.810 04/12/1995]',-0.012,0.035
'[09:32:34.812 04/12/1995]',-0.013,0.035
'[09:32:34.814 04/12/1995]',-0.014,0.035
'[09:32:34.816 04/12/1995]',-0.015,0.035
'[09:32:34.818 04/12/1995]',-0.017,0.035
'[09:32:34.820 04/12/1995]',-0.017,0.003
'[09:32:34.822 04/12/1995]',-0.018,0.003
'[09:32:34.824 04/12/1995]',-0.019,0.003
'[09:32:34.826 04/12/1995]',-0.019,0.003
'[09:32:34.828 04/12/1995]',-0.020,0.035
'[09:32:34.830 04/12/1995]',-0.020,0.035
'[09:32:34.832 04/12/1995]',-0.020,0.035
'[09:32:34.834 04/12/1995]',-0.020,0.035
'[09:32:34.836 04/12/1995]',-0.021,0.003
'[09:32:34.838 04/12/1995]',-0.022,0.003
'[09:32:34.840 04/12/1995]',-0.023,0.003
'[09:32:34.842 04/12/1995]',-0.024,0.003
'[09:32:34.844 04/12/1995]',-0.025,0.003
'[09:32:34.846 04/12/1995]',-0.027,0.003
'[09:32:34.848 04/12/1995]',-0.027,0.035
'[09:32:34.850 04/12/1995]',-0.028,0.003
'[09:32:34.852 04/12/1995]',-0.028,0.003
'[09:32:34.854 04/12/1995]',-0.028,0.003
'[09:32:34.856 04/12/1995]',-0.027,0.003
'[09:32:34.858 04/12/1995]',-0.025,0.003
'[09:32:34.860 04/12/1995]',-0.025,0.003
'[09:32:34.862 04/12/1995]',-0.024,0.003
'[09:32:34.864 04/12/1995]',-0.024,0.003
'[09:32:34.866 04/12/1995]',-0.024,0.003
'[09:32:34.868 04/12/1995]',-0.023,0.003
'[09:32:34.870 04/12/1995]',-0.023,0.003
'[09:32:34.872 04/12/1995]',-0.022,0.003
'[09:32:34.874 04/12/1995]',-0.022,0.003
'[09:32:34.876 04/12/1995]',-0.022,0.003
'[09:32:34.878 04/12/1995]',-0.022,0.003
'[09:32:34.880 04/12/1995]',-0.022,0.003
'[09:32:34.882 04/12/1995]',-0.022,0.003
'[09:32:34.884 04/12/1995]',-0.022,0.003
'[09:32:34.886 04/12/1995]',-0.022,0.003
'[09:32:34.888 04/12/1995]',-0.022,0.003
'[09:32:34.890 04/12/1995]',-0.022,0.003
'[09:32:34.892 04/12/1995]',-0.022,0.003
'[09:32:34.894 04/12/1995]',-0.022,0.003
'[09:32:34.896 04/12/1995]',-0.023,0.003
'[09:32:34.898 04/12/1995]',-0.023,0.003
'[09:32:34.900 04/12/1995]',-0.023,0.003
'[09:32:34.902 04/12/1995]',-0.023,0.003
'[09:32:34.904 04/12/1995]',-0.023,0.003
'[09:32:34.906 04/12/1995]',-0.023,0.003
'[09:32:34.908 04/12/1995]',-0.023,0.003
'[09:32:34.910 04/12/1995]',-0.022,0.003
'[09:32:34.912 04/12/1995]',-0.022,0.003
'[09:32:34.914 04/12/1995]',-0.022,0.003
'[09:32:34.916 04/12/1995]',-0.022,0.003
'[09:32:34.918 04/12/1995]',-0.022,0.003
'[09:32:34.920 04/12/1995]',-0.022,0.003
'[09:32:34.922 04/12/1995]',-0.022,0.003
'[09:32:34.924 04/12/1995]',-0.022,0.003
'[09:32:34.926 04/12/1995]',-0.021,0.003
'[09:32:34.928 04/12/1995]',-0.021,0.003
'[09:32:34.930 04/12/1995]',-0.020,0.003
'[09:32:34.932 04/12/1995]',-0.019,0.003
'[09:32:34.934 04/12/1995]',-0.018,0.003
'[09:32:34.936 04/12/1995]',-0.017,0.003
'[09:32:34.938 04/12/1995]',-0.015,0.003
'[09:32:34.940 04/12/1995]',-0.014,0.003
'[09:32:34.942 04/12/1995]',-0.012,0.003
'[09:32:34.944 04/12/1995]',-0.010,0.003
'[09:32:34.946 04/12/1995]',-0.008,0.003
'[09:32:34.948 04/12/1995]',-0.006,0.003
'[09:32:34.950 04/12/1995]',-0.004,0.003
'[09:32:34.952 04/12/1995]',-0.003,0.003
'[09:32:34.954 04/12/1995]',-0.001,0.003
'[09:32:34.956 04/12/1995]',0.000,0.003
'[09:32:34.958 04/12/1995]',0.002,0.003
'[09:32:34.960 04/12/1995]',0.004,0.003
'[09:32:34.962 04/12/1995]',0.005,0.035
'[09:32:34.964 04/12/1995]',0.007,0.035
'[09:32:34.966 04/12/1995]',0.009,0.035
'[09:32:34.968 04/12/1995]',0.010,0.035
'[09:32:34.970 04/12/1995]',0.011,0.035
'[09:32:34.972 04/12/1995]',0.012,0.035
'[09:32:34.974 04/12/1995]',0.013,0.003
'[09:32:34.976 04/12/1995]',0.013,0.003
'[09:32:34.978 04/12/1995]',0.012,0.003
'[09:32:34.980 04/12/1995]',0.012,0.003
'[09:32:34.982 04/12/1995]',0.011,0.003
'[09:32:34.984 04/12/1995]',0.009,0.003
'[09:32:34.986 04/12/1995]',0.008,-0.030
'[09:32:34.988 04/12/1995]',0.007,-0.030
'[09:32:34.990 04/12/1995]',0.006,-0.030
'[09:32:34.992 04/12/1995]',0.005,-0.030
'[09:32:34.994 04/12/1995]',0.004,-0.030
'[09:32:34.996 04/12/1995]',0.002,0.003
'[09:32:34.998 04/12/1995]',0.001,0.003
'[09:32:35.000 04/12/1995]',0.000,0.003
'[09:32:35.002 04/12/1995]',-0.001,0.003
'[09:32:35.004 04/12/1995]',-0.002,-0.030
'[09:32:35.006 04/12/1995]',-0.003,-0.030
'[09:32:35.008 04/12/1995]',-0.004,-0.030
'[09:32:35.010 04/12/1995]',-0.005,0.003
'[09:32:35.012 04/12/1995]',-0.006,0.003
'[09:32:35.014 04/12/1995]',-0.006,0.003
'[09:32:35.016 04/12/1995]',-0.006,0.003
'[09:32:35.018 04/12/1995]',-0.006,0.003
'[09:32:35.020 04/12/1995]',-0.007,0.003
'[09:32:35.022 04/12/1995]',-0.007,0.003
'[09:32:35.024 04/12/1995]',-0.008,0.003
'[09:32:35.026 04/12/1995]',-0.009,0.003
'[09:32:35.028 04/12/1995]',-0.009,0.003
'[09:32:35.030 04/12/1995]',-0.009,0.003
'[09:32:35.032 04/12/1995]',-0.011,0.003
'[09:32:35.034 04/12/1995]',-0.012,0.003
'[09:32:35.036 04/12/1995]',-0.014,0.003
