'Time and date','II','MCL1','V','ABP','PLETH','RESP'
'[08:14:48.562 02/06/1995]',0.015,0.042,0.027,148.912,0.616,0.376
'[08:14:48.564 02/06/1995]',0.012,0.042,0.027,148.912,0.616,0.376
'[08:14:48.566 02/06/1995]',0.009,0.042,0.027,148.912,0.616,0.376
'[08:14:48.568 02/06/1995]',0.008,0.042,0.027,145.086,0.641,0.408
'[08:14:48.570 02/06/1995]',0.007,0.022,0.027,145.086,0.641,0.408
'[08:14:48.572 02/06/1995]',0.006,0.022,0.027,145.086,0.641,0.408
'[08:14:48.574 02/06/1995]',0.006,0.022,0.027,145.086,0.641,0.408
'[08:14:48.576 02/06/1995]',0.006,0.022,0.027,141.035,0.660,0.440
'[08:14:48.578 02/06/1995]',0.006,0.022,0.027,141.035,0.660,0.440
'[08:14:48.580 02/06/1995]',0.006,0.022,0.027,141.035,0.660,0.440
'[08:14:48.582 02/06/1995]',0.006,0.022,0.027,141.035,0.660,0.440
'[08:14:48.584 02/06/1995]',0.006,0.022,0.027,136.684,0.665,0.472
'[08:14:48.586 02/06/1995]',0.006,0.022,0.002,136.684,0.665,0.472
'[08:14:48.588 02/06/1995]',0.006,0.022,0.002,136.684,0.665,0.472
'[08:14:48.590 02/06/1995]',0.006,0.002,0.002,136.684,0.665,0.472
'[08:14:48.592 02/06/1995]',0.006,0.002,0.002,132.183,0.668,0.505
'[08:14:48.594 02/06/1995]',0.006,0.022,0.002,132.183,0.668,0.505
'[08:14:48.596 02/06/1995]',0.006,0.022,0.002,132.183,0.668,0.505
'[08:14:48.598 02/06/1995]',0.006,0.002,0.002,132.183,0.668,0.505
'[08:14:48.600 02/06/1995]',0.006,0.022,0.002,127.607,0.663,0.538
'[08:14:48.602 02/06/1995]',0.006,0.002,0.002,127.607,0.663,0.538
'[08:14:48.604 02/06/1995]',0.006,0.022,0.002,127.607,0.663,0.538
'[08:14:48.606 02/06/1995]',0.006,0.022,0.002,127.607,0.663,0.538
'[08:14:48.608 02/06/1995]',0.006,0.002,0.002,123.181,0.625,0.571
'[08:14:48.610 02/06/1995]',0.006,0.002,0.002,123.181,0.625,0.571
'[08:14:48.612 02/06/1995]',0.006,0.002,0.002,123.181,0.625,0.571
'[08:14:48.614 02/06/1995]',0.007,0.022,0.002,123.181,0.625,0.571
'[08:14:48.616 02/06/1995]',0.010,0.022,0.027,119.355,0.610,0.604
'[08:14:48.618 02/06/1995]',0.013,0.002,0.002,119.355,0.610,0.604
'[08:14:48.620 02/06/1995]',0.017,0.022,0.027,119.355,0.610,0.604
'[08:14:48.622 02/06/1995]',0.020,0.022,0.027,119.355,0.610,0.604
'[08:14:48.624 02/06/1995]',0.020,0.022,0.027,116.354,0.586,0.636
'[08:14:48.626 02/06/1995]',0.020,0.002,0.002,116.354,0.586,0.636
'[08:14:48.628 02/06/1995]',0.020,0.022,0.027,116.354,0.586,0.636
