'Time and date','II','MCL1','V','ABP','PLETH','RESP'
'[18:13:50.122 19/11/1995]',0.168,0.090,0.003,63.600,0.000,-0.226
'[18:13:50.124 19/11/1995]',0.175,0.090,-0.029,63.600,0.000,-0.226
'[18:13:50.126 19/11/1995]',0.175,0.079,-0.029,63.600,0.000,-0.226
'[18:13:50.128 19/11/1995]',0.193,0.090,-0.029,63.300,0.000,-0.227
'[18:13:50.130 19/11/1995]',0.205,0.079,-0.029,63.300,0.000,-0.227
'[18:13:50.132 19/11/1995]',0.205,0.079,-0.029,63.300,0.000,-0.227
'[18:13:50.134 19/11/1995]',0.205,0.079,-0.029,63.300,0.000,-0.227
'[18:13:50.136 19/11/1995]',0.212,0.079,-0.029,63.100,0.000,-0.227
'[18:13:50.138 19/11/1995]',0.218,0.090,-0.029,63.100,0.000,-0.227
'[18:13:50.140 19/11/1995]',0.230,0.090,-0.029,63.100,0.000,-0.227
'[18:13:50.142 19/11/1995]',0.230,0.090,-0.029,63.100,0.000,-0.227
'[18:13:50.144 19/11/1995]',0.237,0.090,-0.029,62.800,0.000,-0.226
'[18:13:50.146 19/11/1995]',0.237,0.090,-0.029,62.800,0.000,-0.226
'[18:13:50.148 19/11/1995]',0.243,0.090,-0.029,62.800,0.000,-0.226
'[18:13:50.150 19/11/1995]',0.243,0.079,-0.029,62.800,0.000,-0.226
'[18:13:50.152 19/11/1995]',0.255,0.090,-0.060,62.550,0.000,-0.225
'[18:13:50.154 19/11/1995]',0.255,0.090,-0.029,62.550,0.000,-0.225
'[18:13:50.156 19/11/1995]',0.261,0.096,-0.060,62.550,0.000,-0.225
'[18:13:50.158 19/11/1995]',0.274,0.096,-0.060,62.550,0.000,-0.225
'[18:13:50.160 19/11/1995]',0.274,0.096,-0.029,62.300,0.000,-0.224
'[18:13:50.162 19/11/1995]',0.274,0.090,-0.060,62.300,0.000,-0.224
'[18:13:50.164 19/11/1995]',0.280,0.090,-0.060,62.300,0.000,-0.224
'[18:13:50.166 19/11/1995]',0.286,0.090,-0.060,62.300,0.000,-0.224
'[18:13:50.168 19/11/1995]',0.299,0.090,-0.060,62.100,0.000,-0.223
'[18:13:50.170 19/11/1995]',0.305,0.096,-0.060,62.100,0.000,-0.223
'[18:13:50.172 19/11/1995]',0.305,0.096,-0.060,62.100,0.000,-0.223
'[18:13:50.174 19/11/1995]',0.311,0.096,-0.060,62.100,0.000,-0.223
'[18:13:50.176 19/11/1995]',0.324,0.096,-0.060,61.850,0.000,-0.223
'[18:13:50.178 19/11/1995]',0.330,0.102,-0.060,61.850,0.000,-0.223
'[18:13:50.180 19/11/1995]',0.330,0.096,-0.091,61.850,0.000,-0.223
'[18:13:50.182 19/11/1995]',0.342,0.096,-0.091,61.850,0.000,-0.223
'[18:13:50.184 19/11/1995]',0.348,0.096,-0.091,61.600,0.000,-0.222
'[18:13:50.186 19/11/1995]',0.354,0.096,-0.091,61.600,0.000,-0.222
'[18:13:50.188 19/11/1995]',0.367,0.114,-0.060,61.600,0.000,-0.222
'[18:13:50.190 19/11/1995]',0.373,0.114,-0.091,61.600,0.000,-0.222
'[18:13:50.192 19/11/1995]',0.373,0.114,-0.091,61.300,0.000,-0.221
'[18:13:50.194 19/11/1995]',0.379,0.114,-0.091,61.300,0.000,-0.221
'[18:13:50.196 19/11/1995]',0.379,0.102,-0.091,61.300,0.000,-0.221
'[18:13:50.198 19/11/1995]',0.379,0.102,-0.091,61.300,0.000,-0.221
'[18:13:50.200 19/11/1995]',0.379,0.096,-0.091,61.100,0.000,-0.220
'[18:13:50.202 19/11/1995]',0.392,0.102,-0.091,61.100,0.000,-0.220
'[18:13:50.204 19/11/1995]',0.392,0.102,-0.091,61.100,0.000,-0.220
'[18:13:50.206 19/11/1995]',0.398,0.114,-0.091,61.100,0.000,-0.220
'[18:13:50.208 19/11/1995]',0.398,0.102,-0.154,60.850,0.000,-0.219
'[18:13:50.210 19/11/1995]',0.410,0.114,-0.091,60.850,0.000,-0.219
'[18:13:50.212 19/11/1995]',0.410,0.102,-0.154,60.850,0.000,-0.219
'[18:13:50.214 19/11/1995]',0.417,0.102,-0.154,60.850,0.000,-0.219
'[18:13:50.216 19/11/1995]',0.417,0.102,-0.154,60.600,0.000,-0.218
'[18:13:50.218 19/11/1995]',0.417,0.102,-0.154,60.600,0.000,-0.218
'[18:13:50.220 19/11/1995]',0.417,0.114,-0.154,60.600,0.000,-0.218
'[18:13:50.222 19/11/1995]',0.417,0.114,-0.091,60.600,0.000,-0.218
'[18:13:50.224 19/11/1995]',0.417,0.114,-0.091,60.550,0.000,-0.217
'[18:13:50.226 19/11/1995]',0.417,0.114,-0.091,60.550,0.000,-0.217
'[18:13:50.228 19/11/1995]',0.410,0.102,-0.154,60.550,0.000,-0.217
'[18:13:50.230 19/11/1995]',0.410,0.102,-0.154,60.550,0.000,-0.217
'[18:13:50.232 19/11/1995]',0.410,0.096,-0.154,60.600,0.000,-0.215
'[18:13:50.234 19/11/1995]',0.410,0.096,-0.154,60.600,0.000,-0.215
'[18:13:50.236 19/11/1995]',0.410,0.096,-0.154,60.600,0.000,-0.215
'[18:13:50.238 19/11/1995]',0.410,0.096,-0.091,60.600,0.000,-0.215
'[18:13:50.240 19/11/1995]',0.398,0.096,-0.154,61.050,0.000,-0.214
'[18:13:50.242 19/11/1995]',0.392,0.102,-0.091,61.050,0.000,-0.214
'[18:13:50.244 19/11/1995]',0.379,0.090,-0.154,61.050,0.000,-0.214
'[18:13:50.246 19/11/1995]',0.373,0.090,-0.154,61.050,0.000,-0.214
'[18:13:50.248 19/11/1995]',0.373,0.079,-0.154,61.750,0.000,-0.214
'[18:13:50.250 19/11/1995]',0.373,0.079,-0.091,61.750,0.000,-0.214
'[18:13:50.252 19/11/1995]',0.367,0.079,-0.091,61.750,0.000,-0.214
'[18:13:50.254 19/11/1995]',0.367,0.090,-0.091,61.750,0.000,-0.214
'[18:13:50.256 19/11/1995]',0.354,0.079,-0.091,62.750,0.000,-0.213
'[18:13:50.258 19/11/1995]',0.348,0.090,-0.091,62.750,0.000,-0.213
'[18:13:50.260 19/11/1995]',0.330,0.079,-0.091,62.750,0.000,-0.213
'[18:13:50.262 19/11/1995]',0.324,0.072,-0.060,62.750,0.000,-0.213
'[18:13:50.264 19/11/1995]',0.311,0.072,-0.091,64.000,0.000,-0.212
'[18:13:50.266 19/11/1995]',0.311,0.072,-0.060,64.000,0.000,-0.212
'[18:13:50.268 19/11/1995]',0.299,0.066,-0.091,64.000,0.000,-0.212
'[18:13:50.270 19/11/1995]',0.299,0.054,-0.060,64.000,0.000,-0.212
'[18:13:50.272 19/11/1995]',0.286,0.054,-0.060,65.500,0.000,-0.212
'[18:13:50.274 19/11/1995]',0.274,0.054,-0.060,65.500,0.000,-0.212
'[18:13:50.276 19/11/1995]',0.261,0.054,-0.060,65.500,0.000,-0.212
'[18:13:50.278 19/11/1995]',0.255,0.048,-0.060,65.500,0.000,-0.212
'[18:13:50.280 19/11/1995]',0.237,0.048,-0.060,67.050,0.000,-0.212
'[18:13:50.282 19/11/1995]',0.230,0.036,-0.060,67.050,0.000,-0.212
'[18:13:50.284 19/11/1995]',0.230,0.036,-0.060,67.050,0.000,-0.212
'[18:13:50.286 19/11/1995]',0.218,0.036,-0.060,67.050,0.000,-0.212
'[18:13:50.288 19/11/1995]',0.212,0.036,-0.029,68.700,0.000,-0.212
'[18:13:50.290 19/11/1995]',0.193,0.036,-0.060,68.700,0.000,-0.212
'[18:13:50.292 19/11/1995]',0.175,0.048,-0.029,68.700,0.000,-0.212
'[18:13:50.294 19/11/1995]',0.168,0.048,-0.029,68.700,0.000,-0.212
'[18:13:50.296 19/11/1995]',0.168,0.036,-0.029,70.350,0.000,-0.212
'[18:13:50.298 19/11/1995]',0.150,0.030,-0.029,70.350,0.000,-0.212
'[18:13:50.300 19/11/1995]',0.150,0.024,-0.029,70.350,0.000,-0.212
'[18:13:50.302 19/11/1995]',0.143,0.030,0.003,70.350,0.000,-0.212
'[18:13:50.304 19/11/1995]',0.137,0.024,-0.029,71.850,0.000,-0.213
'[18:13:50.306 19/11/1995]',0.125,0.030,-0.029,71.850,0.000,-0.213
'[18:13:50.308 19/11/1995]',0.118,0.024,-0.029,71.850,0.000,-0.213
'[18:13:50.310 19/11/1995]',0.100,0.012,-0.029,71.850,0.000,-0.213
'[18:13:50.312 19/11/1995]',0.100,0.012,0.003,73.300,0.000,-0.214
'[18:13:50.314 19/11/1995]',0.093,0.012,0.003,73.300,0.000,-0.214
'[18:13:50.316 19/11/1995]',0.081,0.012,0.003,73.300,0.000,-0.214
'[18:13:50.318 19/11/1995]',0.075,0.006,0.003,73.300,0.000,-0.214
'[18:13:50.320 19/11/1995]',0.069,0.006,0.003,74.500,0.000,-0.215
'[18:13:50.322 19/11/1995]',0.069,0.006,0.003,74.500,0.000,-0.215
'[18:13:50.324 19/11/1995]',0.056,0.012,0.003,74.500,0.000,-0.215
'[18:13:50.326 19/11/1995]',0.050,0.006,0.003,74.500,0.000,-0.215
'[18:13:50.328 19/11/1995]',0.038,0.006,0.003,75.550,0.000,-0.216
'[18:13:50.330 19/11/1995]',0.031,0.001,0.003,75.550,0.000,-0.216
'[18:13:50.332 19/11/1995]',0.031,-0.005,0.003,75.550,0.000,-0.216
'[18:13:50.334 19/11/1995]',0.031,0.001,0.003,75.550,0.000,-0.216
'[18:13:50.336 19/11/1995]',0.025,-0.005,0.003,76.300,0.000,-0.217
'[18:13:50.338 19/11/1995]',0.025,0.001,0.003,76.300,0.000,-0.217
'[18:13:50.340 19/11/1995]',0.013,0.001,0.003,76.300,0.000,-0.217
'[18:13:50.342 19/11/1995]',0.007,0.001,0.003,76.300,0.000,-0.217
'[18:13:50.344 19/11/1995]',0.007,-0.005,0.003,76.850,0.000,-0.218
'[18:13:50.346 19/11/1995]',0.001,-0.005,0.003,76.850,0.000,-0.218
'[18:13:50.348 19/11/1995]',0.001,-0.005,0.003,76.850,0.000,-0.218
'[18:13:50.350 19/11/1995]',0.001,0.001,0.003,76.850,0.000,-0.218
'[18:13:50.352 19/11/1995]',-0.006,-0.005,0.003,77.100,0.000,-0.219
'[18:13:50.354 19/11/1995]',-0.006,0.001,0.003,77.100,0.000,-0.219
'[18:13:50.356 19/11/1995]',-0.012,0.001,0.003,77.100,0.000,-0.219
'[18:13:50.358 19/11/1995]',-0.006,0.006,0.003,77.100,0.000,-0.219
'[18:13:50.360 19/11/1995]',-0.024,0.001,0.003,77.050,0.000,-0.220
'[18:13:50.362 19/11/1995]',-0.031,-0.011,0.003,77.050,0.000,-0.220
'[18:13:50.364 19/11/1995]',-0.031,-0.011,0.003,77.050,0.000,-0.220
'[18:13:50.366 19/11/1995]',-0.024,-0.011,0.003,77.050,0.000,-0.220
'[18:13:50.368 19/11/1995]',-0.031,-0.011,0.003,76.750,0.000,-0.222
'[18:13:50.370 19/11/1995]',-0.024,-0.011,0.003,76.750,0.000,-0.222
'[18:13:50.372 19/11/1995]',-0.031,-0.011,0.003,76.750,0.000,-0.222
'[18:13:50.374 19/11/1995]',-0.037,-0.011,0.003,76.750,0.000,-0.222
'[18:13:50.376 19/11/1995]',-0.037,-0.005,0.003,76.150,0.000,-0.224
'[18:13:50.378 19/11/1995]',-0.037,-0.011,0.033,76.150,0.000,-0.224
'[18:13:50.380 19/11/1995]',-0.037,-0.011,0.003,76.150,0.000,-0.224
'[18:13:50.382 19/11/1995]',-0.037,-0.011,0.003,76.150,0.000,-0.224
'[18:13:50.384 19/11/1995]',-0.037,-0.011,0.003,75.350,0.000,-0.225
'[18:13:50.386 19/11/1995]',-0.037,-0.011,0.003,75.350,0.000,-0.225
'[18:13:50.388 19/11/1995]',-0.049,-0.005,0.003,75.350,0.000,-0.225
'[18:13:50.390 19/11/1995]',-0.037,-0.005,0.033,75.350,0.000,-0.225
'[18:13:50.392 19/11/1995]',-0.049,-0.011,0.003,74.350,0.000,-0.226
'[18:13:50.394 19/11/1995]',-0.049,-0.005,0.003,74.350,0.000,-0.226
'[18:13:50.396 19/11/1995]',-0.049,-0.011,0.033,74.350,0.000,-0.226
'[18:13:50.398 19/11/1995]',-0.049,-0.011,0.033,74.350,0.000,-0.226
'[18:13:50.400 19/11/1995]',-0.049,-0.024,0.003,73.200,0.000,-0.226
'[18:13:50.402 19/11/1995]',-0.049,-0.011,0.033,73.200,0.000,-0.226
'[18:13:50.404 19/11/1995]',-0.049,-0.011,0.003,73.200,0.000,-0.226
'[18:13:50.406 19/11/1995]',-0.049,-0.011,0.003,73.200,0.000,-0.226
'[18:13:50.408 19/11/1995]',-0.049,-0.005,0.003,72.050,0.000,-0.225
'[18:13:50.410 19/11/1995]',-0.056,-0.011,0.033,72.050,0.000,-0.225
'[18:13:50.412 19/11/1995]',-0.056,-0.011,0.033,72.050,0.000,-0.225
'[18:13:50.414 19/11/1995]',-0.049,-0.011,0.003,72.050,0.000,-0.225
'[18:13:50.416 19/11/1995]',-0.056,-0.024,0.003,70.950,0.000,-0.223
'[18:13:50.418 19/11/1995]',-0.056,-0.011,0.003,70.950,0.000,-0.223
'[18:13:50.420 19/11/1995]',-0.049,-0.011,0.003,70.950,0.000,-0.223
'[18:13:50.422 19/11/1995]',-0.049,-0.005,0.033,70.950,0.000,-0.223
'[18:13:50.424 19/11/1995]',-0.049,-0.011,0.003,69.950,0.000,-0.223
'[18:13:50.426 19/11/1995]',-0.056,-0.011,0.033,69.950,0.000,-0.223
'[18:13:50.428 19/11/1995]',-0.056,-0.011,0.003,69.950,0.000,-0.223
'[18:13:50.430 19/11/1995]',-0.056,-0.011,0.033,69.950,0.000,-0.223
'[18:13:50.432 19/11/1995]',-0.056,-0.011,0.003,68.950,0.000,-0.223
'[18:13:50.434 19/11/1995]',-0.056,-0.011,0.003,68.950,0.000,-0.223
'[18:13:50.436 19/11/1995]',-0.056,-0.011,0.003,68.950,0.000,-0.223
'[18:13:50.438 19/11/1995]',-0.056,-0.011,0.003,68.950,0.000,-0.223
'[18:13:50.440 19/11/1995]',-0.056,-0.005,0.003,68.050,0.000,-0.223
'[18:13:50.442 19/11/1995]',-0.056,-0.005,0.033,68.050,0.000,-0.223
'[18:13:50.444 19/11/1995]',-0.056,-0.011,0.033,68.050,0.000,-0.223
'[18:13:50.446 19/11/1995]',-0.056,-0.011,0.003,68.050,0.000,-0.223
'[18:13:50.448 19/11/1995]',-0.056,-0.011,0.033,67.200,0.000,-0.223
'[18:13:50.450 19/11/1995]',-0.056,-0.011,0.033,67.200,0.000,-0.223
'[18:13:50.452 19/11/1995]',-0.056,-0.011,0.003,67.200,0.000,-0.223
'[18:13:50.454 19/11/1995]',-0.049,-0.011,0.033,67.200,0.000,-0.223
'[18:13:50.456 19/11/1995]',-0.056,-0.005,0.033,66.400,0.000,-0.223
'[18:13:50.458 19/11/1995]',-0.056,-0.005,0.033,66.400,0.000,-0.223
'[18:13:50.460 19/11/1995]',-0.068,-0.005,0.033,66.400,0.000,-0.223
'[18:13:50.462 19/11/1995]',-0.068,-0.005,0.033,66.400,0.000,-0.223
'[18:13:50.464 19/11/1995]',-0.068,-0.011,0.003,65.800,0.000,-0.221
'[18:13:50.466 19/11/1995]',-0.074,-0.011,0.033,65.800,0.000,-0.221
'[18:13:50.468 19/11/1995]',-0.068,-0.011,0.003,65.800,0.000,-0.221
'[18:13:50.470 19/11/1995]',-0.068,-0.011,0.033,65.800,0.000,-0.221
'[18:13:50.472 19/11/1995]',-0.068,-0.005,0.033,65.150,0.000,-0.219
'[18:13:50.474 19/11/1995]',-0.056,-0.005,0.003,65.150,0.000,-0.219
'[18:13:50.476 19/11/1995]',-0.068,-0.011,0.033,65.150,0.000,-0.219
'[18:13:50.478 19/11/1995]',-0.068,-0.005,0.003,65.150,0.000,-0.219
'[18:13:50.480 19/11/1995]',-0.074,-0.011,0.003,64.550,0.000,-0.217
'[18:13:50.482 19/11/1995]',-0.068,-0.011,0.033,64.550,0.000,-0.217
'[18:13:50.484 19/11/1995]',-0.068,-0.011,0.003,64.550,0.000,-0.217
'[18:13:50.486 19/11/1995]',-0.056,-0.005,0.033,64.550,0.000,-0.217
'[18:13:50.488 19/11/1995]',-0.056,-0.011,0.033,63.950,0.000,-0.215
'[18:13:50.490 19/11/1995]',-0.068,-0.005,0.033,63.950,0.000,-0.215
'[18:13:50.492 19/11/1995]',-0.068,-0.005,0.033,63.950,0.000,-0.215
'[18:13:50.494 19/11/1995]',-0.068,-0.005,0.033,63.950,0.000,-0.215
'[18:13:50.496 19/11/1995]',-0.068,-0.011,0.033,63.350,0.000,-0.214
'[18:13:50.498 19/11/1995]',-0.068,-0.011,0.033,63.350,0.000,-0.214
'[18:13:50.500 19/11/1995]',-0.068,-0.011,0.003,63.350,0.000,-0.214
'[18:13:50.502 19/11/1995]',-0.068,-0.011,0.003,63.350,0.000,-0.214
'[18:13:50.504 19/11/1995]',-0.056,-0.005,0.003,62.800,0.000,-0.212
'[18:13:50.506 19/11/1995]',-0.056,-0.005,0.033,62.800,0.000,-0.212
'[18:13:50.508 19/11/1995]',-0.056,-0.005,0.033,62.800,0.000,-0.212
'[18:13:50.510 19/11/1995]',-0.056,-0.005,0.033,62.800,0.000,-0.212
'[18:13:50.512 19/11/1995]',-0.068,-0.011,0.033,62.250,0.000,-0.211
'[18:13:50.514 19/11/1995]',-0.068,-0.011,0.033,62.250,0.000,-0.211
'[18:13:50.516 19/11/1995]',-0.068,-0.024,0.003,62.250,0.000,-0.211
'[18:13:50.518 19/11/1995]',-0.068,-0.011,0.033,62.250,0.000,-0.211
'[18:13:50.520 19/11/1995]',-0.074,-0.011,0.003,61.750,0.000,-0.209
'[18:13:50.522 19/11/1995]',-0.074,-0.005,0.033,61.750,0.000,-0.209
'[18:13:50.524 19/11/1995]',-0.074,-0.005,0.033,61.750,0.000,-0.209
'[18:13:50.526 19/11/1995]',-0.074,-0.005,0.033,61.750,0.000,-0.209
'[18:13:50.528 19/11/1995]',-0.074,-0.011,0.033,61.200,0.000,-0.206
'[18:13:50.530 19/11/1995]',-0.068,-0.005,0.033,61.200,0.000,-0.206
'[18:13:50.532 19/11/1995]',-0.068,-0.011,0.033,61.200,0.000,-0.206
'[18:13:50.534 19/11/1995]',-0.068,-0.011,0.033,61.200,0.000,-0.206
'[18:13:50.536 19/11/1995]',-0.068,-0.005,0.033,60.750,0.000,-0.203
'[18:13:50.538 19/11/1995]',-0.056,-0.005,0.033,60.750,0.000,-0.203
'[18:13:50.540 19/11/1995]',-0.056,0.001,0.033,60.750,0.000,-0.203
'[18:13:50.542 19/11/1995]',-0.068,0.001,0.003,60.750,0.000,-0.203
'[18:13:50.544 19/11/1995]',-0.074,0.001,0.033,60.350,0.000,-0.200
'[18:13:50.546 19/11/1995]',-0.068,-0.005,0.033,60.350,0.000,-0.200
'[18:13:50.548 19/11/1995]',-0.068,-0.005,0.033,60.350,0.000,-0.200
'[18:13:50.550 19/11/1995]',-0.068,-0.005,0.003,60.350,0.000,-0.200
'[18:13:50.552 19/11/1995]',-0.056,0.001,0.033,59.900,0.000,-0.198
'[18:13:50.554 19/11/1995]',-0.056,0.001,0.033,59.900,0.000,-0.198
'[18:13:50.556 19/11/1995]',-0.056,-0.005,0.033,59.900,0.000,-0.198
'[18:13:50.558 19/11/1995]',-0.056,-0.005,0.033,59.900,0.000,-0.198
'[18:13:50.560 19/11/1995]',-0.056,-0.005,0.033,59.500,0.000,-0.197
'[18:13:50.562 19/11/1995]',-0.068,-0.005,0.033,59.500,0.000,-0.197
'[18:13:50.564 19/11/1995]',-0.056,-0.011,0.033,59.500,0.000,-0.197
'[18:13:50.566 19/11/1995]',-0.056,-0.011,0.003,59.500,0.000,-0.197
'[18:13:50.568 19/11/1995]',-0.049,-0.005,0.033,59.200,0.000,-0.196
'[18:13:50.570 19/11/1995]',-0.049,-0.011,0.003,59.200,0.000,-0.196
'[18:13:50.572 19/11/1995]',-0.049,-0.005,0.033,59.200,0.000,-0.196
'[18:13:50.574 19/11/1995]',-0.056,-0.005,0.003,59.200,0.000,-0.196
'[18:13:50.576 19/11/1995]',-0.056,-0.005,0.033,58.900,0.000,-0.196
'[18:13:50.578 19/11/1995]',-0.056,-0.005,0.033,58.900,0.000,-0.196
'[18:13:50.580 19/11/1995]',-0.056,-0.005,0.033,58.900,0.000,-0.196
'[18:13:50.582 19/11/1995]',-0.056,-0.011,0.033,58.900,0.000,-0.196
'[18:13:50.584 19/11/1995]',-0.056,-0.011,0.033,58.650,0.000,-0.195
'[18:13:50.586 19/11/1995]',-0.049,-0.011,0.033,58.650,0.000,-0.195
'[18:13:50.588 19/11/1995]',-0.037,-0.005,0.003,58.650,0.000,-0.195
'[18:13:50.590 19/11/1995]',-0.049,-0.005,0.003,58.650,0.000,-0.195
'[18:13:50.592 19/11/1995]',-0.049,-0.005,0.033,58.400,0.000,-0.195
'[18:13:50.594 19/11/1995]',-0.056,-0.011,0.033,58.400,0.000,-0.195
'[18:13:50.596 19/11/1995]',-0.056,-0.011,0.033,58.400,0.000,-0.195
'[18:13:50.598 19/11/1995]',-0.056,-0.011,0.033,58.400,0.000,-0.195
'[18:13:50.600 19/11/1995]',-0.056,-0.011,0.033,58.150,0.000,-0.195
'[18:13:50.602 19/11/1995]',-0.056,-0.024,0.003,58.150,0.000,-0.195
'[18:13:50.604 19/11/1995]',-0.049,-0.005,0.003,58.150,0.000,-0.195
'[18:13:50.606 19/11/1995]',-0.056,-0.005,0.003,58.150,0.000,-0.195
'[18:13:50.608 19/11/1995]',-0.049,-0.005,0.033,57.900,0.000,-0.195
'[18:13:50.610 19/11/1995]',-0.056,-0.005,0.003,57.900,0.000,-0.195
'[18:13:50.612 19/11/1995]',-0.056,-0.011,0.033,57.900,0.000,-0.195
'[18:13:50.614 19/11/1995]',-0.056,-0.005,0.003,57.900,0.000,-0.195
'[18:13:50.616 19/11/1995]',-0.049,-0.005,0.033,57.750,0.000,-0.195
'[18:13:50.618 19/11/1995]',-0.049,-0.005,0.033,57.750,0.000,-0.195
'[18:13:50.620 19/11/1995]',-0.049,-0.005,0.003,57.750,0.000,-0.195
'[18:13:50.622 19/11/1995]',-0.049,-0.005,0.033,57.750,0.000,-0.195
'[18:13:50.624 19/11/1995]',-0.049,0.001,0.033,57.550,0.000,-0.196
