'Time and date','V','II','ABP','PAP','ART','PLETH','RESP'
'[09:13:35.184 01/06/1995]',0.001,0.002,74.362,16.337,84.120,0.000,-0.144
'[09:13:35.186 01/06/1995]',-0.005,0.002,74.362,16.337,84.120,0.000,-0.144
'[09:13:35.188 01/06/1995]',-0.005,0.025,74.362,16.337,84.120,0.000,-0.144
'[09:13:35.190 01/06/1995]',-0.011,0.073,74.362,16.337,84.120,0.000,-0.144
'[09:13:35.192 01/06/1995]',-0.030,0.121,74.162,17.337,83.517,0.000,-0.145
'[09:13:35.194 01/06/1995]',-0.048,0.169,74.162,17.337,83.517,0.000,-0.145
'[09:13:35.196 01/06/1995]',-0.054,0.217,74.162,17.337,83.517,0.000,-0.145
'[09:13:35.198 01/06/1995]',-0.054,0.266,74.162,17.337,83.517,0.000,-0.145
'[09:13:35.200 01/06/1995]',-0.078,0.314,74.112,17.988,83.140,0.000,-0.145
'[09:13:35.202 01/06/1995]',-0.095,0.361,74.112,17.988,83.140,0.000,-0.145
'[09:13:35.204 01/06/1995]',-0.113,0.409,74.112,17.988,83.140,0.000,-0.145
'[09:13:35.206 01/06/1995]',-0.131,0.433,74.112,17.988,83.140,0.000,-0.145
'[09:13:35.208 01/06/1995]',-0.137,0.457,74.112,18.038,82.613,0.000,-0.146
'[09:13:35.210 01/06/1995]',-0.131,0.433,74.112,18.038,82.613,0.000,-0.146
'[09:13:35.212 01/06/1995]',-0.113,0.433,74.112,18.038,82.613,0.000,-0.146
'[09:13:35.214 01/06/1995]',-0.078,0.385,74.112,18.038,82.613,0.000,-0.146
'[09:13:35.216 01/06/1995]',-0.030,0.338,74.162,17.512,81.859,0.000,-0.148
'[09:13:35.218 01/06/1995]',0.006,0.217,74.162,17.512,81.859,0.000,-0.148
'[09:13:35.220 01/06/1995]',0.066,0.073,74.162,17.512,81.859,0.000,-0.148
'[09:13:35.222 01/06/1995]',0.132,-0.118,74.162,17.512,81.859,0.000,-0.148
'[09:13:35.224 01/06/1995]',0.198,-0.334,74.212,16.688,81.030,0.000,-0.149
'[09:13:35.226 01/06/1995]',0.252,-0.502,74.212,16.688,81.030,0.000,-0.149
'[09:13:35.228 01/06/1995]',0.300,-0.670,74.212,16.688,81.030,0.000,-0.149
'[09:13:35.230 01/06/1995]',0.342,-0.789,74.212,16.688,81.030,0.000,-0.149
'[09:13:35.232 01/06/1995]',0.378,-0.909,74.262,15.988,79.673,0.000,-0.150
'[09:13:35.234 01/06/1995]',0.396,-0.957,74.262,15.988,79.673,0.000,-0.150
'[09:13:35.236 01/06/1995]',0.396,-0.957,74.262,15.988,79.673,0.000,-0.150
'[09:13:35.238 01/06/1995]',0.366,-0.933,74.262,15.988,79.673,0.000,-0.150
'[09:13:35.240 01/06/1995]',0.336,-0.837,74.362,15.637,77.864,0.000,-0.150
'[09:13:35.242 01/06/1995]',0.294,-0.765,74.362,15.637,77.864,0.000,-0.150
'[09:13:35.244 01/06/1995]',0.252,-0.670,74.362,15.637,77.864,0.000,-0.150
'[09:13:35.246 01/06/1995]',0.228,-0.622,74.362,15.637,77.864,0.000,-0.150
'[09:13:35.248 01/06/1995]',0.198,-0.550,74.462,15.637,76.206,0.000,-0.151
'[09:13:35.250 01/06/1995]',0.156,-0.454,74.462,15.637,76.206,0.000,-0.151
'[09:13:35.252 01/06/1995]',0.114,-0.357,74.462,15.637,76.206,0.000,-0.151
'[09:13:35.254 01/06/1995]',0.072,-0.238,74.462,15.637,76.206,0.000,-0.151
'[09:13:35.256 01/06/1995]',0.030,-0.166,74.512,15.988,75.603,0.000,-0.151
'[09:13:35.258 01/06/1995]',0.006,-0.094,74.512,15.988,75.603,0.000,-0.151
'[09:13:35.260 01/06/1995]',-0.005,-0.022,74.512,15.988,75.603,0.000,-0.151
'[09:13:35.262 01/06/1995]',-0.024,0.002,74.512,15.988,75.603,0.000,-0.151
'[09:13:35.264 01/06/1995]',-0.024,0.002,74.512,16.575,75.829,0.000,-0.152
'[09:13:35.266 01/06/1995]',-0.030,0.025,74.512,16.575,75.829,0.000,-0.152
'[09:13:35.268 01/06/1995]',-0.030,0.025,74.512,16.575,75.829,0.000,-0.152
'[09:13:35.270 01/06/1995]',-0.036,0.025,74.512,16.575,75.829,0.000,-0.152
'[09:13:35.272 01/06/1995]',-0.048,0.049,74.412,17.400,74.849,0.000,-0.152
'[09:13:35.274 01/06/1995]',-0.048,0.073,74.412,17.400,74.849,0.000,-0.152
'[09:13:35.276 01/06/1995]',-0.054,0.073,74.412,17.400,74.849,0.000,-0.152
'[09:13:35.278 01/06/1995]',-0.054,0.097,74.412,17.400,74.849,0.000,-0.152
'[09:13:35.280 01/06/1995]',-0.054,0.097,74.262,18.275,71.909,0.000,-0.153
'[09:13:35.282 01/06/1995]',-0.048,0.097,74.262,18.275,71.909,0.000,-0.153
'[09:13:35.284 01/06/1995]',-0.048,0.073,74.262,18.275,71.909,0.000,-0.153
'[09:13:35.286 01/06/1995]',-0.048,0.097,74.262,18.275,71.909,0.000,-0.153
'[09:13:35.288 01/06/1995]',-0.054,0.073,74.012,18.750,68.065,0.000,-0.153
'[09:13:35.290 01/06/1995]',-0.054,0.097,74.012,18.750,68.065,0.000,-0.153
'[09:13:35.292 01/06/1995]',-0.054,0.097,74.012,18.750,68.065,0.000,-0.153
'[09:13:35.294 01/06/1995]',-0.054,0.097,74.012,18.750,68.065,0.000,-0.153
'[09:13:35.296 01/06/1995]',-0.054,0.097,73.662,18.750,66.105,0.000,-0.154
'[09:13:35.298 01/06/1995]',-0.054,0.097,73.662,18.750,66.105,0.000,-0.154
'[09:13:35.300 01/06/1995]',-0.048,0.097,73.662,18.750,66.105,0.000,-0.154
'[09:13:35.302 01/06/1995]',-0.048,0.097,73.662,18.750,66.105,0.000,-0.154
'[09:13:35.304 01/06/1995]',-0.054,0.097,73.161,18.625,67.538,0.000,-0.154
'[09:13:35.306 01/06/1995]',-0.066,0.097,73.161,18.625,67.538,0.000,-0.154
'[09:13:35.308 01/06/1995]',-0.066,0.097,73.161,18.625,67.538,0.000,-0.154
'[09:13:35.310 01/06/1995]',-0.054,0.121,73.161,18.625,67.538,0.000,-0.154
'[09:13:35.312 01/06/1995]',-0.066,0.121,72.511,18.625,70.553,0.000,-0.155
'[09:13:35.314 01/06/1995]',-0.054,0.097,72.511,18.625,70.553,0.000,-0.155
'[09:13:35.316 01/06/1995]',-0.054,0.097,72.511,18.625,70.553,0.000,-0.155
'[09:13:35.318 01/06/1995]',-0.048,0.097,72.511,18.625,70.553,0.000,-0.155
'[09:13:35.320 01/06/1995]',-0.054,0.097,71.660,18.512,71.608,0.000,-0.156
'[09:13:35.322 01/06/1995]',-0.054,0.097,71.660,18.512,71.608,0.000,-0.156
'[09:13:35.324 01/06/1995]',-0.054,0.097,71.660,18.512,71.608,0.000,-0.156
'[09:13:35.326 01/06/1995]',-0.066,0.097,71.660,18.512,71.608,0.000,-0.156
'[09:13:35.328 01/06/1995]',-0.066,0.097,70.609,17.925,70.477,0.000,-0.158
'[09:13:35.330 01/06/1995]',-0.054,0.097,70.609,17.925,70.477,0.000,-0.158
'[09:13:35.332 01/06/1995]',-0.054,0.097,70.609,17.925,70.477,0.000,-0.158
'[09:13:35.334 01/06/1995]',-0.048,0.097,70.609,17.925,70.477,0.000,-0.158
'[09:13:35.336 01/06/1995]',-0.048,0.097,69.358,17.225,70.100,0.000,-0.160
'[09:13:35.338 01/06/1995]',-0.048,0.097,69.358,17.225,70.100,0.000,-0.160
'[09:13:35.340 01/06/1995]',-0.054,0.097,69.358,17.225,70.100,0.000,-0.160
'[09:13:35.342 01/06/1995]',-0.054,0.097,69.358,17.225,70.100,0.000,-0.160
'[09:13:35.344 01/06/1995]',-0.054,0.097,68.007,17.050,72.663,0.000,-0.163
'[09:13:35.346 01/06/1995]',-0.054,0.097,68.007,17.050,72.663,0.000,-0.163
'[09:13:35.348 01/06/1995]',-0.048,0.097,68.007,17.050,72.663,0.000,-0.163
'[09:13:35.350 01/06/1995]',-0.048,0.097,68.007,17.050,72.663,0.000,-0.163
'[09:13:35.352 01/06/1995]',-0.036,0.073,66.556,17.925,76.960,0.000,-0.166
'[09:13:35.354 01/06/1995]',-0.036,0.073,66.556,17.925,76.960,0.000,-0.166
'[09:13:35.356 01/06/1995]',-0.048,0.097,66.556,17.925,76.960,0.000,-0.166
'[09:13:35.358 01/06/1995]',-0.048,0.097,66.556,17.925,76.960,0.000,-0.166
'[09:13:35.360 01/06/1995]',-0.054,0.097,64.954,19.913,81.558,0.000,-0.170
'[09:13:35.362 01/06/1995]',-0.054,0.097,64.954,19.913,81.558,0.000,-0.170
'[09:13:35.364 01/06/1995]',-0.048,0.097,64.954,19.913,81.558,0.000,-0.170
'[09:13:35.366 01/06/1995]',-0.036,0.073,64.954,19.913,81.558,0.000,-0.170
'[09:13:35.368 01/06/1995]',-0.030,0.073,63.353,22.312,87.135,0.000,-0.173
'[09:13:35.370 01/06/1995]',-0.036,0.073,63.353,22.312,87.135,0.000,-0.173
'[09:13:35.372 01/06/1995]',-0.036,0.073,63.353,22.312,87.135,0.000,-0.173
'[09:13:35.374 01/06/1995]',-0.048,0.073,63.353,22.312,87.135,0.000,-0.173
'[09:13:35.376 01/06/1995]',-0.048,0.097,61.852,24.488,92.487,0.000,-0.176
'[09:13:35.378 01/06/1995]',-0.048,0.073,61.852,24.488,92.487,0.000,-0.176
'[09:13:35.380 01/06/1995]',-0.036,0.073,61.852,24.488,92.487,0.000,-0.176
'[09:13:35.382 01/06/1995]',-0.030,0.073,61.852,24.488,92.487,0.000,-0.176
'[09:13:35.384 01/06/1995]',-0.030,0.073,60.501,26.125,93.542,0.000,-0.180
'[09:13:35.386 01/06/1995]',-0.036,0.049,60.501,26.125,93.542,0.000,-0.180
'[09:13:35.388 01/06/1995]',-0.030,0.049,60.501,26.125,93.542,0.000,-0.180
'[09:13:35.390 01/06/1995]',-0.036,0.073,60.501,26.125,93.542,0.000,-0.180
'[09:13:35.392 01/06/1995]',-0.048,0.073,59.500,27.000,89.472,0.000,-0.185
'[09:13:35.394 01/06/1995]',-0.036,0.073,59.500,27.000,89.472,0.000,-0.185
'[09:13:35.396 01/06/1995]',-0.030,0.073,59.500,27.000,89.472,0.000,-0.185
'[09:13:35.398 01/06/1995]',-0.030,0.049,59.500,27.000,89.472,0.000,-0.185
'[09:13:35.400 01/06/1995]',-0.024,0.025,59.149,26.775,84.120,0.000,-0.190
'[09:13:35.402 01/06/1995]',-0.024,0.025,59.149,26.775,84.120,0.000,-0.190
'[09:13:35.404 01/06/1995]',-0.024,0.025,59.149,26.775,84.120,0.000,-0.190
'[09:13:35.406 01/06/1995]',-0.030,0.025,59.149,26.775,84.120,0.000,-0.190
'[09:13:35.408 01/06/1995]',-0.030,0.025,59.550,25.488,81.859,0.000,-0.195
'[09:13:35.410 01/06/1995]',-0.030,0.025,59.550,25.488,81.859,0.000,-0.195
'[09:13:35.412 01/06/1995]',-0.024,0.025,59.550,25.488,81.859,0.000,-0.195
'[09:13:35.414 01/06/1995]',-0.011,0.025,59.550,25.488,81.859,0.000,-0.195
'[09:13:35.416 01/06/1995]',-0.005,0.002,60.901,24.012,85.251,0.000,-0.200
'[09:13:35.418 01/06/1995]',-0.005,0.002,60.901,24.012,85.251,0.000,-0.200
'[09:13:35.420 01/06/1995]',-0.005,0.002,60.901,24.012,85.251,0.000,-0.200
'[09:13:35.422 01/06/1995]',-0.005,0.002,60.901,24.012,85.251,0.000,-0.200
'[09:13:35.424 01/06/1995]',-0.005,0.002,63.103,23.200,93.166,0.000,-0.204
'[09:13:35.426 01/06/1995]',-0.005,0.002,63.103,23.200,93.166,0.000,-0.204
'[09:13:35.428 01/06/1995]',0.001,0.002,63.103,23.200,93.166,0.000,-0.204
'[09:13:35.430 01/06/1995]',0.006,-0.022,63.103,23.200,93.166,0.000,-0.204
'[09:13:35.432 01/06/1995]',0.012,-0.022,66.055,23.200,100.176,0.000,-0.208
'[09:13:35.434 01/06/1995]',0.024,-0.046,66.055,23.200,100.176,0.000,-0.208
'[09:13:35.436 01/06/1995]',0.024,-0.070,66.055,23.200,100.176,0.000,-0.208
'[09:13:35.438 01/06/1995]',0.024,-0.070,66.055,23.200,100.176,0.000,-0.208
'[09:13:35.440 01/06/1995]',0.030,-0.070,69.758,23.837,101.834,0.000,-0.212
'[09:13:35.442 01/06/1995]',0.024,-0.070,69.758,23.837,101.834,0.000,-0.212
'[09:13:35.444 01/06/1995]',0.030,-0.070,69.758,23.837,101.834,0.000,-0.212
'[09:13:35.446 01/06/1995]',0.036,-0.070,69.758,23.837,101.834,0.000,-0.212
'[09:13:35.448 01/06/1995]',0.048,-0.094,74.162,24.950,99.346,0.000,-0.216
'[09:13:35.450 01/06/1995]',0.054,-0.118,74.162,24.950,99.346,0.000,-0.216
'[09:13:35.452 01/06/1995]',0.066,-0.142,74.162,24.950,99.346,0.000,-0.216
'[09:13:35.454 01/06/1995]',0.072,-0.142,74.162,24.950,99.346,0.000,-0.216
'[09:13:35.456 01/06/1995]',0.072,-0.166,79.116,26.012,96.784,0.000,-0.221
'[09:13:35.458 01/06/1995]',0.072,-0.166,79.116,26.012,96.784,0.000,-0.221
'[09:13:35.460 01/06/1995]',0.078,-0.166,79.116,26.012,96.784,0.000,-0.221
'[09:13:35.462 01/06/1995]',0.090,-0.190,79.116,26.012,96.784,0.000,-0.221
'[09:13:35.464 01/06/1995]',0.096,-0.214,84.320,26.363,96.407,0.000,-0.225
'[09:13:35.466 01/06/1995]',0.102,-0.214,84.320,26.363,96.407,0.000,-0.225
'[09:13:35.468 01/06/1995]',0.120,-0.238,84.320,26.363,96.407,0.000,-0.225
'[09:13:35.470 01/06/1995]',0.120,-0.262,84.320,26.363,96.407,0.000,-0.225
'[09:13:35.472 01/06/1995]',0.132,-0.262,89.375,25.950,97.161,0.000,-0.229
'[09:13:35.474 01/06/1995]',0.120,-0.262,89.375,25.950,97.161,0.000,-0.229
'[09:13:35.476 01/06/1995]',0.120,-0.286,89.375,25.950,97.161,0.000,-0.229
'[09:13:35.478 01/06/1995]',0.144,-0.286,89.375,25.950,97.161,0.000,-0.229
'[09:13:35.480 01/06/1995]',0.156,-0.286,94.179,25.363,97.311,0.000,-0.233
'[09:13:35.482 01/06/1995]',0.162,-0.310,94.179,25.363,97.311,0.000,-0.233
'[09:13:35.484 01/06/1995]',0.168,-0.334,94.179,25.363,97.311,0.000,-0.233
'[09:13:35.486 01/06/1995]',0.168,-0.357,94.179,25.363,97.311,0.000,-0.233
'[09:13:35.488 01/06/1995]',0.168,-0.357,98.432,25.075,96.407,0.000,-0.237
'[09:13:35.490 01/06/1995]',0.168,-0.357,98.432,25.075,96.407,0.000,-0.237
'[09:13:35.492 01/06/1995]',0.168,-0.357,98.432,25.075,96.407,0.000,-0.237
'[09:13:35.494 01/06/1995]',0.168,-0.357,98.432,25.075,96.407,0.000,-0.237
'[09:13:35.496 01/06/1995]',0.180,-0.357,102.135,25.125,95.728,0.000,-0.242
'[09:13:35.498 01/06/1995]',0.186,-0.357,102.135,25.125,95.728,0.000,-0.242
'[09:13:35.500 01/06/1995]',0.198,-0.381,102.135,25.125,95.728,0.000,-0.242
'[09:13:35.502 01/06/1995]',0.204,-0.381,102.135,25.125,95.728,0.000,-0.242
'[09:13:35.504 01/06/1995]',0.198,-0.381,104.938,25.312,95.879,0.000,-0.246
'[09:13:35.506 01/06/1995]',0.198,-0.381,104.938,25.312,95.879,0.000,-0.246
'[09:13:35.508 01/06/1995]',0.198,-0.381,104.938,25.312,95.879,0.000,-0.246
'[09:13:35.510 01/06/1995]',0.198,-0.381,104.938,25.312,95.879,0.000,-0.246
'[09:13:35.512 01/06/1995]',0.204,-0.381,106.939,25.425,96.859,0.000,-0.251
'[09:13:35.514 01/06/1995]',0.204,-0.381,106.939,25.425,96.859,0.000,-0.251
'[09:13:35.516 01/06/1995]',0.210,-0.381,106.939,25.425,96.859,0.000,-0.251
'[09:13:35.518 01/06/1995]',0.204,-0.405,106.939,25.425,96.859,0.000,-0.251
'[09:13:35.520 01/06/1995]',0.210,-0.381,108.040,25.488,97.537,0.000,-0.255
'[09:13:35.522 01/06/1995]',0.198,-0.381,108.040,25.488,97.537,0.000,-0.255
'[09:13:35.524 01/06/1995]',0.186,-0.357,108.040,25.488,97.537,0.000,-0.255
'[09:13:35.526 01/06/1995]',0.186,-0.334,108.040,25.488,97.537,0.000,-0.255
'[09:13:35.528 01/06/1995]',0.180,-0.334,108.391,25.250,97.688,0.000,-0.259
'[09:13:35.530 01/06/1995]',0.186,-0.310,108.391,25.250,97.688,0.000,-0.259
'[09:13:35.532 01/06/1995]',0.186,-0.334,108.391,25.250,97.688,0.000,-0.259
'[09:13:35.534 01/06/1995]',0.186,-0.334,108.391,25.250,97.688,0.000,-0.259
'[09:13:35.536 01/06/1995]',0.168,-0.310,107.940,24.837,97.462,0.000,-0.262
'[09:13:35.538 01/06/1995]',0.162,-0.310,107.940,24.837,97.462,0.000,-0.262
'[09:13:35.540 01/06/1995]',0.156,-0.286,107.940,24.837,97.462,0.000,-0.262
'[09:13:35.542 01/06/1995]',0.138,-0.286,107.940,24.837,97.462,0.000,-0.262
'[09:13:35.544 01/06/1995]',0.138,-0.262,106.839,24.312,97.161,0.000,-0.265
'[09:13:35.546 01/06/1995]',0.138,-0.262,106.839,24.312,97.161,0.000,-0.265
'[09:13:35.548 01/06/1995]',0.138,-0.238,106.839,24.312,97.161,0.000,-0.265
'[09:13:35.550 01/06/1995]',0.138,-0.238,106.839,24.312,97.161,0.000,-0.265
'[09:13:35.552 01/06/1995]',0.132,-0.238,105.138,23.725,96.934,0.000,-0.268
'[09:13:35.554 01/06/1995]',0.120,-0.238,105.138,23.725,96.934,0.000,-0.268
'[09:13:35.556 01/06/1995]',0.102,-0.214,105.138,23.725,96.934,0.000,-0.268
'[09:13:35.558 01/06/1995]',0.102,-0.190,105.138,23.725,96.934,0.000,-0.268
'[09:13:35.560 01/06/1995]',0.096,-0.166,103.036,23.200,96.331,0.000,-0.270
'[09:13:35.562 01/06/1995]',0.096,-0.166,103.036,23.200,96.331,0.000,-0.270
'[09:13:35.564 01/06/1995]',0.090,-0.166,103.036,23.200,96.331,0.000,-0.270
'[09:13:35.566 01/06/1995]',0.090,-0.166,103.036,23.200,96.331,0.000,-0.270
'[09:13:35.568 01/06/1995]',0.090,-0.142,100.634,22.725,95.276,0.000,-0.271
'[09:13:35.570 01/06/1995]',0.078,-0.142,100.634,22.725,95.276,0.000,-0.271
'[09:13:35.572 01/06/1995]',0.072,-0.118,100.634,22.725,95.276,0.000,-0.271
'[09:13:35.574 01/06/1995]',0.054,-0.118,100.634,22.725,95.276,0.000,-0.271
'[09:13:35.576 01/06/1995]',0.054,-0.094,98.082,22.438,93.919,0.000,-0.273
