'Time and date','MCL1','III','V','ABP','PAP','CVP','PLETH'
'[13:29:51.392 11/01/1996]',-0.185,0.198,-0.174,61.800,23.975,18.300,-1.020
'[13:29:51.394 11/01/1996]',-0.185,0.231,-0.174,61.800,23.975,18.300,-1.020
'[13:29:51.396 11/01/1996]',-0.197,0.231,-0.174,61.800,23.975,18.300,-1.020
'[13:29:51.398 11/01/1996]',-0.207,0.209,-0.197,61.800,23.975,18.300,-1.020
'[13:29:51.400 11/01/1996]',-0.207,0.198,-0.197,61.575,25.225,18.525,-1.010
'[13:29:51.402 11/01/1996]',-0.207,0.165,-0.174,61.575,25.225,18.525,-1.010
'[13:29:51.404 11/01/1996]',-0.218,0.143,-0.197,61.575,25.225,18.525,-1.010
'[13:29:51.406 11/01/1996]',-0.218,0.121,-0.207,61.575,25.225,18.525,-1.010
'[13:29:51.408 11/01/1996]',-0.230,0.121,-0.207,61.200,26.225,18.762,-1.006
'[13:29:51.410 11/01/1996]',-0.240,0.111,-0.218,61.200,26.225,18.762,-1.006
'[13:29:51.412 11/01/1996]',-0.230,0.111,-0.218,61.200,26.225,18.762,-1.006
'[13:29:51.414 11/01/1996]',-0.230,0.111,-0.207,61.200,26.225,18.762,-1.006
'[13:29:51.416 11/01/1996]',-0.230,0.100,-0.197,60.900,26.675,19.062,-1.000
'[13:29:51.418 11/01/1996]',-0.207,0.100,-0.174,60.900,26.675,19.062,-1.000
'[13:29:51.420 11/01/1996]',-0.207,0.088,-0.164,60.900,26.675,19.062,-1.000
'[13:29:51.422 11/01/1996]',-0.197,0.088,-0.164,60.900,26.675,19.062,-1.000
'[13:29:51.424 11/01/1996]',-0.197,0.088,-0.164,60.600,26.450,19.350,-1.000
'[13:29:51.426 11/01/1996]',-0.207,0.088,-0.164,60.600,26.450,19.350,-1.000
'[13:29:51.428 11/01/1996]',-0.197,0.088,-0.164,60.600,26.450,19.350,-1.000
'[13:29:51.430 11/01/1996]',-0.197,0.088,-0.153,60.600,26.450,19.350,-1.000
'[13:29:51.432 11/01/1996]',-0.185,0.067,-0.153,60.300,25.400,19.525,-0.996
'[13:29:51.434 11/01/1996]',-0.185,0.067,-0.142,60.300,25.400,19.525,-0.996
'[13:29:51.436 11/01/1996]',-0.185,0.044,-0.142,60.300,25.400,19.525,-0.996
'[13:29:51.438 11/01/1996]',-0.174,0.034,-0.142,60.300,25.400,19.525,-0.996
'[13:29:51.440 11/01/1996]',-0.174,0.022,-0.131,60.075,23.975,19.650,-0.993
'[13:29:51.442 11/01/1996]',-0.174,0.011,-0.131,60.075,23.975,19.650,-0.993
'[13:29:51.444 11/01/1996]',-0.174,0.011,-0.131,60.075,23.975,19.650,-0.993
'[13:29:51.446 11/01/1996]',-0.164,0.011,-0.120,60.075,23.975,19.650,-0.993
'[13:29:51.448 11/01/1996]',-0.164,0.001,-0.120,59.625,22.650,19.650,-1.000
'[13:29:51.450 11/01/1996]',-0.153,0.001,-0.120,59.625,22.650,19.650,-1.000
'[13:29:51.452 11/01/1996]',-0.142,-0.010,-0.109,59.625,22.650,19.650,-1.000
'[13:29:51.454 11/01/1996]',-0.142,-0.010,-0.109,59.625,22.650,19.650,-1.000
'[13:29:51.456 11/01/1996]',-0.142,-0.010,-0.109,59.325,21.750,19.525,-1.000
'[13:29:51.458 11/01/1996]',-0.142,-0.010,-0.109,59.325,21.750,19.525,-1.000
'[13:29:51.460 11/01/1996]',-0.142,-0.010,-0.109,59.325,21.750,19.525,-1.000
'[13:29:51.462 11/01/1996]',-0.131,-0.010,-0.098,59.325,21.750,19.525,-1.000
'[13:29:51.464 11/01/1996]',-0.131,-0.010,-0.109,58.875,21.475,19.288,-1.010
'[13:29:51.466 11/01/1996]',-0.142,-0.010,-0.098,58.875,21.475,19.288,-1.010
'[13:29:51.468 11/01/1996]',-0.131,-0.021,-0.098,58.875,21.475,19.288,-1.010
'[13:29:51.470 11/01/1996]',-0.131,-0.021,-0.098,58.875,21.475,19.288,-1.010
'[13:29:51.472 11/01/1996]',-0.131,-0.010,-0.109,58.425,21.750,19.062,-1.016
'[13:29:51.474 11/01/1996]',-0.131,-0.021,-0.098,58.425,21.750,19.062,-1.016
'[13:29:51.476 11/01/1996]',-0.120,-0.010,-0.098,58.425,21.750,19.062,-1.016
'[13:29:51.478 11/01/1996]',-0.120,-0.010,-0.098,58.425,21.750,19.062,-1.016
'[13:29:51.480 11/01/1996]',-0.131,-0.010,-0.098,57.825,22.700,18.887,-
'[13:29:51.482 11/01/1996]',-0.120,-0.010,-0.098,57.825,22.700,18.887,-
'[13:29:51.484 11/01/1996]',-0.120,-0.010,-0.076,57.825,22.700,18.887,-
'[13:29:51.486 11/01/1996]',-0.109,-0.010,-0.076,57.825,22.700,18.887,-
'[13:29:51.488 11/01/1996]',-0.109,-0.010,-0.065,57.225,24.450,18.762,-
'[13:29:51.490 11/01/1996]',-0.109,-0.010,-0.065,57.225,24.450,18.762,-
'[13:29:51.492 11/01/1996]',-0.109,-0.010,-0.076,57.225,24.450,18.762,-
'[13:29:51.494 11/01/1996]',-0.109,0.001,-0.076,57.225,24.450,18.762,-
'[13:29:51.496 11/01/1996]',-0.120,-0.010,-0.076,56.775,27.150,18.712,-
'[13:29:51.498 11/01/1996]',-0.109,0.001,-0.076,56.775,27.150,18.712,-
'[13:29:51.500 11/01/1996]',-0.120,-0.010,-0.076,56.775,27.150,18.712,-
'[13:29:51.502 11/01/1996]',-0.109,-0.010,-0.076,56.775,27.150,18.712,-
'[13:29:51.504 11/01/1996]',-0.098,-0.010,-0.065,56.325,30.025,18.825,-
'[13:29:51.506 11/01/1996]',-0.109,-0.010,-0.065,56.325,30.025,18.825,-
'[13:29:51.508 11/01/1996]',-0.098,0.001,-0.065,56.325,30.025,18.825,-
'[13:29:51.510 11/01/1996]',-0.098,0.001,-0.065,56.325,30.025,18.825,-
'[13:29:51.512 11/01/1996]',-0.098,0.001,-0.065,56.025,31.950,19.113,-
'[13:29:51.514 11/01/1996]',-0.098,0.001,-0.065,56.025,31.950,19.113,-
'[13:29:51.516 11/01/1996]',-0.098,0.001,-0.065,56.025,31.950,19.113,-
'[13:29:51.518 11/01/1996]',-0.087,0.011,-0.054,56.025,31.950,19.113,-
'[13:29:51.520 11/01/1996]',-0.098,0.001,-0.054,55.875,33.000,19.413,-
'[13:29:51.522 11/01/1996]',-0.087,0.001,-0.054,55.875,33.000,19.413,-
'[13:29:51.524 11/01/1996]',-0.087,0.011,-0.043,55.875,33.000,19.413,-
'[13:29:51.526 11/01/1996]',-0.087,0.011,-0.043,55.875,33.000,19.413,-
'[13:29:51.528 11/01/1996]',-0.087,0.011,-0.054,56.475,33.950,19.650,-
'[13:29:51.530 11/01/1996]',-0.087,0.011,-0.054,56.475,33.950,19.650,-
'[13:29:51.532 11/01/1996]',-0.087,0.001,-0.054,56.475,33.950,19.650,-
'[13:29:51.534 11/01/1996]',-0.087,0.011,-0.043,56.475,33.950,19.650,-
'[13:29:51.536 11/01/1996]',-0.065,0.022,-0.032,58.350,35.350,19.762,-
'[13:29:51.538 11/01/1996]',-0.065,0.011,-0.043,58.350,35.350,19.762,-
'[13:29:51.540 11/01/1996]',-0.065,0.022,-0.032,58.350,35.350,19.762,-
'[13:29:51.542 11/01/1996]',-0.054,0.022,-0.032,58.350,35.350,19.762,-
'[13:29:51.544 11/01/1996]',-0.054,0.022,-0.032,62.025,37.000,19.762,-
'[13:29:51.546 11/01/1996]',-0.054,0.022,-0.032,62.025,37.000,19.762,-
'[13:29:51.548 11/01/1996]',-0.054,0.034,-0.021,62.025,37.000,19.762,-
'[13:29:51.550 11/01/1996]',-0.043,0.034,-0.021,62.025,37.000,19.762,-
'[13:29:51.552 11/01/1996]',-0.043,0.022,-0.010,67.425,38.750,19.762,-
'[13:29:51.554 11/01/1996]',-0.032,0.034,-0.010,67.425,38.750,19.762,-
'[13:29:51.556 11/01/1996]',-0.032,0.034,-0.010,67.425,38.750,19.762,-
'[13:29:51.558 11/01/1996]',-0.021,0.034,-0.010,67.425,38.750,19.762,-
'[13:29:51.560 11/01/1996]',-0.021,0.034,-0.010,73.500,40.450,19.700,-0.993
'[13:29:51.562 11/01/1996]',-0.021,0.044,-0.010,73.500,40.450,19.700,-0.993
'[13:29:51.564 11/01/1996]',-0.021,0.034,-0.010,73.500,40.450,19.700,-0.993
'[13:29:51.566 11/01/1996]',-0.021,0.034,-0.010,73.500,40.450,19.700,-0.993
'[13:29:51.568 11/01/1996]',0.001,0.044,0.011,79.500,42.150,19.650,-0.920
'[13:29:51.570 11/01/1996]',0.001,0.034,0.001,79.500,42.150,19.650,-0.920
'[13:29:51.572 11/01/1996]',0.001,0.044,0.022,79.500,42.150,19.650,-0.920
'[13:29:51.574 11/01/1996]',0.001,0.056,0.011,79.500,42.150,19.650,-0.920
'[13:29:51.576 11/01/1996]',0.001,0.056,0.011,85.125,43.725,19.700,-0.815
