'Time and date','II','I','V','ABP','PLETH','RESP'
'[11:34:46.078 10/11/1995]',-0.295,-0.126,-0.303,60.902,-0.211,-
'[11:34:46.080 10/11/1995]',-0.307,-0.155,-0.251,61.053,-0.241,-
'[11:34:46.082 10/11/1995]',-0.313,-0.189,-0.211,61.053,-0.241,-
'[11:34:46.084 10/11/1995]',-0.325,-0.201,-0.177,61.053,-0.241,-
'[11:34:46.086 10/11/1995]',-0.349,-0.218,-0.148,61.053,-0.241,-
'[11:34:46.088 10/11/1995]',-0.360,-0.224,-0.108,61.203,-0.263,-
'[11:34:46.090 10/11/1995]',-0.378,-0.224,-0.085,61.203,-0.263,-
'[11:34:46.092 10/11/1995]',-0.390,-0.218,-0.051,61.203,-0.263,-
'[11:34:46.094 10/11/1995]',-0.378,-0.201,-0.045,61.203,-0.263,-
'[11:34:46.096 10/11/1995]',-0.355,-0.189,-0.028,61.278,-0.285,-
'[11:34:46.098 10/11/1995]',-0.295,-0.161,-0.022,61.278,-0.285,-
'[11:34:46.100 10/11/1995]',-0.260,-0.149,-0.022,61.278,-0.285,-
'[11:34:46.102 10/11/1995]',-0.207,-0.115,-0.005,61.278,-0.285,-
'[11:34:46.104 10/11/1995]',-0.159,-0.091,0.001,61.278,-0.300,-
'[11:34:46.106 10/11/1995]',-0.118,-0.069,0.006,61.278,-0.300,-
'[11:34:46.108 10/11/1995]',-0.077,-0.046,0.023,61.278,-0.300,-
'[11:34:46.110 10/11/1995]',-0.035,-0.023,0.029,61.278,-0.300,-
'[11:34:46.112 10/11/1995]',-0.011,0.001,0.035,61.128,-0.315,-
'[11:34:46.114 10/11/1995]',0.001,0.006,0.046,61.128,-0.315,-
'[11:34:46.116 10/11/1995]',0.006,0.001,0.046,61.128,-0.315,-
'[11:34:46.118 10/11/1995]',0.001,-0.005,0.052,61.128,-0.315,-
'[11:34:46.120 10/11/1995]',0.006,-0.005,0.052,60.827,-0.326,-
'[11:34:46.122 10/11/1995]',0.006,-0.005,0.052,60.827,-0.326,-
'[11:34:46.124 10/11/1995]',0.001,-0.005,0.063,60.827,-0.326,-
'[11:34:46.126 10/11/1995]',0.001,-0.011,0.052,60.827,-0.326,-
'[11:34:46.128 10/11/1995]',0.001,-0.023,0.052,60.451,-0.337,-
'[11:34:46.130 10/11/1995]',-0.005,-0.023,0.052,60.451,-0.337,-
'[11:34:46.132 10/11/1995]',-0.011,-0.023,0.052,60.451,-0.337,-
'[11:34:46.134 10/11/1995]',-0.011,-0.028,0.052,60.451,-0.337,-
'[11:34:46.136 10/11/1995]',-0.011,-0.023,0.052,59.850,-0.344,-
'[11:34:46.138 10/11/1995]',-0.011,-0.028,0.052,59.850,-0.344,-
'[11:34:46.140 10/11/1995]',-0.011,-0.028,0.052,59.850,-0.344,-
'[11:34:46.142 10/11/1995]',-0.011,-0.028,0.052,59.850,-0.344,-
'[11:34:46.144 10/11/1995]',-0.005,-0.023,0.063,59.098,-0.348,-
'[11:34:46.146 10/11/1995]',-0.005,-0.023,0.046,59.098,-0.348,-
'[11:34:46.148 10/11/1995]',-0.005,-0.011,0.052,59.098,-0.348,-
'[11:34:46.150 10/11/1995]',0.001,-0.011,0.052,59.098,-0.348,-
'[11:34:46.152 10/11/1995]',0.001,-0.011,0.052,58.571,-0.355,-
'[11:34:46.154 10/11/1995]',0.001,-0.011,0.052,58.571,-0.355,-
'[11:34:46.156 10/11/1995]',0.006,-0.005,0.052,58.571,-0.355,-
'[11:34:46.158 10/11/1995]',0.006,-0.005,0.063,58.571,-0.355,-
'[11:34:46.160 10/11/1995]',0.006,0.001,0.063,58.346,-0.359,-
'[11:34:46.162 10/11/1995]',0.012,0.001,0.052,58.346,-0.359,-
'[11:34:46.164 10/11/1995]',0.012,0.001,0.052,58.346,-0.359,-
'[11:34:46.166 10/11/1995]',0.012,0.001,0.063,58.346,-0.359,-
'[11:34:46.168 10/11/1995]',0.012,0.001,0.052,58.195,-0.363,-
'[11:34:46.170 10/11/1995]',0.006,0.006,0.052,58.195,-0.363,-
'[11:34:46.172 10/11/1995]',0.012,0.001,0.052,58.195,-0.363,-
'[11:34:46.174 10/11/1995]',0.012,0.001,0.052,58.195,-0.363,-
'[11:34:46.176 10/11/1995]',0.012,0.006,0.052,57.895,-0.367,-
'[11:34:46.178 10/11/1995]',0.012,0.006,0.052,57.895,-0.367,-
'[11:34:46.180 10/11/1995]',0.012,0.006,0.052,57.895,-0.367,-
'[11:34:46.182 10/11/1995]',0.012,0.006,0.046,57.895,-0.367,-
'[11:34:46.184 10/11/1995]',0.012,0.006,0.046,57.594,-0.374,-
'[11:34:46.186 10/11/1995]',0.012,0.006,0.052,57.594,-0.374,-
'[11:34:46.188 10/11/1995]',0.006,0.001,0.046,57.594,-0.374,-
'[11:34:46.190 10/11/1995]',0.006,0.001,0.046,57.594,-0.374,-
'[11:34:46.192 10/11/1995]',0.012,0.001,0.046,57.218,-0.378,-
'[11:34:46.194 10/11/1995]',0.006,0.001,0.046,57.218,-0.378,-
'[11:34:46.196 10/11/1995]',0.006,0.006,0.035,57.218,-0.378,-
'[11:34:46.198 10/11/1995]',0.006,0.006,0.035,57.218,-0.378,-
'[11:34:46.200 10/11/1995]',0.001,0.001,0.035,56.541,-0.382,-
'[11:34:46.202 10/11/1995]',-0.005,-0.005,0.035,56.541,-0.382,-
'[11:34:46.204 10/11/1995]',-0.005,-0.005,0.035,56.541,-0.382,-
'[11:34:46.206 10/11/1995]',-0.011,-0.005,0.029,56.541,-0.382,-
'[11:34:46.208 10/11/1995]',-0.005,-0.005,0.029,55.714,-0.386,-
'[11:34:46.210 10/11/1995]',-0.005,0.001,0.029,55.714,-0.386,-
'[11:34:46.212 10/11/1995]',-0.005,-0.005,0.023,55.714,-0.386,-
'[11:34:46.214 10/11/1995]',-0.005,0.001,0.023,55.714,-0.386,-
'[11:34:46.216 10/11/1995]',0.001,0.001,0.029,54.662,-0.393,-
'[11:34:46.218 10/11/1995]',0.001,0.001,0.023,54.662,-0.393,-
'[11:34:46.220 10/11/1995]',0.001,-0.005,0.023,54.662,-0.393,-
'[11:34:46.222 10/11/1995]',0.001,0.001,0.029,54.662,-0.393,-
'[11:34:46.224 10/11/1995]',0.001,0.001,0.023,53.534,-0.397,-
'[11:34:46.226 10/11/1995]',-0.005,0.001,0.023,53.534,-0.397,-
'[11:34:46.228 10/11/1995]',0.001,0.001,0.023,53.534,-0.397,-
'[11:34:46.230 10/11/1995]',0.001,0.001,0.012,53.534,-0.397,-
'[11:34:46.232 10/11/1995]',0.001,0.001,0.012,52.481,-0.404,-
'[11:34:46.234 10/11/1995]',-0.005,0.001,0.012,52.481,-0.404,-
'[11:34:46.236 10/11/1995]',-0.005,0.001,0.012,52.481,-0.404,-
'[11:34:46.238 10/11/1995]',-0.005,-0.005,0.012,52.481,-0.404,-
'[11:34:46.240 10/11/1995]',-0.011,-0.011,0.006,51.654,-0.411,-
'[11:34:46.242 10/11/1995]',-0.011,-0.011,0.006,51.654,-0.411,-
'[11:34:46.244 10/11/1995]',-0.011,-0.011,0.006,51.654,-0.411,-
'[11:34:46.246 10/11/1995]',-0.011,-0.011,0.006,51.654,-0.411,-
'[11:34:46.248 10/11/1995]',-0.011,-0.023,0.001,51.579,-0.415,-
'[11:34:46.250 10/11/1995]',-0.023,-0.023,0.001,51.579,-0.415,-
'[11:34:46.252 10/11/1995]',-0.023,-0.023,0.001,51.579,-0.415,-
'[11:34:46.254 10/11/1995]',-0.023,-0.023,0.001,51.579,-0.415,-
'[11:34:46.256 10/11/1995]',-0.023,-0.028,0.001,52.632,-0.422,-
'[11:34:46.258 10/11/1995]',-0.035,-0.028,0.001,52.632,-0.422,-
'[11:34:46.260 10/11/1995]',-0.029,-0.028,0.001,52.632,-0.422,-
'[11:34:46.262 10/11/1995]',-0.029,-0.028,0.001,52.632,-0.422,-
'[11:34:46.264 10/11/1995]',-0.029,-0.028,0.001,55.489,-0.433,-
'[11:34:46.266 10/11/1995]',-0.029,-0.034,-0.011,55.489,-0.433,-
'[11:34:46.268 10/11/1995]',-0.035,-0.046,-0.005,55.489,-0.433,-
'[11:34:46.270 10/11/1995]',-0.035,-0.046,-0.005,55.489,-0.433,-
'[11:34:46.272 10/11/1995]',-0.047,-0.046,-0.005,60.301,-0.441,-
'[11:34:46.274 10/11/1995]',-0.035,-0.051,-0.005,60.301,-0.441,-
'[11:34:46.276 10/11/1995]',-0.047,-0.051,-0.011,60.301,-0.441,-
'[11:34:46.278 10/11/1995]',-0.047,-0.046,-0.011,60.301,-0.441,-
'[11:34:46.280 10/11/1995]',-0.035,-0.046,-0.022,66.767,-0.452,-
'[11:34:46.282 10/11/1995]',-0.035,-0.046,-0.011,66.767,-0.452,-
'[11:34:46.284 10/11/1995]',-0.029,-0.046,-0.011,66.767,-0.452,-
'[11:34:46.286 10/11/1995]',-0.035,-0.046,-0.011,66.767,-0.452,-
'[11:34:46.288 10/11/1995]',-0.035,-0.046,-0.011,74.135,-0.463,-
'[11:34:46.290 10/11/1995]',-0.029,-0.034,-0.011,74.135,-0.463,-
'[11:34:46.292 10/11/1995]',-0.029,-0.034,-0.011,74.135,-0.463,-
'[11:34:46.294 10/11/1995]',-0.023,-0.046,-0.011,74.135,-0.463,-
'[11:34:46.296 10/11/1995]',-0.023,-0.034,-0.011,81.278,-0.463,-
'[11:34:46.298 10/11/1995]',-0.023,-0.034,-0.011,81.278,-0.463,-
'[11:34:46.300 10/11/1995]',-0.023,-0.028,-0.011,81.278,-0.463,-
'[11:34:46.302 10/11/1995]',-0.029,-0.034,-0.011,81.278,-0.463,-
'[11:34:46.304 10/11/1995]',-0.029,-0.034,-0.022,87.820,-0.467,-
'[11:34:46.306 10/11/1995]',-0.023,-0.034,-0.011,87.820,-0.467,-
'[11:34:46.308 10/11/1995]',-0.023,-0.034,-0.022,87.820,-0.467,-
'[11:34:46.310 10/11/1995]',-0.023,-0.023,-0.011,87.820,-0.467,-
'[11:34:46.312 10/11/1995]',-0.011,-0.028,-0.011,93.383,-0.460,-
'[11:34:46.314 10/11/1995]',-0.005,-0.028,-0.011,93.383,-0.460,-
'[11:34:46.316 10/11/1995]',-0.005,-0.023,-0.022,93.383,-0.460,-
'[11:34:46.318 10/11/1995]',-0.005,-0.023,-0.022,93.383,-0.460,-
'[11:34:46.320 10/11/1995]',-0.005,-0.023,-0.011,98.195,-0.441,-
'[11:34:46.322 10/11/1995]',-0.005,-0.028,-0.022,98.195,-0.441,-
'[11:34:46.324 10/11/1995]',-0.005,-0.023,-0.011,98.195,-0.441,-
'[11:34:46.326 10/11/1995]',-0.005,-0.023,-0.022,98.195,-0.441,-
'[11:34:46.328 10/11/1995]',-0.005,-0.011,-0.022,102.256,-0.422,-
'[11:34:46.330 10/11/1995]',0.006,-0.011,-0.011,102.256,-0.422,-
'[11:34:46.332 10/11/1995]',0.012,-0.005,-0.011,102.256,-0.422,-
'[11:34:46.334 10/11/1995]',0.012,-0.005,-0.011,102.256,-0.422,-
'[11:34:46.336 10/11/1995]',-0.011,-0.028,-0.022,105.639,-0.386,-
'[11:34:46.338 10/11/1995]',-0.011,-0.023,-0.022,105.639,-0.386,-
'[11:34:46.340 10/11/1995]',-0.005,-0.011,-0.022,105.639,-0.386,-
'[11:34:46.342 10/11/1995]',-0.035,-0.046,-0.028,105.639,-0.386,-
'[11:34:46.344 10/11/1995]',-0.142,-0.138,-0.051,108.346,-0.348,-
'[11:34:46.346 10/11/1995]',-0.260,-0.241,-0.091,108.346,-0.348,-
'[11:34:46.348 10/11/1995]',-0.337,-0.322,-0.114,108.346,-0.348,-
'[11:34:46.350 10/11/1995]',-0.443,-0.431,-0.154,108.346,-0.348,-
'[11:34:46.352 10/11/1995]',-0.485,-0.471,-0.160,110.376,-0.300,-
'[11:34:46.354 10/11/1995]',-0.378,-0.379,-0.131,110.376,-0.300,-
'[11:34:46.356 10/11/1995]',-0.201,-0.212,-0.074,110.376,-0.300,-
'[11:34:46.358 10/11/1995]',-0.088,-0.109,-0.034,110.376,-0.300,-
'[11:34:46.360 10/11/1995]',-0.088,-0.097,-0.028,111.880,-0.244,-
'[11:34:46.362 10/11/1995]',-0.112,-0.109,-0.034,111.880,-0.244,-
'[11:34:46.364 10/11/1995]',-0.112,-0.109,-0.034,111.880,-0.244,-
'[11:34:46.366 10/11/1995]',-0.094,-0.091,-0.022,111.880,-0.244,-
'[11:34:46.368 10/11/1995]',-0.065,-0.069,-0.022,112.782,-0.189,-
'[11:34:46.370 10/11/1995]',-0.047,-0.046,-0.028,112.782,-0.189,-
'[11:34:46.372 10/11/1995]',-0.023,-0.028,-0.028,112.782,-0.189,-
'[11:34:46.374 10/11/1995]',-0.005,-0.011,-0.022,112.782,-0.189,-
'[11:34:46.376 10/11/1995]',0.012,0.001,-0.028,113.158,-0.130,-
'[11:34:46.378 10/11/1995]',0.024,0.001,-0.028,113.158,-0.130,-
'[11:34:46.380 10/11/1995]',0.024,0.001,-0.028,113.158,-0.130,-
'[11:34:46.382 10/11/1995]',0.024,0.001,-0.028,113.158,-0.130,-
'[11:34:46.384 10/11/1995]',0.012,0.001,-0.022,112.932,-0.059,-
'[11:34:46.386 10/11/1995]',0.012,-0.005,-0.011,112.932,-0.059,-
'[11:34:46.388 10/11/1995]',0.006,-0.011,-0.011,112.932,-0.059,-
'[11:34:46.390 10/11/1995]',0.006,-0.011,-0.005,112.932,-0.059,-
'[11:34:46.392 10/11/1995]',0.001,-0.023,-0.005,112.030,0.000,-
'[11:34:46.394 10/11/1995]',0.006,-0.005,0.001,112.030,0.000,-
'[11:34:46.396 10/11/1995]',0.012,-0.005,0.006,112.030,0.000,-
'[11:34:46.398 10/11/1995]',0.024,-0.005,0.006,112.030,0.000,-
'[11:34:46.400 10/11/1995]',0.024,0.001,0.006,110.526,0.063,-
'[11:34:46.402 10/11/1995]',0.030,0.006,0.012,110.526,0.063,-
'[11:34:46.404 10/11/1995]',0.036,0.023,0.012,110.526,0.063,-
'[11:34:46.406 10/11/1995]',0.048,0.029,0.012,110.526,0.063,-
'[11:34:46.408 10/11/1995]',0.066,0.035,0.023,108.421,0.122,-
'[11:34:46.410 10/11/1995]',0.077,0.052,0.023,108.421,0.122,-
'[11:34:46.412 10/11/1995]',0.089,0.069,0.023,108.421,0.122,-
'[11:34:46.414 10/11/1995]',0.113,0.087,0.029,108.421,0.122,-
'[11:34:46.416 10/11/1995]',0.113,0.092,0.035,105.789,0.183,-
'[11:34:46.418 10/11/1995]',0.119,0.098,0.046,105.789,0.183,-
'[11:34:46.420 10/11/1995]',0.131,0.110,0.046,105.789,0.183,-
'[11:34:46.422 10/11/1995]',0.142,0.115,0.052,105.789,0.183,-
'[11:34:46.424 10/11/1995]',0.160,0.127,0.052,102.707,0.237,-
'[11:34:46.426 10/11/1995]',0.166,0.138,0.063,102.707,0.237,-
'[11:34:46.428 10/11/1995]',0.178,0.156,0.063,102.707,0.237,-
'[11:34:46.430 10/11/1995]',0.184,0.161,0.069,102.707,0.237,-
'[11:34:46.432 10/11/1995]',0.184,0.173,0.069,99.248,0.286,-
'[11:34:46.434 10/11/1995]',0.196,0.173,0.069,99.248,0.286,-
'[11:34:46.436 10/11/1995]',0.196,0.173,0.075,99.248,0.286,-
'[11:34:46.438 10/11/1995]',0.196,0.173,0.075,99.248,0.286,-
'[11:34:46.440 10/11/1995]',0.196,0.173,0.069,95.564,0.329,-
'[11:34:46.442 10/11/1995]',0.202,0.173,0.069,95.564,0.329,-
'[11:34:46.444 10/11/1995]',0.202,0.173,0.069,95.564,0.329,-
'[11:34:46.446 10/11/1995]',0.202,0.173,0.069,95.564,0.329,-
'[11:34:46.448 10/11/1995]',0.196,0.173,0.063,91.880,0.367,-
'[11:34:46.450 10/11/1995]',0.196,0.179,0.063,91.880,0.367,-
'[11:34:46.452 10/11/1995]',0.202,0.173,0.063,91.880,0.367,-
'[11:34:46.454 10/11/1995]',0.196,0.161,0.063,91.880,0.367,-
'[11:34:46.456 10/11/1995]',0.196,0.161,0.063,88.120,0.401,-
'[11:34:46.458 10/11/1995]',0.184,0.161,0.052,88.120,0.401,-
'[11:34:46.460 10/11/1995]',0.196,0.173,0.063,88.120,0.401,-
'[11:34:46.462 10/11/1995]',0.184,0.161,0.052,88.120,0.401,-
'[11:34:46.464 10/11/1995]',0.196,0.161,0.052,84.211,0.424,-
'[11:34:46.466 10/11/1995]',0.184,0.156,0.046,84.211,0.424,-
'[11:34:46.468 10/11/1995]',0.184,0.161,0.046,84.211,0.424,-
'[11:34:46.470 10/11/1995]',0.184,0.156,0.046,84.211,0.424,-
'[11:34:46.472 10/11/1995]',0.184,0.138,0.046,80.301,0.440,-
'[11:34:46.474 10/11/1995]',0.184,0.138,0.046,80.301,0.440,-
'[11:34:46.476 10/11/1995]',0.184,0.138,0.035,80.301,0.440,-
'[11:34:46.478 10/11/1995]',0.184,0.150,0.046,80.301,0.440,-
'[11:34:46.480 10/11/1995]',0.184,0.138,0.035,76.692,0.447,-
'[11:34:46.482 10/11/1995]',0.184,0.138,0.035,76.692,0.447,-
'[11:34:46.484 10/11/1995]',0.184,0.138,0.029,76.692,0.447,-
'[11:34:46.486 10/11/1995]',0.184,0.138,0.035,76.692,0.447,-
'[11:34:46.488 10/11/1995]',0.184,0.138,0.035,73.459,0.459,-
'[11:34:46.490 10/11/1995]',0.196,0.133,0.029,73.459,0.459,-
'[11:34:46.492 10/11/1995]',0.196,0.138,0.029,73.459,0.459,-
'[11:34:46.494 10/11/1995]',0.196,0.150,0.029,73.459,0.459,-
'[11:34:46.496 10/11/1995]',0.202,0.150,0.023,70.526,0.451,-
'[11:34:46.498 10/11/1995]',0.202,0.150,0.012,70.526,0.451,-
'[11:34:46.500 10/11/1995]',0.202,0.138,0.012,70.526,0.451,-
'[11:34:46.502 10/11/1995]',0.196,0.138,0.006,70.526,0.451,-
'[11:34:46.504 10/11/1995]',0.196,0.138,0.006,67.820,0.443,-
'[11:34:46.506 10/11/1995]',0.184,0.138,0.001,67.820,0.443,-
'[11:34:46.508 10/11/1995]',0.178,0.138,0.001,67.820,0.443,-
'[11:34:46.510 10/11/1995]',0.178,0.138,0.001,67.820,0.443,-
'[11:34:46.512 10/11/1995]',0.166,0.133,0.001,65.564,0.428,-
'[11:34:46.514 10/11/1995]',0.160,0.133,-0.005,65.564,0.428,-
'[11:34:46.516 10/11/1995]',0.160,0.127,-0.005,65.564,0.428,-
'[11:34:46.518 10/11/1995]',0.142,0.115,-0.011,65.564,0.428,-
'[11:34:46.520 10/11/1995]',0.137,0.110,-0.011,63.684,0.412,-
'[11:34:46.522 10/11/1995]',0.131,0.098,-0.011,63.684,0.412,-
'[11:34:46.524 10/11/1995]',0.119,0.098,-0.022,63.684,0.412,-
'[11:34:46.526 10/11/1995]',0.113,0.087,-0.022,63.684,0.412,-
'[11:34:46.528 10/11/1995]',0.101,0.087,-0.022,62.030,0.382,-
'[11:34:46.530 10/11/1995]',0.095,0.075,-0.022,62.030,0.382,-
'[11:34:46.532 10/11/1995]',0.077,0.069,-0.022,62.030,0.382,-
'[11:34:46.534 10/11/1995]',0.072,0.064,-0.011,62.030,0.382,-
'[11:34:46.536 10/11/1995]',0.048,0.046,-0.011,60.752,0.359,-
'[11:34:46.538 10/11/1995]',0.036,0.035,-0.005,60.752,0.359,-
'[11:34:46.540 10/11/1995]',0.030,0.029,-0.011,60.752,0.359,-
'[11:34:46.542 10/11/1995]',0.024,0.023,-0.005,60.752,0.359,-
'[11:34:46.544 10/11/1995]',0.030,0.012,-0.005,59.624,0.325,-
'[11:34:46.546 10/11/1995]',0.012,0.006,-0.005,59.624,0.325,-
'[11:34:46.548 10/11/1995]',0.012,0.012,-0.005,59.624,0.325,-
'[11:34:46.550 10/11/1995]',0.012,0.006,-0.005,59.624,0.325,-
'[11:34:46.552 10/11/1995]',0.006,0.006,-0.005,58.797,0.279,-
'[11:34:46.554 10/11/1995]',0.006,0.001,-0.005,58.797,0.279,-
'[11:34:46.556 10/11/1995]',0.001,0.001,-0.005,58.797,0.279,-
'[11:34:46.558 10/11/1995]',0.001,0.001,-0.005,58.797,0.279,-
'[11:34:46.560 10/11/1995]',-0.005,0.001,-0.005,58.271,0.237,-
'[11:34:46.562 10/11/1995]',0.001,0.001,-0.005,58.271,0.237,-
'[11:34:46.564 10/11/1995]',0.001,-0.005,-0.005,58.271,0.237,-
'[11:34:46.566 10/11/1995]',0.001,0.001,-0.005,58.271,0.237,-
'[11:34:46.568 10/11/1995]',0.001,0.001,-0.005,58.045,0.195,-
'[11:34:46.570 10/11/1995]',-0.005,-0.005,-0.005,58.045,0.195,-
'[11:34:46.572 10/11/1995]',0.001,-0.005,-0.005,58.045,0.195,-
'[11:34:46.574 10/11/1995]',-0.005,-0.005,-0.005,58.045,0.195,-
'[11:34:46.576 10/11/1995]',-0.005,-0.005,-0.005,58.045,0.149,-
'[11:34:46.578 10/11/1995]',0.001,-0.005,-0.005,58.045,0.149,-
'[11:34:46.580 10/11/1995]',0.001,0.001,-0.005,58.045,0.149,-
'[11:34:46.582 10/11/1995]',0.001,0.001,-0.005,58.045,0.149,-
'[11:34:46.584 10/11/1995]',0.001,0.006,-0.005,58.120,0.100,-
'[11:34:46.586 10/11/1995]',0.001,0.001,-0.005,58.120,0.100,-
'[11:34:46.588 10/11/1995]',0.001,0.001,-0.005,58.120,0.100,-
'[11:34:46.590 10/11/1995]',0.006,0.001,0.001,58.120,0.100,-
'[11:34:46.592 10/11/1995]',0.001,0.001,-0.005,58.271,0.050,-
'[11:34:46.594 10/11/1995]',0.006,0.001,0.001,58.271,0.050,-
'[11:34:46.596 10/11/1995]',0.006,0.006,-0.011,58.271,0.050,-
'[11:34:46.598 10/11/1995]',0.001,0.012,-0.011,58.271,0.050,-
'[11:34:46.600 10/11/1995]',0.001,0.012,-0.011,58.496,0.007,-
'[11:34:46.602 10/11/1995]',-0.023,0.006,-0.022,58.496,0.007,-
'[11:34:46.604 10/11/1995]',-0.029,0.012,-0.022,58.496,0.007,-
'[11:34:46.606 10/11/1995]',-0.035,0.012,-0.028,58.496,0.007,-
'[11:34:46.608 10/11/1995]',-0.053,0.023,-0.028,58.797,-0.035,-
'[11:34:46.610 10/11/1995]',-0.047,0.029,-0.028,58.797,-0.035,-
'[11:34:46.612 10/11/1995]',-0.047,0.046,-0.034,58.797,-0.035,-
'[11:34:46.614 10/11/1995]',-0.035,0.052,-0.051,58.797,-0.035,-
'[11:34:46.616 10/11/1995]',-0.029,0.064,-0.068,58.947,-0.076,-
'[11:34:46.618 10/11/1995]',-0.011,0.075,-0.091,58.947,-0.076,-
'[11:34:46.620 10/11/1995]',-0.005,0.092,-0.114,58.947,-0.076,-
'[11:34:46.622 10/11/1995]',0.001,0.110,-0.137,58.947,-0.076,-
'[11:34:46.624 10/11/1995]',-0.005,0.115,-0.171,59.248,-0.111,-
'[11:34:46.626 10/11/1995]',-0.005,0.138,-0.194,59.248,-0.111,-
'[11:34:46.628 10/11/1995]',0.001,0.156,-0.217,59.248,-0.111,-
'[11:34:46.630 10/11/1995]',-0.047,0.133,-0.262,59.248,-0.111,-
'[11:34:46.632 10/11/1995]',-0.201,0.012,-0.325,59.398,-0.149,-
'[11:34:46.634 10/11/1995]',-0.420,-0.172,-0.388,59.398,-0.149,-
'[11:34:46.636 10/11/1995]',-0.532,-0.264,-0.422,59.398,-0.149,-
'[11:34:46.638 10/11/1995]',-,-0.402,-0.451,59.398,-0.149,-
'[11:34:46.640 10/11/1995]',-,-0.322,-0.411,59.624,-0.179,-
'[11:34:46.642 10/11/1995]',-0.313,-0.126,-0.320,59.624,-0.179,-
'[11:34:46.644 10/11/1995]',-0.094,0.052,-0.223,59.624,-0.179,-
'[11:34:46.646 10/11/1995]',0.001,0.110,-0.160,59.624,-0.179,-
'[11:34:46.648 10/11/1995]',-0.023,0.075,-0.137,59.774,-0.214,-
'[11:34:46.650 10/11/1995]',-0.136,-0.034,-0.137,59.774,-0.214,-
'[11:34:46.652 10/11/1995]',-0.272,-0.149,-0.137,59.774,-0.214,-
'[11:34:46.654 10/11/1995]',-0.360,-0.212,-0.108,59.774,-0.214,-
'[11:34:46.656 10/11/1995]',-0.390,-0.235,-0.074,59.850,-0.237,-
