'Time and date','II','aVR','V','ABP','PAP','CVP','PLETH'
'[15:26:28.080 06/04/1996]',-0.045,0.092,0.002,100.425,23.000,-4.650,0.000
'[15:26:28.082 06/04/1996]',-0.045,0.092,0.002,100.425,23.000,-4.650,0.000
'[15:26:28.084 06/04/1996]',-0.045,0.092,0.002,100.425,23.000,-4.650,0.000
'[15:26:28.086 06/04/1996]',-0.045,0.092,0.002,100.425,23.000,-4.650,0.000
'[15:26:28.088 06/04/1996]',-0.027,0.092,0.002,102.825,25.450,-4.650,0.000
'[15:26:28.090 06/04/1996]',-0.036,0.092,0.002,102.825,25.450,-4.650,0.000
'[15:26:28.092 06/04/1996]',-0.036,0.092,0.002,102.825,25.450,-4.650,0.000
'[15:26:28.094 06/04/1996]',-0.036,0.092,0.002,102.825,25.450,-4.650,0.000
'[15:26:28.096 06/04/1996]',-0.045,0.092,0.002,104.925,27.750,-4.650,0.000
'[15:26:28.098 06/04/1996]',-0.036,0.092,0.002,104.925,27.750,-4.650,0.000
'[15:26:28.100 06/04/1996]',-0.036,0.092,0.002,104.925,27.750,-4.650,0.000
'[15:26:28.102 06/04/1996]',-0.036,0.092,0.002,104.925,27.750,-4.650,0.000
'[15:26:28.104 06/04/1996]',-0.045,0.092,0.002,106.500,29.725,-4.650,0.000
'[15:26:28.106 06/04/1996]',-0.063,0.111,0.002,106.500,29.725,-4.650,0.000
'[15:26:28.108 06/04/1996]',-0.072,0.111,0.002,106.500,29.725,-4.650,0.000
'[15:26:28.110 06/04/1996]',-0.063,0.111,0.002,106.500,29.725,-4.650,0.000
'[15:26:28.112 06/04/1996]',-0.063,0.111,0.002,107.550,31.325,-4.650,0.000
'[15:26:28.114 06/04/1996]',-0.063,0.111,0.002,107.550,31.325,-4.650,0.000
'[15:26:28.116 06/04/1996]',-0.063,0.092,0.002,107.550,31.325,-4.650,0.000
'[15:26:28.118 06/04/1996]',-0.063,0.092,0.002,107.550,31.325,-4.650,0.000
'[15:26:28.120 06/04/1996]',-0.054,0.111,0.002,108.450,32.425,-4.650,0.000
'[15:26:28.122 06/04/1996]',-0.063,0.111,0.002,108.450,32.425,-4.650,0.000
'[15:26:28.124 06/04/1996]',-0.063,0.111,0.002,108.450,32.425,-4.650,0.000
'[15:26:28.126 06/04/1996]',-0.063,0.111,0.002,108.450,32.425,-4.650,0.000
'[15:26:28.128 06/04/1996]',-0.063,0.111,0.002,109.200,32.950,-4.650,0.000
'[15:26:28.130 06/04/1996]',-0.063,0.111,0.002,109.200,32.950,-4.650,0.000
'[15:26:28.132 06/04/1996]',-0.063,0.111,0.002,109.200,32.950,-4.650,0.000
'[15:26:28.134 06/04/1996]',-0.054,0.092,0.002,109.200,32.950,-4.650,0.000
'[15:26:28.136 06/04/1996]',-0.045,0.092,0.002,109.725,33.025,-4.650,0.000
'[15:26:28.138 06/04/1996]',-0.045,0.111,0.002,109.725,33.025,-4.650,0.000
'[15:26:28.140 06/04/1996]',-0.045,0.111,0.002,109.725,33.025,-4.650,0.000
'[15:26:28.142 06/04/1996]',-0.045,0.092,0.002,109.725,33.025,-4.650,0.000
'[15:26:28.144 06/04/1996]',-0.063,0.111,0.002,110.100,32.600,-4.650,0.000
'[15:26:28.146 06/04/1996]',-0.063,0.111,0.002,110.100,32.600,-4.650,0.000
'[15:26:28.148 06/04/1996]',-0.082,0.111,0.002,110.100,32.600,-4.650,0.000
'[15:26:28.150 06/04/1996]',-0.091,0.111,0.002,110.100,32.600,-4.650,0.000
'[15:26:28.152 06/04/1996]',-0.091,0.111,0.002,110.250,31.675,-4.650,0.000
'[15:26:28.154 06/04/1996]',-0.082,0.111,0.002,110.250,31.675,-4.650,0.000
'[15:26:28.156 06/04/1996]',-0.072,0.111,0.002,110.250,31.675,-4.650,0.000
'[15:26:28.158 06/04/1996]',-0.072,0.111,0.002,110.250,31.675,-4.650,0.000
'[15:26:28.160 06/04/1996]',-0.072,0.111,0.002,109.950,30.450,-4.650,0.000
'[15:26:28.162 06/04/1996]',-0.063,0.111,0.002,109.950,30.450,-4.650,0.000
'[15:26:28.164 06/04/1996]',-0.054,0.111,0.002,109.950,30.450,-4.650,0.000
'[15:26:28.166 06/04/1996]',-0.054,0.092,0.002,109.950,30.450,-4.650,0.000
'[15:26:28.168 06/04/1996]',-0.045,0.111,0.002,109.425,29.025,-4.650,0.000
'[15:26:28.170 06/04/1996]',-0.045,0.111,0.002,109.425,29.025,-4.650,0.000
'[15:26:28.172 06/04/1996]',-0.054,0.111,0.002,109.425,29.025,-4.650,0.000
'[15:26:28.174 06/04/1996]',-0.054,0.111,0.002,109.425,29.025,-4.650,0.000
'[15:26:28.176 06/04/1996]',-0.054,0.111,0.002,108.600,27.500,-4.450,0.000
'[15:26:28.178 06/04/1996]',-0.063,0.111,0.002,108.600,27.500,-4.450,0.000
'[15:26:28.180 06/04/1996]',-0.063,0.092,0.002,108.600,27.500,-4.450,0.000
'[15:26:28.182 06/04/1996]',-0.063,0.092,0.002,108.600,27.500,-4.450,0.000
'[15:26:28.184 06/04/1996]',-0.045,0.111,0.002,107.325,25.875,-3.862,0.000
'[15:26:28.186 06/04/1996]',-0.045,0.092,0.002,107.325,25.875,-3.862,0.000
'[15:26:28.188 06/04/1996]',-0.045,0.111,0.002,107.325,25.875,-3.862,0.000
'[15:26:28.190 06/04/1996]',-0.054,0.111,0.002,107.325,25.875,-3.862,0.000
'[15:26:28.192 06/04/1996]',-0.054,0.111,0.002,105.450,24.000,-3.212,0.000
'[15:26:28.194 06/04/1996]',-0.072,0.111,0.002,105.450,24.000,-3.212,0.000
'[15:26:28.196 06/04/1996]',-0.063,0.111,0.002,105.450,24.000,-3.212,0.000
'[15:26:28.198 06/04/1996]',-0.063,0.111,0.002,105.450,24.000,-3.212,0.000
'[15:26:28.200 06/04/1996]',-0.054,0.111,0.002,103.050,21.950,-2.638,0.000
'[15:26:28.202 06/04/1996]',-0.036,0.092,0.002,103.050,21.950,-2.638,0.000
'[15:26:28.204 06/04/1996]',-0.036,0.092,0.002,103.050,21.950,-2.638,0.000
'[15:26:28.206 06/04/1996]',-0.027,0.092,0.002,103.050,21.950,-2.638,0.000
'[15:26:28.208 06/04/1996]',-0.036,0.092,0.002,99.825,19.825,-2.100,0.000
'[15:26:28.210 06/04/1996]',-0.045,0.092,0.002,99.825,19.825,-2.100,0.000
'[15:26:28.212 06/04/1996]',-0.054,0.092,0.002,99.825,19.825,-2.100,0.000
'[15:26:28.214 06/04/1996]',-0.054,0.092,0.002,99.825,19.825,-2.100,0.000
'[15:26:28.216 06/04/1996]',-0.045,0.092,0.002,96.225,17.850,-1.637,0.000
'[15:26:28.218 06/04/1996]',-0.036,0.092,0.002,96.225,17.850,-1.637,0.000
'[15:26:28.220 06/04/1996]',-0.008,0.074,0.002,96.225,17.850,-1.637,0.000
'[15:26:28.222 06/04/1996]',0.001,0.074,0.002,96.225,17.850,-1.637,0.000
'[15:26:28.224 06/04/1996]',0.001,0.074,0.002,92.550,16.025,-1.225,0.000
'[15:26:28.226 06/04/1996]',0.001,0.074,0.002,92.550,16.025,-1.225,0.000
'[15:26:28.228 06/04/1996]',-0.008,0.074,0.002,92.550,16.025,-1.225,0.000
'[15:26:28.230 06/04/1996]',-0.018,0.074,0.002,92.550,16.025,-1.225,0.000
'[15:26:28.232 06/04/1996]',-0.027,0.074,0.002,89.550,14.450,-0.812,0.000
'[15:26:28.234 06/04/1996]',-0.027,0.092,0.002,89.550,14.450,-0.812,0.000
'[15:26:28.236 06/04/1996]',-0.036,0.092,0.002,89.550,14.450,-0.812,0.000
'[15:26:28.238 06/04/1996]',-0.027,0.092,0.002,89.550,14.450,-0.812,0.000
'[15:26:28.240 06/04/1996]',-0.027,0.074,0.002,87.675,13.025,-0.400,0.000
'[15:26:28.242 06/04/1996]',-0.018,0.074,0.002,87.675,13.025,-0.400,0.000
'[15:26:28.244 06/04/1996]',-0.027,0.074,0.002,87.675,13.025,-0.400,0.000
'[15:26:28.246 06/04/1996]',-0.018,0.074,0.002,87.675,13.025,-0.400,0.000
'[15:26:28.248 06/04/1996]',0.001,0.074,0.002,86.850,11.925,-0.113,0.000
'[15:26:28.250 06/04/1996]',0.001,0.074,0.002,86.850,11.925,-0.113,0.000
'[15:26:28.252 06/04/1996]',-0.008,0.074,0.002,86.850,11.925,-0.113,0.000
'[15:26:28.254 06/04/1996]',-0.008,0.074,0.002,86.850,11.925,-0.113,0.000
'[15:26:28.256 06/04/1996]',-0.018,0.092,0.002,86.400,11.150,0.062,0.000
'[15:26:28.258 06/04/1996]',-0.027,0.092,0.002,86.400,11.150,0.062,0.000
'[15:26:28.260 06/04/1996]',-0.027,0.092,0.002,86.400,11.150,0.062,0.000
'[15:26:28.262 06/04/1996]',-0.036,0.092,0.002,86.400,11.150,0.062,0.000
'[15:26:28.264 06/04/1996]',-0.045,0.092,0.002,85.950,10.625,0.062,0.000
'[15:26:28.266 06/04/1996]',-0.054,0.111,0.002,85.950,10.625,0.062,0.000
'[15:26:28.268 06/04/1996]',-0.063,0.111,0.002,85.950,10.625,0.062,0.000
'[15:26:28.270 06/04/1996]',-0.072,0.111,0.002,85.950,10.625,0.062,0.000
'[15:26:28.272 06/04/1996]',-0.082,0.129,0.002,85.200,10.450,0.000,0.000
'[15:26:28.274 06/04/1996]',-0.082,0.129,0.002,85.200,10.450,0.000,0.000
'[15:26:28.276 06/04/1996]',-0.082,0.111,0.002,85.200,10.450,0.000,0.000
'[15:26:28.278 06/04/1996]',-0.082,0.111,0.002,85.200,10.450,0.000,0.000
'[15:26:28.280 06/04/1996]',-0.063,0.111,0.002,84.300,10.575,-0.175,0.000
'[15:26:28.282 06/04/1996]',-0.063,0.111,-0.020,84.300,10.575,-0.175,0.000
'[15:26:28.284 06/04/1996]',-0.054,0.111,0.002,84.300,10.575,-0.175,0.000
'[15:26:28.286 06/04/1996]',-0.045,0.111,0.002,84.300,10.575,-0.175,0.000
'[15:26:28.288 06/04/1996]',-0.045,0.111,0.002,83.175,10.975,-0.400,0.000
'[15:26:28.290 06/04/1996]',-0.063,0.111,0.002,83.175,10.975,-0.400,0.000
'[15:26:28.292 06/04/1996]',-0.063,0.111,-0.020,83.175,10.975,-0.400,0.000
'[15:26:28.294 06/04/1996]',-0.072,0.111,0.002,83.175,10.975,-0.400,0.000
'[15:26:28.296 06/04/1996]',-0.082,0.111,0.002,82.125,11.750,-0.700,0.000
'[15:26:28.298 06/04/1996]',-0.091,0.111,-0.020,82.125,11.750,-0.700,0.000
'[15:26:28.300 06/04/1996]',-0.082,0.129,-0.020,82.125,11.750,-0.700,0.000
'[15:26:28.302 06/04/1996]',-0.082,0.111,-0.020,82.125,11.750,-0.700,0.000
'[15:26:28.304 06/04/1996]',-0.072,0.111,0.002,81.225,12.675,-1.113,0.000
'[15:26:28.306 06/04/1996]',-0.072,0.111,-0.020,81.225,12.675,-1.113,0.000
'[15:26:28.308 06/04/1996]',-0.082,0.111,-0.020,81.225,12.675,-1.113,0.000
'[15:26:28.310 06/04/1996]',-0.082,0.111,-0.020,81.225,12.675,-1.113,0.000
'[15:26:28.312 06/04/1996]',-0.082,0.111,-0.020,80.400,13.800,-1.575,0.000
'[15:26:28.314 06/04/1996]',-0.100,0.111,-0.020,80.400,13.800,-1.575,0.000
'[15:26:28.316 06/04/1996]',-0.100,0.129,0.002,80.400,13.800,-1.575,0.000
'[15:26:28.318 06/04/1996]',-0.100,0.129,-0.020,80.400,13.800,-1.575,0.000
'[15:26:28.320 06/04/1996]',-0.091,0.129,-0.020,79.725,14.850,-1.988,0.000
'[15:26:28.322 06/04/1996]',-0.100,0.129,-0.020,79.725,14.850,-1.988,0.000
'[15:26:28.324 06/04/1996]',-0.091,0.129,-0.020,79.725,14.850,-1.988,0.000
'[15:26:28.326 06/04/1996]',-0.091,0.129,-0.020,79.725,14.850,-1.988,0.000
'[15:26:28.328 06/04/1996]',-0.091,0.129,-0.020,78.975,15.675,-2.337,0.000
'[15:26:28.330 06/04/1996]',-0.091,0.129,-0.020,78.975,15.675,-2.337,0.000
'[15:26:28.332 06/04/1996]',-0.091,0.129,-0.020,78.975,15.675,-2.337,0.000
'[15:26:28.334 06/04/1996]',-0.091,0.129,-0.020,78.975,15.675,-2.337,0.000
'[15:26:28.336 06/04/1996]',-0.091,0.111,-0.020,78.375,16.200,-2.575,0.000
'[15:26:28.338 06/04/1996]',-0.100,0.129,-0.020,78.375,16.200,-2.575,0.000
'[15:26:28.340 06/04/1996]',-0.100,0.111,-0.042,78.375,16.200,-2.575,0.000
'[15:26:28.342 06/04/1996]',-0.100,0.111,-0.042,78.375,16.200,-2.575,0.000
'[15:26:28.344 06/04/1996]',-0.091,0.111,-0.020,77.625,16.425,-2.750,0.000
'[15:26:28.346 06/04/1996]',-0.100,0.111,-0.042,77.625,16.425,-2.750,0.000
'[15:26:28.348 06/04/1996]',-0.100,0.129,-0.042,77.625,16.425,-2.750,0.000
'[15:26:28.350 06/04/1996]',-0.100,0.129,-0.042,77.625,16.425,-2.750,0.000
'[15:26:28.352 06/04/1996]',-0.100,0.129,-0.042,77.025,16.550,-2.812,0.000
'[15:26:28.354 06/04/1996]',-0.100,0.129,-0.042,77.025,16.550,-2.812,0.000
'[15:26:28.356 06/04/1996]',-0.091,0.129,-0.042,77.025,16.550,-2.812,0.000
'[15:26:28.358 06/04/1996]',-0.100,0.129,-0.042,77.025,16.550,-2.812,0.000
'[15:26:28.360 06/04/1996]',-0.100,0.129,-0.042,76.350,16.425,-2.688,0.000
'[15:26:28.362 06/04/1996]',-0.109,0.129,-0.042,76.350,16.425,-2.688,0.000
'[15:26:28.364 06/04/1996]',-0.118,0.129,-0.042,76.350,16.425,-2.688,0.000
'[15:26:28.366 06/04/1996]',-0.109,0.129,-0.042,76.350,16.425,-2.688,0.000
'[15:26:28.368 06/04/1996]',-0.109,0.129,-0.042,75.675,16.250,-2.462,0.000
'[15:26:28.370 06/04/1996]',-0.100,0.129,-0.042,75.675,16.250,-2.462,0.000
'[15:26:28.372 06/04/1996]',-0.109,0.129,-0.042,75.675,16.250,-2.462,0.000
'[15:26:28.374 06/04/1996]',-0.109,0.111,-0.042,75.675,16.250,-2.462,0.000
'[15:26:28.376 06/04/1996]',-0.100,0.111,-0.042,75.000,15.975,-1.988,0.000
'[15:26:28.378 06/04/1996]',-0.100,0.111,-0.042,75.000,15.975,-1.988,0.000
'[15:26:28.380 06/04/1996]',-0.100,0.129,-0.042,75.000,15.975,-1.988,0.000
'[15:26:28.382 06/04/1996]',-0.100,0.129,-0.042,75.000,15.975,-1.988,0.000
'[15:26:28.384 06/04/1996]',-0.100,0.129,-0.042,74.325,15.675,-1.400,0.000
'[15:26:28.386 06/04/1996]',-0.100,0.129,-0.042,74.325,15.675,-1.400,0.000
'[15:26:28.388 06/04/1996]',-0.109,0.129,-0.042,74.325,15.675,-1.400,0.000
'[15:26:28.390 06/04/1996]',-0.109,0.129,-0.042,74.325,15.675,-1.400,0.000
'[15:26:28.392 06/04/1996]',-0.109,0.129,-0.042,73.725,15.375,-0.700,0.000
'[15:26:28.394 06/04/1996]',-0.109,0.129,-0.042,73.725,15.375,-0.700,0.000
'[15:26:28.396 06/04/1996]',-0.109,0.129,-0.042,73.725,15.375,-0.700,0.000
'[15:26:28.398 06/04/1996]',-0.100,0.129,-0.064,73.725,15.375,-0.700,0.000
'[15:26:28.400 06/04/1996]',-0.091,0.129,-0.064,73.200,15.150,0.125,0.000
'[15:26:28.402 06/04/1996]',-0.082,0.129,-0.064,73.200,15.150,0.125,0.000
'[15:26:28.404 06/04/1996]',-0.082,0.111,-0.086,73.200,15.150,0.125,0.000
'[15:26:28.406 06/04/1996]',-0.072,0.111,-0.086,73.200,15.150,0.125,0.000
'[15:26:28.408 06/04/1996]',-0.054,0.111,-0.086,72.675,14.850,0.988,0.000
'[15:26:28.410 06/04/1996]',-0.045,0.111,-0.108,72.675,14.850,0.988,0.000
'[15:26:28.412 06/04/1996]',-0.036,0.111,-0.086,72.675,14.850,0.988,0.000
'[15:26:28.414 06/04/1996]',-0.027,0.092,-0.086,72.675,14.850,0.988,0.000
'[15:26:28.416 06/04/1996]',-0.008,0.074,-0.064,72.075,14.450,1.925,0.000
'[15:26:28.418 06/04/1996]',0.001,0.056,-0.042,72.075,14.450,1.925,0.000
'[15:26:28.420 06/04/1996]',0.001,0.037,-0.042,72.075,14.450,1.925,0.000
'[15:26:28.422 06/04/1996]',0.001,0.019,0.002,72.075,14.450,1.925,0.000
'[15:26:28.424 06/04/1996]',0.019,0.002,0.002,71.550,14.100,2.862,0.000
'[15:26:28.426 06/04/1996]',0.046,-0.035,0.023,71.550,14.100,2.862,0.000
'[15:26:28.428 06/04/1996]',0.065,-0.090,0.067,71.550,14.100,2.862,0.000
'[15:26:28.430 06/04/1996]',0.074,-0.108,0.089,71.550,14.100,2.862,0.000
'[15:26:28.432 06/04/1996]',0.074,-0.145,0.133,71.100,13.750,3.737,0.000
'[15:26:28.434 06/04/1996]',0.055,-0.163,0.177,71.100,13.750,3.737,0.000
'[15:26:28.436 06/04/1996]',0.028,-0.182,0.199,71.100,13.750,3.737,0.000
'[15:26:28.438 06/04/1996]',0.001,-0.182,0.221,71.100,13.750,3.737,0.000
'[15:26:28.440 06/04/1996]',-0.036,-0.163,0.243,70.725,13.575,4.562,0.000
'[15:26:28.442 06/04/1996]',-0.091,-0.163,0.243,70.725,13.575,4.562,0.000
'[15:26:28.444 06/04/1996]',-0.128,-0.127,0.265,70.725,13.575,4.562,0.000
'[15:26:28.446 06/04/1996]',-0.164,-0.108,0.243,70.725,13.575,4.562,0.000
'[15:26:28.448 06/04/1996]',-0.191,-0.072,0.221,70.425,13.450,5.213,0.000
'[15:26:28.450 06/04/1996]',-0.219,-0.035,0.199,70.425,13.450,5.213,0.000
'[15:26:28.452 06/04/1996]',-0.246,0.002,0.177,70.425,13.450,5.213,0.000
'[15:26:28.454 06/04/1996]',-0.264,0.037,0.155,70.425,13.450,5.213,0.000
'[15:26:28.456 06/04/1996]',-0.264,0.056,0.133,70.125,13.575,5.787,0.000
'[15:26:28.458 06/04/1996]',-0.273,0.074,0.089,70.125,13.575,5.787,0.000
'[15:26:28.460 06/04/1996]',-0.264,0.092,0.067,70.125,13.575,5.787,0.000
'[15:26:28.462 06/04/1996]',-0.246,0.111,0.045,70.125,13.575,5.787,0.000
'[15:26:28.464 06/04/1996]',-0.228,0.111,0.045,69.750,13.800,6.200,0.000
'[15:26:28.466 06/04/1996]',-0.219,0.111,0.002,69.750,13.800,6.200,0.000
'[15:26:28.468 06/04/1996]',-0.210,0.129,0.002,69.750,13.800,6.200,0.000
'[15:26:28.470 06/04/1996]',-0.191,0.129,-0.020,69.750,13.800,6.200,0.000
'[15:26:28.472 06/04/1996]',-0.164,0.129,-0.042,69.225,14.150,6.550,0.000
'[15:26:28.474 06/04/1996]',-0.155,0.111,-0.042,69.225,14.150,6.550,0.000
'[15:26:28.476 06/04/1996]',-0.136,0.129,-0.042,69.225,14.150,6.550,0.000
'[15:26:28.478 06/04/1996]',-0.136,0.129,-0.064,69.225,14.150,6.550,0.000
'[15:26:28.480 06/04/1996]',-0.128,0.129,-0.064,68.550,14.500,6.725,0.000
'[15:26:28.482 06/04/1996]',-0.118,0.147,-0.064,68.550,14.500,6.725,0.000
'[15:26:28.484 06/04/1996]',-0.118,0.147,-0.064,68.550,14.500,6.725,0.000
'[15:26:28.486 06/04/1996]',-0.118,0.147,-0.064,68.550,14.500,6.725,0.000
'[15:26:28.488 06/04/1996]',-0.109,0.129,-0.064,67.950,14.850,6.787,0.000
'[15:26:28.490 06/04/1996]',-0.118,0.147,-0.064,67.950,14.850,6.787,0.000
'[15:26:28.492 06/04/1996]',-0.118,0.147,-0.064,67.950,14.850,6.787,0.000
'[15:26:28.494 06/04/1996]',-0.118,0.147,-0.064,67.950,14.850,6.787,0.000
'[15:26:28.496 06/04/1996]',-0.109,0.129,-0.064,67.500,15.075,6.787,0.000
'[15:26:28.498 06/04/1996]',-0.109,0.129,-0.064,67.500,15.075,6.787,0.000
'[15:26:28.500 06/04/1996]',-0.100,0.129,-0.086,67.500,15.075,6.787,0.000
'[15:26:28.502 06/04/1996]',-0.109,0.129,-0.086,67.500,15.075,6.787,0.000
'[15:26:28.504 06/04/1996]',-0.091,0.129,-0.086,66.975,15.150,6.725,0.000
'[15:26:28.506 06/04/1996]',-0.109,0.129,-0.086,66.975,15.150,6.725,0.000
'[15:26:28.508 06/04/1996]',-0.100,0.129,-0.086,66.975,15.150,6.725,0.000
'[15:26:28.510 06/04/1996]',-0.100,0.129,-0.086,66.975,15.150,6.725,0.000
'[15:26:28.512 06/04/1996]',-0.109,0.129,-0.086,66.600,15.200,6.612,0.000
'[15:26:28.514 06/04/1996]',-0.100,0.129,-0.086,66.600,15.200,6.612,0.000
'[15:26:28.516 06/04/1996]',-0.100,0.129,-0.086,66.600,15.200,6.612,0.000
'[15:26:28.518 06/04/1996]',-0.100,0.129,-0.086,66.600,15.200,6.612,0.000
'[15:26:28.520 06/04/1996]',-0.091,0.129,-0.086,66.300,15.275,6.438,0.000
'[15:26:28.522 06/04/1996]',-0.100,0.129,-0.086,66.300,15.275,6.438,0.000
'[15:26:28.524 06/04/1996]',-0.100,0.129,-0.086,66.300,15.275,6.438,0.000
'[15:26:28.526 06/04/1996]',-0.100,0.129,-0.086,66.300,15.275,6.438,0.000
'[15:26:28.528 06/04/1996]',-0.100,0.129,-0.086,66.000,15.450,6.263,0.000
'[15:26:28.530 06/04/1996]',-0.100,0.129,-0.086,66.000,15.450,6.263,0.000
'[15:26:28.532 06/04/1996]',-0.100,0.111,-0.086,66.000,15.450,6.263,0.000
'[15:26:28.534 06/04/1996]',-0.100,0.129,-0.086,66.000,15.450,6.263,0.000
'[15:26:28.536 06/04/1996]',-0.091,0.129,-0.086,65.700,15.675,6.088,0.000
'[15:26:28.538 06/04/1996]',-0.100,0.111,-0.086,65.700,15.675,6.088,0.000
'[15:26:28.540 06/04/1996]',-0.091,0.129,-0.086,65.700,15.675,6.088,0.000
'[15:26:28.542 06/04/1996]',-0.091,0.129,-0.086,65.700,15.675,6.088,0.000
'[15:26:28.544 06/04/1996]',-0.091,0.111,-0.086,65.250,15.975,6.025,0.000
'[15:26:28.546 06/04/1996]',-0.091,0.129,-0.086,65.250,15.975,6.025,0.000
'[15:26:28.548 06/04/1996]',-0.091,0.129,-0.086,65.250,15.975,6.025,0.000
'[15:26:28.550 06/04/1996]',-0.091,0.129,-0.086,65.250,15.975,6.025,0.000
'[15:26:28.552 06/04/1996]',-0.082,0.129,-0.086,64.950,16.325,6.025,0.000
'[15:26:28.554 06/04/1996]',-0.091,0.129,-0.086,64.950,16.325,6.025,0.000
'[15:26:28.556 06/04/1996]',-0.091,0.129,-0.086,64.950,16.325,6.025,0.000
'[15:26:28.558 06/04/1996]',-0.091,0.129,-0.086,64.950,16.325,6.025,0.000
'[15:26:28.560 06/04/1996]',-0.091,0.129,-0.086,64.575,16.725,6.150,0.000
'[15:26:28.562 06/04/1996]',-0.091,0.129,-0.086,64.575,16.725,6.150,0.000
'[15:26:28.564 06/04/1996]',-0.091,0.111,-0.086,64.575,16.725,6.150,0.000
'[15:26:28.566 06/04/1996]',-0.091,0.111,-0.086,64.575,16.725,6.150,0.000
'[15:26:28.568 06/04/1996]',-0.082,0.111,-0.086,64.425,17.250,6.263,0.000
'[15:26:28.570 06/04/1996]',-0.082,0.111,-0.086,64.425,17.250,6.263,0.000
'[15:26:28.572 06/04/1996]',-0.072,0.111,-0.086,64.425,17.250,6.263,0.000
'[15:26:28.574 06/04/1996]',-0.082,0.129,-0.086,64.425,17.250,6.263,0.000
