'Time and date','II','aVF','ABP','PAP','CVP','LAP','PLETH','CO2'
'[22:43:33.154 23/02/1996]',0.020,0.063,75.400,16.744,10.175,7.500,-0.262,58.767
'[22:43:33.156 23/02/1996]',0.025,0.067,75.400,16.744,10.175,7.500,-0.262,58.767
'[22:43:33.158 23/02/1996]',0.030,0.071,75.400,16.744,10.175,7.500,-0.262,58.767
'[22:43:33.160 23/02/1996]',0.035,0.074,74.650,17.392,10.062,7.388,-0.276,58.700
'[22:43:33.162 23/02/1996]',0.039,0.077,74.650,17.392,10.062,7.388,-0.276,58.700
'[22:43:33.164 23/02/1996]',0.042,0.080,74.650,17.392,10.062,7.388,-0.276,58.700
'[22:43:33.166 23/02/1996]',0.044,0.082,74.650,17.392,10.062,7.388,-0.276,58.700
'[22:43:33.168 23/02/1996]',0.046,0.084,74.000,18.551,10.000,7.325,-0.285,58.667
'[22:43:33.170 23/02/1996]',0.048,0.085,74.000,18.551,10.000,7.325,-0.285,58.667
'[22:43:33.172 23/02/1996]',0.050,0.086,74.000,18.551,10.000,7.325,-0.285,58.667
'[22:43:33.174 23/02/1996]',0.052,0.088,74.000,18.551,10.000,7.325,-0.285,58.667
'[22:43:33.176 23/02/1996]',0.054,0.090,73.600,19.896,10.062,7.213,-0.304,58.633
'[22:43:33.178 23/02/1996]',0.056,0.092,73.600,19.896,10.062,7.213,-0.304,58.633
'[22:43:33.180 23/02/1996]',0.058,0.094,73.600,19.896,10.062,7.213,-0.304,58.633
'[22:43:33.182 23/02/1996]',0.059,0.096,73.600,19.896,10.062,7.213,-0.304,58.633
'[22:43:33.184 23/02/1996]',0.061,0.098,73.450,20.781,10.238,7.150,-0.314,58.600
'[22:43:33.186 23/02/1996]',0.063,0.099,73.450,20.781,10.238,7.150,-0.314,58.600
'[22:43:33.188 23/02/1996]',0.065,0.101,73.450,20.781,10.238,7.150,-0.314,58.600
'[22:43:33.190 23/02/1996]',0.067,0.103,73.450,20.781,10.238,7.150,-0.314,58.600
'[22:43:33.192 23/02/1996]',0.070,0.105,73.600,21.130,10.412,7.037,-0.328,58.517
'[22:43:33.194 23/02/1996]',0.073,0.107,73.600,21.130,10.412,7.037,-0.328,58.517
'[22:43:33.196 23/02/1996]',0.075,0.108,73.600,21.130,10.412,7.037,-0.328,58.517
'[22:43:33.198 23/02/1996]',0.078,0.110,73.600,21.130,10.412,7.037,-0.328,58.517
'[22:43:33.200 23/02/1996]',0.080,0.112,74.150,21.354,10.537,6.975,-0.342,58.467
'[22:43:33.202 23/02/1996]',0.081,0.114,74.150,21.354,10.537,6.975,-0.342,58.467
'[22:43:33.204 23/02/1996]',0.083,0.116,74.150,21.354,10.537,6.975,-0.342,58.467
'[22:43:33.206 23/02/1996]',0.085,0.118,74.150,21.354,10.537,6.975,-0.342,58.467
'[22:43:33.208 23/02/1996]',0.086,0.119,75.800,21.715,10.588,6.912,-0.355,58.417
'[22:43:33.210 23/02/1996]',0.087,0.121,75.800,21.715,10.588,6.912,-0.355,58.417
'[22:43:33.212 23/02/1996]',0.088,0.123,75.800,21.715,10.588,6.912,-0.355,58.417
'[22:43:33.214 23/02/1996]',0.089,0.125,75.800,21.715,10.588,6.912,-0.355,58.417
'[22:43:33.216 23/02/1996]',0.090,0.127,79.450,22.288,10.588,6.862,-0.360,58.367
'[22:43:33.218 23/02/1996]',0.092,0.128,79.450,22.288,10.588,6.862,-0.360,58.367
'[22:43:33.220 23/02/1996]',0.093,0.130,79.450,22.288,10.588,6.862,-0.360,58.367
'[22:43:33.222 23/02/1996]',0.095,0.132,79.450,22.288,10.588,6.862,-0.360,58.367
'[22:43:33.224 23/02/1996]',0.097,0.134,85.600,22.762,10.537,6.800,-0.365,58.333
'[22:43:33.226 23/02/1996]',0.099,0.136,85.600,22.762,10.537,6.800,-0.365,58.333
'[22:43:33.228 23/02/1996]',0.101,0.138,85.600,22.762,10.537,6.800,-0.365,58.333
'[22:43:33.230 23/02/1996]',0.103,0.139,85.600,22.762,10.537,6.800,-0.365,58.333
'[22:43:33.232 23/02/1996]',0.104,0.139,94.150,22.998,10.412,6.800,-0.365,58.333
'[22:43:33.234 23/02/1996]',0.106,0.139,94.150,22.998,10.412,6.800,-0.365,58.333
'[22:43:33.236 23/02/1996]',0.106,0.138,94.150,22.998,10.412,6.800,-0.365,58.333
'[22:43:33.238 23/02/1996]',0.106,0.137,94.150,22.998,10.412,6.800,-0.365,58.333
'[22:43:33.240 23/02/1996]',0.105,0.135,104.100,22.874,10.300,6.912,-0.351,58.333
'[22:43:33.242 23/02/1996]',0.105,0.132,104.100,22.874,10.300,6.912,-0.351,58.333
'[22:43:33.244 23/02/1996]',0.103,0.129,104.100,22.874,10.300,6.912,-0.351,58.333
'[22:43:33.246 23/02/1996]',0.102,0.125,104.100,22.874,10.300,6.912,-0.351,58.333
'[22:43:33.248 23/02/1996]',0.100,0.121,114.200,22.587,10.175,7.150,-0.323,58.333
'[22:43:33.250 23/02/1996]',0.097,0.118,114.200,22.587,10.175,7.150,-0.323,58.333
'[22:43:33.252 23/02/1996]',0.096,0.114,114.200,22.587,10.175,7.150,-0.323,58.333
'[22:43:33.254 23/02/1996]',0.094,0.109,114.200,22.587,10.175,7.150,-0.323,58.333
'[22:43:33.256 23/02/1996]',0.091,0.105,123.600,22.002,10.125,7.450,-0.276,58.217
'[22:43:33.258 23/02/1996]',0.089,0.102,123.600,22.002,10.125,7.450,-0.276,58.217
'[22:43:33.260 23/02/1996]',0.086,0.099,123.600,22.002,10.125,7.450,-0.276,58.217
'[22:43:33.262 23/02/1996]',0.083,0.095,123.600,22.002,10.125,7.450,-0.276,58.217
'[22:43:33.264 23/02/1996]',0.079,0.091,131.750,21.067,10.175,7.850,-0.220,58.133
'[22:43:33.266 23/02/1996]',0.075,0.088,131.750,21.067,10.175,7.850,-0.220,58.133
'[22:43:33.268 23/02/1996]',0.071,0.083,131.750,21.067,10.175,7.850,-0.220,58.133
'[22:43:33.270 23/02/1996]',0.067,0.077,131.750,21.067,10.175,7.850,-0.220,58.133
'[22:43:33.272 23/02/1996]',0.064,0.070,138.050,19.958,10.412,8.200,-0.150,58.050
'[22:43:33.274 23/02/1996]',0.061,0.064,138.050,19.958,10.412,8.200,-0.150,58.050
'[22:43:33.276 23/02/1996]',0.059,0.058,138.050,19.958,10.412,8.200,-0.150,58.050
'[22:43:33.278 23/02/1996]',0.056,0.051,138.050,19.958,10.412,8.200,-0.150,58.050
'[22:43:33.280 23/02/1996]',0.052,0.046,141.850,19.198,10.762,8.613,-0.061,57.967
'[22:43:33.282 23/02/1996]',0.049,0.042,141.850,19.198,10.762,8.613,-0.061,57.967
'[22:43:33.284 23/02/1996]',0.045,0.038,141.850,19.198,10.762,8.613,-0.061,57.967
'[22:43:33.286 23/02/1996]',0.042,0.034,141.850,19.198,10.762,8.613,-0.061,57.967
'[22:43:33.288 23/02/1996]',0.038,0.030,143.250,19.261,11.238,8.963,0.032,57.950
'[22:43:33.290 23/02/1996]',0.035,0.027,143.250,19.261,11.238,8.963,0.032,57.950
'[22:43:33.292 23/02/1996]',0.033,0.024,143.250,19.261,11.238,8.963,0.032,57.950
'[22:43:33.294 23/02/1996]',0.030,0.021,143.250,19.261,11.238,8.963,0.032,57.950
'[22:43:33.296 23/02/1996]',0.027,0.019,142.650,20.307,11.650,9.325,0.135,57.933
'[22:43:33.298 23/02/1996]',0.024,0.018,142.650,20.307,11.650,9.325,0.135,57.933
'[22:43:33.300 23/02/1996]',0.021,0.017,142.650,20.307,11.650,9.325,0.135,57.933
'[22:43:33.302 23/02/1996]',0.017,0.016,142.650,20.307,11.650,9.325,0.135,57.933
'[22:43:33.304 23/02/1996]',0.015,0.015,140.550,21.765,12.000,9.550,0.224,57.917
'[22:43:33.306 23/02/1996]',0.014,0.015,140.550,21.765,12.000,9.550,0.224,57.917
'[22:43:33.308 23/02/1996]',0.014,0.015,140.550,21.765,12.000,9.550,0.224,57.917
'[22:43:33.310 23/02/1996]',0.014,0.014,140.550,21.765,12.000,9.550,0.224,57.917
'[22:43:33.312 23/02/1996]',0.014,0.014,137.500,22.998,12.350,9.675,0.312,57.900
'[22:43:33.314 23/02/1996]',0.014,0.014,137.500,22.998,12.350,9.675,0.312,57.900
'[22:43:33.316 23/02/1996]',0.014,0.014,137.500,22.998,12.350,9.675,0.312,57.900
'[22:43:33.318 23/02/1996]',0.014,0.014,137.500,22.998,12.350,9.675,0.312,57.900
'[22:43:33.320 23/02/1996]',0.014,0.014,133.800,23.285,12.700,9.675,0.315,57.850
'[22:43:33.322 23/02/1996]',0.014,0.014,133.800,23.285,12.700,9.675,0.315,57.850
'[22:43:33.324 23/02/1996]',0.014,0.014,133.800,23.285,12.700,9.675,0.315,57.850
'[22:43:33.326 23/02/1996]',0.014,0.014,133.800,23.285,12.700,9.675,0.315,57.850
'[22:43:33.328 23/02/1996]',0.013,0.014,129.850,22.413,12.875,9.675,0.373,57.817
'[22:43:33.330 23/02/1996]',0.012,0.014,129.850,22.413,12.875,9.675,0.373,57.817
'[22:43:33.332 23/02/1996]',0.010,0.013,129.850,22.413,12.875,9.675,0.373,57.817
'[22:43:33.334 23/02/1996]',0.008,0.013,129.850,22.413,12.875,9.675,0.373,57.817
'[22:43:33.336 23/02/1996]',0.006,0.012,125.850,20.656,12.988,9.613,0.423,57.783
'[22:43:33.338 23/02/1996]',0.004,0.011,125.850,20.656,12.988,9.613,0.423,57.783
'[22:43:33.340 23/02/1996]',0.003,0.011,125.850,20.656,12.988,9.613,0.423,57.783
'[22:43:33.342 23/02/1996]',0.001,0.011,125.850,20.656,12.988,9.613,0.423,57.783
'[22:43:33.344 23/02/1996]',0.000,0.013,122.150,18.551,12.938,9.550,0.459,57.750
'[22:43:33.346 23/02/1996]',-0.001,0.014,122.150,18.551,12.938,9.550,0.459,57.750
'[22:43:33.348 23/02/1996]',-0.001,0.015,122.150,18.551,12.938,9.550,0.459,57.750
'[22:43:33.350 23/02/1996]',-0.001,0.015,122.150,18.551,12.938,9.550,0.459,57.750
'[22:43:33.352 23/02/1996]',-0.001,0.015,118.650,16.570,12.812,9.500,0.486,57.750
'[22:43:33.354 23/02/1996]',-0.001,0.014,118.650,16.570,12.812,9.500,0.486,57.750
'[22:43:33.356 23/02/1996]',-0.003,0.013,118.650,16.570,12.812,9.500,0.486,57.750
'[22:43:33.358 23/02/1996]',-0.004,0.013,118.650,16.570,12.812,9.500,0.486,57.750
'[22:43:33.360 23/02/1996]',-0.006,0.012,115.100,14.763,12.700,9.438,0.504,57.800
'[22:43:33.362 23/02/1996]',-0.008,0.011,115.100,14.763,12.700,9.438,0.504,57.800
'[22:43:33.364 23/02/1996]',-0.010,0.010,115.100,14.763,12.700,9.438,0.504,57.800
'[22:43:33.366 23/02/1996]',-0.012,0.009,115.100,14.763,12.700,9.438,0.504,57.800
'[22:43:33.368 23/02/1996]',-0.013,0.008,111.550,13.069,12.525,9.438,0.508,57.850
'[22:43:33.370 23/02/1996]',-0.015,0.007,111.550,13.069,12.525,9.438,0.508,57.850
'[22:43:33.372 23/02/1996]',-0.015,0.004,111.550,13.069,12.525,9.438,0.508,57.850
'[22:43:33.374 23/02/1996]',-0.015,0.002,111.550,13.069,12.525,9.438,0.508,57.850
'[22:43:33.376 23/02/1996]',-0.015,0.001,107.700,11.611,12.350,9.375,0.513,57.900
'[22:43:33.378 23/02/1996]',-0.016,0.000,107.700,11.611,12.350,9.375,0.513,57.900
'[22:43:33.380 23/02/1996]',-0.017,-0.001,107.700,11.611,12.350,9.375,0.513,57.900
'[22:43:33.382 23/02/1996]',-0.018,-0.002,107.700,11.611,12.350,9.375,0.513,57.900
'[22:43:33.384 23/02/1996]',-0.019,-0.003,103.650,10.851,12.113,9.262,0.504,57.933
'[22:43:33.386 23/02/1996]',-0.020,-0.004,103.650,10.851,12.113,9.262,0.504,57.933
'[22:43:33.388 23/02/1996]',-0.021,-0.006,103.650,10.851,12.113,9.262,0.504,57.933
'[22:43:33.390 23/02/1996]',-0.023,-0.008,103.650,10.851,12.113,9.262,0.504,57.933
'[22:43:33.392 23/02/1996]',-0.024,-0.010,99.550,11.549,11.875,9.088,0.486,58.000
'[22:43:33.394 23/02/1996]',-0.025,-0.012,99.550,11.549,11.875,9.088,0.486,58.000
'[22:43:33.396 23/02/1996]',-0.026,-0.014,99.550,11.549,11.875,9.088,0.486,58.000
'[22:43:33.398 23/02/1996]',-0.028,-0.016,99.550,11.549,11.875,9.088,0.486,58.000
'[22:43:33.400 23/02/1996]',-0.029,-0.017,95.900,14.589,11.650,8.738,0.464,58.067
'[22:43:33.402 23/02/1996]',-0.029,-0.018,95.900,14.589,11.650,8.738,0.464,58.067
'[22:43:33.404 23/02/1996]',-0.029,-0.018,95.900,14.589,11.650,8.738,0.464,58.067
'[22:43:33.406 23/02/1996]',-0.030,-0.018,95.900,14.589,11.650,8.738,0.464,58.067
'[22:43:33.408 23/02/1996]',-0.029,-0.016,92.900,19.547,11.350,8.262,0.436,58.133
'[22:43:33.410 23/02/1996]',-0.028,-0.014,92.900,19.547,11.350,8.262,0.436,58.133
'[22:43:33.412 23/02/1996]',-0.025,-0.010,92.900,19.547,11.350,8.262,0.436,58.133
'[22:43:33.414 23/02/1996]',-0.021,-0.006,92.900,19.547,11.350,8.262,0.436,58.133
'[22:43:33.416 23/02/1996]',-0.015,-0.003,90.800,24.394,11.113,7.737,0.401,58.050
'[22:43:33.418 23/02/1996]',-0.009,0.001,90.800,24.394,11.113,7.737,0.401,58.050
'[22:43:33.420 23/02/1996]',-0.004,0.004,90.800,24.394,11.113,7.737,0.401,58.050
'[22:43:33.422 23/02/1996]',0.002,0.008,90.800,24.394,11.113,7.737,0.401,58.050
'[22:43:33.424 23/02/1996]',0.007,0.011,89.400,26.736,10.762,7.150,0.364,57.983
'[22:43:33.426 23/02/1996]',0.012,0.013,89.400,26.736,10.762,7.150,0.364,57.983
'[22:43:33.428 23/02/1996]',0.017,0.017,89.400,26.736,10.762,7.150,0.364,57.983
'[22:43:33.430 23/02/1996]',0.021,0.020,89.400,26.736,10.762,7.150,0.364,57.983
'[22:43:33.432 23/02/1996]',0.026,0.025,88.700,25.278,10.475,6.737,0.315,57.917
'[22:43:33.434 23/02/1996]',0.032,0.029,88.700,25.278,10.475,6.737,0.315,57.917
'[22:43:33.436 23/02/1996]',0.039,0.035,88.700,25.278,10.475,6.737,0.315,57.917
'[22:43:33.438 23/02/1996]',0.046,0.042,88.700,25.278,10.475,6.737,0.315,57.917
'[22:43:33.440 23/02/1996]',0.053,0.048,88.500,20.831,10.125,6.388,0.270,57.850
'[22:43:33.442 23/02/1996]',0.061,0.053,88.500,20.831,10.125,6.388,0.270,57.850
'[22:43:33.444 23/02/1996]',0.067,0.056,88.500,20.831,10.125,6.388,0.270,57.850
'[22:43:33.446 23/02/1996]',0.072,0.059,88.500,20.831,10.125,6.388,0.270,57.850
'[22:43:33.448 23/02/1996]',0.076,0.060,88.700,15.573,9.825,6.150,0.221,57.800
'[22:43:33.450 23/02/1996]',0.080,0.061,88.700,15.573,9.825,6.150,0.221,57.800
'[22:43:33.452 23/02/1996]',0.082,0.059,88.700,15.573,9.825,6.150,0.221,57.800
'[22:43:33.454 23/02/1996]',0.083,0.057,88.700,15.573,9.825,6.150,0.221,57.800
'[22:43:33.456 23/02/1996]',0.079,0.053,89.100,11.661,9.475,6.100,0.175,57.767
'[22:43:33.458 23/02/1996]',0.075,0.049,89.100,11.661,9.475,6.100,0.175,57.767
'[22:43:33.460 23/02/1996]',0.066,0.043,89.100,11.661,9.475,6.100,0.175,57.767
'[22:43:33.462 23/02/1996]',0.057,0.037,89.100,11.661,9.475,6.100,0.175,57.767
'[22:43:33.464 23/02/1996]',0.046,0.029,89.700,10.141,9.125,6.213,0.135,57.733
'[22:43:33.466 23/02/1996]',0.036,0.022,89.700,10.141,9.125,6.213,0.135,57.733
'[22:43:33.468 23/02/1996]',0.024,0.014,89.700,10.141,9.125,6.213,0.135,57.733
'[22:43:33.470 23/02/1996]',0.012,0.006,89.700,10.141,9.125,6.213,0.135,57.733
'[22:43:33.472 23/02/1996]',0.001,-0.001,90.350,10.789,8.838,6.562,0.090,57.700
'[22:43:33.474 23/02/1996]',-0.011,-0.008,90.350,10.789,8.838,6.562,0.090,57.700
'[22:43:33.476 23/02/1996]',-0.020,-0.013,90.350,10.789,8.838,6.562,0.090,57.700
'[22:43:33.478 23/02/1996]',-0.029,-0.019,90.350,10.789,8.838,6.562,0.090,57.700
'[22:43:33.480 23/02/1996]',-0.035,-0.023,90.900,12.895,8.537,7.150,0.059,57.533
'[22:43:33.482 23/02/1996]',-0.041,-0.027,90.900,12.895,8.537,7.150,0.059,57.533
'[22:43:33.484 23/02/1996]',-0.045,-0.032,90.900,12.895,8.537,7.150,0.059,57.533
'[22:43:33.486 23/02/1996]',-0.050,-0.036,90.900,12.895,8.537,7.150,0.059,57.533
'[22:43:33.488 23/02/1996]',-0.056,-0.041,91.350,15.287,8.363,7.850,0.027,57.417
'[22:43:33.490 23/02/1996]',-0.061,-0.046,91.350,15.287,8.363,7.850,0.027,57.417
'[22:43:33.492 23/02/1996]',-0.067,-0.050,91.350,15.287,8.363,7.850,0.027,57.417
'[22:43:33.494 23/02/1996]',-0.072,-0.053,91.350,15.287,8.363,7.850,0.027,57.417
'[22:43:33.496 23/02/1996]',-0.077,-0.057,91.600,17.267,8.188,8.675,0.004,57.300
'[22:43:33.498 23/02/1996]',-0.082,-0.060,91.600,17.267,8.188,8.675,0.004,57.300
'[22:43:33.500 23/02/1996]',-0.086,-0.062,91.600,17.267,8.188,8.675,0.004,57.300
'[22:43:33.502 23/02/1996]',-0.089,-0.064,91.600,17.267,8.188,8.675,0.004,57.300
'[22:43:33.504 23/02/1996]',-0.090,-0.065,91.700,18.501,8.125,9.438,-0.027,57.183
'[22:43:33.506 23/02/1996]',-0.092,-0.066,91.700,18.501,8.125,9.438,-0.027,57.183
'[22:43:33.508 23/02/1996]',-0.092,-0.066,91.700,18.501,8.125,9.438,-0.027,57.183
'[22:43:33.510 23/02/1996]',-0.092,-0.065,91.700,18.501,8.125,9.438,-0.027,57.183
'[22:43:33.512 23/02/1996]',-0.092,-0.064,91.550,18.912,8.125,10.200,-0.050,57.283
'[22:43:33.514 23/02/1996]',-0.093,-0.063,91.550,18.912,8.125,10.200,-0.050,57.283
'[22:43:33.516 23/02/1996]',-0.094,-0.063,91.550,18.912,8.125,10.200,-0.050,57.283
'[22:43:33.518 23/02/1996]',-0.095,-0.063,91.550,18.912,8.125,10.200,-0.050,57.283
'[22:43:33.520 23/02/1996]',-0.096,-0.065,91.250,18.613,8.300,10.725,-0.072,57.433
'[22:43:33.522 23/02/1996]',-0.097,-0.066,91.250,18.613,8.300,10.725,-0.072,57.433
'[22:43:33.524 23/02/1996]',-0.098,-0.067,91.250,18.613,8.300,10.725,-0.072,57.433
'[22:43:33.526 23/02/1996]',-0.099,-0.068,91.250,18.613,8.300,10.725,-0.072,57.433
'[22:43:33.528 23/02/1996]',-0.100,-0.069,90.750,17.616,8.537,11.200,-0.099,57.583
'[22:43:33.530 23/02/1996]',-0.100,-0.069,90.750,17.616,8.537,11.200,-0.099,57.583
'[22:43:33.532 23/02/1996]',-0.101,-0.070,90.750,17.616,8.537,11.200,-0.099,57.583
'[22:43:33.534 23/02/1996]',-0.102,-0.070,90.750,17.616,8.537,11.200,-0.099,57.583
'[22:43:33.536 23/02/1996]',-0.102,-0.070,90.100,15.810,8.950,11.425,-0.121,57.733
'[22:43:33.538 23/02/1996]',-0.102,-0.070,90.100,15.810,8.950,11.425,-0.121,57.733
