'Time and date','II ','MCL1 ','V ','ABP ','PLETH ','RESP '
'[13:14:12.266 19/05/1995]',-0.013,0.001,0.001,72.871,-0.017,-0.179
'[13:14:12.268 19/05/1995]',-0.013,0.001,0.001,72.871,-0.017,-0.179
'[13:14:12.270 19/05/1995]',-0.013,0.001,0.001,72.871,-0.017,-0.179
'[13:14:12.272 19/05/1995]',-0.013,0.001,0.001,72.421,-0.024,-0.187
'[13:14:12.274 19/05/1995]',-0.013,0.001,0.001,72.421,-0.024,-0.187
'[13:14:12.276 19/05/1995]',-0.013,0.001,0.001,72.421,-0.024,-0.187
'[13:14:12.278 19/05/1995]',0.001,0.001,0.001,72.421,-0.024,-0.187
'[13:14:12.280 19/05/1995]',0.001,0.001,0.001,72.170,-0.030,-0.195
'[13:14:12.282 19/05/1995]',-0.013,-0.008,-0.009,72.170,-0.030,-0.195
'[13:14:12.284 19/05/1995]',-0.013,-0.008,-0.009,72.170,-0.030,-0.195
'[13:14:12.286 19/05/1995]',-0.027,-0.016,-0.019,72.170,-0.030,-0.195
'[13:14:12.288 19/05/1995]',-0.013,-0.025,-0.019,71.920,-0.037,-0.202
'[13:14:12.290 19/05/1995]',-0.013,-0.034,-0.019,71.920,-0.037,-0.202
'[13:14:12.292 19/05/1995]',-0.013,-0.016,0.001,71.920,-0.037,-0.202
'[13:14:12.294 19/05/1995]',-0.013,-0.016,0.001,71.920,-0.037,-0.202
'[13:14:12.296 19/05/1995]',-0.013,-0.016,0.001,71.870,-0.040,-0.205
'[13:14:12.298 19/05/1995]',-0.041,-0.025,-0.009,71.870,-0.040,-0.205
'[13:14:12.300 19/05/1995]',-0.027,-0.025,0.001,71.870,-0.040,-0.205
'[13:14:12.302 19/05/1995]',0.001,-0.025,0.001,71.870,-0.040,-0.205
'[13:14:12.304 19/05/1995]',-0.013,-0.034,0.001,71.970,-0.046,-0.207
'[13:14:12.306 19/05/1995]',0.001,-0.025,0.010,71.970,-0.046,-0.207
'[13:14:12.308 19/05/1995]',-0.013,-0.042,0.001,71.970,-0.046,-0.207
'[13:14:12.310 19/05/1995]',-0.041,-0.059,0.001,71.970,-0.046,-0.207
'[13:14:12.312 19/05/1995]',-0.084,-0.094,-0.029,71.970,-0.051,-0.207
'[13:14:12.314 19/05/1995]',-0.112,-0.128,-0.059,71.970,-0.051,-0.207
'[13:14:12.316 19/05/1995]',-0.141,-0.154,-0.079,71.970,-0.051,-0.207
'[13:14:12.318 19/05/1995]',-0.169,-0.222,-0.109,71.970,-0.051,-0.207
'[13:14:12.320 19/05/1995]',-0.197,-0.274,-0.139,71.820,-0.060,-0.205
'[13:14:12.322 19/05/1995]',-0.225,-0.325,-0.179,71.820,-0.060,-0.205
'[13:14:12.324 19/05/1995]',-0.253,-0.351,-0.199,71.820,-0.060,-0.205
'[13:14:12.326 19/05/1995]',-0.282,-0.360,-0.209,71.820,-0.060,-0.205
'[13:14:12.328 19/05/1995]',-0.296,-0.376,-0.209,71.219,-0.070,-0.203
'[13:14:12.330 19/05/1995]',-0.338,-0.376,-0.219,71.219,-0.070,-0.203
'[13:14:12.332 19/05/1995]',-0.381,-0.394,-0.229,71.219,-0.070,-0.203
'[13:14:12.334 19/05/1995]',-0.423,-0.419,-0.249,71.219,-0.070,-0.203
'[13:14:12.336 19/05/1995]',-0.437,-0.462,-0.269,70.467,-0.084,-0.199
'[13:14:12.338 19/05/1995]',-0.466,-0.496,-0.279,70.467,-0.084,-0.199
'[13:14:12.340 19/05/1995]',-0.494,-0.531,-0.308,70.467,-0.084,-0.199
'[13:14:12.342 19/05/1995]',-0.522,-0.591,-0.348,70.467,-0.084,-0.199
'[13:14:12.344 19/05/1995]',-0.536,-0.642,-0.389,69.616,-0.101,-0.194
'[13:14:12.346 19/05/1995]',-0.551,-0.685,-0.419,69.616,-0.101,-0.194
'[13:14:12.348 19/05/1995]',-0.536,-0.711,-0.428,69.616,-0.101,-0.194
'[13:14:12.350 19/05/1995]',-0.536,-0.728,-0.438,69.616,-0.101,-0.194
'[13:14:12.352 19/05/1995]',-0.522,-0.745,-0.438,69.015,-0.117,-0.188
'[13:14:12.354 19/05/1995]',-0.522,-0.753,-0.448,69.015,-0.117,-0.188
'[13:14:12.356 19/05/1995]',-0.536,-0.753,-0.458,69.015,-0.117,-0.188
'[13:14:12.358 19/05/1995]',-0.522,-0.745,-0.448,69.015,-0.117,-0.188
'[13:14:12.360 19/05/1995]',-0.508,-0.711,-0.428,68.664,-0.136,-0.182
'[13:14:12.362 19/05/1995]',-0.508,-0.676,-0.389,68.664,-0.136,-0.182
'[13:14:12.364 19/05/1995]',-0.494,-0.651,-0.369,68.664,-0.136,-0.182
'[13:14:12.366 19/05/1995]',-0.494,-0.633,-0.348,68.664,-0.136,-0.182
'[13:14:12.368 19/05/1995]',-0.466,-0.599,-0.328,68.314,-0.152,-0.175
'[13:14:12.370 19/05/1995]',-0.466,-0.574,-0.308,68.314,-0.152,-0.175
'[13:14:12.372 19/05/1995]',-0.466,-0.548,-0.298,68.314,-0.152,-0.175
'[13:14:12.374 19/05/1995]',-0.451,-0.531,-0.269,68.314,-0.152,-0.175
'[13:14:12.376 19/05/1995]',-0.451,-0.513,-0.259,67.863,-0.173,-0.169
'[13:14:12.378 19/05/1995]',-0.437,-0.496,-0.249,67.863,-0.173,-0.169
'[13:14:12.380 19/05/1995]',-0.451,-0.462,-0.219,67.863,-0.173,-0.169
'[13:14:12.382 19/05/1995]',-0.466,-0.428,-0.199,67.863,-0.173,-0.169
'[13:14:12.384 19/05/1995]',-0.466,-0.394,-0.179,67.112,-0.184,-0.161
'[13:14:12.386 19/05/1995]',-0.451,-0.368,-0.169,67.112,-0.184,-0.161
'[13:14:12.388 19/05/1995]',-0.437,-0.334,-0.159,67.112,-0.184,-0.161
'[13:14:12.390 19/05/1995]',-0.423,-0.299,-0.129,67.112,-0.184,-0.161
'[13:14:12.392 19/05/1995]',-0.395,-0.291,-0.109,66.260,-0.201,-0.152
'[13:14:12.394 19/05/1995]',-0.367,-0.274,-0.089,66.260,-0.201,-0.152
'[13:14:12.396 19/05/1995]',-0.367,-0.256,-0.089,66.260,-0.201,-0.152
'[13:14:12.398 19/05/1995]',-0.367,-0.240,-0.089,66.260,-0.201,-0.152
'[13:14:12.400 19/05/1995]',-0.338,-0.222,-0.079,65.459,-0.210,-0.143
'[13:14:12.402 19/05/1995]',-0.324,-0.197,-0.079,65.459,-0.210,-0.143
'[13:14:12.404 19/05/1995]',-0.282,-0.162,-0.069,65.459,-0.210,-0.143
'[13:14:12.406 19/05/1995]',-0.225,-0.136,-0.059,65.459,-0.210,-0.143
'[13:14:12.408 19/05/1995]',-0.197,-0.102,-0.039,64.758,-0.217,-0.133
'[13:14:12.410 19/05/1995]',-0.155,-0.077,-0.019,64.758,-0.217,-0.133
'[13:14:12.412 19/05/1995]',-0.126,-0.042,0.001,64.758,-0.217,-0.133
'[13:14:12.414 19/05/1995]',-0.084,-0.008,0.001,64.758,-0.217,-0.133
'[13:14:12.416 19/05/1995]',-0.070,-0.008,0.001,64.357,-0.225,-0.121
'[13:14:12.418 19/05/1995]',-0.070,0.001,0.001,64.357,-0.225,-0.121
'[13:14:12.420 19/05/1995]',-0.041,0.026,0.020,64.357,-0.225,-0.121
'[13:14:12.422 19/05/1995]',-0.027,0.052,0.030,64.357,-0.225,-0.121
'[13:14:12.424 19/05/1995]',0.001,0.069,0.040,64.007,-0.234,-0.109
'[13:14:12.426 19/05/1995]',0.015,0.078,0.051,64.007,-0.234,-0.109
'[13:14:12.428 19/05/1995]',0.001,0.069,0.040,64.007,-0.234,-0.109
'[13:14:12.430 19/05/1995]',0.001,0.069,0.030,64.007,-0.234,-0.109
'[13:14:12.432 19/05/1995]',0.015,0.078,0.040,63.706,-0.245,-0.095
'[13:14:12.434 19/05/1995]',0.015,0.104,0.040,63.706,-0.245,-0.095
'[13:14:12.436 19/05/1995]',0.029,0.129,0.051,63.706,-0.245,-0.095
'[13:14:12.438 19/05/1995]',0.072,0.138,0.061,63.706,-0.245,-0.095
'[13:14:12.440 19/05/1995]',0.086,0.155,0.071,63.205,-0.257,-0.080
'[13:14:12.442 19/05/1995]',0.114,0.181,0.081,63.205,-0.257,-0.080
'[13:14:12.444 19/05/1995]',0.114,0.189,0.081,63.205,-0.257,-0.080
'[13:14:12.446 19/05/1995]',0.128,0.189,0.071,63.205,-0.257,-0.080
'[13:14:12.448 19/05/1995]',0.142,0.198,0.081,62.654,-0.276,-0.064
'[13:14:12.450 19/05/1995]',0.171,0.215,0.091,62.654,-0.276,-0.064
'[13:14:12.452 19/05/1995]',0.185,0.232,0.091,62.654,-0.276,-0.064
'[13:14:12.454 19/05/1995]',0.213,0.232,0.091,62.654,-0.276,-0.064
'[13:14:12.456 19/05/1995]',0.227,0.232,0.101,62.103,-0.294,-0.048
'[13:14:12.458 19/05/1995]',0.227,0.241,0.111,62.103,-0.294,-0.048
'[13:14:12.460 19/05/1995]',0.255,0.241,0.121,62.103,-0.294,-0.048
'[13:14:12.462 19/05/1995]',0.255,0.241,0.111,62.103,-0.294,-0.048
'[13:14:12.464 19/05/1995]',0.241,0.241,0.111,61.803,-0.316,-0.032
'[13:14:12.466 19/05/1995]',0.227,0.249,0.111,61.803,-0.316,-0.032
'[13:14:12.468 19/05/1995]',0.255,0.241,0.111,61.803,-0.316,-0.032
'[13:14:12.470 19/05/1995]',0.255,0.232,0.101,61.803,-0.316,-0.032
'[13:14:12.472 19/05/1995]',0.270,0.241,0.101,61.803,-0.341,-0.015
'[13:14:12.474 19/05/1995]',0.255,0.224,0.081,61.803,-0.341,-0.015
'[13:14:12.476 19/05/1995]',0.255,0.206,0.081,61.803,-0.341,-0.015
'[13:14:12.478 19/05/1995]',0.255,0.206,0.081,61.803,-0.341,-0.015
'[13:14:12.480 19/05/1995]',0.255,0.224,0.081,62.003,-0.369,0.001
'[13:14:12.482 19/05/1995]',0.270,0.232,0.091,62.003,-0.369,0.001
'[13:14:12.484 19/05/1995]',0.270,0.241,0.101,62.003,-0.369,0.001
'[13:14:12.486 19/05/1995]',0.284,0.241,0.101,62.003,-0.369,0.001
'[13:14:12.488 19/05/1995]',0.270,0.249,0.111,62.304,-0.397,0.017
'[13:14:12.490 19/05/1995]',0.255,0.249,0.111,62.304,-0.397,0.017
'[13:14:12.492 19/05/1995]',0.255,0.258,0.121,62.304,-0.397,0.017
'[13:14:12.494 19/05/1995]',0.255,0.266,0.131,62.304,-0.397,0.017
'[13:14:12.496 19/05/1995]',0.255,0.266,0.131,62.604,-0.425,0.032
'[13:14:12.498 19/05/1995]',0.284,0.266,0.131,62.604,-0.425,0.032
'[13:14:12.500 19/05/1995]',0.298,0.266,0.131,62.604,-0.425,0.032
'[13:14:12.502 19/05/1995]',0.298,0.258,0.131,62.604,-0.425,0.032
'[13:14:12.504 19/05/1995]',0.284,0.241,0.101,62.805,-0.451,0.046
'[13:14:12.506 19/05/1995]',0.270,0.249,0.101,62.805,-0.451,0.046
'[13:14:12.508 19/05/1995]',0.284,0.258,0.111,62.805,-0.451,0.046
'[13:14:12.510 19/05/1995]',0.284,0.241,0.101,62.805,-0.451,0.046
'[13:14:12.512 19/05/1995]',0.284,0.232,0.091,63.055,-0.476,0.059
'[13:14:12.514 19/05/1995]',0.284,0.249,0.101,63.055,-0.476,0.059
'[13:14:12.516 19/05/1995]',0.284,0.249,0.111,63.055,-0.476,0.059
'[13:14:12.518 19/05/1995]',0.284,0.258,0.111,63.055,-0.476,0.059
'[13:14:12.520 19/05/1995]',0.284,0.258,0.111,63.155,-0.497,0.070
'[13:14:12.522 19/05/1995]',0.284,0.258,0.121,63.155,-0.497,0.070
'[13:14:12.524 19/05/1995]',0.284,0.258,0.131,63.155,-0.497,0.070
'[13:14:12.526 19/05/1995]',0.312,0.266,0.131,63.155,-0.497,0.070
'[13:14:12.528 19/05/1995]',0.298,0.258,0.131,63.355,-0.514,0.081
'[13:14:12.530 19/05/1995]',0.298,0.258,0.121,63.355,-0.514,0.081
'[13:14:12.532 19/05/1995]',0.298,0.258,0.121,63.355,-0.514,0.081
'[13:14:12.534 19/05/1995]',0.298,0.258,0.121,63.355,-0.514,0.081
'[13:14:12.536 19/05/1995]',0.298,0.258,0.121,63.706,-0.532,0.090
'[13:14:12.538 19/05/1995]',0.298,0.249,0.111,63.706,-0.532,0.090
'[13:14:12.540 19/05/1995]',0.284,0.232,0.101,63.706,-0.532,0.090
'[13:14:12.542 19/05/1995]',0.298,0.241,0.091,63.706,-0.532,0.090
'[13:14:12.544 19/05/1995]',0.326,0.232,0.111,64.407,-0.542,0.098
'[13:14:12.546 19/05/1995]',0.312,0.249,0.111,64.407,-0.542,0.098
'[13:14:12.548 19/05/1995]',0.298,0.249,0.111,64.407,-0.542,0.098
'[13:14:12.550 19/05/1995]',0.298,0.232,0.091,64.407,-0.542,0.098
'[13:14:12.552 19/05/1995]',0.284,0.198,0.091,65.609,-0.551,0.105
'[13:14:12.554 19/05/1995]',0.298,0.215,0.101,65.609,-0.551,0.105
'[13:14:12.556 19/05/1995]',0.298,0.215,0.101,65.609,-0.551,0.105
'[13:14:12.558 19/05/1995]',0.298,0.232,0.111,65.609,-0.551,0.105
'[13:14:12.560 19/05/1995]',0.298,0.232,0.111,67.512,-0.553,0.112
'[13:14:12.562 19/05/1995]',0.284,0.232,0.101,67.512,-0.553,0.112
'[13:14:12.564 19/05/1995]',0.284,0.232,0.101,67.512,-0.553,0.112
'[13:14:12.566 19/05/1995]',0.298,0.224,0.111,67.512,-0.553,0.112
'[13:14:12.568 19/05/1995]',0.284,0.224,0.101,70.117,-0.553,0.117
'[13:14:12.570 19/05/1995]',0.284,0.198,0.091,70.117,-0.553,0.117
'[13:14:12.572 19/05/1995]',0.284,0.198,0.091,70.117,-0.553,0.117
'[13:14:12.574 19/05/1995]',0.270,0.198,0.081,70.117,-0.553,0.117
'[13:14:12.576 19/05/1995]',0.284,0.189,0.091,73.272,-0.546,0.122
'[13:14:12.578 19/05/1995]',0.298,0.172,0.091,73.272,-0.546,0.122
'[13:14:12.580 19/05/1995]',0.270,0.155,0.071,73.272,-0.546,0.122
'[13:14:12.582 19/05/1995]',0.255,0.146,0.071,73.272,-0.546,0.122
'[13:14:12.584 19/05/1995]',0.241,0.155,0.061,77.028,-0.532,0.127
'[13:14:12.586 19/05/1995]',0.241,0.155,0.071,77.028,-0.532,0.127
'[13:14:12.588 19/05/1995]',0.241,0.146,0.061,77.028,-0.532,0.127
'[13:14:12.590 19/05/1995]',0.241,0.155,0.071,77.028,-0.532,0.127
'[13:14:12.592 19/05/1995]',0.241,0.163,0.081,81.185,-0.516,0.131
'[13:14:12.594 19/05/1995]',0.241,0.155,0.061,81.185,-0.516,0.131
'[13:14:12.596 19/05/1995]',0.241,0.146,0.061,81.185,-0.516,0.131
'[13:14:12.598 19/05/1995]',0.241,0.129,0.061,81.185,-0.516,0.131
'[13:14:12.600 19/05/1995]',0.241,0.129,0.061,85.643,-0.490,0.134
'[13:14:12.602 19/05/1995]',0.213,0.121,0.051,85.643,-0.490,0.134
'[13:14:12.604 19/05/1995]',0.199,0.129,0.051,85.643,-0.490,0.134
'[13:14:12.606 19/05/1995]',0.213,0.121,0.061,85.643,-0.490,0.134
'[13:14:12.608 19/05/1995]',0.213,0.121,0.061,90.000,-0.456,0.138
'[13:14:12.610 19/05/1995]',0.213,0.104,0.040,90.000,-0.456,0.138
'[13:14:12.612 19/05/1995]',0.199,0.112,0.040,90.000,-0.456,0.138
'[13:14:12.614 19/05/1995]',0.185,0.112,0.040,90.000,-0.456,0.138
'[13:14:12.616 19/05/1995]',0.185,0.112,0.051,93.956,-0.416,0.141
'[13:14:12.618 19/05/1995]',0.199,0.104,0.061,93.956,-0.416,0.141
'[13:14:12.620 19/05/1995]',0.185,0.095,0.040,93.956,-0.416,0.141
