'Time and date','V','II','ABP','PAP','ART','PLETH','RESP'
'[13:02:53.066 23/06/1995]',0.088,-0.185,88.050,38.125,84.100,0.000,-0.509
'[13:02:53.068 23/06/1995]',0.088,-0.174,88.050,38.125,84.100,0.000,-0.509
'[13:02:53.070 23/06/1995]',0.100,-0.174,88.050,38.125,84.100,0.000,-0.509
'[13:02:53.072 23/06/1995]',0.088,-0.174,86.450,38.725,82.950,0.000,-0.509
'[13:02:53.074 23/06/1995]',0.088,-0.164,86.450,38.725,82.950,0.000,-0.509
'[13:02:53.076 23/06/1995]',0.088,-0.174,86.450,38.725,82.950,0.000,-0.509
'[13:02:53.078 23/06/1995]',0.077,-0.185,86.450,38.725,82.950,0.000,-0.509
'[13:02:53.080 23/06/1995]',0.077,-0.185,84.750,39.425,81.900,0.000,-0.509
'[13:02:53.082 23/06/1995]',0.077,-0.174,84.750,39.425,81.900,0.000,-0.509
'[13:02:53.084 23/06/1995]',0.077,-0.164,84.750,39.425,81.900,0.000,-0.509
'[13:02:53.086 23/06/1995]',0.077,-0.164,84.750,39.425,81.900,0.000,-0.509
'[13:02:53.088 23/06/1995]',0.077,-0.153,83.250,40.000,81.000,0.000,-0.509
'[13:02:53.090 23/06/1995]',0.088,-0.153,83.250,40.000,81.000,0.000,-0.509
'[13:02:53.092 23/06/1995]',0.077,-0.153,83.250,40.000,81.000,0.000,-0.509
'[13:02:53.094 23/06/1995]',0.077,-0.164,83.250,40.000,81.000,0.000,-0.509
'[13:02:53.096 23/06/1995]',0.067,-0.164,81.850,40.525,80.400,0.000,-0.508
'[13:02:53.098 23/06/1995]',0.056,-0.164,81.850,40.525,80.400,0.000,-0.508
'[13:02:53.100 23/06/1995]',0.056,-0.142,81.850,40.525,80.400,0.000,-0.508
'[13:02:53.102 23/06/1995]',0.067,-0.131,81.850,40.525,80.400,0.000,-0.508
'[13:02:53.104 23/06/1995]',0.067,-0.120,80.550,40.825,80.050,0.000,-0.508
'[13:02:53.106 23/06/1995]',0.067,-0.120,80.550,40.825,80.050,0.000,-0.508
'[13:02:53.108 23/06/1995]',0.056,-0.109,80.550,40.825,80.050,0.000,-0.508
'[13:02:53.110 23/06/1995]',0.056,-0.109,80.550,40.825,80.050,0.000,-0.508
'[13:02:53.112 23/06/1995]',0.056,-0.109,79.350,40.950,79.950,0.000,-0.508
'[13:02:53.114 23/06/1995]',0.056,-0.109,79.350,40.950,79.950,0.000,-0.508
'[13:02:53.116 23/06/1995]',0.056,-0.098,79.350,40.950,79.950,0.000,-0.508
'[13:02:53.118 23/06/1995]',0.056,-0.098,79.350,40.950,79.950,0.000,-0.508
'[13:02:53.120 23/06/1995]',0.056,-0.087,78.350,40.875,80.150,0.000,-0.508
'[13:02:53.122 23/06/1995]',0.056,-0.076,78.350,40.875,80.150,0.000,-0.508
'[13:02:53.124 23/06/1995]',0.044,-0.076,78.350,40.875,80.150,0.000,-0.508
'[13:02:53.126 23/06/1995]',0.044,-0.076,78.350,40.875,80.150,0.000,-0.508
'[13:02:53.128 23/06/1995]',0.044,-0.065,77.750,40.525,80.700,0.000,-0.508
'[13:02:53.130 23/06/1995]',0.034,-0.065,77.750,40.525,80.700,0.000,-0.508
'[13:02:53.132 23/06/1995]',0.044,-0.065,77.750,40.525,80.700,0.000,-0.508
'[13:02:53.134 23/06/1995]',0.034,-0.043,77.750,40.525,80.700,0.000,-0.508
'[13:02:53.136 23/06/1995]',0.034,-0.043,77.500,40.075,81.650,0.000,-0.508
'[13:02:53.138 23/06/1995]',0.034,-0.043,77.500,40.075,81.650,0.000,-0.508
'[13:02:53.140 23/06/1995]',0.022,-0.032,77.500,40.075,81.650,0.000,-0.508
'[13:02:53.142 23/06/1995]',0.022,-0.032,77.500,40.075,81.650,0.000,-0.508
'[13:02:53.144 23/06/1995]',0.022,-0.021,77.750,39.475,83.050,0.000,-0.508
'[13:02:53.146 23/06/1995]',0.011,-0.032,77.750,39.475,83.050,0.000,-0.508
'[13:02:53.148 23/06/1995]',0.011,-0.032,77.750,39.475,83.050,0.000,-0.508
'[13:02:53.150 23/06/1995]',0.011,-0.032,77.750,39.475,83.050,0.000,-0.508
'[13:02:53.152 23/06/1995]',0.011,-0.010,78.450,38.950,84.900,0.000,-0.509
'[13:02:53.154 23/06/1995]',0.011,0.001,78.450,38.950,84.900,0.000,-0.509
'[13:02:53.156 23/06/1995]',0.001,0.001,78.450,38.950,84.900,0.000,-0.509
'[13:02:53.158 23/06/1995]',0.001,0.001,78.450,38.950,84.900,0.000,-0.509
'[13:02:53.160 23/06/1995]',0.001,0.001,79.500,38.425,87.100,0.000,-0.509
'[13:02:53.162 23/06/1995]',0.001,0.001,79.500,38.425,87.100,0.000,-0.509
'[13:02:53.164 23/06/1995]',0.001,0.001,79.500,38.425,87.100,0.000,-0.509
'[13:02:53.166 23/06/1995]',0.001,0.001,79.500,38.425,87.100,0.000,-0.509
'[13:02:53.168 23/06/1995]',0.001,0.001,80.950,38.025,89.750,0.000,-0.510
'[13:02:53.170 23/06/1995]',0.001,0.011,80.950,38.025,89.750,0.000,-0.510
'[13:02:53.172 23/06/1995]',0.001,0.011,80.950,38.025,89.750,0.000,-0.510
'[13:02:53.174 23/06/1995]',0.001,0.022,80.950,38.025,89.750,0.000,-0.510
'[13:02:53.176 23/06/1995]',0.001,0.022,82.750,37.725,92.750,0.000,-0.510
'[13:02:53.178 23/06/1995]',-0.010,0.022,82.750,37.725,92.750,0.000,-0.510
'[13:02:53.180 23/06/1995]',-0.021,0.022,82.750,37.725,92.750,0.000,-0.510
'[13:02:53.182 23/06/1995]',-0.021,0.034,82.750,37.725,92.750,0.000,-0.510
'[13:02:53.184 23/06/1995]',-0.010,0.034,84.750,37.500,96.050,0.000,-0.511
'[13:02:53.186 23/06/1995]',-0.010,0.034,84.750,37.500,96.050,0.000,-0.511
'[13:02:53.188 23/06/1995]',-0.010,0.034,84.750,37.500,96.050,0.000,-0.511
'[13:02:53.190 23/06/1995]',0.001,0.044,84.750,37.500,96.050,0.000,-0.511
'[13:02:53.192 23/06/1995]',-0.021,0.044,86.700,37.375,99.600,0.000,-0.511
'[13:02:53.194 23/06/1995]',-0.021,0.044,86.700,37.375,99.600,0.000,-0.511
'[13:02:53.196 23/06/1995]',-0.021,0.044,86.700,37.375,99.600,0.000,-0.511
'[13:02:53.198 23/06/1995]',-0.021,0.056,86.700,37.375,99.600,0.000,-0.511
'[13:02:53.200 23/06/1995]',-0.032,0.044,88.650,37.300,103.150,0.000,-0.512
'[13:02:53.202 23/06/1995]',-0.032,0.056,88.650,37.300,103.150,0.000,-0.512
'[13:02:53.204 23/06/1995]',-0.021,0.056,88.650,37.300,103.150,0.000,-0.512
'[13:02:53.206 23/06/1995]',-0.021,0.056,88.650,37.300,103.150,0.000,-0.512
'[13:02:53.208 23/06/1995]',-0.021,0.056,90.400,37.250,106.650,0.000,-0.514
'[13:02:53.210 23/06/1995]',-0.021,0.044,90.400,37.250,106.650,0.000,-0.514
'[13:02:53.212 23/06/1995]',-0.021,0.044,90.400,37.250,106.650,0.000,-0.514
'[13:02:53.214 23/06/1995]',-0.021,0.044,90.400,37.250,106.650,0.000,-0.514
'[13:02:53.216 23/06/1995]',-0.021,0.056,91.900,37.075,110.000,0.000,-0.515
'[13:02:53.218 23/06/1995]',-0.032,0.056,91.900,37.075,110.000,0.000,-0.515
'[13:02:53.220 23/06/1995]',-0.021,0.067,91.900,37.075,110.000,0.000,-0.515
'[13:02:53.222 23/06/1995]',-0.021,0.067,91.900,37.075,110.000,0.000,-0.515
'[13:02:53.224 23/06/1995]',-0.021,0.067,93.250,36.850,113.050,0.000,-0.517
'[13:02:53.226 23/06/1995]',-0.021,0.067,93.250,36.850,113.050,0.000,-0.517
'[13:02:53.228 23/06/1995]',-0.021,0.056,93.250,36.850,113.050,0.000,-0.517
'[13:02:53.230 23/06/1995]',-0.032,0.044,93.250,36.850,113.050,0.000,-0.517
'[13:02:53.232 23/06/1995]',-0.032,0.044,94.550,36.675,115.650,0.000,-0.518
'[13:02:53.234 23/06/1995]',-0.032,0.056,94.550,36.675,115.650,0.000,-0.518
'[13:02:53.236 23/06/1995]',-0.032,0.056,94.550,36.675,115.650,0.000,-0.518
'[13:02:53.238 23/06/1995]',-0.032,0.067,94.550,36.675,115.650,0.000,-0.518
'[13:02:53.240 23/06/1995]',-0.032,0.067,95.800,36.500,117.650,0.000,-0.520
'[13:02:53.242 23/06/1995]',-0.032,0.067,95.800,36.500,117.650,0.000,-0.520
'[13:02:53.244 23/06/1995]',-0.043,0.056,95.800,36.500,117.650,0.000,-0.520
'[13:02:53.246 23/06/1995]',-0.032,0.056,95.800,36.500,117.650,0.000,-0.520
'[13:02:53.248 23/06/1995]',-0.032,0.056,97.100,36.325,119.000,0.000,-0.521
'[13:02:53.250 23/06/1995]',-0.032,0.056,97.100,36.325,119.000,0.000,-0.521
'[13:02:53.252 23/06/1995]',-0.032,0.056,97.100,36.325,119.000,0.000,-0.521
'[13:02:53.254 23/06/1995]',-0.021,0.067,97.100,36.325,119.000,0.000,-0.521
'[13:02:53.256 23/06/1995]',-0.021,0.067,98.350,36.150,119.700,0.000,-0.522
'[13:02:53.258 23/06/1995]',-0.032,0.067,98.350,36.150,119.700,0.000,-0.522
'[13:02:53.260 23/06/1995]',-0.032,0.067,98.350,36.150,119.700,0.000,-0.522
'[13:02:53.262 23/06/1995]',-0.043,0.056,98.350,36.150,119.700,0.000,-0.522
'[13:02:53.264 23/06/1995]',-0.043,0.056,99.450,35.975,119.700,0.000,-0.523
'[13:02:53.266 23/06/1995]',-0.032,0.056,99.450,35.975,119.700,0.000,-0.523
'[13:02:53.268 23/06/1995]',-0.032,0.056,99.450,35.975,119.700,0.000,-0.523
'[13:02:53.270 23/06/1995]',-0.032,0.067,99.450,35.975,119.700,0.000,-0.523
'[13:02:53.272 23/06/1995]',-0.021,0.067,100.400,35.800,119.050,0.000,-0.523
'[13:02:53.274 23/06/1995]',-0.021,0.067,100.400,35.800,119.050,0.000,-0.523
'[13:02:53.276 23/06/1995]',-0.032,0.056,100.400,35.800,119.050,0.000,-0.523
'[13:02:53.278 23/06/1995]',-0.032,0.056,100.400,35.800,119.050,0.000,-0.523
'[13:02:53.280 23/06/1995]',-0.032,0.044,101.100,35.625,117.750,0.000,-0.524
'[13:02:53.282 23/06/1995]',-0.032,0.044,101.100,35.625,117.750,0.000,-0.524
'[13:02:53.284 23/06/1995]',-0.021,0.044,101.100,35.625,117.750,0.000,-0.524
'[13:02:53.286 23/06/1995]',-0.021,0.056,101.100,35.625,117.750,0.000,-0.524
'[13:02:53.288 23/06/1995]',-0.032,0.056,101.500,35.500,115.850,0.000,-0.524
'[13:02:53.290 23/06/1995]',-0.032,0.056,101.500,35.500,115.850,0.000,-0.524
'[13:02:53.292 23/06/1995]',-0.032,0.067,101.500,35.500,115.850,0.000,-0.524
'[13:02:53.294 23/06/1995]',-0.032,0.056,101.500,35.500,115.850,0.000,-0.524
'[13:02:53.296 23/06/1995]',-0.032,0.056,101.650,35.425,113.400,0.000,-0.525
'[13:02:53.298 23/06/1995]',-0.032,0.056,101.650,35.425,113.400,0.000,-0.525
'[13:02:53.300 23/06/1995]',-0.032,0.044,101.650,35.425,113.400,0.000,-0.525
'[13:02:53.302 23/06/1995]',-0.021,0.056,101.650,35.425,113.400,0.000,-0.525
'[13:02:53.304 23/06/1995]',-0.021,0.056,101.400,35.250,110.550,0.000,-0.525
'[13:02:53.306 23/06/1995]',-0.021,0.044,101.400,35.250,110.550,0.000,-0.525
'[13:02:53.308 23/06/1995]',-0.021,0.044,101.400,35.250,110.550,0.000,-0.525
'[13:02:53.310 23/06/1995]',-0.032,0.056,101.400,35.250,110.550,0.000,-0.525
'[13:02:53.312 23/06/1995]',-0.032,0.044,101.100,35.075,107.300,0.000,-0.525
'[13:02:53.314 23/06/1995]',-0.032,0.034,101.100,35.075,107.300,0.000,-0.525
'[13:02:53.316 23/06/1995]',-0.032,0.044,101.100,35.075,107.300,0.000,-0.525
'[13:02:53.318 23/06/1995]',-0.032,0.044,101.100,35.075,107.300,0.000,-0.525
'[13:02:53.320 23/06/1995]',-0.032,0.056,100.750,34.850,104.000,0.000,-0.525
'[13:02:53.322 23/06/1995]',-0.032,0.067,100.750,34.850,104.000,0.000,-0.525
'[13:02:53.324 23/06/1995]',-0.032,0.067,100.750,34.850,104.000,0.000,-0.525
'[13:02:53.326 23/06/1995]',-0.021,0.056,100.750,34.850,104.000,0.000,-0.525
'[13:02:53.328 23/06/1995]',-0.021,0.044,100.300,34.675,100.650,0.000,-0.525
'[13:02:53.330 23/06/1995]',-0.021,0.034,100.300,34.675,100.650,0.000,-0.525
'[13:02:53.332 23/06/1995]',-0.021,0.034,100.300,34.675,100.650,0.000,-0.525
'[13:02:53.334 23/06/1995]',-0.021,0.034,100.300,34.675,100.650,0.000,-0.525
'[13:02:53.336 23/06/1995]',-0.021,0.044,99.700,34.450,97.300,0.000,-0.524
'[13:02:53.338 23/06/1995]',-0.021,0.044,99.700,34.450,97.300,0.000,-0.524
'[13:02:53.340 23/06/1995]',-0.021,0.056,99.700,34.450,97.300,0.000,-0.524
'[13:02:53.342 23/06/1995]',-0.021,0.044,99.700,34.450,97.300,0.000,-0.524
'[13:02:53.344 23/06/1995]',-0.032,0.044,99.050,34.275,94.150,0.000,-0.524
'[13:02:53.346 23/06/1995]',-0.032,0.034,99.050,34.275,94.150,0.000,-0.524
'[13:02:53.348 23/06/1995]',-0.032,0.034,99.050,34.275,94.150,0.000,-0.524
'[13:02:53.350 23/06/1995]',-0.032,0.034,99.050,34.275,94.150,0.000,-0.524
'[13:02:53.352 23/06/1995]',-0.032,0.044,98.300,34.100,91.250,0.000,-0.523
'[13:02:53.354 23/06/1995]',-0.032,0.044,98.300,34.100,91.250,0.000,-0.523
'[13:02:53.356 23/06/1995]',-0.032,0.056,98.300,34.100,91.250,0.000,-0.523
'[13:02:53.358 23/06/1995]',-0.032,0.067,98.300,34.100,91.250,0.000,-0.523
'[13:02:53.360 23/06/1995]',-0.032,0.067,97.500,33.925,88.650,0.000,-0.523
'[13:02:53.362 23/06/1995]',-0.032,0.044,97.500,33.925,88.650,0.000,-0.523
'[13:02:53.364 23/06/1995]',-0.032,0.044,97.500,33.925,88.650,0.000,-0.523
'[13:02:53.366 23/06/1995]',-0.032,0.034,97.500,33.925,88.650,0.000,-0.523
'[13:02:53.368 23/06/1995]',-0.021,0.034,96.600,33.750,86.350,0.000,-0.523
'[13:02:53.370 23/06/1995]',-0.021,0.034,96.600,33.750,86.350,0.000,-0.523
'[13:02:53.372 23/06/1995]',-0.021,0.034,96.600,33.750,86.350,0.000,-0.523
'[13:02:53.374 23/06/1995]',-0.021,0.044,96.600,33.750,86.350,0.000,-0.523
'[13:02:53.376 23/06/1995]',-0.021,0.034,95.700,33.625,84.350,0.000,-0.523
'[13:02:53.378 23/06/1995]',-0.021,0.034,95.700,33.625,84.350,0.000,-0.523
'[13:02:53.380 23/06/1995]',-0.021,0.034,95.700,33.625,84.350,0.000,-0.523
'[13:02:53.382 23/06/1995]',-0.032,0.022,95.700,33.625,84.350,0.000,-0.523
'[13:02:53.384 23/06/1995]',-0.021,0.034,94.850,33.450,82.750,0.000,-0.523
'[13:02:53.386 23/06/1995]',-0.021,0.034,94.850,33.450,82.750,0.000,-0.523
'[13:02:53.388 23/06/1995]',-0.021,0.034,94.850,33.450,82.750,0.000,-0.523
'[13:02:53.390 23/06/1995]',-0.021,0.034,94.850,33.450,82.750,0.000,-0.523
'[13:02:53.392 23/06/1995]',-0.021,0.034,93.850,33.325,81.600,0.000,-0.522
'[13:02:53.394 23/06/1995]',-0.021,0.034,93.850,33.325,81.600,0.000,-0.522
'[13:02:53.396 23/06/1995]',-0.021,0.034,93.850,33.325,81.600,0.000,-0.522
'[13:02:53.398 23/06/1995]',-0.032,0.034,93.850,33.325,81.600,0.000,-0.522
'[13:02:53.400 23/06/1995]',-0.032,0.034,92.800,33.150,80.800,0.000,-0.521
'[13:02:53.402 23/06/1995]',-0.021,0.044,92.800,33.150,80.800,0.000,-0.521
'[13:02:53.404 23/06/1995]',-0.021,0.044,92.800,33.150,80.800,0.000,-0.521
'[13:02:53.406 23/06/1995]',-0.021,0.044,92.800,33.150,80.800,0.000,-0.521
'[13:02:53.408 23/06/1995]',-0.021,0.044,91.550,33.025,80.250,0.000,-0.520
'[13:02:53.410 23/06/1995]',-0.021,0.034,91.550,33.025,80.250,0.000,-0.520
'[13:02:53.412 23/06/1995]',-0.021,0.034,91.550,33.025,80.250,0.000,-0.520
'[13:02:53.414 23/06/1995]',-0.021,0.034,91.550,33.025,80.250,0.000,-0.520
'[13:02:53.416 23/06/1995]',-0.021,0.034,90.200,32.850,80.050,0.000,-0.518
'[13:02:53.418 23/06/1995]',-0.021,0.034,90.200,32.850,80.050,0.000,-0.518
'[13:02:53.420 23/06/1995]',-0.021,0.034,90.200,32.850,80.050,0.000,-0.518
'[13:02:53.422 23/06/1995]',-0.021,0.034,90.200,32.850,80.050,0.000,-0.518
'[13:02:53.424 23/06/1995]',-0.021,0.034,88.700,32.750,80.150,0.000,-0.517
'[13:02:53.426 23/06/1995]',-0.032,0.034,88.700,32.750,80.150,0.000,-0.517
'[13:02:53.428 23/06/1995]',-0.032,0.034,88.700,32.750,80.150,0.000,-0.517
'[13:02:53.430 23/06/1995]',-0.032,0.022,88.700,32.750,80.150,0.000,-0.517
'[13:02:53.432 23/06/1995]',-0.032,0.022,87.150,32.625,80.350,0.000,-0.516
'[13:02:53.434 23/06/1995]',-0.021,0.034,87.150,32.625,80.350,0.000,-0.516
'[13:02:53.436 23/06/1995]',-0.032,0.034,87.150,32.625,80.350,0.000,-0.516
'[13:02:53.438 23/06/1995]',-0.032,0.034,87.150,32.625,80.350,0.000,-0.516
'[13:02:53.440 23/06/1995]',-0.032,0.034,85.750,32.450,80.800,0.000,-0.515
'[13:02:53.442 23/06/1995]',-0.021,0.034,85.750,32.450,80.800,0.000,-0.515
'[13:02:53.444 23/06/1995]',-0.032,0.034,85.750,32.450,80.800,0.000,-0.515
'[13:02:53.446 23/06/1995]',-0.032,0.022,85.750,32.450,80.800,0.000,-0.515
'[13:02:53.448 23/06/1995]',-0.032,0.022,84.450,32.325,81.300,0.000,-0.515
'[13:02:53.450 23/06/1995]',-0.021,0.022,84.450,32.325,81.300,0.000,-0.515
'[13:02:53.452 23/06/1995]',-0.021,0.022,84.450,32.325,81.300,0.000,-0.515
'[13:02:53.454 23/06/1995]',-0.021,0.034,84.450,32.325,81.300,0.000,-0.515
'[13:02:53.456 23/06/1995]',-0.021,0.034,83.400,32.150,81.950,0.000,-0.514
'[13:02:53.458 23/06/1995]',-0.021,0.034,83.400,32.150,81.950,0.000,-0.514
'[13:02:53.460 23/06/1995]',-0.021,0.034,83.400,32.150,81.950,0.000,-0.514
'[13:02:53.462 23/06/1995]',-0.021,0.034,83.400,32.150,81.950,0.000,-0.514
'[13:02:53.464 23/06/1995]',-0.021,0.034,82.550,32.050,82.650,0.000,-0.514
'[13:02:53.466 23/06/1995]',-0.032,0.044,82.550,32.050,82.650,0.000,-0.514
'[13:02:53.468 23/06/1995]',-0.021,0.056,82.550,32.050,82.650,0.000,-0.514
'[13:02:53.470 23/06/1995]',-0.021,0.067,82.550,32.050,82.650,0.000,-0.514
'[13:02:53.472 23/06/1995]',-0.032,0.067,81.950,31.875,83.350,0.000,-0.513
'[13:02:53.474 23/06/1995]',-0.021,0.067,81.950,31.875,83.350,0.000,-0.513
'[13:02:53.476 23/06/1995]',-0.021,0.056,81.950,31.875,83.350,0.000,-0.513
'[13:02:53.478 23/06/1995]',-0.021,0.056,81.950,31.875,83.350,0.000,-0.513
'[13:02:53.480 23/06/1995]',-0.021,0.044,81.550,31.625,84.000,0.000,-0.513
'[13:02:53.482 23/06/1995]',-0.021,0.044,81.550,31.625,84.000,0.000,-0.513
'[13:02:53.484 23/06/1995]',-0.021,0.044,81.550,31.625,84.000,0.000,-0.513
'[13:02:53.486 23/06/1995]',-0.032,0.067,81.550,31.625,84.000,0.000,-0.513
'[13:02:53.488 23/06/1995]',-0.043,0.077,81.350,31.450,84.600,0.000,-0.512
'[13:02:53.490 23/06/1995]',-0.054,0.077,81.350,31.450,84.600,0.000,-0.512
'[13:02:53.492 23/06/1995]',-0.065,0.088,81.350,31.450,84.600,0.000,-0.512
'[13:02:53.494 23/06/1995]',-0.076,0.088,81.350,31.450,84.600,0.000,-0.512
'[13:02:53.496 23/06/1995]',-0.076,0.088,81.250,31.225,85.100,0.000,-0.512
'[13:02:53.498 23/06/1995]',-0.076,0.088,81.250,31.225,85.100,0.000,-0.512
'[13:02:53.500 23/06/1995]',-0.076,0.088,81.250,31.225,85.100,0.000,-0.512
'[13:02:53.502 23/06/1995]',-0.076,0.088,81.250,31.225,85.100,0.000,-0.512
'[13:02:53.504 23/06/1995]',-0.076,0.088,81.250,31.100,85.450,0.000,-0.512
'[13:02:53.506 23/06/1995]',-0.076,0.088,81.250,31.100,85.450,0.000,-0.512
'[13:02:53.508 23/06/1995]',-0.065,0.077,81.250,31.100,85.450,0.000,-0.512
'[13:02:53.510 23/06/1995]',-0.065,0.067,81.250,31.100,85.450,0.000,-0.512
'[13:02:53.512 23/06/1995]',-0.076,0.056,81.350,31.050,85.650,0.000,-0.512
'[13:02:53.514 23/06/1995]',-0.076,0.056,81.350,31.050,85.650,0.000,-0.512
'[13:02:53.516 23/06/1995]',-0.054,0.056,81.350,31.050,85.650,0.000,-0.512
'[13:02:53.518 23/06/1995]',-0.054,0.067,81.350,31.050,85.650,0.000,-0.512
'[13:02:53.520 23/06/1995]',-0.065,0.077,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.522 23/06/1995]',-0.054,0.077,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.524 23/06/1995]',-0.054,0.067,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.526 23/06/1995]',-0.054,0.067,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.528 23/06/1995]',-0.043,0.056,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.530 23/06/1995]',-0.043,0.044,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.532 23/06/1995]',-0.032,0.034,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.534 23/06/1995]',-0.021,0.034,81.400,31.050,85.700,0.000,-0.511
'[13:02:53.536 23/06/1995]',-0.021,0.034,81.400,31.050,85.500,0.000,-0.510
'[13:02:53.538 23/06/1995]',-0.021,0.034,81.400,31.050,85.500,0.000,-0.510
'[13:02:53.540 23/06/1995]',-0.021,0.034,81.400,31.050,85.500,0.000,-0.510
'[13:02:53.542 23/06/1995]',-0.021,0.011,81.400,31.050,85.500,0.000,-0.510
'[13:02:53.544 23/06/1995]',-0.010,0.011,81.400,31.100,85.300,0.000,-0.509
'[13:02:53.546 23/06/1995]',-0.021,0.011,81.400,31.100,85.300,0.000,-0.509
'[13:02:53.548 23/06/1995]',-0.021,0.001,81.400,31.100,85.300,0.000,-0.509
'[13:02:53.550 23/06/1995]',-0.010,0.011,81.400,31.100,85.300,0.000,-0.509
'[13:02:53.552 23/06/1995]',-0.010,0.022,81.350,31.100,85.000,0.000,-0.508
'[13:02:53.554 23/06/1995]',0.001,0.022,81.350,31.100,85.000,0.000,-0.508
'[13:02:53.556 23/06/1995]',0.001,0.022,81.350,31.100,85.000,0.000,-0.508
'[13:02:53.558 23/06/1995]',0.001,0.011,81.350,31.100,85.000,0.000,-0.508
'[13:02:53.560 23/06/1995]',0.001,0.011,81.250,31.050,84.600,0.000,-0.507
'[13:02:53.562 23/06/1995]',-0.010,0.001,81.250,31.050,84.600,0.000,-0.507
'[13:02:53.564 23/06/1995]',0.001,0.001,81.250,31.050,84.600,0.000,-0.507
'[13:02:53.566 23/06/1995]',-0.010,0.001,81.250,31.050,84.600,0.000,-0.507
'[13:02:53.568 23/06/1995]',-0.010,0.001,81.000,30.750,84.100,0.000,-0.505
'[13:02:53.570 23/06/1995]',-0.010,0.001,81.000,30.750,84.100,0.000,-0.505
'[13:02:53.572 23/06/1995]',-0.010,0.001,81.000,30.750,84.100,0.000,-0.505
'[13:02:53.574 23/06/1995]',0.001,0.001,81.000,30.750,84.100,0.000,-0.505
'[13:02:53.576 23/06/1995]',0.001,0.001,80.700,30.350,83.600,0.000,-0.504
