'Time and date','II','MCL1','ABP','PAP','ART','PLETH','RESP'
'[14:11:33.092 07/05/1995]',0.033,-0.034,90.750,30.150,115.229,0.818,-0.511
'[14:11:33.094 07/05/1995]',0.033,-0.034,90.750,30.150,115.229,0.818,-0.511
'[14:11:33.096 07/05/1995]',0.033,-0.027,84.550,28.975,110.953,0.878,-0.509
'[14:11:33.098 07/05/1995]',0.017,-0.027,84.550,28.975,110.953,0.878,-0.509
'[14:11:33.100 07/05/1995]',0.017,-0.013,84.550,28.975,110.953,0.878,-0.509
'[14:11:33.102 07/05/1995]',0.017,-0.013,84.550,28.975,110.953,0.878,-0.509
'[14:11:33.104 07/05/1995]',0.001,-0.006,78.900,27.750,106.602,0.930,-0.508
'[14:11:33.106 07/05/1995]',0.001,0.001,78.900,27.750,106.602,0.930,-0.508
'[14:11:33.108 07/05/1995]',-0.015,0.001,78.900,27.750,106.602,0.930,-0.508
'[14:11:33.110 07/05/1995]',-0.015,0.007,78.900,27.750,106.602,0.930,-0.508
'[14:11:33.112 07/05/1995]',-0.015,0.007,74.850,26.975,102.401,0.963,-0.506
'[14:11:33.114 07/05/1995]',-0.031,0.014,74.850,26.975,102.401,0.963,-0.506
'[14:11:33.116 07/05/1995]',-0.031,0.007,74.850,26.975,102.401,0.963,-0.506
'[14:11:33.118 07/05/1995]',-0.031,0.007,74.850,26.975,102.401,0.963,-0.506
'[14:11:33.120 07/05/1995]',-0.031,0.014,72.900,26.800,98.350,0.988,-0.505
'[14:11:33.122 07/05/1995]',-0.047,0.007,72.900,26.800,98.350,0.988,-0.505
'[14:11:33.124 07/05/1995]',-0.047,0.007,72.900,26.800,98.350,0.988,-0.505
'[14:11:33.126 07/05/1995]',-0.047,0.007,72.900,26.800,98.350,0.988,-0.505
'[14:11:33.128 07/05/1995]',-0.047,0.014,72.800,27.050,94.299,0.992,-0.504
'[14:11:33.130 07/05/1995]',-0.047,0.007,72.800,27.050,94.299,0.992,-0.504
'[14:11:33.132 07/05/1995]',-0.047,0.007,72.800,27.050,94.299,0.992,-0.504
'[14:11:33.134 07/05/1995]',-0.047,0.007,72.800,27.050,94.299,0.992,-0.504
'[14:11:33.136 07/05/1995]',-0.047,0.007,73.950,27.450,90.623,0.982,-0.503
'[14:11:33.138 07/05/1995]',-0.031,0.007,73.950,27.450,90.623,0.982,-0.503
'[14:11:33.140 07/05/1995]',-0.031,0.007,73.950,27.450,90.623,0.982,-0.503
'[14:11:33.142 07/05/1995]',-0.031,0.001,73.950,27.450,90.623,0.982,-0.503
'[14:11:33.144 07/05/1995]',-0.031,0.001,75.700,27.750,87.172,0.959,-0.502
'[14:11:33.146 07/05/1995]',-0.031,0.001,75.700,27.750,87.172,0.959,-0.502
'[14:11:33.148 07/05/1995]',-0.031,0.007,75.700,27.750,87.172,0.959,-0.502
'[14:11:33.150 07/05/1995]',-0.031,0.001,75.700,27.750,87.172,0.959,-0.502
'[14:11:33.152 07/05/1995]',-0.031,0.001,77.450,27.800,84.096,0.923,-0.500
'[14:11:33.154 07/05/1995]',-0.031,0.001,77.450,27.800,84.096,0.923,-0.500
'[14:11:33.156 07/05/1995]',-0.031,0.007,77.450,27.800,84.096,0.923,-0.500
'[14:11:33.158 07/05/1995]',-0.031,0.007,77.450,27.800,84.096,0.923,-0.500
'[14:11:33.160 07/05/1995]',-0.031,0.007,78.800,27.625,81.320,0.878,-0.499
'[14:11:33.162 07/05/1995]',-0.031,0.007,78.800,27.625,81.320,0.878,-0.499
'[14:11:33.164 07/05/1995]',-0.031,0.007,78.800,27.625,81.320,0.878,-0.499
'[14:11:33.166 07/05/1995]',-0.031,0.007,78.800,27.625,81.320,0.878,-0.499
'[14:11:33.168 07/05/1995]',-0.031,0.007,79.450,27.400,78.845,0.821,-0.498
'[14:11:33.170 07/05/1995]',-0.031,0.007,79.450,27.400,78.845,0.821,-0.498
'[14:11:33.172 07/05/1995]',-0.031,0.007,79.450,27.400,78.845,0.821,-0.498
'[14:11:33.174 07/05/1995]',-0.031,0.007,79.450,27.400,78.845,0.821,-0.498
'[14:11:33.176 07/05/1995]',-0.031,0.007,79.250,27.150,76.669,0.756,-0.497
'[14:11:33.178 07/05/1995]',-0.031,0.007,79.250,27.150,76.669,0.756,-0.497
'[14:11:33.180 07/05/1995]',-0.031,0.007,79.250,27.150,76.669,0.756,-0.497
'[14:11:33.182 07/05/1995]',-0.031,0.007,79.250,27.150,76.669,0.756,-0.497
'[14:11:33.184 07/05/1995]',-0.031,0.007,78.400,26.925,74.794,0.685,-0.496
'[14:11:33.186 07/05/1995]',-0.031,0.007,78.400,26.925,74.794,0.685,-0.496
'[14:11:33.188 07/05/1995]',-0.031,0.007,78.400,26.925,74.794,0.685,-0.496
'[14:11:33.190 07/05/1995]',-0.031,0.014,78.400,26.925,74.794,0.685,-0.496
'[14:11:33.192 07/05/1995]',-0.031,0.035,77.050,26.575,73.218,0.609,-0.495
'[14:11:33.194 07/05/1995]',-0.031,0.076,77.050,26.575,73.218,0.609,-0.495
'[14:11:33.196 07/05/1995]',-0.047,0.117,77.050,26.575,73.218,0.609,-0.495
'[14:11:33.198 07/05/1995]',-0.047,0.165,77.050,26.575,73.218,0.609,-0.495
'[14:11:33.200 07/05/1995]',-0.064,0.233,75.400,26.225,71.943,0.528,-0.495
'[14:11:33.202 07/05/1995]',-0.080,0.302,75.400,26.225,71.943,0.528,-0.495
'[14:11:33.204 07/05/1995]',-0.080,0.364,75.400,26.225,71.943,0.528,-0.495
'[14:11:33.206 07/05/1995]',-0.080,0.418,75.400,26.225,71.943,0.528,-0.495
'[14:11:33.208 07/05/1995]',-0.031,0.460,73.500,26.100,70.968,0.448,-0.495
'[14:11:33.210 07/05/1995]',0.001,0.480,73.500,26.100,70.968,0.448,-0.495
'[14:11:33.212 07/05/1995]',0.050,0.487,73.500,26.100,70.968,0.448,-0.495
'[14:11:33.214 07/05/1995]',0.131,0.487,73.500,26.100,70.968,0.448,-0.495
'[14:11:33.216 07/05/1995]',0.196,0.487,71.200,26.225,70.143,0.367,-0.496
'[14:11:33.218 07/05/1995]',0.277,0.467,71.200,26.225,70.143,0.367,-0.496
'[14:11:33.220 07/05/1995]',0.342,0.432,71.200,26.225,70.143,0.367,-0.496
'[14:11:33.222 07/05/1995]',0.342,0.391,71.200,26.225,70.143,0.367,-0.496
'[14:11:33.224 07/05/1995]',0.293,0.378,68.600,26.450,69.617,0.286,-0.496
'[14:11:33.226 07/05/1995]',0.180,0.378,68.600,26.450,69.617,0.286,-0.496
'[14:11:33.228 07/05/1995]',0.017,0.378,68.600,26.450,69.617,0.286,-0.496
'[14:11:33.230 07/05/1995]',-0.129,0.357,68.600,26.450,69.617,0.286,-0.496
'[14:11:33.232 07/05/1995]',-0.307,0.336,66.000,26.400,69.167,0.209,-0.496
'[14:11:33.234 07/05/1995]',-0.454,0.309,66.000,26.400,69.167,0.209,-0.496
'[14:11:33.236 07/05/1995]',-0.551,0.268,66.000,26.400,69.167,0.209,-0.496
'[14:11:33.238 07/05/1995]',-0.616,0.254,66.000,26.400,69.167,0.209,-0.496
'[14:11:33.240 07/05/1995]',-0.681,0.233,63.700,25.925,68.942,0.129,-0.495
'[14:11:33.242 07/05/1995]',-0.697,0.213,63.700,25.925,68.942,0.129,-0.495
'[14:11:33.244 07/05/1995]',-0.697,0.179,63.700,25.925,68.942,0.129,-0.495
'[14:11:33.246 07/05/1995]',-0.665,0.138,63.700,25.925,68.942,0.129,-0.495
'[14:11:33.248 07/05/1995]',-0.616,0.103,61.950,25.225,68.867,0.051,-0.494
'[14:11:33.250 07/05/1995]',-0.567,0.062,61.950,25.225,68.867,0.051,-0.494
'[14:11:33.252 07/05/1995]',-0.486,0.028,61.950,25.225,68.867,0.051,-0.494
'[14:11:33.254 07/05/1995]',-0.405,0.001,61.950,25.225,68.867,0.051,-0.494
'[14:11:33.256 07/05/1995]',-0.340,-0.027,60.400,24.650,68.642,-0.013,-0.493
'[14:11:33.258 07/05/1995]',-0.259,-0.041,60.400,24.650,68.642,-0.013,-0.493
'[14:11:33.260 07/05/1995]',-0.178,-0.054,60.400,24.650,68.642,-0.013,-0.493
'[14:11:33.262 07/05/1995]',-0.113,-0.075,60.400,24.650,68.642,-0.013,-0.493
'[14:11:33.264 07/05/1995]',-0.047,-0.075,58.900,24.575,68.417,-0.081,-0.492
'[14:11:33.266 07/05/1995]',-0.015,-0.075,58.900,24.575,68.417,-0.081,-0.492
'[14:11:33.268 07/05/1995]',-0.015,-0.075,58.900,24.575,68.417,-0.081,-0.492
'[14:11:33.270 07/05/1995]',0.001,-0.082,58.900,24.575,68.417,-0.081,-0.492
'[14:11:33.272 07/05/1995]',0.001,-0.075,57.250,25.000,68.042,-0.141,-0.491
'[14:11:33.274 07/05/1995]',0.001,-0.075,57.250,25.000,68.042,-0.141,-0.491
'[14:11:33.276 07/05/1995]',0.001,-0.075,57.250,25.000,68.042,-0.141,-0.491
'[14:11:33.278 07/05/1995]',0.001,-0.075,57.250,25.000,68.042,-0.141,-0.491
'[14:11:33.280 07/05/1995]',0.001,-0.075,55.250,25.875,67.367,-0.197,-0.491
'[14:11:33.282 07/05/1995]',0.001,-0.075,55.250,25.875,67.367,-0.197,-0.491
'[14:11:33.284 07/05/1995]',0.001,-0.075,55.250,25.875,67.367,-0.197,-0.491
'[14:11:33.286 07/05/1995]',0.001,-0.075,55.250,25.875,67.367,-0.197,-0.491
'[14:11:33.288 07/05/1995]',0.001,-0.075,53.000,26.975,66.542,-0.244,-0.491
'[14:11:33.290 07/05/1995]',0.001,-0.075,53.000,26.975,66.542,-0.244,-0.491
'[14:11:33.292 07/05/1995]',0.001,-0.075,53.000,26.975,66.542,-0.244,-0.491
'[14:11:33.294 07/05/1995]',0.001,-0.075,53.000,26.975,66.542,-0.244,-0.491
'[14:11:33.296 07/05/1995]',0.017,-0.075,50.400,27.925,65.491,-0.289,-0.491
'[14:11:33.298 07/05/1995]',0.017,-0.075,50.400,27.925,65.491,-0.289,-0.491
'[14:11:33.300 07/05/1995]',0.017,-0.082,50.400,27.925,65.491,-0.289,-0.491
'[14:11:33.302 07/05/1995]',0.017,-0.075,50.400,27.925,65.491,-0.289,-0.491
'[14:11:33.304 07/05/1995]',0.033,-0.075,47.800,28.100,64.291,-0.332,-0.491
'[14:11:33.306 07/05/1995]',0.033,-0.075,47.800,28.100,64.291,-0.332,-0.491
'[14:11:33.308 07/05/1995]',0.033,-0.082,47.800,28.100,64.291,-0.332,-0.491
'[14:11:33.310 07/05/1995]',0.033,-0.075,47.800,28.100,64.291,-0.332,-0.491
'[14:11:33.312 07/05/1995]',0.033,-0.075,45.850,26.925,62.866,-0.364,-0.491
'[14:11:33.314 07/05/1995]',0.033,-0.075,45.850,26.925,62.866,-0.364,-0.491
'[14:11:33.316 07/05/1995]',0.033,-0.075,45.850,26.925,62.866,-0.364,-0.491
'[14:11:33.318 07/05/1995]',0.050,-0.075,45.850,26.925,62.866,-0.364,-0.491
'[14:11:33.320 07/05/1995]',0.050,-0.075,44.700,25.050,61.290,-0.399,-0.492
'[14:11:33.322 07/05/1995]',0.050,-0.075,44.700,25.050,61.290,-0.399,-0.492
'[14:11:33.324 07/05/1995]',0.050,-0.075,44.700,25.050,61.290,-0.399,-0.492
'[14:11:33.326 07/05/1995]',0.050,-0.082,44.700,25.050,61.290,-0.399,-0.492
'[14:11:33.328 07/05/1995]',0.066,-0.082,44.900,23.750,59.640,-0.428,-0.493
'[14:11:33.330 07/05/1995]',0.066,-0.075,44.900,23.750,59.640,-0.428,-0.493
'[14:11:33.332 07/05/1995]',0.066,-0.082,44.900,23.750,59.640,-0.428,-0.493
'[14:11:33.334 07/05/1995]',0.066,-0.082,44.900,23.750,59.640,-0.428,-0.493
'[14:11:33.336 07/05/1995]',0.066,-0.082,46.350,24.000,57.839,-0.457,-0.494
'[14:11:33.338 07/05/1995]',0.066,-0.082,46.350,24.000,57.839,-0.457,-0.494
'[14:11:33.340 07/05/1995]',0.066,-0.082,46.350,24.000,57.839,-0.457,-0.494
'[14:11:33.342 07/05/1995]',0.082,-0.089,46.350,24.000,57.839,-0.457,-0.494
'[14:11:33.344 07/05/1995]',0.082,-0.082,48.950,25.875,56.189,-0.486,-0.496
'[14:11:33.346 07/05/1995]',0.082,-0.082,48.950,25.875,56.189,-0.486,-0.496
'[14:11:33.348 07/05/1995]',0.082,-0.082,48.950,25.875,56.189,-0.486,-0.496
'[14:11:33.350 07/05/1995]',0.082,-0.082,48.950,25.875,56.189,-0.486,-0.496
'[14:11:33.352 07/05/1995]',0.082,-0.082,52.250,29.625,54.539,-0.508,-0.498
'[14:11:33.354 07/05/1995]',0.082,-0.082,52.250,29.625,54.539,-0.508,-0.498
'[14:11:33.356 07/05/1995]',0.082,-0.082,52.250,29.625,54.539,-0.508,-0.498
'[14:11:33.358 07/05/1995]',0.082,-0.089,52.250,29.625,54.539,-0.508,-0.498
'[14:11:33.360 07/05/1995]',0.099,-0.089,56.250,35.350,53.038,-0.541,-0.500
'[14:11:33.362 07/05/1995]',0.082,-0.082,56.250,35.350,53.038,-0.541,-0.500
'[14:11:33.364 07/05/1995]',0.082,-0.082,56.250,35.350,53.038,-0.541,-0.500
'[14:11:33.366 07/05/1995]',0.082,-0.082,56.250,35.350,53.038,-0.541,-0.500
'[14:11:33.368 07/05/1995]',0.082,-0.082,60.700,41.800,51.613,-0.570,-0.502
'[14:11:33.370 07/05/1995]',0.082,-0.089,60.700,41.800,51.613,-0.570,-0.502
'[14:11:33.372 07/05/1995]',0.099,-0.089,60.700,41.800,51.613,-0.570,-0.502
'[14:11:33.374 07/05/1995]',0.099,-0.082,60.700,41.800,51.613,-0.570,-0.502
'[14:11:33.376 07/05/1995]',0.099,-0.082,65.550,46.950,50.638,-0.599,-0.505
'[14:11:33.378 07/05/1995]',0.099,-0.089,65.550,46.950,50.638,-0.599,-0.505
'[14:11:33.380 07/05/1995]',0.099,-0.089,65.550,46.950,50.638,-0.599,-0.505
'[14:11:33.382 07/05/1995]',0.099,-0.089,65.550,46.950,50.638,-0.599,-0.505
'[14:11:33.384 07/05/1995]',0.099,-0.082,70.750,49.650,50.113,-0.634,-0.507
'[14:11:33.386 07/05/1995]',0.099,-0.082,70.750,49.650,50.113,-0.634,-0.507
'[14:11:33.388 07/05/1995]',0.099,-0.082,70.750,49.650,50.113,-0.634,-0.507
'[14:11:33.390 07/05/1995]',0.099,-0.089,70.750,49.650,50.113,-0.634,-0.507
'[14:11:33.392 07/05/1995]',0.099,-0.082,75.950,50.525,50.488,-0.673,-0.509
'[14:11:33.394 07/05/1995]',0.099,-0.089,75.950,50.525,50.488,-0.673,-0.509
'[14:11:33.396 07/05/1995]',0.099,-0.089,75.950,50.525,50.488,-0.673,-0.509
'[14:11:33.398 07/05/1995]',0.099,-0.089,75.950,50.525,50.488,-0.673,-0.509
'[14:11:33.400 07/05/1995]',0.099,-0.089,80.350,51.075,51.688,-0.715,-0.511
'[14:11:33.402 07/05/1995]',0.115,-0.089,80.350,51.075,51.688,-0.715,-0.511
'[14:11:33.404 07/05/1995]',0.115,-0.089,80.350,51.075,51.688,-0.715,-0.511
'[14:11:33.406 07/05/1995]',0.115,-0.089,80.350,51.075,51.688,-0.715,-0.511
'[14:11:33.408 07/05/1995]',0.115,-0.082,82.750,51.950,53.563,-0.753,-0.513
'[14:11:33.410 07/05/1995]',0.115,-0.089,82.750,51.950,53.563,-0.753,-0.513
'[14:11:33.412 07/05/1995]',0.115,-0.082,82.750,51.950,53.563,-0.753,-0.513
'[14:11:33.414 07/05/1995]',0.115,-0.082,82.750,51.950,53.563,-0.753,-0.513
'[14:11:33.416 07/05/1995]',0.115,-0.082,82.850,53.300,55.814,-0.798,-0.514
'[14:11:33.418 07/05/1995]',0.099,-0.082,82.850,53.300,55.814,-0.798,-0.514
'[14:11:33.420 07/05/1995]',0.115,-0.075,82.850,53.300,55.814,-0.798,-0.514
'[14:11:33.422 07/05/1995]',0.115,-0.082,82.850,53.300,55.814,-0.798,-0.514
'[14:11:33.424 07/05/1995]',0.099,-0.082,81.450,54.700,58.440,-0.840,-0.516
'[14:11:33.426 07/05/1995]',0.099,-0.075,81.450,54.700,58.440,-0.840,-0.516
'[14:11:33.428 07/05/1995]',0.099,-0.061,81.450,54.700,58.440,-0.840,-0.516
'[14:11:33.430 07/05/1995]',0.099,-0.061,81.450,54.700,58.440,-0.840,-0.516
'[14:11:33.432 07/05/1995]',0.099,-0.061,79.350,55.800,61.140,-0.882,-0.519
'[14:11:33.434 07/05/1995]',0.099,-0.061,79.350,55.800,61.140,-0.882,-0.519
'[14:11:33.436 07/05/1995]',0.099,-0.061,79.350,55.800,61.140,-0.882,-0.519
'[14:11:33.438 07/05/1995]',0.099,-0.061,79.350,55.800,61.140,-0.882,-0.519
'[14:11:33.440 07/05/1995]',0.082,-0.061,77.300,56.525,64.141,-0.924,-0.522
'[14:11:33.442 07/05/1995]',0.082,-0.054,77.300,56.525,64.141,-0.924,-0.522
'[14:11:33.444 07/05/1995]',0.082,-0.054,77.300,56.525,64.141,-0.924,-0.522
'[14:11:33.446 07/05/1995]',0.082,-0.054,77.300,56.525,64.141,-0.924,-0.522
'[14:11:33.448 07/05/1995]',0.082,-0.041,75.700,56.750,67.292,-0.956,-0.525
'[14:11:33.450 07/05/1995]',0.082,-0.034,75.700,56.750,67.292,-0.956,-0.525
'[14:11:33.452 07/05/1995]',0.082,-0.034,75.700,56.750,67.292,-0.956,-0.525
'[14:11:33.454 07/05/1995]',0.082,-0.034,75.700,56.750,67.292,-0.956,-0.525
'[14:11:33.456 07/05/1995]',0.066,-0.034,74.900,56.750,70.593,-0.979,-0.528
'[14:11:33.458 07/05/1995]',0.066,-0.027,74.900,56.750,70.593,-0.979,-0.528
'[14:11:33.460 07/05/1995]',0.050,-0.027,74.900,56.750,70.593,-0.979,-0.528
'[14:11:33.462 07/05/1995]',0.050,-0.027,74.900,56.750,70.593,-0.979,-0.528
'[14:11:33.464 07/05/1995]',0.050,-0.027,74.850,56.750,73.893,-0.998,-0.530
'[14:11:33.466 07/05/1995]',0.050,-0.027,74.850,56.750,73.893,-0.998,-0.530
'[14:11:33.468 07/05/1995]',0.050,-0.027,74.850,56.750,73.893,-0.998,-0.530
'[14:11:33.470 07/05/1995]',0.050,-0.013,74.850,56.750,73.893,-0.998,-0.530
'[14:11:33.472 07/05/1995]',0.033,-0.013,75.350,56.750,76.969,-1.004,-0.533
'[14:11:33.474 07/05/1995]',0.033,-0.013,75.350,56.750,76.969,-1.004,-0.533
'[14:11:33.476 07/05/1995]',0.033,-0.013,75.350,56.750,76.969,-1.004,-0.533
'[14:11:33.478 07/05/1995]',0.033,-0.006,75.350,56.750,76.969,-1.004,-0.533
'[14:11:33.480 07/05/1995]',0.033,-0.006,76.200,56.800,79.745,-0.998,-0.535
'[14:11:33.482 07/05/1995]',0.033,-0.006,76.200,56.800,79.745,-0.998,-0.535
'[14:11:33.484 07/05/1995]',0.017,-0.006,76.200,56.800,79.745,-0.998,-0.535
'[14:11:33.486 07/05/1995]',0.017,0.001,76.200,56.800,79.745,-0.998,-0.535
'[14:11:33.488 07/05/1995]',0.017,-0.006,77.000,56.925,82.146,-0.982,-0.538
'[14:11:33.490 07/05/1995]',0.017,-0.006,77.000,56.925,82.146,-0.982,-0.538
'[14:11:33.492 07/05/1995]',0.017,0.001,77.000,56.925,82.146,-0.982,-0.538
'[14:11:33.494 07/05/1995]',0.017,0.001,77.000,56.925,82.146,-0.982,-0.538
'[14:11:33.496 07/05/1995]',0.017,0.001,77.450,57.275,84.321,-0.950,-0.541
'[14:11:33.498 07/05/1995]',0.017,0.007,77.450,57.275,84.321,-0.950,-0.541
'[14:11:33.500 07/05/1995]',0.001,0.007,77.450,57.275,84.321,-0.950,-0.541
'[14:11:33.502 07/05/1995]',0.001,0.007,77.450,57.275,84.321,-0.950,-0.541
'[14:11:33.504 07/05/1995]',0.001,0.014,77.450,57.675,86.197,-0.911,-0.545
'[14:11:33.506 07/05/1995]',0.001,0.014,77.450,57.675,86.197,-0.911,-0.545
'[14:11:33.508 07/05/1995]',0.001,0.007,77.450,57.675,86.197,-0.911,-0.545
'[14:11:33.510 07/05/1995]',0.001,0.007,77.450,57.675,86.197,-0.911,-0.545
'[14:11:33.512 07/05/1995]',0.001,0.014,76.950,57.850,87.622,-0.856,-0.548
'[14:11:33.514 07/05/1995]',0.001,0.014,76.950,57.850,87.622,-0.856,-0.548
'[14:11:33.516 07/05/1995]',0.001,0.007,76.950,57.850,87.622,-0.856,-0.548
'[14:11:33.518 07/05/1995]',0.001,0.014,76.950,57.850,87.622,-0.856,-0.548
'[14:11:33.520 07/05/1995]',0.001,0.014,75.850,57.500,88.672,-0.801,-0.551
'[14:11:33.522 07/05/1995]',0.001,0.014,75.850,57.500,88.672,-0.801,-0.551
'[14:11:33.524 07/05/1995]',0.001,0.014,75.850,57.500,88.672,-0.801,-0.551
'[14:11:33.526 07/05/1995]',0.001,0.014,75.850,57.500,88.672,-0.801,-0.551
'[14:11:33.528 07/05/1995]',0.001,0.014,74.250,56.525,89.197,-0.744,-0.554
'[14:11:33.530 07/05/1995]',0.001,0.007,74.250,56.525,89.197,-0.744,-0.554
'[14:11:33.532 07/05/1995]',0.001,0.007,74.250,56.525,89.197,-0.744,-0.554
'[14:11:33.534 07/05/1995]',0.001,0.007,74.250,56.525,89.197,-0.744,-0.554
'[14:11:33.536 07/05/1995]',-0.015,0.007,72.150,55.050,89.422,-0.679,-0.557
'[14:11:33.538 07/05/1995]',-0.015,0.007,72.150,55.050,89.422,-0.679,-0.557
'[14:11:33.540 07/05/1995]',0.001,0.007,72.150,55.050,89.422,-0.679,-0.557
'[14:11:33.542 07/05/1995]',0.001,0.014,72.150,55.050,89.422,-0.679,-0.557
'[14:11:33.544 07/05/1995]',0.001,0.007,69.600,53.300,89.122,-0.615,-0.559
'[14:11:33.546 07/05/1995]',0.001,0.007,69.600,53.300,89.122,-0.615,-0.559
'[14:11:33.548 07/05/1995]',0.001,0.007,69.600,53.300,89.122,-0.615,-0.559
'[14:11:33.550 07/05/1995]',-0.015,0.007,69.600,53.300,89.122,-0.615,-0.559
'[14:11:33.552 07/05/1995]',0.001,0.007,67.050,51.475,88.447,-0.557,-0.560
'[14:11:33.554 07/05/1995]',-0.015,0.001,67.050,51.475,88.447,-0.557,-0.560
'[14:11:33.556 07/05/1995]',0.001,0.001,67.050,51.475,88.447,-0.557,-0.560
'[14:11:33.558 07/05/1995]',0.001,0.007,67.050,51.475,88.447,-0.557,-0.560
'[14:11:33.560 07/05/1995]',-0.015,0.007,64.850,49.550,87.247,-0.499,-0.560
'[14:11:33.562 07/05/1995]',0.001,0.001,64.850,49.550,87.247,-0.499,-0.560
'[14:11:33.564 07/05/1995]',0.001,0.001,64.850,49.550,87.247,-0.499,-0.560
'[14:11:33.566 07/05/1995]',0.001,0.001,64.850,49.550,87.247,-0.499,-0.560
'[14:11:33.568 07/05/1995]',0.001,0.001,63.500,47.425,85.671,-0.451,-0.559
'[14:11:33.570 07/05/1995]',0.001,0.001,63.500,47.425,85.671,-0.451,-0.559
'[14:11:33.572 07/05/1995]',0.001,0.001,63.500,47.425,85.671,-0.451,-0.559
