'Time and date','MCL1','II','ABP','PAP','CVP','PLETH'
'[10:38:30.094 09/02/1996]',0.065,-0.033,71.307,29.124,13.412,-0.195
'[10:38:30.096 09/02/1996]',0.065,-0.033,70.754,28.674,13.225,-0.221
'[10:38:30.098 09/02/1996]',0.065,-0.032,70.754,28.674,13.225,-0.221
'[10:38:30.100 09/02/1996]',0.065,-0.031,70.754,28.674,13.225,-0.221
'[10:38:30.102 09/02/1996]',0.065,-0.030,70.754,28.674,13.225,-0.221
'[10:38:30.104 09/02/1996]',0.066,-0.029,70.101,28.374,12.938,-0.242
'[10:38:30.106 09/02/1996]',0.067,-0.028,70.101,28.374,12.938,-0.242
'[10:38:30.108 09/02/1996]',0.070,-0.026,70.101,28.374,12.938,-0.242
'[10:38:30.110 09/02/1996]',0.072,-0.025,70.101,28.374,12.938,-0.242
'[10:38:30.112 09/02/1996]',0.074,-0.021,69.447,28.198,12.588,-0.265
'[10:38:30.114 09/02/1996]',0.077,-0.017,69.447,28.198,12.588,-0.265
'[10:38:30.116 09/02/1996]',0.077,-0.013,69.447,28.198,12.588,-0.265
'[10:38:30.118 09/02/1996]',0.078,-0.010,69.447,28.198,12.588,-0.265
'[10:38:30.120 09/02/1996]',0.076,-0.009,68.744,28.073,12.238,-0.285
'[10:38:30.122 09/02/1996]',0.074,-0.007,68.744,28.073,12.238,-0.285
'[10:38:30.124 09/02/1996]',0.071,-0.007,68.744,28.073,12.238,-0.285
'[10:38:30.126 09/02/1996]',0.068,-0.007,68.744,28.073,12.238,-0.285
'[10:38:30.128 09/02/1996]',0.064,-0.008,67.990,28.073,11.887,-0.305
'[10:38:30.130 09/02/1996]',0.059,-0.009,67.990,28.073,11.887,-0.305
'[10:38:30.132 09/02/1996]',0.054,-0.011,67.990,28.073,11.887,-0.305
'[10:38:30.134 09/02/1996]',0.050,-0.012,67.990,28.073,11.887,-0.305
'[10:38:30.136 09/02/1996]',0.046,-0.015,67.236,28.123,11.588,-0.326
'[10:38:30.138 09/02/1996]',0.043,-0.017,67.236,28.123,11.588,-0.326
'[10:38:30.140 09/02/1996]',0.041,-0.020,67.236,28.123,11.588,-0.326
'[10:38:30.142 09/02/1996]',0.039,-0.023,67.236,28.123,11.588,-0.326
'[10:38:30.144 09/02/1996]',0.039,-0.027,66.533,28.324,11.238,-0.344
'[10:38:30.146 09/02/1996]',0.039,-0.031,66.533,28.324,11.238,-0.344
'[10:38:30.148 09/02/1996]',0.040,-0.035,66.533,28.324,11.238,-0.344
'[10:38:30.150 09/02/1996]',0.041,-0.040,66.533,28.324,11.238,-0.344
'[10:38:30.152 09/02/1996]',0.043,-0.044,65.980,28.499,10.950,-0.361
'[10:38:30.154 09/02/1996]',0.044,-0.048,65.980,28.499,10.950,-0.361
'[10:38:30.156 09/02/1996]',0.045,-0.051,65.980,28.499,10.950,-0.361
'[10:38:30.158 09/02/1996]',0.047,-0.054,65.980,28.499,10.950,-0.361
'[10:38:30.160 09/02/1996]',0.047,-0.056,65.427,28.499,10.775,-0.380
'[10:38:30.162 09/02/1996]',0.047,-0.058,65.427,28.499,10.775,-0.380
'[10:38:30.164 09/02/1996]',0.045,-0.059,65.427,28.499,10.775,-0.380
'[10:38:30.166 09/02/1996]',0.043,-0.061,65.427,28.499,10.775,-0.380
'[10:38:30.168 09/02/1996]',0.042,-0.061,65.075,28.249,10.950,-0.396
'[10:38:30.170 09/02/1996]',0.040,-0.062,65.075,28.249,10.950,-0.396
'[10:38:30.172 09/02/1996]',0.038,-0.064,65.075,28.249,10.950,-0.396
'[10:38:30.174 09/02/1996]',0.037,-0.065,65.075,28.249,10.950,-0.396
'[10:38:30.176 09/02/1996]',0.036,-0.067,65.025,27.948,11.350,-0.414
'[10:38:30.178 09/02/1996]',0.035,-0.069,65.025,27.948,11.350,-0.414
'[10:38:30.180 09/02/1996]',0.035,-0.070,65.025,27.948,11.350,-0.414
'[10:38:30.182 09/02/1996]',0.034,-0.071,65.025,27.948,11.350,-0.414
'[10:38:30.184 09/02/1996]',0.034,-0.072,65.528,27.948,12.000,-0.427
'[10:38:30.186 09/02/1996]',0.033,-0.074,65.528,27.948,12.000,-0.427
'[10:38:30.188 09/02/1996]',0.032,-0.076,65.528,27.948,12.000,-0.427
'[10:38:30.190 09/02/1996]',0.031,-0.078,65.528,27.948,12.000,-0.427
'[10:38:30.192 09/02/1996]',0.029,-0.081,67.236,28.499,12.762,-0.443
'[10:38:30.194 09/02/1996]',0.028,-0.083,67.236,28.499,12.762,-0.443
'[10:38:30.196 09/02/1996]',0.026,-0.086,67.236,28.499,12.762,-0.443
'[10:38:30.198 09/02/1996]',0.024,-0.090,67.236,28.499,12.762,-0.443
'[10:38:30.200 09/02/1996]',0.021,-0.095,70.603,29.550,13.525,-0.451
'[10:38:30.202 09/02/1996]',0.018,-0.100,70.603,29.550,13.525,-0.451
'[10:38:30.204 09/02/1996]',0.015,-0.105,70.603,29.550,13.525,-0.451
'[10:38:30.206 09/02/1996]',0.012,-0.110,70.603,29.550,13.525,-0.451
'[10:38:30.208 09/02/1996]',0.009,-0.115,76.131,30.776,14.225,-0.462
'[10:38:30.210 09/02/1996]',0.006,-0.119,76.131,30.776,14.225,-0.462
'[10:38:30.212 09/02/1996]',0.004,-0.125,76.131,30.776,14.225,-0.462
'[10:38:30.214 09/02/1996]',0.001,-0.131,76.131,30.776,14.225,-0.462
'[10:38:30.216 09/02/1996]',-0.002,-0.136,83.869,31.952,14.812,-0.463
'[10:38:30.218 09/02/1996]',-0.005,-0.140,83.869,31.952,14.812,-0.463
'[10:38:30.220 09/02/1996]',-0.009,-0.142,83.869,31.952,14.812,-0.463
'[10:38:30.222 09/02/1996]',-0.013,-0.145,83.869,31.952,14.812,-0.463
'[10:38:30.224 09/02/1996]',-0.016,-0.146,93.116,32.877,15.225,-0.460
'[10:38:30.226 09/02/1996]',-0.019,-0.147,93.116,32.877,15.225,-0.460
'[10:38:30.228 09/02/1996]',-0.021,-0.149,93.116,32.877,15.225,-0.460
'[10:38:30.230 09/02/1996]',-0.023,-0.151,93.116,32.877,15.225,-0.460
'[10:38:30.232 09/02/1996]',-0.024,-0.152,102.814,33.478,15.575,-0.451
'[10:38:30.234 09/02/1996]',-0.025,-0.154,102.814,33.478,15.575,-0.451
'[10:38:30.236 09/02/1996]',-0.025,-0.154,102.814,33.478,15.575,-0.451
'[10:38:30.238 09/02/1996]',-0.024,-0.155,102.814,33.478,15.575,-0.451
'[10:38:30.240 09/02/1996]',-0.022,-0.153,111.859,34.003,15.812,-0.432
'[10:38:30.242 09/02/1996]',-0.021,-0.152,111.859,34.003,15.812,-0.432
'[10:38:30.244 09/02/1996]',-0.020,-0.148,111.859,34.003,15.812,-0.432
'[10:38:30.246 09/02/1996]',-0.019,-0.145,111.859,34.003,15.812,-0.432
'[10:38:30.248 09/02/1996]',-0.018,-0.139,119.246,34.579,15.812,-0.406
'[10:38:30.250 09/02/1996]',-0.017,-0.132,119.246,34.579,15.812,-0.406
'[10:38:30.252 09/02/1996]',-0.017,-0.126,119.246,34.579,15.812,-0.406
'[10:38:30.254 09/02/1996]',-0.016,-0.120,119.246,34.579,15.812,-0.406
'[10:38:30.256 09/02/1996]',-0.016,-0.116,124.523,35.229,15.637,-0.364
'[10:38:30.258 09/02/1996]',-0.016,-0.111,124.523,35.229,15.637,-0.364
'[10:38:30.260 09/02/1996]',-0.017,-0.108,124.523,35.229,15.637,-0.364
'[10:38:30.262 09/02/1996]',-0.017,-0.105,124.523,35.229,15.637,-0.364
'[10:38:30.264 09/02/1996]',-0.017,-0.103,127.538,35.830,15.225,-0.316
'[10:38:30.266 09/02/1996]',-0.016,-0.102,127.538,35.830,15.225,-0.316
'[10:38:30.268 09/02/1996]',-0.015,-0.101,127.538,35.830,15.225,-0.316
'[10:38:30.270 09/02/1996]',-0.014,-0.100,127.538,35.830,15.225,-0.316
'[10:38:30.272 09/02/1996]',-0.011,-0.101,128.794,36.230,14.750,-0.256
'[10:38:30.274 09/02/1996]',-0.009,-0.102,128.794,36.230,14.750,-0.256
'[10:38:30.276 09/02/1996]',-0.006,-0.104,128.794,36.230,14.750,-0.256
'[10:38:30.278 09/02/1996]',-0.003,-0.106,128.794,36.230,14.750,-0.256
'[10:38:30.280 09/02/1996]',0.001,-0.110,128.693,36.455,14.225,-0.189
'[10:38:30.282 09/02/1996]',0.005,-0.114,128.693,36.455,14.225,-0.189
'[10:38:30.284 09/02/1996]',0.008,-0.118,128.693,36.455,14.225,-0.189
'[10:38:30.286 09/02/1996]',0.011,-0.122,128.693,36.455,14.225,-0.189
'[10:38:30.288 09/02/1996]',0.013,-0.123,127.739,36.530,13.700,-0.117
'[10:38:30.290 09/02/1996]',0.015,-0.124,127.739,36.530,13.700,-0.117
'[10:38:30.292 09/02/1996]',0.018,-0.121,127.739,36.530,13.700,-0.117
'[10:38:30.294 09/02/1996]',0.020,-0.119,127.739,36.530,13.700,-0.117
'[10:38:30.296 09/02/1996]',0.023,-0.114,126.482,36.455,13.287,-0.039
'[10:38:30.298 09/02/1996]',0.026,-0.109,126.482,36.455,13.287,-0.039
'[10:38:30.300 09/02/1996]',0.028,-0.104,126.482,36.455,13.287,-0.039
'[10:38:30.302 09/02/1996]',0.030,-0.100,126.482,36.455,13.287,-0.039
'[10:38:30.304 09/02/1996]',0.032,-0.094,125.126,36.405,13.000,0.034
'[10:38:30.306 09/02/1996]',0.034,-0.088,125.126,36.405,13.000,0.034
'[10:38:30.308 09/02/1996]',0.037,-0.079,125.126,36.405,13.000,0.034
'[10:38:30.310 09/02/1996]',0.040,-0.070,125.126,36.405,13.000,0.034
'[10:38:30.312 09/02/1996]',0.043,-0.060,123.769,36.230,12.875,0.108
'[10:38:30.314 09/02/1996]',0.045,-0.051,123.769,36.230,12.875,0.108
'[10:38:30.316 09/02/1996]',0.046,-0.043,123.769,36.230,12.875,0.108
'[10:38:30.318 09/02/1996]',0.048,-0.035,123.769,36.230,12.875,0.108
'[10:38:30.320 09/02/1996]',0.048,-0.030,122.362,35.755,12.762,0.178
'[10:38:30.322 09/02/1996]',0.047,-0.025,122.362,35.755,12.762,0.178
'[10:38:30.324 09/02/1996]',0.047,-0.024,122.362,35.755,12.762,0.178
'[10:38:30.326 09/02/1996]',0.047,-0.023,122.362,35.755,12.762,0.178
'[10:38:30.328 09/02/1996]',0.048,-0.024,120.754,35.179,12.588,0.237
'[10:38:30.330 09/02/1996]',0.048,-0.025,120.754,35.179,12.588,0.237
'[10:38:30.332 09/02/1996]',0.050,-0.025,120.754,35.179,12.588,0.237
'[10:38:30.334 09/02/1996]',0.051,-0.026,120.754,35.179,12.588,0.237
'[10:38:30.336 09/02/1996]',0.053,-0.025,118.744,34.479,12.412,0.293
'[10:38:30.338 09/02/1996]',0.055,-0.023,118.744,34.479,12.412,0.293
'[10:38:30.340 09/02/1996]',0.056,-0.022,118.744,34.479,12.412,0.293
'[10:38:30.342 09/02/1996]',0.056,-0.022,118.744,34.479,12.412,0.293
'[10:38:30.344 09/02/1996]',0.058,-0.022,116.231,33.828,12.287,0.339
'[10:38:30.346 09/02/1996]',0.059,-0.022,116.231,33.828,12.287,0.339
'[10:38:30.348 09/02/1996]',0.060,-0.022,116.231,33.828,12.287,0.339
'[10:38:30.350 09/02/1996]',0.062,-0.023,116.231,33.828,12.287,0.339
'[10:38:30.352 09/02/1996]',0.062,-0.025,113.216,33.178,12.238,0.372
'[10:38:30.354 09/02/1996]',0.062,-0.026,113.216,33.178,12.238,0.372
'[10:38:30.356 09/02/1996]',0.061,-0.029,113.216,33.178,12.238,0.372
'[10:38:30.358 09/02/1996]',0.061,-0.032,113.216,33.178,12.238,0.372
'[10:38:30.360 09/02/1996]',0.059,-0.035,109.447,32.602,12.000,0.400
'[10:38:30.362 09/02/1996]',0.058,-0.037,109.447,32.602,12.000,0.400
'[10:38:30.364 09/02/1996]',0.056,-0.040,109.447,32.602,12.000,0.400
'[10:38:30.366 09/02/1996]',0.054,-0.042,109.447,32.602,12.000,0.400
'[10:38:30.368 09/02/1996]',0.052,-0.045,105.075,31.776,11.650,0.417
'[10:38:30.370 09/02/1996]',0.050,-0.048,105.075,31.776,11.650,0.417
'[10:38:30.372 09/02/1996]',0.049,-0.050,105.075,31.776,11.650,0.417
'[10:38:30.374 09/02/1996]',0.048,-0.051,105.075,31.776,11.650,0.417
'[10:38:30.376 09/02/1996]',0.049,-0.050,100.050,30.776,11.300,0.427
'[10:38:30.378 09/02/1996]',0.049,-0.049,100.050,30.776,11.300,0.427
'[10:38:30.380 09/02/1996]',0.050,-0.049,100.050,30.776,11.300,0.427
'[10:38:30.382 09/02/1996]',0.050,-0.049,100.050,30.776,11.300,0.427
'[10:38:30.384 09/02/1996]',0.050,-0.052,94.573,29.650,11.125,0.373
'[10:38:30.386 09/02/1996]',0.049,-0.055,94.573,29.650,11.125,0.373
'[10:38:30.388 09/02/1996]',0.049,-0.060,94.573,29.650,11.125,0.373
'[10:38:30.390 09/02/1996]',0.049,-0.066,94.573,29.650,11.125,0.373
'[10:38:30.392 09/02/1996]',0.050,-0.072,88.794,28.599,11.062,0.364
'[10:38:30.394 09/02/1996]',0.050,-0.078,88.794,28.599,11.062,0.364
'[10:38:30.396 09/02/1996]',0.051,-0.084,88.794,28.599,11.062,0.364
'[10:38:30.398 09/02/1996]',0.052,-0.089,88.794,28.599,11.062,0.364
'[10:38:30.400 09/02/1996]',0.053,-0.092,83.266,27.598,11.175,0.347
'[10:38:30.402 09/02/1996]',0.055,-0.096,83.266,27.598,11.175,0.347
'[10:38:30.404 09/02/1996]',0.056,-0.096,83.266,27.598,11.175,0.347
'[10:38:30.406 09/02/1996]',0.057,-0.095,83.266,27.598,11.175,0.347
'[10:38:30.408 09/02/1996]',0.056,-0.092,78.392,26.847,11.300,0.322
'[10:38:30.410 09/02/1996]',0.055,-0.090,78.392,26.847,11.300,0.322
'[10:38:30.412 09/02/1996]',0.053,-0.087,78.392,26.847,11.300,0.322
'[10:38:30.414 09/02/1996]',0.051,-0.085,78.392,26.847,11.300,0.322
'[10:38:30.416 09/02/1996]',0.050,-0.085,74.422,26.322,11.412,0.293
'[10:38:30.418 09/02/1996]',0.049,-0.084,74.422,26.322,11.412,0.293
'[10:38:30.420 09/02/1996]',0.049,-0.086,74.422,26.322,11.412,0.293
'[10:38:30.422 09/02/1996]',0.048,-0.088,74.422,26.322,11.412,0.293
'[10:38:30.424 09/02/1996]',0.047,-0.093,71.859,25.972,11.537,0.254
'[10:38:30.426 09/02/1996]',0.046,-0.098,71.859,25.972,11.537,0.254
'[10:38:30.428 09/02/1996]',0.045,-0.102,71.859,25.972,11.537,0.254
'[10:38:30.430 09/02/1996]',0.044,-0.105,71.859,25.972,11.537,0.254
'[10:38:30.432 09/02/1996]',0.043,-0.107,70.553,25.796,11.650,0.213
'[10:38:30.434 09/02/1996]',0.043,-0.110,70.553,25.796,11.650,0.213
'[10:38:30.436 09/02/1996]',0.043,-0.112,70.553,25.796,11.650,0.213
'[10:38:30.438 09/02/1996]',0.043,-0.113,70.553,25.796,11.650,0.213
'[10:38:30.440 09/02/1996]',0.042,-0.115,70.452,25.721,11.650,0.168
'[10:38:30.442 09/02/1996]',0.041,-0.116,70.452,25.721,11.650,0.168
'[10:38:30.444 09/02/1996]',0.040,-0.117,70.452,25.721,11.650,0.168
'[10:38:30.446 09/02/1996]',0.039,-0.117,70.452,25.721,11.650,0.168
'[10:38:30.448 09/02/1996]',0.038,-0.115,71.156,25.721,11.588,0.118
'[10:38:30.450 09/02/1996]',0.037,-0.112,71.156,25.721,11.588,0.118
'[10:38:30.452 09/02/1996]',0.038,-0.108,71.156,25.721,11.588,0.118
'[10:38:30.454 09/02/1996]',0.039,-0.104,71.156,25.721,11.588,0.118
'[10:38:30.456 09/02/1996]',0.040,-0.099,72.211,25.671,11.350,0.070
'[10:38:30.458 09/02/1996]',0.041,-0.094,72.211,25.671,11.350,0.070
'[10:38:30.460 09/02/1996]',0.042,-0.091,72.211,25.671,11.350,0.070
'[10:38:30.462 09/02/1996]',0.042,-0.089,72.211,25.671,11.350,0.070
'[10:38:30.464 09/02/1996]',0.040,-0.090,73.166,25.546,10.887,0.018
'[10:38:30.466 09/02/1996]',0.038,-0.092,73.166,25.546,10.887,0.018
'[10:38:30.468 09/02/1996]',0.034,-0.096,73.166,25.546,10.887,0.018
'[10:38:30.470 09/02/1996]',0.029,-0.099,73.166,25.546,10.887,0.018
'[10:38:30.472 09/02/1996]',0.029,-0.100,73.819,25.371,10.412,-0.034
'[10:38:30.474 09/02/1996]',0.029,-0.100,73.819,25.371,10.412,-0.034
'[10:38:30.476 09/02/1996]',0.038,-0.091,73.819,25.371,10.412,-0.034
'[10:38:30.478 09/02/1996]',0.047,-0.083,73.819,25.371,10.412,-0.034
'[10:38:30.480 09/02/1996]',0.070,-0.059,73.970,25.096,9.950,-0.085
'[10:38:30.482 09/02/1996]',0.092,-0.036,73.970,25.096,9.950,-0.085
'[10:38:30.484 09/02/1996]',0.132,0.007,73.970,25.096,9.950,-0.085
'[10:38:30.486 09/02/1996]',0.171,0.051,73.970,25.096,9.950,-0.085
'[10:38:30.488 09/02/1996]',0.228,0.118,73.920,24.746,9.475,-0.133
'[10:38:30.490 09/02/1996]',0.284,0.186,73.920,24.746,9.475,-0.133
'[10:38:30.492 09/02/1996]',0.351,0.273,73.920,24.746,9.475,-0.133
'[10:38:30.494 09/02/1996]',0.419,0.360,73.920,24.746,9.475,-0.133
'[10:38:30.496 09/02/1996]',0.482,0.455,73.568,24.270,9.012,-0.180
'[10:38:30.498 09/02/1996]',0.546,0.549,73.568,24.270,9.012,-0.180
'[10:38:30.500 09/02/1996]',0.586,0.633,73.568,24.270,9.012,-0.180
'[10:38:30.502 09/02/1996]',0.625,0.718,73.568,24.270,9.012,-0.180
'[10:38:30.504 09/02/1996]',0.627,0.776,72.965,23.670,8.725,-0.223
'[10:38:30.506 09/02/1996]',0.629,0.835,72.965,23.670,8.725,-0.223
'[10:38:30.508 09/02/1996]',0.592,0.858,72.965,23.670,8.725,-0.223
'[10:38:30.510 09/02/1996]',0.554,0.881,72.965,23.670,8.725,-0.223
'[10:38:30.512 09/02/1996]',0.489,0.868,72.312,22.969,8.600,-0.265
'[10:38:30.514 09/02/1996]',0.425,0.854,72.312,22.969,8.600,-0.265
'[10:38:30.516 09/02/1996]',0.352,0.810,72.312,22.969,8.600,-0.265
'[10:38:30.518 09/02/1996]',0.279,0.767,72.312,22.969,8.600,-0.265
'[10:38:30.520 09/02/1996]',0.213,0.703,71.608,22.218,8.600,-0.303
'[10:38:30.522 09/02/1996]',0.148,0.638,71.608,22.218,8.600,-0.303
'[10:38:30.524 09/02/1996]',0.101,0.562,71.608,22.218,8.600,-0.303
'[10:38:30.526 09/02/1996]',0.054,0.487,71.608,22.218,8.600,-0.303
'[10:38:30.528 09/02/1996]',0.026,0.412,70.955,21.443,8.600,-0.336
'[10:38:30.530 09/02/1996]',-0.001,0.338,70.955,21.443,8.600,-0.336
'[10:38:30.532 09/02/1996]',-0.011,0.277,70.955,21.443,8.600,-0.336
'[10:38:30.534 09/02/1996]',-0.022,0.215,70.955,21.443,8.600,-0.336
'[10:38:30.536 09/02/1996]',-0.020,0.167,70.302,20.742,8.725,-0.368
'[10:38:30.538 09/02/1996]',-0.018,0.119,70.302,20.742,8.725,-0.368
'[10:38:30.540 09/02/1996]',-0.012,0.083,70.302,20.742,8.725,-0.368
'[10:38:30.542 09/02/1996]',-0.006,0.047,70.302,20.742,8.725,-0.368
'[10:38:30.544 09/02/1996]',-0.001,0.019,69.749,20.092,8.900,-0.397
'[10:38:30.546 09/02/1996]',0.005,-0.008,69.749,20.092,8.900,-0.397
'[10:38:30.548 09/02/1996]',0.009,-0.027,69.749,20.092,8.900,-0.397
'[10:38:30.550 09/02/1996]',0.012,-0.046,69.749,20.092,8.900,-0.397
'[10:38:30.552 09/02/1996]',0.013,-0.058,69.146,19.516,9.012,-0.422
'[10:38:30.554 09/02/1996]',0.014,-0.069,69.146,19.516,9.012,-0.422
'[10:38:30.556 09/02/1996]',0.015,-0.077,69.146,19.516,9.012,-0.422
'[10:38:30.558 09/02/1996]',0.015,-0.085,69.146,19.516,9.012,-0.422
'[10:38:30.560 09/02/1996]',0.015,-0.091,68.593,18.941,9.075,-0.445
'[10:38:30.562 09/02/1996]',0.014,-0.098,68.593,18.941,9.075,-0.445
'[10:38:30.564 09/02/1996]',0.013,-0.103,68.593,18.941,9.075,-0.445
'[10:38:30.566 09/02/1996]',0.013,-0.109,68.593,18.941,9.075,-0.445
'[10:38:30.568 09/02/1996]',0.012,-0.114,68.090,18.465,9.075,-0.465
'[10:38:30.570 09/02/1996]',0.011,-0.119,68.090,18.465,9.075,-0.465
'[10:38:30.572 09/02/1996]',0.010,-0.122,68.090,18.465,9.075,-0.465
'[10:38:30.574 09/02/1996]',0.009,-0.126,68.090,18.465,9.075,-0.465
'[10:38:30.576 09/02/1996]',0.009,-0.129,67.588,18.040,9.250,-0.485
'[10:38:30.578 09/02/1996]',0.008,-0.131,67.588,18.040,9.250,-0.485
'[10:38:30.580 09/02/1996]',0.006,-0.135,67.588,18.040,9.250,-0.485
'[10:38:30.582 09/02/1996]',0.005,-0.138,67.588,18.040,9.250,-0.485
'[10:38:30.584 09/02/1996]',0.004,-0.143,67.085,17.865,9.425,-0.503
'[10:38:30.586 09/02/1996]',0.004,-0.149,67.085,17.865,9.425,-0.503
'[10:38:30.588 09/02/1996]',0.004,-0.154,67.085,17.865,9.425,-0.503
'[10:38:30.590 09/02/1996]',0.003,-0.159,67.085,17.865,9.425,-0.503
'[10:38:30.592 09/02/1996]',0.003,-0.164,66.482,17.865,9.475,-0.522
'[10:38:30.594 09/02/1996]',0.002,-0.168,66.482,17.865,9.475,-0.522
'[10:38:30.596 09/02/1996]',0.001,-0.173,66.482,17.865,9.475,-0.522
'[10:38:30.598 09/02/1996]',0.000,-0.178,66.482,17.865,9.475,-0.522
'[10:38:30.600 09/02/1996]',-0.001,-0.183,65.879,18.040,9.537,-0.539
'[10:38:30.602 09/02/1996]',-0.002,-0.188,65.879,18.040,9.537,-0.539
'[10:38:30.604 09/02/1996]',-0.003,-0.191,65.879,18.040,9.537,-0.539
'[10:38:30.606 09/02/1996]',-0.003,-0.194,65.879,18.040,9.537,-0.539
'[10:38:30.608 09/02/1996]',-0.004,-0.195,65.276,18.515,9.775,-0.553
'[10:38:30.610 09/02/1996]',-0.005,-0.195,65.276,18.515,9.775,-0.553
'[10:38:30.612 09/02/1996]',-0.006,-0.195,65.276,18.515,9.775,-0.553
'[10:38:30.614 09/02/1996]',-0.007,-0.195,65.276,18.515,9.775,-0.553
'[10:38:30.616 09/02/1996]',-0.008,-0.198,64.724,19.041,10.537,-0.568
'[10:38:30.618 09/02/1996]',-0.009,-0.200,64.724,19.041,10.537,-0.568
'[10:38:30.620 09/02/1996]',-0.010,-0.206,64.724,19.041,10.537,-0.568
'[10:38:30.622 09/02/1996]',-0.011,-0.213,64.724,19.041,10.537,-0.568
'[10:38:30.624 09/02/1996]',-0.011,-0.221,64.221,19.391,11.713,-0.582
'[10:38:30.626 09/02/1996]',-0.011,-0.229,64.221,19.391,11.713,-0.582
'[10:38:30.628 09/02/1996]',-0.011,-0.235,64.221,19.391,11.713,-0.582
'[10:38:30.630 09/02/1996]',-0.011,-0.242,64.221,19.391,11.713,-0.582
'[10:38:30.632 09/02/1996]',-0.011,-0.243,63.668,19.391,13.050,-0.597
'[10:38:30.634 09/02/1996]',-0.011,-0.245,63.668,19.391,13.050,-0.597
