'Time and date','II','aVF','V','ABP','PLETH','RESP'
'[13:39:24.042 02/12/1995]',0.022,0.001,0.010,54.891,-0.830,-0.697
'[13:39:24.044 02/12/1995]',0.022,0.001,0.010,54.891,-0.830,-0.697
'[13:39:24.046 02/12/1995]',0.022,0.001,0.010,54.891,-0.830,-0.697
'[13:39:24.048 02/12/1995]',0.011,-0.010,0.030,55.943,-0.815,-0.702
'[13:39:24.050 02/12/1995]',0.001,-0.032,0.030,55.943,-0.815,-0.702
'[13:39:24.052 02/12/1995]',0.001,-0.043,0.040,55.943,-0.815,-0.702
'[13:39:24.054 02/12/1995]',0.001,-0.032,0.030,55.943,-0.815,-0.702
'[13:39:24.056 02/12/1995]',0.022,0.001,0.030,57.496,-0.815,-0.708
'[13:39:24.058 02/12/1995]',0.033,0.001,0.020,57.496,-0.815,-0.708
'[13:39:24.060 02/12/1995]',0.044,0.011,0.020,57.496,-0.815,-0.708
'[13:39:24.062 02/12/1995]',0.044,0.001,0.030,57.496,-0.815,-0.708
'[13:39:24.064 02/12/1995]',0.044,0.001,0.040,59.900,-0.815,-0.713
'[13:39:24.066 02/12/1995]',0.022,-0.010,0.040,59.900,-0.815,-0.713
'[13:39:24.068 02/12/1995]',0.022,-0.021,0.059,59.900,-0.815,-0.713
'[13:39:24.070 02/12/1995]',0.022,-0.010,0.049,59.900,-0.815,-0.713
'[13:39:24.072 02/12/1995]',0.033,0.001,0.040,63.305,-0.785,-0.718
'[13:39:24.074 02/12/1995]',0.055,0.001,0.040,63.305,-0.785,-0.718
'[13:39:24.076 02/12/1995]',0.066,0.022,0.040,63.305,-0.785,-0.718
'[13:39:24.078 02/12/1995]',0.077,0.022,0.040,63.305,-0.785,-0.718
'[13:39:24.080 02/12/1995]',0.077,0.022,0.049,67.512,-0.770,-0.722
'[13:39:24.082 02/12/1995]',0.055,0.001,0.059,67.512,-0.770,-0.722
'[13:39:24.084 02/12/1995]',0.044,0.001,0.069,67.512,-0.770,-0.722
'[13:39:24.086 02/12/1995]',0.044,0.001,0.069,67.512,-0.770,-0.722
'[13:39:24.088 02/12/1995]',0.066,0.001,0.069,72.270,-0.770,-0.726
'[13:39:24.090 02/12/1995]',0.077,0.022,0.049,72.270,-0.770,-0.726
'[13:39:24.092 02/12/1995]',0.088,0.044,0.059,72.270,-0.770,-0.726
'[13:39:24.094 02/12/1995]',0.099,0.044,0.059,72.270,-0.770,-0.726
'[13:39:24.096 02/12/1995]',0.099,0.044,0.069,76.978,-0.741,-0.729
'[13:39:24.098 02/12/1995]',0.088,0.011,0.079,76.978,-0.741,-0.729
'[13:39:24.100 02/12/1995]',0.088,0.001,0.089,76.978,-0.741,-0.729
'[13:39:24.102 02/12/1995]',0.077,0.001,0.089,76.978,-0.741,-0.729
'[13:39:24.104 02/12/1995]',0.088,0.011,0.089,81.235,-0.711,-0.732
'[13:39:24.106 02/12/1995]',0.110,0.034,0.079,81.235,-0.711,-0.732
'[13:39:24.108 02/12/1995]',0.121,0.067,0.079,81.235,-0.711,-0.732
'[13:39:24.110 02/12/1995]',0.143,0.077,0.079,81.235,-0.711,-0.732
'[13:39:24.112 02/12/1995]',0.143,0.067,0.089,84.841,-0.696,-0.735
'[13:39:24.114 02/12/1995]',0.132,0.056,0.089,84.841,-0.696,-0.735
'[13:39:24.116 02/12/1995]',0.121,0.034,0.089,84.841,-0.696,-0.735
'[13:39:24.118 02/12/1995]',0.121,0.034,0.099,84.841,-0.696,-0.735
'[13:39:24.120 02/12/1995]',0.121,0.034,0.099,87.596,-0.651,-0.738
'[13:39:24.122 02/12/1995]',0.132,0.067,0.099,87.596,-0.651,-0.738
'[13:39:24.124 02/12/1995]',0.154,0.088,0.089,87.596,-0.651,-0.738
'[13:39:24.126 02/12/1995]',0.164,0.111,0.089,87.596,-0.651,-0.738
'[13:39:24.128 02/12/1995]',0.175,0.111,0.089,89.699,-0.593,-0.741
'[13:39:24.130 02/12/1995]',0.164,0.088,0.099,89.699,-0.593,-0.741
'[13:39:24.132 02/12/1995]',0.154,0.077,0.108,89.699,-0.593,-0.741
'[13:39:24.134 02/12/1995]',0.154,0.067,0.118,89.699,-0.593,-0.741
'[13:39:24.136 02/12/1995]',0.143,0.067,0.118,91.402,-0.533,-0.743
'[13:39:24.138 02/12/1995]',0.143,0.077,0.118,91.402,-0.533,-0.743
'[13:39:24.140 02/12/1995]',0.164,0.100,0.108,91.402,-0.533,-0.743
'[13:39:24.142 02/12/1995]',0.186,0.121,0.108,91.402,-0.533,-0.743
'[13:39:24.144 02/12/1995]',0.186,0.133,0.099,92.855,-0.459,-0.744
'[13:39:24.146 02/12/1995]',0.186,0.121,0.108,92.855,-0.459,-0.744
'[13:39:24.148 02/12/1995]',0.175,0.088,0.118,92.855,-0.459,-0.744
'[13:39:24.150 02/12/1995]',0.164,0.077,0.118,92.855,-0.459,-0.744
'[13:39:24.152 02/12/1995]',0.164,0.067,0.128,94.107,-0.385,-0.745
'[13:39:24.154 02/12/1995]',0.164,0.077,0.118,94.107,-0.385,-0.745
'[13:39:24.156 02/12/1995]',0.175,0.111,0.108,94.107,-0.385,-0.745
'[13:39:24.158 02/12/1995]',0.186,0.121,0.099,94.107,-0.385,-0.745
'[13:39:24.160 02/12/1995]',0.186,0.133,0.099,95.108,-0.281,-0.746
'[13:39:24.162 02/12/1995]',0.186,0.121,0.099,95.108,-0.281,-0.746
'[13:39:24.164 02/12/1995]',0.186,0.111,0.108,95.108,-0.281,-0.746
'[13:39:24.166 02/12/1995]',0.164,0.088,0.108,95.108,-0.281,-0.746
'[13:39:24.168 02/12/1995]',0.154,0.067,0.108,95.860,-0.193,-0.747
'[13:39:24.170 02/12/1995]',0.154,0.077,0.108,95.860,-0.193,-0.747
'[13:39:24.172 02/12/1995]',0.154,0.088,0.099,95.860,-0.193,-0.747
'[13:39:24.174 02/12/1995]',0.164,0.111,0.089,95.860,-0.193,-0.747
'[13:39:24.176 02/12/1995]',0.164,0.121,0.089,96.461,-0.103,-0.747
'[13:39:24.178 02/12/1995]',0.164,0.121,0.089,96.461,-0.103,-0.747
'[13:39:24.180 02/12/1995]',0.154,0.100,0.089,96.461,-0.103,-0.747
'[13:39:24.182 02/12/1995]',0.132,0.067,0.089,96.461,-0.103,-0.747
'[13:39:24.184 02/12/1995]',0.121,0.056,0.089,96.861,-0.015,-0.748
'[13:39:24.186 02/12/1995]',0.099,0.044,0.089,96.861,-0.015,-0.748
'[13:39:24.188 02/12/1995]',0.110,0.056,0.079,96.861,-0.015,-0.748
'[13:39:24.190 02/12/1995]',0.121,0.067,0.059,96.861,-0.015,-0.748
'[13:39:24.192 02/12/1995]',0.121,0.088,0.049,96.911,0.059,-0.748
'[13:39:24.194 02/12/1995]',0.121,0.077,0.040,96.911,0.059,-0.748
'[13:39:24.196 02/12/1995]',0.110,0.067,0.049,96.911,0.059,-0.748
'[13:39:24.198 02/12/1995]',0.088,0.044,0.049,96.911,0.059,-0.748
'[13:39:24.200 02/12/1995]',0.066,0.022,0.049,96.811,0.148,-0.749
'[13:39:24.202 02/12/1995]',0.044,0.011,0.049,96.811,0.148,-0.749
'[13:39:24.204 02/12/1995]',0.044,0.011,0.030,96.811,0.148,-0.749
'[13:39:24.206 02/12/1995]',0.044,0.022,0.020,96.811,0.148,-0.749
'[13:39:24.208 02/12/1995]',0.055,0.044,0.010,96.461,0.223,-0.750
'[13:39:24.210 02/12/1995]',0.055,0.044,0.001,96.461,0.223,-0.750
'[13:39:24.212 02/12/1995]',0.055,0.034,0.001,96.461,0.223,-0.750
'[13:39:24.214 02/12/1995]',0.033,0.001,0.001,96.461,0.223,-0.750
'[13:39:24.216 02/12/1995]',0.022,0.001,0.001,96.010,0.311,-0.751
'[13:39:24.218 02/12/1995]',0.001,-0.010,0.001,96.010,0.311,-0.751
'[13:39:24.220 02/12/1995]',0.001,0.001,0.001,96.010,0.311,-0.751
'[13:39:24.222 02/12/1995]',0.001,0.001,0.001,96.010,0.311,-0.751
'[13:39:24.224 02/12/1995]',0.011,0.001,-0.009,95.459,0.355,-0.752
'[13:39:24.226 02/12/1995]',0.011,0.011,-0.019,95.459,0.355,-0.752
'[13:39:24.228 02/12/1995]',0.011,0.001,-0.019,95.459,0.355,-0.752
'[13:39:24.230 02/12/1995]',0.001,0.001,-0.009,95.459,0.355,-0.752
'[13:39:24.232 02/12/1995]',-0.010,-0.010,-0.009,94.758,0.415,-0.752
'[13:39:24.234 02/12/1995]',-0.021,-0.032,-0.009,94.758,0.415,-0.752
'[13:39:24.236 02/12/1995]',-0.032,-0.043,-0.009,94.758,0.415,-0.752
'[13:39:24.238 02/12/1995]',-0.032,-0.032,-0.019,94.758,0.415,-0.752
'[13:39:24.240 02/12/1995]',-0.021,0.001,-0.029,93.956,0.445,-0.752
'[13:39:24.242 02/12/1995]',-0.010,0.001,-0.029,93.956,0.445,-0.752
'[13:39:24.244 02/12/1995]',-0.010,0.001,-0.038,93.956,0.445,-0.752
'[13:39:24.246 02/12/1995]',-0.021,0.001,-0.038,93.956,0.445,-0.752
'[13:39:24.248 02/12/1995]',-0.032,-0.032,-0.029,92.955,0.474,-0.752
'[13:39:24.250 02/12/1995]',-0.043,-0.054,-0.029,92.955,0.474,-0.752
'[13:39:24.252 02/12/1995]',-0.065,-0.065,-0.019,92.955,0.474,-0.752
'[13:39:24.254 02/12/1995]',-0.054,-0.054,-0.029,92.955,0.474,-0.752
'[13:39:24.256 02/12/1995]',-0.043,-0.032,-0.038,91.603,0.533,-0.752
'[13:39:24.258 02/12/1995]',-0.032,-0.010,-0.038,91.603,0.533,-0.752
'[13:39:24.260 02/12/1995]',-0.021,-0.010,-0.058,91.603,0.533,-0.752
'[13:39:24.262 02/12/1995]',-0.032,-0.021,-0.048,91.603,0.533,-0.752
'[13:39:24.264 02/12/1995]',-0.043,-0.043,-0.038,90.000,0.533,-0.751
'[13:39:24.266 02/12/1995]',-0.065,-0.065,-0.029,90.000,0.533,-0.751
'[13:39:24.268 02/12/1995]',-0.065,-0.065,-0.029,90.000,0.533,-0.751
'[13:39:24.270 02/12/1995]',-0.065,-0.065,-0.038,90.000,0.533,-0.751
'[13:39:24.272 02/12/1995]',-0.065,-0.043,-0.048,88.097,0.533,-0.750
'[13:39:24.274 02/12/1995]',-0.043,-0.032,-0.048,88.097,0.533,-0.750
'[13:39:24.276 02/12/1995]',-0.032,-0.010,-0.058,88.097,0.533,-0.750
'[13:39:24.278 02/12/1995]',-0.032,-0.010,-0.058,88.097,0.533,-0.750
'[13:39:24.280 02/12/1995]',-0.043,-0.032,-0.048,85.843,0.548,-0.749
'[13:39:24.282 02/12/1995]',-0.065,-0.065,-0.038,85.843,0.548,-0.749
'[13:39:24.284 02/12/1995]',-0.065,-0.076,-0.038,85.843,0.548,-0.749
'[13:39:24.286 02/12/1995]',-0.076,-0.076,-0.038,85.843,0.548,-0.749
'[13:39:24.288 02/12/1995]',-0.065,-0.065,-0.038,83.239,0.548,-0.748
'[13:39:24.290 02/12/1995]',-0.065,-0.043,-0.058,83.239,0.548,-0.748
'[13:39:24.292 02/12/1995]',-0.043,-0.032,-0.058,83.239,0.548,-0.748
'[13:39:24.294 02/12/1995]',-0.043,-0.032,-0.058,83.239,0.548,-0.748
'[13:39:24.296 02/12/1995]',-0.043,-0.043,-0.058,80.434,0.533,-0.746
'[13:39:24.298 02/12/1995]',-0.065,-0.065,-0.048,80.434,0.533,-0.746
'[13:39:24.300 02/12/1995]',-0.076,-0.087,-0.038,80.434,0.533,-0.746
'[13:39:24.302 02/12/1995]',-0.086,-0.098,-0.038,80.434,0.533,-0.746
'[13:39:24.304 02/12/1995]',-0.076,-0.087,-0.048,77.429,0.518,-0.745
'[13:39:24.306 02/12/1995]',-0.065,-0.054,-0.048,77.429,0.518,-0.745
'[13:39:24.308 02/12/1995]',-0.054,-0.043,-0.068,77.429,0.518,-0.745
'[13:39:24.310 02/12/1995]',-0.054,-0.043,-0.068,77.429,0.518,-0.745
'[13:39:24.312 02/12/1995]',-0.054,-0.043,-0.058,74.524,0.503,-0.744
'[13:39:24.314 02/12/1995]',-0.065,-0.065,-0.048,74.524,0.503,-0.744
'[13:39:24.316 02/12/1995]',-0.076,-0.087,-0.048,74.524,0.503,-0.744
'[13:39:24.318 02/12/1995]',-0.086,-0.109,-0.038,74.524,0.503,-0.744
'[13:39:24.320 02/12/1995]',-0.086,-0.098,-0.038,71.970,0.445,-0.744
'[13:39:24.322 02/12/1995]',-0.076,-0.076,-0.048,71.970,0.445,-0.744
'[13:39:24.324 02/12/1995]',-0.065,-0.043,-0.058,71.970,0.445,-0.744
'[13:39:24.326 02/12/1995]',-0.043,-0.043,-0.068,71.970,0.445,-0.744
'[13:39:24.328 02/12/1995]',-0.065,-0.043,-0.058,70.167,0.415,-0.743
'[13:39:24.330 02/12/1995]',-0.065,-0.065,-0.058,70.167,0.415,-0.743
'[13:39:24.332 02/12/1995]',-0.076,-0.087,-0.048,70.167,0.415,-0.743
'[13:39:24.334 02/12/1995]',-0.086,-0.109,-0.038,70.167,0.415,-0.743
'[13:39:24.336 02/12/1995]',-0.086,-0.109,-0.048,69.416,0.385,-0.743
'[13:39:24.338 02/12/1995]',-0.097,-0.098,-0.048,69.416,0.385,-0.743
'[13:39:24.340 02/12/1995]',-0.076,-0.076,-0.058,69.416,0.385,-0.743
'[13:39:24.342 02/12/1995]',-0.065,-0.065,-0.068,69.416,0.385,-0.743
'[13:39:24.344 02/12/1995]',-0.065,-0.054,-0.068,69.766,0.326,-0.744
'[13:39:24.346 02/12/1995]',-0.065,-0.076,-0.068,69.766,0.326,-0.744
'[13:39:24.348 02/12/1995]',-0.076,-0.087,-0.048,69.766,0.326,-0.744
'[13:39:24.350 02/12/1995]',-0.086,-0.109,-0.058,69.766,0.326,-0.744
'[13:39:24.352 02/12/1995]',-0.097,-0.120,-0.048,70.968,0.281,-0.744
'[13:39:24.354 02/12/1995]',-0.086,-0.098,-0.048,70.968,0.281,-0.744
'[13:39:24.356 02/12/1995]',-0.076,-0.076,-0.058,70.968,0.281,-0.744
'[13:39:24.358 02/12/1995]',-0.065,-0.065,-0.058,70.968,0.281,-0.744
'[13:39:24.360 02/12/1995]',-0.065,-0.054,-0.068,72.521,0.207,-0.745
'[13:39:24.362 02/12/1995]',-0.065,-0.065,-0.058,72.521,0.207,-0.745
'[13:39:24.364 02/12/1995]',-0.065,-0.087,-0.058,72.521,0.207,-0.745
'[13:39:24.366 02/12/1995]',-0.086,-0.098,-0.048,72.521,0.207,-0.745
'[13:39:24.368 02/12/1995]',-0.086,-0.120,-0.048,73.923,0.134,-0.745
'[13:39:24.370 02/12/1995]',-0.097,-0.120,-0.038,73.923,0.134,-0.745
'[13:39:24.372 02/12/1995]',-0.086,-0.098,-0.058,73.923,0.134,-0.745
'[13:39:24.374 02/12/1995]',-0.065,-0.065,-0.058,73.923,0.134,-0.745
'[13:39:24.376 02/12/1995]',-0.065,-0.054,-0.068,74.774,0.089,-0.745
'[13:39:24.378 02/12/1995]',-0.065,-0.065,-0.078,74.774,0.089,-0.745
'[13:39:24.380 02/12/1995]',-0.065,-0.076,-0.058,74.774,0.089,-0.745
'[13:39:24.382 02/12/1995]',-0.086,-0.098,-0.048,74.774,0.089,-0.745
'[13:39:24.384 02/12/1995]',-0.086,-0.109,-0.048,75.175,0.015,-0.745
'[13:39:24.386 02/12/1995]',-0.097,-0.120,-0.048,75.175,0.015,-0.745
'[13:39:24.388 02/12/1995]',-0.086,-0.109,-0.048,75.175,0.015,-0.745
'[13:39:24.390 02/12/1995]',-0.076,-0.076,-0.058,75.175,0.015,-0.745
'[13:39:24.392 02/12/1995]',-0.065,-0.054,-0.068,75.025,-0.059,-0.745
'[13:39:24.394 02/12/1995]',-0.065,-0.054,-0.068,75.025,-0.059,-0.745
'[13:39:24.396 02/12/1995]',-0.065,-0.065,-0.058,75.025,-0.059,-0.745
'[13:39:24.398 02/12/1995]',-0.086,-0.098,-0.048,75.025,-0.059,-0.745
'[13:39:24.400 02/12/1995]',-0.086,-0.109,-0.038,74.674,-0.089,-0.745
'[13:39:24.402 02/12/1995]',-0.097,-0.120,-0.038,74.674,-0.089,-0.745
'[13:39:24.404 02/12/1995]',-0.108,-0.109,-0.048,74.674,-0.089,-0.745
'[13:39:24.406 02/12/1995]',-0.086,-0.087,-0.058,74.674,-0.089,-0.745
'[13:39:24.408 02/12/1995]',-0.065,-0.065,-0.068,74.274,-0.148,-0.744
'[13:39:24.410 02/12/1995]',-0.065,-0.065,-0.058,74.274,-0.148,-0.744
'[13:39:24.412 02/12/1995]',-0.065,-0.065,-0.058,74.274,-0.148,-0.744
'[13:39:24.414 02/12/1995]',-0.076,-0.087,-0.048,74.274,-0.148,-0.744
'[13:39:24.416 02/12/1995]',-0.086,-0.109,-0.048,73.873,-0.177,-0.743
'[13:39:24.418 02/12/1995]',-0.097,-0.120,-0.038,73.873,-0.177,-0.743
'[13:39:24.420 02/12/1995]',-0.086,-0.109,-0.038,73.873,-0.177,-0.743
'[13:39:24.422 02/12/1995]',-0.086,-0.087,-0.048,73.873,-0.177,-0.743
'[13:39:24.424 02/12/1995]',-0.076,-0.076,-0.058,73.472,-0.207,-0.742
'[13:39:24.426 02/12/1995]',-0.065,-0.043,-0.058,73.472,-0.207,-0.742
'[13:39:24.428 02/12/1995]',-0.065,-0.054,-0.058,73.472,-0.207,-0.742
'[13:39:24.430 02/12/1995]',-0.065,-0.065,-0.048,73.472,-0.207,-0.742
'[13:39:24.432 02/12/1995]',-0.076,-0.098,-0.048,72.971,-0.222,-0.740
'[13:39:24.434 02/12/1995]',-0.097,-0.109,-0.038,72.971,-0.222,-0.740
'[13:39:24.436 02/12/1995]',-0.097,-0.120,-0.038,72.971,-0.222,-0.740
'[13:39:24.438 02/12/1995]',-0.086,-0.098,-0.048,72.971,-0.222,-0.740
'[13:39:24.440 02/12/1995]',-0.065,-0.065,-0.058,72.521,-0.237,-0.737
'[13:39:24.442 02/12/1995]',-0.065,-0.054,-0.058,72.521,-0.237,-0.737
'[13:39:24.444 02/12/1995]',-0.065,-0.054,-0.058,72.521,-0.237,-0.737
'[13:39:24.446 02/12/1995]',-0.065,-0.065,-0.048,72.521,-0.237,-0.737
'[13:39:24.448 02/12/1995]',-0.076,-0.087,-0.048,72.020,-0.252,-0.735
'[13:39:24.450 02/12/1995]',-0.086,-0.098,-0.038,72.020,-0.252,-0.735
'[13:39:24.452 02/12/1995]',-0.097,-0.109,-0.038,72.020,-0.252,-0.735
'[13:39:24.454 02/12/1995]',-0.086,-0.087,-0.038,72.020,-0.252,-0.735
'[13:39:24.456 02/12/1995]',-0.076,-0.076,-0.048,71.569,-0.237,-0.733
'[13:39:24.458 02/12/1995]',-0.065,-0.054,-0.058,71.569,-0.237,-0.733
'[13:39:24.460 02/12/1995]',-0.054,-0.054,-0.058,71.569,-0.237,-0.733
'[13:39:24.462 02/12/1995]',-0.065,-0.054,-0.048,71.569,-0.237,-0.733
'[13:39:24.464 02/12/1995]',-0.065,-0.076,-0.048,71.118,-0.252,-0.731
'[13:39:24.466 02/12/1995]',-0.086,-0.087,-0.038,71.118,-0.252,-0.731
'[13:39:24.468 02/12/1995]',-0.086,-0.109,-0.038,71.118,-0.252,-0.731
'[13:39:24.470 02/12/1995]',-0.086,-0.098,-0.029,71.118,-0.252,-0.731
'[13:39:24.472 02/12/1995]',-0.086,-0.087,-0.048,70.618,-0.252,-0.730
'[13:39:24.474 02/12/1995]',-0.065,-0.065,-0.048,70.618,-0.252,-0.730
'[13:39:24.476 02/12/1995]',-0.065,-0.043,-0.058,70.618,-0.252,-0.730
'[13:39:24.478 02/12/1995]',-0.054,-0.043,-0.058,70.618,-0.252,-0.730
'[13:39:24.480 02/12/1995]',-0.065,-0.065,-0.048,70.167,-0.252,-0.728
'[13:39:24.482 02/12/1995]',-0.076,-0.087,-0.038,70.167,-0.252,-0.728
'[13:39:24.484 02/12/1995]',-0.086,-0.098,-0.029,70.167,-0.252,-0.728
'[13:39:24.486 02/12/1995]',-0.086,-0.098,-0.029,70.167,-0.252,-0.728
'[13:39:24.488 02/12/1995]',-0.086,-0.087,-0.038,69.766,-0.267,-0.727
'[13:39:24.490 02/12/1995]',-0.065,-0.054,-0.048,69.766,-0.267,-0.727
'[13:39:24.492 02/12/1995]',-0.065,-0.043,-0.048,69.766,-0.267,-0.727
'[13:39:24.494 02/12/1995]',-0.054,-0.043,-0.048,69.766,-0.267,-0.727
'[13:39:24.496 02/12/1995]',-0.065,-0.054,-0.048,69.215,-0.296,-0.725
'[13:39:24.498 02/12/1995]',-0.065,-0.065,-0.038,69.215,-0.296,-0.725
'[13:39:24.500 02/12/1995]',-0.086,-0.087,-0.038,69.215,-0.296,-0.725
'[13:39:24.502 02/12/1995]',-0.086,-0.098,-0.029,69.215,-0.296,-0.725
'[13:39:24.504 02/12/1995]',-0.086,-0.087,-0.038,68.714,-0.296,-0.724
'[13:39:24.506 02/12/1995]',-0.076,-0.065,-0.048,68.714,-0.296,-0.724
'[13:39:24.508 02/12/1995]',-0.065,-0.043,-0.048,68.714,-0.296,-0.724
'[13:39:24.510 02/12/1995]',-0.054,-0.043,-0.058,68.714,-0.296,-0.724
'[13:39:24.512 02/12/1995]',-0.065,-0.043,-0.048,68.163,-0.341,-0.722
'[13:39:24.514 02/12/1995]',-0.065,-0.065,-0.038,68.163,-0.341,-0.722
'[13:39:24.516 02/12/1995]',-0.086,-0.087,-0.038,68.163,-0.341,-0.722
'[13:39:24.518 02/12/1995]',-0.086,-0.109,-0.029,68.163,-0.341,-0.722
'[13:39:24.520 02/12/1995]',-0.086,-0.098,-0.029,67.713,-0.370,-0.721
'[13:39:24.522 02/12/1995]',-0.086,-0.076,-0.038,67.713,-0.370,-0.721
'[13:39:24.524 02/12/1995]',-0.065,-0.054,-0.048,67.713,-0.370,-0.721
'[13:39:24.526 02/12/1995]',-0.054,-0.032,-0.058,67.713,-0.370,-0.721
'[13:39:24.528 02/12/1995]',-0.054,-0.043,-0.058,67.212,-0.385,-0.720
'[13:39:24.530 02/12/1995]',-0.065,-0.065,-0.038,67.212,-0.385,-0.720
'[13:39:24.532 02/12/1995]',-0.076,-0.087,-0.029,67.212,-0.385,-0.720
'[13:39:24.534 02/12/1995]',-0.086,-0.098,-0.029,67.212,-0.385,-0.720
'[13:39:24.536 02/12/1995]',-0.086,-0.098,-0.029,66.711,-0.429,-0.718
'[13:39:24.538 02/12/1995]',-0.086,-0.087,-0.038,66.711,-0.429,-0.718
'[13:39:24.540 02/12/1995]',-0.065,-0.054,-0.038,66.711,-0.429,-0.718
'[13:39:24.542 02/12/1995]',-0.054,-0.032,-0.048,66.711,-0.429,-0.718
'[13:39:24.544 02/12/1995]',-0.043,-0.043,-0.048,66.210,-0.415,-0.717
'[13:39:24.546 02/12/1995]',-0.054,-0.043,-0.038,66.210,-0.415,-0.717
'[13:39:24.548 02/12/1995]',-0.065,-0.076,-0.029,66.210,-0.415,-0.717
'[13:39:24.550 02/12/1995]',-0.086,-0.087,-0.029,66.210,-0.415,-0.717
'[13:39:24.552 02/12/1995]',-0.086,-0.098,-0.019,65.759,-0.445,-0.717
'[13:39:24.554 02/12/1995]',-0.086,-0.087,-0.019,65.759,-0.445,-0.717
'[13:39:24.556 02/12/1995]',-0.076,-0.065,-0.029,65.759,-0.445,-0.717
'[13:39:24.558 02/12/1995]',-0.065,-0.043,-0.038,65.759,-0.445,-0.717
'[13:39:24.560 02/12/1995]',-0.054,-0.043,-0.038,65.309,-0.459,-0.717
'[13:39:24.562 02/12/1995]',-0.054,-0.043,-0.029,65.309,-0.459,-0.717
'[13:39:24.564 02/12/1995]',-0.065,-0.065,-0.029,65.309,-0.459,-0.717
'[13:39:24.566 02/12/1995]',-0.076,-0.087,-0.019,65.309,-0.459,-0.717
'[13:39:24.568 02/12/1995]',-0.086,-0.098,-0.009,64.958,-0.474,-0.717
'[13:39:24.570 02/12/1995]',-0.086,-0.098,-0.019,64.958,-0.474,-0.717
'[13:39:24.572 02/12/1995]',-0.076,-0.076,-0.029,64.958,-0.474,-0.717
'[13:39:24.574 02/12/1995]',-0.065,-0.054,-0.029,64.958,-0.474,-0.717
'[13:39:24.576 02/12/1995]',-0.054,-0.043,-0.038,64.507,-0.474,-0.717
'[13:39:24.578 02/12/1995]',-0.054,-0.043,-0.038,64.507,-0.474,-0.717
'[13:39:24.580 02/12/1995]',-0.065,-0.054,-0.029,64.507,-0.474,-0.717
'[13:39:24.582 02/12/1995]',-0.065,-0.076,-0.029,64.507,-0.474,-0.717
'[13:39:24.584 02/12/1995]',-0.086,-0.098,-0.019,64.257,-0.503,-0.717
'[13:39:24.586 02/12/1995]',-0.086,-0.098,-0.019,64.257,-0.503,-0.717
'[13:39:24.588 02/12/1995]',-0.086,-0.087,-0.029,64.257,-0.503,-0.717
'[13:39:24.590 02/12/1995]',-0.065,-0.065,-0.029,64.257,-0.503,-0.717
'[13:39:24.592 02/12/1995]',-0.054,-0.043,-0.038,63.956,-0.533,-0.716
'[13:39:24.594 02/12/1995]',-0.054,-0.043,-0.038,63.956,-0.533,-0.716
'[13:39:24.596 02/12/1995]',-0.065,-0.054,-0.029,63.956,-0.533,-0.716
'[13:39:24.598 02/12/1995]',-0.076,-0.087,-0.019,63.956,-0.533,-0.716
'[13:39:24.600 02/12/1995]',-0.086,-0.087,-0.009,63.656,-0.533,-0.715
'[13:39:24.602 02/12/1995]',-0.086,-0.098,-0.009,63.656,-0.533,-0.715
'[13:39:24.604 02/12/1995]',-0.086,-0.087,-0.019,63.656,-0.533,-0.715
'[13:39:24.606 02/12/1995]',-0.076,-0.065,-0.019,63.656,-0.533,-0.715
